ID;SITC;CountriesGroups;Periods;ImportsValue_1;ExportsValue_2;BalanceOfTrade_3;Coverage_4;MutationOfImports_5;MutationOfExports_6
36;Total goods;Total countries (groups);1998 November;14426846.0;15356519.0;929673.0;106.4;5.7;3.4
37;Total goods;Total countries (groups);1998 December;14066782.0;15195512.0;1128730.0;108.0;4.4;1.6
38;Total goods;Total countries (groups);1998;168445222.0;180724579.0;12279357.0;107.3;7.0;5.4
39;Total goods;Total countries (groups);1999 January;13194343.0;13812449.0;618106.0;104.7;-3.3;-4.7
40;Total goods;Total countries (groups);1999 February;13314750.0;13876507.0;561757.0;104.2;-2.6;-5.6
41;Total goods;Total countries (groups);1999 March;15939159.0;17089490.0;1150331.0;107.2;4.2;3.3
42;Total goods;Total countries (groups);1999 April;14225915.0;14870358.0;644443.0;104.5;1.4;-0.5
43;Total goods;Total countries (groups);1999 May;14003855.0;14489293.0;485438.0;103.5;4.0;0.2
44;Total goods;Total countries (groups);1999 June;15202482.0;16150281.0;947799.0;106.2;3.2;4.6
45;Total goods;Total countries (groups);1999 July;14416188.0;14834112.0;417924.0;102.9;5.2;-1.3
46;Total goods;Total countries (groups);1999 August;13481732.0;14005831.0;524099.0;103.9;10.3;8.2
47;Total goods;Total countries (groups);1999 September;16002715.0;16993106.0;990391.0;106.2;9.7;7.3
48;Total goods;Total countries (groups);1999 October;15644277.0;16961107.0;1316830.0;108.4;7.2;7.5
49;Total goods;Total countries (groups);1999 November;16624451.0;17776613.0;1152162.0;106.9;15.2;15.8
50;Total goods;Total countries (groups);1999 December;16668673.0;17738925.0;1070252.0;106.4;18.5;16.7
51;Total goods;Total countries (groups);1999;178719318.0;188598774.0;9879456.0;105.5;6.1;4.4
52;Total goods;Total countries (groups);2000 January;15465301.0;16302464.0;837163.0;105.4;17.2;18.0
53;Total goods;Total countries (groups);2000 February;16815165.0;17828760.0;1013595.0;106.0;26.3;28.5
54;Total goods;Total countries (groups);2000 March;18675054.0;20352626.0;1677572.0;109.0;17.2;19.1
55;Total goods;Total countries (groups);2000 April;16453516.0;17370820.0;917304.0;105.6;15.7;16.8
56;Total goods;Total countries (groups);2000 May;18396873.0;19897327.0;1500454.0;108.2;31.4;37.3
57;Total goods;Total countries (groups);2000 June;17940600.0;19042515.0;1101915.0;106.1;18.0;17.9
58;Total goods;Total countries (groups);2000 July;16719356.0;17914578.0;1195222.0;107.1;16.0;20.8
59;Total goods;Total countries (groups);2000 August;16766634.0;18720209.0;1953575.0;111.7;24.4;33.7
60;Total goods;Total countries (groups);2000 September;18890781.0;20694568.0;1803787.0;109.5;18.0;21.8
61;Total goods;Total countries (groups);2000 October;20021808.0;21273751.0;1251943.0;106.3;28.0;25.4
62;Total goods;Total countries (groups);2000 November;20805766.0;22151670.0;1345904.0;106.5;25.2;24.6
63;Total goods;Total countries (groups);2000 December;19105562.0;20304377.0;1198815.0;106.3;14.6;14.5
64;Total goods;Total countries (groups);2000;216057252.0;231854393.0;15797141.0;107.3;20.9;22.9
65;Total goods;Total countries (groups);2001 January;19266567.0;20616685.0;1350118.0;107.0;24.6;26.5
66;Total goods;Total countries (groups);2001 February;17995231.0;19869156.0;1873925.0;110.4;7.0;11.4
67;Total goods;Total countries (groups);2001 March;20224184.0;22492961.0;2268777.0;111.2;8.3;10.5
68;Total goods;Total countries (groups);2001 April;17747567.0;19371052.0;1623485.0;109.1;7.9;11.5
69;Total goods;Total countries (groups);2001 May;19055059.0;21032739.0;1977680.0;110.4;3.6;5.7
70;Total goods;Total countries (groups);2001 June;18889980.0;21007261.0;2117281.0;111.2;5.3;10.3
71;Total goods;Total countries (groups);2001 July;17790923.0;18878173.0;1087250.0;106.1;6.4;5.4
72;Total goods;Total countries (groups);2001 August;17012668.0;18461022.0;1448354.0;108.5;1.5;-1.4
73;Total goods;Total countries (groups);2001 September;17386099.0;19710035.0;2323936.0;113.4;-8.0;-4.8
74;Total goods;Total countries (groups);2001 October;18449505.0;20701146.0;2251641.0;112.2;-7.9;-2.7
75;Total goods;Total countries (groups);2001 November;18128506.0;20287324.0;2158818.0;111.9;-12.9;-8.4
76;Total goods;Total countries (groups);2001 December;16383296.0;18911494.0;2528198.0;115.4;-14.2;-6.9
77;Total goods;Total countries (groups);2001;218329585.0;241339048.0;23009463.0;110.5;1.1;4.1
78;Total goods;Total countries (groups);2002 January;16647236.0;18341456.0;1694220.0;110.2;-13.6;-11.0
79;Total goods;Total countries (groups);2002 February;16157351.0;18364442.0;2207091.0;113.7;-10.2;-7.6
80;Total goods;Total countries (groups);2002 March;18179940.0;20783167.0;2603227.0;114.3;-10.1;-7.6
81;Total goods;Total countries (groups);2002 April;17650007.0;18939159.0;1289152.0;107.3;-0.5;-2.2
82;Total goods;Total countries (groups);2002 May;17127086.0;19665900.0;2538814.0;114.8;-10.1;-6.5
83;Total goods;Total countries (groups);2002 June;17123843.0;19600430.0;2476587.0;114.5;-9.3;-6.7
84;Total goods;Total countries (groups);2002 July;16508002.0;18771291.0;2263289.0;113.7;-7.2;-0.6
85;Total goods;Total countries (groups);2002 August;15786613.0;17808828.0;2022215.0;112.8;-7.2;-3.5
86;Total goods;Total countries (groups);2002 September;17507600.0;20393123.0;2885523.0;116.5;0.7;3.5
87;Total goods;Total countries (groups);2002 October;18677105.0;20820139.0;2143034.0;111.5;1.2;0.6
88;Total goods;Total countries (groups);2002 November;17512911.0;20096517.0;2583606.0;114.8;-3.4;-0.9
89;Total goods;Total countries (groups);2002 December;16697176.0;19119252.0;2422076.0;114.5;1.9;1.1
90;Total goods;Total countries (groups);2002;205574870.0;232703704.0;27128834.0;113.2;-5.8;-3.6
91;Total goods;Total countries (groups);2003 January;17502845.0;19788203.0;2285358.0;113.1;5.1;7.9
92;Total goods;Total countries (groups);2003 February;17135990.0;19420583.0;2284593.0;113.3;6.1;5.8
93;Total goods;Total countries (groups);2003 March;18499843.0;21024850.0;2525007.0;113.6;1.8;1.2
94;Total goods;Total countries (groups);2003 April;16934106.0;18803350.0;1869244.0;111.0;-4.1;-0.7
95;Total goods;Total countries (groups);2003 May;16567257.0;18882153.0;2314896.0;114.0;-3.3;-4.0
96;Total goods;Total countries (groups);2003 June;16267355.0;18783149.0;2515794.0;115.5;-5.0;-4.2
97;Total goods;Total countries (groups);2003 July;16624427.0;18613174.0;1988747.0;112.0;0.7;-0.8
98;Total goods;Total countries (groups);2003 August;15130132.0;16784383.0;1654251.0;110.9;-4.2;-5.8
99;Total goods;Total countries (groups);2003 September;17532093.0;20795077.0;3262984.0;118.6;0.1;2.0
100;Total goods;Total countries (groups);2003 October;18897046.0;21561045.0;2663999.0;114.1;1.2;3.6
101;Total goods;Total countries (groups);2003 November;17638960.0;19996486.0;2357526.0;113.4;0.7;-0.5
102;Total goods;Total countries (groups);2003 December;18136733.0;19713638.0;1576905.0;108.7;8.6;3.1
103;Total goods;Total countries (groups);2003;206866787.0;234166091.0;27299304.0;113.2;0.6;0.6
104;Total goods;Total countries (groups);2004 January;16972836.0;19122621.0;2149785.0;112.7;;
105;Total goods;Total countries (groups);2004 February;17344419.0;19318056.0;1973637.0;111.4;;
106;Total goods;Total countries (groups);2004 March;20237556.0;22769361.0;2531805.0;112.5;;
107;Total goods;Total countries (groups);2004 April;18221754.0;20358091.0;2136336.0;111.7;;
108;Total goods;Total countries (groups);2004 May;17822195.0;19725068.0;1902873.0;110.7;;
109;Total goods;Total countries (groups);2004 June;19684313.0;22388886.0;2704573.0;113.7;;
110;Total goods;Total countries (groups);2004 July;18391871.0;20812761.0;2420890.0;113.2;;
111;Total goods;Total countries (groups);2004 August;18186299.0;19594324.0;1408025.0;107.7;;
112;Total goods;Total countries (groups);2004 September;19897270.0;23210081.0;3312811.0;116.6;;
113;Total goods;Total countries (groups);2004 October;20189490.0;22835597.0;2646107.0;113.1;;
114;Total goods;Total countries (groups);2004 November;20739453.0;23139223.0;2399770.0;111.6;;
115;Total goods;Total countries (groups);2004 December;20557599.0;22422577.0;1864978.0;109.1;;
116;Total goods;Total countries (groups);2004;228245057.0;255696645.0;27451589.0;112.0;;
117;Total goods;Total countries (groups);2005 January;18715492.0;21100899.0;2385407.0;112.7;10.3;10.3
118;Total goods;Total countries (groups);2005 February;18703818.0;21272971.0;2569153.0;113.7;7.8;10.1
119;Total goods;Total countries (groups);2005 March;21076733.0;24218213.0;3141480.0;114.9;4.1;6.4
120;Total goods;Total countries (groups);2005 April;20290968.0;23129248.0;2838280.0;114.0;11.4;13.6
121;Total goods;Total countries (groups);2005 May;19338541.0;22232582.0;2894041.0;115.0;8.5;12.7
122;Total goods;Total countries (groups);2005 June;20868597.0;23709550.0;2840953.0;113.6;6.0;5.9
123;Total goods;Total countries (groups);2005 July;20149883.0;22156482.0;2006599.0;110.0;9.6;6.5
124;Total goods;Total countries (groups);2005 August;20408745.0;22315977.0;1907232.0;109.3;12.2;13.9
125;Total goods;Total countries (groups);2005 September;22331074.0;25426688.0;3095614.0;113.9;12.2;9.6
126;Total goods;Total countries (groups);2005 October;22284299.0;24916709.0;2632410.0;111.8;10.4;9.1
127;Total goods;Total countries (groups);2005 November;23045147.0;25914417.0;2869270.0;112.5;11.1;12.0
128;Total goods;Total countries (groups);2005 December;22635319.0;24913670.0;2278351.0;110.1;10.1;11.1
129;Total goods;Total countries (groups);2005;249848615.0;281307407.0;31458792.0;112.6;9.5;10.0
130;Total goods;Total countries (groups);2006 January;22776195.0;24921756.0;2145561.0;109.4;21.7;18.1
131;Total goods;Total countries (groups);2006 February;21509706.0;24702372.0;3192666.0;114.8;15.0;16.1
132;Total goods;Total countries (groups);2006 March;25392847.0;29255921.0;3863074.0;115.2;20.5;20.8
133;Total goods;Total countries (groups);2006 April;22442364.0;24908761.0;2466397.0;111.0;10.6;7.7
134;Total goods;Total countries (groups);2006 May;24215287.0;26421087.0;2205800.0;109.1;25.2;18.8
135;Total goods;Total countries (groups);2006 June;24103725.0;27202848.0;3099123.0;112.9;15.5;14.7
136;Total goods;Total countries (groups);2006 July;22782535.0;24362257.0;1579722.0;106.9;13.1;10.0
137;Total goods;Total countries (groups);2006 August;23178303.0;25404615.0;2226312.0;109.6;13.6;13.8
138;Total goods;Total countries (groups);2006 September;24147800.0;27461019.0;3313219.0;113.7;8.1;8.0
139;Total goods;Total countries (groups);2006 October;25645268.0;28187462.0;2542194.0;109.9;15.1;13.1
140;Total goods;Total countries (groups);2006 November;25550722.0;29212384.0;3661662.0;114.3;10.9;12.7
141;Total goods;Total countries (groups);2006 December;23628555.0;26920628.0;3292073.0;113.9;4.4;8.1
142;Total goods;Total countries (groups);2006;285373308.0;318961110.0;33587802.0;111.8;14.2;13.4
143;Total goods;Total countries (groups);2007 January;24469590.0;27369699.0;2900109.0;111.9;7.4;9.8
144;Total goods;Total countries (groups);2007 February;23763628.0;26723958.0;2960330.0;112.5;10.5;8.2
145;Total goods;Total countries (groups);2007 March;26469944.0;30758681.0;4288737.0;116.2;4.2;5.1
146;Total goods;Total countries (groups);2007 April;24262517.0;26723012.0;2460495.0;110.1;8.1;7.3
147;Total goods;Total countries (groups);2007 May;26003576.0;28336250.0;2332673.0;109.0;7.4;7.2
148;Total goods;Total countries (groups);2007 June;25730157.0;29257426.0;3527268.0;113.7;6.7;7.6
149;Total goods;Total countries (groups);2007 July;25094765.0;27865022.0;2770257.0;111.0;10.1;14.4
150;Total goods;Total countries (groups);2007 August;24879893.0;27639574.0;2759681.0;111.1;7.3;8.8
151;Total goods;Total countries (groups);2007 September;25436931.0;29306472.0;3869541.0;115.2;5.3;6.7
152;Total goods;Total countries (groups);2007 October;27745489.0;31916977.0;4171488.0;115.0;8.2;13.2
153;Total goods;Total countries (groups);2007 November;28232843.0;32910902.0;4678059.0;116.6;10.5;12.7
154;Total goods;Total countries (groups);2007 December;25189452.0;28702224.0;3512772.0;113.9;6.6;6.6
155;Total goods;Total countries (groups);2007;307278784.0;347510195.0;40231411.0;113.1;7.7;9.0
156;Total goods;Total countries (groups);2008 January;28099547.0;31024727.0;2925180.0;110.4;;
157;Total goods;Total countries (groups);2008 February;27899694.0;31068191.0;3168497.0;111.4;;
158;Total goods;Total countries (groups);2008 March;28077725.0;31618684.0;3540959.0;112.6;;
159;Total goods;Total countries (groups);2008 April;28478877.0;32019599.0;3540723.0;112.4;;
160;Total goods;Total countries (groups);2008 May;28155890.0;30466953.0;2311063.0;108.2;;
161;Total goods;Total countries (groups);2008 June;29218846.0;31960390.0;2741543.0;109.4;;
162;Total goods;Total countries (groups);2008 July;28781756.0;31389239.0;2607483.0;109.1;;
163;Total goods;Total countries (groups);2008 August;27078353.0;28862561.0;1784209.0;106.6;;
164;Total goods;Total countries (groups);2008 September;30031195.0;33143393.0;3112198.0;110.4;;
165;Total goods;Total countries (groups);2008 October;29578699.0;33350298.0;3771599.0;112.8;;
166;Total goods;Total countries (groups);2008 November;26531542.0;29079262.0;2547720.0;109.6;;
167;Total goods;Total countries (groups);2008 December;23994792.0;26505484.0;2510691.0;110.5;;
168;Total goods;Total countries (groups);2008;335926917.0;370488781.0;34561864.0;110.3;;
169;Total goods;Total countries (groups);2009 January;22066864.0;24974984.0;2908120.0;113.2;-21.5;-19.5
170;Total goods;Total countries (groups);2009 February;21817733.0;24643641.0;2825908.0;113.0;-21.8;-20.7
171;Total goods;Total countries (groups);2009 March;23786694.0;26626182.0;2839487.0;111.9;-15.3;-15.8
172;Total goods;Total countries (groups);2009 April;21550722.0;23976754.0;2426032.0;111.3;-24.3;-25.1
173;Total goods;Total countries (groups);2009 May;21309460.0;23898135.0;2588675.0;112.1;-24.3;-21.6
174;Total goods;Total countries (groups);2009 June;22394704.0;25582955.0;3188251.0;114.2;-23.4;-20.0
175;Total goods;Total countries (groups);2009 July;22906005.0;25974227.0;3068222.0;113.4;-20.4;-17.3
176;Total goods;Total countries (groups);2009 August;21430131.0;23529477.0;2099346.0;109.8;-20.9;-18.5
177;Total goods;Total countries (groups);2009 September;23492043.0;27490712.0;3998669.0;117.0;-21.8;-17.1
178;Total goods;Total countries (groups);2009 October;24143502.0;28053377.0;3909875.0;116.2;-18.4;-15.9
179;Total goods;Total countries (groups);2009 November;24437866.0;27912808.0;3474942.0;114.2;-7.9;-4.0
180;Total goods;Total countries (groups);2009 December;24689304.0;26705942.0;2016638.0;108.2;2.9;0.8
181;Total goods;Total countries (groups);2009;274025029.0;309369194.0;35344165.0;112.9;-18.4;-16.5
182;Total goods;Total countries (groups);2010 January;24569215.0;26788302.0;2219087.0;109.0;11.3;7.3
183;Total goods;Total countries (groups);2010 February;23754062.0;27599687.0;3845625.0;116.2;8.9;12.0
184;Total goods;Total countries (groups);2010 March;28472649.0;32769917.0;4297268.0;115.1;19.7;23.1
185;Total goods;Total countries (groups);2010 April;27050980.0;29622683.0;2571703.0;109.5;25.5;23.5
186;Total goods;Total countries (groups);2010 May;27081159.0;29299625.0;2218466.0;108.2;27.1;22.6
187;Total goods;Total countries (groups);2010 June;29634575.0;32152298.0;2517724.0;108.5;32.3;25.7
188;Total goods;Total countries (groups);2010 July;27715311.0;30699539.0;2984228.0;110.8;21.0;18.2
189;Total goods;Total countries (groups);2010 August;26372545.0;29462516.0;3089971.0;111.7;23.1;25.2
190;Total goods;Total countries (groups);2010 September;28008797.0;32708553.0;4699755.0;116.8;19.2;19.0
191;Total goods;Total countries (groups);2010 October;29471972.0;32822926.0;3350955.0;111.4;22.1;17.0
192;Total goods;Total countries (groups);2010 November;30005323.0;34072654.0;4067330.0;113.6;22.8;22.1
193;Total goods;Total countries (groups);2010 December;29776961.0;33550513.0;3773551.0;112.7;20.6;25.6
194;Total goods;Total countries (groups);2010;331913549.0;371549213.0;39635664.0;111.9;21.1;20.1
195;Total goods;Total countries (groups);2011 January;28886499.0;32168245.0;3281746.0;111.4;17.6;20.1
196;Total goods;Total countries (groups);2011 February;28548946.0;32832709.0;4283763.0;115.0;20.2;19.0
197;Total goods;Total countries (groups);2011 March;33347678.0;37340813.0;3993135.0;112.0;17.1;13.9
198;Total goods;Total countries (groups);2011 April;29017319.0;33746804.0;4729486.0;116.3;7.3;13.9
199;Total goods;Total countries (groups);2011 May;30923797.0;34481916.0;3558119.0;111.5;14.2;17.7
200;Total goods;Total countries (groups);2011 June;30434643.0;33308904.0;2874261.0;109.4;2.7;3.6
201;Total goods;Total countries (groups);2011 July;29430893.0;33057424.0;3626530.0;112.3;6.2;7.7
202;Total goods;Total countries (groups);2011 August;30290242.0;32808861.0;2518619.0;108.3;14.9;11.4
203;Total goods;Total countries (groups);2011 September;31286062.0;35316115.0;4030052.0;112.9;11.7;8.0
204;Total goods;Total countries (groups);2011 October;30622479.0;33989138.0;3366659.0;111.0;3.9;3.6
205;Total goods;Total countries (groups);2011 November;31741813.0;35799234.0;4057420.0;112.8;5.8;5.1
206;Total goods;Total countries (groups);2011 December;30391208.0;34508044.0;4116836.0;113.5;2.1;2.9
207;Total goods;Total countries (groups);2011;364921580.0;409358207.0;44436627.0;112.2;9.9;10.2
208;Total goods;Total countries (groups);2012 January;30739723.0;34646257.0;3906535.0;112.7;6.4;7.7
209;Total goods;Total countries (groups);2012 February;32085796.0;35203354.0;3117558.0;109.7;12.4;7.2
210;Total goods;Total countries (groups);2012 March;33947220.0;38084100.0;4136880.0;112.2;1.8;2.0
211;Total goods;Total countries (groups);2012 April;31312485.0;35004921.0;3692436.0;111.8;7.9;3.7
212;Total goods;Total countries (groups);2012 May;33239306.0;36734133.0;3494827.0;110.5;7.5;6.5
213;Total goods;Total countries (groups);2012 June;32361755.0;35716272.0;3354517.0;110.4;6.3;7.2
214;Total goods;Total countries (groups);2012 July;32170288.0;34543188.0;2372900.0;107.4;9.3;4.5
215;Total goods;Total countries (groups);2012 August;32665079.0;34339775.0;1674696.0;105.1;7.8;4.7
216;Total goods;Total countries (groups);2012 September;31411563.0;35093694.0;3682132.0;111.7;0.4;-0.6
217;Total goods;Total countries (groups);2012 October;34890588.0;38730133.0;3839545.0;111.0;13.9;13.9
218;Total goods;Total countries (groups);2012 November;33919201.0;37805478.0;3886277.0;111.5;6.9;5.6
219;Total goods;Total countries (groups);2012 December;30705975.0;33815286.0;3109311.0;110.1;1.0;-2.0
220;Total goods;Total countries (groups);2012 ;389448980.0;429716592.0;40267612.0;110.3;6.7;5.0
221;Total goods;Total countries (groups);2013 January;32846268.0;36486055.0;3639787.0;111.1;6.9;5.3
222;Total goods;Total countries (groups);2013 February;31368075.0;34960115.0;3592039.0;111.5;-2.2;-0.7
223;Total goods;Total countries (groups);2013 March;33130144.0;38053903.0;4923760.0;114.9;-2.4;-0.1
224;Total goods;Total countries (groups);2013 April;31664888.0;35282969.0;3618081.0;111.4;1.1;0.8
225;Total goods;Total countries (groups);2013 May;33138881.0;37361106.0;4222225.0;112.7;-0.3;1.7
226;Total goods;Total countries (groups);2013 June;32200984.0;35536235.0;3335251.0;110.4;-0.5;-0.5
227;Total goods;Total countries (groups);2013 July;32229699.0;36102722.0;3873023.0;112.0;0.2;4.5
228;Total goods;Total countries (groups);2013 August;30287254.0;33885542.0;3598288.0;111.9;-7.3;-1.3
229;Total goods;Total countries (groups);2013 September;31918369.0;35415873.0;3497504.0;111.0;1.6;0.9
230;Total goods;Total countries (groups);2013 October;33853193.0;38053084.0;4199891.0;112.4;-3.0;-1.7
231;Total goods;Total countries (groups);2013 November;32232455.0;37181170.0;4948715.0;115.4;-5.0;-1.7
232;Total goods;Total countries (groups);2013 December;31484455.0;34787238.0;3302783.0;110.5;2.5;2.9
233;Total goods;Total countries (groups);2013;386354665.0;433106011.0;46751347.0;112.1;-0.8;0.8
234;Total goods;Total countries (groups);2014 January;31901613.0;36074302.0;4172689.0;113.1;-2.9;-1.1
235;Total goods;Total countries (groups);2014 February;30259768.0;34965859.0;4706091.0;115.6;-3.5;0.0
236;Total goods;Total countries (groups);2014 March;32823052.0;37482409.0;4659358.0;114.2;-0.9;-1.5
237;Total goods;Total countries (groups);2014 April;32018345.0;36108816.0;4090471.0;112.8;1.1;2.3
238;Total goods;Total countries (groups);2014 May;32100334.0;35519958.0;3419624.0;110.7;-3.1;-4.9
239;Total goods;Total countries (groups);2014 June;31951558.0;36123022.0;4171464.0;113.1;-0.8;1.7
240;Total goods;Total countries (groups);2014 July;33273934.0;36256492.0;2982558.0;109.0;3.2;0.4
241;Total goods;Total countries (groups);2014 August;29490765.0;32456324.0;2965559.0;110.1;-2.6;-4.2
242;Total goods;Total countries (groups);2014 September;32751389.0;37748367.0;4996978.0;115.3;2.6;6.6
243;Total goods;Total countries (groups);2014 October;33643285.0;38461439.0;4818154.0;114.3;-0.6;1.1
244;Total goods;Total countries (groups);2014 November;31225781.0;36343557.0;5117775.0;116.4;-3.1;-2.3
245;Total goods;Total countries (groups);2014 December;30976427.0;35864909.0;4888482.0;115.8;-1.6;3.1
246;Total goods;Total countries (groups);2014;382416252.0;433405454.0;50989203.0;113.3;-1.0;0.1
247;Total goods;Total countries (groups);2015 January;28305865.0;33055026.0;4749161.0;116.8;;
248;Total goods;Total countries (groups);2015 February;28559828.0;33473262.0;4913434.0;117.2;;
249;Total goods;Total countries (groups);2015 March;34021325.0;37198362.0;3177037.0;109.3;;
250;Total goods;Total countries (groups);2015 April;31602411.0;35239820.0;3637409.0;111.5;;
251;Total goods;Total countries (groups);2015 May;30739753.0;33566924.0;2827172.0;109.2;;
252;Total goods;Total countries (groups);2015 June;32881257.0;37623063.0;4741806.0;114.4;;
253;Total goods;Total countries (groups);2015 July;32015198.0;36153516.0;4138318.0;112.9;;
254;Total goods;Total countries (groups);2015 August;28752192.0;31689246.0;2937053.0;110.2;;
255;Total goods;Total countries (groups);2015 September;31059138.0;35184719.0;4125581.0;113.3;;
256;Total goods;Total countries (groups);2015 October;31686281.0;35427643.0;3741363.0;111.8;;
257;Total goods;Total countries (groups);2015 November;31017974.0;35463556.0;4445581.0;114.3;;
258;Total goods;Total countries (groups);2015 December;31553605.0;34907115.0;3353510.0;110.6;;
259;Total goods;Total countries (groups);2015;372194826.0;418982251.0;46787425.0;112.6;;
260;Total goods;Total countries (groups);2016 January;27904723.0;32235254.0;4330531.0;115.5;-1.4;-2.5
261;Total goods;Total countries (groups);2016 February;29404157.0;33078142.0;3673985.0;112.5;3.0;-1.2
262;Total goods;Total countries (groups);2016 March;30801168.0;36031220.0;5230051.0;117.0;-9.5;-3.1
263;Total goods;Total countries (groups);2016 April;30062369.0;34662713.0;4600345.0;115.3;-4.9;-1.6
264;Total goods;Total countries (groups);2016 May;30056053.0;34453401.0;4397347.0;114.6;-2.2;2.6
265;Total goods;Total countries (groups);2016 June;31931291.0;36850143.0;4918852.0;115.4;-2.9;-2.1
266;Total goods;Total countries (groups);2016 July;29134665.0;33620087.0;4485422.0;115.4;-9.0;-7.0
267;Total goods;Total countries (groups);2016 August;29551869.0;33558656.0;4006787.0;113.6;2.8;5.9
268;Total goods;Total countries (groups);2016 September;32133665.0;36738508.0;4604844.0;114.3;3.5;4.4
269;Total goods;Total countries (groups);2016 October;31901448.0;35704539.0;3803091.0;111.9;0.7;0.8
270;Total goods;Total countries (groups);2016 November;33358223.0;38679146.0;5320923.0;116.0;7.6;9.1
271;Total goods;Total countries (groups);2016 December;32620969.0;37616034.0;4995066.0;115.3;3.4;7.8
272;Total goods;Total countries (groups);2016;368860601.0;423227843.0;54367241.0;114.7;-0.9;1.0
273;Total goods;Total countries (groups);2017 January;33215369.0;37789808.0;4574439.0;113.8;19.0;17.2
274;Total goods;Total countries (groups);2017 February;32372275.0;37421786.0;5049511.0;115.6;10.1;13.1
275;Total goods;Total countries (groups);2017 March;37059589.0;43551106.0;6491517.0;117.5;20.3;20.9
276;Total goods;Total countries (groups);2017 April;31674598.0;35547586.0;3872987.0;112.2;5.4;2.6
277;Total goods;Total countries (groups);2017 May;35179371.0;39851303.0;4671932.0;113.3;17.0;15.7
278;Total goods;Total countries (groups);2017 June;34314444.0;40649317.0;6334873.0;118.5;7.5;10.3
279;Total goods;Total countries (groups);2017 July;32082705.0;36813865.0;4731160.0;114.7;10.1;9.5
280;Total goods;Total countries (groups);2017 August;33147757.0;36766535.0;3618778.0;110.9;12.2;9.6
281;Total goods;Total countries (groups);2017 September;33561718.0;39350265.0;5788548.0;117.2;4.4;7.1
