ID;LeeftijdReferentiepersoon;AantalPersonenInHetHuishouden;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;ZonderKinderen_4;MetKinderen_5;TotaalNietGehuwdeParen_6;ZonderKinderen_7;MetKinderen_8;TotaalGehuwdeParen_9;ZonderKinderen_10;MetKinderen_11;Eenouderhuishouden_12;OverigHuishouden_13
202;53050;Meerpersoonshuishouden met 2 personen;1981;111;;111.0;103.0;7.0;42.0;42.0;;55.0;55.0;;7.0;6.0
203;53050;Meerpersoonshuishouden met 2 personen;1982;112;;112.0;104.0;8.0;46.0;46.0;;52.0;52.0;;8.0;6.0
204;53050;Meerpersoonshuishouden met 2 personen;1983;114;;114.0;105.0;8.0;50.0;50.0;;49.0;49.0;;8.0;6.0
205;53050;Meerpersoonshuishouden met 2 personen;1984;114;;114.0;106.0;9.0;54.0;54.0;;45.0;45.0;;9.0;7.0
206;53050;Meerpersoonshuishouden met 2 personen;1985;114;;114.0;105.0;9.0;57.0;57.0;;42.0;42.0;;9.0;7.0
207;53050;Meerpersoonshuishouden met 2 personen;1986;113;;113.0;105.0;8.0;59.0;59.0;;38.0;38.0;;8.0;7.0
208;53050;Meerpersoonshuishouden met 2 personen;1987;112;;112.0;104.0;8.0;62.0;62.0;;35.0;35.0;;8.0;7.0
209;53050;Meerpersoonshuishouden met 2 personen;1988;111;;111.0;103.0;8.0;64.0;64.0;;32.0;32.0;;8.0;7.0
210;53050;Meerpersoonshuishouden met 2 personen;1989;109;;109.0;102.0;7.0;66.0;66.0;;29.0;29.0;;7.0;7.0
211;53050;Meerpersoonshuishouden met 2 personen;1990;109;;109.0;102.0;7.0;68.0;68.0;;27.0;27.0;;7.0;7.0
212;53050;Meerpersoonshuishouden met 2 personen;1991;109;;109.0;103.0;6.0;71.0;71.0;;25.0;25.0;;6.0;7.0
213;53050;Meerpersoonshuishouden met 2 personen;1992;107;;107.0;102.0;6.0;72.0;72.0;;22.0;22.0;;6.0;7.0
214;53050;Meerpersoonshuishouden met 2 personen;1993;104;;104.0;98.0;6.0;72.0;72.0;;20.0;20.0;;6.0;6.0
215;53050;Meerpersoonshuishouden met 2 personen;1994;98;;98.0;92.0;6.0;69.0;69.0;;17.0;17.0;;6.0;6.0
216;53050;Meerpersoonshuishouden met 3 personen;1971;55;;55.0;2.0;53.0;0.0;0.0;0.0;53.0;1.0;52.0;1.0;1.0
217;53050;Meerpersoonshuishouden met 3 personen;1972;50;;50.0;2.0;48.0;0.0;0.0;0.0;48.0;1.0;47.0;1.0;1.0
218;53050;Meerpersoonshuishouden met 3 personen;1973;46;;46.0;2.0;44.0;1.0;0.0;1.0;44.0;1.0;42.0;1.0;1.0
219;53050;Meerpersoonshuishouden met 3 personen;1974;42;;42.0;2.0;40.0;1.0;0.0;1.0;39.0;1.0;38.0;1.0;1.0
220;53050;Meerpersoonshuishouden met 3 personen;1975;38;;38.0;2.0;36.0;1.0;0.0;1.0;36.0;1.0;35.0;1.0;1.0
221;53050;Meerpersoonshuishouden met 3 personen;1976;36;;36.0;2.0;34.0;1.0;0.0;1.0;33.0;1.0;32.0;1.0;1.0
222;53050;Meerpersoonshuishouden met 3 personen;1977;33;;33.0;2.0;31.0;1.0;0.0;1.0;30.0;1.0;29.0;1.0;1.0
223;53050;Meerpersoonshuishouden met 3 personen;1978;31;;31.0;2.0;29.0;2.0;0.0;1.0;28.0;1.0;27.0;1.0;0.0
224;53050;Meerpersoonshuishouden met 3 personen;1979;29;;29.0;2.0;27.0;2.0;0.0;1.0;25.0;1.0;24.0;1.0;0.0
225;53050;Meerpersoonshuishouden met 3 personen;1980;27;;27.0;2.0;25.0;2.0;1.0;1.0;23.0;1.0;22.0;1.0;0.0
226;53050;Meerpersoonshuishouden met 3 personen;1981;26;;26.0;2.0;24.0;2.0;1.0;2.0;22.0;1.0;21.0;2.0;0.0
227;53050;Meerpersoonshuishouden met 3 personen;1982;25;;25.0;2.0;23.0;2.0;1.0;2.0;21.0;1.0;20.0;2.0;0.0
228;53050;Meerpersoonshuishouden met 3 personen;1983;25;;25.0;2.0;23.0;2.0;1.0;2.0;20.0;1.0;19.0;2.0;0.0
229;53050;Meerpersoonshuishouden met 3 personen;1984;24;;24.0;2.0;22.0;3.0;1.0;2.0;19.0;1.0;18.0;2.0;0.0
230;53050;Meerpersoonshuishouden met 3 personen;1985;23;;23.0;2.0;21.0;3.0;1.0;2.0;17.0;1.0;17.0;2.0;0.0
