ID;Generatie;HerkomstgroeperingVrouw;Huwelijksjaar;TotaalMannen_1;Autochtoon_2;TotaalNietWesters_3;Marokko_4;NederlandseAntillenAruba_5;Suriname_6;Turkije_7;OverigeNietWesters_8;Westers_9
58;Beiden 1e generatie allochtoon;Autochtoon;2001 (Eén jaar getrouwd);;;;;;;;;
59;Beiden 1e generatie allochtoon;Autochtoon;2002 (Nog geen jaar getrouwd);;;;;;;;;
60;Beiden 1e generatie allochtoon;Totaal niet-westers;2000 (Twee jaar getrouwd);7406.0;;7200.0;2247.0;233.0;1003.0;1556.0;2161.0;206.0
61;Beiden 1e generatie allochtoon;Totaal niet-westers;2001 (Eén jaar getrouwd);6007.0;;5823.0;1661.0;202.0;772.0;1370.0;1818.0;184.0
62;Beiden 1e generatie allochtoon;Totaal niet-westers;2002 (Nog geen jaar getrouwd);2681.0;;2537.0;426.0;168.0;521.0;389.0;1033.0;144.0
63;Beiden 1e generatie allochtoon;Marokko;2000 (Twee jaar getrouwd);2345.0;;2330.0;2212.0;8.0;13.0;8.0;89.0;15.0
64;Beiden 1e generatie allochtoon;Marokko;2001 (Eén jaar getrouwd);1738.0;;1726.0;1630.0;4.0;8.0;5.0;79.0;12.0
65;Beiden 1e generatie allochtoon;Marokko;2002 (Nog geen jaar getrouwd);496.0;;485.0;403.0;3.0;7.0;11.0;61.0;11.0
66;Beiden 1e generatie allochtoon;Nederlandse Antillen + Aruba;2000 (Twee jaar getrouwd);225.0;;220.0;12.0;175.0;11.0;5.0;17.0;5.0
67;Beiden 1e generatie allochtoon;Nederlandse Antillen + Aruba;2001 (Eén jaar getrouwd);211.0;;204.0;5.0;164.0;9.0;4.0;22.0;7.0
68;Beiden 1e generatie allochtoon;Nederlandse Antillen + Aruba;2002 (Nog geen jaar getrouwd);174.0;;170.0;6.0;143.0;11.0;0.0;10.0;4.0
69;Beiden 1e generatie allochtoon;Suriname;2000 (Twee jaar getrouwd);1025.0;;1013.0;11.0;12.0;922.0;7.0;61.0;12.0
70;Beiden 1e generatie allochtoon;Suriname;2001 (Eén jaar getrouwd);808.0;;790.0;8.0;11.0;725.0;3.0;43.0;18.0
71;Beiden 1e generatie allochtoon;Suriname;2002 (Nog geen jaar getrouwd);536.0;;517.0;6.0;9.0;484.0;5.0;13.0;19.0
72;Beiden 1e generatie allochtoon;Turkije;2000 (Twee jaar getrouwd);1567.0;;1540.0;1.0;0.0;0.0;1524.0;15.0;27.0
73;Beiden 1e generatie allochtoon;Turkije;2001 (Eén jaar getrouwd);1376.0;;1353.0;3.0;0.0;1.0;1335.0;14.0;23.0
74;Beiden 1e generatie allochtoon;Turkije;2002 (Nog geen jaar getrouwd);379.0;;370.0;3.0;0.0;0.0;360.0;7.0;9.0
75;Beiden 1e generatie allochtoon;Overige niet-westers;2000 (Twee jaar getrouwd);2244.0;;2097.0;11.0;38.0;57.0;12.0;1979.0;147.0
76;Beiden 1e generatie allochtoon;Overige niet-westers;2001 (Eén jaar getrouwd);1874.0;;1750.0;15.0;23.0;29.0;23.0;1660.0;124.0
77;Beiden 1e generatie allochtoon;Overige niet-westers;2002 (Nog geen jaar getrouwd);1096.0;;995.0;8.0;13.0;19.0;13.0;942.0;101.0
78;Beiden 1e generatie allochtoon;Westers;2000 (Twee jaar getrouwd);1683.0;;294.0;51.0;9.0;26.0;73.0;135.0;1389.0
79;Beiden 1e generatie allochtoon;Westers;2001 (Eén jaar getrouwd);1465.0;;278.0;52.0;10.0;15.0;59.0;142.0;1187.0
80;Beiden 1e generatie allochtoon;Westers;2002 (Nog geen jaar getrouwd);1018.0;;195.0;22.0;14.0;13.0;38.0;108.0;823.0
81;Man 1e, vrouw 2e generatie allochtoon;Totaal vrouwen;2000 (Twee jaar getrouwd);1627.0;;1417.0;430.0;30.0;129.0;730.0;98.0;210.0
82;Man 1e, vrouw 2e generatie allochtoon;Totaal vrouwen;2001 (Eén jaar getrouwd);1564.0;;1339.0;351.0;27.0;139.0;695.0;127.0;225.0
83;Man 1e, vrouw 2e generatie allochtoon;Totaal vrouwen;2002 (Nog geen jaar getrouwd);872.0;;684.0;180.0;23.0;127.0;247.0;107.0;188.0
84;Man 1e, vrouw 2e generatie allochtoon;Autochtoon;2000 (Twee jaar getrouwd);;;;;;;;;
85;Man 1e, vrouw 2e generatie allochtoon;Autochtoon;2001 (Eén jaar getrouwd);;;;;;;;;
86;Man 1e, vrouw 2e generatie allochtoon;Autochtoon;2002 (Nog geen jaar getrouwd);;;;;;;;;
87;Man 1e, vrouw 2e generatie allochtoon;Totaal niet-westers;2000 (Twee jaar getrouwd);1325.0;;1297.0;415.0;15.0;107.0;710.0;50.0;28.0
88;Man 1e, vrouw 2e generatie allochtoon;Totaal niet-westers;2001 (Eén jaar getrouwd);1228.0;;1186.0;332.0;9.0;115.0;665.0;65.0;42.0
89;Man 1e, vrouw 2e generatie allochtoon;Totaal niet-westers;2002 (Nog geen jaar getrouwd);592.0;;567.0;169.0;8.0;109.0;237.0;44.0;25.0
90;Man 1e, vrouw 2e generatie allochtoon;Marokko;2000 (Twee jaar getrouwd);415.0;;413.0;403.0;0.0;0.0;4.0;6.0;2.0
91;Man 1e, vrouw 2e generatie allochtoon;Marokko;2001 (Eén jaar getrouwd);331.0;;328.0;319.0;0.0;3.0;1.0;5.0;3.0
92;Man 1e, vrouw 2e generatie allochtoon;Marokko;2002 (Nog geen jaar getrouwd);172.0;;168.0;160.0;2.0;0.0;0.0;6.0;4.0
93;Man 1e, vrouw 2e generatie allochtoon;Nederlandse Antillen + Aruba;2000 (Twee jaar getrouwd);15.0;;13.0;1.0;9.0;2.0;1.0;0.0;2.0
94;Man 1e, vrouw 2e generatie allochtoon;Nederlandse Antillen + Aruba;2001 (Eén jaar getrouwd);11.0;;7.0;0.0;1.0;2.0;1.0;3.0;4.0
95;Man 1e, vrouw 2e generatie allochtoon;Nederlandse Antillen + Aruba;2002 (Nog geen jaar getrouwd);7.0;;6.0;0.0;3.0;2.0;0.0;1.0;1.0
96;Man 1e, vrouw 2e generatie allochtoon;Suriname;2000 (Twee jaar getrouwd);120.0;;112.0;3.0;5.0;97.0;0.0;7.0;8.0
97;Man 1e, vrouw 2e generatie allochtoon;Suriname;2001 (Eén jaar getrouwd);137.0;;130.0;7.0;4.0;106.0;2.0;11.0;7.0
98;Man 1e, vrouw 2e generatie allochtoon;Suriname;2002 (Nog geen jaar getrouwd);117.0;;108.0;1.0;3.0;99.0;1.0;4.0;9.0
99;Man 1e, vrouw 2e generatie allochtoon;Turkije;2000 (Twee jaar getrouwd);729.0;;715.0;1.0;0.0;4.0;704.0;6.0;14.0
100;Man 1e, vrouw 2e generatie allochtoon;Turkije;2001 (Eén jaar getrouwd);693.0;;670.0;1.0;0.0;1.0;659.0;9.0;23.0
101;Man 1e, vrouw 2e generatie allochtoon;Turkije;2002 (Nog geen jaar getrouwd);252.0;;246.0;3.0;0.0;1.0;236.0;6.0;6.0
102;Man 1e, vrouw 2e generatie allochtoon;Overige niet-westers;2000 (Twee jaar getrouwd);46.0;;44.0;7.0;1.0;4.0;1.0;31.0;2.0
103;Man 1e, vrouw 2e generatie allochtoon;Overige niet-westers;2001 (Eén jaar getrouwd);56.0;;51.0;5.0;4.0;3.0;2.0;37.0;5.0
104;Man 1e, vrouw 2e generatie allochtoon;Overige niet-westers;2002 (Nog geen jaar getrouwd);44.0;;39.0;5.0;0.0;7.0;0.0;27.0;5.0
105;Man 1e, vrouw 2e generatie allochtoon;Westers;2000 (Twee jaar getrouwd);302.0;;120.0;15.0;15.0;22.0;20.0;48.0;182.0
106;Man 1e, vrouw 2e generatie allochtoon;Westers;2001 (Eén jaar getrouwd);336.0;;153.0;19.0;18.0;24.0;30.0;62.0;183.0
107;Man 1e, vrouw 2e generatie allochtoon;Westers;2002 (Nog geen jaar getrouwd);280.0;;117.0;11.0;15.0;18.0;10.0;63.0;163.0
108;Man 2e, vrouw 1e generatie allochtoon;Totaal vrouwen;2000 (Twee jaar getrouwd);1231.0;;711.0;124.0;12.0;78.0;458.0;39.0;520.0
109;Man 2e, vrouw 1e generatie allochtoon;Totaal vrouwen;2001 (Eén jaar getrouwd);1159.0;;659.0;122.0;14.0;75.0;412.0;36.0;500.0
110;Man 2e, vrouw 1e generatie allochtoon;Totaal vrouwen;2002 (Nog geen jaar getrouwd);792.0;;298.0;51.0;16.0;63.0;132.0;36.0;494.0
111;Man 2e, vrouw 1e generatie allochtoon;Autochtoon;2000 (Twee jaar getrouwd);;;;;;;;;
112;Man 2e, vrouw 1e generatie allochtoon;Autochtoon;2001 (Eén jaar getrouwd);;;;;;;;;
113;Man 2e, vrouw 1e generatie allochtoon;Autochtoon;2002 (Nog geen jaar getrouwd);;;;;;;;;
114;Man 2e, vrouw 1e generatie allochtoon;Totaal niet-westers;2000 (Twee jaar getrouwd);854.0;;668.0;121.0;8.0;71.0;437.0;31.0;186.0
115;Man 2e, vrouw 1e generatie allochtoon;Totaal niet-westers;2001 (Eén jaar getrouwd);780.0;;607.0;115.0;11.0;67.0;385.0;29.0;173.0
116;Man 2e, vrouw 1e generatie allochtoon;Totaal niet-westers;2002 (Nog geen jaar getrouwd);450.0;;255.0;48.0;11.0;57.0;112.0;27.0;195.0
117;Man 2e, vrouw 1e generatie allochtoon;Marokko;2000 (Twee jaar getrouwd);137.0;;126.0;120.0;1.0;0.0;2.0;3.0;11.0
118;Man 2e, vrouw 1e generatie allochtoon;Marokko;2001 (Eén jaar getrouwd);131.0;;119.0;111.0;1.0;2.0;4.0;1.0;12.0
119;Man 2e, vrouw 1e generatie allochtoon;Marokko;2002 (Nog geen jaar getrouwd);58.0;;47.0;45.0;0.0;0.0;1.0;1.0;11.0
120;Man 2e, vrouw 1e generatie allochtoon;Nederlandse Antillen + Aruba;2000 (Twee jaar getrouwd);16.0;;7.0;0.0;2.0;3.0;1.0;1.0;9.0
121;Man 2e, vrouw 1e generatie allochtoon;Nederlandse Antillen + Aruba;2001 (Eén jaar getrouwd);17.0;;10.0;0.0;4.0;6.0;0.0;0.0;7.0
122;Man 2e, vrouw 1e generatie allochtoon;Nederlandse Antillen + Aruba;2002 (Nog geen jaar getrouwd);25.0;;10.0;0.0;5.0;3.0;0.0;2.0;15.0
123;Man 2e, vrouw 1e generatie allochtoon;Suriname;2000 (Twee jaar getrouwd);108.0;;64.0;0.0;1.0;59.0;1.0;3.0;44.0
124;Man 2e, vrouw 1e generatie allochtoon;Suriname;2001 (Eén jaar getrouwd);87.0;;53.0;1.0;1.0;50.0;0.0;1.0;34.0
125;Man 2e, vrouw 1e generatie allochtoon;Suriname;2002 (Nog geen jaar getrouwd);93.0;;61.0;1.0;4.0;49.0;1.0;6.0;32.0
126;Man 2e, vrouw 1e generatie allochtoon;Turkije;2000 (Twee jaar getrouwd);440.0;;432.0;0.0;1.0;1.0;430.0;0.0;8.0
127;Man 2e, vrouw 1e generatie allochtoon;Turkije;2001 (Eén jaar getrouwd);387.0;;377.0;0.0;0.0;1.0;376.0;0.0;10.0
128;Man 2e, vrouw 1e generatie allochtoon;Turkije;2002 (Nog geen jaar getrouwd);126.0;;109.0;1.0;0.0;2.0;105.0;1.0;17.0
129;Man 2e, vrouw 1e generatie allochtoon;Overige niet-westers;2000 (Twee jaar getrouwd);153.0;;39.0;1.0;3.0;8.0;3.0;24.0;114.0
130;Man 2e, vrouw 1e generatie allochtoon;Overige niet-westers;2001 (Eén jaar getrouwd);158.0;;48.0;3.0;5.0;8.0;5.0;27.0;110.0
131;Man 2e, vrouw 1e generatie allochtoon;Overige niet-westers;2002 (Nog geen jaar getrouwd);148.0;;28.0;1.0;2.0;3.0;5.0;17.0;120.0
132;Man 2e, vrouw 1e generatie allochtoon;Westers;2000 (Twee jaar getrouwd);377.0;;43.0;3.0;4.0;7.0;21.0;8.0;334.0
133;Man 2e, vrouw 1e generatie allochtoon;Westers;2001 (Eén jaar getrouwd);379.0;;52.0;7.0;3.0;8.0;27.0;7.0;327.0
134;Man 2e, vrouw 1e generatie allochtoon;Westers;2002 (Nog geen jaar getrouwd);342.0;;43.0;3.0;5.0;6.0;20.0;9.0;299.0
135;Man 1e gen. allochtoon, vrouw autochtoon;Totaal vrouwen;2000 (Twee jaar getrouwd);2589.0;;1301.0;212.0;112.0;213.0;167.0;597.0;1288.0
136;Man 1e gen. allochtoon, vrouw autochtoon;Totaal vrouwen;2001 (Eén jaar getrouwd);2355.0;;1196.0;169.0;122.0;178.0;190.0;537.0;1159.0
137;Man 1e gen. allochtoon, vrouw autochtoon;Totaal vrouwen;2002 (Nog geen jaar getrouwd);2244.0;;1068.0;128.0;107.0;171.0;166.0;496.0;1176.0
138;Man 1e gen. allochtoon, vrouw autochtoon;Autochtoon;2000 (Twee jaar getrouwd);2589.0;;1301.0;212.0;112.0;213.0;167.0;597.0;1288.0
139;Man 1e gen. allochtoon, vrouw autochtoon;Autochtoon;2001 (Eén jaar getrouwd);2355.0;;1196.0;169.0;122.0;178.0;190.0;537.0;1159.0
140;Man 1e gen. allochtoon, vrouw autochtoon;Autochtoon;2002 (Nog geen jaar getrouwd);2244.0;;1068.0;128.0;107.0;171.0;166.0;496.0;1176.0
141;Man 1e gen. allochtoon, vrouw autochtoon;Totaal niet-westers;2000 (Twee jaar getrouwd);;;;;;;;;
142;Man 1e gen. allochtoon, vrouw autochtoon;Totaal niet-westers;2001 (Eén jaar getrouwd);;;;;;;;;
