ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaleNettoOmzet_7;TotaleDetailhandelsomzet_8;OmzetInWinkel_9;OmzetNietInWinkel_10;OverigeNettoOmzet_11;OverigeBedrijfsopbrengsten_12;TotaleBedrijfslasten_13;InkoopwaardeOmzet_14;TotaleArbeidskosten_15;BrutoLonenEnSalarissen_16;PremiesPensioenVUTInkoopsommen_17;SocialeVerzekeringspremiesEnOverig_18;AfschrijvingenOpVasteActiva_19;TotaleOverigeBedrijfslasten_20;OverigePersoneelskosten_21;Verkoopkosten_22;HuisvestingsEnEnergiekosten_23;KostenVanDienstverleningDoorDerden_24;KostenInventaris_25;KostenVervoermiddelen_26;NietEerderGenoemdeBedrijfslasten_27;Bedrijfsresultaat_28;SaldoFinancieleBatenEnLasten_29;FinancieleBaten_30;FinancieleLasten_31;SaldoVoorzieningen_32;OnttrekkingenVrijvalVanVoorzieningen_33;ToevoegingenAanVoorzieningen_34;SaldoBuitengewoneBatenEnLasten_35;BuitengewoneBaten_36;BuitengewoneLasten_37;ResultaatVoorBelastingen_38;Brutowinst_39
10;521 Supermarkten, warenhuizen e.d.;2004;3330.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;521 Supermarkten, warenhuizen e.d.;2005;3425.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;5211 Supermarkten e.d.;2000;3575.0;225.8;102.9;218.6;98.9;20706.0;20565.0;20351.0;20105.0;245.0;214.0;141.0;20098.0;15502.0;2195.0;1824.0;60.0;310.0;467.0;1933.0;196.0;330.0;694.0;90.0;107.0;161.0;355.0;608.0;-82.0;30.0;111.0;-52.0;45.0;97.0;49.0;85.0;35.0;525.0;5063.0
13;5211 Supermarkten e.d.;2001;3435.0;221.4;103.3;213.7;98.5;21974.0;21713.0;21614.0;21314.0;300.0;99.0;260.0;21366.0;16286.0;2433.0;2000.0;86.0;346.0;547.0;2102.0;223.0;379.0;734.0;133.0;124.0;167.0;342.0;606.0;-86.0;70.0;155.0;43.0;76.0;33.0;-69.0;70.0;139.0;495.0;5428.0
14;5211 Supermarkten e.d.;2002;3080.0;222.1;106.2;214.0;99.7;23623.0;23383.0;23143.0;23051.0;93.0;240.0;240.0;22850.0;17406.0;2617.0;2120.0;114.0;384.0;504.0;2323.0;216.0;398.0;774.0;150.0;129.0;186.0;470.0;773.0;-78.0;59.0;137.0;-40.0;29.0;68.0;-12.0;55.0;67.0;643.0;5977.0
15;5211 Supermarkten e.d.;2003;3050.0;215.0;105.8;206.5;98.9;24044.0;23906.0;23717.0;23689.0;28.0;189.0;138.0;23298.0;17993.0;2573.0;2101.0;116.0;357.0;530.0;2202.0;247.0;455.0;848.0;143.0;131.0;95.0;284.0;746.0;-50.0;43.0;93.0;-64.0;5.0;69.0;-7.0;50.0;56.0;625.0;5913.0
16;5211 Supermarkten e.d.;2004;3065.0;217.8;105.4;208.6;96.0;24251.0;24062.0;23841.0;23781.0;60.0;221.0;190.0;23797.0;18257.0;2655.0;2144.0;155.0;357.0;621.0;2264.0;242.0;474.0;876.0;126.0;131.0;95.0;320.0;454.0;-49.0;44.0;94.0;-40.0;13.0;54.0;38.0;78.0;39.0;403.0;5804.0
17;5211 Supermarkten e.d.;2005;3140.0;218.5;100.0;210.8;93.6;24419.0;24207.0;23973.0;23887.0;87.0;234.0;212.0;23972.0;18522.0;2601.0;2089.0;160.0;352.0;542.0;2306.0;234.0;407.0;903.0;127.0;124.0;97.0;414.0;447.0;-30.0;53.0;84.0;-24.0;10.0;34.0;48.0;91.0;44.0;440.0;5684.0
18;5212 Warenhuizen e.d.;2000;215.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;5212 Warenhuizen e.d.;2001;235.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;5212 Warenhuizen e.d.;2002;235.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;5212 Warenhuizen e.d.;2003;245.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;5212 Warenhuizen e.d.;2004;265.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;5212 Warenhuizen e.d.;2005;285.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;522 Winkels in spec. voedingsmiddelen;2000;11730.0;56.5;37.7;45.3;27.2;4862.0;4821.0;4619.0;4493.0;126.0;201.0;41.0;4512.0;3274.0;545.0;449.0;21.0;76.0;147.0;544.0;24.0;109.0;212.0;34.0;30.0;40.0;95.0;350.0;-28.0;24.0;52.0;0.0;2.0;1.0;17.0;23.0;6.0;338.0;1546.0
25;522 Winkels in spec. voedingsmiddelen;2001;11430.0;55.7;38.4;43.4;26.0;4930.0;4897.0;4673.0;4346.0;328.0;224.0;33.0;4517.0;3349.0;528.0;430.0;22.0;76.0;125.0;515.0;23.0;94.0;207.0;37.0;27.0;37.0;90.0;413.0;-27.0;20.0;48.0;4.0;8.0;3.0;2.0;12.0;9.0;393.0;1548.0
26;522 Winkels in spec. voedingsmiddelen;2002;10315.0;57.4;39.0;42.5;24.5;5002.0;4967.0;4692.0;4346.0;348.0;273.0;35.0;4575.0;3377.0;543.0;444.0;21.0;79.0;122.0;533.0;29.0;89.0;216.0;36.0;30.0;40.0;93.0;427.0;-35.0;12.0;47.0;-1.0;2.0;2.0;3.0;10.0;7.0;394.0;1590.0
27;522 Winkels in spec. voedingsmiddelen;2003;9970.0;;;;;4974.0;4949.0;4706.0;4612.0;94.0;243.0;25.0;4562.0;3302.0;558.0;460.0;19.0;79.0;127.0;575.0;21.0;99.0;232.0;39.0;34.0;36.0;115.0;412.0;-34.0;12.0;46.0;-2.0;1.0;3.0;8.0;14.0;5.0;386.0;1648.0
28;522 Winkels in spec. voedingsmiddelen;2004;9590.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;522 Winkels in spec. voedingsmiddelen;2005;9765.0;59.0;39.6;42.5;24.0;4505.0;4456.0;4232.0;4148.0;84.0;224.0;49.0;4184.0;3066.0;530.0;432.0;20.0;77.0;100.0;487.0;31.0;76.0;211.0;35.0;26.0;29.0;80.0;321.0;-16.0;25.0;40.0;-6.0;0.0;6.0;4.0;8.0;4.0;304.0;1389.0
30;523 Apotheek, drogisterij, parfumerie;2000;3420.0;;;;;6130.0;6080.0;5964.0;5955.0;8.0;116.0;51.0;5727.0;4271.0;744.0;583.0;33.0;128.0;205.0;508.0;32.0;;196.0;;;;166.0;404.0;-39.0;32.0;71.0;;;;9.0;16.0;7.0;;1810.0
31;523 Apotheek, drogisterij, parfumerie;2001;3410.0;;;;;6791.0;6754.0;6615.0;6592.0;23.0;139.0;40.0;6319.0;4645.0;833.0;670.0;40.0;122.0;247.0;593.0;68.0;;219.0;;;;187.0;473.0;-41.0;39.0;82.0;;;;40.0;44.0;4.0;;2106.0
32;523 Apotheek, drogisterij, parfumerie;2002;3040.0;52.7;34.7;49.7;32.3;7238.0;7193.0;7046.0;6884.0;162.0;147.0;45.0;6744.0;4890.0;904.0;737.0;45.0;123.0;245.0;705.0;76.0;110.0;261.0;57.0;35.0;21.0;145.0;493.0;-63.0;17.0;78.0;-2.0;6.0;7.0;10.0;18.0;8.0;439.0;2303.0
33;523 Apotheek, drogisterij, parfumerie;2003;2925.0;54.0;36.0;50.8;33.2;7629.0;7589.0;7449.0;7410.0;39.0;140.0;40.0;7030.0;5038.0;996.0;798.0;59.0;139.0;301.0;695.0;71.0;102.0;267.0;61.0;33.0;21.0;141.0;598.0;-45.0;28.0;73.0;-3.0;8.0;11.0;10.0;17.0;8.0;559.0;2551.0
34;523 Apotheek, drogisterij, parfumerie;2004;2795.0;54.0;35.1;50.6;32.3;7587.0;7549.0;7394.0;7174.0;220.0;154.0;38.0;7063.0;5046.0;1020.0;807.0;67.0;145.0;286.0;711.0;75.0;106.0;281.0;63.0;30.0;18.0;137.0;524.0;-61.0;26.0;87.0;-3.0;6.0;9.0;17.0;23.0;6.0;477.0;2503.0
35;523 Apotheek, drogisterij, parfumerie;2005;2910.0;54.7;35.7;51.6;32.9;7874.0;7816.0;7668.0;7406.0;261.0;148.0;58.0;7368.0;5179.0;1091.0;863.0;76.0;151.0;268.0;830.0;91.0;120.0;321.0;71.0;28.0;24.0;175.0;507.0;-64.0;22.0;86.0;-3.0;4.0;7.0;1.0;14.0;12.0;442.0;2638.0
36;5231 Apotheken;2000;1435.0;;;;;3509.0;3491.0;3491.0;3491.0;0.0;0.0;18.0;3265.0;2535.0;426.0;335.0;23.0;68.0;132.0;172.0;0.0;;53.0;;;;119.0;244.0;-15.0;28.0;43.0;;;;8.0;13.0;5.0;;957.0
37;5231 Apotheken;2001;1420.0;;;;;3872.0;3847.0;3847.0;3847.0;0.0;0.0;26.0;3564.0;2726.0;461.0;376.0;28.0;57.0;162.0;214.0;34.0;;53.0;;;;127.0;309.0;-19.0;33.0;52.0;;;;32.0;35.0;3.0;;1120.0
38;5231 Apotheken;2002;1250.0;20.8;14.7;20.3;13.9;3981.0;3957.0;3948.0;3948.0;0.0;9.0;24.0;3656.0;2775.0;468.0;382.0;29.0;57.0;155.0;257.0;38.0;12.0;66.0;31.0;22.0;9.0;79.0;325.0;-40.0;12.0;52.0;3.0;5.0;1.0;3.0;8.0;5.0;291.0;1182.0
39;5231 Apotheken;2003;1190.0;22.1;15.6;21.4;15.0;4164.0;4137.0;4130.0;4130.0;0.0;6.0;27.0;3801.0;2849.0;523.0;423.0;38.0;62.0;174.0;255.0;35.0;16.0;63.0;27.0;22.0;8.0;84.0;363.0;-30.0;23.0;54.0;0.0;1.0;1.0;7.0;11.0;4.0;339.0;1288.0
40;5231 Apotheken;2004;1100.0;21.8;14.9;20.9;14.2;4023.0;3999.0;3991.0;3991.0;0.0;8.0;23.0;3722.0;2798.0;526.0;423.0;42.0;61.0;149.0;250.0;38.0;13.0;63.0;32.0;20.0;7.0;76.0;300.0;-31.0;21.0;53.0;-1.0;0.0;2.0;12.0;13.0;2.0;280.0;1201.0
41;5231 Apotheken;2005;1155.0;23.2;15.5;22.5;14.9;4277.0;4253.0;4240.0;4240.0;0.0;13.0;24.0;3960.0;2959.0;574.0;460.0;49.0;65.0;136.0;291.0;47.0;13.0;74.0;32.0;22.0;11.0;92.0;317.0;-32.0;17.0;49.0;0.0;1.0;1.0;-2.0;4.0;6.0;283.0;1294.0
42;5232 Winkels in drogisterij,medische art;2000;1710.0;23.3;14.8;21.1;12.9;2314.0;2292.0;2178.0;2169.0;7.0;116.0;22.0;2181.0;1556.0;276.0;213.0;9.0;53.0;62.0;288.0;27.0;60.0;124.0;19.0;10.0;7.0;41.0;133.0;-22.0;2.0;24.0;-4.0;11.0;15.0;1.0;3.0;2.0;107.0;736.0
43;5232 Winkels in drogisterij,medische art;2001;1720.0;26.6;16.4;24.7;14.7;2567.0;2556.0;2420.0;2401.0;19.0;136.0;11.0;2430.0;1717.0;319.0;251.0;10.0;58.0;71.0;324.0;27.0;65.0;141.0;23.0;8.0;7.0;53.0;137.0;-20.0;5.0;26.0;-2.0;1.0;3.0;6.0;7.0;1.0;122.0;840.0
44;5232 Winkels in drogisterij,medische art;2002;1535.0;28.1;17.8;25.8;16.3;2878.0;2860.0;2723.0;2562.0;161.0;137.0;19.0;2736.0;1897.0;378.0;308.0;13.0;58.0;75.0;386.0;32.0;89.0;167.0;21.0;11.0;11.0;55.0;143.0;-20.0;2.0;23.0;-5.0;0.0;5.0;6.0;9.0;3.0;124.0;963.0
45;5232 Winkels in drogisterij,medische art;2003;1490.0;28.2;17.9;26.0;16.0;3085.0;3074.0;2943.0;;;132.0;10.0;2872.0;1967.0;414.0;327.0;18.0;69.0;111.0;380.0;31.0;77.0;171.0;30.0;10.0;12.0;50.0;213.0;-13.0;3.0;16.0;-3.0;7.0;10.0;3.0;6.0;3.0;200.0;1107.0
46;5232 Winkels in drogisterij,medische art;2004;1415.0;27.9;17.5;25.7;15.6;3140.0;3134.0;2988.0;2773.0;215.0;146.0;6.0;2941.0;1995.0;429.0;331.0;22.0;75.0;123.0;395.0;31.0;84.0;185.0;27.0;9.0;10.0;49.0;199.0;-30.0;4.0;33.0;-2.0;6.0;7.0;5.0;9.0;4.0;172.0;1139.0
47;5232 Winkels in drogisterij,medische art;2005;1465.0;27.3;17.4;25.2;15.5;3143.0;3124.0;2988.0;2731.0;258.0;135.0;20.0;2976.0;1946.0;447.0;346.0;23.0;78.0;118.0;465.0;39.0;97.0;210.0;32.0;6.0;13.0;69.0;168.0;-31.0;4.0;36.0;-3.0;3.0;6.0;3.0;9.0;6.0;137.0;1178.0
48;5233 Winkels in parfums en cosmetica;2000;275.0;3.1;2.0;3.0;1.9;308.0;296.0;296.0;295.0;1.0;0.0;11.0;281.0;180.0;42.0;35.0;1.0;6.0;10.0;49.0;5.0;14.0;18.0;2.0;1.0;1.0;8.0;27.0;-3.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;116.0
49;5233 Winkels in parfums en cosmetica;2001;270.0;3.6;2.4;3.5;2.2;352.0;350.0;348.0;344.0;4.0;1.0;2.0;325.0;203.0;53.0;44.0;1.0;8.0;14.0;55.0;7.0;9.0;25.0;4.0;0.0;1.0;9.0;27.0;-2.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;147.0
50;5233 Winkels in parfums en cosmetica;2002;255.0;3.8;2.2;3.6;2.1;379.0;377.0;374.0;373.0;1.0;1.0;2.0;353.0;218.0;57.0;46.0;3.0;8.0;15.0;62.0;5.0;9.0;29.0;4.0;2.0;0.0;13.0;25.0;-2.0;1.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;23.0;157.0
51;5233 Winkels in parfums en cosmetica;2003;245.0;;;;;380.0;378.0;376.0;376.0;0.0;2.0;2.0;357.0;222.0;59.0;48.0;3.0;8.0;17.0;59.0;4.0;8.0;33.0;4.0;1.0;1.0;7.0;23.0;-3.0;1.0;4.0;0.0;0.0;0.0;0.0;1.0;1.0;20.0;156.0
52;5233 Winkels in parfums en cosmetica;2004;280.0;4.3;2.8;4.0;2.5;424.0;416.0;415.0;410.0;5.0;0.0;9.0;400.0;254.0;65.0;53.0;4.0;9.0;14.0;66.0;6.0;9.0;33.0;5.0;1.0;1.0;12.0;25.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;162.0
53;5233 Winkels in parfums en cosmetica;2005;290.0;4.2;2.8;3.9;2.5;454.0;440.0;439.0;436.0;4.0;1.0;14.0;432.0;274.0;70.0;57.0;4.0;9.0;14.0;74.0;6.0;9.0;37.0;7.0;1.0;1.0;14.0;22.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;166.0
54;524 Winkels gespecialiseerd overige art.;2000;44275.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;524 Winkels gespecialiseerd overige art.;2001;44890.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;524 Winkels gespecialiseerd overige art.;2002;42595.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;524 Winkels gespecialiseerd overige art.;2003;41875.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;524 Winkels gespecialiseerd overige art.;2004;41695.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;524 Winkels gespecialiseerd overige art.;2005;43480.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;5241 Winkels in stoffen, huishoudtextiel;2000;885.0;2.4;1.6;1.7;1.1;139.0;138.0;136.0;129.0;7.0;3.0;1.0;127.0;77.0;19.0;17.0;0.0;2.0;4.0;26.0;0.0;5.0;12.0;2.0;0.0;2.0;5.0;12.0;-1.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;12.0;61.0
61;5241 Winkels in stoffen, huishoudtextiel;2001;775.0;2.0;1.4;1.4;0.8;131.0;129.0;128.0;125.0;3.0;1.0;1.0;115.0;70.0;18.0;15.0;0.0;2.0;3.0;23.0;0.0;4.0;12.0;1.0;1.0;1.0;4.0;16.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;59.0
62;5241 Winkels in stoffen, huishoudtextiel;2002;685.0;2.4;1.7;1.4;0.7;121.0;120.0;119.0;110.0;10.0;2.0;1.0;109.0;66.0;15.0;12.0;0.0;2.0;3.0;26.0;0.0;4.0;11.0;1.0;1.0;1.0;8.0;12.0;-1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;54.0
63;5241 Winkels in stoffen, huishoudtextiel;2003;655.0;;;;;120.0;120.0;118.0;117.0;1.0;2.0;1.0;107.0;67.0;15.0;12.0;1.0;2.0;3.0;21.0;1.0;3.0;11.0;2.0;1.0;1.0;3.0;14.0;-1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;53.0
64;5241 Winkels in stoffen, huishoudtextiel;2004;620.0;1.9;1.4;1.1;0.6;101.0;101.0;99.0;96.0;3.0;2.0;0.0;95.0;57.0;13.0;11.0;1.0;2.0;3.0;22.0;1.0;4.0;11.0;1.0;1.0;2.0;3.0;6.0;-2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;44.0
65;5241 Winkels in stoffen, huishoudtextiel;2005;640.0;;;;;106.0;105.0;104.0;99.0;5.0;1.0;1.0;98.0;55.0;;;;;2.0;24.0;1.0;4.0;13.0;2.0;0.0;1.0;3.0;8.0;-1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;50.0
66;5242 Winkels in kleding, modeartikelen;2000;8410.0;82.1;52.4;74.7;46.0;6932.0;6869.0;6585.0;6497.0;88.0;285.0;62.0;6459.0;3986.0;1032.0;861.0;39.0;132.0;216.0;1225.0;74.0;222.0;606.0;87.0;29.0;46.0;161.0;473.0;-43.0;37.0;80.0;-21.0;3.0;24.0;37.0;84.0;48.0;446.0;2884.0
67;5242 Winkels in kleding, modeartikelen;2001;8500.0;83.1;53.5;75.7;46.9;7315.0;7217.0;6947.0;6820.0;128.0;269.0;98.0;6792.0;4140.0;1094.0;906.0;44.0;143.0;232.0;1324.0;75.0;242.0;639.0;93.0;29.0;44.0;202.0;524.0;-64.0;40.0;104.0;-1.0;5.0;7.0;44.0;59.0;16.0;502.0;3076.0
68;5242 Winkels in kleding, modeartikelen;2002;8115.0;86.2;54.7;76.9;45.5;7510.0;7431.0;7171.0;6920.0;251.0;260.0;79.0;7011.0;4173.0;1164.0;952.0;53.0;158.0;248.0;1427.0;76.0;244.0;729.0;89.0;28.0;50.0;211.0;497.0;-48.0;52.0;100.0;-4.0;3.0;6.0;26.0;43.0;18.0;471.0;3258.0
69;5242 Winkels in kleding, modeartikelen;2003;8045.0;83.7;53.7;73.8;43.8;7107.0;7032.0;6776.0;6777.0;-1.0;255.0;75.0;6657.0;3863.0;1153.0;945.0;59.0;148.0;243.0;1398.0;73.0;236.0;714.0;90.0;27.0;47.0;211.0;450.0;-39.0;39.0;77.0;0.0;2.0;2.0;15.0;29.0;14.0;426.0;3169.0
70;5242 Winkels in kleding, modeartikelen;2004;8105.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;5242 Winkels in kleding, modeartikelen;2005;8515.0;84.2;54.7;74.1;44.8;7435.0;7380.0;7122.0;7099.0;22.0;259.0;55.0;6796.0;3966.0;1171.0;958.0;62.0;152.0;238.0;1421.0;68.0;222.0;792.0;85.0;25.0;46.0;182.0;640.0;-30.0;44.0;74.0;-1.0;1.0;2.0;7.0;26.0;20.0;615.0;3414.0
72;5243 Winkels in schoeisel en lederwaren;2000;1710.0;21.7;12.5;20.6;11.4;1604.0;1590.0;1570.0;1533.0;37.0;20.0;14.0;1459.0;924.0;226.0;190.0;7.0;29.0;43.0;267.0;13.0;51.0;145.0;16.0;7.0;10.0;25.0;145.0;-15.0;5.0;20.0;0.0;0.0;1.0;1.0;4.0;3.0;131.0;667.0
73;5243 Winkels in schoeisel en lederwaren;2001;1705.0;23.2;13.6;21.3;11.9;1663.0;1648.0;1625.0;1597.0;29.0;23.0;15.0;1520.0;944.0;245.0;205.0;9.0;31.0;45.0;285.0;13.0;51.0;156.0;17.0;8.0;10.0;30.0;143.0;-18.0;4.0;21.0;0.0;1.0;0.0;-1.0;1.0;1.0;125.0;704.0
74;5243 Winkels in schoeisel en lederwaren;2002;1615.0;25.0;14.4;22.8;12.3;1740.0;1725.0;1716.0;1708.0;8.0;9.0;15.0;1595.0;982.0;264.0;219.0;10.0;36.0;48.0;300.0;13.0;45.0;173.0;20.0;5.0;10.0;34.0;145.0;-16.0;3.0;18.0;0.0;0.0;0.0;1.0;1.0;2.0;130.0;743.0
75;5243 Winkels in schoeisel en lederwaren;2003;1595.0;23.8;13.5;21.7;11.5;1698.0;1684.0;1669.0;1668.0;1.0;15.0;14.0;1569.0;938.0;268.0;220.0;14.0;34.0;54.0;309.0;14.0;48.0;175.0;21.0;7.0;10.0;33.0;129.0;-16.0;6.0;22.0;-1.0;0.0;1.0;1.0;2.0;1.0;112.0;746.0
76;5243 Winkels in schoeisel en lederwaren;2004;1530.0;23.7;13.7;21.4;11.7;1696.0;1686.0;1675.0;1666.0;10.0;11.0;9.0;1568.0;925.0;268.0;219.0;14.0;35.0;54.0;321.0;13.0;60.0;183.0;23.0;6.0;9.0;28.0;127.0;-16.0;5.0;20.0;0.0;0.0;0.0;-2.0;1.0;2.0;110.0;761.0
77;5243 Winkels in schoeisel en lederwaren;2005;1585.0;23.9;13.5;21.7;11.5;1851.0;1845.0;1824.0;1796.0;28.0;21.0;6.0;1718.0;1015.0;289.0;238.0;15.0;36.0;52.0;362.0;16.0;63.0;205.0;24.0;5.0;10.0;39.0;133.0;-15.0;4.0;19.0;-1.0;0.0;1.0;-1.0;1.0;2.0;117.0;830.0
78;5244 Winkels in meubels, huishoud art.;2000;5865.0;51.1;38.0;44.9;32.5;6196.0;6143.0;5734.0;5462.0;272.0;408.0;52.0;5775.0;3799.0;847.0;694.0;37.0;116.0;145.0;984.0;69.0;262.0;385.0;62.0;25.0;60.0;121.0;420.0;-39.0;26.0;66.0;-8.0;5.0;13.0;15.0;29.0;14.0;389.0;2345.0
79;5244 Winkels in meubels, huishoud art.;2001;5900.0;52.3;39.3;45.8;32.6;6406.0;6332.0;5911.0;5799.0;112.0;422.0;74.0;5981.0;3932.0;880.0;718.0;47.0;115.0;154.0;1014.0;65.0;261.0;415.0;70.0;27.0;60.0;116.0;425.0;-49.0;20.0;69.0;-4.0;3.0;7.0;17.0;26.0;8.0;390.0;2400.0
80;5244 Winkels in meubels, huishoud art.;2002;5535.0;51.0;37.5;43.9;31.3;6197.0;6120.0;5677.0;5532.0;145.0;444.0;77.0;5828.0;3766.0;881.0;712.0;53.0;116.0;157.0;1025.0;71.0;263.0;418.0;72.0;23.0;62.0;116.0;369.0;-41.0;26.0;68.0;-4.0;2.0;6.0;19.0;28.0;7.0;343.0;2354.0
