ID;Geslacht;Leeftijd;Herkomstgroepering;HoogstGevolgdeOpleiding;Recidive;Perioden;TotaalVerdachtenVanMisdrijven_1;VerdachtenPer10000Inwoners_2;TotaalVerdachtenVanMisdrijven_3;VerdachtenPer10000Inwoners_4
45;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;1;2006;2800.0;287.0;1050.0;107.0
46;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;1;2007;1990.0;235.0;810.0;95.0
47;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;1;2008;1560.0;200.0;750.0;96.0
48;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;1;2009;1270.0;177.0;630.0;87.0
49;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;1;2010;1050.0;153.0;480.0;71.0
50;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;1;2011;920.0;138.0;480.0;72.0
51;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;1;2012;;;440.0;67.0
52;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;1;2013;;;390.0;62.0
53;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;1;2014;;;;
54;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;0;2006;26240.0;738.0;16500.0;464.0
55;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;0;2007;26780.0;752.0;17770.0;499.0
56;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;0;2008;24450.0;692.0;15910.0;450.0
57;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;0;2009;22980.0;658.0;13990.0;401.0
58;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;0;2010;20170.0;584.0;12880.0;373.0
59;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;0;2011;18320.0;527.0;12110.0;349.0
60;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;0;2012;17130.0;487.0;11350.0;322.0
61;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;0;2013;14820.0;414.0;9180.0;256.0
62;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;0;2014;;;;
63;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;2;2006;5990.0;168.0;8900.0;250.0
64;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;2;2007;6340.0;178.0;9130.0;256.0
65;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;2;2008;6510.0;184.0;7740.0;219.0
66;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;2;2009;7030.0;201.0;6520.0;187.0
67;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;2;2010;5560.0;161.0;6030.0;174.0
68;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;2;2011;5500.0;158.0;5540.0;159.0
69;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;2;2012;;;5110.0;145.0
70;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;2;2013;;;3970.0;111.0
71;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;2;2014;;;;
72;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;1;2006;20260.0;569.0;7600.0;214.0
73;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;1;2007;20450.0;574.0;8640.0;243.0
74;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;1;2008;17940.0;508.0;8170.0;231.0
75;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;1;2009;15950.0;457.0;7470.0;214.0
76;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;1;2010;14610.0;423.0;6860.0;199.0
77;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;1;2011;12820.0;369.0;6570.0;189.0
78;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;1;2012;;;6240.0;177.0
79;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;1;2013;;;5210.0;145.0
80;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Vmbo;1;2014;;;;
81;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;0;2006;2120.0;1208.0;1490.0;850.0
82;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;0;2007;3920.0;1158.0;2740.0;808.0
83;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;0;2008;4300.0;1137.0;3020.0;799.0
84;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;0;2009;4580.0;1126.0;3100.0;762.0
85;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;0;2010;4530.0;1046.0;3300.0;761.0
86;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;0;2011;4680.0;1014.0;3410.0;739.0
87;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;0;2012;4640.0;949.0;3410.0;697.0
88;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;0;2013;4750.0;922.0;3380.0;656.0
89;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;0;2014;;;;
90;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;2;2006;340.0;196.0;640.0;365.0
91;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;2;2007;690.0;205.0;1250.0;368.0
92;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;2;2008;870.0;231.0;1270.0;336.0
93;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;2;2009;960.0;236.0;1180.0;291.0
94;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;2;2010;790.0;182.0;1200.0;277.0
95;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;2;2011;950.0;206.0;1190.0;258.0
96;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;2;2012;;;1100.0;225.0
97;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;2;2013;;;1100.0;212.0
98;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;2;2014;;;;
