ID;RegioS;Perioden;TotaalAantalSchoolvestigingen_1;k_50NietWestersAllochtoneLeerlingen_2;k_80NietWestersAllochtoneLeerlingen_3;TotaalAantalSchoolvestigingen_4;k_50NietWestersAllochtoneLeerlingen_5;k_80NietWestersAllochtoneLeerlingen_6;VanEenGemiddeldeLeerling_7;VanEenAutochtoneLeerling_8;VanEenNietWestersAllochtoneLeerling_9;VanEenGemiddeldeLeerling_10;VanEenAutochtoneLeerling_11;VanEenNietWestersAllochtoneLeerling_12
105;West-Nederland (LD);2009/'10;562.0;17.0;8.0;521;18;8;20.0;14.0;43.0;21;14;44
106;West-Nederland (LD);2010/'11;567.0;17.0;8.0;526;19;9;21.0;14.0;44.0;21;14;44
107;West-Nederland (LD);2011/'12;572.0;17.0;8.0;531;19;8;21.0;14.0;43.0;21;14;44
108;West-Nederland, exclusief G4 (LD);2003/'04;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0;0;0
109;West-Nederland, exclusief G4 (LD);2004/'05;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0;0;0
110;West-Nederland, exclusief G4 (LD);2005/'06;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0;0;0
111;West-Nederland, exclusief G4 (LD);2006/'07;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0;0;0
112;West-Nederland, exclusief G4 (LD);2007/'08;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0;0;0
113;West-Nederland, exclusief G4 (LD);2008/'09;400.0;5.0;1.0;366;5;1;13.0;12.0;24.0;13;11;23
114;West-Nederland, exclusief G4 (LD);2009/'10;395.0;4.0;1.0;361;5;1;13.0;11.0;24.0;14;12;24
115;West-Nederland, exclusief G4 (LD);2010/'11;393.0;5.0;1.0;359;5;1;13.0;12.0;24.0;14;12;25
116;West-Nederland, exclusief G4 (LD);2011/'12;397.0;5.0;1.0;363;6;1;14.0;12.0;25.0;14;12;25
117;Zuid-Nederland (LD);2003/'04;;;;227;2;0;;;;9;8;18
118;Zuid-Nederland (LD);2004/'05;;;;219;1;0;;;;9;8;17
119;Zuid-Nederland (LD);2005/'06;229.0;1.0;0.0;218;1;0;9.0;8.0;17.0;9;8;17
120;Zuid-Nederland (LD);2006/'07;227.0;1.0;0.0;217;1;0;9.0;8.0;17.0;9;9;17
121;Zuid-Nederland (LD);2007/'08;218.0;1.0;0.0;208;1;0;9.0;8.0;16.0;9;9;17
122;Zuid-Nederland (LD);2008/'09;215.0;1.0;0.0;205;1;0;10.0;9.0;16.0;9;9;16
123;Zuid-Nederland (LD);2009/'10;216.0;1.0;0.0;206;1;0;10.0;9.0;17.0;10;9;17
124;Zuid-Nederland (LD);2010/'11;223.0;1.0;0.0;213;1;0;10.0;9.0;17.0;10;9;17
125;Zuid-Nederland (LD);2011/'12;219.0;2.0;0.0;209;2;0;10.0;9.0;17.0;10;9;17
126;Groningen (PV);2003/'04;;;;47;2;0;;;;9;8;13
127;Groningen (PV);2004/'05;;;;47;0;0;;;;8;7;11
128;Groningen (PV);2005/'06;48.0;0.0;0.0;46;0;0;8.0;7.0;12.0;8;8;12
129;Groningen (PV);2006/'07;48.0;0.0;0.0;46;0;0;7.0;7.0;11.0;8;7;11
130;Groningen (PV);2007/'08;47.0;0.0;0.0;45;0;0;7.0;7.0;11.0;8;7;11
131;Groningen (PV);2008/'09;46.0;0.0;0.0;44;0;0;7.0;7.0;11.0;7;7;11
132;Groningen (PV);2009/'10;47.0;0.0;0.0;45;0;0;7.0;7.0;11.0;8;7;11
133;Groningen (PV);2010/'11;48.0;0.0;0.0;46;0;0;8.0;7.0;12.0;8;7;12
134;Groningen (PV);2011/'12;55.0;0.0;0.0;53;0;0;8.0;7.0;12.0;8;8;12
135;Friesland (PV);2003/'04;;;;63;0;0;;;;6;5;10
136;Friesland (PV);2004/'05;;;;62;0;0;;;;6;5;10
137;Friesland (PV);2005/'06;65.0;0.0;0.0;60;0;0;5.0;5.0;9.0;5;5;9
138;Friesland (PV);2006/'07;64.0;0.0;0.0;59;0;0;5.0;5.0;9.0;5;5;9
139;Friesland (PV);2007/'08;63.0;0.0;0.0;58;0;0;5.0;5.0;8.0;5;5;8
140;Friesland (PV);2008/'09;62.0;0.0;0.0;57;0;0;5.0;5.0;8.0;5;5;8
141;Friesland (PV);2009/'10;62.0;0.0;0.0;57;0;0;5.0;5.0;9.0;5;5;9
142;Friesland (PV);2010/'11;66.0;2.0;0.0;61;2;0;5.0;5.0;9.0;5;5;10
143;Friesland (PV);2011/'12;68.0;0.0;0.0;63;0;0;5.0;5.0;8.0;5;5;9
144;Drenthe (PV);2003/'04;;;;32;0;0;;;;5;5;7
145;Drenthe (PV);2004/'05;;;;27;0;0;;;;5;5;6
146;Drenthe (PV);2005/'06;30.0;0.0;0.0;26;0;0;5.0;5.0;6.0;5;5;6
147;Drenthe (PV);2006/'07;30.0;0.0;0.0;26;0;0;5.0;5.0;6.0;6;5;6
148;Drenthe (PV);2007/'08;30.0;0.0;0.0;26;0;0;5.0;5.0;6.0;6;5;6
149;Drenthe (PV);2008/'09;30.0;0.0;0.0;26;0;0;6.0;5.0;7.0;5;5;6
150;Drenthe (PV);2009/'10;29.0;0.0;0.0;25;0;0;5.0;5.0;7.0;6;6;7
151;Drenthe (PV);2010/'11;29.0;0.0;0.0;25;0;0;6.0;5.0;7.0;6;6;7
152;Drenthe (PV);2011/'12;33.0;0.0;0.0;29;0;0;5.0;5.0;7.0;6;5;7
153;Overijssel (PV);2003/'04;;;;75;0;0;;;;10;9;18
154;Overijssel (PV);2004/'05;;;;76;0;0;;;;10;8;18
155;Overijssel (PV);2005/'06;79.0;0.0;0.0;76;0;0;9.0;8.0;17.0;9;8;17
156;Overijssel (PV);2006/'07;79.0;0.0;0.0;76;0;0;9.0;8.0;18.0;10;8;18
157;Overijssel (PV);2007/'08;77.0;0.0;0.0;74;0;0;9.0;8.0;17.0;9;8;17
158;Overijssel (PV);2008/'09;77.0;0.0;0.0;74;0;0;9.0;8.0;17.0;9;8;17
159;Overijssel (PV);2009/'10;81.0;1.0;0.0;78;1;0;9.0;8.0;18.0;9;8;18
160;Overijssel (PV);2010/'11;87.0;1.0;0.0;84;1;0;9.0;8.0;18.0;10;8;18
161;Overijssel (PV);2011/'12;86.0;1.0;0.0;83;1;0;9.0;8.0;18.0;10;8;18
162;Flevoland (PV);2003/'04;;;;16;0;0;;;;20;18;25
163;Flevoland (PV);2004/'05;;;;17;0;0;;;;21;19;26
164;Flevoland (PV);2005/'06;20.0;0.0;0.0;18;0;0;21.0;19.0;27.0;21;19;27
165;Flevoland (PV);2006/'07;20.0;0.0;0.0;18;0;0;21.0;19.0;28.0;22;20;28
166;Flevoland (PV);2007/'08;20.0;0.0;0.0;18;0;0;22.0;20.0;28.0;22;20;28
167;Flevoland (PV);2008/'09;20.0;0.0;0.0;18;0;0;23.0;20.0;29.0;22;20;29
168;Flevoland (PV);2009/'10;20.0;0.0;0.0;18;0;0;23.0;20.0;30.0;23;21;30
169;Flevoland (PV);2010/'11;25.0;8.0;0.0;23;9;0;23.0;20.0;32.0;24;21;32
170;Flevoland (PV);2011/'12;27.0;7.0;0.0;25;8;0;24.0;20.0;33.0;24;21;33
171;Gelderland (PV);2003/'04;;;;127;2;1;;;;9;8;16
172;Gelderland (PV);2004/'05;;;;124;1;0;;;;9;8;16
173;Gelderland (PV);2005/'06;131.0;1.0;0.0;123;1;0;9.0;8.0;16.0;9;8;16
174;Gelderland (PV);2006/'07;132.0;2.0;0.0;124;2;0;9.0;8.0;16.0;9;8;16
175;Gelderland (PV);2007/'08;131.0;1.0;0.0;123;1;0;9.0;8.0;16.0;9;8;16
176;Gelderland (PV);2008/'09;129.0;1.0;0.0;121;1;0;9.0;8.0;17.0;9;8;17
177;Gelderland (PV);2009/'10;128.0;1.0;0.0;120;1;0;9.0;8.0;17.0;9;9;17
178;Gelderland (PV);2010/'11;129.0;2.0;0.0;121;2;0;9.0;8.0;17.0;10;9;17
179;Gelderland (PV);2011/'12;130.0;2.0;0.0;122;2;0;9.0;8.0;17.0;10;9;17
180;Utrecht (PV);2003/'04;;;;74;11;4;;;;15;12;34
181;Utrecht (PV);2004/'05;;;;74;11;4;;;;15;12;34
182;Utrecht (PV);2005/'06;82.0;10.0;5.0;76;11;5;15.0;11.0;34.0;15;12;34
183;Utrecht (PV);2006/'07;81.0;14.0;6.0;75;15;7;15.0;12.0;33.0;15;12;34
184;Utrecht (PV);2007/'08;83.0;13.0;5.0;76;14;5;15.0;12.0;33.0;15;12;33
185;Utrecht (PV);2008/'09;82.0;12.0;5.0;75;13;5;15.0;12.0;32.0;15;12;32
186;Utrecht (PV);2009/'10;82.0;13.0;4.0;75;15;4;15.0;12.0;32.0;15;12;32
187;Utrecht (PV);2010/'11;79.0;10.0;3.0;72;11;3;15.0;12.0;31.0;15;12;32
188;Utrecht (PV);2011/'12;79.0;10.0;3.0;72;11;3;15.0;12.0;30.0;15;12;31
189;Noord-Holland (PV);2003/'04;;;;172;15;7;;;;23;14;50
190;Noord-Holland (PV);2004/'05;;;;172;16;8;;;;23;14;49
191;Noord-Holland (PV);2005/'06;187.0;14.0;8.0;174;16;9;22.0;14.0;47.0;22;14;48
192;Noord-Holland (PV);2006/'07;182.0;16.0;9.0;169;17;10;21.0;14.0;47.0;22;14;47
193;Noord-Holland (PV);2007/'08;183.0;15.0;9.0;170;16;9;21.0;14.0;46.0;22;14;47
194;Noord-Holland (PV);2008/'09;184.0;16.0;9.0;171;17;9;22.0;14.0;46.0;21;14;46
195;Noord-Holland (PV);2009/'10;183.0;16.0;9.0;170;17;10;21.0;14.0;46.0;22;14;46
196;Noord-Holland (PV);2010/'11;184.0;18.0;9.0;171;19;9;22.0;14.0;46.0;22;14;46
197;Noord-Holland (PV);2011/'12;188.0;20.0;9.0;175;21;10;22.0;14.0;46.0;22;15;46
198;Zuid-Holland (PV);2003/'04;;;;256;18;9;;;;23;15;47
199;Zuid-Holland (PV);2004/'05;;;;258;18;9;;;;23;15;47
200;Zuid-Holland (PV);2005/'06;273.0;17.0;9.0;254;19;9;22.0;14.0;46.0;23;15;47
201;Zuid-Holland (PV);2006/'07;274.0;18.0;8.0;254;19;9;22.0;14.0;46.0;23;15;47
202;Zuid-Holland (PV);2007/'08;273.0;18.0;8.0;253;19;9;22.0;15.0;46.0;23;15;47
203;Zuid-Holland (PV);2008/'09;273.0;19.0;8.0;253;20;9;23.0;15.0;46.0;22;15;46
204;Zuid-Holland (PV);2009/'10;274.0;20.0;8.0;254;22;9;23.0;15.0;46.0;23;16;46
205;Zuid-Holland (PV);2010/'11;280.0;20.0;10.0;260;22;11;23.0;15.0;46.0;24;16;46
206;Zuid-Holland (PV);2011/'12;281.0;19.0;9.0;261;21;9;23.0;15.0;46.0;24;16;46
207;Zeeland (PV);2003/'04;;;;22;0;0;;;;7;6;11
208;Zeeland (PV);2004/'05;;;;21;0;0;;;;7;6;11
209;Zeeland (PV);2005/'06;22.0;0.0;0.0;21;0;0;7.0;6.0;10.0;7;7;10
210;Zeeland (PV);2006/'07;22.0;0.0;0.0;21;0;0;7.0;7.0;11.0;7;7;11
211;Zeeland (PV);2007/'08;22.0;0.0;0.0;21;0;0;7.0;7.0;11.0;7;7;11
212;Zeeland (PV);2008/'09;23.0;0.0;0.0;22;0;0;7.0;7.0;11.0;7;7;11
213;Zeeland (PV);2009/'10;23.0;0.0;0.0;22;0;0;7.0;7.0;11.0;7;7;11
214;Zeeland (PV);2010/'11;24.0;0.0;0.0;23;0;0;7.0;7.0;12.0;7;7;12
215;Zeeland (PV);2011/'12;24.0;0.0;0.0;23;0;0;7.0;7.0;12.0;7;7;12
216;Noord-Brabant (PV);2003/'04;;;;156;2;1;;;;10;9;19
217;Noord-Brabant (PV);2004/'05;;;;154;1;0;;;;10;9;19
218;Noord-Brabant (PV);2005/'06;160.0;1.0;0.0;153;1;0;10.0;9.0;18.0;10;9;19
219;Noord-Brabant (PV);2006/'07;160.0;1.0;0.0;154;1;0;10.0;9.0;18.0;10;9;19
220;Noord-Brabant (PV);2007/'08;154.0;2.0;0.0;148;2;0;10.0;9.0;18.0;10;9;18
221;Noord-Brabant (PV);2008/'09;151.0;1.0;0.0;145;1;0;10.0;9.0;18.0;10;9;18
222;Noord-Brabant (PV);2009/'10;152.0;1.0;0.0;146;1;0;10.0;9.0;18.0;11;9;18
223;Noord-Brabant (PV);2010/'11;159.0;1.0;0.0;153;1;0;11.0;9.0;18.0;11;10;19
224;Noord-Brabant (PV);2011/'12;156.0;3.0;0.0;150;3;0;11.0;9.0;19.0;11;10;19
225;Limburg (PV);2003/'04;;;;71;1;0;;;;8;7;13
226;Limburg (PV);2004/'05;;;;65;0;0;;;;7;7;12
227;Limburg (PV);2005/'06;69.0;0.0;0.0;65;0;0;7.0;7.0;11.0;7;7;11
228;Limburg (PV);2006/'07;67.0;0.0;0.0;63;0;0;8.0;7.0;11.0;8;7;12
229;Limburg (PV);2007/'08;64.0;0.0;0.0;60;0;0;8.0;7.0;11.0;8;7;11
230;Limburg (PV);2008/'09;64.0;0.0;0.0;60;0;0;8.0;7.0;12.0;8;7;12
231;Limburg (PV);2009/'10;64.0;0.0;0.0;60;0;0;8.0;7.0;12.0;8;8;12
232;Limburg (PV);2010/'11;64.0;0.0;0.0;60;0;0;8.0;8.0;12.0;8;8;12
233;Limburg (PV);2011/'12;63.0;0.0;0.0;59;0;0;8.0;8.0;11.0;8;8;12
