ID;Consumentenprijsindex;Perioden;ConsumentenprijsindexCPI_1;Maandmutatie_2;Jaarmutatie_3
88;Totaal alle aankopen;2011 december na herberekening;109.58;;
89;Totaal alle aankopen;2011;109.22;;2.3
90;Totaal alle aankopen;2012 januari;109.52;-0.1;2.5
91;Totaal alle aankopen;2012 februari;110.35;0.8;2.5
92;Totaal alle aankopen;2012 maart;111.61;1.1;2.5
93;Totaal alle aankopen;2012 april;112.06;0.4;2.4
94;Totaal alle aankopen;2012 mei;111.9;-0.1;2.1
95;Totaal alle aankopen;2012 juni;111.36;-0.5;2.1
96;Totaal alle aankopen;2012 juli;112.09;0.7;2.3
97;Totaal alle aankopen;2012 augustus;112.24;0.1;2.3
98;Totaal alle aankopen;2012 september;112.7;0.4;2.3
99;Totaal alle aankopen;2012 oktober;113.36;0.6;2.9
100;Totaal alle aankopen;2012 november;112.9;-0.4;2.8
101;Totaal alle aankopen;2012 december;112.74;-0.1;2.9
102;Totaal alle aankopen;2012;111.9;;2.5
103;Totaal alle aankopen;2013 januari;112.77;0.0;3.0
104;Totaal alle aankopen;2013 februari;113.66;0.8;3.0
105;Totaal alle aankopen;2013 maart;114.87;1.1;2.9
106;Totaal alle aankopen;2013 april;114.97;0.1;2.6
107;Totaal alle aankopen;2013 mei;115.0;0.0;2.8
108;Totaal alle aankopen;2013 juni;114.57;-0.4;2.9
109;Totaal alle aankopen;2013 juli;115.54;0.8;3.1
110;Totaal alle aankopen;2013 augustus;115.39;-0.1;2.8
111;Totaal alle aankopen;2013 september;115.46;0.1;2.4
112;Totaal alle aankopen;2013 oktober;115.13;-0.3;1.6
113;Totaal alle aankopen;2013 november;114.56;-0.5;1.5
114;Totaal alle aankopen;2013 december;114.62;0.1;1.7
115;Totaal alle aankopen;2013;114.71;;2.5
116;Totaal alle aankopen;2014 januari;114.37;-0.2;1.4
117;Totaal alle aankopen;2014 februari;114.86;0.4;1.1
118;Totaal alle aankopen;2014 maart;115.82;0.8;0.8
119;Totaal alle aankopen;2014 april;116.35;0.5;1.2
120;Totaal alle aankopen;2014 mei;115.95;-0.3;0.8
121;Totaal alle aankopen;2014 juni;115.64;-0.3;0.9
122;Totaal alle aankopen;2014 juli;116.58;0.8;0.9
123;Totaal alle aankopen;2014 augustus;116.5;-0.1;1.0
124;Totaal alle aankopen;2014 september;116.48;0.0;0.9
125;Totaal alle aankopen;2014 oktober;116.34;-0.1;1.1
126;Totaal alle aankopen;2014 november;115.65;-0.6;1.0
127;Totaal alle aankopen;2014 december;115.42;-0.2;0.7
128;Totaal alle aankopen;2014;115.83;;1.0
129;Totaal alle aankopen;2015 januari;114.42;-0.9;0.0
130;Totaal alle aankopen;2015 februari;115.04;0.5;0.2
131;Totaal alle aankopen;2015 maart;116.26;1.1;0.4
132;Totaal alle aankopen;2015 april;117.01;0.6;0.6
133;Totaal alle aankopen;2015 mei;117.26;0.2;1.1
134;Totaal alle aankopen;2015 juni;116.81;-0.4;1.0
135;Totaal alle aankopen;2015 juli;117.77;0.8;1.0
136;Totaal alle aankopen;2015 augustus;117.4;-0.3;0.8
137;Totaal alle aankopen;2015 september;117.18;-0.2;0.6
138;Totaal alle aankopen;2015 oktober;117.07;-0.1;0.6
139;Totaal alle aankopen;2015 november;116.42;-0.6;0.7
140;Totaal alle aankopen;2015 december;116.28;-0.1;0.7
141;Totaal alle aankopen;2015;116.58;;0.6
142;Frequente aankopen;2006 januari;99.19;;
143;Frequente aankopen;2006 februari;99.12;-0.1;
144;Frequente aankopen;2006 maart;99.53;0.4;
145;Frequente aankopen;2006 april;100.4;0.9;
146;Frequente aankopen;2006 mei;100.4;0.0;
147;Frequente aankopen;2006 juni;100.72;0.3;
148;Frequente aankopen;2006 juli;100.81;0.1;
149;Frequente aankopen;2006 augustus;100.77;0.0;
150;Frequente aankopen;2006 september;100.01;-0.8;
151;Frequente aankopen;2006 oktober;99.58;-0.4;
152;Frequente aankopen;2006 november;99.66;0.1;
153;Frequente aankopen;2006 december;99.82;0.2;
154;Frequente aankopen;2006;100.0;;
155;Frequente aankopen;2007 januari;100.38;0.6;1.2
156;Frequente aankopen;2007 februari;100.77;0.4;1.7
157;Frequente aankopen;2007 maart;101.2;0.4;1.7
158;Frequente aankopen;2007 april;101.83;0.6;1.4
159;Frequente aankopen;2007 mei;102.0;0.2;1.6
160;Frequente aankopen;2007 juni;102.15;0.1;1.4
161;Frequente aankopen;2007 juli;102.11;0.0;1.3
162;Frequente aankopen;2007 augustus;101.84;-0.3;1.1
163;Frequente aankopen;2007 september;102.21;0.4;2.2
164;Frequente aankopen;2007 oktober;102.6;0.4;3.0
165;Frequente aankopen;2007 november;103.58;1.0;3.9
166;Frequente aankopen;2007 december;103.5;-0.1;3.7
167;Frequente aankopen;2007;102.01;;2.0
168;Frequente aankopen;2008 januari;104.17;0.6;3.8
169;Frequente aankopen;2008 februari;104.81;0.6;4.0
170;Frequente aankopen;2008 maart;105.56;0.7;4.3
171;Frequente aankopen;2008 april;106.11;0.5;4.2
172;Frequente aankopen;2008 mei;107.0;0.8;4.9
173;Frequente aankopen;2008 juni;107.69;0.6;5.4
174;Frequente aankopen;2008 juli;107.77;0.1;5.5
175;Frequente aankopen;2008 augustus;107.08;-0.6;5.1
176;Frequente aankopen;2008 september;107.2;0.1;4.9
177;Frequente aankopen;2008 oktober;106.44;-0.7;3.7
178;Frequente aankopen;2008 november;106.07;-0.3;2.4
179;Frequente aankopen;2008 december;105.42;-0.6;1.9
180;Frequente aankopen;2008;106.28;;4.2
181;Frequente aankopen;2009 januari;106.33;0.9;2.1
182;Frequente aankopen;2009 februari;107.02;0.6;2.1
183;Frequente aankopen;2009 maart;107.28;0.2;1.6
184;Frequente aankopen;2009 april;107.74;0.4;1.5
185;Frequente aankopen;2009 mei;107.93;0.2;0.9
186;Frequente aankopen;2009 juni;108.31;0.4;0.6
187;Frequente aankopen;2009 juli;107.72;-0.5;0.0
188;Frequente aankopen;2009 augustus;107.87;0.1;0.7
189;Frequente aankopen;2009 september;107.58;-0.3;0.4
190;Frequente aankopen;2009 oktober;107.89;0.3;1.4
191;Frequente aankopen;2009 november;108.27;0.4;2.1
192;Frequente aankopen;2009 december;108.44;0.2;2.9
193;Frequente aankopen;2009;107.7;;1.3
194;Frequente aankopen;2010 januari;108.86;0.4;2.4
195;Frequente aankopen;2010 februari;109.41;0.5;2.2
196;Frequente aankopen;2010 maart;110.13;0.7;2.7
197;Frequente aankopen;2010 april;110.61;0.4;2.7
198;Frequente aankopen;2010 mei;110.48;-0.1;2.4
199;Frequente aankopen;2010 juni;110.6;0.1;2.1
200;Frequente aankopen;2010 juli;110.47;-0.1;2.6
201;Frequente aankopen;2010 augustus;110.23;-0.2;2.2
202;Frequente aankopen;2010 september;110.22;0.0;2.5
203;Frequente aankopen;2010 oktober;110.46;0.2;2.4
204;Frequente aankopen;2010 november;110.58;0.1;2.1
205;Frequente aankopen;2010 december;111.29;0.6;2.6
206;Frequente aankopen;2010;110.28;;2.4
207;Frequente aankopen;2011 januari voor herberekening;111.54;0.2;2.5
208;Frequente aankopen;2011 februari voor herberekening;112.33;0.7;2.7
209;Frequente aankopen;2011 maart voor herberekening;113.1;0.7;2.7
210;Frequente aankopen;2011 april voor herberekening;114.07;0.9;3.1
211;Frequente aankopen;2011 mei voor herberekening;114.26;0.2;3.4
212;Frequente aankopen;2011 juni voor herberekening;114.07;-0.2;3.1
213;Frequente aankopen;2011 juli voor herberekening;114.18;0.1;3.4
214;Frequente aankopen;2011 augustus voor herberekening;113.93;-0.2;3.4
215;Frequente aankopen;2011 september voor herberekening;114.3;0.3;3.7
216;Frequente aankopen;2011 oktober voor herberekening;114.39;0.1;3.6
217;Frequente aankopen;2011 november voor herberekening;114.46;0.1;3.5
218;Frequente aankopen;2011 december voor herberekening;114.67;0.2;3.0
219;Frequente aankopen;2011 januari na herberekening;111.54;;
220;Frequente aankopen;2011 februari na herberekening;112.33;;
221;Frequente aankopen;2011 maart na herberekening;113.1;;
222;Frequente aankopen;2011 april na herberekening;114.07;;
223;Frequente aankopen;2011 mei na herberekening;114.26;;
224;Frequente aankopen;2011 juni na herberekening;114.07;;
225;Frequente aankopen;2011 juli na herberekening;114.18;;
226;Frequente aankopen;2011 augustus na herberekening;113.93;;
227;Frequente aankopen;2011 september na herberekening;114.3;;
228;Frequente aankopen;2011 oktober na herberekening;114.39;;
229;Frequente aankopen;2011 november na herberekening;114.46;;
230;Frequente aankopen;2011 december na herberekening;114.67;;
231;Frequente aankopen;2011;113.77;;3.2
232;Frequente aankopen;2012 januari;115.33;0.6;3.4
233;Frequente aankopen;2012 februari;116.44;1.0;3.7
234;Frequente aankopen;2012 maart;117.03;0.5;3.5
235;Frequente aankopen;2012 april;117.48;0.4;3.0
236;Frequente aankopen;2012 mei;116.96;-0.4;2.4
237;Frequente aankopen;2012 juni;116.95;0.0;2.5
238;Frequente aankopen;2012 juli;117.14;0.2;2.6
239;Frequente aankopen;2012 augustus;117.29;0.1;2.9
240;Frequente aankopen;2012 september;117.69;0.3;3.0
241;Frequente aankopen;2012 oktober;118.71;0.9;3.8
242;Frequente aankopen;2012 november;118.58;-0.1;3.6
243;Frequente aankopen;2012 december;118.9;0.3;3.7
244;Frequente aankopen;2012;117.37;;3.2
245;Frequente aankopen;2013 januari;119.07;0.1;3.2
246;Frequente aankopen;2013 februari;120.33;1.1;3.3
247;Frequente aankopen;2013 maart;120.76;0.4;3.2
248;Frequente aankopen;2013 april;120.6;-0.1;2.7
249;Frequente aankopen;2013 mei;120.62;0.0;3.1
250;Frequente aankopen;2013 juni;120.74;0.1;3.2
251;Frequente aankopen;2013 juli;120.93;0.2;3.2
252;Frequente aankopen;2013 augustus;120.76;-0.1;3.0
253;Frequente aankopen;2013 september;120.54;-0.2;2.4
254;Frequente aankopen;2013 oktober;120.01;-0.4;1.1
255;Frequente aankopen;2013 november;119.82;-0.2;1.0
256;Frequente aankopen;2013 december;120.49;0.6;1.3
257;Frequente aankopen;2013;120.39;;2.6
258;Frequente aankopen;2014 januari;120.76;0.2;1.4
259;Frequente aankopen;2014 februari;121.16;0.3;0.7
260;Frequente aankopen;2014 maart;121.18;0.0;0.4
261;Frequente aankopen;2014 april;121.59;0.3;0.8
262;Frequente aankopen;2014 mei;121.35;-0.2;0.6
263;Frequente aankopen;2014 juni;121.38;0.0;0.5
264;Frequente aankopen;2014 juli;121.62;0.2;0.6
265;Frequente aankopen;2014 augustus;121.18;-0.4;0.4
266;Frequente aankopen;2014 september;121.13;0.0;0.5
267;Frequente aankopen;2014 oktober;120.79;-0.3;0.6
268;Frequente aankopen;2014 november;120.5;-0.2;0.6
269;Frequente aankopen;2014 december;119.92;-0.5;-0.5
270;Frequente aankopen;2014;121.05;;0.6
271;Frequente aankopen;2015 januari;119.28;-0.5;-1.2
272;Frequente aankopen;2015 februari;120.21;0.8;-0.8
273;Frequente aankopen;2015 maart;120.77;0.5;-0.3
274;Frequente aankopen;2015 april;121.22;0.4;-0.3
275;Frequente aankopen;2015 mei;121.35;0.1;0.0
276;Frequente aankopen;2015 juni;121.4;0.0;0.0
277;Frequente aankopen;2015 juli;121.83;0.4;0.2
278;Frequente aankopen;2015 augustus;121.29;-0.4;0.1
279;Frequente aankopen;2015 september;120.66;-0.5;-0.4
280;Frequente aankopen;2015 oktober;120.49;-0.1;-0.3
281;Frequente aankopen;2015 november;120.82;0.3;0.3
282;Frequente aankopen;2015 december;120.55;-0.2;0.5
283;Frequente aankopen;2015;120.82;;-0.2
284;Niet-frequente aankopen;2006 januari;98.43;;
285;Niet-frequente aankopen;2006 februari;99.03;0.6;
286;Niet-frequente aankopen;2006 maart;99.99;1.0;
287;Niet-frequente aankopen;2006 april;100.25;0.3;
288;Niet-frequente aankopen;2006 mei;100.37;0.1;
289;Niet-frequente aankopen;2006 juni;99.69;-0.7;
290;Niet-frequente aankopen;2006 juli;99.36;-0.3;
291;Niet-frequente aankopen;2006 augustus;100.17;0.8;
292;Niet-frequente aankopen;2006 september;101.1;0.9;
293;Niet-frequente aankopen;2006 oktober;100.93;-0.2;
294;Niet-frequente aankopen;2006 november;100.65;-0.3;
295;Niet-frequente aankopen;2006 december;100.03;-0.6;
296;Niet-frequente aankopen;2006;100.0;;
297;Niet-frequente aankopen;2007 januari;99.93;-0.1;1.5
298;Niet-frequente aankopen;2007 februari;100.43;0.5;1.4
299;Niet-frequente aankopen;2007 maart;101.83;1.4;1.8
300;Niet-frequente aankopen;2007 april;102.26;0.4;2.0
301;Niet-frequente aankopen;2007 mei;102.29;0.0;1.9
302;Niet-frequente aankopen;2007 juni;101.59;-0.7;1.9
303;Niet-frequente aankopen;2007 juli;100.9;-0.7;1.5
304;Niet-frequente aankopen;2007 augustus;101.3;0.4;1.1
305;Niet-frequente aankopen;2007 september;102.0;0.7;0.9
306;Niet-frequente aankopen;2007 oktober;101.87;-0.1;0.9
307;Niet-frequente aankopen;2007 november;101.63;-0.2;1.0
308;Niet-frequente aankopen;2007 december;101.02;-0.6;1.0
309;Niet-frequente aankopen;2007;101.42;;1.4
310;Niet-frequente aankopen;2008 januari;101.11;0.1;1.2
311;Niet-frequente aankopen;2008 februari;101.84;0.7;1.4
312;Niet-frequente aankopen;2008 maart;102.98;1.1;1.1
313;Niet-frequente aankopen;2008 april;103.27;0.3;1.0
314;Niet-frequente aankopen;2008 mei;103.39;0.1;1.1
315;Niet-frequente aankopen;2008 juni;102.79;-0.6;1.2
316;Niet-frequente aankopen;2008 juli;102.98;0.2;2.1
317;Niet-frequente aankopen;2008 augustus;103.62;0.6;2.3
318;Niet-frequente aankopen;2008 september;104.22;0.6;2.2
319;Niet-frequente aankopen;2008 oktober;104.24;0.0;2.3
320;Niet-frequente aankopen;2008 november;103.85;-0.4;2.2
321;Niet-frequente aankopen;2008 december;103.04;-0.8;2.0
322;Niet-frequente aankopen;2008;103.11;;1.7
323;Niet-frequente aankopen;2009 januari;102.99;0.0;1.9
324;Niet-frequente aankopen;2009 februari;103.75;0.7;1.9
325;Niet-frequente aankopen;2009 maart;105.17;1.4;2.1
326;Niet-frequente aankopen;2009 april;105.3;0.1;2.0
327;Niet-frequente aankopen;2009 mei;105.43;0.1;2.0
328;Niet-frequente aankopen;2009 juni;104.7;-0.7;1.9
329;Niet-frequente aankopen;2009 juli;103.31;-1.3;0.3
330;Niet-frequente aankopen;2009 augustus;103.67;0.3;0.0
331;Niet-frequente aankopen;2009 september;104.64;0.9;0.4
332;Niet-frequente aankopen;2009 oktober;104.64;0.0;0.4
333;Niet-frequente aankopen;2009 november;104.29;-0.3;0.4
334;Niet-frequente aankopen;2009 december;103.3;-0.9;0.3
335;Niet-frequente aankopen;2009;104.27;;1.1
336;Niet-frequente aankopen;2010 januari;103.05;-0.2;0.1
337;Niet-frequente aankopen;2010 februari;103.88;0.8;0.1
338;Niet-frequente aankopen;2010 maart;105.4;1.5;0.2
339;Niet-frequente aankopen;2010 april;105.71;0.3;0.4
340;Niet-frequente aankopen;2010 mei;105.71;0.0;0.3
341;Niet-frequente aankopen;2010 juni;104.88;-0.8;0.2
342;Niet-frequente aankopen;2010 juli;104.5;-0.4;1.2
343;Niet-frequente aankopen;2010 augustus;104.86;0.3;1.1
344;Niet-frequente aankopen;2010 september;105.85;0.9;1.2
345;Niet-frequente aankopen;2010 oktober;105.87;0.0;1.2
346;Niet-frequente aankopen;2010 november;105.62;-0.2;1.3
347;Niet-frequente aankopen;2010 december;104.93;-0.7;1.6
348;Niet-frequente aankopen;2010;105.02;;0.7
349;Niet-frequente aankopen;2011 januari voor herberekening;104.82;-0.1;1.7
350;Niet-frequente aankopen;2011 februari voor herberekening;105.53;0.7;1.6
351;Niet-frequente aankopen;2011 maart voor herberekening;107.06;1.4;1.6
352;Niet-frequente aankopen;2011 april voor herberekening;107.37;0.3;1.6
353;Niet-frequente aankopen;2011 mei voor herberekening;107.52;0.1;1.7
354;Niet-frequente aankopen;2011 juni voor herberekening;106.83;-0.6;1.9
355;Niet-frequente aankopen;2011 juli voor herberekening;106.84;0.0;2.2
356;Niet-frequente aankopen;2011 augustus voor herberekening;107.19;0.3;2.2
357;Niet-frequente aankopen;2011 september voor herberekening;108.18;0.9;2.2
358;Niet-frequente aankopen;2011 oktober voor herberekening;108.11;-0.1;2.1
359;Niet-frequente aankopen;2011 november voor herberekening;107.87;-0.2;2.1
360;Niet-frequente aankopen;2011 december voor herberekening;107.08;-0.7;2.0
361;Niet-frequente aankopen;2011 januari na herberekening;104.63;;
362;Niet-frequente aankopen;2011 februari na herberekening;105.45;;
363;Niet-frequente aankopen;2011 maart na herberekening;106.89;;
364;Niet-frequente aankopen;2011 april na herberekening;107.28;;
365;Niet-frequente aankopen;2011 mei na herberekening;107.31;;
366;Niet-frequente aankopen;2011 juni na herberekening;106.61;;
367;Niet-frequente aankopen;2011 juli na herberekening;107.36;;
368;Niet-frequente aankopen;2011 augustus na herberekening;107.76;;
369;Niet-frequente aankopen;2011 september na herberekening;108.16;;
370;Niet-frequente aankopen;2011 oktober na herberekening;108.19;;
371;Niet-frequente aankopen;2011 november na herberekening;107.65;;
372;Niet-frequente aankopen;2011 december na herberekening;107.13;;
373;Niet-frequente aankopen;2011;107.03;;1.9
374;Niet-frequente aankopen;2012 januari;106.73;-0.4;2.0
375;Niet-frequente aankopen;2012 februari;107.42;0.6;1.9
376;Niet-frequente aankopen;2012 maart;109.0;1.5;2.0
377;Niet-frequente aankopen;2012 april;109.46;0.4;2.0
378;Niet-frequente aankopen;2012 mei;109.46;0.0;2.0
379;Niet-frequente aankopen;2012 juni;108.67;-0.7;1.9
380;Niet-frequente aankopen;2012 juli;109.67;0.9;2.2
381;Niet-frequente aankopen;2012 augustus;109.8;0.1;1.9
382;Niet-frequente aankopen;2012 september;110.29;0.4;2.0
383;Niet-frequente aankopen;2012 oktober;110.79;0.5;2.4
384;Niet-frequente aankopen;2012 november;110.16;-0.6;2.3
385;Niet-frequente aankopen;2012 december;109.79;-0.3;2.5
386;Niet-frequente aankopen;2012;109.27;;2.1
387;Niet-frequente aankopen;2013 januari;109.75;0.0;2.8
388;Niet-frequente aankopen;2013 februari;110.45;0.6;2.8
389;Niet-frequente aankopen;2013 maart;112.04;1.4;2.8
390;Niet-frequente aankopen;2013 april;112.26;0.2;2.6
391;Niet-frequente aankopen;2013 mei;112.29;0.0;2.6
392;Niet-frequente aankopen;2013 juni;111.6;-0.6;2.7
393;Niet-frequente aankopen;2013 juli;112.94;1.2;3.0
394;Niet-frequente aankopen;2013 augustus;112.81;-0.1;2.7
395;Niet-frequente aankopen;2013 september;113.0;0.2;2.5
396;Niet-frequente aankopen;2013 oktober;112.77;-0.2;1.8
397;Niet-frequente aankopen;2013 november;112.02;-0.7;1.7
398;Niet-frequente aankopen;2013 december;111.79;-0.2;1.8
399;Niet-frequente aankopen;2013;111.98;;2.5
400;Niet-frequente aankopen;2014 januari;111.3;-0.4;1.4
401;Niet-frequente aankopen;2014 februari;111.83;0.5;1.3
402;Niet-frequente aankopen;2014 maart;113.23;1.3;1.1
403;Niet-frequente aankopen;2014 april;113.82;0.5;1.4
404;Niet-frequente aankopen;2014 mei;113.35;-0.4;0.9
405;Niet-frequente aankopen;2014 juni;112.88;-0.4;1.2
406;Niet-frequente aankopen;2014 juli;114.15;1.1;1.1
407;Niet-frequente aankopen;2014 augustus;114.24;0.1;1.3
408;Niet-frequente aankopen;2014 september;114.23;0.0;1.1
409;Niet-frequente aankopen;2014 oktober;114.19;0.0;1.3
410;Niet-frequente aankopen;2014 november;113.32;-0.8;1.2
411;Niet-frequente aankopen;2014 december;113.24;-0.1;1.3
412;Niet-frequente aankopen;2014;113.31;;1.2
413;Niet-frequente aankopen;2015 januari;112.05;-1.1;0.7
414;Niet-frequente aankopen;2015 februari;112.53;0.4;0.6
415;Niet-frequente aankopen;2015 maart;114.09;1.4;0.8
416;Niet-frequente aankopen;2015 april;114.98;0.8;1.0
417;Niet-frequente aankopen;2015 mei;115.3;0.3;1.7
418;Niet-frequente aankopen;2015 juni;114.59;-0.6;1.5
419;Niet-frequente aankopen;2015 juli;115.81;1.1;1.5
420;Niet-frequente aankopen;2015 augustus;115.53;-0.2;1.1
421;Niet-frequente aankopen;2015 september;115.53;0.0;1.1
422;Niet-frequente aankopen;2015 oktober;115.45;-0.1;1.1
423;Niet-frequente aankopen;2015 november;114.3;-1.0;0.9
424;Niet-frequente aankopen;2015 december;114.22;-0.1;0.9
425;Niet-frequente aankopen;2015;114.53;;1.1
