ID;GWW;Perioden;Inputprijsindex_1;OntwikkelingTOV1JaarEerder_2
217;4212 Boven- en ondergrondse spoorwegen;2022 november;123.8;9.0
218;4212 Boven- en ondergrondse spoorwegen;2022 december;123.8;9.0
219;4212 Boven- en ondergrondse spoorwegen;2023 januari;124.5;6.7
220;4212 Boven- en ondergrondse spoorwegen;2023 februari;124.9;5.7
221;4212 Boven- en ondergrondse spoorwegen;2023 maart;124.5;3.1
222;4212 Boven- en ondergrondse spoorwegen;2023 april;125.0;0.8
223;4212 Boven- en ondergrondse spoorwegen;2023 mei;124.9;0.0
224;4212 Boven- en ondergrondse spoorwegen;2023 juni;124.3;0.0
225;4212 Boven- en ondergrondse spoorwegen;2023 juli;123.2;-1.4
226;4212 Boven- en ondergrondse spoorwegen;2023 augustus;122.7;-2.0
227;4212 Boven- en ondergrondse spoorwegen;2023 september;122.9;-1.9
228;4212 Boven- en ondergrondse spoorwegen;2023 oktober;122.9;-1.4
229;4212 Boven- en ondergrondse spoorwegen;2023 november;122.7;-0.9
230;4212 Boven- en ondergrondse spoorwegen;2023 december;122.5;-1.1
231;4212 Boven- en ondergrondse spoorwegen;2024 januari;123.8;-0.6
232;4212 Boven- en ondergrondse spoorwegen;2024 februari;123.9;-0.8
233;4212 Boven- en ondergrondse spoorwegen;2024 maart;124.1;-0.3
234;4212 Boven- en ondergrondse spoorwegen;2024 april;124.9;-0.1
235;4212 Boven- en ondergrondse spoorwegen;2024 mei;124.6;-0.2
236;4212 Boven- en ondergrondse spoorwegen;2024 juni;125.6;1.0
237;4212 Boven- en ondergrondse spoorwegen;2024 juli;127.4;3.4
238;4212 Boven- en ondergrondse spoorwegen;2024 augustus;126.6;3.2
239;4212 Boven- en ondergrondse spoorwegen;2024 september;126.6;3.0
240;4212 Boven- en ondergrondse spoorwegen;2024 oktober;126.0;2.6
241;4212 Boven- en ondergrondse spoorwegen;2024 november;126.9;3.4
242;4212 Boven- en ondergrondse spoorwegen;2024 december;127.0;3.7
243;4212 Boven- en ondergrondse spoorwegen;2025 januari;128.8;4.0
244;"4212a. Spoorwegen; Aanleg";2020 januari;99.9;
245;"4212a. Spoorwegen; Aanleg";2020 februari;99.9;
246;"4212a. Spoorwegen; Aanleg";2020 maart;99.8;
247;"4212a. Spoorwegen; Aanleg";2020 april;99.7;
248;"4212a. Spoorwegen; Aanleg";2020 mei;99.5;
249;"4212a. Spoorwegen; Aanleg";2020 juni;99.4;
250;"4212a. Spoorwegen; Aanleg";2020 juli;100.1;
251;"4212a. Spoorwegen; Aanleg";2020 augustus;100.2;
252;"4212a. Spoorwegen; Aanleg";2020 september;100.0;
253;"4212a. Spoorwegen; Aanleg";2020 oktober;100.1;
254;"4212a. Spoorwegen; Aanleg";2020 november;100.3;
255;"4212a. Spoorwegen; Aanleg";2020 december;101.0;
256;"4212a. Spoorwegen; Aanleg";2021 januari;102.9;3.0
257;"4212a. Spoorwegen; Aanleg";2021 februari;103.3;3.4
258;"4212a. Spoorwegen; Aanleg";2021 maart;103.7;3.9
259;"4212a. Spoorwegen; Aanleg";2021 april;104.4;4.7
260;"4212a. Spoorwegen; Aanleg";2021 mei;105.4;5.9
261;"4212a. Spoorwegen; Aanleg";2021 juni;106.3;6.9
262;"4212a. Spoorwegen; Aanleg";2021 juli;108.1;7.9
263;"4212a. Spoorwegen; Aanleg";2021 augustus;108.4;8.2
264;"4212a. Spoorwegen; Aanleg";2021 september;108.4;8.4
265;"4212a. Spoorwegen; Aanleg";2021 oktober;109.6;9.4
266;"4212a. Spoorwegen; Aanleg";2021 november;109.6;9.3
267;"4212a. Spoorwegen; Aanleg";2021 december;110.0;8.9
268;"4212a. Spoorwegen; Aanleg";2022 januari;112.8;9.7
269;"4212a. Spoorwegen; Aanleg";2022 februari;113.4;9.8
270;"4212a. Spoorwegen; Aanleg";2022 maart;115.7;11.6
271;"4212a. Spoorwegen; Aanleg";2022 april;119.1;14.1
272;"4212a. Spoorwegen; Aanleg";2022 mei;120.2;14.1
273;"4212a. Spoorwegen; Aanleg";2022 juni;119.1;12.0
274;"4212a. Spoorwegen; Aanleg";2022 juli;119.5;10.5
275;"4212a. Spoorwegen; Aanleg";2022 augustus;119.1;9.9
276;"4212a. Spoorwegen; Aanleg";2022 september;119.4;10.1
277;"4212a. Spoorwegen; Aanleg";2022 oktober;118.7;8.3
278;"4212a. Spoorwegen; Aanleg";2022 november;117.7;7.4
279;"4212a. Spoorwegen; Aanleg";2022 december;116.7;6.1
280;"4212a. Spoorwegen; Aanleg";2023 januari;118.2;4.8
281;"4212a. Spoorwegen; Aanleg";2023 februari;118.0;4.1
282;"4212a. Spoorwegen; Aanleg";2023 maart;118.7;2.5
283;"4212a. Spoorwegen; Aanleg";2023 april;119.1;0.0
284;"4212a. Spoorwegen; Aanleg";2023 mei;118.8;-1.1
285;"4212a. Spoorwegen; Aanleg";2023 juni;118.2;-0.8
286;"4212a. Spoorwegen; Aanleg";2023 juli;118.3;-1.0
287;"4212a. Spoorwegen; Aanleg";2023 augustus;118.2;-0.7
288;"4212a. Spoorwegen; Aanleg";2023 september;118.4;-0.9
289;"4212a. Spoorwegen; Aanleg";2023 oktober;118.5;-0.2
290;"4212a. Spoorwegen; Aanleg";2023 november;118.5;0.6
291;"4212a. Spoorwegen; Aanleg";2023 december;118.7;1.7
292;"4212a. Spoorwegen; Aanleg";2024 januari;120.7;2.1
293;"4212a. Spoorwegen; Aanleg";2024 februari;120.9;2.4
294;"4212a. Spoorwegen; Aanleg";2024 maart;120.9;1.9
295;"4212a. Spoorwegen; Aanleg";2024 april;121.2;1.8
296;"4212a. Spoorwegen; Aanleg";2024 mei;120.9;1.7
297;"4212a. Spoorwegen; Aanleg";2024 juni;121.2;2.6
298;"4212a. Spoorwegen; Aanleg";2024 juli;123.6;4.5
299;"4212a. Spoorwegen; Aanleg";2024 augustus;123.6;4.6
300;"4212a. Spoorwegen; Aanleg";2024 september;123.7;4.5
301;"4212a. Spoorwegen; Aanleg";2024 oktober;123.5;4.3
302;"4212a. Spoorwegen; Aanleg";2024 november;123.8;4.5
303;"4212a. Spoorwegen; Aanleg";2024 december;123.8;4.3
304;"4212a. Spoorwegen; Aanleg";2025 januari;125.2;3.7
305;4212a.11 Spoorinfra;2020 januari;100.1;
306;4212a.11 Spoorinfra;2020 februari;100.1;
307;4212a.11 Spoorinfra;2020 maart;99.9;
308;4212a.11 Spoorinfra;2020 april;99.8;
309;4212a.11 Spoorinfra;2020 mei;99.4;
310;4212a.11 Spoorinfra;2020 juni;99.3;
311;4212a.11 Spoorinfra;2020 juli;100.1;
312;4212a.11 Spoorinfra;2020 augustus;100.1;
313;4212a.11 Spoorinfra;2020 september;99.9;
314;4212a.11 Spoorinfra;2020 oktober;100.0;
315;4212a.11 Spoorinfra;2020 november;100.2;
316;4212a.11 Spoorinfra;2020 december;101.1;
317;4212a.11 Spoorinfra;2021 januari;103.0;2.9
318;4212a.11 Spoorinfra;2021 februari;103.7;3.5
319;4212a.11 Spoorinfra;2021 maart;104.2;4.3
320;4212a.11 Spoorinfra;2021 april;105.1;5.3
321;4212a.11 Spoorinfra;2021 mei;106.4;7.0
322;4212a.11 Spoorinfra;2021 juni;107.6;8.3
323;4212a.11 Spoorinfra;2021 juli;109.8;9.7
324;4212a.11 Spoorinfra;2021 augustus;110.5;10.4
325;4212a.11 Spoorinfra;2021 september;110.6;10.7
326;4212a.11 Spoorinfra;2021 oktober;112.0;12.0
327;4212a.11 Spoorinfra;2021 november;112.1;11.8
328;4212a.11 Spoorinfra;2021 december;112.6;11.4
329;4212a.11 Spoorinfra;2022 januari;115.5;12.1
330;4212a.11 Spoorinfra;2022 februari;116.3;12.2
331;4212a.11 Spoorinfra;2022 maart;119.3;14.5
332;4212a.11 Spoorinfra;2022 april;123.6;17.6
333;4212a.11 Spoorinfra;2022 mei;125.1;17.6
334;4212a.11 Spoorinfra;2022 juni;123.5;14.8
335;4212a.11 Spoorinfra;2022 juli;123.7;12.7
336;4212a.11 Spoorinfra;2022 augustus;123.1;11.5
337;4212a.11 Spoorinfra;2022 september;123.6;11.8
338;4212a.11 Spoorinfra;2022 oktober;122.6;9.5
339;4212a.11 Spoorinfra;2022 november;121.3;8.3
340;4212a.11 Spoorinfra;2022 december;120.0;6.6
341;4212a.11 Spoorinfra;2023 januari;120.9;4.6
342;4212a.11 Spoorinfra;2023 februari;120.6;3.7
343;4212a.11 Spoorinfra;2023 maart;121.3;1.7
344;4212a.11 Spoorinfra;2023 april;121.8;-1.4
345;4212a.11 Spoorinfra;2023 mei;121.5;-2.9
346;4212a.11 Spoorinfra;2023 juni;120.5;-2.4
347;4212a.11 Spoorinfra;2023 juli;120.4;-2.7
348;4212a.11 Spoorinfra;2023 augustus;120.1;-2.5
349;4212a.11 Spoorinfra;2023 september;120.0;-2.9
350;4212a.11 Spoorinfra;2023 oktober;120.0;-2.1
351;4212a.11 Spoorinfra;2023 november;120.0;-1.1
352;4212a.11 Spoorinfra;2023 december;120.1;0.1
353;4212a.11 Spoorinfra;2024 januari;121.8;0.8
354;4212a.11 Spoorinfra;2024 februari;122.1;1.2
355;4212a.11 Spoorinfra;2024 maart;122.1;0.6
356;4212a.11 Spoorinfra;2024 april;122.4;0.5
357;4212a.11 Spoorinfra;2024 mei;121.9;0.4
358;4212a.11 Spoorinfra;2024 juni;122.2;1.4
359;4212a.11 Spoorinfra;2024 juli;124.9;3.7
360;4212a.11 Spoorinfra;2024 augustus;124.9;4.0
361;4212a.11 Spoorinfra;2024 september;124.9;4.1
362;4212a.11 Spoorinfra;2024 oktober;124.4;3.6
363;4212a.11 Spoorinfra;2024 november;124.7;3.9
364;4212a.11 Spoorinfra;2024 december;124.7;3.8
365;4212a.11 Spoorinfra;2025 januari;125.7;3.2
366;4212a 11.01 Baanbouw/grondwerk;2020 januari;100.1;
367;4212a 11.01 Baanbouw/grondwerk;2020 februari;100.4;
368;4212a 11.01 Baanbouw/grondwerk;2020 maart;99.4;
369;4212a 11.01 Baanbouw/grondwerk;2020 april;99.9;
370;4212a 11.01 Baanbouw/grondwerk;2020 mei;99.6;
371;4212a 11.01 Baanbouw/grondwerk;2020 juni;99.9;
372;4212a 11.01 Baanbouw/grondwerk;2020 juli;100.6;
373;4212a 11.01 Baanbouw/grondwerk;2020 augustus;100.8;
374;4212a 11.01 Baanbouw/grondwerk;2020 september;99.4;
375;4212a 11.01 Baanbouw/grondwerk;2020 oktober;99.8;
376;4212a 11.01 Baanbouw/grondwerk;2020 november;100.0;
377;4212a 11.01 Baanbouw/grondwerk;2020 december;100.3;
378;4212a 11.01 Baanbouw/grondwerk;2021 januari;102.7;2.5
379;4212a 11.01 Baanbouw/grondwerk;2021 februari;103.1;2.7
380;4212a 11.01 Baanbouw/grondwerk;2021 maart;103.3;4.0
381;4212a 11.01 Baanbouw/grondwerk;2021 april;101.4;1.5
382;4212a 11.01 Baanbouw/grondwerk;2021 mei;103.7;4.1
383;4212a 11.01 Baanbouw/grondwerk;2021 juni;104.0;4.1
384;4212a 11.01 Baanbouw/grondwerk;2021 juli;104.2;3.6
385;4212a 11.01 Baanbouw/grondwerk;2021 augustus;104.7;3.8
386;4212a 11.01 Baanbouw/grondwerk;2021 september;104.8;5.4
387;4212a 11.01 Baanbouw/grondwerk;2021 oktober;105.8;6.1
388;4212a 11.01 Baanbouw/grondwerk;2021 november;106.6;6.7
389;4212a 11.01 Baanbouw/grondwerk;2021 december;107.1;6.8
390;4212a 11.01 Baanbouw/grondwerk;2022 januari;109.0;6.2
391;4212a 11.01 Baanbouw/grondwerk;2022 februari;110.1;6.8
392;4212a 11.01 Baanbouw/grondwerk;2022 maart;113.0;9.4
393;4212a 11.01 Baanbouw/grondwerk;2022 april;114.3;12.8
394;4212a 11.01 Baanbouw/grondwerk;2022 mei;114.8;10.6
395;4212a 11.01 Baanbouw/grondwerk;2022 juni;116.0;11.5
396;4212a 11.01 Baanbouw/grondwerk;2022 juli;116.4;11.7
397;4212a 11.01 Baanbouw/grondwerk;2022 augustus;118.1;12.8
398;4212a 11.01 Baanbouw/grondwerk;2022 september;117.8;12.4
399;4212a 11.01 Baanbouw/grondwerk;2022 oktober;119.2;12.7
400;4212a 11.01 Baanbouw/grondwerk;2022 november;118.0;10.6
401;4212a 11.01 Baanbouw/grondwerk;2022 december;116.8;9.0
402;4212a 11.01 Baanbouw/grondwerk;2023 januari;118.4;8.6
403;4212a 11.01 Baanbouw/grondwerk;2023 februari;118.0;7.2
404;4212a 11.01 Baanbouw/grondwerk;2023 maart;118.7;5.1
405;4212a 11.01 Baanbouw/grondwerk;2023 april;120.9;5.7
406;4212a 11.01 Baanbouw/grondwerk;2023 mei;120.9;5.3
407;4212a 11.01 Baanbouw/grondwerk;2023 juni;121.0;4.3
408;4212a 11.01 Baanbouw/grondwerk;2023 juli;124.9;7.4
409;4212a 11.01 Baanbouw/grondwerk;2023 augustus;125.8;6.6
410;4212a 11.01 Baanbouw/grondwerk;2023 september;126.5;7.4
411;4212a 11.01 Baanbouw/grondwerk;2023 oktober;127.0;6.5
412;4212a 11.01 Baanbouw/grondwerk;2023 november;126.3;7.1
413;4212a 11.01 Baanbouw/grondwerk;2023 december;126.0;7.9
414;4212a 11.01 Baanbouw/grondwerk;2024 januari;130.0;9.8
415;4212a 11.01 Baanbouw/grondwerk;2024 februari;130.4;10.5
416;4212a 11.01 Baanbouw/grondwerk;2024 maart;130.5;10.0
417;4212a 11.01 Baanbouw/grondwerk;2024 april;131.0;8.4
418;4212a 11.01 Baanbouw/grondwerk;2024 mei;130.4;7.9
419;4212a 11.01 Baanbouw/grondwerk;2024 juni;130.2;7.6
420;4212a 11.01 Baanbouw/grondwerk;2024 juli;132.7;6.2
421;4212a 11.01 Baanbouw/grondwerk;2024 augustus;132.0;4.9
422;4212a 11.01 Baanbouw/grondwerk;2024 september;132.1;4.4
