ID;Sex;PersonalCharacteristics;Periods;TotalPopulationAged15YearsAndOlder_1;TotalLabourForceAccToInternatDef_2;EmpLabourForceAccToInternatDef_3;UnempLabourForceAccToInternatDef_4;PeopleNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;UnemploymentAsAPercentage_8;TotalEmployees_9;EmployeesPermanentJobs_10;EmployeesFlexibleJobs_11;SelfEmployed_12;FamilyWorkers_13;k_0119HrsPerWeek_14;k_2034HrsPerWeek_15;k_35HrsPerWeek_16;WorkingHoursUnknown_17;AverageWorkingHours_18;Military_19;LegislatorsSeniorOfficialsManagers_20;ScientistsScholars_21;TechniciansSkilledWorkers_22;OfficeWorkers_23;ServiceShopAndMarketSalesWorkers_24;SkilledWorkersAgricultureAndFishery_25;Craftsmen_26;FactoryWorkersMachineOperatorsEtc_27;ElementaryOccupations_28;NotClassifiable_29
91;Total sex;16;2001 before revision;1190.0;55.0;54.0;;1135.0;4.6;4.5;;21.0;8.0;14.0;31.0;;29.0;14.0;10.0;;19.7;;15.0;13.0;6.0;;5.0;;4.0;5.0;4.0;
92;Total sex;16;2001 after revision;1190.0;54.0;53.0;;1136.0;4.5;4.4;;23.0;8.0;15.0;29.0;;31.0;12.0;9.0;;18.9;;14.0;10.0;5.0;2.0;5.0;;3.0;4.0;4.0;5.0
93;Total sex;16;2002;1200.0;61.0;60.0;2.0;1139.0;5.1;5.0;2.8;24.0;8.0;16.0;34.0;;34.0;14.0;11.0;;19.3;;17.0;12.0;7.0;4.0;5.0;;4.0;4.0;4.0;
94;Total sex;16;2003;1213.0;66.0;63.0;2.0;1148.0;5.4;5.2;3.7;27.0;11.0;16.0;35.0;;34.0;14.0;14.0;;20.3;;20.0;11.0;7.0;4.0;5.0;2.0;3.0;5.0;5.0;
95;Total sex;16;2004;1230.0;72.0;69.0;4.0;1158.0;5.9;5.6;4.9;31.0;13.0;18.0;37.0;;36.0;16.0;15.0;;20.4;;17.0;13.0;8.0;5.0;5.0;;3.0;7.0;9.0;
96;Total sex;16;2005;1250.0;80.0;76.0;4.0;1170.0;6.4;6.1;5.1;33.0;15.0;18.0;42.0;;41.0;16.0;17.0;;20.8;;18.0;17.0;8.0;5.0;7.0;2.0;4.0;6.0;8.0;
97;Total sex;16;2006;1269.0;84.0;80.0;4.0;1185.0;6.6;6.3;4.2;33.0;14.0;19.0;45.0;;44.0;18.0;18.0;;20.6;;22.0;17.0;8.0;5.0;7.0;2.0;4.0;6.0;7.0;
98;Total sex;16;2007;1289.0;98.0;96.0;2.0;1191.0;7.6;7.5;1.5;42.0;18.0;25.0;52.0;;52.0;21.0;19.0;4.0;19.3;;23.0;18.0;9.0;7.0;9.0;3.0;8.0;8.0;10.0;2.0
99;Total sex;16;2008;1318.0;103.0;98.0;5.0;1215.0;7.8;7.4;4.9;44.0;15.0;29.0;53.0;;55.0;21.0;19.0;3.0;19.6;;22.0;19.0;10.0;6.0;13.0;;7.0;9.0;9.0;
100;Total sex;16;2009;1358.0;124.0;121.0;3.0;1233.0;9.2;8.9;2.6;60.0;23.0;37.0;61.0;;65.0;29.0;25.0;2.0;20.5;;25.0;22.0;12.0;7.0;18.0;2.0;7.0;13.0;12.0;
