ID;NationaliteitVoertuig;RegioS;Perioden;TotaalGeladenGewicht_1;VervoerdBinnenDezelfdeProvincie_2;VervoerdNaarAndereProvincies_3;VervoerdNaarBuitenland_4;TotaalGelostGewicht_5;AfkomstigUitDezelfdeProvincie_6;AfkomstigUitAndereProvincies_7;AfkomstigUitBuitenland_8
113;Nederlandse voertuigen;Friesland (PV);2006;21877;13567;7341;969;23410;13567;8703;1140
114;Nederlandse voertuigen;Friesland (PV);2007;22832;13880;7941;1011;24714;13880;9544;1289
115;Nederlandse voertuigen;Friesland (PV);2008;20894;12068;7895;930;22177;12068;9215;894
116;Nederlandse voertuigen;Friesland (PV);2009;20712;12287;7529;896;22004;12287;8934;783
117;Nederlandse voertuigen;Friesland (PV);2010;19075;9295;8671;1109;19901;9295;9546;1060
118;Nederlandse voertuigen;Friesland (PV);2011;19933;9462;9445;1026;19885;9462;9473;950
119;Nederlandse voertuigen;Friesland (PV);2012;18966;10831;7378;757;20078;10831;8381;866
120;Nederlandse voertuigen;Drenthe (PV);2005;16231;6345;8636;1250;18267;6345;10686;1235
121;Nederlandse voertuigen;Drenthe (PV);2006;21007;7461;12340;1207;18134;7461;8840;1834
122;Nederlandse voertuigen;Drenthe (PV);2007;20840;7675;11987;1178;18694;7675;9346;1673
123;Nederlandse voertuigen;Drenthe (PV);2008;17687;6087;10413;1187;17351;6087;9992;1272
124;Nederlandse voertuigen;Drenthe (PV);2009;23504;8333;13993;1178;19169;8333;9579;1257
125;Nederlandse voertuigen;Drenthe (PV);2010;19453;5008;13507;938;15371;5008;9163;1200
126;Nederlandse voertuigen;Drenthe (PV);2011;14578;5107;8408;1063;16329;5107;10449;773
127;Nederlandse voertuigen;Drenthe (PV);2012;16230;5069;10246;914;14437;5069;8654;714
128;Nederlandse voertuigen;Overijssel (PV);2005;34006;15398;15341;3266;31903;15398;13189;3316
129;Nederlandse voertuigen;Overijssel (PV);2006;41759;21783;16257;3719;40096;21783;13576;4737
130;Nederlandse voertuigen;Overijssel (PV);2007;38809;17859;16802;4148;35366;17859;12981;4526
131;Nederlandse voertuigen;Overijssel (PV);2008;43424;20366;19148;3910;37648;20366;13466;3816
132;Nederlandse voertuigen;Overijssel (PV);2009;39710;19890;16983;2837;35123;19890;12110;3123
133;Nederlandse voertuigen;Overijssel (PV);2010;36276;15001;18245;3030;32331;15001;14203;3126
134;Nederlandse voertuigen;Overijssel (PV);2011;38297;15520;19493;3284;33284;15520;14468;3296
135;Nederlandse voertuigen;Overijssel (PV);2012;31345;12926;15484;2935;27706;12926;11648;3132
136;Nederlandse voertuigen;Flevoland (PV);2005;10783;2576;7347;861;8451;2576;5350;525
137;Nederlandse voertuigen;Flevoland (PV);2006;8869;1697;6357;815;8067;1697;5795;575
138;Nederlandse voertuigen;Flevoland (PV);2007;9592;2631;6026;935;10092;2631;6845;615
139;Nederlandse voertuigen;Flevoland (PV);2008;11381;4565;5908;908;12441;4565;7271;604
140;Nederlandse voertuigen;Flevoland (PV);2009;10192;4183;5169;839;11077;4183;6360;534
141;Nederlandse voertuigen;Flevoland (PV);2010;9916;3324;5532;1060;11057;3324;7184;549
142;Nederlandse voertuigen;Flevoland (PV);2011;9537;2273;6307;957;8699;2273;5970;456
143;Nederlandse voertuigen;Flevoland (PV);2012;10054;3874;5498;682;10252;3874;5865;513
144;Nederlandse voertuigen;Gelderland (PV);2005;65975;30144;27939;7892;63246;30144;25926;7176
145;Nederlandse voertuigen;Gelderland (PV);2006;69472;33888;28000;7584;67540;33888;27041;6611
146;Nederlandse voertuigen;Gelderland (PV);2007;67507;32286;28885;6336;68533;32286;29250;6997
147;Nederlandse voertuigen;Gelderland (PV);2008;65391;28799;30208;6384;63725;28799;27821;7105
148;Nederlandse voertuigen;Gelderland (PV);2009;65210;32408;26757;6046;65471;32408;27634;5428
149;Nederlandse voertuigen;Gelderland (PV);2010;61620;29217;26432;5971;60741;29217;25410;6115
150;Nederlandse voertuigen;Gelderland (PV);2011;62231;29766;26703;5762;62372;29766;26988;5618
151;Nederlandse voertuigen;Gelderland (PV);2012;56633;26732;24208;5693;57706;26732;24905;6069
152;Nederlandse voertuigen;Utrecht (PV);2005;27623;11445;14851;1327;29156;11445;15976;1736
153;Nederlandse voertuigen;Utrecht (PV);2006;25457;8907;14944;1607;25717;8907;15079;1731
154;Nederlandse voertuigen;Utrecht (PV);2007;26852;11429;13661;1762;28866;11429;15686;1751
155;Nederlandse voertuigen;Utrecht (PV);2008;28957;13047;14652;1259;29059;13047;14517;1495
156;Nederlandse voertuigen;Utrecht (PV);2009;27730;12830;13720;1181;28854;12830;14642;1382
157;Nederlandse voertuigen;Utrecht (PV);2010;23033;9311;12433;1288;26156;9311;15034;1811
158;Nederlandse voertuigen;Utrecht (PV);2011;24513;9595;13582;1336;27680;9595;16853;1232
159;Nederlandse voertuigen;Utrecht (PV);2012;23932;10549;11999;1384;23341;10549;11420;1372
160;Nederlandse voertuigen;Noord-Holland (PV);2005;53896;31439;18585;3872;56180;31439;22017;2725
161;Nederlandse voertuigen;Noord-Holland (PV);2006;53067;32076;16942;4049;57388;32076;22213;3099
162;Nederlandse voertuigen;Noord-Holland (PV);2007;55747;33366;18422;3959;58588;33366;22519;2702
163;Nederlandse voertuigen;Noord-Holland (PV);2008;52071;32177;15681;4213;56423;32177;21581;2666
164;Nederlandse voertuigen;Noord-Holland (PV);2009;55259;33782;18036;3440;56842;33782;20592;2468
165;Nederlandse voertuigen;Noord-Holland (PV);2010;53185;33107;16541;3537;56475;33107;21076;2292
166;Nederlandse voertuigen;Noord-Holland (PV);2011;51619;30609;17705;3305;54397;30609;21615;2173
167;Nederlandse voertuigen;Noord-Holland (PV);2012;48540;30776;14318;3446;50962;30776;17926;2260
168;Nederlandse voertuigen;Zuid-Holland (PV);2005;122734;70990;36033;15711;116209;70990;34731;10488
169;Nederlandse voertuigen;Zuid-Holland (PV);2006;121951;71515;34525;15911;114673;71515;33165;9992
170;Nederlandse voertuigen;Zuid-Holland (PV);2007;124710;72887;36357;15466;118148;72887;35384;9878
171;Nederlandse voertuigen;Zuid-Holland (PV);2008;117632;70066;33282;14284;114427;70066;35075;9286
172;Nederlandse voertuigen;Zuid-Holland (PV);2009;115122;68436;32644;14042;109314;68436;32463;8415
173;Nederlandse voertuigen;Zuid-Holland (PV);2010;108700;62135;34000;12566;102112;62135;31815;8162
174;Nederlandse voertuigen;Zuid-Holland (PV);2011;108159;60852;35385;11922;100080;60852;31538;7690
175;Nederlandse voertuigen;Zuid-Holland (PV);2012;104846;63629;30324;10893;99447;63629;28549;7269
176;Nederlandse voertuigen;Zeeland (PV);2005;15634;6972;5173;3489;14489;6972;5963;1554
177;Nederlandse voertuigen;Zeeland (PV);2006;15364;6758;5238;3369;14493;6758;5969;1767
178;Nederlandse voertuigen;Zeeland (PV);2007;16272;7487;5050;3735;15347;7487;6284;1576
179;Nederlandse voertuigen;Zeeland (PV);2008;18376;9244;5885;3247;17979;9244;6845;1890
180;Nederlandse voertuigen;Zeeland (PV);2009;16170;7673;5427;3070;15842;7673;6423;1745
181;Nederlandse voertuigen;Zeeland (PV);2010;15691;7771;5122;2798;15728;7771;5914;2042
182;Nederlandse voertuigen;Zeeland (PV);2011;13611;5884;4969;2757;12807;5884;5553;1370
183;Nederlandse voertuigen;Zeeland (PV);2012;14828;6422;5792;2614;14152;6422;6186;1543
184;Nederlandse voertuigen;Noord-Brabant (PV);2005;100444;53589;34807;12048;95464;53589;31749;10125
185;Nederlandse voertuigen;Noord-Brabant (PV);2006;92645;46228;34739;11678;86824;46228;30695;9901
186;Nederlandse voertuigen;Noord-Brabant (PV);2007;104436;55060;37295;12081;97836;55060;32417;10359
187;Nederlandse voertuigen;Noord-Brabant (PV);2008;95797;49364;35123;11310;91600;49364;32285;9951
188;Nederlandse voertuigen;Noord-Brabant (PV);2009;96965;52647;34438;9880;92390;52647;31129;8613
189;Nederlandse voertuigen;Noord-Brabant (PV);2010;84429;42759;31990;9680;80827;42759;30323;7745
190;Nederlandse voertuigen;Noord-Brabant (PV);2011;84055;39879;33755;10421;81646;39879;32755;9012
191;Nederlandse voertuigen;Noord-Brabant (PV);2012;87048;43603;32630;10815;83771;43603;31350;8819
192;Nederlandse voertuigen;Limburg (PV);2005;45456;23623;13855;7978;44063;23623;11996;8443
193;Nederlandse voertuigen;Limburg (PV);2006;49612;27072;14157;8383;47360;27072;12838;7450
194;Nederlandse voertuigen;Limburg (PV);2007;50565;28063;14873;7629;48232;28063;12597;7573
195;Nederlandse voertuigen;Limburg (PV);2008;50593;27263;14949;8381;48614;27263;12093;9257
196;Nederlandse voertuigen;Limburg (PV);2009;50495;27918;14166;8411;48842;27918;11814;9111
197;Nederlandse voertuigen;Limburg (PV);2010;42681;21657;13806;7217;39813;21657;10757;7399
198;Nederlandse voertuigen;Limburg (PV);2011;44201;21968;13882;8351;44530;21968;12915;9647
199;Nederlandse voertuigen;Limburg (PV);2012;42943;21555;13060;8329;40952;21555;11625;7773
200;Nederlandse voertuigen;Provincie onbekend;2005;32;0;32;0;32;0;32;0
201;Nederlandse voertuigen;Provincie onbekend;2006;3;0;3;0;3;0;3;0
202;Nederlandse voertuigen;Provincie onbekend;2007;52;0;52;0;52;0;52;0
203;Nederlandse voertuigen;Provincie onbekend;2008;21;0;21;0;21;0;21;0
204;Nederlandse voertuigen;Provincie onbekend;2009;0;0;0;0;0;0;0;0
205;Nederlandse voertuigen;Provincie onbekend;2010;0;0;0;0;0;0;0;0
206;Nederlandse voertuigen;Provincie onbekend;2011;0;0;0;0;0;0;0;0
207;Nederlandse voertuigen;Provincie onbekend;2012;0;0;0;0;0;0;0;0
208;Buitenlandse voertuigen;Groningen (PV);2005;560;3;31;526;803;3;20;780
209;Buitenlandse voertuigen;Groningen (PV);2006;1139;1;23;1116;843;1;41;801
210;Buitenlandse voertuigen;Groningen (PV);2007;1197;4;73;1120;1201;4;36;1161
211;Buitenlandse voertuigen;Groningen (PV);2008;1337;178;114;1045;1643;178;83;1382
212;Buitenlandse voertuigen;Groningen (PV);2009;838;17;39;781;987;17;70;900
213;Buitenlandse voertuigen;Groningen (PV);2010;1157;13;57;1087;1212;13;27;1172
214;Buitenlandse voertuigen;Groningen (PV);2011;1142;45;45;1052;1104;45;47;1013
215;Buitenlandse voertuigen;Groningen (PV);2012;1354;20;87;1248;1203;20;81;1102
216;Buitenlandse voertuigen;Friesland (PV);2005;295;2;27;266;613;2;32;579
217;Buitenlandse voertuigen;Friesland (PV);2006;247;2;8;238;752;2;6;745
218;Buitenlandse voertuigen;Friesland (PV);2007;373;14;25;334;593;14;39;541
219;Buitenlandse voertuigen;Friesland (PV);2008;481;5;69;406;934;5;83;845
220;Buitenlandse voertuigen;Friesland (PV);2009;379;25;41;314;985;25;70;890
221;Buitenlandse voertuigen;Friesland (PV);2010;440;16;99;326;1093;16;172;906
222;Buitenlandse voertuigen;Friesland (PV);2011;440;9;34;397;883;9;67;807
223;Buitenlandse voertuigen;Friesland (PV);2012;439;5;32;401;892;5;112;775
224;Buitenlandse voertuigen;Drenthe (PV);2005;373;3;47;323;743;3;37;702
225;Buitenlandse voertuigen;Drenthe (PV);2006;456;6;22;429;851;6;38;808
226;Buitenlandse voertuigen;Drenthe (PV);2007;788;4;55;729;955;4;22;928
227;Buitenlandse voertuigen;Drenthe (PV);2008;558;89;45;425;1031;89;86;857
228;Buitenlandse voertuigen;Drenthe (PV);2009;815;69;59;686;1045;69;67;908
229;Buitenlandse voertuigen;Drenthe (PV);2010;784;1;75;709;995;1;64;930
230;Buitenlandse voertuigen;Drenthe (PV);2011;694;0;69;626;995;0;77;918
231;Buitenlandse voertuigen;Drenthe (PV);2012;871;59;126;686;1324;59;110;1155
232;Buitenlandse voertuigen;Overijssel (PV);2005;979;12;76;891;1603;12;40;1551
233;Buitenlandse voertuigen;Overijssel (PV);2006;1220;20;66;1134;1860;20;47;1793
234;Buitenlandse voertuigen;Overijssel (PV);2007;1605;34;55;1516;2408;34;102;2272
235;Buitenlandse voertuigen;Overijssel (PV);2008;1741;38;103;1600;2937;38;102;2797
236;Buitenlandse voertuigen;Overijssel (PV);2009;2034;17;160;1857;2761;17;112;2631
237;Buitenlandse voertuigen;Overijssel (PV);2010;2007;121;152;1734;2647;121;186;2339
238;Buitenlandse voertuigen;Overijssel (PV);2011;2209;123;147;1939;2914;123;91;2700
239;Buitenlandse voertuigen;Overijssel (PV);2012;2171;72;216;1883;2762;72;284;2406
240;Buitenlandse voertuigen;Flevoland (PV);2005;236;0;5;231;154;0;11;143
241;Buitenlandse voertuigen;Flevoland (PV);2006;290;1;10;280;362;1;11;351
242;Buitenlandse voertuigen;Flevoland (PV);2007;415;14;22;379;345;14;25;305
243;Buitenlandse voertuigen;Flevoland (PV);2008;476;0;24;452;416;0;31;385
244;Buitenlandse voertuigen;Flevoland (PV);2009;632;11;48;572;393;11;35;347
245;Buitenlandse voertuigen;Flevoland (PV);2010;400;0;43;356;460;0;95;365
246;Buitenlandse voertuigen;Flevoland (PV);2011;667;0;32;634;588;0;21;568
247;Buitenlandse voertuigen;Flevoland (PV);2012;571;13;88;470;449;13;32;404
248;Buitenlandse voertuigen;Gelderland (PV);2005;2043;41;71;1931;3231;41;123;3068
249;Buitenlandse voertuigen;Gelderland (PV);2006;2529;23;123;2383;4061;23;183;3855
250;Buitenlandse voertuigen;Gelderland (PV);2007;3483;43;166;3274;4858;43;173;4642
251;Buitenlandse voertuigen;Gelderland (PV);2008;3975;124;153;3698;5251;124;228;4899
252;Buitenlandse voertuigen;Gelderland (PV);2009;3443;30;231;3182;4773;30;332;4412
253;Buitenlandse voertuigen;Gelderland (PV);2010;3811;169;276;3366;5151;169;362;4620
254;Buitenlandse voertuigen;Gelderland (PV);2011;3676;86;352;3238;4631;86;436;4109
255;Buitenlandse voertuigen;Gelderland (PV);2012;3987;140;303;3544;4749;140;347;4261
256;Buitenlandse voertuigen;Utrecht (PV);2005;551;19;57;476;921;19;90;812
257;Buitenlandse voertuigen;Utrecht (PV);2006;455;2;35;418;1108;2;108;999
258;Buitenlandse voertuigen;Utrecht (PV);2007;697;5;55;636;1244;5;64;1175
259;Buitenlandse voertuigen;Utrecht (PV);2008;881;4;91;786;1329;4;150;1175
260;Buitenlandse voertuigen;Utrecht (PV);2009;800;7;37;756;1130;7;66;1057
261;Buitenlandse voertuigen;Utrecht (PV);2010;870;9;87;774;1294;9;125;1161
262;Buitenlandse voertuigen;Utrecht (PV);2011;762;0;66;696;1389;0;103;1286
263;Buitenlandse voertuigen;Utrecht (PV);2012;792;10;85;696;1286;10;56;1219
264;Buitenlandse voertuigen;Noord-Holland (PV);2005;1970;128;84;1758;1741;128;62;1551
265;Buitenlandse voertuigen;Noord-Holland (PV);2006;2079;15;55;2009;2133;15;94;2024
266;Buitenlandse voertuigen;Noord-Holland (PV);2007;3590;499;132;2958;3346;499;162;2685
267;Buitenlandse voertuigen;Noord-Holland (PV);2008;3951;90;153;3708;3211;90;124;2997
268;Buitenlandse voertuigen;Noord-Holland (PV);2009;3626;35;203;3388;3190;35;119;3035
269;Buitenlandse voertuigen;Noord-Holland (PV);2010;3342;86;234;3021;3107;86;176;2846
270;Buitenlandse voertuigen;Noord-Holland (PV);2011;3081;71;198;2812;3047;71;218;2757
271;Buitenlandse voertuigen;Noord-Holland (PV);2012;2840;69;161;2610;3124;69;167;2888
272;Buitenlandse voertuigen;Zuid-Holland (PV);2005;5661;178;193;5291;4676;178;205;4294
273;Buitenlandse voertuigen;Zuid-Holland (PV);2006;6663;219;188;6256;5586;219;145;5222
274;Buitenlandse voertuigen;Zuid-Holland (PV);2007;8767;226;237;8305;6465;226;325;5914
275;Buitenlandse voertuigen;Zuid-Holland (PV);2008;9303;214;331;8758;7400;214;349;6836
276;Buitenlandse voertuigen;Zuid-Holland (PV);2009;8568;150;374;8043;6544;150;393;6000
277;Buitenlandse voertuigen;Zuid-Holland (PV);2010;10086;689;516;8881;7413;689;496;6228
278;Buitenlandse voertuigen;Zuid-Holland (PV);2011;9655;301;701;8653;7429;301;604;6524
279;Buitenlandse voertuigen;Zuid-Holland (PV);2012;8804;367;432;8005;6894;367;477;6050
280;Buitenlandse voertuigen;Zeeland (PV);2005;3695;137;200;3358;2094;137;80;1877
281;Buitenlandse voertuigen;Zeeland (PV);2006;3703;76;264;3364;1820;76;72;1672
282;Buitenlandse voertuigen;Zeeland (PV);2007;3901;204;152;3545;2402;204;57;2141
283;Buitenlandse voertuigen;Zeeland (PV);2008;4598;508;152;3939;2525;508;132;1885
