ID;TypeOfMonument;Regions;Periods;ListedMonumentsAndHistoricBuildings_1
165;Listed monuments total ;Agglomeratie Leiden en Bollenstreek (CR);2014;1808
166;Listed monuments total ;Agglomeratie Leiden en Bollenstreek (CR);2015;1808
167;Listed monuments total ;Agglomeratie Leiden en Bollenstreek (CR);2016;1807
168;Listed monuments total ;Agglomeratie 's-Gravenhage (CR);2013;1744
169;Listed monuments total ;Agglomeratie 's-Gravenhage (CR);2014;1748
170;Listed monuments total ;Agglomeratie 's-Gravenhage (CR);2015;1747
171;Listed monuments total ;Agglomeratie 's-Gravenhage (CR);2016;1746
172;Listed monuments total ;Delft en Westland (CR);2013;870
173;Listed monuments total ;Delft en Westland (CR);2014;871
174;Listed monuments total ;Delft en Westland (CR);2015;871
175;Listed monuments total ;Delft en Westland (CR);2016;871
176;Listed monuments total ;Oost-Zuid-Holland (CR);2013;942
177;Listed monuments total ;Oost-Zuid-Holland (CR);2014;942
178;Listed monuments total ;Oost-Zuid-Holland (CR);2015;941
179;Listed monuments total ;Oost-Zuid-Holland (CR);2016;941
180;Listed monuments total ;Groot-Rijnmond (CR);2013;2185
181;Listed monuments total ;Groot-Rijnmond (CR);2014;2220
182;Listed monuments total ;Groot-Rijnmond (CR);2015;2221
183;Listed monuments total ;Groot-Rijnmond (CR);2016;2225
184;Listed monuments total ;Zuidoost-Zuid-Holland (CR);2013;1569
185;Listed monuments total ;Zuidoost-Zuid-Holland (CR);2014;1571
186;Listed monuments total ;Zuidoost-Zuid-Holland (CR);2015;1571
187;Listed monuments total ;Zuidoost-Zuid-Holland (CR);2016;1568
188;Listed monuments total ;Zeeuwsch-Vlaanderen (CR);2013;388
189;Listed monuments total ;Zeeuwsch-Vlaanderen (CR);2014;385
190;Listed monuments total ;Zeeuwsch-Vlaanderen (CR);2015;385
191;Listed monuments total ;Zeeuwsch-Vlaanderen (CR);2016;385
192;Listed monuments total ;Overig Zeeland (CR);2013;3302
193;Listed monuments total ;Overig Zeeland (CR);2014;3294
194;Listed monuments total ;Overig Zeeland (CR);2015;3290
195;Listed monuments total ;Overig Zeeland (CR);2016;3292
196;Listed monuments total ;West-Noord-Brabant (CR);2013;1659
197;Listed monuments total ;West-Noord-Brabant (CR);2014;1658
198;Listed monuments total ;West-Noord-Brabant (CR);2015;1658
199;Listed monuments total ;West-Noord-Brabant (CR);2016;1653
200;Listed monuments total ;Midden-Noord-Brabant (CR);2013;1061
201;Listed monuments total ;Midden-Noord-Brabant (CR);2014;1061
202;Listed monuments total ;Midden-Noord-Brabant (CR);2015;1096
203;Listed monuments total ;Midden-Noord-Brabant (CR);2016;1092
204;Listed monuments total ;Noordoost-Noord-Brabant (CR);2013;2076
205;Listed monuments total ;Noordoost-Noord-Brabant (CR);2014;2075
206;Listed monuments total ;Noordoost-Noord-Brabant (CR);2015;2076
207;Listed monuments total ;Noordoost-Noord-Brabant (CR);2016;2076
208;Listed monuments total ;Zuidoost-Noord-Brabant (CR);2013;1014
209;Listed monuments total ;Zuidoost-Noord-Brabant (CR);2014;1012
210;Listed monuments total ;Zuidoost-Noord-Brabant (CR);2015;1011
211;Listed monuments total ;Zuidoost-Noord-Brabant (CR);2016;1011
212;Listed monuments total ;Noord-Limburg (CR);2013;532
213;Listed monuments total ;Noord-Limburg (CR);2014;530
214;Listed monuments total ;Noord-Limburg (CR);2015;529
215;Listed monuments total ;Noord-Limburg (CR);2016;530
216;Listed monuments total ;Midden-Limburg (CR);2013;822
217;Listed monuments total ;Midden-Limburg (CR);2014;822
218;Listed monuments total ;Midden-Limburg (CR);2015;822
219;Listed monuments total ;Midden-Limburg (CR);2016;822
220;Listed monuments total ;Zuid-Limburg (CR);2013;3990
221;Listed monuments total ;Zuid-Limburg (CR);2014;3989
222;Listed monuments total ;Zuid-Limburg (CR);2015;3988
223;Listed monuments total ;Zuid-Limburg (CR);2016;3989
224;Listed monuments total ;Flevoland (CR);2013;79
225;Listed monuments total ;Flevoland (CR);2014;81
226;Listed monuments total ;Flevoland (CR);2015;81
227;Listed monuments total ;Flevoland (CR);2016;82
228;Listed monuments total ;Aa en Hunze;2013;76
229;Listed monuments total ;Aa en Hunze;2014;76
230;Listed monuments total ;Aa en Hunze;2015;76
231;Listed monuments total ;Aa en Hunze;2016;76
232;Listed monuments total ;Aalburg;2013;47
233;Listed monuments total ;Aalburg;2014;47
234;Listed monuments total ;Aalburg;2015;47
235;Listed monuments total ;Aalburg;2016;47
236;Listed monuments total ;Aalsmeer;2013;38
237;Listed monuments total ;Aalsmeer;2014;37
238;Listed monuments total ;Aalsmeer;2015;37
239;Listed monuments total ;Aalsmeer;2016;37
240;Listed monuments total ;Aalten;2013;61
241;Listed monuments total ;Aalten;2014;61
242;Listed monuments total ;Aalten;2015;61
243;Listed monuments total ;Aalten;2016;61
244;Listed monuments total ;Achtkarspelen;2013;66
245;Listed monuments total ;Achtkarspelen;2014;66
246;Listed monuments total ;Achtkarspelen;2015;66
247;Listed monuments total ;Achtkarspelen;2016;66
248;Listed monuments total ;Alblasserdam;2013;20
249;Listed monuments total ;Alblasserdam;2014;20
250;Listed monuments total ;Alblasserdam;2015;20
251;Listed monuments total ;Alblasserdam;2016;20
252;Listed monuments total ;Albrandswaard;2013;27
253;Listed monuments total ;Albrandswaard;2014;27
254;Listed monuments total ;Albrandswaard;2015;27
255;Listed monuments total ;Albrandswaard;2016;27
256;Listed monuments total ;Alkmaar;2013;578
257;Listed monuments total ;Alkmaar;2014;578
258;Listed monuments total ;Alkmaar;2015;577
259;Listed monuments total ;Alkmaar;2016;577
260;Listed monuments total ;Almelo;2013;76
261;Listed monuments total ;Almelo;2014;76
262;Listed monuments total ;Almelo;2015;77
263;Listed monuments total ;Almelo;2016;77
264;Listed monuments total ;Almere;2013;0
265;Listed monuments total ;Almere;2014;0
266;Listed monuments total ;Almere;2015;0
267;Listed monuments total ;Almere;2016;0
268;Listed monuments total ;Alphen aan den Rijn;2013;167
269;Listed monuments total ;Alphen aan den Rijn;2014;167
270;Listed monuments total ;Alphen aan den Rijn;2015;167
271;Listed monuments total ;Alphen aan den Rijn;2016;167
272;Listed monuments total ;Alphen-Chaam;2013;61
273;Listed monuments total ;Alphen-Chaam;2014;61
274;Listed monuments total ;Alphen-Chaam;2015;61
275;Listed monuments total ;Alphen-Chaam;2016;61
276;Listed monuments total ;Ameland;2013;113
277;Listed monuments total ;Ameland;2014;112
278;Listed monuments total ;Ameland;2015;112
279;Listed monuments total ;Ameland;2016;112
280;Listed monuments total ;Amersfoort;2013;457
281;Listed monuments total ;Amersfoort;2014;457
282;Listed monuments total ;Amersfoort;2015;457
283;Listed monuments total ;Amersfoort;2016;457
284;Listed monuments total ;Amstelveen;2013;71
285;Listed monuments total ;Amstelveen;2014;72
286;Listed monuments total ;Amstelveen;2015;72
287;Listed monuments total ;Amstelveen;2016;72
288;Listed monuments total ;Amsterdam;2013;7504
289;Listed monuments total ;Amsterdam;2014;7502
290;Listed monuments total ;Amsterdam;2015;7499
291;Listed monuments total ;Amsterdam;2016;7507
292;Listed monuments total ;Apeldoorn;2013;172
293;Listed monuments total ;Apeldoorn;2014;173
294;Listed monuments total ;Apeldoorn;2015;173
295;Listed monuments total ;Apeldoorn;2016;173
296;Listed monuments total ;Appingedam;2013;75
297;Listed monuments total ;Appingedam;2014;76
298;Listed monuments total ;Appingedam;2015;76
299;Listed monuments total ;Appingedam;2016;76
300;Listed monuments total ;Arnhem;2013;545
301;Listed monuments total ;Arnhem;2014;545
302;Listed monuments total ;Arnhem;2015;555
303;Listed monuments total ;Arnhem;2016;557
304;Listed monuments total ;Assen;2013;135
305;Listed monuments total ;Assen;2014;135
306;Listed monuments total ;Assen;2015;135
307;Listed monuments total ;Assen;2016;135
308;Listed monuments total ;Asten;2013;22
309;Listed monuments total ;Asten;2014;20
310;Listed monuments total ;Asten;2015;20
311;Listed monuments total ;Asten;2016;20
312;Listed monuments total ;Baarle-Nassau;2013;15
313;Listed monuments total ;Baarle-Nassau;2014;15
314;Listed monuments total ;Baarle-Nassau;2015;15
315;Listed monuments total ;Baarle-Nassau;2016;15
316;Listed monuments total ;Baarn;2013;149
317;Listed monuments total ;Baarn;2014;149
318;Listed monuments total ;Baarn;2015;149
319;Listed monuments total ;Baarn;2016;148
320;Listed monuments total ;Barendrecht;2013;19
321;Listed monuments total ;Barendrecht;2014;19
322;Listed monuments total ;Barendrecht;2015;19
323;Listed monuments total ;Barendrecht;2016;19
324;Listed monuments total ;Barneveld;2013;32
325;Listed monuments total ;Barneveld;2014;32
326;Listed monuments total ;Barneveld;2015;32
327;Listed monuments total ;Barneveld;2016;32
328;Listed monuments total ;Bedum;2013;70
329;Listed monuments total ;Bedum;2014;70
330;Listed monuments total ;Bedum;2015;70
331;Listed monuments total ;Bedum;2016;70
332;Listed monuments total ;Beek (L.);2013;54
333;Listed monuments total ;Beek (L.);2014;54
334;Listed monuments total ;Beek (L.);2015;54
335;Listed monuments total ;Beek (L.);2016;54
336;Listed monuments total ;Beemster;2013;89
337;Listed monuments total ;Beemster;2014;89
338;Listed monuments total ;Beemster;2015;89
339;Listed monuments total ;Beemster;2016;89
340;Listed monuments total ;Beesel;2013;20
341;Listed monuments total ;Beesel;2014;20
342;Listed monuments total ;Beesel;2015;20
343;Listed monuments total ;Beesel;2016;20
344;Listed monuments total ;Bellingwedde;2013;79
345;Listed monuments total ;Bellingwedde;2014;79
346;Listed monuments total ;Bellingwedde;2015;79
347;Listed monuments total ;Bellingwedde;2016;79
348;Listed monuments total ;Berg en Dal;2013;98
349;Listed monuments total ;Berg en Dal;2014;98
350;Listed monuments total ;Berg en Dal;2015;98
351;Listed monuments total ;Berg en Dal;2016;98
352;Listed monuments total ;Bergeijk;2013;35
353;Listed monuments total ;Bergeijk;2014;35
354;Listed monuments total ;Bergeijk;2015;35
355;Listed monuments total ;Bergeijk;2016;35
356;Listed monuments total ;Bergen (L.);2013;27
357;Listed monuments total ;Bergen (L.);2014;26
358;Listed monuments total ;Bergen (L.);2015;26
359;Listed monuments total ;Bergen (L.);2016;26
360;Listed monuments total ;Bergen (NH.);2013;134
361;Listed monuments total ;Bergen (NH.);2014;134
362;Listed monuments total ;Bergen (NH.);2015;134
363;Listed monuments total ;Bergen (NH.);2016;133
364;Listed monuments total ;Bergen op Zoom;2013;328
365;Listed monuments total ;Bergen op Zoom;2014;328
366;Listed monuments total ;Bergen op Zoom;2015;328
367;Listed monuments total ;Bergen op Zoom;2016;323
368;Listed monuments total ;Berkelland;2013;119
369;Listed monuments total ;Berkelland;2014;119
370;Listed monuments total ;Berkelland;2015;119
371;Listed monuments total ;Berkelland;2016;119
372;Listed monuments total ;Bernheze;2013;64
373;Listed monuments total ;Bernheze;2014;64
374;Listed monuments total ;Bernheze;2015;64
375;Listed monuments total ;Bernheze;2016;64
376;Listed monuments total ;Best;2013;24
377;Listed monuments total ;Best;2014;24
378;Listed monuments total ;Best;2015;24
379;Listed monuments total ;Best;2016;24
380;Listed monuments total ;Beuningen;2013;56
381;Listed monuments total ;Beuningen;2014;56
382;Listed monuments total ;Beuningen;2015;56
383;Listed monuments total ;Beuningen;2016;55
384;Listed monuments total ;Beverwijk;2013;41
385;Listed monuments total ;Beverwijk;2014;41
386;Listed monuments total ;Beverwijk;2015;41
387;Listed monuments total ;Beverwijk;2016;41
388;Listed monuments total ;het Bildt;2013;52
389;Listed monuments total ;het Bildt;2014;51
390;Listed monuments total ;het Bildt;2015;51
391;Listed monuments total ;het Bildt;2016;50
392;Listed monuments total ;De Bilt;2013;158
393;Listed monuments total ;De Bilt;2014;158
394;Listed monuments total ;De Bilt;2015;158
395;Listed monuments total ;De Bilt;2016;177
396;Listed monuments total ;Binnenmaas;2013;71
397;Listed monuments total ;Binnenmaas;2014;71
398;Listed monuments total ;Binnenmaas;2015;70
399;Listed monuments total ;Binnenmaas;2016;70
400;Listed monuments total ;Bladel;2013;24
401;Listed monuments total ;Bladel;2014;24
402;Listed monuments total ;Bladel;2015;24
403;Listed monuments total ;Bladel;2016;24
404;Listed monuments total ;Blaricum;2013;68
405;Listed monuments total ;Blaricum;2014;68
406;Listed monuments total ;Blaricum;2015;68
407;Listed monuments total ;Blaricum;2016;68
408;Listed monuments total ;Bloemendaal;2013;272
409;Listed monuments total ;Bloemendaal;2014;272
410;Listed monuments total ;Bloemendaal;2015;273
411;Listed monuments total ;Bloemendaal;2016;273
412;Listed monuments total ;Bodegraven-Reeuwijk;2013;53
413;Listed monuments total ;Bodegraven-Reeuwijk;2014;53
414;Listed monuments total ;Bodegraven-Reeuwijk;2015;53
415;Listed monuments total ;Bodegraven-Reeuwijk;2016;53
416;Listed monuments total ;Boekel;2013;13
417;Listed monuments total ;Boekel;2014;13
418;Listed monuments total ;Boekel;2015;13
419;Listed monuments total ;Boekel;2016;13
420;Listed monuments total ;Ten Boer;2013;33
421;Listed monuments total ;Ten Boer;2014;33
422;Listed monuments total ;Ten Boer;2015;33
423;Listed monuments total ;Ten Boer;2016;33
424;Listed monuments total ;Borger-Odoorn;2013;26
425;Listed monuments total ;Borger-Odoorn;2014;26
426;Listed monuments total ;Borger-Odoorn;2015;26
427;Listed monuments total ;Borger-Odoorn;2016;26
428;Listed monuments total ;Borne;2013;38
429;Listed monuments total ;Borne;2014;38
430;Listed monuments total ;Borne;2015;38
431;Listed monuments total ;Borne;2016;38
432;Listed monuments total ;Borsele;2013;167
433;Listed monuments total ;Borsele;2014;167
434;Listed monuments total ;Borsele;2015;167
435;Listed monuments total ;Borsele;2016;167
436;Listed monuments total ;Boxmeer;2013;109
437;Listed monuments total ;Boxmeer;2014;109
438;Listed monuments total ;Boxmeer;2015;109
439;Listed monuments total ;Boxmeer;2016;109
440;Listed monuments total ;Boxtel;2013;78
441;Listed monuments total ;Boxtel;2014;78
442;Listed monuments total ;Boxtel;2015;78
443;Listed monuments total ;Boxtel;2016;78
444;Listed monuments total ;Breda;2013;546
445;Listed monuments total ;Breda;2014;546
446;Listed monuments total ;Breda;2015;546
447;Listed monuments total ;Breda;2016;546
448;Listed monuments total ;Brielle;2013;371
449;Listed monuments total ;Brielle;2014;371
450;Listed monuments total ;Brielle;2015;372
451;Listed monuments total ;Brielle;2016;372
452;Listed monuments total ;Bronckhorst;2013;351
453;Listed monuments total ;Bronckhorst;2014;351
454;Listed monuments total ;Bronckhorst;2015;351
455;Listed monuments total ;Bronckhorst;2016;351
456;Listed monuments total ;Brummen;2013;110
457;Listed monuments total ;Brummen;2014;110
458;Listed monuments total ;Brummen;2015;109
459;Listed monuments total ;Brummen;2016;109
460;Listed monuments total ;Brunssum;2013;30
461;Listed monuments total ;Brunssum;2014;30
462;Listed monuments total ;Brunssum;2015;30
463;Listed monuments total ;Brunssum;2016;30
464;Listed monuments total ;Bunnik;2013;126
465;Listed monuments total ;Bunnik;2014;126
466;Listed monuments total ;Bunnik;2015;127
467;Listed monuments total ;Bunnik;2016;131
468;Listed monuments total ;Bunschoten;2013;12
469;Listed monuments total ;Bunschoten;2014;12
470;Listed monuments total ;Bunschoten;2015;12
471;Listed monuments total ;Bunschoten;2016;12
472;Listed monuments total ;Buren;2013;271
473;Listed monuments total ;Buren;2014;271
474;Listed monuments total ;Buren;2015;270
475;Listed monuments total ;Buren;2016;269
476;Listed monuments total ;Capelle aan den IJssel;2013;17
477;Listed monuments total ;Capelle aan den IJssel;2014;17
478;Listed monuments total ;Capelle aan den IJssel;2015;17
479;Listed monuments total ;Capelle aan den IJssel;2016;17
480;Listed monuments total ;Castricum;2013;48
481;Listed monuments total ;Castricum;2014;48
482;Listed monuments total ;Castricum;2015;48
483;Listed monuments total ;Castricum;2016;48
484;Listed monuments total ;Coevorden;2013;150
485;Listed monuments total ;Coevorden;2014;150
486;Listed monuments total ;Coevorden;2015;150
487;Listed monuments total ;Coevorden;2016;150
488;Listed monuments total ;Cranendonck;2013;37
489;Listed monuments total ;Cranendonck;2014;37
490;Listed monuments total ;Cranendonck;2015;37
491;Listed monuments total ;Cranendonck;2016;37
492;Listed monuments total ;Cromstrijen;2013;13
493;Listed monuments total ;Cromstrijen;2014;13
494;Listed monuments total ;Cromstrijen;2015;13
495;Listed monuments total ;Cromstrijen;2016;13
496;Listed monuments total ;Cuijk;2013;55
497;Listed monuments total ;Cuijk;2014;55
498;Listed monuments total ;Cuijk;2015;55
499;Listed monuments total ;Cuijk;2016;55
500;Listed monuments total ;Culemborg;2013;108
501;Listed monuments total ;Culemborg;2014;131
502;Listed monuments total ;Culemborg;2015;141
503;Listed monuments total ;Culemborg;2016;141
504;Listed monuments total ;Dalfsen;2013;121
505;Listed monuments total ;Dalfsen;2014;121
506;Listed monuments total ;Dalfsen;2015;121
507;Listed monuments total ;Dalfsen;2016;121
508;Listed monuments total ;Dantumadiel;2013;34
509;Listed monuments total ;Dantumadiel;2014;34
510;Listed monuments total ;Dantumadiel;2015;34
511;Listed monuments total ;Dantumadiel;2016;34
512;Listed monuments total ;Delft;2013;695
513;Listed monuments total ;Delft;2014;696
514;Listed monuments total ;Delft;2015;696
515;Listed monuments total ;Delft;2016;696
516;Listed monuments total ;Delfzijl;2013;111
517;Listed monuments total ;Delfzijl;2014;111
518;Listed monuments total ;Delfzijl;2015;111
519;Listed monuments total ;Delfzijl;2016;111
520;Listed monuments total ;Deurne;2013;57
521;Listed monuments total ;Deurne;2014;57
522;Listed monuments total ;Deurne;2015;57
523;Listed monuments total ;Deurne;2016;57
524;Listed monuments total ;Deventer;2013;585
525;Listed monuments total ;Deventer;2014;584
526;Listed monuments total ;Deventer;2015;584
527;Listed monuments total ;Deventer;2016;584
528;Listed monuments total ;Diemen;2013;17
529;Listed monuments total ;Diemen;2014;17
530;Listed monuments total ;Diemen;2015;17
531;Listed monuments total ;Diemen;2016;17
532;Listed monuments total ;Dinkelland;2013;128
533;Listed monuments total ;Dinkelland;2014;128
534;Listed monuments total ;Dinkelland;2015;128
535;Listed monuments total ;Dinkelland;2016;128
536;Listed monuments total ;Doesburg;2013;158
537;Listed monuments total ;Doesburg;2014;158
538;Listed monuments total ;Doesburg;2015;158
539;Listed monuments total ;Doesburg;2016;158
540;Listed monuments total ;Doetinchem;2013;35
541;Listed monuments total ;Doetinchem;2014;35
542;Listed monuments total ;Doetinchem;2015;35
543;Listed monuments total ;Doetinchem;2016;35
544;Listed monuments total ;Dongen;2013;68
