ID;Perioden;IndexVolumeToegevoegdeWaardeBouw_1;VolumeontwikkelingTOVEenJaarEerder_2
133;2012 december;60.3;-14.6
134;2012 4e kwartaal;86.5;-7.8
135;2012;93.3;-8.1
136;2013 januari;87.4;-8.0
137;2013 februari;86.8;-9.7
138;2013 maart;95.3;-11.0
139;2013 1e kwartaal;89.8;-9.6
140;2013 april;98.3;-6.8
141;2013 mei;98.1;-5.3
142;2013 juni;96.9;-7.5
143;2013 2e kwartaal;97.8;-6.5
144;2013 juli;79.0;-3.7
145;2013 augustus;56.5;-5.3
146;2013 september;100.7;-5.6
147;2013 3e kwartaal;78.8;-4.9
148;2013 oktober;103.5;2.5
149;2013 november;95.7;-2.5
150;2013 december;63.3;5.0
151;2013 4e kwartaal;87.5;1.2
152;2013 ;88.5;-5.2
153;2014 januari;95.8;9.7
154;2014 februari;96.7;11.4
155;2014 maart;95.0;-0.4
156;2014 1e kwartaal;95.8;6.7
157;2014 april;104.5;6.2
158;2014 mei;97.9;-0.2
159;2014 juni;95.3;-1.7
160;2014 2e kwartaal;99.2;1.5
161;2014 juli;82.8;4.8
162;2014 augustus;51.3;-9.3
163;2014 september;101.8;1.1
164;2014 3e kwartaal;78.6;-0.2
165;2014 oktober;114.3;10.4
166;2014 november;102.7;7.3
167;2014 december;70.1;10.8
168;2014 4e kwartaal;95.7;9.4
169;2014;92.3;4.4
170;2015 januari;101.1;5.5
171;2015 februari;101.1;4.5
172;2015 maart;111.2;17.1
173;2015 1e kwartaal;104.4;9.0
174;2015 april;109.7;5.1
175;2015 mei;104.3;6.5
176;2015 juni;120.7;26.7
177;2015 2e kwartaal;111.6;12.4
178;2015 juli;89.5;8.1
179;2015 augustus;57.2;11.5
180;2015 september;111.3;9.3
181;2015 3e kwartaal;86.0;9.4
182;2015 oktober;113.5;-0.7
183;2015 november;108.3;5.5
184;2015 december;72.2;3.0
185;2015 4e kwartaal;98.0;2.4
186;2015;100.0;8.3
187;2016 januari;107.8;6.7
188;2016 februari;113.1;11.9
189;2016 maart;116.3;4.6
190;2016 1e kwartaal;112.4;7.6
191;2016 april;118.8;8.3
192;2016 mei;111.7;7.2
193;2016 juni;120.7;0.0
194;2016 2e kwartaal;117.1;4.9
195;2016 juli;101.4;13.3
196;2016 augustus;62.4;9.2
197;2016 september;120.3;8.1
198;2016 3e kwartaal;94.7;10.1
199;2016 oktober;120.6;6.2
200;2016 november;119.2;10.0
201;2016 december;79.8;10.5
202;2016 4e kwartaal;106.5;8.7
203;2016;107.7;7.7
204;2017 januari ;108.7;0.8
205;2017 februari ;116.8;3.3
206;2017 maart;131.0;12.7
207;2017 1e kwartaal;118.8;5.7
208;2017 april;119.5;0.5
209;2017 mei;126.8;13.5
210;2017 juni ;126.8;5.1
211;2017 2e kwartaal ;124.3;6.2
212;2017 juli ;105.2;3.8
213;2017 augustus;66.6;6.7
214;2017 september;123.4;2.6
215;2017 3e kwartaal;98.4;3.9
216;2017 oktober;128.3;6.4
217;2017 november;128.5;7.8
218;2017 december;82.5;3.3
219;2017 4e kwartaal ;113.1;6.2
220;2017;113.7;5.6
221;2018 januari;120.6;10.9
222;2018 februari;125.7;7.6
223;2018 maart ;132.1;0.8
224;2018 1e kwartaal;126.1;6.1
225;2018 april ;135.0;13.0
