ID;Leeftijd;Perioden;TotaalAantalHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;k_2Personen_4;k_3Personen_5;k_4Personen_6;k_5OfMeerPersonen_7
50;Totaal over alle leeftijden;2050;8284696;3391010;4893686;2469954;905743;1108407;409582
51;100;2000;453902;260367;193535;151700;30650;9271;1914
52;100;2001;456392;262670;193722;151611;31057;9150;1904
53;100;2002;459395;264832;194563;151776;31680;9231;1876
54;100;2003;463164;267440;195724;152458;32148;9254;1864
55;100;2004;465772;269372;196400;153615;31928;8998;1859
56;100;2005;469043;271681;197362;154735;31799;8938;1890
57;100;2006;469585;272574;197011;154731;31538;8838;1904
58;100;2007;472128;274454;197674;155611;31356;8788;1919
59;100;2008;478777;278181;200596;158337;31475;8833;1951
60;100;2009;487674;283199;204475;161619;31874;8981;2001
61;100;2010;495625;287719;207906;164460;32282;9117;2047
62;100;2011;502366;291614;210752;166806;32623;9233;2090
63;100;2012;506523;294150;212373;168230;32749;9273;2121
64;100;2013;510537;296265;214272;169823;32956;9339;2154
65;100;2014;514773;298368;216405;171532;33239;9437;2197
66;100;2015;517695;299747;217948;172729;33452;9530;2237
67;100;2016;516473;298945;217528;172467;33302;9507;2252
68;100;2017;515187;298432;216755;171972;33070;9455;2258
69;100;2018;515661;298905;216756;172076;32967;9444;2269
70;100;2019;517479;300323;217156;172499;32934;9443;2280
71;100;2020;519556;301888;217668;173057;32903;9423;2285
72;100;2021;524743;304913;219830;174829;33192;9500;2309
73;100;2022;530773;307942;222831;177172;33666;9643;2350
74;100;2023;535426;310196;225230;179010;34058;9773;2389
75;100;2024;536293;310242;226051;179644;34170;9826;2411
76;100;2025;535772;309342;226430;179894;34222;9877;2437
77;100;2026;531548;306586;224962;178748;33941;9832;2441
78;100;2027;526243;303293;222950;177206;33553;9753;2438
79;100;2028;520567;299851;220716;175495;33125;9668;2428
80;100;2029;515174;296642;218532;173825;32714;9581;2412
81;100;2030;510319;293789;216530;172302;32327;9503;2398
82;100;2031;506244;291436;214808;170994;31997;9431;2386
83;100;2032;503093;289647;213446;169965;31729;9375;2377
84;100;2033;500944;288454;212490;169255;31529;9337;2369
85;100;2034;499743;287823;211920;168842;31399;9312;2367
86;100;2035;499500;287747;211753;168737;31344;9306;2366
87;100;2036;500049;288122;211927;168890;31353;9315;2369
88;100;2037;501245;288869;212376;169252;31415;9334;2375
89;100;2038;502969;289915;213054;169785;31523;9363;2383
90;100;2039;505067;291170;213897;170441;31663;9400;2393
91;100;2040;507419;292563;214856;171185;31826;9444;2401
92;100;2041;509947;294041;215906;172006;31996;9490;2414
93;100;2042;512504;295529;216975;172852;32163;9532;2428
94;100;2043;515015;296979;218036;173713;32315;9567;2441
95;100;2044;517395;298356;219039;174566;32432;9592;2449
96;100;2045;519583;299638;219945;175393;32497;9599;2456
97;100;2046;521551;300817;220734;176182;32507;9591;2454
98;100;2047;523311;301878;221433;176877;32519;9584;2453
99;100;2048;524839;302810;222029;177470;32531;9576;2452
100;100;2049;526158;303610;222548;177984;32542;9570;2452
101;100;2050;527257;304277;222980;178411;32553;9565;2451
102;101;2000;1463235;494916;968319;410126;239352;231241;87600
103;101;2001;1439371;490714;948657;400321;236823;226782;84731
104;101;2002;1414426;486188;928238;389839;232941;222954;82504
105;101;2003;1388272;480032;908240;380952;227628;218616;81044
106;101;2004;1361357;473628;887729;373855;220945;213954;78975
107;101;2005;1327252;464795;862457;368115;212295;205717;76330
108;101;2006;1300299;459093;841206;365809;204087;197593;73717
109;101;2007;1278410;454526;823884;364209;197282;190952;71441
110;101;2008;1259481;450477;809004;362374;191740;185906;68984
111;101;2009;1250255;448790;801465;361816;188500;183256;67893
112;101;2010;1247657;449068;798589;362474;186858;182346;66911
113;101;2011;1251824;451246;800578;363733;186877;183000;66968
114;101;2012;1260322;454760;805562;365883;188072;184280;67327
115;101;2013;1270055;458977;811078;368540;189074;185606;67858
116;101;2014;1278245;462386;815859;371197;189975;186399;68288
117;101;2015;1287707;466094;821613;374267;191044;187493;68809
118;101;2016;1297845;470481;827364;378639;191857;187864;69004
119;101;2017;1309746;475022;834724;383325;193144;188838;69417
120;101;2018;1323614;479616;843998;387689;194825;191136;70348
121;101;2019;1337385;483959;853426;391236;196686;194003;71501
122;101;2020;1349130;487713;861417;394121;198259;196501;72536
123;101;2021;1356020;489564;866456;395495;199178;198416;73367
124;101;2022;1358948;490315;868633;395986;199418;199378;73851
125;101;2023;1362857;491182;871675;397027;199761;200500;74387
126;101;2024;1370219;493821;876398;399212;200388;201810;74988
127;101;2025;1377027;496456;880571;401427;200890;202790;75464
128;101;2026;1382535;498881;883654;404235;201210;202684;75525
129;101;2027;1387747;501183;886564;406939;201646;202449;75530
130;101;2028;1393558;503328;890230;409345;202393;202759;75733
131;101;2029;1398505;504934;893571;411079;203182;203307;76003
132;101;2030;1401332;505484;895848;412015;203768;203822;76243
133;101;2031;1404973;506003;898970;412403;204502;205262;76803
134;101;2032;1407479;505782;901697;412163;204999;207044;77491
135;101;2033;1406813;504645;902168;411119;204857;208234;77958
136;101;2034;1401479;501948;899531;409345;203905;208277;78004
137;101;2035;1394447;498663;895784;407259;202663;207939;77923
138;101;2036;1383940;494482;889458;404823;200833;206397;77405
139;101;2037;1373170;490359;882811;402533;198977;204527;76774
140;101;2038;1363056;486600;876456;400512;197265;202573;76106
141;101;2039;1354485;483493;870992;398959;195808;200733;75492
142;101;2040;1347615;481037;866578;397845;194670;199107;74956
143;101;2041;1342651;479290;863361;397198;193879;197759;74525
144;101;2042;1339633;478248;861385;397010;193435;196728;74212
145;101;2043;1338535;477912;860623;397237;193318;196045;74023
146;101;2044;1339125;478178;860947;397818;193502;195680;73947
147;101;2045;1341269;478989;862280;398705;193958;195637;73980
148;101;2046;1344638;480200;864438;399850;194617;195854;74117
149;101;2047;1348860;481701;867159;401213;195363;196264;74319
150;101;2048;1353692;483419;870273;402756;196135;196817;74565
151;101;2049;1358856;485256;873600;404444;196865;197456;74835
152;101;2050;1364182;487153;877029;406251;197552;198120;75106
153;102;2000;1448560;310992;1137568;189251;216080;461551;270686
154;102;2001;1473178;324976;1148202;190558;218007;467841;271796
155;102;2002;1490869;336530;1154339;189960;219714;473234;271431
156;102;2003;1505612;347310;1158302;188549;221901;478637;269215
157;102;2004;1518927;356814;1162113;186262;225591;483553;266707
158;102;2005;1534870;366685;1168185;184419;229916;489805;264045
159;102;2006;1546110;374305;1171805;182230;233633;495025;260917
160;102;2007;1546753;378823;1167930;179537;235002;496544;256847
161;102;2008;1539855;380633;1159222;177156;233912;495481;252673
162;102;2009;1519669;378156;1141513;173485;230166;490827;247035
163;102;2010;1492556;373648;1118908;169788;224671;483519;240930
164;102;2011;1463731;368389;1095342;167765;218078;475226;234273
165;102;2012;1435926;363432;1072494;166784;210785;467152;227773
166;102;2013;1407980;357752;1050228;166326;203315;459016;221571
167;102;2014;1380017;351943;1028074;166448;195179;451237;215210
168;102;2015;1345471;344058;1001413;166111;185987;440999;208316
169;102;2016;1318024;338317;979707;165953;178230;432946;202578
170;102;2017;1295179;333436;961743;164939;171992;426934;197878
171;102;2018;1275081;329264;945817;163345;166989;421803;193680
172;102;2019;1264505;327182;937323;162670;163614;419654;191385
173;102;2020;1260757;326692;934065;162729;161484;419770;190082
174;102;2021;1263723;327680;936043;162807;160781;422337;190118
175;102;2022;1271048;329506;941542;163077;161253;426285;190927
176;102;2023;1279447;331999;947448;163751;161528;430262;191907
177;102;2024;1286467;333895;952572;164357;161750;433710;192755
178;102;2025;1294921;336070;958851;165203;162257;437559;193832
179;102;2026;1304180;338435;965745;166686;162645;441460;194954
180;102;2027;1315110;341014;974096;168370;163400;445933;196393
181;102;2028;1327924;344014;983910;170179;164470;451072;198189
182;102;2029;1340801;347138;993663;171764;165685;456209;200005
183;102;2030;1351912;349911;1002001;173161;166719;460629;201492
184;102;2031;1358323;351430;1006893;174155;167142;463326;202270
185;102;2032;1360875;352053;1008822;174826;167056;464538;202402
186;102;2033;1364740;352815;1011925;175561;167335;466335;202694
187;102;2034;1372022;354779;1017243;176595;168166;469128;203354
188;102;2035;1378647;356693;1021954;177543;168933;471602;203876
189;102;2036;1384028;358085;1025943;178383;169611;473715;204234
190;102;2037;1388826;359352;1029474;179012;170227;475643;204592
191;102;2038;1394056;360628;1033428;179512;170939;477814;205163
192;102;2039;1398262;361632;1036630;179809;171495;479645;205681
193;102;2040;1400502;362068;1038434;179888;171776;480805;205965
194;102;2041;1403421;362627;1040794;179973;172184;482242;206395
195;102;2042;1405351;362774;1042577;180062;172490;483346;206679
196;102;2043;1404252;362271;1041981;179963;172365;483220;206433
197;102;2044;1398735;360473;1038262;179565;171677;481523;205497
198;102;2045;1391814;358382;1033432;179032;170821;479287;204292
199;102;2046;1381445;355309;1026136;178235;169514;475808;202579
200;102;2047;1370739;352048;1018691;177418;168209;472222;200842
201;102;2048;1360760;349011;1011749;176640;167025;468865;199219
202;102;2049;1352211;346323;1005888;175984;166057;466030;197817
203;102;2050;1345360;344111;1001249;175423;165333;463808;196685
204;103;2000;1280144;267855;1012289;410906;297138;223740;80505
205;103;2001;1315466;285406;1030060;417579;296715;230315;85451
206;103;2002;1311605;293386;1018219;401279;289761;236515;90664
207;103;2003;1313615;301798;1011817;385797;285080;244505;96435
208;103;2004;1325240;312396;1012844;373751;282383;254383;102327
209;103;2005;1344189;323973;1020216;363037;282472;266514;108193
210;103;2006;1365104;336084;1029020;353216;283592;278620;113592
211;103;2007;1390358;348782;1041576;344523;286969;291572;118512
212;103;2008;1412026;360429;1051597;334053;290657;304131;122756
213;103;2009;1436072;372825;1063247;325154;294994;316551;126548
214;103;2010;1460659;385166;1075493;317675;299672;328272;129874
215;103;2011;1479903;396197;1083706;309742;303627;337957;132380
216;103;2012;1494530;405513;1089017;302842;306391;345693;134091
217;103;2013;1506135;413917;1092218;296070;308525;352343;135280
218;103;2014;1516591;421463;1095128;289436;310820;358402;136470
219;103;2015;1529742;429386;1100356;282665;313061;366400;138230
220;103;2016;1538737;435678;1103059;275555;314993;373239;139272
221;103;2017;1537569;438966;1098603;266958;314751;377595;139299
222;103;2018;1529267;439808;1089459;258191;313064;379710;138494
223;103;2019;1508293;436540;1071753;247949;309731;378126;135947
224;103;2020;1480639;431076;1049563;237741;305186;373794;132842
225;103;2021;1451319;424992;1026327;230127;299792;367319;129089
226;103;2022;1422979;419086;1003893;224407;293626;360401;125459
227;103;2023;1394482;412363;982119;219714;286845;353398;122162
228;103;2024;1366045;405089;960956;215852;278865;346772;119467
229;103;2025;1331249;395009;936240;210432;269037;339740;117031
230;103;2026;1303520;386976;916544;205287;260669;334973;115615
231;103;2027;1280513;380218;900295;200462;253926;331363;114544
232;103;2028;1260346;374556;885790;196049;248363;327946;113432
233;103;2029;1249705;371781;877924;193343;245553;326312;112716
234;103;2030;1245731;370743;874988;191885;244266;326260;112577
235;103;2031;1248354;371547;876807;191224;244829;327831;112923
236;103;2032;1255270;373311;881959;191077;246431;330682;113769
237;103;2033;1263408;375834;887574;191591;247988;333450;114545
238;103;2034;1270209;377793;892416;192093;249214;335892;115217
239;103;2035;1278327;380017;898310;193129;250527;338646;116008
240;103;2036;1287115;382124;904991;194176;251553;342105;117157
241;103;2037;1297579;384717;912862;195596;253211;345752;118303
242;103;2038;1309819;388113;921706;197662;255723;349122;119199
243;103;2039;1322126;391809;930317;199819;258493;352096;119909
244;103;2040;1332610;395005;937605;201650;260912;354572;120471
245;103;2041;1338469;396894;941575;202957;262504;355591;120523
246;103;2042;1340513;397709;942804;203527;263231;355725;120321
247;103;2043;1343677;398499;945178;204125;264240;356431;120382
248;103;2044;1350101;400380;949721;205015;265712;358119;120875
249;103;2045;1355907;402140;953767;205822;266942;359663;121340
250;103;2046;1360512;403071;957441;206090;267671;361604;122076
251;103;2047;1364596;403913;960683;206185;268335;363418;122745
252;103;2048;1369176;404960;964216;206428;269385;365119;123284
253;103;2049;1372850;405885;966965;206623;270456;366305;123581
254;103;2050;1374585;406223;968362;206599;271331;366829;123603
255;104;2000;885232;251071;634161;525787;92562;14084;1728
256;104;2001;907114;259383;647731;541763;90298;13883;1787
257;104;2002;966205;277906;688299;575020;95489;15681;2109
258;104;2003;1021002;296650;724352;605418;99506;17074;2354
259;104;2004;1064159;312682;751477;628239;102407;18262;2569
260;104;2005;1101604;328144;773460;646850;104464;19376;2770
261;104;2006;1134495;342450;792045;661512;106659;20800;3074
262;104;2007;1169171;358338;810833;676088;108981;22411;3353
263;104;2008;1203896;374522;829374;688613;112511;24458;3792
264;104;2009;1230997;388724;842273;694697;116406;26907;4263
265;104;2010;1254254;402132;852122;696698;121017;29642;4765
266;104;2011;1283813;417742;866071;701637;126620;32555;5259
267;104;2012;1278407;421251;857156;683611;131989;35726;5830
268;104;2013;1278884;426355;852529;668980;138131;38974;6444
269;104;2014;1288586;434612;853974;660093;144675;42210;6996
270;104;2015;1305391;444890;860501;655615;152054;45343;7489
271;104;2016;1324088;455958;868130;653211;158661;48239;8019
272;104;2017;1347170;468161;879009;653621;165380;51371;8637
273;104;2018;1366973;479145;887828;652247;171849;54513;9219
274;104;2019;1389113;491036;898077;651571;178489;58116;9901
275;104;2020;1411704;502970;908734;650769;185503;61946;10516
276;104;2021;1429153;513204;915949;647538;192274;65184;10953
277;104;2022;1442138;521515;920623;643243;198500;67645;11235
278;104;2023;1452208;528663;923545;638151;204426;69519;11449
279;104;2024;1461175;535032;926143;632873;210378;71224;11668
280;104;2025;1472917;542118;930799;628719;216752;73310;12018
281;104;2026;1480573;547442;933131;624965;221428;74528;12210
282;104;2027;1478421;549101;929320;619197;223237;74685;12201
283;104;2028;1469409;547905;921504;612495;222896;74084;12029
284;104;2029;1448213;541857;906356;603045;219483;72170;11658
285;104;2030;1420787;533304;887483;591227;214867;70124;11265
286;104;2031;1391809;524009;867800;579756;209263;67880;10901
287;104;2032;1363897;515003;848894;568492;203735;66034;10633
288;104;2033;1335874;505414;830460;556486;198874;64640;10460
289;104;2034;1308188;495594;812594;543494;194851;63843;10406
290;104;2035;1274772;483056;791716;526686;191307;63327;10396
291;104;2036;1248315;473253;775062;511623;189466;63468;10505
292;104;2037;1226301;465124;761177;498981;188096;63530;10570
293;104;2038;1206881;458240;748641;488342;186553;63209;10537
294;104;2039;1196374;454660;741714;482614;185661;62937;10502
295;104;2040;1192268;453284;738984;479723;185676;63039;10546
296;104;2041;1194351;454102;740249;479540;186592;63465;10652
297;104;2042;1200587;456218;744369;480930;188361;64246;10832
298;104;2043;1208065;459152;748913;483037;190029;64876;10971
299;104;2044;1214225;461452;752773;484811;191510;65375;11077
300;104;2045;1221712;464156;757556;487260;193179;65923;11194
301;104;2046;1230002;466948;763054;489457;195399;66814;11384
302;104;2047;1239842;470291;769551;492803;197628;67581;11539
303;104;2048;1251331;474439;776892;497843;199460;67981;11608
304;104;2049;1262807;478793;784014;503179;200980;68212;11643
305;104;2050;1272612;482538;790074;507723;202264;68409;11678
306;105;2000;707335;306224;401111;385230;15196;658;27
307;105;2001;711736;307520;404216;388358;15169;662;27
308;105;2002;716685;309029;407656;391944;15024;661;27
309;105;2003;722545;310848;411697;396248;14765;656;28
310;105;2004;730124;313101;417023;401841;14502;652;28
311;105;2005;739811;316248;423563;408682;14205;648;28
312;105;2006;749454;319159;430295;415779;13848;639;29
313;105;2007;757429;321930;435499;421566;13280;624;29
314;105;2008;768148;325592;442556;429112;12805;610;29
315;105;2009;787608;332864;454744;441514;12595;605;30
316;105;2010;810891;341768;469123;455952;12534;606;31
317;105;2011;829034;349146;479888;466871;12381;604;32
318;105;2012;882807;369835;512972;498912;13378;648;34
319;105;2013;932058;390038;542020;527224;14072;687;37
320;105;2014;970357;406611;563746;548398;14595;715;38
321;105;2015;1003110;422067;581043;565345;14927;732;39
322;105;2016;1031602;436100;595502;579409;15300;753;40
323;105;2017;1061337;451926;609411;592851;15743;776;41
324;105;2018;1091121;467862;623259;606031;16387;799;42
325;105;2019;1114009;481021;632988;615105;17021;821;41
326;105;2020;1133500;492856;640644;621982;17767;853;42
327;105;2021;1158347;507507;650840;631346;18563;889;42
328;105;2022;1153221;506594;646627;626372;19295;918;42
329;105;2023;1153535;507984;645551;624315;20237;957;42
330;105;2024;1161912;513232;648680;626431;21209;998;42
331;105;2025;1176724;521307;655417;632020;22307;1048;42
332;105;2026;1193007;530286;662721;638274;23309;1095;43
333;105;2027;1213325;540840;672485;646826;24468;1148;43
334;105;2028;1230790;549986;680804;654045;25517;1199;43
335;105;2029;1250341;560222;690119;662312;26516;1247;44
336;105;2030;1270291;570575;699716;670820;27557;1295;44
337;105;2031;1285521;579050;706471;676755;28339;1332;45
338;105;2032;1296644;585576;711068;680726;28939;1358;45
339;105;2033;1305098;590827;714271;683375;29468;1383;45
340;105;2034;1312570;595383;717187;685604;30118;1420;45
341;105;2035;1322771;600746;722025;689474;31035;1471;45
342;105;2036;1329128;604324;724804;691575;31683;1501;45
343;105;2037;1326595;603787;722808;689331;31918;1514;45
344;105;2038;1317756;600132;717624;684248;31828;1503;45
345;105;2039;1297830;591338;706492;673738;31241;1469;44
346;105;2040;1272523;580001;692522;660491;30561;1428;42
347;105;2041;1245821;568052;677769;646571;29769;1388;41
348;105;2042;1220212;556641;663571;633042;29136;1354;39
349;105;2043;1194681;544968;649713;619696;28650;1328;39
350;105;2044;1169759;533283;636476;606770;28353;1315;38
351;105;2045;1140182;518942;621240;591793;28107;1303;37
352;105;2046;1117104;507638;609466;579994;28132;1304;36
353;105;2047;1097995;498358;599637;570153;28146;1303;35
354;105;2048;1081127;490491;590636;561311;27998;1293;34
355;105;2049;1072047;486308;585739;556489;27929;1287;34
356;105;2050;1068683;484698;583985;554633;28028;1291;33
357;106;2000;456596;307348;149248;146639;2470;129;10
358;106;2001;465667;313613;152054;149394;2518;131;11
359;106;2002;473495;318979;154516;151799;2573;133;11
360;106;2003;480567;323845;156722;153950;2627;134;11
361;106;2004;490290;329900;160390;157537;2706;136;11
362;106;2005;498340;334648;163692;160763;2779;139;11
363;106;2006;503533;336428;167105;164105;2849;140;11
364;106;2007;507525;337388;170137;167067;2916;142;12
365;106;2008;512803;339296;173507;170364;2987;144;12
366;106;2009;515071;339386;175685;172489;3039;144;13
367;106;2010;518758;340342;178416;175158;3099;146;13
368;106;2011;523294;342217;181077;177757;3159;148;13
369;106;2012;528435;344355;184080;180695;3223;149;13
370;106;2013;533870;346762;187108;183658;3286;151;13
371;106;2014;541138;350051;191087;187556;3363;154;14
372;106;2015;549724;354234;195490;191871;3448;157;14
373;106;2016;558702;358533;200169;196458;3537;160;14
374;106;2017;565626;362063;203563;199777;3609;163;14
375;106;2018;574854;366785;208069;204189;3699;166;15
376;106;2019;590611;375351;215260;211232;3841;171;16
377;106;2020;609254;385574;223680;219484;4003;177;16
378;106;2021;623070;393562;229508;225185;4126;180;17
379;106;2022;667087;417795;249292;244596;4483;195;18
380;106;2023;706192;440375;265817;260796;4796;207;18
381;106;2024;735955;458332;277623;272367;5025;212;19
382;106;2025;760433;474034;286399;280963;5200;216;20
383;106;2026;781014;487737;293277;287709;5329;219;20
384;106;2027;800986;501823;299163;293483;5438;222;20
385;106;2028;820932;515573;305359;299558;5554;227;20
386;106;2029;835782;525968;309814;303919;5645;230;20
387;106;2030;848165;534541;313624;307641;5732;231;20
388;106;2031;863285;544972;318313;312224;5833;236;20
389;106;2032;861360;542162;319198;313086;5858;234;20
390;106;2033;863515;541998;321517;315355;5908;234;20
391;106;2034;870940;545482;325458;319213;5990;235;20
392;106;2035;882842;551922;330920;324558;6104;237;21
393;106;2036;895207;558950;336257;329778;6218;240;21
394;106;2037;910429;567608;342821;336204;6353;243;21
395;106;2038;923741;574917;348824;342083;6475;245;21
396;106;2039;938266;583055;355211;348338;6604;248;21
397;106;2040;952969;591126;361843;354837;6733;252;21
398;106;2041;963725;596964;366761;359652;6835;253;21
399;106;2042;971086;600643;370443;363260;6910;252;21
400;106;2043;976406;602829;373577;366335;6968;253;21
401;106;2044;981188;604303;376885;369587;7025;252;21
402;106;2045;988982;606785;382197;374818;7104;254;21
403;106;2046;993341;607347;385994;378559;7161;253;21
404;106;2047;990930;603755;387175;379727;7177;251;20
405;106;2048;983371;597147;386224;378810;7147;247;20
406;106;2049;967139;585765;381374;374074;7042;239;19
407;106;2050;947192;572188;375004;367846;6906;233;19
408;107;2000;111892;96664;15228;14810;370;45;3
409;107;2001;116904;101337;15567;15136;381;47;3
410;107;2002;120544;104665;15879;15436;391;49;3
411;107;2003;123978;107733;16245;15792;401;49;3
412;107;2004;126678;110192;16486;16024;409;50;3
413;107;2005;130225;113207;17018;16541;423;51;3
414;107;2006;138474;120086;18388;17874;456;55;3
415;107;2007;146017;126496;19521;18975;485;58;3
416;107;2008;152451;131956;20495;19919;513;60;3
417;107;2009;159187;137633;21554;20946;541;63;4
418;107;2010;164590;142181;22409;21778;562;65;4
419;107;2011;168995;145885;23110;22459;580;67;4
420;107;2012;172889;149103;23786;23116;598;68;4
421;107;2013;175998;151644;24354;23669;612;69;4
422;107;2014;179998;154805;25193;24487;631;71;4
423;107;2015;183167;157238;25929;25203;649;73;4
424;107;2016;186581;159763;26818;26071;669;74;4
425;107;2017;188997;161460;27537;26772;686;75;4
426;107;2018;191725;163433;28292;27508;704;76;4
427;107;2019;192851;164098;28753;27955;717;77;4
428;107;2020;194255;164947;29308;28498;729;77;4
429;107;2021;195659;165832;29827;29004;741;78;4
430;107;2022;197423;166978;30445;29606;756;79;4
431;107;2023;199192;168144;31048;30193;771;80;4
432;107;2024;202547;170585;31962;31084;793;81;4
433;107;2025;206378;173442;32936;32033;816;83;4
434;107;2026;210896;176882;34014;33080;844;85;5
435;107;2027;213761;179089;34672;33717;863;87;5
436;107;2028;217998;182378;35620;34641;886;88;5
437;107;2029;225183;187982;37201;36182;923;91;5
438;107;2030;233746;194714;39032;37964;968;95;5
439;107;2031;239074;199032;40042;38943;996;97;6
440;107;2032;261055;216249;44806;43585;1108;106;7
441;107;2033;278648;230364;48284;46968;1194;115;7
442;107;2034;290411;240140;50271;48887;1257;120;7
443;107;2035;298479;247040;51439;50020;1290;122;7
444;107;2036;303999;251827;52172;50737;1306;122;7
445;107;2037;308027;255320;52707;51264;1313;123;7
446;107;2038;312536;258940;53596;52135;1330;124;7
447;107;2039;315395;261083;54312;52833;1347;125;7
448;107;2040;317922;262794;55128;53630;1365;126;7
449;107;2041;321184;264994;56190;54666;1389;128;7
450;107;2042;322563;265352;57211;55664;1412;128;7
451;107;2043;325227;266719;58508;56931;1440;130;7
452;107;2044;329113;269050;60063;58452;1473;131;7
453;107;2045;334397;272494;61903;60251;1512;133;7
454;107;2046;339250;275526;63724;62031;1550;136;7
455;107;2047;345186;279342;65844;64106;1593;138;7
456;107;2048;350468;282555;67913;66132;1634;140;7
457;107;2049;356004;285851;70153;68326;1678;142;7
458;107;2050;361464;288957;72507;70632;1723;145;7
459;108;2000;4079;3725;354;343;9;2;0
460;108;2001;4631;4228;403;391;10;2;0
461;108;2002;5065;4631;434;421;11;2;0
462;108;2003;5523;5050;473;459;12;2;0
463;108;2004;5999;5495;504;490;12;2;0
