ID;PolitieregioS;Cijfersoort;Perioden;Inbraakalarm_1;ExtraHangEnSluitwerk_2;ExtraBuitenverlichting_3;LuikenVoorRamenDeuren_4;PolitiekeurmerkVeiligWonen_5;InbraakpreventieSchaalscore_6;FietsVerzekerdTegenDiefstal_7;FietsMetDiefstalpreventiechip_8;AlarminstallatieStartonderbreker_9;ZelfAangebrachteInstallatie_10;MobieleTelefoonMetPincode_11;PCMetWachtwoord_12
63;Gelderland-Midden;Marge;2008;2.5;2.4;2.2;3.0;2.9;0.1;3.7;2.3;4.2;1.7;2.5;3.6
64;Gelderland-Zuid;Waarde;2005;;;;;;;;;;;;
65;Gelderland-Zuid;Waarde;2006;12.1;82.0;81.1;19.0;18.0;4.2;46.1;8.9;59.5;8.1;86.3;59.1
66;Gelderland-Zuid;Waarde;2007;15.2;80.7;80.8;21.7;16.1;4.3;45.5;10.9;59.9;6.8;86.8;65.4
67;Gelderland-Zuid;Waarde;2008;10.6;84.4;79.4;20.5;16.2;4.2;43.2;11.7;61.4;3.8;87.7;70.3
68;Gelderland-Zuid;Marge;2005;;;;;;;;;;;;
69;Gelderland-Zuid;Marge;2006;2.3;2.4;2.4;2.8;2.7;0.1;3.6;2.1;4.1;2.9;2.4;3.7
70;Gelderland-Zuid;Marge;2007;2.6;2.6;2.5;3.1;2.7;0.1;3.8;2.4;4.4;2.9;2.5;3.7
71;Gelderland-Zuid;Marge;2008;2.4;2.4;2.5;2.9;2.7;0.1;3.6;2.3;4.2;2.0;2.3;3.4
72;Utrecht;Waarde;2005;;;;;;;;;;;;
73;Utrecht;Waarde;2006;11.8;82.8;80.7;9.5;22.2;4.1;49.3;8.9;60.6;5.6;86.3;63.7
74;Utrecht;Waarde;2007;11.9;83.3;77.5;8.8;21.3;4.1;45.8;9.7;56.9;5.0;88.7;66.3
75;Utrecht;Waarde;2008;12.4;82.5;77.6;10.2;25.9;4.2;48.7;7.6;58.5;4.6;83.9;61.9
76;Utrecht;Marge;2005;;;;;;;;;;;;
77;Utrecht;Marge;2006;2.3;2.3;2.4;2.0;2.9;0.1;3.5;2.0;4.0;2.3;2.4;3.4
78;Utrecht;Marge;2007;2.4;2.4;2.7;2.2;3.0;0.1;3.7;2.3;4.4;2.6;2.4;3.7
79;Utrecht;Marge;2008;2.4;2.4;2.6;2.2;3.1;0.1;3.7;2.0;4.4;2.4;2.7;3.6
80;Noord-Holland-Noord;Waarde;2005;;;;;;;;;;;;
81;Noord-Holland-Noord;Waarde;2006;9.6;85.4;80.6;7.0;18.0;4.0;48.8;11.3;56.7;5.6;88.4;62.7
82;Noord-Holland-Noord;Waarde;2007;12.5;85.6;85.4;10.1;19.0;4.3;51.5;9.9;57.7;6.7;88.8;67.2
83;Noord-Holland-Noord;Waarde;2008;11.8;87.6;87.4;9.6;19.2;4.3;51.0;10.2;59.5;2.3;89.6;69.2
84;Noord-Holland-Noord;Marge;2005;;;;;;;;;;;;
85;Noord-Holland-Noord;Marge;2006;2.2;2.3;2.4;1.8;2.6;0.1;3.5;2.3;4.2;2.5;2.3;3.6
86;Noord-Holland-Noord;Marge;2007;2.4;2.4;2.2;2.2;2.9;0.1;3.7;2.2;4.3;2.7;2.4;3.6
87;Noord-Holland-Noord;Marge;2008;2.3;2.2;2.2;2.1;2.8;0.1;3.6;2.2;4.3;1.9;2.2;3.5
88;Zaanstreek-Waterland;Waarde;2005;;;;;;;;;;;;
89;Zaanstreek-Waterland;Waarde;2006;13.0;82.1;82.2;10.7;20.4;4.2;50.5;8.8;60.5;6.3;88.0;61.4
90;Zaanstreek-Waterland;Waarde;2007;13.0;84.0;86.6;12.8;19.2;4.3;53.8;11.4;56.9;4.2;88.0;67.1
91;Zaanstreek-Waterland;Waarde;2008;12.2;84.8;84.8;10.8;16.2;4.2;53.5;10.4;58.6;4.7;86.8;68.2
92;Zaanstreek-Waterland;Marge;2005;;;;;;;;;;;;
93;Zaanstreek-Waterland;Marge;2006;2.5;2.5;2.5;2.4;2.9;0.1;3.7;2.2;4.3;2.5;2.4;3.7
94;Zaanstreek-Waterland;Marge;2007;2.6;2.5;2.3;2.5;2.8;0.1;3.8;2.4;4.4;2.5;2.4;3.6
95;Zaanstreek-Waterland;Marge;2008;2.4;2.3;2.3;2.3;2.6;0.1;3.6;2.3;4.3;2.4;2.4;3.5
96;Kennemerland;Waarde;2005;;;;;;;;;;;;
97;Kennemerland;Waarde;2006;13.3;85.0;71.8;6.6;16.2;3.9;47.2;8.7;55.1;3.3;86.8;67.0
98;Kennemerland;Waarde;2007;10.3;81.5;78.1;5.2;16.7;3.8;50.6;9.6;54.9;5.9;88.4;68.1
99;Kennemerland;Waarde;2008;14.1;84.7;75.3;8.3;16.8;4.0;47.7;9.9;58.9;3.6;89.2;70.2
100;Kennemerland;Marge;2005;;;;;;;;;;;;
101;Kennemerland;Marge;2006;2.4;2.3;2.9;1.9;2.7;0.1;3.7;2.2;4.3;2.1;2.4;3.5
102;Kennemerland;Marge;2007;2.4;2.5;2.7;1.8;2.8;0.1;3.7;2.3;4.3;2.6;2.3;3.6
103;Kennemerland;Marge;2008;2.5;2.4;2.8;2.1;2.7;0.1;3.7;2.3;4.2;2.0;2.3;3.4
104;Amsterdam-Amstelland;Waarde;2005;;;;;;;;;;;;
105;Amsterdam-Amstelland;Waarde;2006;7.4;79.4;45.4;6.9;7.9;2.9;25.2;7.6;58.3;10.6;86.8;60.4
106;Amsterdam-Amstelland;Waarde;2007;5.9;80.4;55.3;6.1;11.4;3.2;27.9;8.6;57.0;6.9;89.0;64.9
107;Amsterdam-Amstelland;Waarde;2008;7.8;79.3;54.8;5.5;8.9;3.1;32.9;10.1;55.5;3.2;84.4;64.4
108;Amsterdam-Amstelland;Marge;2005;;;;;;;;;;;;
109;Amsterdam-Amstelland;Marge;2006;2.0;2.5;3.4;2.0;2.1;0.1;3.6;2.2;4.7;3.4;2.5;3.7
110;Amsterdam-Amstelland;Marge;2007;2.0;2.7;3.5;1.9;2.4;0.1;3.7;2.4;4.9;3.2;2.4;3.7
111;Amsterdam-Amstelland;Marge;2008;2.0;2.7;3.4;1.7;2.1;0.1;3.7;2.3;4.9;2.1;2.6;3.6
112;Gooi en Vechtstreek;Waarde;2005;;;;;;;;;;;;
113;Gooi en Vechtstreek;Waarde;2006;12.3;83.5;83.7;9.6;20.1;4.2;48.1;9.4;58.5;4.6;86.0;65.8
114;Gooi en Vechtstreek;Waarde;2007;14.6;86.7;83.6;7.8;24.0;4.3;49.3;10.2;57.3;3.5;89.0;66.8
115;Gooi en Vechtstreek;Waarde;2008;16.5;89.0;83.8;8.5;23.3;4.4;46.9;8.3;59.4;5.3;86.1;67.8
116;Gooi en Vechtstreek;Marge;2005;;;;;;;;;;;;
117;Gooi en Vechtstreek;Marge;2006;2.3;2.3;2.3;2.0;2.7;0.1;3.5;2.1;3.9;2.1;2.4;3.4
118;Gooi en Vechtstreek;Marge;2007;2.6;2.3;2.4;2.0;3.0;0.1;3.7;2.3;4.2;2.0;2.3;3.6
119;Gooi en Vechtstreek;Marge;2008;2.7;2.0;2.4;2.0;2.9;0.1;3.6;2.0;4.1;2.4;2.5;3.5
120;Haaglanden;Waarde;2005;;;;;;;;;;;;
121;Haaglanden;Waarde;2006;9.1;81.5;73.4;6.3;15.5;3.7;45.4;7.1;54.8;9.6;87.8;62.6
122;Haaglanden;Waarde;2007;11.4;82.0;72.7;5.9;12.1;3.7;44.6;9.3;57.7;9.4;88.1;60.8
123;Haaglanden;Waarde;2008;12.7;84.3;75.6;7.4;14.9;3.9;46.9;10.9;57.2;2.9;86.8;69.7
124;Haaglanden;Marge;2005;;;;;;;;;;;;
125;Haaglanden;Marge;2006;2.1;2.4;2.8;1.8;2.6;0.1;3.7;2.0;4.4;3.1;2.3;3.6
126;Haaglanden;Marge;2007;2.4;2.4;2.9;1.9;2.4;0.1;4.0;2.4;4.6;3.4;2.4;3.8
127;Haaglanden;Marge;2008;2.4;2.4;2.8;2.1;2.6;0.1;3.9;2.5;4.6;2.0;2.4;3.4
128;Hollands Midden;Waarde;2005;;;;;;;;;;;;
129;Hollands Midden;Waarde;2006;11.5;85.3;76.4;6.7;14.3;3.9;50.5;10.5;56.3;5.9;88.9;62.5
130;Hollands Midden;Waarde;2007;12.9;84.2;82.3;10.2;15.7;4.1;55.1;11.0;55.8;3.4;87.8;63.3
131;Hollands Midden;Waarde;2008;11.2;85.8;81.7;9.2;14.6;4.0;49.2;11.3;54.6;3.8;88.7;65.8
132;Hollands Midden;Marge;2005;;;;;;;;;;;;
133;Hollands Midden;Marge;2006;2.2;2.2;2.6;1.8;2.4;0.1;3.5;2.2;4.1;2.5;2.2;3.5
134;Hollands Midden;Marge;2007;2.4;2.4;2.5;2.3;2.6;0.1;3.6;2.3;4.4;2.1;2.4;3.6
135;Hollands Midden;Marge;2008;2.3;2.3;2.5;2.2;2.5;0.1;3.6;2.3;4.4;2.2;2.3;3.5
136;Rotterdam-Rijnmond;Waarde;2005;;;;;;;;;;;;
137;Rotterdam-Rijnmond;Waarde;2006;9.5;81.1;66.4;8.6;13.9;3.6;41.8;8.8;62.4;7.2;86.3;62.8
138;Rotterdam-Rijnmond;Waarde;2007;10.2;80.2;68.9;9.4;14.6;3.7;43.2;7.7;62.7;5.2;90.3;62.8
139;Rotterdam-Rijnmond;Waarde;2008;12.9;80.4;71.9;10.9;13.9;3.8;45.2;10.8;60.6;7.7;87.7;67.8
140;Rotterdam-Rijnmond;Marge;2005;;;;;;;;;;;;
141;Rotterdam-Rijnmond;Marge;2006;2.2;2.4;2.9;2.0;2.5;0.1;3.7;2.3;4.2;2.6;2.4;3.5
142;Rotterdam-Rijnmond;Marge;2007;2.3;2.7;3.1;2.3;2.6;0.1;4.0;2.2;4.5;2.5;2.2;3.8
143;Rotterdam-Rijnmond;Marge;2008;2.5;2.6;2.9;2.4;2.6;0.1;3.9;2.5;4.4;2.9;2.4;3.6
144;Zuid-Holland- Zuid;Waarde;2005;;;;;;;;;;;;
145;Zuid-Holland- Zuid;Waarde;2006;14.2;83.8;77.5;16.4;16.3;4.2;47.4;11.3;61.4;4.4;86.0;62.5
146;Zuid-Holland- Zuid;Waarde;2007;15.7;87.2;85.0;17.7;20.7;4.5;48.7;13.1;62.5;5.2;86.1;66.9
147;Zuid-Holland- Zuid;Waarde;2008;13.7;85.3;85.7;17.6;20.4;4.5;47.4;11.5;62.7;4.5;87.0;64.8
148;Zuid-Holland- Zuid;Marge;2005;;;;;;;;;;;;
149;Zuid-Holland- Zuid;Marge;2006;2.4;2.3;2.6;2.6;2.6;0.1;3.6;2.3;4.1;2.3;2.4;3.6
150;Zuid-Holland- Zuid;Marge;2007;2.5;2.3;2.3;2.8;2.8;0.1;3.7;2.5;4.2;2.4;2.5;3.6
151;Zuid-Holland- Zuid;Marge;2008;2.4;2.4;2.3;2.7;2.8;0.1;3.7;2.3;4.2;2.3;2.4;3.6
152;Zeeland;Waarde;2005;;;;;;;;;;;;
153;Zeeland;Waarde;2006;9.5;80.1;79.4;26.5;9.9;4.1;45.7;13.1;54.4;4.4;84.6;62.4
154;Zeeland;Waarde;2007;8.4;80.6;83.5;28.2;11.2;4.2;47.1;14.9;58.1;3.5;85.2;61.1
155;Zeeland;Waarde;2008;10.2;83.6;83.3;29.6;9.6;4.3;47.9;12.2;52.4;2.1;85.9;67.0
156;Zeeland;Marge;2005;;;;;;;;;;;;
157;Zeeland;Marge;2006;2.0;2.5;2.6;3.1;2.1;0.1;3.6;2.4;4.2;2.3;2.6;3.7
158;Zeeland;Marge;2007;2.1;2.6;2.4;3.4;2.4;0.1;3.7;2.6;4.2;2.1;2.7;3.8
159;Zeeland;Marge;2008;2.1;2.5;2.4;3.2;2.1;0.1;3.6;2.3;4.1;1.6;2.5;3.5
160;Midden- en West-Brabant;Waarde;2005;;;;;;;;;;;;
161;Midden- en West-Brabant;Waarde;2006;12.0;83.2;82.2;25.1;14.1;4.3;49.8;13.1;59.9;7.3;86.5;62.8
162;Midden- en West-Brabant;Waarde;2007;13.2;83.4;87.1;23.7;15.5;4.5;49.1;11.1;55.6;6.5;87.9;69.0
163;Midden- en West-Brabant;Waarde;2008;13.5;85.7;85.3;28.1;13.5;4.5;48.1;12.0;57.0;5.7;86.1;64.3
164;Midden- en West-Brabant;Marge;2005;;;;;;;;;;;;
165;Midden- en West-Brabant;Marge;2006;2.3;2.3;2.2;3.0;2.5;0.1;3.5;2.5;4.0;2.5;2.4;3.6
166;Midden- en West-Brabant;Marge;2007;2.5;2.4;2.1;3.2;2.6;0.1;3.7;2.4;4.3;2.8;2.4;3.5
167;Midden- en West-Brabant;Marge;2008;2.5;2.4;2.3;3.3;2.5;0.1;3.7;2.4;4.3;2.6;2.5;3.6
168;Brabant-Noord;Waarde;2005;;;;;;;;;;;;
169;Brabant-Noord;Waarde;2006;13.7;87.3;88.4;26.4;15.2;4.6;52.7;13.8;56.1;5.6;88.5;66.0
170;Brabant-Noord;Waarde;2007;15.4;87.9;88.1;29.0;13.9;4.7;50.6;12.1;57.0;6.7;86.8;68.6
171;Brabant-Noord;Waarde;2008;12.5;85.6;90.0;27.5;14.9;4.6;51.6;13.9;56.0;4.4;88.1;72.3
172;Brabant-Noord;Marge;2005;;;;;;;;;;;;
173;Brabant-Noord;Marge;2006;2.5;2.2;1.9;3.1;2.6;0.1;3.6;2.5;4.0;2.5;2.4;3.5
174;Brabant-Noord;Marge;2007;2.5;2.3;2.1;3.3;2.5;0.1;3.7;2.4;4.3;2.8;2.6;3.6
175;Brabant-Noord;Marge;2008;2.4;2.3;1.9;3.1;2.5;0.1;3.6;2.5;4.1;2.2;2.4;3.3
176;Brabant-Zuid-Oost;Waarde;2005;;;;;;;;;;;;
177;Brabant-Zuid-Oost;Waarde;2006;11.4;83.7;87.9;22.4;18.7;4.5;48.4;10.5;57.2;4.3;87.0;61.6
178;Brabant-Zuid-Oost;Waarde;2007;12.1;85.3;86.5;22.2;22.6;4.6;51.0;12.0;57.6;5.2;88.3;65.7
179;Brabant-Zuid-Oost;Waarde;2008;12.4;86.6;89.3;25.5;21.4;4.7;52.6;9.5;58.2;5.8;85.4;65.3
180;Brabant-Zuid-Oost;Marge;2005;;;;;;;;;;;;
181;Brabant-Zuid-Oost;Marge;2006;2.3;2.3;1.9;2.9;2.6;0.1;3.4;2.2;3.9;2.1;2.4;3.5
182;Brabant-Zuid-Oost;Marge;2007;2.5;2.3;2.1;3.1;2.9;0.1;3.6;2.4;4.1;2.5;2.4;3.6
183;Brabant-Zuid-Oost;Marge;2008;2.4;2.3;2.0;3.0;2.8;0.1;3.6;2.1;4.1;2.6;2.5;3.5
184;Limburg-Noord;Waarde;2005;;;;;;;;;;;;
185;Limburg-Noord;Waarde;2006;11.9;83.8;86.9;43.3;13.8;4.8;50.3;12.0;57.8;6.6;84.4;62.9
186;Limburg-Noord;Waarde;2007;14.4;84.2;89.3;46.0;17.3;5.0;54.8;15.2;59.2;7.3;85.4;67.6
187;Limburg-Noord;Waarde;2008;17.2;86.8;89.5;49.1;15.0;5.2;51.9;14.0;59.8;4.0;84.1;67.3
188;Limburg-Noord;Marge;2005;;;;;;;;;;;;
189;Limburg-Noord;Marge;2006;2.4;2.5;2.0;3.5;2.4;0.1;3.6;2.4;4.2;2.7;2.7;3.7
190;Limburg-Noord;Marge;2007;2.5;2.5;1.9;3.5;2.6;0.1;3.7;2.7;4.1;2.8;2.6;3.6
191;Limburg-Noord;Marge;2008;2.7;2.3;1.9;3.5;2.5;0.1;3.6;2.5;4.1;2.2;2.7;3.5
192;Limburg-Zuid;Waarde;2005;;;;;;;;;;;;
193;Limburg-Zuid;Waarde;2006;12.7;82.4;79.0;42.9;11.3;4.6;47.4;11.0;58.6;7.5;89.3;62.9
194;Limburg-Zuid;Waarde;2007;11.1;80.5;82.4;45.9;9.3;4.6;46.8;12.4;62.0;4.3;86.3;67.0
195;Limburg-Zuid;Waarde;2008;14.0;81.5;83.2;44.1;13.0;4.7;48.4;9.1;60.6;5.0;87.5;70.7
196;Limburg-Zuid;Marge;2005;;;;;;;;;;;;
197;Limburg-Zuid;Marge;2006;2.4;2.5;2.4;3.4;2.3;0.1;3.8;2.4;4.1;2.8;2.2;3.7
198;Limburg-Zuid;Marge;2007;2.4;2.7;2.4;3.6;2.2;0.1;4.1;2.7;4.2;2.3;2.7;3.7
199;Limburg-Zuid;Marge;2008;2.6;2.6;2.3;3.5;2.4;0.1;4.0;2.4;4.3;2.5;2.5;3.6
200;Flevoland;Waarde;2005;;;;;;;;;;;;
201;Flevoland;Waarde;2006;11.6;89.1;88.2;6.9;22.4;4.4;37.7;8.8;61.9;3.3;88.3;67.6
202;Flevoland;Waarde;2007;14.8;87.1;87.1;8.5;24.0;4.4;41.7;9.4;65.9;4.9;88.6;69.6
203;Flevoland;Waarde;2008;15.2;89.2;87.7;10.8;24.1;4.5;42.4;7.3;62.8;2.3;89.0;72.2
204;Flevoland;Marge;2005;;;;;;;;;;;;
205;Flevoland;Marge;2006;2.4;2.1;2.1;1.8;2.9;0.1;3.5;2.1;4.2;2.0;2.3;3.4
206;Flevoland;Marge;2007;2.5;2.3;2.2;2.1;3.1;0.1;3.7;2.2;4.3;2.4;2.3;3.5
207;Flevoland;Marge;2008;2.6;2.1;2.2;2.2;3.0;0.1;3.7;2.0;4.3;1.8;2.2;3.3
