ID;Goederensoort;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometer_2;VervoerdeContainers_3
160;09 Overige niet-metaalhoudende minera...;2014;420;101;
161;09 Overige niet-metaalhoudende minera...;2015;526;122;
162;09 Overige niet-metaalhoudende minera...;2016;436;100;
163;09 Overige niet-metaalhoudende minera...;2017;888;128;
164;09 Overige niet-metaalhoudende minera...;2018;943;140;
165;09 Overige niet-metaalhoudende minera...;2019;711;73;
166;09 Overige niet-metaalhoudende minera...;2020;397;47;
167;09 Overige niet-metaalhoudende minera...;2021;531;59;
168;09 Overige niet-metaalhoudende minera...;2022;393;48;
169;09 Overige niet-metaalhoudende minera...;2023;291;40;
170;"10 Metalen in primaire vorm; producte...";2007;2525;386;
171;"10 Metalen in primaire vorm; producte...";2008;2197;327;
172;"10 Metalen in primaire vorm; producte...";2009;1735;244;
173;"10 Metalen in primaire vorm; producte...";2010;1970;281;
174;"10 Metalen in primaire vorm; producte...";2011;2081;298;
175;"10 Metalen in primaire vorm; producte...";2012;2046;296;
176;"10 Metalen in primaire vorm; producte...";2013;2361;352;
177;"10 Metalen in primaire vorm; producte...";2014;2532;376;
178;"10 Metalen in primaire vorm; producte...";2015;2884;412;
179;"10 Metalen in primaire vorm; producte...";2016;3242;465;
180;"10 Metalen in primaire vorm; producte...";2017;3316;470;
181;"10 Metalen in primaire vorm; producte...";2018;3245;548;
182;"10 Metalen in primaire vorm; producte...";2019;2733;447;
183;"10 Metalen in primaire vorm; producte...";2020;2384;379;
184;"10 Metalen in primaire vorm; producte...";2021;2781;442;
185;"10 Metalen in primaire vorm; producte...";2022;2332;352;
186;"10 Metalen in primaire vorm; producte...";2023;2098;331;
187;11 Machines, apparaten en werktuigen,...;2007;43;7;
188;11 Machines, apparaten en werktuigen,...;2008;44;7;
189;11 Machines, apparaten en werktuigen,...;2009;29;5;
190;11 Machines, apparaten en werktuigen,...;2010;26;5;
191;11 Machines, apparaten en werktuigen,...;2011;22;4;
192;11 Machines, apparaten en werktuigen,...;2012;19;3;
193;11 Machines, apparaten en werktuigen,...;2013;14;2;
194;11 Machines, apparaten en werktuigen,...;2014;11;2;
195;11 Machines, apparaten en werktuigen,...;2015;14;2;
196;11 Machines, apparaten en werktuigen,...;2016;15;2;
197;11 Machines, apparaten en werktuigen,...;2017;17;2;
198;11 Machines, apparaten en werktuigen,...;2018;16;2;
199;11 Machines, apparaten en werktuigen,...;2019;20;3;
200;11 Machines, apparaten en werktuigen,...;2020;15;2;
201;11 Machines, apparaten en werktuigen,...;2021;13;2;
202;11 Machines, apparaten en werktuigen,...;2022;13;2;
203;11 Machines, apparaten en werktuigen,...;2023;7;1;
204;12 Transportmiddelen;2007;622;99;
205;12 Transportmiddelen;2008;646;101;
206;12 Transportmiddelen;2009;559;93;
207;12 Transportmiddelen;2010;564;99;
208;12 Transportmiddelen;2011;583;104;
209;12 Transportmiddelen;2012;628;135;
210;12 Transportmiddelen;2013;677;127;
211;12 Transportmiddelen;2014;500;101;
212;12 Transportmiddelen;2015;1023;192;
213;12 Transportmiddelen;2016;513;107;
214;12 Transportmiddelen;2017;1844;455;
215;12 Transportmiddelen;2018;974;220;
216;12 Transportmiddelen;2019;1006;243;
217;12 Transportmiddelen;2020;899;197;
218;12 Transportmiddelen;2021;700;178;
219;12 Transportmiddelen;2022;706;164;
220;12 Transportmiddelen;2023;745;162;
221;"13 Meubelen; overige industrieproduct...";2007;2;0;
222;"13 Meubelen; overige industrieproduct...";2008;1;0;
223;"13 Meubelen; overige industrieproduct...";2009;3;0;
224;"13 Meubelen; overige industrieproduct...";2010;2;0;
225;"13 Meubelen; overige industrieproduct...";2011;0;0;
226;"13 Meubelen; overige industrieproduct...";2012;0;0;
227;"13 Meubelen; overige industrieproduct...";2013;0;0;
228;"13 Meubelen; overige industrieproduct...";2014;0;0;
229;"13 Meubelen; overige industrieproduct...";2015;0;0;
230;"13 Meubelen; overige industrieproduct...";2016;0;0;
231;"13 Meubelen; overige industrieproduct...";2017;0;0;
232;"13 Meubelen; overige industrieproduct...";2018;0;0;
233;"13 Meubelen; overige industrieproduct...";2019;0;0;
234;"13 Meubelen; overige industrieproduct...";2020;0;0;
235;"13 Meubelen; overige industrieproduct...";2021;0;0;
236;"13 Meubelen; overige industrieproduct...";2022;0;0;
237;"13 Meubelen; overige industrieproduct...";2023;0;0;
238;"14 Secundaire grondstoffen; gemeentel...";2007;683;99;
239;"14 Secundaire grondstoffen; gemeentel...";2008;1282;148;
240;"14 Secundaire grondstoffen; gemeentel...";2009;632;93;
241;"14 Secundaire grondstoffen; gemeentel...";2010;529;75;
242;"14 Secundaire grondstoffen; gemeentel...";2011;792;107;
243;"14 Secundaire grondstoffen; gemeentel...";2012;356;45;
244;"14 Secundaire grondstoffen; gemeentel...";2013;442;65;
245;"14 Secundaire grondstoffen; gemeentel...";2014;316;49;
246;"14 Secundaire grondstoffen; gemeentel...";2015;356;36;
247;"14 Secundaire grondstoffen; gemeentel...";2016;127;14;
248;"14 Secundaire grondstoffen; gemeentel...";2017;56;11;
249;"14 Secundaire grondstoffen; gemeentel...";2018;92;22;
250;"14 Secundaire grondstoffen; gemeentel...";2019;93;22;
251;"14 Secundaire grondstoffen; gemeentel...";2020;100;22;
252;"14 Secundaire grondstoffen; gemeentel...";2021;114;25;
253;"14 Secundaire grondstoffen; gemeentel...";2022;101;22;
254;"14 Secundaire grondstoffen; gemeentel...";2023;84;18;
255;15 Brieven, pakketten;2007;0;0;
256;15 Brieven, pakketten;2008;0;0;
257;15 Brieven, pakketten;2009;0;0;
258;15 Brieven, pakketten;2010;0;0;
259;15 Brieven, pakketten;2011;0;0;
260;15 Brieven, pakketten;2012;0;0;
261;15 Brieven, pakketten;2013;0;0;
262;15 Brieven, pakketten;2014;0;0;
263;15 Brieven, pakketten;2015;0;0;
264;15 Brieven, pakketten;2016;0;0;
265;15 Brieven, pakketten;2017;0;0;
266;15 Brieven, pakketten;2018;0;0;
267;15 Brieven, pakketten;2019;0;0;
268;15 Brieven, pakketten;2020;0;0;
269;15 Brieven, pakketten;2021;0;0;
270;15 Brieven, pakketten;2022;0;0;
271;15 Brieven, pakketten;2023;0;0;
272;16 Uitrusting en materiaal voor het v...;2007;553;104;241.0
273;16 Uitrusting en materiaal voor het v...;2008;1243;207;557.0
274;16 Uitrusting en materiaal voor het v...;2009;807;148;388.0
275;16 Uitrusting en materiaal voor het v...;2010;630;121;304.0
276;16 Uitrusting en materiaal voor het v...;2011;735;127;331.0
277;16 Uitrusting en materiaal voor het v...;2012;921;145;410.0
278;16 Uitrusting en materiaal voor het v...;2013;459;69;218.0
279;16 Uitrusting en materiaal voor het v...;2014;509;82;244.0
280;16 Uitrusting en materiaal voor het v...;2015;611;95;279.0
281;16 Uitrusting en materiaal voor het v...;2016;657;101;312.0
282;16 Uitrusting en materiaal voor het v...;2017;604;92;244.0
283;16 Uitrusting en materiaal voor het v...;2018;720;124;304.0
284;16 Uitrusting en materiaal voor het v...;2019;689;109;291.0
285;16 Uitrusting en materiaal voor het v...;2020;746;118;326.0
286;16 Uitrusting en materiaal voor het v...;2021;905;143;399.0
287;16 Uitrusting en materiaal voor het v...;2022;851;127;388.0
288;16 Uitrusting en materiaal voor het v...;2023;845;129;390.0
289;17 Vervoerde goederen in het kader va...;2007;0;0;
290;17 Vervoerde goederen in het kader va...;2008;2;1;
291;17 Vervoerde goederen in het kader va...;2009;22;3;
292;17 Vervoerde goederen in het kader va...;2010;37;5;
293;17 Vervoerde goederen in het kader va...;2011;25;3;
294;17 Vervoerde goederen in het kader va...;2012;31;4;
295;17 Vervoerde goederen in het kader va...;2013;30;4;
296;17 Vervoerde goederen in het kader va...;2014;46;6;
297;17 Vervoerde goederen in het kader va...;2015;36;5;
298;17 Vervoerde goederen in het kader va...;2016;41;5;
299;17 Vervoerde goederen in het kader va...;2017;51;5;
300;17 Vervoerde goederen in het kader va...;2018;54;6;
301;17 Vervoerde goederen in het kader va...;2019;63;7;
302;17 Vervoerde goederen in het kader va...;2020;14;1;
303;17 Vervoerde goederen in het kader va...;2021;27;3;
304;17 Vervoerde goederen in het kader va...;2022;50;6;
305;17 Vervoerde goederen in het kader va...;2023;18;2;
306;18 Gegroepeerde goederen: diverse soo...;2007;0;0;
307;18 Gegroepeerde goederen: diverse soo...;2008;55;9;
308;18 Gegroepeerde goederen: diverse soo...;2009;58;10;
309;18 Gegroepeerde goederen: diverse soo...;2010;15;2;
310;18 Gegroepeerde goederen: diverse soo...;2011;68;13;
311;18 Gegroepeerde goederen: diverse soo...;2012;43;11;
312;18 Gegroepeerde goederen: diverse soo...;2013;87;13;
313;18 Gegroepeerde goederen: diverse soo...;2014;97;16;
314;18 Gegroepeerde goederen: diverse soo...;2015;154;20;
315;18 Gegroepeerde goederen: diverse soo...;2016;87;16;
316;18 Gegroepeerde goederen: diverse soo...;2017;66;5;
317;18 Gegroepeerde goederen: diverse soo...;2018;6;1;
318;18 Gegroepeerde goederen: diverse soo...;2019;3;0;
319;18 Gegroepeerde goederen: diverse soo...;2020;4;1;
320;18 Gegroepeerde goederen: diverse soo...;2021;3;0;
321;18 Gegroepeerde goederen: diverse soo...;2022;3;0;
322;18 Gegroepeerde goederen: diverse soo...;2023;8;1;
323;19 Niet identificeerbare goederen: go...;2007;16174;2999;1233.0
324;19 Niet identificeerbare goederen: go...;2008;15745;2746;1230.0
325;19 Niet identificeerbare goederen: go...;2009;13134;2200;883.0
326;19 Niet identificeerbare goederen: go...;2010;14048;2347;962.0
327;19 Niet identificeerbare goederen: go...;2011;14176;2302;1153.0
328;19 Niet identificeerbare goederen: go...;2012;12626;1991;1131.0
329;19 Niet identificeerbare goederen: go...;2013;13368;1991;1082.0
330;19 Niet identificeerbare goederen: go...;2014;14348;2133;1162.0
331;19 Niet identificeerbare goederen: go...;2015;15217;2239;1218.0
332;19 Niet identificeerbare goederen: go...;2016;16836;2426;1288.0
333;19 Niet identificeerbare goederen: go...;2017;16758;2470;1131.0
334;19 Niet identificeerbare goederen: go...;2018;19651;3216;1374.0
335;19 Niet identificeerbare goederen: go...;2019;18263;2839;1308.0
336;19 Niet identificeerbare goederen: go...;2020;17594;2734;1323.0
337;19 Niet identificeerbare goederen: go...;2021;18945;2969;1401.0
338;19 Niet identificeerbare goederen: go...;2022;19763;2938;1484.0
339;19 Niet identificeerbare goederen: go...;2023;17450;2667;1268.0
340;20 Overige goederen, n.e.g.;2007;0;0;
341;20 Overige goederen, n.e.g.;2008;0;0;
342;20 Overige goederen, n.e.g.;2009;0;0;
343;20 Overige goederen, n.e.g.;2010;0;0;
344;20 Overige goederen, n.e.g.;2011;0;0;
345;20 Overige goederen, n.e.g.;2012;0;0;
346;20 Overige goederen, n.e.g.;2013;0;0;
347;20 Overige goederen, n.e.g.;2014;0;0;
348;20 Overige goederen, n.e.g.;2015;0;0;
349;20 Overige goederen, n.e.g.;2016;0;0;
350;20 Overige goederen, n.e.g.;2017;0;0;
351;20 Overige goederen, n.e.g.;2018;0;0;
352;20 Overige goederen, n.e.g.;2019;0;0;
353;20 Overige goederen, n.e.g.;2020;0;0;
354;20 Overige goederen, n.e.g.;2021;0;0;
355;20 Overige goederen, n.e.g.;2022;0;0;
356;20 Overige goederen, n.e.g.;2023;0;0;
