ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalAantalBedrijven_1;k_1WerkzamePersoon_2;k_2WerkzamePersonen_3;k_3Tot5WerkzamePersonen_4;k_5Tot10WerkzamePersonen_5;k_10Tot20WerkzamePersonen_6;k_20Tot50WerkzamePersonen_7;k_50Tot100WerkzamePersonen_8;k_100Tot150WerkzamePersonen_9;k_150Tot200WerkzamePersonen_10;k_200Tot250WerkzamePersonen_11;k_250Tot500WerkzamePersonen_12;k_500Tot1000WerkzamePersonen_13;k_1000Tot2000WerkzamePersonen_14;k_2000WerkzamePersonenOfMeer_15;Eenmanszaak_16;Maatschap_17;VennootschapOnderFirma_18;BeslotenVennootschap_19;NaamlozeVennootschap_20;CooperatieveVereniging_21;VerenigingOfStichting_22;Overheid_23;OverigeRechtsvormen_24
24;03 Visserij;2010, 1 januari;815;400;225;125;50;10;5;0;0;0;0;0;0;0;0;215;40;260;280;0;5;5;0;10
25;B Delfstoffenwinning;2006, 1 januari;330;125;65;20;30;35;25;10;5;5;0;0;0;0;0;40;0;65;200;0;0;0;0;20
26;B Delfstoffenwinning;2007, 1 januari;330;135;35;35;35;35;25;15;5;5;0;0;0;0;0;35;0;40;225;5;0;0;0;20
27;B Delfstoffenwinning;2008, 1 januari;315;135;40;40;25;25;25;10;5;5;5;0;0;0;0;40;0;45;205;0;0;0;0;20
28;B Delfstoffenwinning;2009, 1 januari;320;140;30;30;30;30;25;10;5;5;5;5;0;0;0;45;5;35;210;5;0;0;0;20
29;B Delfstoffenwinning;2010, 1 januari;330;150;35;30;30;30;25;10;5;5;5;5;0;0;0;45;5;35;225;0;0;0;0;20
30;06 Winning van aardolie en aardgas;2006, 1 januari;35;20;5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;25;0;0;0;0;0
31;06 Winning van aardolie en aardgas;2007, 1 januari;50;30;5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;35;0;0;0;0;0
32;06 Winning van aardolie en aardgas;2008, 1 januari;45;25;5;5;5;0;0;0;0;0;0;0;0;0;0;5;0;5;35;0;0;0;0;0
33;06 Winning van aardolie en aardgas;2009, 1 januari;45;20;5;0;5;5;0;0;0;0;0;0;0;0;0;5;0;5;35;0;0;0;0;0
34;06 Winning van aardolie en aardgas;2010, 1 januari;50;30;5;0;0;5;5;0;0;0;0;0;0;0;0;5;0;0;40;0;0;0;0;0
35;08 Delfstoffenwinning (geen olie en gas);2006, 1 januari;195;55;50;20;25;25;15;5;0;0;0;0;0;0;0;10;0;50;130;0;0;0;0;5
36;08 Delfstoffenwinning (geen olie en gas);2007, 1 januari;170;50;20;20;25;25;15;5;0;0;0;0;0;0;0;10;0;30;125;0;0;0;0;5
37;08 Delfstoffenwinning (geen olie en gas);2008, 1 januari;170;55;25;25;20;20;20;5;0;0;0;0;0;0;0;15;0;30;120;0;0;0;0;5
38;08 Delfstoffenwinning (geen olie en gas);2009, 1 januari;170;55;20;25;20;20;15;5;0;0;0;0;0;0;0;15;5;30;120;0;0;0;0;5
39;08 Delfstoffenwinning (geen olie en gas);2010, 1 januari;180;65;25;25;20;20;15;5;0;0;0;0;0;0;0;15;5;30;125;0;0;0;0;5
40;09 Dienstverlening delfstoffenwinning;2006, 1 januari;95;50;10;0;5;5;10;5;0;0;0;0;0;0;0;20;0;10;45;0;0;0;0;15
41;09 Dienstverlening delfstoffenwinning;2007, 1 januari;110;60;5;10;10;5;10;5;0;0;0;0;0;0;0;20;0;10;65;0;0;0;0;15
42;09 Dienstverlening delfstoffenwinning;2008, 1 januari;105;60;10;10;5;5;5;5;0;5;0;0;0;0;0;25;0;10;55;0;0;0;0;15
43;09 Dienstverlening delfstoffenwinning;2009, 1 januari;105;60;5;5;5;10;5;5;5;0;0;5;0;0;0;25;0;5;60;0;0;0;0;15
44;09 Dienstverlening delfstoffenwinning;2010, 1 januari;100;55;5;5;5;10;5;5;5;0;0;5;0;0;0;25;0;5;55;0;0;0;0;15
45;C Industrie;2006, 1 januari;41200;14540;7255;4410;5030;3920;3495;1230;465;220;140;300;130;50;25;15375;120;7685;17565;75;45;80;70;190
46;C Industrie;2007, 1 januari;42365;16035;5715;4725;5505;4180;3620;1235;500;220;150;285;125;45;25;16395;110;7620;17800;75;45;70;70;175
47;C Industrie;2008, 1 januari;43520;18135;5745;4645;5280;3970;3330;1180;415;220;125;285;115;45;20;17300;85;7390;18305;70;45;65;70;195
48;C Industrie;2009, 1 januari;45670;19830;6035;4540;5100;4055;3455;1300;530;215;145;265;135;45;20;18900;90;7585;18660;65;40;70;75;185
49;C Industrie;2010, 1 januari;45565;20340;6085;4425;4940;3920;3270;1270;505;210;140;260;130;45;25;19125;80;7385;18535;60;45;75;75;185
50;10 Voedingsmiddelenindustrie;2006, 1 januari;4105;480;680;655;950;565;400;180;65;40;30;40;15;5;5;860;20;1680;1495;5;20;10;0;10
51;10 Voedingsmiddelenindustrie;2007, 1 januari;4075;525;490;670;1010;590;425;175;60;35;30;45;15;5;5;855;20;1670;1480;5;20;10;0;10
52;10 Voedingsmiddelenindustrie;2008, 1 januari;4105;650;540;680;955;555;380;165;50;40;25;45;10;5;5;860;15;1635;1545;5;20;10;0;10
53;10 Voedingsmiddelenindustrie;2009, 1 januari;4225;710;590;610;910;620;405;180;70;30;35;45;15;5;0;935;15;1670;1560;5;20;10;0;10
54;10 Voedingsmiddelenindustrie;2010, 1 januari;4175;735;590;590;890;615;390;180;60;30;30;40;15;5;5;915;15;1635;1565;5;20;10;0;10
55;11 Drankenindustrie;2006, 1 januari;150;50;35;15;10;5;10;10;5;0;0;0;5;0;0;35;0;30;75;5;0;5;0;0
56;11 Drankenindustrie;2007, 1 januari;150;50;30;15;15;10;5;10;5;0;0;0;5;0;0;40;0;35;70;5;0;5;0;0
57;11 Drankenindustrie;2008, 1 januari;155;60;25;20;10;10;10;5;5;0;0;0;5;0;0;45;0;30;70;5;0;5;0;0
58;11 Drankenindustrie;2009, 1 januari;160;60;25;20;15;10;10;5;5;0;0;0;5;0;0;40;0;35;75;0;0;5;0;0
59;11 Drankenindustrie;2010, 1 januari;165;65;25;15;15;10;10;5;5;0;0;0;5;0;0;45;0;35;75;0;0;5;0;0
60;12 Tabaksindustrie;2006, 1 januari;15;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0
61;12 Tabaksindustrie;2007, 1 januari;20;5;0;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0;15;0;0;0;0;0
62;12 Tabaksindustrie;2008, 1 januari;20;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;15;0;0;0;0;0
63;12 Tabaksindustrie;2009, 1 januari;20;0;0;5;0;0;0;5;0;0;0;5;0;0;0;0;0;5;15;0;0;0;0;0
64;12 Tabaksindustrie;2010, 1 januari;15;5;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;5;10;0;0;0;0;0
65;13 Textielindustrie;2006, 1 januari;1230;470;270;155;130;70;80;25;15;5;5;5;0;0;0;560;0;260;400;0;0;0;0;0
66;13 Textielindustrie;2007, 1 januari;1275;545;205;175;135;85;75;25;15;5;5;5;0;0;0;595;0;270;405;0;0;0;0;0
67;13 Textielindustrie;2008, 1 januari;1340;635;210;160;140;75;70;25;5;5;5;5;0;0;0;640;0;280;410;0;0;0;0;0
68;13 Textielindustrie;2009, 1 januari;1420;715;245;150;125;70;65;25;15;5;0;5;0;0;0;730;0;295;395;0;0;0;0;0
69;13 Textielindustrie;2010, 1 januari;1430;725;255;150;120;65;65;25;15;0;0;5;0;0;0;740;0;295;390;0;0;0;0;5
70;14 Kledingindustrie;2006, 1 januari;1310;840;255;85;55;40;25;0;0;0;0;0;0;0;0;895;0;200;210;0;0;0;0;0
71;14 Kledingindustrie;2007, 1 januari;1345;930;190;85;65;45;25;0;0;0;0;0;0;0;0;950;0;185;210;0;0;0;0;0
72;14 Kledingindustrie;2008, 1 januari;1340;985;170;70;55;45;20;0;0;0;0;0;0;0;0;965;0;165;210;0;0;0;0;0
73;14 Kledingindustrie;2009, 1 januari;1385;1020;175;70;60;35;20;0;0;0;0;0;0;0;0;990;0;180;205;0;0;0;0;0
74;14 Kledingindustrie;2010, 1 januari;1360;1000;185;70;55;30;15;0;0;0;0;0;0;0;0;975;0;180;200;0;0;0;0;0
75;15 Leer- en schoenenindustrie;2006, 1 januari;310;125;75;35;30;20;10;0;5;0;0;0;0;0;0;120;0;75;110;0;0;0;0;0
76;15 Leer- en schoenenindustrie;2007, 1 januari;310;140;55;40;35;25;10;0;5;0;0;0;0;0;0;125;0;70;110;0;0;0;0;0
77;15 Leer- en schoenenindustrie;2008, 1 januari;300;140;55;30;35;25;5;0;5;0;0;0;0;0;0;120;0;65;110;0;0;0;0;0
78;15 Leer- en schoenenindustrie;2009, 1 januari;310;150;60;30;30;20;10;5;5;0;0;0;0;0;0;130;0;65;115;0;0;0;0;0
79;15 Leer- en schoenenindustrie;2010, 1 januari;315;160;55;30;30;20;10;5;5;0;0;0;0;0;0;135;0;60;115;0;0;0;0;0
80;16 Houtindustrie;2006, 1 januari;1830;655;405;200;210;155;135;45;10;5;5;5;0;0;0;735;5;380;705;0;0;0;0;5
81;16 Houtindustrie;2007, 1 januari;1880;735;325;200;230;165;155;45;15;5;5;0;0;0;0;780;5;375;715;0;0;0;0;5
82;16 Houtindustrie;2008, 1 januari;1910;800;300;225;215;165;130;55;10;5;5;0;0;0;0;795;5;370;730;0;0;0;0;5
83;16 Houtindustrie;2009, 1 januari;1960;830;330;205;215;160;150;45;15;5;5;0;0;0;0;825;5;390;735;0;0;0;0;5
84;16 Houtindustrie;2010, 1 januari;1935;855;320;195;205;150;140;50;15;5;5;0;0;0;0;830;5;365;730;0;0;0;0;5
85;17 Papierindustrie;2006, 1 januari;425;75;40;40;45;50;65;45;25;10;10;20;0;0;0;50;0;35;330;5;0;0;0;5
86;17 Papierindustrie;2007, 1 januari;420;80;25;45;50;45;65;45;25;10;10;20;0;0;0;55;0;30;330;5;0;0;0;5
87;17 Papierindustrie;2008, 1 januari;405;80;30;45;40;50;65;40;20;10;10;20;5;0;0;50;0;35;310;5;0;0;0;5
88;17 Papierindustrie;2009, 1 januari;400;85;25;35;40;45;60;50;20;10;10;15;5;0;0;55;0;30;315;5;0;0;0;5
89;17 Papierindustrie;2010, 1 januari;350;70;25;35;35;40;55;45;20;10;10;15;5;0;0;40;0;25;275;5;0;0;0;5
90;18 Grafische industrie;2006, 1 januari;3885;1215;830;545;505;365;300;70;20;10;0;10;0;0;0;1315;15;890;1630;0;5;15;0;10
91;18 Grafische industrie;2007, 1 januari;3860;1305;630;555;555;390;295;75;25;10;0;10;0;0;0;1340;15;855;1615;0;5;20;0;10
92;18 Grafische industrie;2008, 1 januari;3850;1435;630;505;530;365;270;75;15;10;0;10;0;0;0;1375;10;805;1630;0;5;15;0;10
93;18 Grafische industrie;2009, 1 januari;3915;1510;645;490;530;365;255;75;15;15;0;10;0;0;0;1455;10;815;1605;0;5;15;0;5
94;18 Grafische industrie;2010, 1 januari;3820;1505;635;480;510;350;235;65;15;10;0;10;0;0;0;1450;10;785;1550;0;0;15;0;5
95;19 Aardolie-industrie;2006, 1 januari;30;5;0;5;0;5;5;5;0;0;0;0;0;0;0;5;0;0;25;0;0;0;0;0
96;19 Aardolie-industrie;2007, 1 januari;30;5;0;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0
97;19 Aardolie-industrie;2008, 1 januari;35;10;0;5;5;5;5;0;0;0;0;5;0;0;0;5;0;0;30;0;0;0;0;5
98;19 Aardolie-industrie;2009, 1 januari;35;10;0;5;5;5;5;5;0;0;0;5;0;0;0;0;0;0;30;0;0;0;0;5
99;19 Aardolie-industrie;2010, 1 januari;40;10;0;5;5;5;5;5;0;0;0;5;0;0;0;0;0;0;30;0;0;0;0;5
100;20 Chemische industrie;2006, 1 januari;730;165;80;40;70;85;95;70;40;15;10;30;15;5;0;70;5;60;575;0;0;0;0;15
101;20 Chemische industrie;2007, 1 januari;745;155;80;60;70;85;100;75;35;20;15;30;15;5;0;80;5;55;590;0;0;5;0;15
102;20 Chemische industrie;2008, 1 januari;755;195;65;60;85;70;105;65;30;20;10;25;20;5;0;80;0;50;605;0;0;0;0;15
103;20 Chemische industrie;2009, 1 januari;765;200;80;60;65;85;90;75;40;15;10;20;20;5;0;85;0;55;605;0;0;0;0;10
104;20 Chemische industrie;2010, 1 januari;750;205;80;55;65;80;85;70;35;15;10;20;20;5;0;85;0;50;600;0;0;0;0;15
105;21 Farmaceutische industrie;2006, 1 januari;155;45;20;10;15;15;15;10;10;0;0;5;5;5;0;15;0;10;120;5;0;0;0;0
106;21 Farmaceutische industrie;2007, 1 januari;150;35;15;15;20;20;20;5;10;0;0;5;5;5;0;15;0;10;120;5;0;0;0;0
107;21 Farmaceutische industrie;2008, 1 januari;160;45;15;15;20;10;20;10;10;0;0;5;5;5;0;10;0;10;135;5;0;0;0;0
108;21 Farmaceutische industrie;2009, 1 januari;175;60;15;15;15;15;15;10;10;0;0;5;5;5;0;10;0;10;145;5;0;0;0;0
109;21 Farmaceutische industrie;2010, 1 januari;180;65;15;15;20;15;15;10;10;0;0;5;5;5;0;10;0;10;150;5;0;0;0;0
110;22 Rubber- en kunststofproductindustrie;2006, 1 januari;1215;260;155;135;165;155;180;85;25;20;10;15;0;0;0;195;0;145;860;5;0;0;0;10
111;22 Rubber- en kunststofproductindustrie;2007, 1 januari;1250;270;130;140;180;165;200;80;30;20;10;15;0;0;0;200;0;150;880;5;0;0;0;10
112;22 Rubber- en kunststofproductindustrie;2008, 1 januari;1265;300;140;145;195;165;170;85;25;15;10;15;0;0;0;200;0;150;905;5;0;0;0;10
113;22 Rubber- en kunststofproductindustrie;2009, 1 januari;1295;315;145;140;185;165;180;80;35;15;15;10;0;0;0;210;0;145;925;5;0;0;0;10
114;22 Rubber- en kunststofproductindustrie;2010, 1 januari;1255;325;145;135;180;155;160;75;30;15;15;10;5;0;0;215;0;145;885;5;0;0;0;10
115;23 Bouwmaterialenindustrie;2006, 1 januari;1680;680;295;150;180;150;125;40;20;10;5;20;10;0;0;665;0;295;705;5;0;5;0;5
116;23 Bouwmaterialenindustrie;2007, 1 januari;1730;745;220;180;200;150;130;35;25;10;5;15;10;0;0;710;0;280;725;5;0;0;0;5
117;23 Bouwmaterialenindustrie;2008, 1 januari;1700;780;210;170;185;145;115;35;25;15;0;20;10;0;0;720;0;275;695;0;0;0;0;5
118;23 Bouwmaterialenindustrie;2009, 1 januari;1725;795;235;165;175;135;115;40;20;10;0;15;10;0;0;740;0;280;690;0;0;5;0;5
119;23 Bouwmaterialenindustrie;2010, 1 januari;1720;810;230;160;175;135;115;40;25;10;0;15;10;0;0;740;0;270;700;0;0;0;0;5
120;24 Basismetaalindustrie;2006, 1 januari;305;70;40;30;45;40;35;15;5;10;5;5;5;0;0;50;0;35;215;0;0;0;0;5
121;24 Basismetaalindustrie;2007, 1 januari;305;65;35;30;45;50;40;10;10;5;5;5;5;0;0;55;0;35;215;0;0;0;0;0
122;24 Basismetaalindustrie;2008, 1 januari;320;80;30;35;50;45;30;10;10;5;0;5;5;0;0;55;0;40;220;0;0;0;0;5
123;24 Basismetaalindustrie;2009, 1 januari;330;85;30;40;50;45;40;10;15;10;5;5;5;0;0;55;0;40;230;0;0;0;0;5
124;24 Basismetaalindustrie;2010, 1 januari;330;90;30;35;50;45;40;10;15;5;5;5;5;0;0;60;0;35;230;0;0;0;0;5
125;25 Metaalproductenindustrie;2006, 1 januari;7235;2615;1130;695;900;790;765;210;70;25;10;25;5;0;0;2840;15;1015;3340;5;5;0;0;15
126;25 Metaalproductenindustrie;2007, 1 januari;7510;2895;920;710;980;845;790;225;75;25;15;20;5;0;0;3045;15;1005;3415;5;5;0;0;20
127;25 Metaalproductenindustrie;2008, 1 januari;7940;3410;915;735;965;820;745;220;70;25;10;15;5;0;0;3365;10;975;3555;5;5;0;0;20
128;25 Metaalproductenindustrie;2009, 1 januari;8555;3940;965;755;875;815;830;235;80;30;10;15;5;0;0;3915;10;960;3630;5;5;0;0;25
129;25 Metaalproductenindustrie;2010, 1 januari;8615;4090;985;740;850;800;785;235;75;30;10;15;5;0;0;3980;5;945;3650;5;5;0;0;20
130;26 Elektrotechnische industrie;2006, 1 januari;1145;435;215;105;125;100;95;40;15;5;5;5;5;0;0;360;5;135;615;5;0;5;0;25
131;26 Elektrotechnische industrie;2007, 1 januari;1145;450;155;120;135;110;105;35;20;5;5;5;0;0;0;365;5;130;620;0;0;5;0;20
132;26 Elektrotechnische industrie;2008, 1 januari;1190;515;155;125;115;110;100;35;15;5;0;5;0;0;0;390;5;120;645;0;0;5;0;25
133;26 Elektrotechnische industrie;2009, 1 januari;1250;545;155;110;135;115;105;45;20;5;5;5;0;0;0;400;5;120;690;0;0;5;0;25
134;26 Elektrotechnische industrie;2010, 1 januari;1245;570;155;105;130;105;100;45;20;5;5;5;0;0;0;395;5;105;705;0;0;5;0;25
135;27 Elektrische apparatenindustrie;2006, 1 januari;905;305;140;85;105;105;90;35;15;5;0;15;10;0;0;275;0;100;525;0;0;0;0;5
136;27 Elektrische apparatenindustrie;2007, 1 januari;930;330;105;105;115;115;85;35;25;0;0;10;5;0;0;295;0;95;535;0;0;0;0;5
137;27 Elektrische apparatenindustrie;2008, 1 januari;990;385;115;110;115;105;80;35;20;5;0;10;5;0;0;330;0;95;555;0;0;0;0;5
138;27 Elektrische apparatenindustrie;2009, 1 januari;1055;445;105;110;125;95;85;40;20;5;0;10;5;0;0;370;0;95;580;0;0;0;0;5
139;27 Elektrische apparatenindustrie;2010, 1 januari;1085;485;115;110;120;95;75;40;20;5;0;10;5;0;0;390;0;100;585;0;0;0;0;10
140;28 Machine-industrie;2006, 1 januari;2470;510;280;215;340;390;430;155;60;35;20;25;5;0;0;365;5;230;1850;10;0;0;0;15
141;28 Machine-industrie;2007, 1 januari;2555;540;245;240;360;410;455;160;60;30;20;25;5;0;5;400;0;220;1910;10;0;0;0;20
142;28 Machine-industrie;2008, 1 januari;2645;680;255;255;340;415;420;150;45;30;15;30;5;0;5;450;5;195;1965;10;0;5;0;20
143;28 Machine-industrie;2009, 1 januari;2850;860;240;250;340;385;430;175;70;35;20;35;5;0;5;555;5;200;2055;10;0;5;0;20
144;28 Machine-industrie;2010, 1 januari;2825;880;250;245;325;375;405;170;75;35;20;30;10;0;0;560;5;200;2025;10;0;5;0;25
145;29 Auto- en aanhangwagenindustrie;2006, 1 januari;700;175;95;80;110;85;85;35;10;5;5;5;5;0;0;170;5;110;410;0;0;0;0;5
146;29 Auto- en aanhangwagenindustrie;2007, 1 januari;705;190;80;90;95;100;80;40;5;5;5;5;5;0;0;180;0;105;410;5;0;0;0;5
147;29 Auto- en aanhangwagenindustrie;2008, 1 januari;715;210;80;95;100;85;80;30;5;5;5;10;5;0;0;180;0;100;420;0;0;0;0;5
148;29 Auto- en aanhangwagenindustrie;2009, 1 januari;745;240;85;75;105;90;85;40;10;5;5;10;5;0;0;200;0;105;435;0;0;0;0;5
149;29 Auto- en aanhangwagenindustrie;2010, 1 januari;730;245;85;70;95;85;80;35;10;5;5;10;5;0;0;205;0;90;425;0;0;0;0;5
150;30 Overige transportmiddelenindustrie;2006, 1 januari;1005;400;200;110;110;80;50;30;10;5;0;15;0;0;0;405;5;170;420;0;0;0;0;5
151;30 Overige transportmiddelenindustrie;2007, 1 januari;1050;445;165;130;110;85;60;25;10;5;0;10;0;0;0;425;0;180;435;0;0;0;0;5
152;30 Overige transportmiddelenindustrie;2008, 1 januari;1100;515;170;115;115;70;60;20;10;5;5;10;0;0;0;460;0;180;455;5;0;0;0;0
153;30 Overige transportmiddelenindustrie;2009, 1 januari;1180;560;185;125;115;80;70;25;10;5;5;10;0;0;0;500;5;190;485;0;0;5;0;0
154;30 Overige transportmiddelenindustrie;2010, 1 januari;1205;570;195;120;115;75;70;30;10;5;5;15;0;0;0;520;5;195;480;5;0;5;0;0
155;31 Meubelindustrie;2006, 1 januari;4065;2230;740;340;310;210;175;40;15;5;5;5;0;0;0;2500;5;650;905;0;5;0;0;5
156;31 Meubelindustrie;2007, 1 januari;4360;2535;605;375;375;220;180;45;15;0;0;10;0;0;0;2750;5;680;910;0;0;0;0;5
157;31 Meubelindustrie;2008, 1 januari;4625;2870;610;345;355;205;175;35;10;5;5;5;0;0;0;2950;5;685;980;0;5;0;0;10
158;31 Meubelindustrie;2009, 1 januari;5015;3165;655;385;340;240;165;45;15;5;0;5;0;0;0;3265;5;730;1005;0;5;0;0;10
159;31 Meubelindustrie;2010, 1 januari;5060;3265;645;375;320;225;155;45;10;5;0;5;0;0;0;3350;5;700;990;0;5;0;0;10
160;32 Overige industrie;2006, 1 januari;3220;1460;715;340;275;175;105;30;10;5;5;25;40;25;10;1575;30;655;830;20;0;30;70;15
161;32 Overige industrie;2007, 1 januari;3330;1595;600;360;315;200;110;30;10;10;10;30;35;25;10;1665;25;660;855;15;0;20;70;15
162;32 Overige industrie;2008, 1 januari;3390;1735;605;355;285;185;85;20;10;10;5;35;30;20;5;1715;20;640;895;15;0;15;70;15
163;32 Overige industrie;2009, 1 januari;3485;1790;600;385;275;195;95;30;10;5;5;25;35;20;10;1755;20;675;925;10;0;15;75;10
164;32 Overige industrie;2010, 1 januari;3520;1840;615;380;270;190;95;30;15;5;5;25;35;20;10;1785;15;655;945;10;0;20;75;10
165;33 Reparatie en installatie van machines;2006, 1 januari;3075;1265;555;340;350;250;210;55;20;5;10;10;5;0;0;1320;5;515;1205;5;0;5;0;20
166;33 Reparatie en installatie van machines;2007, 1 januari;3230;1460;405;375;405;265;205;65;20;10;10;10;5;0;0;1470;5;520;1210;5;0;5;0;20
167;33 Reparatie en installatie van machines;2008, 1 januari;3280;1610;410;350;370;250;185;50;20;10;5;10;5;0;0;1540;0;490;1220;5;0;5;0;20
168;33 Reparatie en installatie van machines;2009, 1 januari;3415;1730;440;315;375;265;175;65;20;10;10;10;5;0;0;1665;0;505;1225;5;0;5;0;15
169;33 Reparatie en installatie van machines;2010, 1 januari;3435;1770;450;310;370;260;165;60;20;10;5;10;5;0;5;1695;0;490;1225;0;0;5;0;15
170;D Energievoorziening;2006, 1 januari;485;225;155;40;15;5;15;5;5;5;5;5;5;0;0;85;65;105;180;15;10;10;0;15
171;D Energievoorziening;2007, 1 januari;525;260;135;55;20;10;10;10;5;5;5;5;5;0;0;80;60;100;225;20;10;15;0;15
172;D Energievoorziening;2008, 1 januari;560;280;140;50;20;10;15;10;5;5;0;5;5;5;0;70;70;105;250;15;15;15;0;20
173;D Energievoorziening;2009, 1 januari;685;370;160;60;30;15;20;10;5;5;5;5;5;5;0;80;80;110;355;15;15;15;0;15
174;D Energievoorziening;2010, 1 januari;680;350;165;60;35;15;20;5;5;5;5;5;5;5;0;75;80;115;350;10;15;15;0;15
175;35 Energiebedrijven;2006, 1 januari;485;225;155;40;15;5;15;5;5;5;5;5;5;0;0;85;65;105;180;15;10;10;0;15
176;35 Energiebedrijven;2007, 1 januari;525;260;135;55;20;10;10;10;5;5;5;5;5;0;0;80;60;100;225;20;10;15;0;15
