ID;RechtskundigeDiensten;Grootteklasse;AantalOndernemingen_1;TotaalNettoOmzet_2;DeurwaardersActiviteiten_3;NotarieleAktenOpmaken_4;AdvocatuurActiviteiten_5;RechtskundigAdviesEnInformatie_6;OverigeRechtskundigeDiensten_7;Incassodiensten_8;OverigeActiviteiten_9;Totaal_10;BrutoLonenEnSalarissen_11;SocialeLasten_12;Pensioenlasten_13;BetalingenDerdenVoorArbeidskrachten_14;OverigePersoneelskosten_15;Totaal_16;HuisvestingsEnInventariskosten_17;Autokosten_18;Reclamekosten_19;ReisVerblijfsEnRepresentatiekosten_20;TelefoonFaxEnPortokosten_21;OverigeAlgemeneKosten_22;Afschrijvingen_23;Bedrijfsresultaat_24;Totaal_25;Rentelasten_26;ToevoegingAanVoorzieningen_27;BuitengewoneLasten_28;Totaal_29;Rentebaten_30;OnttrekkingAanVoorzieningen_31;BuitengewoneBaten_32;ResultaatVoorBelasting_33;Totaal_34;GrondEnBedrijfsruimten_35;Vervoermiddelen_36;ComputersEnComputerprogrammatuur_37;Overige_38;Totaal_39;WerknemersOpDeLoonlijst_40;EigenarenMaten_41;MeewerkendeGezinsleden_42;FreeLancers_43;Uitzendkrachten_44;Totaal_45;Totaal_46;Advocaten_47;Stagiaires_48;Notarissen_49;KandidaatNotarissen_50;UniversitaireMedewerkers_51;NietUniversitJuridischMedewerkers_52;KandidaatGerechtsdeurwaarders_53;Octrooigemachtigden_54;Totaal_55;UniversitairGekwalificeerd_56;OverigeJuridischMedewerkers_57;OverigeWerkzamePersonen_58
13;3;4;410.0;495.7;;468.3;;8.6;11.3;;7.3;200.5;170.9;9.6;7.3;3.9;8.8;84.7;21.6;4.0;1.7;4.2;9.9;43.2;18.5;192.1;9.6;5.3;0.9;3.4;11.8;9.4;0.3;2.0;194.3;0.0;6.8;2.8;5.3;4.6;7203.0;6198.0;802.0;65.0;19.0;119.0;7203.0;1897.0;0.0;0.0;821.0;1076.0;0.0;0.0;0.0;0.0;5306.0;159.0;1025.0;4122.0
14;3;5;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;4;1;208.0;121.1;62.6;;;1.8;;46.7;9.5;56.7;47.8;2.9;1.5;1.9;2.6;26.7;5.2;2.9;0.9;1.0;3.2;13.5;7.7;30.0;1.3;0.9;0.1;0.3;3.3;2.6;0.0;0.8;32.1;7.3;1.6;1.8;2.3;1.7;2532.0;2163.0;294.0;28.0;21.0;26.0;2532.0;510.0;0.0;0.0;0.0;0.0;0.0;0.0;510.0;0.0;2021.0;115.0;270.0;1636.0
16;4;2;30.0;4.6;2.7;;;0.0;;0.9;0.9;1.1;0.8;0.1;0.1;0.1;0.0;1.5;0.4;0.2;0.0;0.1;0.1;0.7;0.1;1.9;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8;0.3;0.0;0.0;0.1;0.2;91.0;60.0;23.0;0.0;0.0;8.0;91.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;0.0;53.0;0.0;0.0;53.0
17;4;3;92.0;35.6;19.5;;;0.5;;11.8;3.2;16.0;13.4;0.8;0.7;0.3;0.7;8.4;1.3;1.0;0.2;0.2;0.8;4.8;2.3;8.9;0.3;0.3;0.0;0.0;0.8;0.5;0.0;0.3;9.4;2.2;0.6;0.6;0.7;0.3;720.0;600.0;100.0;8.0;12.0;0.0;720.0;188.0;0.0;0.0;0.0;0.0;0.0;0.0;188.0;0.0;532.0;16.0;32.0;484.0
18;4;4;86.0;81.0;39.9;;;1.4;;34.0;5.4;39.7;33.5;2.0;0.8;1.5;1.9;16.9;3.5;1.7;0.7;0.8;2.3;8.0;5.3;19.2;0.8;0.5;0.1;0.3;2.5;2.0;0.0;0.5;20.9;4.8;1.0;1.2;1.4;1.2;1721.0;1503.0;171.0;20.0;9.0;18.0;1721.0;284.0;0.0;0.0;0.0;0.0;0.0;0.0;284.0;0.0;1437.0;100.0;238.0;1099.0
19;4;5;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;5;1;53.0;72.8;;;;;;;;30.6;21.2;1.3;1.7;5.0;1.5;15.6;3.1;0.6;1.1;1.2;1.1;8.5;2.6;24.1;1.9;1.1;0.3;0.6;0.7;0.6;0.0;0.1;22.9;2.4;0.3;0.2;1.4;0.5;816.0;628.0;99.0;11.0;72.0;6.0;816.0;211.0;;;0.0;0.0;0.0;0.0;0.0;211.0;605.0;55.0;12.0;538.0
21;5;2;34.0;3.1;;;;;;;;1.2;0.7;0.0;0.3;0.1;0.0;0.9;0.2;0.1;0.1;0.1;0.1;0.4;0.1;0.9;0.1;0.0;0.0;0.0;0.1;0.1;0.0;0.0;1.0;0.2;0.1;0.0;0.1;0.0;65.0;19.0;34.0;6.0;6.0;0.0;65.0;41.0;;;0.0;0.0;0.0;0.0;0.0;41.0;24.0;11.0;3.0;10.0
22;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;5;4;19.0;69.7;;;;;;;;29.4;20.5;1.2;1.4;4.8;1.5;14.7;2.9;0.5;1.0;1.1;1.0;8.1;2.4;23.1;1.8;1.1;0.3;0.5;0.6;0.5;0.0;0.1;21.9;2.2;0.2;0.2;1.3;0.5;751.0;609.0;65.0;5.0;66.0;6.0;751.0;170.0;;;0.0;0.0;0.0;0.0;0.0;170.0;581.0;44.0;9.0;528.0
24;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
