ID;BedrijfsactiviteitenSBI93;Grootteklassen;Perioden;TotaalMilieuInvesteringen_1;CompartimentWater_2;CompartimentLucht_3;CompartimentBodem_4;CompartimentAfval_5;CompartimentGeluid_6;CompartimentLandschap_7;TotaalKosten_8;TotaalKapitaallasten_9;Afschrijvingen_10;Rente_11;LopendeKosten_12;OverigeKosten_13;TotaalKosten_14;Afschrijvingen_15;Rente_16;LopendeKosten_17;AfvoerWaterzuiveringsslib_18;TotaalKosten_19;Afschrijvingen_20;Rente_21;LopendeKosten_22;AfvoerAfvalLuchtzuiveringsinstallaties_23;TotaalKosten_24;Afschrijvingen_25;Rente_26;LopendeKosten_27;Bodemsanering_28;TotaalKosten_29;Afschrijvingen_30;Rente_31;LopendeKosten_32;TotaalKosten_33;Afschrijvingen_34;Rente_35;LopendeKosten_36;TotaalKosten_37;Afschrijvingen_38;Rente_39;LopendeKosten_40;TotaalKosten_41;EigenMilieuonderzoek_42;PersoneelskostenEigenMilieucoordinatie_43;ArbeidEigenPersoneelMilieucoordinatie_44;TotaalMilieuheffingenEnLeges_45;WVOHeffing_46;Rioolrecht_47;HeffingGrondwateronttrekking_48;LegesMilieuvergunningen_49;TotaalAfvoerVanAfvalstoffen_50;GevaarlijkAfval_51;OverigVastAfval_52;TotaalUitbestedeMilieuactiviteiten_53;WaterzuiveringDoorParticulieren_54;SchadebetalingenEnMilieuboeten_55;MilieuonderzoekDoorDerden_56;MilieucoordinatieDoorDerden_57;OntvangenOverdrachten_58;TotaalNettoMilieulasten_59;CompartimentWater_60;CompartimentLucht_61;CompartimentBodem_62;CompartimentAfval_63;CompartimentGeluid_64;CompartimentLandschap_65;CompartimentAlgemeen_66
30;1000x Winning, industrie (geen sociale..;50 tot 200 werknemers;2003;56.0;10.0;32.0;5.0;5.0;4.0;0.0;317.0;158.0;115.0;44.0;116.0;43.0;79.0;28.0;10.0;34.0;7.0;131.0;55.0;18.0;56.0;3.0;30.0;11.0;7.0;9.0;3.0;24.0;10.0;4.0;10.0;13.0;7.0;3.0;3.0;10.0;4.0;2.0;4.0;30.0;12.0;18.0;297.0;35.0;29.0;4.0;2.0;0.0;102.0;27.0;75.0;13.0;5.0;0.0;4.0;4.0;14.0;454.0;114.0;123.0;29.0;124.0;13.0;12.0;39.0
31;1000x Winning, industrie (geen sociale..;50 tot 200 werknemers;2004;92.0;11.0;69.0;4.0;2.0;3.0;4.0;303.0;147.0;107.0;40.0;109.0;48.0;75.0;26.0;9.0;32.0;7.0;124.0;50.0;16.0;54.0;2.0;28.0;11.0;6.0;8.0;3.0;22.0;10.0;4.0;9.0;12.0;7.0;3.0;2.0;8.0;3.0;1.0;3.0;35.0;15.0;20.0;323.0;35.0;28.0;4.0;2.0;0.0;91.0;27.0;65.0;16.0;7.0;0.0;5.0;5.0;17.0;428.0;112.0;111.0;27.0;112.0;11.0;10.0;45.0
32;1000x Winning, industrie (geen sociale..;50 tot 200 werknemers;2005;49.0;11.0;29.0;4.0;2.0;2.0;0.0;302.0;145.0;106.0;40.0;110.0;47.0;74.0;26.0;9.0;32.0;7.0;122.0;49.0;16.0;55.0;2.0;29.0;11.0;6.0;8.0;4.0;22.0;10.0;4.0;9.0;12.0;7.0;3.0;2.0;8.0;3.0;1.0;3.0;34.0;15.0;19.0;313.0;38.0;31.0;4.0;2.0;0.0;88.0;28.0;60.0;15.0;7.0;0.0;4.0;4.0;23.0;420.0;114.0;103.0;29.0;109.0;12.0;10.0;42.0
33;1000x Winning, industrie (geen sociale..;50 tot 200 werknemers;2006;61.0;11.0;39.0;3.0;4.0;3.0;0.0;305.0;145.0;106.0;39.0;114.0;46.0;73.0;26.0;9.0;32.0;6.0;127.0;50.0;16.0;59.0;2.0;28.0;11.0;6.0;8.0;3.0;22.0;10.0;3.0;9.0;12.0;7.0;3.0;2.0;8.0;3.0;1.0;3.0;35.0;16.0;19.0;324.0;38.0;32.0;5.0;2.0;0.0;98.0;38.0;60.0;25.0;16.0;0.0;4.0;4.0;31.0;435.0;124.0;100.0;28.0;119.0;12.0;10.0;44.0
34;1000x Winning, industrie (geen sociale..;50 tot 200 werknemers;2007;67.0;10.0;46.0;4.0;4.0;3.0;0.0;318.0;153.0;112.0;41.0;117.0;47.0;76.0;27.0;9.0;33.0;7.0;130.0;53.0;17.0;59.0;2.0;33.0;13.0;7.0;9.0;4.0;23.0;10.0;3.0;9.0;13.0;7.0;3.0;3.0;8.0;3.0;2.0;4.0;35.0;15.0;20.0;311.0;38.0;32.0;5.0;1.0;0.0;88.0;24.0;64.0;26.0;18.0;0.0;4.0;4.0;36.0;434.0;130.0;97.0;32.0;109.0;13.0;10.0;43.0
35;1000x Winning, industrie (geen sociale..;50 tot 200 werknemers;2008;130.0;14.0;85.0;3.0;26.0;2.0;0.0;305.0;151.0;110.0;40.0;107.0;47.0;77.0;26.0;9.0;34.0;8.0;120.0;53.0;17.0;48.0;1.0;33.0;13.0;7.0;9.0;5.0;22.0;10.0;3.0;9.0;13.0;7.0;3.0;3.0;7.0;3.0;1.0;4.0;33.0;14.0;19.0;288.0;41.0;34.0;5.0;2.0;0.0;115.0;50.0;65.0;17.0;8.0;0.0;4.0;5.0;43.0;435.0;123.0;80.0;33.0;136.0;12.0;9.0;42.0
36;1000x Winning, industrie (geen sociale..;200 en meer werknemers;1997;717.0;84.0;413.0;74.0;66.0;51.0;30.0;975.0;475.0;342.0;133.0;308.0;192.0;261.0;87.0;34.0;117.0;24.0;393.0;190.0;63.0;129.0;11.0;104.0;20.0;13.0;20.0;51.0;55.0;21.0;9.0;26.0;28.0;16.0;8.0;4.0;28.0;10.0;6.0;13.0;106.0;55.0;51.0;891.0;78.0;65.0;8.0;0.0;5.0;144.0;64.0;80.0;34.0;6.0;7.0;12.0;10.0;31.0;1201.0;325.0;381.0;103.0;196.0;28.0;28.0;139.0
37;1000x Winning, industrie (geen sociale..;200 en meer werknemers;1998;421.0;56.0;249.0;46.0;45.0;23.0;3.0;1049.0;498.0;358.0;139.0;388.0;164.0;259.0;87.0;32.0;116.0;24.0;477.0;197.0;68.0;201.0;11.0;103.0;22.0;15.0;23.0;43.0;62.0;24.0;10.0;29.0;32.0;18.0;8.0;6.0;30.0;10.0;6.0;13.0;86.0;34.0;52.0;919.0;78.0;61.0;8.0;6.0;2.0;147.0;59.0;88.0;32.0;4.0;6.0;12.0;10.0;30.0;1277.0;320.0;465.0;102.0;206.0;32.0;30.0;116.0
38;1000x Winning, industrie (geen sociale..;200 en meer werknemers;1999;382.0;71.0;183.0;44.0;56.0;23.0;5.0;1067.0;499.0;361.0;138.0;399.0;170.0;250.0;86.0;31.0;110.0;22.0;487.0;195.0;66.0;214.0;11.0;97.0;24.0;16.0;24.0;33.0;66.0;25.0;11.0;30.0;33.0;18.0;8.0;6.0;31.0;11.0;6.0;14.0;103.0;45.0;58.0;947.0;87.0;68.0;8.0;10.0;2.0;154.0;62.0;92.0;53.0;21.0;6.0;13.0;12.0;28.0;1334.0;335.0;476.0;97.0;217.0;32.0;41.0;136.0
39;1000x Winning, industrie (geen sociale..;200 en meer werknemers;2000;327.0;54.0;197.0;28.0;31.0;14.0;2.0;1061.0;495.0;358.0;136.0;416.0;151.0;246.0;82.0;30.0;110.0;24.0;496.0;195.0;65.0;226.0;11.0;94.0;26.0;17.0;25.0;26.0;70.0;26.0;11.0;32.0;34.0;18.0;8.0;8.0;32.0;11.0;6.0;15.0;90.0;35.0;55.0;856.0;89.0;70.0;9.0;10.0;0.0;182.0;72.0;110.0;51.0;16.0;10.0;15.0;11.0;27.0;1358.0;331.0;485.0;93.0;248.0;34.0;42.0;125.0
40;1000x Winning, industrie (geen sociale..;200 en meer werknemers;2001;321.0;66.0;161.0;43.0;19.0;30.0;1.0;1087.0;493.0;358.0;135.0;414.0;179.0;235.0;77.0;29.0;102.0;27.0;514.0;198.0;64.0;231.0;21.0;110.0;27.0;17.0;26.0;40.0;70.0;26.0;11.0;33.0;36.0;19.0;8.0;8.0;31.0;11.0;6.0;15.0;91.0;34.0;57.0;862.0;88.0;67.0;8.0;12.0;0.0;192.0;75.0;117.0;42.0;13.0;4.0;14.0;12.0;26.0;1381.0;314.0;501.0;109.0;259.0;35.0;43.0;121.0
