ID;UltimateControllingInstituteUCI;EnterpriseCharacteristics;Periods;Enterprises_1;Men_2;Women_3;YoungerThan50Years_4;k_50YearsOrOlder_5;DutchBackground_6;ForeignBackground_7;NumberOfJobs_8;AverageNumberOfJobsPerEnterprise_9;LabourTurnover_10;AverageAnnualWages_11;HighPaidEmployees_12;LowPaidEmployees_13
64;99002;1;2007;60;78;22;73;27;79;21;4;75;21;61;51;5
65;99002;1;2008;70;77;23;73;27;80;20;5;75;21;62;51;5
66;99002;2;2006;110;76;24;77;23;77;23;24;225;17;49;44;5
67;99002;2;2007;110;76;24;76;24;76;24;25;232;16;53;45;4
68;99002;2;2008;120;76;24;75;25;76;24;26;226;15;52;43;4
69;99002;3;2006;155;71;29;76;24;82;18;23;151;27;46;38;6
70;99002;3;2007;150;71;29;75;25;80;20;22;148;24;48;39;6
71;99002;3;2008;180;69;31;72;28;81;19;28;158;23;49;38;8
72;99002;4;2006;310;79;21;76;24;79;21;45;144;13;52;53;4
73;99002;4;2007;310;79;21;74;26;79;21;44;144;13;54;53;4
74;99002;4;2008;340;77;23;74;26;79;21;53;157;13;57;54;3
75;99002;5;2006;110;90;10;74;26;80;20;14;128;13;39;26;4
76;99002;5;2007;100;90;10;73;27;79;21;13;131;13;41;27;4
77;99002;5;2008;120;90;10;71;29;78;22;16;129;12;43;29;3
78;99002;6;2006;250;87;13;75;25;81;19;24;95;14;42;33;5
79;99002;6;2007;225;87;13;74;26;80;20;24;106;15;43;34;5
80;99002;6;2008;260;87;13;74;26;80;20;26;101;15;45;34;5
81;99002;7;2006;390;88;12;71;29;78;22;73;189;13;46;44;4
82;99002;7;2007;400;88;12;69;31;78;22;77;194;12;49;46;4
83;99002;7;2008;450;87;13;69;31;77;23;78;174;13;49;44;4
84;99002;8;2006;120;89;11;76;24;81;19;17;142;19;43;38;4
85;99002;8;2007;110;88;12;75;25;81;19;16;146;18;45;39;4
86;99002;8;2008;140;89;11;75;25;81;19;18;130;17;48;44;4
87;99002;10;2006;2555;57;43;85;15;78;22;191;75;27;45;30;26
88;99002;10;2007;2480;56;44;84;16;77;23;199;80;30;46;29;26
89;99002;10;2008;2800;54;46;84;16;76;24;245;87;33;46;26;30
90;99002;11;2006;70;40;60;82;18;67;33;32;467;42;28;5;46
91;99002;11;2007;60;39;61;80;20;67;33;31;519;46;30;6;46
92;99002;11;2008;90;41;59;80;20;65;35;35;402;51;29;5;47
93;99002;12;2006;505;68;32;81;19;74;26;102;202;19;46;31;10
94;99002;12;2007;470;69;31;79;21;73;27;90;192;23;46;31;10
95;99002;12;2008;570;68;32;74;26;73;27;122;213;22;47;27;15
96;99002;13;2006;545;59;41;81;19;78;22;39;71;15;62;56;4
97;99002;13;2007;510;58;42;78;22;76;24;32;62;18;66;56;6
98;99002;13;2008;680;58;42;78;22;77;23;75;110;17;72;61;3
99;99002;14;2006;1270;63;37;84;16;69;31;180;141;58;48;32;29
100;99002;14;2007;1325;62;38;84;16;65;35;187;141;75;48;30;29
101;99002;14;2008;1720;64;36;84;16;64;36;206;120;74;50;32;25
102;99002;15;2006;160;58;42;84;16;77;23;16;102;43;40;21;21
103;99002;15;2007;155;59;41;83;17;77;23;16;106;42;43;22;21
104;99002;15;2008;180;58;42;82;18;76;24;17;96;43;43;20;22
105;99002;20030;2006;1285;70;30;76;24;73;27;10;8;25;55;50;16
106;99002;20030;2007;1130;66;34;77;23;69;31;9;8;27;57;46;16
107;99002;20030;2008;1730;66;34;77;23;66;34;8;5;32;62;44;15
108;99002;10200;2006;810;67;33;81;19;74;26;8;9;29;53;40;13
109;99002;10200;2007;760;70;30;80;20;72;28;7;9;33;56;42;11
110;99002;10200;2008;940;69;31;79;21;73;27;9;9;26;60;46;9
111;99002;10280;2006;1005;68;32;82;18;76;24;15;15;28;52;41;12
112;99002;10280;2007;955;69;31;81;19;77;23;14;14;30;54;42;11
113;99002;10280;2008;1210;70;30;82;18;75;25;20;16;30;58;43;10
114;99002;10340;2006;1335;67;33;81;19;78;22;51;38;33;49;35;22
115;99002;10340;2007;1280;71;29;81;19;75;25;40;31;32;53;41;10
116;99002;10340;2008;1475;71;29;81;19;75;25;53;36;27;53;39;10
117;99002;10400;2006;805;72;28;82;18;76;24;57;71;25;49;39;9
118;99002;10400;2007;850;73;27;81;19;77;23;57;68;24;50;39;8
119;99002;10400;2008;910;71;29;81;19;74;26;71;78;27;51;37;9
120;99002;16;2006;795;73;27;81;19;74;26;128;160;23;46;36;10
121;99002;16;2007;870;73;27;79;21;74;26;130;149;25;49;37;9
122;99002;16;2008;820;72;28;80;20;72;28;133;162;29;50;36;10
123;99002;17;2006;570;65;35;81;19;75;25;516;909;32;45;33;21
124;99002;17;2007;610;64;36;79;21;73;27;524;861;41;46;31;23
125;99002;17;2008;630;63;37;78;22;74;26;657;1041;39;49;32;23
