ID;AantalVoorzieningen;RegioS;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzeWijken_4;ClientenMetVoorzieningen_5;HuishoudensMetVoorzieningen_6;ClientenMetVoorzieningen_7;HuishoudensMetVoorzieningen_8
38;Totaal;Wijk 00 Stad;2015;                                        ;         ;        ;;;;;
39;Totaal;Wijk 01 Land;1e halfjaar 2015;                                        ;         ;        ;;;;;
40;Totaal;Wijk 01 Land;2e halfjaar 2015;                                        ;         ;        ;;;;;
41;Totaal;Wijk 01 Land;2015;                                        ;         ;        ;;;;;
42;Totaal;Wijk 02;1e halfjaar 2015;                                        ;         ;        ;;;;;
43;Totaal;Wijk 02;2e halfjaar 2015;                                        ;         ;        ;;;;;
44;Totaal;Wijk 02;2015;                                        ;         ;        ;;;;;
45;Totaal;Wijk 03;1e halfjaar 2015;                                        ;         ;        ;;;;;
46;Totaal;Wijk 03;2e halfjaar 2015;                                        ;         ;        ;;;;;
47;Totaal;Wijk 03;2015;                                        ;         ;        ;;;;;
48;Totaal;Groningen;1e halfjaar 2015;                                        ;         ;        ;;;;;
49;Totaal;Groningen;2e halfjaar 2015;                                        ;         ;        ;;;;;
50;Totaal;Groningen;2015;                                        ;         ;        ;;;;;
51;Totaal;Centrum;1e halfjaar 2015;                                        ;         ;        ;;;;;
52;Totaal;Centrum;2e halfjaar 2015;                                        ;         ;        ;;;;;
53;Totaal;Centrum;2015;                                        ;         ;        ;;;;;
54;Totaal;Oud-Zuid;1e halfjaar 2015;                                        ;         ;        ;;;;;
55;Totaal;Oud-Zuid;2e halfjaar 2015;                                        ;         ;        ;;;;;
56;Totaal;Oud-Zuid;2015;                                        ;         ;        ;;;;;
57;Totaal;Oud-West;1e halfjaar 2015;                                        ;         ;        ;;;;;
58;Totaal;Oud-West;2e halfjaar 2015;                                        ;         ;        ;;;;;
59;Totaal;Oud-West;2015;                                        ;         ;        ;;;;;
60;Totaal;Oud-Noord;1e halfjaar 2015;                                        ;         ;        ;;;;;
61;Totaal;Oud-Noord;2e halfjaar 2015;                                        ;         ;        ;;;;;
62;Totaal;Oud-Noord;2015;                                        ;         ;        ;;;;;
63;Totaal;Oosterparkwijk;1e halfjaar 2015;                                        ;         ;        ;;;;;
64;Totaal;Oosterparkwijk;2e halfjaar 2015;                                        ;         ;        ;;;;;
65;Totaal;Oosterparkwijk;2015;                                        ;         ;        ;;;;;
66;Totaal;Zuidoost;1e halfjaar 2015;                                        ;         ;        ;;;;;
67;Totaal;Zuidoost;2e halfjaar 2015;                                        ;         ;        ;;;;;
68;Totaal;Zuidoost;2015;                                        ;         ;        ;;;;;
69;Totaal;Helpman e.o.;1e halfjaar 2015;                                        ;         ;        ;;;;;
70;Totaal;Helpman e.o.;2e halfjaar 2015;                                        ;         ;        ;;;;;
71;Totaal;Helpman e.o.;2015;                                        ;         ;        ;;;;;
72;Totaal;Zuidwest;1e halfjaar 2015;                                        ;         ;        ;;;;;
73;Totaal;Zuidwest;2e halfjaar 2015;                                        ;         ;        ;;;;;
74;Totaal;Zuidwest;2015;                                        ;         ;        ;;;;;
75;Totaal;Hoogkerk e.o.;1e halfjaar 2015;                                        ;         ;        ;;;;;
76;Totaal;Hoogkerk e.o.;2e halfjaar 2015;                                        ;         ;        ;;;;;
77;Totaal;Hoogkerk e.o.;2015;                                        ;         ;        ;;;;;
78;Totaal;Nieuw-West;1e halfjaar 2015;                                        ;         ;        ;;;;;
79;Totaal;Nieuw-West;2e halfjaar 2015;                                        ;         ;        ;;;;;
80;Totaal;Nieuw-West;2015;                                        ;         ;        ;;;;;
81;Totaal;Noordwest;1e halfjaar 2015;                                        ;         ;        ;;;;;
82;Totaal;Noordwest;2e halfjaar 2015;                                        ;         ;        ;;;;;
83;Totaal;Noordwest;2015;                                        ;         ;        ;;;;;
84;Totaal;Noordoost;1e halfjaar 2015;                                        ;         ;        ;;;;;
85;Totaal;Noordoost;2e halfjaar 2015;                                        ;         ;        ;;;;;
86;Totaal;Noordoost;2015;                                        ;         ;        ;;;;;
87;Totaal;Noorddijk e.o.;1e halfjaar 2015;                                        ;         ;        ;;;;;
88;Totaal;Noorddijk e.o.;2e halfjaar 2015;                                        ;         ;        ;;;;;
89;Totaal;Noorddijk e.o.;2015;                                        ;         ;        ;;;;;
90;Totaal;Meerdorpen;1e halfjaar 2015;                                        ;         ;        ;;;;;
91;Totaal;Meerdorpen;2e halfjaar 2015;                                        ;         ;        ;;;;;
92;Totaal;Meerdorpen;2015;                                        ;         ;        ;;;;;
93;Totaal;Grootegast;1e halfjaar 2015;Grootegast                              ;Gemeente ;GM0015  ;;935.0;805.0;75.0;165.0
94;Totaal;Grootegast;2e halfjaar 2015;Grootegast                              ;Gemeente ;GM0015  ;;930.0;800.0;75.0;160.0
95;Totaal;Grootegast;2015;Grootegast                              ;Gemeente ;GM0015  ;;1035.0;880.0;85.0;175.0
96;Totaal;Wijk 00 Grootegast;1e halfjaar 2015;Grootegast                              ;Wijk     ;WK001500;1.0;485.0;405.0;90.0;185.0
97;Totaal;Wijk 00 Grootegast;2e halfjaar 2015;Grootegast                              ;Wijk     ;WK001500;1.0;475.0;405.0;90.0;180.0
98;Totaal;Wijk 00 Grootegast;2015;Grootegast                              ;Wijk     ;WK001500;1.0;540.0;455.0;100.0;205.0
99;Totaal;Wijk 01 Lutjegast;1e halfjaar 2015;Grootegast                              ;Wijk     ;WK001501;1.0;70.0;60.0;65.0;140.0
100;Totaal;Wijk 01 Lutjegast;2e halfjaar 2015;Grootegast                              ;Wijk     ;WK001501;1.0;70.0;55.0;60.0;130.0
101;Totaal;Wijk 01 Lutjegast;2015;Grootegast                              ;Wijk     ;WK001501;1.0;70.0;60.0;65.0;140.0
102;Totaal;Wijk 02 Opende;1e halfjaar 2015;Grootegast                              ;Wijk     ;WK001502;1.0;190.0;165.0;65.0;145.0
103;Totaal;Wijk 02 Opende;2e halfjaar 2015;Grootegast                              ;Wijk     ;WK001502;1.0;190.0;165.0;65.0;145.0
104;Totaal;Wijk 02 Opende;2015;Grootegast                              ;Wijk     ;WK001502;1.0;210.0;180.0;75.0;160.0
105;Totaal;Wijk 03 Oldekerk;1e halfjaar 2015;Grootegast                              ;Wijk     ;WK001503;1.0;190.0;170.0;65.0;150.0
106;Totaal;Wijk 03 Oldekerk;2e halfjaar 2015;Grootegast                              ;Wijk     ;WK001503;1.0;195.0;175.0;70.0;150.0
107;Totaal;Wijk 03 Oldekerk;2015;Grootegast                              ;Wijk     ;WK001503;1.0;215.0;185.0;75.0;160.0
108;Totaal;Haren;1e halfjaar 2015;                                        ;         ;        ;;;;;
109;Totaal;Haren;2e halfjaar 2015;                                        ;         ;        ;;;;;
110;Totaal;Haren;2015;                                        ;         ;        ;;;;;
111;Totaal;Wijk 00 Centrum;1e halfjaar 2015;                                        ;         ;        ;;;;;
112;Totaal;Wijk 00 Centrum;2e halfjaar 2015;                                        ;         ;        ;;;;;
113;Totaal;Wijk 00 Centrum;2015;                                        ;         ;        ;;;;;
114;Totaal;Wijk 01 Land;1e halfjaar 2015;                                        ;         ;        ;;;;;
115;Totaal;Wijk 01 Land;2e halfjaar 2015;                                        ;         ;        ;;;;;
116;Totaal;Wijk 01 Land;2015;                                        ;         ;        ;;;;;
117;Totaal;Hoogezand-Sappemeer;1e halfjaar 2015;                                        ;         ;        ;;;;;
118;Totaal;Hoogezand-Sappemeer;2e halfjaar 2015;                                        ;         ;        ;;;;;
119;Totaal;Hoogezand-Sappemeer;2015;                                        ;         ;        ;;;;;
120;Totaal;Wijk 01 Foxham en Hoogezand-Noord;1e halfjaar 2015;                                        ;         ;        ;;;;;
121;Totaal;Wijk 01 Foxham en Hoogezand-Noord;2e halfjaar 2015;                                        ;         ;        ;;;;;
122;Totaal;Wijk 01 Foxham en Hoogezand-Noord;2015;                                        ;         ;        ;;;;;
123;Totaal;Wijk 02 Hoogezand-Zuid;1e halfjaar 2015;                                        ;         ;        ;;;;;
124;Totaal;Wijk 02 Hoogezand-Zuid;2e halfjaar 2015;                                        ;         ;        ;;;;;
125;Totaal;Wijk 02 Hoogezand-Zuid;2015;                                        ;         ;        ;;;;;
126;Totaal;Wijk 03 Kalkwijk;1e halfjaar 2015;                                        ;         ;        ;;;;;
127;Totaal;Wijk 03 Kalkwijk;2e halfjaar 2015;                                        ;         ;        ;;;;;
128;Totaal;Wijk 03 Kalkwijk;2015;                                        ;         ;        ;;;;;
129;Totaal;Wijk 05 Kiel-Windeweer;1e halfjaar 2015;                                        ;         ;        ;;;;;
130;Totaal;Wijk 05 Kiel-Windeweer;2e halfjaar 2015;                                        ;         ;        ;;;;;
131;Totaal;Wijk 05 Kiel-Windeweer;2015;                                        ;         ;        ;;;;;
132;Totaal;Wijk 06 Kropswolde;1e halfjaar 2015;                                        ;         ;        ;;;;;
133;Totaal;Wijk 06 Kropswolde;2e halfjaar 2015;                                        ;         ;        ;;;;;
134;Totaal;Wijk 06 Kropswolde;2015;                                        ;         ;        ;;;;;
135;Totaal;Wijk 07 Foxhol;1e halfjaar 2015;                                        ;         ;        ;;;;;
136;Totaal;Wijk 07 Foxhol;2e halfjaar 2015;                                        ;         ;        ;;;;;
137;Totaal;Wijk 07 Foxhol;2015;                                        ;         ;        ;;;;;
138;Totaal;Wijk 08 Westerbroek;1e halfjaar 2015;                                        ;         ;        ;;;;;
139;Totaal;Wijk 08 Westerbroek;2e halfjaar 2015;                                        ;         ;        ;;;;;
140;Totaal;Wijk 08 Westerbroek;2015;                                        ;         ;        ;;;;;
141;Totaal;Wijk 09 Waterhuizen;1e halfjaar 2015;                                        ;         ;        ;;;;;
142;Totaal;Wijk 09 Waterhuizen;2e halfjaar 2015;                                        ;         ;        ;;;;;
143;Totaal;Wijk 09 Waterhuizen;2015;                                        ;         ;        ;;;;;
144;Totaal;Wijk 11 Sappemeer;1e halfjaar 2015;                                        ;         ;        ;;;;;
145;Totaal;Wijk 11 Sappemeer;2e halfjaar 2015;                                        ;         ;        ;;;;;
146;Totaal;Wijk 11 Sappemeer;2015;                                        ;         ;        ;;;;;
147;Totaal;Leek;1e halfjaar 2015;Leek                                    ;Gemeente ;GM0022  ;;2295.0;1950.0;115.0;225.0
148;Totaal;Leek;2e halfjaar 2015;Leek                                    ;Gemeente ;GM0022  ;;2325.0;1970.0;120.0;230.0
149;Totaal;Leek;2015;Leek                                    ;Gemeente ;GM0022  ;;2460.0;2050.0;125.0;235.0
150;Totaal;Wijk 00 Leek;1e halfjaar 2015;Leek                                    ;Wijk     ;WK002200;1.0;1410.0;1195.0;130.0;250.0
151;Totaal;Wijk 00 Leek;2e halfjaar 2015;Leek                                    ;Wijk     ;WK002200;1.0;1420.0;1195.0;130.0;250.0
152;Totaal;Wijk 00 Leek;2015;Leek                                    ;Wijk     ;WK002200;1.0;1505.0;1245.0;140.0;255.0
153;Totaal;Wijk 01 Zevenhuizen;1e halfjaar 2015;Leek                                    ;Wijk     ;WK002201;1.0;205.0;180.0;75.0;160.0
154;Totaal;Wijk 01 Zevenhuizen;2e halfjaar 2015;Leek                                    ;Wijk     ;WK002201;1.0;210.0;190.0;75.0;170.0
155;Totaal;Wijk 01 Zevenhuizen;2015;Leek                                    ;Wijk     ;WK002201;1.0;225.0;195.0;80.0;175.0
156;Totaal;Wijk 02 Tolbert;1e halfjaar 2015;Leek                                    ;Wijk     ;WK002202;1.0;590.0;505.0;130.0;245.0
157;Totaal;Wijk 02 Tolbert;2e halfjaar 2015;Leek                                    ;Wijk     ;WK002202;1.0;595.0;505.0;130.0;250.0
158;Totaal;Wijk 02 Tolbert;2015;Leek                                    ;Wijk     ;WK002202;1.0;620.0;525.0;135.0;255.0
159;Totaal;Wijk 04 Midwolde;1e halfjaar 2015;Leek                                    ;Wijk     ;WK002204;1.0;15.0;10.0;35.0;65.0
160;Totaal;Wijk 04 Midwolde;2e halfjaar 2015;Leek                                    ;Wijk     ;WK002204;1.0;20.0;15.0;45.0;95.0
161;Totaal;Wijk 04 Midwolde;2015;Leek                                    ;Wijk     ;WK002204;1.0;20.0;15.0;50.0;100.0
162;Totaal;Wijk 05 Lettelbert;1e halfjaar 2015;Leek                                    ;Wijk     ;WK002205;1.0;10.0;10.0;40.0;100.0
163;Totaal;Wijk 05 Lettelbert;2e halfjaar 2015;Leek                                    ;Wijk     ;WK002205;1.0;10.0;10.0;55.0;110.0
164;Totaal;Wijk 05 Lettelbert;2015;Leek                                    ;Wijk     ;WK002205;1.0;10.0;10.0;60.0;125.0
165;Totaal;Wijk 06 Oostwold;1e halfjaar 2015;Leek                                    ;Wijk     ;WK002206;1.0;35.0;35.0;55.0;120.0
166;Totaal;Wijk 06 Oostwold;2e halfjaar 2015;Leek                                    ;Wijk     ;WK002206;1.0;40.0;35.0;65.0;125.0
167;Totaal;Wijk 06 Oostwold;2015;Leek                                    ;Wijk     ;WK002206;1.0;45.0;40.0;70.0;135.0
168;Totaal;Wijk 07 Enumatil;1e halfjaar 2015;Leek                                    ;Wijk     ;WK002207;1.0;30.0;20.0;90.0;170.0
169;Totaal;Wijk 07 Enumatil;2e halfjaar 2015;Leek                                    ;Wijk     ;WK002207;1.0;30.0;20.0;90.0;165.0
170;Totaal;Wijk 07 Enumatil;2015;Leek                                    ;Wijk     ;WK002207;1.0;35.0;25.0;105.0;195.0
171;Totaal;Loppersum;1e halfjaar 2015;                                        ;         ;        ;;;;;
172;Totaal;Loppersum;2e halfjaar 2015;                                        ;         ;        ;;;;;
173;Totaal;Loppersum;2015;                                        ;         ;        ;;;;;
174;Totaal;Wijk 00;1e halfjaar 2015;                                        ;         ;        ;;;;;
175;Totaal;Wijk 00;2e halfjaar 2015;                                        ;         ;        ;;;;;
176;Totaal;Wijk 00;2015;                                        ;         ;        ;;;;;
177;Totaal;Wijk 01 Stedum;1e halfjaar 2015;                                        ;         ;        ;;;;;
178;Totaal;Wijk 01 Stedum;2e halfjaar 2015;                                        ;         ;        ;;;;;
179;Totaal;Wijk 01 Stedum;2015;                                        ;         ;        ;;;;;
180;Totaal;Wijk 02 Middelstum;1e halfjaar 2015;                                        ;         ;        ;;;;;
181;Totaal;Wijk 02 Middelstum;2e halfjaar 2015;                                        ;         ;        ;;;;;
182;Totaal;Wijk 02 Middelstum;2015;                                        ;         ;        ;;;;;
183;Totaal;Wijk 03 't Zandt;1e halfjaar 2015;                                        ;         ;        ;;;;;
184;Totaal;Wijk 03 't Zandt;2e halfjaar 2015;                                        ;         ;        ;;;;;
185;Totaal;Wijk 03 't Zandt;2015;                                        ;         ;        ;;;;;
186;Totaal;Marum;1e halfjaar 2015;Marum                                   ;Gemeente ;GM0025  ;;880.0;740.0;85.0;175.0
187;Totaal;Marum;2e halfjaar 2015;Marum                                   ;Gemeente ;GM0025  ;;875.0;735.0;85.0;170.0
188;Totaal;Marum;2015;Marum                                   ;Gemeente ;GM0025  ;;970.0;800.0;95.0;185.0
189;Totaal;Wijk 00 Marum;1e halfjaar 2015;Marum                                   ;Wijk     ;WK002500;1.0;725.0;605.0;90.0;185.0
190;Totaal;Wijk 00 Marum;2e halfjaar 2015;Marum                                   ;Wijk     ;WK002500;1.0;720.0;605.0;90.0;180.0
191;Totaal;Wijk 00 Marum;2015;Marum                                   ;Wijk     ;WK002500;1.0;805.0;655.0;100.0;200.0
192;Totaal;Wijk 01 De Wilp;1e halfjaar 2015;Marum                                   ;Wijk     ;WK002501;1.0;155.0;135.0;65.0;140.0
193;Totaal;Wijk 01 De Wilp;2e halfjaar 2015;Marum                                   ;Wijk     ;WK002501;1.0;150.0;130.0;65.0;135.0
194;Totaal;Wijk 01 De Wilp;2015;Marum                                   ;Wijk     ;WK002501;1.0;165.0;145.0;70.0;145.0
195;Totaal;Almere;1e halfjaar 2015;Almere                                  ;Gemeente ;GM0034  ;;20155.0;16560.0;100.0;200.0
196;Totaal;Almere;2e halfjaar 2015;Almere                                  ;Gemeente ;GM0034  ;;20660.0;16895.0;105.0;200.0
197;Totaal;Almere;2015;Almere                                  ;Gemeente ;GM0034  ;;22620.0;18195.0;110.0;215.0
198;Totaal;Wijk 01 Almere Haven;1e halfjaar 2015;Almere                                  ;Wijk     ;WK003401;1.0;3010.0;2490.0;135.0;240.0
199;Totaal;Wijk 01 Almere Haven;2e halfjaar 2015;Almere                                  ;Wijk     ;WK003401;1.0;3085.0;2525.0;140.0;240.0
200;Totaal;Wijk 01 Almere Haven;2015;Almere                                  ;Wijk     ;WK003401;1.0;3375.0;2715.0;150.0;260.0
201;Totaal;Wijk 02 Almere Stad;1e halfjaar 2015;Almere                                  ;Wijk     ;WK003402;1.0;10920.0;8960.0;100.0;200.0
202;Totaal;Wijk 02 Almere Stad;2e halfjaar 2015;Almere                                  ;Wijk     ;WK003402;1.0;11200.0;9170.0;105.0;205.0
203;Totaal;Wijk 02 Almere Stad;2015;Almere                                  ;Wijk     ;WK003402;1.0;12260.0;9875.0;110.0;215.0
204;Totaal;Wijk 03 Almere Buiten;1e halfjaar 2015;Almere                                  ;Wijk     ;WK003403;1.0;5585.0;4580.0;100.0;200.0
205;Totaal;Wijk 03 Almere Buiten;2e halfjaar 2015;Almere                                  ;Wijk     ;WK003403;1.0;5665.0;4625.0;100.0;205.0
206;Totaal;Wijk 03 Almere Buiten;2015;Almere                                  ;Wijk     ;WK003403;1.0;6200.0;4975.0;110.0;215.0
207;Totaal;Wijk 04 Almere Poort;1e halfjaar 2015;Almere                                  ;Wijk     ;WK003404;3.0;590.0;485.0;60.0;110.0
208;Totaal;Wijk 04 Almere Poort;2e halfjaar 2015;Almere                                  ;Wijk     ;WK003404;3.0;645.0;530.0;60.0;115.0
209;Totaal;Wijk 04 Almere Poort;2015;Almere                                  ;Wijk     ;WK003404;3.0;720.0;575.0;70.0;125.0
210;Totaal;Wijk 05 Almere Hout;1e halfjaar 2015;Almere                                  ;Wijk     ;WK003405;1.0;45.0;35.0;30.0;55.0
211;Totaal;Wijk 05 Almere Hout;2e halfjaar 2015;Almere                                  ;Wijk     ;WK003405;1.0;55.0;50.0;35.0;65.0
212;Totaal;Wijk 05 Almere Hout;2015;Almere                                  ;Wijk     ;WK003405;1.0;60.0;50.0;35.0;70.0
213;Totaal;Wijk 06 Almere Pampus;1e halfjaar 2015;                                        ;         ;        ;;;;;
214;Totaal;Wijk 06 Almere Pampus;2e halfjaar 2015;                                        ;         ;        ;;;;;
215;Totaal;Wijk 06 Almere Pampus;2015;                                        ;         ;        ;;;;;
216;Totaal;Stadskanaal;1e halfjaar 2015;                                        ;         ;        ;;;;;
217;Totaal;Stadskanaal;2e halfjaar 2015;                                        ;         ;        ;;;;;
218;Totaal;Stadskanaal;2015;                                        ;         ;        ;;;;;
219;Totaal;Wijk 01 Stadskanaal;1e halfjaar 2015;                                        ;         ;        ;;;;;
220;Totaal;Wijk 01 Stadskanaal;2e halfjaar 2015;                                        ;         ;        ;;;;;
221;Totaal;Wijk 01 Stadskanaal;2015;                                        ;         ;        ;;;;;
222;Totaal;Wijk 02 Musselkanaal;1e halfjaar 2015;                                        ;         ;        ;;;;;
223;Totaal;Wijk 02 Musselkanaal;2e halfjaar 2015;                                        ;         ;        ;;;;;
224;Totaal;Wijk 02 Musselkanaal;2015;                                        ;         ;        ;;;;;
225;Totaal;Wijk 03 Onstwedde;1e halfjaar 2015;                                        ;         ;        ;;;;;
226;Totaal;Wijk 03 Onstwedde;2e halfjaar 2015;                                        ;         ;        ;;;;;
227;Totaal;Wijk 03 Onstwedde;2015;                                        ;         ;        ;;;;;
228;Totaal;Wijk 04 Mussel;1e halfjaar 2015;                                        ;         ;        ;;;;;
229;Totaal;Wijk 04 Mussel;2e halfjaar 2015;                                        ;         ;        ;;;;;
230;Totaal;Wijk 04 Mussel;2015;                                        ;         ;        ;;;;;
231;Totaal;Wijk 05 Alteveer;1e halfjaar 2015;                                        ;         ;        ;;;;;
232;Totaal;Wijk 05 Alteveer;2e halfjaar 2015;                                        ;         ;        ;;;;;
233;Totaal;Wijk 05 Alteveer;2015;                                        ;         ;        ;;;;;
234;Totaal;Slochteren;1e halfjaar 2015;                                        ;         ;        ;;;;;
235;Totaal;Slochteren;2e halfjaar 2015;                                        ;         ;        ;;;;;
236;Totaal;Slochteren;2015;                                        ;         ;        ;;;;;
237;Totaal;Wijk 00 Slochteren-Kolham;1e halfjaar 2015;                                        ;         ;        ;;;;;
238;Totaal;Wijk 00 Slochteren-Kolham;2e halfjaar 2015;                                        ;         ;        ;;;;;
239;Totaal;Wijk 00 Slochteren-Kolham;2015;                                        ;         ;        ;;;;;
240;Totaal;Wijk 01 Schildwolde-Hellum;1e halfjaar 2015;                                        ;         ;        ;;;;;
241;Totaal;Wijk 01 Schildwolde-Hellum;2e halfjaar 2015;                                        ;         ;        ;;;;;
242;Totaal;Wijk 01 Schildwolde-Hellum;2015;                                        ;         ;        ;;;;;
243;Totaal;Wijk 02 Siddeburen;1e halfjaar 2015;                                        ;         ;        ;;;;;
244;Totaal;Wijk 02 Siddeburen;2e halfjaar 2015;                                        ;         ;        ;;;;;
245;Totaal;Wijk 02 Siddeburen;2015;                                        ;         ;        ;;;;;
246;Totaal;Wijk 03 Harkstede;1e halfjaar 2015;                                        ;         ;        ;;;;;
247;Totaal;Wijk 03 Harkstede;2e halfjaar 2015;                                        ;         ;        ;;;;;
248;Totaal;Wijk 03 Harkstede;2015;                                        ;         ;        ;;;;;
249;Totaal;Wijk 04 Overschild;1e halfjaar 2015;                                        ;         ;        ;;;;;
250;Totaal;Wijk 04 Overschild;2e halfjaar 2015;                                        ;         ;        ;;;;;
251;Totaal;Wijk 04 Overschild;2015;                                        ;         ;        ;;;;;
252;Totaal;Veendam;1e halfjaar 2015;Veendam                                 ;Gemeente ;GM0047  ;;4275.0;3425.0;155.0;270.0
253;Totaal;Veendam;2e halfjaar 2015;                                        ;         ;        ;;;;;
254;Totaal;Veendam;2015;                                        ;         ;        ;;;;;
255;Totaal;Wijk 00 Veendam-kern;1e halfjaar 2015;Veendam                                 ;Wijk     ;WK004700;1.0;3470.0;2755.0;170.0;295.0
256;Totaal;Wijk 00 Veendam-kern;2e halfjaar 2015;                                        ;         ;        ;;;;;
257;Totaal;Wijk 00 Veendam-kern;2015;                                        ;         ;        ;;;;;
258;Totaal;Wijk 01 Veendam-buitengebied;1e halfjaar 2015;Veendam                                 ;Wijk     ;WK004701;1.0;175.0;155.0;85.0;175.0
259;Totaal;Wijk 01 Veendam-buitengebied;2e halfjaar 2015;                                        ;         ;        ;;;;;
260;Totaal;Wijk 01 Veendam-buitengebied;2015;                                        ;         ;        ;;;;;
261;Totaal;Wijk 02 Wildervank;1e halfjaar 2015;Veendam                                 ;Wijk     ;WK004702;1.0;625.0;515.0;110.0;215.0
262;Totaal;Wijk 02 Wildervank;2e halfjaar 2015;                                        ;         ;        ;;;;;
263;Totaal;Wijk 02 Wildervank;2015;                                        ;         ;        ;;;;;
264;Totaal;Vlagtwedde;1e halfjaar 2015;                                        ;         ;        ;;;;;
265;Totaal;Vlagtwedde;2e halfjaar 2015;                                        ;         ;        ;;;;;
266;Totaal;Vlagtwedde;2015;                                        ;         ;        ;;;;;
267;Totaal;Wijk 00 Sellingen;1e halfjaar 2015;                                        ;         ;        ;;;;;
268;Totaal;Wijk 00 Sellingen;2e halfjaar 2015;                                        ;         ;        ;;;;;
269;Totaal;Wijk 00 Sellingen;2015;                                        ;         ;        ;;;;;
270;Totaal;Wijk 01 Vlagtwedde;1e halfjaar 2015;                                        ;         ;        ;;;;;
271;Totaal;Wijk 01 Vlagtwedde;2e halfjaar 2015;                                        ;         ;        ;;;;;
272;Totaal;Wijk 01 Vlagtwedde;2015;                                        ;         ;        ;;;;;
273;Totaal;Wijk 02 Bourtange;1e halfjaar 2015;                                        ;         ;        ;;;;;
274;Totaal;Wijk 02 Bourtange;2e halfjaar 2015;                                        ;         ;        ;;;;;
275;Totaal;Wijk 02 Bourtange;2015;                                        ;         ;        ;;;;;
276;Totaal;Wijk 03 Sellingerbeetse;1e halfjaar 2015;                                        ;         ;        ;;;;;
277;Totaal;Wijk 03 Sellingerbeetse;2e halfjaar 2015;                                        ;         ;        ;;;;;
278;Totaal;Wijk 03 Sellingerbeetse;2015;                                        ;         ;        ;;;;;
279;Totaal;Wijk 04 Ter Apel;1e halfjaar 2015;                                        ;         ;        ;;;;;
280;Totaal;Wijk 04 Ter Apel;2e halfjaar 2015;                                        ;         ;        ;;;;;
