ID;LandbouwgoederenEnDiensten;Perioden;OutputTegenAfProducentwaarde_1;OutputBasisprijzen_2;OutputTegenAfProducentwaarde_3;OutputBasisprijzen_4;OutputTegenAfProducentwaarde_5;OutputBasisprijzen_6;OutputTegenAfProducentwaarde_7;OutputBasisprijzen_8
23;Totaal bedrijfstak landbouw;2018;28091.0;28162.0;27096.0;27126.0;-1.9;-1.9;103.7;103.8
24;Totaal bedrijfstak landbouw;2019;29090.0;29133.0;27515.0;27538.0;1.5;1.5;105.7;105.8
25;Totaal bedrijfstak landbouw;2020;28150.0;28236.0;27422.0;27473.0;-0.3;-0.2;102.7;102.8
26;Totaal bedrijfstak landbouw;2021;30553.0;30610.0;27707.0;27769.0;1.0;1.1;110.3;110.2
27;Totaal bedrijfstak landbouw;2022;35913.0;36076.0;26957.0;27028.0;-2.7;-2.7;133.2;133.5
28;Totaal bedrijfstak landbouw;2023;35676.0;35830.0;26408.0;26473.0;-2.0;-2.1;135.1;135.3
29;Totaal landbouwgoederen en diensten;1995;18482.0;18804.0;22090.0;21729.0;;;83.7;86.5
30;Totaal landbouwgoederen en diensten;1996;18769.0;19061.0;21961.0;21576.0;-0.6;-0.7;85.5;88.3
31;Totaal landbouwgoederen en diensten;1997;19984.0;20191.0;22923.0;22450.0;4.4;4.0;87.2;89.9
32;Totaal landbouwgoederen en diensten;1998;19078.0;19269.0;22441.0;21997.0;-2.1;-2.0;85.0;87.6
33;Totaal landbouwgoederen en diensten;1999;18718.0;18916.0;23333.0;22885.0;4.0;4.0;80.2;82.7
34;Totaal landbouwgoederen en diensten;2000;19788.0;19982.0;23570.0;23144.0;1.0;1.1;84.0;86.3
35;Totaal landbouwgoederen en diensten;2001;20435.0;20716.0;22769.0;22419.0;-3.4;-3.1;89.7;92.4
36;Totaal landbouwgoederen en diensten;2002;20143.0;20505.0;22855.0;22529.0;0.4;0.5;88.1;91.0
37;Totaal landbouwgoederen en diensten;2003;20164.0;20518.0;22834.0;22529.0;-0.1;0.0;88.3;91.1
38;Totaal landbouwgoederen en diensten;2004;20055.0;20394.0;23781.0;23490.0;4.1;4.3;84.3;86.8
39;Totaal landbouwgoederen en diensten;2005;20373.0;20816.0;23673.0;23419.0;-0.5;-0.3;86.1;88.9
40;Totaal landbouwgoederen en diensten;2006;21937.0;22470.0;23742.0;23512.0;0.3;0.4;92.4;95.6
41;Totaal landbouwgoederen en diensten;2007;23334.0;23446.0;24259.0;24048.0;2.2;2.3;96.2;97.5
42;Totaal landbouwgoederen en diensten;2008;23949.0;24017.0;24866.0;24680.0;2.5;2.6;96.3;97.3
43;Totaal landbouwgoederen en diensten;2009;22340.0;22427.0;25324.0;25180.0;1.8;2.0;88.2;89.1
44;Totaal landbouwgoederen en diensten;2010;24500.0;24534.0;25442.0;25322.0;0.5;0.6;96.3;96.9
45;Totaal landbouwgoederen en diensten;2011;25073.0;25046.0;25354.0;25262.0;-0.3;-0.2;98.9;99.1
46;Totaal landbouwgoederen en diensten;2012;26068.0;26058.0;25313.0;25251.0;-0.2;0.0;103.0;103.2
47;Totaal landbouwgoederen en diensten;2013;27494.0;27493.0;25597.0;25560.0;1.1;1.2;107.4;107.6
48;Totaal landbouwgoederen en diensten;2014;26516.0;26385.0;25966.0;25836.0;1.4;1.1;102.1;102.1
49;Totaal landbouwgoederen en diensten;2015;26218.0;26084.0;26218.0;26084.0;1.0;1.0;100.0;100.0
50;Totaal landbouwgoederen en diensten;2016;26465.0;26465.0;26611.0;26611.0;1.5;2.0;99.5;99.5
51;Totaal landbouwgoederen en diensten;2017;28127.0;28138.0;26808.0;26808.0;0.7;0.7;104.9;105.0
52;Totaal landbouwgoederen en diensten;2018;27327.0;27329.0;26285.0;26277.0;-2.0;-2.0;104.0;104.0
53;Totaal landbouwgoederen en diensten;2019;28309.0;28310.0;26708.0;26698.0;1.6;1.6;106.0;106.0
54;Totaal landbouwgoederen en diensten;2020;27402.0;27405.0;26633.0;26625.0;-0.3;-0.3;102.9;102.9
55;Totaal landbouwgoederen en diensten;2021;29548.0;29550.0;26945.0;26936.0;1.2;1.2;109.7;109.7
56;Totaal landbouwgoederen en diensten;2022;34100.0;34103.0;26186.0;26178.0;-2.8;-2.8;130.2;130.3
57;Totaal landbouwgoederen en diensten;2023;34245.0;34248.0;25675.0;25668.0;-1.9;-1.9;133.4;133.4
58;Totaal producten;1995;17432.0;17719.0;20014.0;20102.0;;;87.1;88.1
59;Totaal producten;1996;17709.0;17966.0;19896.0;19957.0;-0.6;-0.7;89.0;90.0
60;Totaal producten;1997;18828.0;19002.0;20721.0;20719.0;4.1;3.8;90.9;91.7
61;Totaal producten;1998;17870.0;18058.0;20248.0;20265.0;-2.3;-2.2;88.3;89.1
62;Totaal producten;1999;17412.0;17608.0;21074.0;21072.0;4.1;4.0;82.6;83.6
63;Totaal producten;2000;18389.0;18580.0;21288.0;21277.0;1.0;1.0;86.4;87.3
64;Totaal producten;2001;18868.0;19150.0;20413.0;20432.0;-4.1;-4.0;92.4;93.7
65;Totaal producten;2002;18332.0;18693.0;20338.0;20361.0;-0.4;-0.3;90.1;91.8
66;Totaal producten;2003;18385.0;18739.0;20438.0;20447.0;0.5;0.4;90.0;91.6
67;Totaal producten;2004;18229.0;18568.0;21414.0;21417.0;4.8;4.7;85.1;86.7
68;Totaal producten;2005;18468.0;18911.0;21338.0;21348.0;-0.4;-0.3;86.6;88.6
69;Totaal producten;2006;19835.0;20368.0;21266.0;21274.0;-0.3;-0.3;93.3;95.7
70;Totaal producten;2007;21165.0;21276.0;21731.0;21728.0;2.2;2.1;97.4;97.9
71;Totaal producten;2008;21574.0;21641.0;22243.0;22233.0;2.4;2.3;97.0;97.3
72;Totaal producten;2009;19926.0;20013.0;22705.0;22703.0;2.1;2.1;87.8;88.2
73;Totaal producten;2010;22026.0;22060.0;22790.0;22780.0;0.4;0.3;96.6;96.8
74;Totaal producten;2011;22479.0;22452.0;22653.0;22642.0;-0.6;-0.6;99.2;99.2
75;Totaal producten;2012;23507.0;23498.0;22694.0;22685.0;0.2;0.2;103.6;103.6
76;Totaal producten;2013;24893.0;24892.0;23009.0;22999.0;1.4;1.4;108.2;108.2
77;Totaal producten;2014;23856.0;23725.0;23365.0;23234.0;1.5;1.0;102.1;102.1
78;Totaal producten;2015;23669.0;23535.0;23669.0;23535.0;1.3;1.3;100.0;100.0
79;Totaal producten;2016;23899.0;23899.0;24049.0;24049.0;1.6;2.2;99.4;99.4
80;Totaal producten;2017;25457.0;25468.0;24211.0;24211.0;0.7;0.7;105.1;105.2
81;Totaal producten;2018;24631.0;24633.0;23702.0;23694.0;-2.1;-2.1;103.9;104.0
82;Totaal producten;2019;25542.0;25543.0;24133.0;24124.0;1.8;1.8;105.8;105.9
83;Totaal producten;2020;24585.0;24587.0;24049.0;24041.0;-0.3;-0.3;102.2;102.3
84;Totaal producten;2021;26598.0;26601.0;24305.0;24297.0;1.1;1.1;109.4;109.5
85;Totaal producten;2022;30982.0;30985.0;23602.0;23595.0;-2.9;-2.9;131.3;131.3
86;Totaal producten;2023;31040.0;31043.0;23121.0;23113.0;-2.0;-2.0;134.3;134.3
87;Totaal plantaardige producten;1995;8627.0;8826.0;10849.0;10851.0;;;79.5;81.3
88;Totaal plantaardige producten;1996;8711.0;8905.0;10690.0;10692.0;-1.5;-1.5;81.5;83.3
89;Totaal plantaardige producten;1997;9272.0;9425.0;11352.0;11331.0;6.2;6.0;81.7;83.2
90;Totaal plantaardige producten;1998;9505.0;9657.0;11131.0;11113.0;-1.9;-1.9;85.4;86.9
91;Totaal plantaardige producten;1999;9507.0;9653.0;11777.0;11740.0;5.8;5.6;80.7;82.2
92;Totaal plantaardige producten;2000;9758.0;9921.0;12215.0;12188.0;3.7;3.8;79.9;81.4
93;Totaal plantaardige producten;2001;10068.0;10241.0;11756.0;11751.0;-3.8;-3.6;85.6;87.2
94;Totaal plantaardige producten;2002;10296.0;10503.0;11681.0;11682.0;-0.6;-0.6;88.1;89.9
95;Totaal plantaardige producten;2003;10859.0;11045.0;12029.0;12031.0;3.0;3.0;90.3;91.8
96;Totaal plantaardige producten;2004;10302.0;10343.0;12493.0;12488.0;3.9;3.8;82.5;82.8
97;Totaal plantaardige producten;2005;10430.0;10456.0;12427.0;12428.0;-0.5;-0.5;83.9;84.1
98;Totaal plantaardige producten;2006;11526.0;11545.0;12311.0;12311.0;-0.9;-0.9;93.6;93.8
99;Totaal plantaardige producten;2007;12076.0;12088.0;12516.0;12518.0;1.7;1.7;96.5;96.6
100;Totaal plantaardige producten;2008;11760.0;11769.0;12864.0;12863.0;2.8;2.8;91.4;91.5
101;Totaal plantaardige producten;2009;11171.0;11181.0;13152.0;13152.0;2.2;2.2;84.9;85.0
102;Totaal plantaardige producten;2010;12621.0;12632.0;13129.0;13128.0;-0.2;-0.2;96.1;96.2
103;Totaal plantaardige producten;2011;12331.0;12341.0;13060.0;13059.0;-0.5;-0.5;94.4;94.5
104;Totaal plantaardige producten;2012;12855.0;12861.0;13011.0;13011.0;-0.4;-0.4;98.8;98.8
105;Totaal plantaardige producten;2013;13490.0;13490.0;13035.0;13035.0;0.2;0.2;103.5;103.5
106;Totaal plantaardige producten;2014;12674.0;12674.0;13484.0;13484.0;3.4;3.4;94.0;94.0
107;Totaal plantaardige producten;2015;13314.0;13314.0;13314.0;13314.0;-1.3;-1.3;100.0;100.0
108;Totaal plantaardige producten;2016;13466.0;13466.0;13233.0;13233.0;-0.6;-0.6;101.8;101.8
109;Totaal plantaardige producten;2017;13817.0;13817.0;13571.0;13571.0;2.6;2.6;101.8;101.8
110;Totaal plantaardige producten;2018;13878.0;13878.0;13200.0;13200.0;-2.7;-2.7;105.1;105.1
111;Totaal plantaardige producten;2019;14377.0;14377.0;13405.0;13405.0;1.6;1.6;107.3;107.3
112;Totaal plantaardige producten;2020;13953.0;13953.0;13210.0;13210.0;-1.5;-1.5;105.6;105.6
113;Totaal plantaardige producten;2021;15662.0;15662.0;13665.0;13665.0;3.5;3.5;114.6;114.6
114;Totaal plantaardige producten;2022;16162.0;16162.0;13074.0;13074.0;-4.3;-4.3;123.6;123.6
115;Totaal plantaardige producten;2023;16817.0;16817.0;12641.0;12641.0;-3.3;-3.3;133.0;133.0
116;Granen (incl. zaaigoed), totaal;1995;217.0;259.0;268.0;278.0;;;80.7;93.1
117;Granen (incl. zaaigoed), totaal;1996;236.0;279.0;287.0;295.0;7.1;6.3;82.1;94.5
118;Granen (incl. zaaigoed), totaal;1997;191.0;236.0;252.0;267.0;-12.2;-9.5;75.6;88.4
119;Granen (incl. zaaigoed), totaal;1998;174.0;220.0;246.0;263.0;-2.5;-1.8;70.7;83.7
120;Granen (incl. zaaigoed), totaal;1999;172.0;216.0;239.0;254.0;-3.1;-3.2;72.0;84.9
121;Granen (incl. zaaigoed), totaal;2000;233.0;284.0;332.0;339.0;39.3;33.5;70.2;83.7
122;Granen (incl. zaaigoed), totaal;2001;246.0;297.0;347.0;348.0;4.3;2.5;70.9;85.5
123;Granen (incl. zaaigoed), totaal;2002;227.0;318.0;335.0;338.0;-3.4;-2.7;67.8;94.1
124;Granen (incl. zaaigoed), totaal;2003;266.0;352.0;354.0;359.0;5.7;6.0;75.1;98.1
125;Granen (incl. zaaigoed), totaal;2004;231.0;221.0;352.0;352.0;-0.4;-1.7;65.6;62.8
126;Granen (incl. zaaigoed), totaal;2005;213.0;214.0;346.0;346.0;-1.8;-1.8;61.7;61.9
127;Granen (incl. zaaigoed), totaal;2006;249.0;249.0;328.0;328.0;-5.2;-5.1;75.8;75.8
128;Granen (incl. zaaigoed), totaal;2007;341.0;341.0;307.0;307.0;-6.6;-6.6;111.3;111.4
129;Granen (incl. zaaigoed), totaal;2008;378.0;378.0;396.0;396.0;29.2;29.2;95.4;95.4
130;Granen (incl. zaaigoed), totaal;2009;273.0;273.0;404.0;404.0;2.1;2.1;67.5;67.5
131;Granen (incl. zaaigoed), totaal;2010;349.0;349.0;364.0;364.0;-10.0;-10.0;96.0;96.0
132;Granen (incl. zaaigoed), totaal;2011;367.0;367.0;323.0;323.0;-11.3;-11.3;113.6;113.6
133;Granen (incl. zaaigoed), totaal;2012;519.0;519.0;348.0;348.0;7.8;7.8;149.3;149.3
134;Granen (incl. zaaigoed), totaal;2013;404.0;404.0;353.0;353.0;1.6;1.6;114.4;114.4
135;Granen (incl. zaaigoed), totaal;2014;325.0;325.0;343.0;343.0;-2.8;-2.8;94.6;94.6
136;Granen (incl. zaaigoed), totaal;2015;340.0;340.0;340.0;340.0;-0.9;-0.9;100.0;100.0
137;Granen (incl. zaaigoed), totaal;2016;268.0;268.0;275.0;275.0;-19.3;-19.3;97.4;97.4
138;Granen (incl. zaaigoed), totaal;2017;278.0;278.0;278.0;278.0;1.1;1.1;99.9;99.9
139;Granen (incl. zaaigoed), totaal;2018;339.0;339.0;270.0;270.0;-2.9;-2.9;125.5;125.5
140;Granen (incl. zaaigoed), totaal;2019;323.0;323.0;310.0;310.0;14.9;14.9;104.3;104.3
141;Granen (incl. zaaigoed), totaal;2020;321.0;321.0;270.0;270.0;-12.9;-12.9;118.9;118.9
142;Granen (incl. zaaigoed), totaal;2021;417.0;417.0;263.0;263.0;-2.6;-2.6;158.6;158.6
143;Granen (incl. zaaigoed), totaal;2022;662.0;662.0;330.0;330.0;25.5;25.5;200.3;200.3
144;Granen (incl. zaaigoed), totaal;2023;421.0;421.0;312.0;312.0;-5.6;-5.6;135.0;135.0
145;Tarwe en spelt, totaal;1995;167.0;200.0;252.0;244.0;;;66.3;82.2
146;Tarwe en spelt, totaal;1996;178.0;212.0;257.0;249.0;2.0;2.0;69.2;85.1
147;Tarwe en spelt, totaal;1997;134.0;169.0;203.0;207.0;-20.9;-16.6;65.7;81.7
148;Tarwe en spelt, totaal;1998;127.0;163.0;208.0;211.0;2.3;1.9;61.2;77.2
149;Tarwe en spelt, totaal;1999;106.0;141.0;168.0;178.0;-19.2;-15.9;63.2;79.1
150;Tarwe en spelt, totaal;2000;142.0;182.0;229.0;230.0;35.9;29.5;62.2;79.0
151;Tarwe en spelt, totaal;2001;128.0;165.0;203.0;203.0;-11.4;-11.7;63.0;81.1
152;Tarwe en spelt, totaal;2002;129.0;196.0;216.0;216.0;6.4;6.5;60.0;90.4
153;Tarwe en spelt, totaal;2003;162.0;225.0;233.0;233.0;8.2;7.7;69.5;96.6
154;Tarwe en spelt, totaal;2004;151.0;143.0;249.0;249.0;7.0;7.1;60.7;57.5
155;Tarwe en spelt, totaal;2005;132.0;133.0;241.0;241.0;-3.5;-3.5;55.0;55.3
156;Tarwe en spelt, totaal;2006;174.0;175.0;244.0;244.0;1.3;1.3;71.6;71.6
157;Tarwe en spelt, totaal;2007;229.0;230.0;212.0;212.0;-13.1;-13.1;108.4;108.5
158;Tarwe en spelt, totaal;2008;267.0;267.0;287.0;287.0;35.8;35.8;92.8;92.8
159;Tarwe en spelt, totaal;2009;189.0;189.0;295.0;295.0;2.7;2.7;64.0;64.0
160;Tarwe en spelt, totaal;2010;272.0;272.0;292.0;292.0;-1.1;-1.1;93.3;93.3
161;Tarwe en spelt, totaal;2011;281.0;281.0;249.0;249.0;-14.5;-14.5;112.4;112.4
162;Tarwe en spelt, totaal;2012;421.0;421.0;276.0;276.0;10.5;10.5;152.6;152.6
163;Tarwe en spelt, totaal;2013;322.0;322.0;282.0;282.0;2.2;2.2;114.4;114.4
164;Tarwe en spelt, totaal;2014;260.0;260.0;275.0;275.0;-2.2;-2.2;94.4;94.4
165;Tarwe en spelt, totaal;2015;274.0;274.0;274.0;274.0;-0.4;-0.4;100.0;100.0
166;Tarwe en spelt, totaal;2016;208.0;208.0;215.0;215.0;-21.8;-21.8;96.7;96.7
167;Tarwe en spelt, totaal;2017;218.0;218.0;222.0;222.0;3.4;3.4;98.1;98.1
168;Tarwe en spelt, totaal;2018;259.0;259.0;208.0;208.0;-6.5;-6.5;124.9;124.9
169;Tarwe en spelt, totaal;2019;252.0;252.0;245.0;245.0;18.0;18.0;103.0;103.0
170;Tarwe en spelt, totaal;2020;238.0;238.0;202.0;202.0;-17.7;-17.7;118.1;118.1
171;Tarwe en spelt, totaal;2021;325.0;325.0;205.0;205.0;1.7;1.7;158.6;158.6
172;Tarwe en spelt, totaal;2022;509.0;509.0;251.0;251.0;22.5;22.5;202.9;202.9
173;Tarwe en spelt, totaal;2023;338.0;338.0;250.0;250.0;-0.3;-0.3;135.1;135.1
174;Zachte tarwe en spelt;1995;167.0;200.0;252.0;244.0;;;66.3;82.2
175;Zachte tarwe en spelt;1996;178.0;212.0;257.0;249.0;2.0;2.0;69.2;85.1
176;Zachte tarwe en spelt;1997;134.0;169.0;203.0;207.0;-20.9;-16.6;65.7;81.7
177;Zachte tarwe en spelt;1998;127.0;163.0;208.0;211.0;2.3;1.9;61.2;77.2
178;Zachte tarwe en spelt;1999;106.0;141.0;168.0;178.0;-19.2;-15.9;63.2;79.1
179;Zachte tarwe en spelt;2000;142.0;182.0;229.0;230.0;35.9;29.5;62.2;79.0
180;Zachte tarwe en spelt;2001;128.0;165.0;203.0;203.0;-11.4;-11.7;63.0;81.1
181;Zachte tarwe en spelt;2002;129.0;196.0;216.0;216.0;6.4;6.5;60.0;90.4
182;Zachte tarwe en spelt;2003;162.0;225.0;233.0;233.0;8.2;7.7;69.5;96.6
183;Zachte tarwe en spelt;2004;151.0;143.0;249.0;249.0;7.0;7.1;60.7;57.5
184;Zachte tarwe en spelt;2005;132.0;133.0;241.0;241.0;-3.5;-3.5;55.0;55.3
185;Zachte tarwe en spelt;2006;174.0;175.0;244.0;244.0;1.3;1.3;71.6;71.6
186;Zachte tarwe en spelt;2007;229.0;230.0;212.0;212.0;-13.1;-13.1;108.4;108.5
187;Zachte tarwe en spelt;2008;267.0;267.0;287.0;287.0;35.8;35.8;92.8;92.8
188;Zachte tarwe en spelt;2009;189.0;189.0;295.0;295.0;2.7;2.7;64.0;64.0
189;Zachte tarwe en spelt;2010;272.0;272.0;292.0;292.0;-1.1;-1.1;93.3;93.3
190;Zachte tarwe en spelt;2011;281.0;281.0;249.0;249.0;-14.5;-14.5;112.4;112.4
191;Zachte tarwe en spelt;2012;421.0;421.0;276.0;276.0;10.5;10.5;152.6;152.6
192;Zachte tarwe en spelt;2013;322.0;322.0;282.0;282.0;2.2;2.2;114.4;114.4
193;Zachte tarwe en spelt;2014;260.0;260.0;275.0;275.0;-2.2;-2.2;94.4;94.4
194;Zachte tarwe en spelt;2015;274.0;274.0;274.0;274.0;-0.4;-0.4;100.0;100.0
195;Zachte tarwe en spelt;2016;208.0;208.0;215.0;215.0;-21.8;-21.8;96.7;96.7
196;Zachte tarwe en spelt;2017;218.0;218.0;222.0;222.0;3.4;3.4;98.1;98.1
197;Zachte tarwe en spelt;2018;259.0;259.0;208.0;208.0;-6.5;-6.5;124.9;124.9
198;Zachte tarwe en spelt;2019;252.0;252.0;245.0;245.0;18.0;18.0;103.0;103.0
199;Zachte tarwe en spelt;2020;238.0;238.0;202.0;202.0;-17.7;-17.7;118.1;118.1
200;Zachte tarwe en spelt;2021;325.0;325.0;205.0;205.0;1.7;1.7;158.6;158.6
201;Zachte tarwe en spelt;2022;509.0;509.0;251.0;251.0;22.5;22.5;202.9;202.9
202;Zachte tarwe en spelt;2023;338.0;338.0;250.0;250.0;-0.3;-0.3;135.1;135.1
203;Rogge en mengkoren;1995;4.0;6.0;13.0;18.0;;;32.2;33.3
204;Rogge en mengkoren;1996;4.0;6.0;11.0;16.0;-19.3;-13.8;36.0;35.9
205;Rogge en mengkoren;1997;3.0;5.0;5.0;10.0;-57.3;-38.6;65.4;49.8
206;Rogge en mengkoren;1998;3.0;5.0;5.0;10.0;1.5;1.0;60.0;47.8
207;Rogge en mengkoren;1999;2.0;4.0;2.0;8.0;-45.5;-21.0;61.8;47.4
208;Rogge en mengkoren;2000;3.0;6.0;5.0;12.0;108.2;54.8;61.8;47.6
209;Rogge en mengkoren;2001;2.0;3.0;3.0;7.0;-40.3;-40.4;60.9;48.1
210;Rogge en mengkoren;2002;2.0;5.0;3.0;7.0;-4.2;-3.9;57.9;68.9
211;Rogge en mengkoren;2003;2.0;5.0;3.0;7.0;1.5;5.8;63.4;63.4
212;Rogge en mengkoren;2004;2.0;2.0;4.0;4.0;17.3;-50.6;48.9;48.9
213;Rogge en mengkoren;2005;1.0;1.0;3.0;3.0;-25.2;-25.2;39.6;39.6
214;Rogge en mengkoren;2006;1.0;1.0;3.0;3.0;-1.5;-1.5;49.3;49.3
215;Rogge en mengkoren;2007;1.0;1.0;2.0;2.0;-29.7;-29.7;73.7;73.7
216;Rogge en mengkoren;2008;1.0;1.0;2.0;2.0;-3.1;-3.1;74.0;74.0
217;Rogge en mengkoren;2009;1.0;1.0;2.0;2.0;29.1;29.1;61.7;61.7
218;Rogge en mengkoren;2010;2.0;2.0;2.0;2.0;-15.1;-15.1;77.0;77.0
219;Rogge en mengkoren;2011;1.0;1.0;1.0;1.0;-37.8;-37.8;96.2;96.2
220;Rogge en mengkoren;2012;2.0;2.0;2.0;2.0;37.9;37.9;140.6;140.6
221;Rogge en mengkoren;2013;1.0;1.0;1.0;1.0;-40.5;-40.5;105.8;105.8
222;Rogge en mengkoren;2014;1.0;1.0;1.0;1.0;6.4;6.4;100.0;100.0
223;Rogge en mengkoren;2015;1.0;1.0;1.0;1.0;7.8;7.8;100.0;100.0
224;Rogge en mengkoren;2016;1.0;1.0;1.0;1.0;7.1;7.1;100.0;100.0
225;Rogge en mengkoren;2017;1.0;1.0;1.0;1.0;-16.0;-16.0;99.4;99.4
226;Rogge en mengkoren;2018;1.0;1.0;1.0;1.0;4.0;4.0;99.4;99.4
227;Rogge en mengkoren;2019;1.0;1.0;1.0;1.0;-2.3;-2.3;99.4;99.4
228;Rogge en mengkoren;2020;1.0;1.0;1.0;1.0;42.2;42.2;99.4;99.4
229;Rogge en mengkoren;2021;2.0;2.0;2.0;2.0;4.4;4.4;124.3;124.3
230;Rogge en mengkoren;2022;3.0;3.0;2.0;2.0;13.5;13.5;159.0;159.0
231;Rogge en mengkoren;2023;2.0;2.0;1.0;1.0;-15.2;-15.2;105.9;105.9
232;Gerst;1995;31.0;36.0;30.0;32.0;;;102.5;114.1
233;Gerst;1996;35.0;41.0;37.0;39.0;23.9;21.4;94.6;106.5
234;Gerst;1997;38.0;44.0;49.0;49.0;30.6;26.5;77.1;89.0
235;Gerst;1998;28.0;34.0;39.0;41.0;-20.5;-16.8;71.2;83.3
236;Gerst;1999;47.0;53.0;67.0;64.0;71.2;57.1;70.9;83.0
237;Gerst;2000;40.0;47.0;54.0;55.0;-18.2;-14.2;73.9;85.7
238;Gerst;2001;53.0;63.0;73.0;74.0;34.7;34.7;72.7;85.3
239;Gerst;2002;43.0;60.0;61.0;61.0;-17.4;-17.5;71.3;98.5
240;Gerst;2003;47.0;63.0;68.0;68.0;12.7;12.1;68.7;92.5
241;Gerst;2004;32.0;30.0;56.0;56.0;-18.0;-18.1;57.3;53.7
242;Gerst;2005;34.0;34.0;59.0;59.0;6.0;5.9;57.7;57.7
243;Gerst;2006;41.0;41.0;57.0;57.0;-3.4;-3.4;71.9;71.9
244;Gerst;2007;70.0;70.0;56.0;56.0;-1.6;-1.6;123.5;123.5
245;Gerst;2008;67.0;67.0;69.0;69.0;21.7;21.7;97.1;97.1
246;Gerst;2009;40.0;40.0;69.0;69.0;0.6;0.6;57.9;57.9
247;Gerst;2010;42.0;42.0;43.0;43.0;-38.4;-38.4;98.5;98.5
248;Gerst;2011;51.0;51.0;43.0;43.0;0.0;0.0;120.1;120.1
249;Gerst;2012;59.0;59.0;43.0;43.0;0.0;0.0;139.2;139.2
250;Gerst;2013;46.0;46.0;43.0;43.0;1.7;1.7;106.2;106.2
251;Gerst;2014;38.0;38.0;41.0;41.0;-4.5;-4.5;91.4;91.4
252;Gerst;2015;47.0;47.0;47.0;47.0;13.6;13.6;100.0;100.0
253;Gerst;2016;47.0;47.0;48.0;48.0;2.2;2.2;97.8;97.8
254;Gerst;2017;43.0;43.0;41.0;41.0;-15.2;-15.2;105.3;105.3
255;Gerst;2018;66.0;66.0;50.0;50.0;23.8;23.8;131.6;131.6
256;Gerst;2019;54.0;54.0;50.0;50.0;-1.5;-1.5;109.0;109.0
257;Gerst;2020;62.0;62.0;51.0;51.0;1.9;1.9;123.1;123.1
258;Gerst;2021;71.0;71.0;41.0;41.0;-19.7;-19.7;175.8;175.8
259;Gerst;2022;126.0;126.0;58.0;58.0;42.4;42.4;217.7;217.7
260;Gerst;2023;65.0;65.0;45.0;45.0;-21.5;-21.5;144.1;144.1
261;Haver en mengsels van zomergranen;1995;1.0;1.0;1.0;1.0;;;122.4;122.4
262;Haver en mengsels van zomergranen;1996;1.0;1.0;1.0;1.0;-7.1;-7.1;111.9;111.9
