ID;Geslacht;Niveau;Leerweg;Studierichting;Regio;Perioden;MboStudenten_1
74;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Fryslân (PV);2019/'20;24960.0
75;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Fryslân (PV);2020/'21;24970.0
76;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Fryslân (PV);2021/'22;24540.0
77;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Fryslân (PV);2022/'23;23500.0
78;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Fryslân (PV);2023/'24;22460.0
79;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Fryslân (PV);2024/'25;22180.0
80;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Drenthe (PV);2015/'16;16520.0
81;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Drenthe (PV);2016/'17;17040.0
82;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Drenthe (PV);2017/'18;17370.0
83;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Drenthe (PV);2018/'19;18040.0
84;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Drenthe (PV);2019/'20;18100.0
85;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Drenthe (PV);2020/'21;18180.0
86;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Drenthe (PV);2021/'22;17980.0
87;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Drenthe (PV);2022/'23;17610.0
88;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Drenthe (PV);2023/'24;16890.0
89;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Drenthe (PV);2024/'25;16710.0
90;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Overijssel (PV);2015/'16;39350.0
91;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Overijssel (PV);2016/'17;40410.0
92;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Overijssel (PV);2017/'18;41110.0
93;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Overijssel (PV);2018/'19;41430.0
94;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Overijssel (PV);2019/'20;42270.0
95;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Overijssel (PV);2020/'21;42650.0
96;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Overijssel (PV);2021/'22;42300.0
97;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Overijssel (PV);2022/'23;40970.0
98;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Overijssel (PV);2023/'24;39740.0
99;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Overijssel (PV);2024/'25;38940.0
100;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Flevoland (PV);2015/'16;14950.0
101;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Flevoland (PV);2016/'17;15240.0
102;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Flevoland (PV);2017/'18;15550.0
103;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Flevoland (PV);2018/'19;16130.0
104;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Flevoland (PV);2019/'20;16490.0
105;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Flevoland (PV);2020/'21;16750.0
106;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Flevoland (PV);2021/'22;16820.0
107;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Flevoland (PV);2022/'23;16050.0
108;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Flevoland (PV);2023/'24;15570.0
109;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Flevoland (PV);2024/'25;15410.0
110;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Gelderland (PV);2015/'16;60610.0
111;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Gelderland (PV);2016/'17;62230.0
112;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Gelderland (PV);2017/'18;62980.0
113;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Gelderland (PV);2018/'19;64740.0
114;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Gelderland (PV);2019/'20;65810.0
115;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Gelderland (PV);2020/'21;66560.0
116;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Gelderland (PV);2021/'22;65550.0
