ID;Geslacht;Leeftijd;RegioIndeling2018;Perioden;TotaleBevolking_1
180;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2045;488.9
181;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2046;490.3
182;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2047;491.6
183;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2048;492.9
184;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2049;494.3
185;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2050;495.7
186;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2020;2078.8
187;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2021;2085.6
188;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2022;2091.3
189;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2023;2096.7
190;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2024;2102.0
191;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2025;2107.1
192;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2026;2112.0
193;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2027;2117.0
194;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2028;2121.6
195;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2029;2126.1
196;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2030;2130.5
197;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2031;2134.7
198;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2032;2138.6
199;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2033;2142.3
200;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2034;2145.6
201;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2035;2148.6
202;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2036;2151.1
203;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2037;2153.5
204;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2038;2155.4
205;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2039;2156.8
206;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2040;2157.9
207;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2041;2158.6
208;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2042;2159.0
209;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2043;2159.0
210;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2044;2158.7
211;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2045;2158.1
212;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2046;2157.4
213;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2047;2156.3
214;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2048;2155.2
215;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2049;2153.9
216;Totaal mannen en vrouwen;Totaal;Gelderland (PV);2050;2152.7
217;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2020;1315.1
218;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2021;1325.0
219;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2022;1333.9
220;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2023;1342.9
221;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2024;1351.6
222;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2025;1360.2
223;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2026;1368.7
224;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2027;1376.4
225;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2028;1384.7
226;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2029;1392.3
227;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2030;1399.5
228;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2031;1405.8
229;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2032;1411.5
230;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2033;1416.7
231;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2034;1421.7
232;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2035;1426.3
233;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2036;1430.7
234;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2037;1434.9
235;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2038;1438.8
236;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2039;1442.4
237;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2040;1445.7
238;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2041;1448.5
239;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2042;1451.1
240;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2043;1453.4
241;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2044;1455.4
242;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2045;1457.2
243;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2046;1458.9
244;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2047;1460.4
245;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2048;1461.8
246;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2049;1463.1
247;Totaal mannen en vrouwen;Totaal;Utrecht (PV);2050;1464.2
248;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2020;2879.4
249;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2021;2900.4
250;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2022;2919.4
251;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2023;2938.2
252;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2024;2956.1
253;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2025;2973.3
254;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2026;2990.0
255;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2027;3006.5
256;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2028;3022.2
257;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2029;3037.3
258;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2030;3051.8
259;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2031;3066.0
260;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2032;3079.2
261;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2033;3091.5
262;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2034;3102.9
263;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2035;3113.6
264;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2036;3123.7
265;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2037;3132.8
266;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2038;3141.2
267;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2039;3148.7
268;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2040;3155.5
269;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2041;3161.7
270;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2042;3167.5
271;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2043;3172.9
272;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2044;3177.9
273;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2045;3182.6
274;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2046;3186.8
275;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2047;3190.8
276;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2048;3194.6
277;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2049;3198.3
278;Totaal mannen en vrouwen;Totaal;Noord-Holland (PV);2050;3201.7
279;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2020;3745.3
280;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2021;3772.9
281;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2022;3798.1
282;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2023;3822.8
283;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2024;3846.6
284;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2025;3869.2
285;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2026;3891.6
286;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2027;3912.9
287;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2028;3932.7
288;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2029;3952.2
289;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2030;3971.2
290;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2031;3989.3
291;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2032;4006.8
292;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2033;4023.3
293;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2034;4039.0
294;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2035;4053.9
295;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2036;4067.9
296;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2037;4081.1
297;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2038;4093.5
298;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2039;4105.3
299;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2040;4116.3
300;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2041;4126.6
301;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2042;4136.1
302;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2043;4145.2
303;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2044;4153.8
304;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2045;4161.9
305;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2046;4169.8
306;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2047;4177.3
307;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2048;4184.6
308;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2049;4191.7
309;Totaal mannen en vrouwen;Totaal;Zuid-Holland (PV);2050;4198.7
310;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2020;383.6
311;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2021;383.8
312;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2022;383.9
313;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2023;384.0
314;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2024;384.0
315;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2025;384.0
316;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2026;384.1
317;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2027;384.2
318;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2028;384.3
319;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2029;384.4
320;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2030;384.6
321;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2031;384.6
322;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2032;384.7
323;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2033;384.8
324;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2034;384.9
325;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2035;384.9
326;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2036;384.9
327;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2037;384.9
328;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2038;384.9
329;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2039;384.8
330;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2040;384.7
331;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2041;384.6
332;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2042;384.5
333;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2043;384.4
334;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2044;384.2
335;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2045;384.1
336;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2046;383.9
337;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2047;383.7
338;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2048;383.5
339;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2049;383.3
340;Totaal mannen en vrouwen;Totaal;Zeeland (PV);2050;383.1
341;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2020;2554.9
342;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2021;2566.0
343;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2022;2575.5
344;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2023;2584.4
345;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2024;2593.0
346;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2025;2601.8
347;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2026;2610.7
348;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2027;2620.2
349;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2028;2629.8
350;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2029;2639.3
351;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2030;2648.7
352;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2031;2657.9
353;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2032;2666.8
354;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2033;2675.2
355;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2034;2683.3
356;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2035;2690.9
357;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2036;2697.9
358;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2037;2704.1
359;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2038;2709.9
360;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2039;2715.1
361;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2040;2719.8
362;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2041;2724.2
363;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2042;2728.1
364;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2043;2731.4
365;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2044;2734.3
366;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2045;2737.0
367;Totaal mannen en vrouwen;Totaal;Noord-Brabant (PV);2046;2739.3
