ID;Geslacht;Leeftijdsgroep;Geboortegeneratie;HeeftOoitHetOuderlijkHuisVerlaten_1;HeeftOoitOngehuwdSamengewoond_2;IsOoitGehuwd_3;HeeftOoitOnGehuwdSamengewoond_4;OoitGescheidenNaOngehuwdSamenwonen_5;OoitGescheidenNaEenHuwelijk_6;OoitGescheidenTotaal_7;HeeftOoitKinderenGekregen_8
90;Mannen;41700;1940 tot 1945;99.7;17.8;93.1;95.4;2.6;16.4;17.3;86.3
91;Mannen;41700;1945 tot 1950;;;;;;;;
92;Mannen;41700;1950 tot 1955;;;;;;;;
93;Mannen;41700;1955 tot 1960;;;;;;;;
94;Mannen;41700;1960 tot 1965;;;;;;;;
95;Mannen;41700;1965 tot 1970;;;;;;;;
96;Mannen;41700;1970 tot 1975;;;;;;;;
97;Mannen;41700;1975 tot 1980;;;;;;;;
98;Mannen;41700;1980 tot 1985;;;;;;;;
99;Mannen;41700;1985 tot 1990;;;;;;;;
100;Vrouwen;41400;1940 tot 1945;22.7;1.0;11.5;12.3;0.0;0.0;0.0;6.0
101;Vrouwen;41400;1945 tot 1950;29.7;1.3;15.2;16.0;0.0;0.3;0.3;8.7
102;Vrouwen;41400;1950 tot 1955;40.0;6.6;18.0;23.3;0.2;0.7;0.7;8.9
103;Vrouwen;41400;1955 tot 1960;48.9;10.5;16.5;24.7;0.5;0.0;0.5;5.8
104;Vrouwen;41400;1960 tot 1965;43.9;14.8;10.1;22.3;1.2;0.6;1.6;4.4
105;Vrouwen;41400;1965 tot 1970;38.2;14.0;5.4;18.1;0.9;0.4;1.2;3.3
106;Vrouwen;41400;1970 tot 1975;43.8;12.5;4.7;16.7;1.4;0.0;1.4;3.2
107;Vrouwen;41400;1975 tot 1980;42.3;12.3;3.4;15.3;2.2;0.0;2.2;2.7
108;Vrouwen;41400;1980 tot 1985;37.2;12.3;3.1;15.2;1.1;0.0;1.1;2.2
109;Vrouwen;41400;1985 tot 1990;36.5;10.8;1.2;11.4;2.8;0.0;2.8;1.9
110;Vrouwen;41500;1940 tot 1945;83.0;3.5;72.6;74.0;0.3;1.1;1.4;48.5
111;Vrouwen;41500;1945 tot 1950;88.7;8.5;76.9;80.1;0.5;2.3;2.5;53.1
112;Vrouwen;41500;1950 tot 1955;90.4;20.0;71.3;80.2;2.1;2.2;4.3;39.5
113;Vrouwen;41500;1955 tot 1960;90.5;33.2;60.3;78.5;4.9;2.7;7.5;30.7
114;Vrouwen;41500;1960 tot 1965;89.3;44.5;47.2;72.6;7.0;3.0;9.7;23.5
115;Vrouwen;41500;1965 tot 1970;86.2;51.6;32.7;67.6;10.0;3.9;12.7;17.3
116;Vrouwen;41500;1970 tot 1975;88.1;50.4;22.8;63.1;9.6;1.1;10.7;13.8
117;Vrouwen;41500;1975 tot 1980;88.1;54.5;19.5;65.8;15.4;1.9;16.4;14.6
118;Vrouwen;41500;1980 tot 1985;71.8;41.6;12.2;49.7;12.9;0.2;13.0;10.6
119;Vrouwen;41500;1985 tot 1990;;;;;;;;
120;Vrouwen;41625;1940 tot 1945;95.3;6.0;88.9;91.0;0.7;3.7;4.3;81.9
121;Vrouwen;41625;1945 tot 1950;96.3;12.9;89.2;92.2;1.5;5.5;7.0;77.5
122;Vrouwen;41625;1950 tot 1955;97.0;26.9;84.9;92.1;4.7;6.6;11.1;68.5
123;Vrouwen;41625;1955 tot 1960;96.4;39.0;76.0;89.1;8.3;6.5;14.0;61.3
124;Vrouwen;41625;1960 tot 1965;96.7;57.7;68.5;88.7;12.1;6.6;18.0;55.6
125;Vrouwen;41625;1965 tot 1970;96.8;66.6;57.2;86.7;16.2;5.7;21.0;46.8
126;Vrouwen;41625;1970 tot 1975;97.6;68.8;47.8;84.8;19.0;4.3;23.0;41.8
127;Vrouwen;41625;1975 tot 1980;94.1;66.0;34.8;78.7;23.3;3.8;26.5;36.0
128;Vrouwen;41625;1980 tot 1985;;;;;;;;
129;Vrouwen;41625;1985 tot 1990;;;;;;;;
130;Vrouwen;41421;1940 tot 1945;96.7;7.5;91.3;92.8;0.9;7.0;7.6;88.4
131;Vrouwen;41421;1945 tot 1950;98.1;15.6;91.0;94.3;2.1;10.1;12.0;85.9
132;Vrouwen;41421;1950 tot 1955;98.5;29.9;89.1;94.9;6.0;11.6;16.7;80.5
133;Vrouwen;41421;1955 tot 1960;97.6;42.6;82.4;93.3;9.9;10.4;18.7;77.9
134;Vrouwen;41421;1960 tot 1965;98.3;61.3;77.6;92.3;14.0;11.8;24.4;76.3
135;Vrouwen;41421;1965 tot 1970;98.7;71.4;69.6;92.3;19.1;10.2;27.6;72.9
136;Vrouwen;41421;1970 tot 1975;98.6;73.7;57.3;89.9;23.4;7.1;29.4;62.6
137;Vrouwen;41421;1975 tot 1980;;;;;;;;
138;Vrouwen;41421;1980 tot 1985;;;;;;;;
139;Vrouwen;41421;1985 tot 1990;;;;;;;;
140;Vrouwen;41422;1940 tot 1945;97.5;9.0;91.7;93.6;1.5;9.7;10.7;89.0
141;Vrouwen;41422;1945 tot 1950;98.4;17.8;92.1;95.0;2.7;15.0;17.3;87.0
142;Vrouwen;41422;1950 tot 1955;99.1;31.5;90.5;95.9;7.0;15.0;20.5;84.3
143;Vrouwen;41422;1955 tot 1960;98.6;44.7;86.0;94.6;11.1;14.1;22.7;82.8
144;Vrouwen;41422;1960 tot 1965;98.9;63.7;82.0;94.3;15.2;16.5;29.1;81.8
145;Vrouwen;41422;1965 tot 1970;99.0;73.1;72.7;93.7;21.5;13.7;32.4;78.4
146;Vrouwen;41422;1970 tot 1975;;;;;;;;
147;Vrouwen;41422;1975 tot 1980;;;;;;;;
148;Vrouwen;41422;1980 tot 1985;;;;;;;;
149;Vrouwen;41422;1985 tot 1990;;;;;;;;
150;Vrouwen;41423;1940 tot 1945;98.3;10.8;92.2;94.5;2.0;12.2;13.4;89.2
151;Vrouwen;41423;1945 tot 1950;98.9;20.2;92.7;95.5;3.1;17.8;20.1;87.2
152;Vrouwen;41423;1950 tot 1955;99.5;33.4;91.1;96.5;8.2;18.2;24.1;84.7
153;Vrouwen;41423;1955 tot 1960;99.4;47.0;87.3;95.6;12.1;18.8;27.9;83.5
154;Vrouwen;41423;1960 tot 1965;99.3;64.9;83.0;95.0;16.5;19.4;32.2;82.2
155;Vrouwen;41423;1965 tot 1970;;;;;;;;
156;Vrouwen;41423;1970 tot 1975;;;;;;;;
157;Vrouwen;41423;1975 tot 1980;;;;;;;;
158;Vrouwen;41423;1980 tot 1985;;;;;;;;
159;Vrouwen;41423;1985 tot 1990;;;;;;;;
160;Vrouwen;41650;1940 tot 1945;98.6;12.4;92.5;94.8;2.5;15.8;17.2;89.2
161;Vrouwen;41650;1945 tot 1950;99.4;21.1;93.1;95.7;4.1;20.1;22.9;87.2
162;Vrouwen;41650;1950 tot 1955;99.7;34.5;92.0;96.9;8.5;21.1;26.8;84.7
163;Vrouwen;41650;1955 tot 1960;99.4;47.6;88.0;95.8;12.4;20.9;30.0;83.5
164;Vrouwen;41650;1960 tot 1965;;;;;;;;
165;Vrouwen;41650;1965 tot 1970;;;;;;;;
166;Vrouwen;41650;1970 tot 1975;;;;;;;;
167;Vrouwen;41650;1975 tot 1980;;;;;;;;
168;Vrouwen;41650;1980 tot 1985;;;;;;;;
169;Vrouwen;41650;1985 tot 1990;;;;;;;;
170;Vrouwen;41424;1940 tot 1945;98.8;14.1;92.5;94.8;2.8;17.1;18.5;89.2
171;Vrouwen;41424;1945 tot 1950;99.7;22.2;93.4;96.0;4.4;21.3;24.1;87.2
172;Vrouwen;41424;1950 tot 1955;99.8;35.2;92.0;96.9;8.7;21.9;27.7;84.7
173;Vrouwen;41424;1955 tot 1960;;;;;;;;
174;Vrouwen;41424;1960 tot 1965;;;;;;;;
175;Vrouwen;41424;1965 tot 1970;;;;;;;;
176;Vrouwen;41424;1970 tot 1975;;;;;;;;
177;Vrouwen;41424;1975 tot 1980;;;;;;;;
178;Vrouwen;41424;1980 tot 1985;;;;;;;;
179;Vrouwen;41424;1985 tot 1990;;;;;;;;
180;Vrouwen;41425;1940 tot 1945;99.6;14.6;92.5;94.8;3.0;17.4;18.9;89.2
181;Vrouwen;41425;1945 tot 1950;99.8;22.7;93.6;96.2;4.5;22.2;24.9;87.2
182;Vrouwen;41425;1950 tot 1955;;;;;;;;
183;Vrouwen;41425;1955 tot 1960;;;;;;;;
184;Vrouwen;41425;1960 tot 1965;;;;;;;;
185;Vrouwen;41425;1965 tot 1970;;;;;;;;
186;Vrouwen;41425;1970 tot 1975;;;;;;;;
187;Vrouwen;41425;1975 tot 1980;;;;;;;;
188;Vrouwen;41425;1980 tot 1985;;;;;;;;
189;Vrouwen;41425;1985 tot 1990;;;;;;;;
190;Vrouwen;41700;1940 tot 1945;99.8;15.2;92.5;94.8;3.0;17.7;19.1;89.2
191;Vrouwen;41700;1945 tot 1950;;;;;;;;
192;Vrouwen;41700;1950 tot 1955;;;;;;;;
193;Vrouwen;41700;1955 tot 1960;;;;;;;;
194;Vrouwen;41700;1960 tot 1965;;;;;;;;
195;Vrouwen;41700;1965 tot 1970;;;;;;;;
196;Vrouwen;41700;1970 tot 1975;;;;;;;;
197;Vrouwen;41700;1975 tot 1980;;;;;;;;
198;Vrouwen;41700;1980 tot 1985;;;;;;;;
199;Vrouwen;41700;1985 tot 1990;;;;;;;;
