ID;BewoondeVertrekken;Gebieden;Woningen_1;Totaal_2;NietInDirectContactMetBuitenlucht_3;InDirectContactMetBuitenlucht_4;AantalBewoners_5;Pagina_6;k_1PersoonOfMinder_7;MeerDan1TM2Personen_8;MeerDan2TM3Personen_9;MeerDan3TM4Personen_10;MeerDan4TM6Personen_11;MeerDan6Personen_12;Pagina_13
115;1 bewoond vertrek;Almelo (Stad-), Wijk A;1;1;0;1;8;WS 42;0;0;0;0;0;1;WS 90
116;1 bewoond vertrek;Almelo (Stad-), Wijk B;11;11;0;11;37;WS 42;5;1;0;1;2;2;WS 90
117;1 bewoond vertrek;Almelo (Stad-), Wijk C;17;17;0;17;62;WS 42;5;3;1;4;2;2;WS 90
118;1 bewoond vertrek;Almelo (Stad-), Wijk D;23;23;0;23;91;WS 42;1;7;4;3;4;4;WS 90
119;1 bewoond vertrek;Almelo (Stad-), Wijk E;11;11;0;11;37;WS 42;6;0;1;1;0;3;WS 90
120;1 bewoond vertrek;Almelo (Stad-), Wijk F;29;29;0;29;96;WS 42;10;3;5;2;5;4;WS 90
121;1 bewoond vertrek;Almelo (Stad-), Wijk G;23;23;0;23;76;WS 42;9;3;2;1;6;2;WS 90
122;1 bewoond vertrek;Almelo (Stad-), Wijk H;10;10;0;10;35;WS 42;3;3;1;0;1;2;WS 90
123;1 bewoond vertrek;Almelo (Stad-), Wijk I;30;30;0;30;102;WS 42;7;8;5;1;3;6;WS 90
124;1 bewoond vertrek;Almelo (Stad-), Wijk K;4;4;0;4;12;WS 42;2;0;0;0;2;0;WS 90
125;1 bewoond vertrek;Almelo (Stad-), Wijk L;6;6;0;6;16;WS 42;2;2;0;1;1;0;WS 90
126;1 bewoond vertrek;Almelo (Stad-), Wijk M;20;20;0;20;72;WS 42;6;5;0;2;3;4;WS 90
127;1 bewoond vertrek;Almelo (Stad-), Wijk N;17;17;0;17;79;WS 42;0;4;2;3;6;2;WS 90
128;1 bewoond vertrek;Amersfoort, Totaal;636;636;0;636;2076;WS 26;175;121;96;71;101;72;WS 78
129;1 bewoond vertrek;Amersfoort, Wijk A;74;74;0;74;234;WS 26;24;13;7;11;14;5;WS 78
130;1 bewoond vertrek;Amersfoort, Wijk B;40;40;0;40;101;WS 26;19;8;5;1;4;3;WS 78
131;1 bewoond vertrek;Amersfoort, Wijk C;72;72;0;72;182;WS 26;29;14;14;6;6;3;WS 78
132;1 bewoond vertrek;Amersfoort, Wijk D;113;113;0;113;380;WS 26;33;20;17;13;14;16;WS 78
133;1 bewoond vertrek;Amersfoort, Wijk E;118;118;0;118;395;WS 26;24;24;14;15;24;17;WS 78
134;1 bewoond vertrek;Amersfoort, Wijk F;76;76;0;76;224;WS 26;27;19;8;3;13;6;WS 78
135;1 bewoond vertrek;Amersfoort, Wijk G;98;98;0;98;392;WS 26;14;13;21;18;14;18;WS 78
136;1 bewoond vertrek;Amersfoort, Wijk H;20;20;0;20;85;WS 26;1;3;5;2;7;2;WS 78
137;1 bewoond vertrek;Amersfoort, Wijk I;25;25;0;25;83;WS 26;4;7;5;2;5;2;WS 78
138;1 bewoond vertrek;Amsterdam, Totaal;22359;22359;44;22315;67214;WS 20;6942;5068;3130;2315;3004;1900;WS 70
139;1 bewoond vertrek;Amsterdam, Wijk A;282;282;0;282;710;WS 18;100;86;35;28;18;15;WS 70
140;1 bewoond vertrek;Amsterdam, Wijk B;115;115;0;115;297;WS 18;44;20;15;12;19;5;WS 70
141;1 bewoond vertrek;Amsterdam, Wijk C;296;296;0;296;980;WS 18;57;81;42;48;43;25;WS 70
142;1 bewoond vertrek;Amsterdam, Wijk D;153;153;0;153;435;WS 18;48;43;21;10;18;13;WS 70
143;1 bewoond vertrek;Amsterdam, Wijk E;203;203;3;200;333;WS 18;145;24;19;4;7;4;WS 70
144;1 bewoond vertrek;Amsterdam, Wijk F;161;161;0;161;361;WS 18;87;32;11;8;13;10;WS 70
145;1 bewoond vertrek;Amsterdam, Wijk G;140;140;2;138;296;WS 18;78;27;11;8;12;4;WS 70
146;1 bewoond vertrek;Amsterdam, Wijk H;366;366;0;366;1142;WS 18;94;106;45;34;50;37;WS 70
147;1 bewoond vertrek;Amsterdam, Wijk I;316;316;0;316;978;WS 18;87;82;38;24;61;24;WS 70
148;1 bewoond vertrek;Amsterdam, Wijk K;316;316;2;314;895;WS 18;100;79;48;33;33;23;WS 70
149;1 bewoond vertrek;Amsterdam, Wijk L;493;493;1;492;1431;WS 18;146;120;80;50;62;35;WS 70
150;1 bewoond vertrek;Amsterdam, Wijk M;372;372;0;372;1030;WS 18;112;102;57;38;41;22;WS 70
151;1 bewoond vertrek;Amsterdam, Wijk N;372;372;5;367;1264;WS 18;78;86;59;46;61;42;WS 70
152;1 bewoond vertrek;Amsterdam, Wijk O;583;583;2;581;2059;WS 18;106;133;101;67;113;63;WS 70
153;1 bewoond vertrek;Amsterdam, Wijk P;327;327;0;327;1342;WS 18;43;43;69;44;66;62;WS 70
154;1 bewoond vertrek;Amsterdam, Wijk Q;289;289;0;289;1232;WS 18;35;63;41;35;55;60;WS 70
155;1 bewoond vertrek;Amsterdam, Wijk R;309;309;1;308;1345;WS 18;31;71;40;38;59;70;WS 70
156;1 bewoond vertrek;Amsterdam, Wijk S;360;360;0;360;1642;WS 18;36;69;54;43;69;89;WS 70
157;1 bewoond vertrek;Amsterdam, Wijk T;1156;1156;2;1154;3711;WS 18;273;290;162;152;177;102;WS 70
158;1 bewoond vertrek;Amsterdam, Wijk U;598;598;1;597;1933;WS 18;120;154;101;88;89;46;WS 70
159;1 bewoond vertrek;Amsterdam, Wijk V;206;206;1;205;726;WS 18;57;41;25;24;25;34;WS 70
160;1 bewoond vertrek;Amsterdam, Wijk W;513;513;1;512;1764;WS 18;112;121;87;59;72;62;WS 70
161;1 bewoond vertrek;Amsterdam, Wijk X;294;294;2;292;782;WS 18;128;55;33;19;42;17;WS 70
162;1 bewoond vertrek;Amsterdam, Wijk Y;151;151;0;151;333;WS 18;81;26;16;8;15;5;WS 70
163;1 bewoond vertrek;Amsterdam, Wijk Z;350;350;0;350;859;WS 18;162;63;43;34;28;20;WS 70
164;1 bewoond vertrek;Amsterdam, Wijk AA;461;461;1;460;1107;WS 18;189;112;67;41;35;17;WS 70
165;1 bewoond vertrek;Amsterdam, Wijk BB;325;325;0;325;692;WS 18;168;80;30;17;13;17;WS 70
166;1 bewoond vertrek;Amsterdam, Wijk CC;428;428;3;425;1139;WS 18;152;105;57;52;39;23;WS 70
167;1 bewoond vertrek;Amsterdam, Wijk DD;568;568;1;567;1681;WS 18;174;144;76;57;72;45;WS 70
168;1 bewoond vertrek;Amsterdam, Wijk EE;880;880;0;880;2800;WS 18;218;203;132;109;148;70;WS 70
169;1 bewoond vertrek;Amsterdam, Wijk FF;568;568;0;568;1905;WS 18;140;118;87;66;94;63;WS 70
170;1 bewoond vertrek;Amsterdam, Wijk GG;743;743;0;743;2226;WS 18;211;181;105;88;108;50;WS 70
171;1 bewoond vertrek;Amsterdam, Wijk HH;313;313;1;312;772;WS 18;134;71;39;22;33;14;WS 70
172;1 bewoond vertrek;Amsterdam, Wijk II;131;131;0;131;302;WS 18;68;30;9;4;11;9;WS 70
173;1 bewoond vertrek;Amsterdam, Wijk KK;267;267;0;267;582;WS 18;125;70;28;18;16;10;WS 70
174;1 bewoond vertrek;Amsterdam, Wijk LL;68;68;0;68;133;WS 18;42;9;5;6;4;2;WS 70
175;1 bewoond vertrek;Amsterdam, Wijk MM;425;425;0;425;1153;WS 18;147;100;61;45;51;21;WS 70
176;1 bewoond vertrek;Amsterdam, Wijk NN;733;733;0;733;2322;WS 18;175;169;135;82;113;59;WS 70
177;1 bewoond vertrek;Amsterdam, Wijk OO;1027;1027;0;1027;3266;WS 18;255;234;176;113;165;84;WS 70
178;1 bewoond vertrek;Amsterdam, Wijk PP;1015;1015;1;1014;3352;WS 18;221;250;158;144;139;103;WS 70
179;1 bewoond vertrek;Amsterdam, Wijk QQ;1380;1380;1;1379;4773;WS 18;275;333;217;166;234;155;WS 70
180;1 bewoond vertrek;Amsterdam, Wijk RR;86;86;2;84;226;WS 18;35;20;11;5;11;4;WS 70
181;1 bewoond vertrek;Amsterdam, Wijk SS;226;226;0;226;562;WS 18;83;59;32;23;22;7;WS 70
182;1 bewoond vertrek;Amsterdam, Wijk TT;359;359;0;359;1037;WS 18;115;89;47;36;50;22;WS 70
183;1 bewoond vertrek;Amsterdam, Wijk UU;832;832;3;829;2706;WS 18;187;204;144;91;129;77;WS 70
184;1 bewoond vertrek;Amsterdam, Wijk VV;250;250;1;249;794;WS 20;58;67;41;22;37;25;WS 70
185;1 bewoond vertrek;Amsterdam, Wijk WW;372;372;0;372;1034;WS 20;139;63;61;36;50;23;WS 70
186;1 bewoond vertrek;Amsterdam, Wijk XX;353;353;0;353;731;WS 20;226;38;29;18;25;17;WS 70
187;1 bewoond vertrek;Amsterdam, Wijk YY;808;808;5;803;1351;WS 20;580;108;41;27;37;15;WS 70
188;1 bewoond vertrek;Amsterdam, Wijk ZZ;422;422;2;420;975;WS 20;226;75;33;29;35;24;WS 70
189;1 bewoond vertrek;Amsterdam, Wijk ONA;598;598;0;598;1713;WS 20;239;119;56;44;85;55;WS 70
190;1 bewoond vertrek;Apeldoorn, Totaal;1717;1717;0;1717;7259;WS  6;163;259;315;293;422;265;WS 60
191;1 bewoond vertrek;Apeldoorn, Wijk A, Apeldoorn;250;250;0;250;1095;WS  6;26;38;43;35;64;44;WS 60
192;1 bewoond vertrek;Apeldoorn, Wijk N, Hoog Soeren;4;4;0;4;10;WS  6;1;1;1;1;0;0;WS 60
193;1 bewoond vertrek;Apeldoorn, Wijk A, Beekbergen;38;38;0;38;167;WS  6;5;4;11;4;4;10;WS 60
194;1 bewoond vertrek;Apeldoorn, Wijk A, Loenen;25;25;0;25;95;WS  6;3;4;9;1;6;2;WS 60
195;1 bewoond vertrek;Apeldoorn, Wijk B, Zevenhuizen;174;174;0;174;799;WS  6;4;24;30;34;53;29;WS 60
196;1 bewoond vertrek;Apeldoorn, Wijk B, Zilven;85;85;0;85;385;WS  6;8;11;7;15;32;12;WS 60
197;1 bewoond vertrek;Apeldoorn, Wijk B, Brink en Orden;277;277;0;277;1076;WS  6;38;46;56;33;66;38;WS 60
198;1 bewoond vertrek;Apeldoorn, Wijk D, Wormen;233;233;0;233;999;WS  6;29;32;37;45;48;42;WS 60
199;1 bewoond vertrek;Apeldoorn, Wijk L, 't Loo;63;63;0;63;176;WS  6;19;18;7;9;6;4;WS 60
200;1 bewoond vertrek;Apeldoorn, Wijk A, Lieren;36;36;0;36;138;WS  6;3;6;7;10;7;3;WS 60
201;1 bewoond vertrek;Apeldoorn, Wijk C, Oosterhuizen;99;99;0;99;465;WS  6;5;8;18;25;22;21;WS 60
202;1 bewoond vertrek;Apeldoorn, Wijk D, Engeland;25;25;0;25;104;WS  6;3;4;5;3;8;2;WS 60
203;1 bewoond vertrek;Apeldoorn, Wijk E, Ughelen;44;44;0;44;209;WS  6;0;7;12;6;9;10;WS 60
204;1 bewoond vertrek;Apeldoorn, Wijk E, Woudhuis;55;55;0;55;242;WS  6;1;9;17;9;9;10;WS 60
205;1 bewoond vertrek;Apeldoorn, Wijk F, Anklaar;62;62;0;62;256;WS  6;2;12;9;15;15;9;WS 60
206;1 bewoond vertrek;Apeldoorn, Wijk F, Hoenderloo;59;59;0;59;250;WS  6;4;6;13;9;21;6;WS 60
207;1 bewoond vertrek;Apeldoorn, Wijk G, Broekland;14;14;0;14;40;WS  6;3;4;2;3;2;0;WS 60
