ID;RegioS;AutochtonenAllochtonen;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
43;Overijssel (PV);Herkomst: Westers land;53.0;16.3
44;Overijssel (PV);Herkomst: Niet-westers land;34.0;13.3
45;Flevoland (PV);Herkomst (land);224.1;17.2
46;Flevoland (PV);Herkomst: Nederland;179.4;17.4
47;Flevoland (PV);Herkomst: Niet-Nederland;44.7;16.4
48;Flevoland (PV);Herkomst: Westers land;17.9;17.5
49;Flevoland (PV);Herkomst: Niet-westers land;26.9;15.6
50;Gelderland (PV);Herkomst (land);1310.3;17.2
51;Gelderland (PV);Herkomst: Nederland;1156.4;17.3
52;Gelderland (PV);Herkomst: Niet-Nederland;153.9;16.1
53;Gelderland (PV);Herkomst: Westers land;100.9;17.3
54;Gelderland (PV);Herkomst: Niet-westers land;53.0;13.8
55;Utrecht (PV);Herkomst (land);774.6;19.0
56;Utrecht (PV);Herkomst: Nederland;650.9;19.3
57;Utrecht (PV);Herkomst: Niet-Nederland;123.7;17.4
58;Utrecht (PV);Herkomst: Westers land;64.5;19.8
59;Utrecht (PV);Herkomst: Niet-westers land;59.2;14.8
60;Noord-Holland (PV);Herkomst (land);1738.7;18.6
61;Noord-Holland (PV);Herkomst: Nederland;1367.0;18.9
62;Noord-Holland (PV);Herkomst: Niet-Nederland;371.8;17.6
63;Noord-Holland (PV);Herkomst: Westers land;175.7;20.0
64;Noord-Holland (PV);Herkomst: Niet-westers land;196.1;15.4
65;Zuid-Holland (PV);Herkomst (land);2274.9;18.3
66;Zuid-Holland (PV);Herkomst: Nederland;1802.6;18.6
67;Zuid-Holland (PV);Herkomst: Niet-Nederland;472.3;17.0
68;Zuid-Holland (PV);Herkomst: Westers land;201.8;19.7
69;Zuid-Holland (PV);Herkomst: Niet-westers land;270.5;14.9
70;Zeeland (PV);Herkomst (land);251.6;17.3
71;Zeeland (PV);Herkomst: Nederland;220.5;17.5
72;Zeeland (PV);Herkomst: Niet-Nederland;31.1;16.0
73;Zeeland (PV);Herkomst: Westers land;24.1;16.7
74;Zeeland (PV);Herkomst: Niet-westers land;7.0;13.6
75;Noord-Brabant (PV);Herkomst (land);1620.5;17.5
76;Noord-Brabant (PV);Herkomst: Nederland;1417.7;17.7
77;Noord-Brabant (PV);Herkomst: Niet-Nederland;202.8;16.2
78;Noord-Brabant (PV);Herkomst: Westers land;124.7;17.5
79;Noord-Brabant (PV);Herkomst: Niet-westers land;78.1;14.1
80;Limburg (PV);Herkomst (land);768.7;16.6
81;Limburg (PV);Herkomst: Nederland;631.8;16.9
82;Limburg (PV);Herkomst: Niet-Nederland;136.9;15.6
83;Limburg (PV);Herkomst: Westers land;111.8;16.1
84;Limburg (PV);Herkomst: Niet-westers land;25.2;13.6
85;Oost-Groningen (CR);Herkomst (land);103.6;15.4
86;Oost-Groningen (CR);Herkomst: Nederland;96.3;15.4
87;Oost-Groningen (CR);Herkomst: Niet-Nederland;7.3;15.1
88;Oost-Groningen (CR);Herkomst: Westers land;5.7;15.7
89;Oost-Groningen (CR);Herkomst: Niet-westers land;1.7;13.2
90;Delfzijl en omgeving (CR);Herkomst (land);34.5;16.2
91;Delfzijl en omgeving (CR);Herkomst: Nederland;30.9;16.4
92;Delfzijl en omgeving (CR);Herkomst: Niet-Nederland;3.6;14.8
93;Delfzijl en omgeving (CR);Herkomst: Westers land;2.3;15.4
94;Delfzijl en omgeving (CR);Herkomst: Niet-westers land;1.4;13.6
95;Overig Groningen (CR);Herkomst (land);243.8;16.4
96;Overig Groningen (CR);Herkomst: Nederland;218.2;16.5
97;Overig Groningen (CR);Herkomst: Niet-Nederland;25.6;15.6
98;Overig Groningen (CR);Herkomst: Westers land;15.9;16.8
99;Overig Groningen (CR);Herkomst: Niet-westers land;9.7;13.8
100;Noord-Friesland (CR);Herkomst (land);216.1;16.1
101;Noord-Friesland (CR);Herkomst: Nederland;202.0;16.2
102;Noord-Friesland (CR);Herkomst: Niet-Nederland;14.0;14.9
103;Noord-Friesland (CR);Herkomst: Westers land;9.4;15.9
104;Noord-Friesland (CR);Herkomst: Niet-westers land;4.6;12.9
105;Zuidwest-Friesland (CR);Herkomst (land);68.5;16.5
106;Zuidwest-Friesland (CR);Herkomst: Nederland;64.3;16.5
107;Zuidwest-Friesland (CR);Herkomst: Niet-Nederland;4.2;15.7
108;Zuidwest-Friesland (CR);Herkomst: Westers land;3.3;16.7
109;Zuidwest-Friesland (CR);Herkomst: Niet-westers land;1.0;12.3
110;Zuidoost-Friesland (CR);Herkomst (land);136.6;16.5
111;Zuidoost-Friesland (CR);Herkomst: Nederland;127.7;16.6
112;Zuidoost-Friesland (CR);Herkomst: Niet-Nederland;8.8;15.1
113;Zuidoost-Friesland (CR);Herkomst: Westers land;6.1;15.9
114;Zuidoost-Friesland (CR);Herkomst: Niet-westers land;2.8;13.5
115;Noord-Drenthe (CR);Herkomst (land);124.1;17.5
116;Noord-Drenthe (CR);Herkomst: Nederland;115.0;17.5
117;Noord-Drenthe (CR);Herkomst: Niet-Nederland;9.1;17.2
118;Noord-Drenthe (CR);Herkomst: Westers land;7.0;17.9
119;Noord-Drenthe (CR);Herkomst: Niet-westers land;2.1;14.9
120;Zuidoost-Drenthe (CR);Herkomst (land);114.7;15.7
121;Zuidoost-Drenthe (CR);Herkomst: Nederland;106.2;15.7
122;Zuidoost-Drenthe (CR);Herkomst: Niet-Nederland;8.5;15.0
123;Zuidoost-Drenthe (CR);Herkomst: Westers land;6.7;15.5
124;Zuidoost-Drenthe (CR);Herkomst: Niet-westers land;1.7;13.4
125;Zuidwest-Drenthe (CR);Herkomst (land);85.2;16.9
126;Zuidwest-Drenthe (CR);Herkomst: Nederland;79.9;16.8
127;Zuidwest-Drenthe (CR);Herkomst: Niet-Nederland;5.4;17.4
128;Zuidwest-Drenthe (CR);Herkomst: Westers land;3.9;18.6
129;Zuidwest-Drenthe (CR);Herkomst: Niet-westers land;1.4;14.1
130;Noord-Overijssel (CR);Herkomst (land);223.1;16.6
131;Noord-Overijssel (CR);Herkomst: Nederland;206.7;16.7
132;Noord-Overijssel (CR);Herkomst: Niet-Nederland;16.5;15.4
133;Noord-Overijssel (CR);Herkomst: Westers land;10.0;16.7
134;Noord-Overijssel (CR);Herkomst: Niet-westers land;6.5;13.5
135;Zuidwest-Overijssel (CR);Herkomst (land);99.0;16.6
136;Zuidwest-Overijssel (CR);Herkomst: Nederland;86.9;16.8
137;Zuidwest-Overijssel (CR);Herkomst: Niet-Nederland;12.1;15.2
138;Zuidwest-Overijssel (CR);Herkomst: Westers land;6.7;16.8
139;Zuidwest-Overijssel (CR);Herkomst: Niet-westers land;5.4;13.2
140;Twente (CR);Herkomst (land);404.4;16.3
141;Twente (CR);Herkomst: Nederland;346.0;16.5
142;Twente (CR);Herkomst: Niet-Nederland;58.4;15.0
143;Twente (CR);Herkomst: Westers land;36.3;16.1
144;Twente (CR);Herkomst: Niet-westers land;22.1;13.3
145;Veluwe (CR);Herkomst (land);420.8;17.5
146;Veluwe (CR);Herkomst: Nederland;379.3;17.6
147;Veluwe (CR);Herkomst: Niet-Nederland;41.5;16.4
148;Veluwe (CR);Herkomst: Westers land;26.5;17.8
149;Veluwe (CR);Herkomst: Niet-westers land;15.0;14.0
150;Achterhoek (CR);Herkomst (land);260.6;16.6
151;Achterhoek (CR);Herkomst: Nederland;235.9;16.7
152;Achterhoek (CR);Herkomst: Niet-Nederland;24.7;15.6
153;Achterhoek (CR);Herkomst: Westers land;17.9;16.4
154;Achterhoek (CR);Herkomst: Niet-westers land;6.8;13.6
155;Arnhem/Nijmegen (CR);Herkomst (land);480.0;17.2
156;Arnhem/Nijmegen (CR);Herkomst: Nederland;406.2;17.4
157;Arnhem/Nijmegen (CR);Herkomst: Niet-Nederland;73.9;16.0
158;Arnhem/Nijmegen (CR);Herkomst: Westers land;48.1;17.3
159;Arnhem/Nijmegen (CR);Herkomst: Niet-westers land;25.8;13.6
160;Zuidwest-Gelderland (CR);Herkomst (land);148.9;17.6
161;Zuidwest-Gelderland (CR);Herkomst: Nederland;135.0;17.7
162;Zuidwest-Gelderland (CR);Herkomst: Niet-Nederland;13.9;16.6
163;Zuidwest-Gelderland (CR);Herkomst: Westers land;8.5;18.1
164;Zuidwest-Gelderland (CR);Herkomst: Niet-westers land;5.4;14.3
165;Utrecht (CR);Herkomst (land);774.6;19.0
166;Utrecht (CR);Herkomst: Nederland;650.9;19.3
167;Utrecht (CR);Herkomst: Niet-Nederland;123.7;17.4
168;Utrecht (CR);Herkomst: Westers land;64.5;19.8
169;Utrecht (CR);Herkomst: Niet-westers land;59.2;14.8
170;Kop van Noord-Holland (CR);Herkomst (land);243.1;17.0
171;Kop van Noord-Holland (CR);Herkomst: Nederland;218.4;17.1
172;Kop van Noord-Holland (CR);Herkomst: Niet-Nederland;24.7;16.1
173;Kop van Noord-Holland (CR);Herkomst: Westers land;15.7;17.1
174;Kop van Noord-Holland (CR);Herkomst: Niet-westers land;9.1;14.4
175;Alkmaar en omgeving (CR);Herkomst (land);152.8;18.1
176;Alkmaar en omgeving (CR);Herkomst: Nederland;132.6;18.3
177;Alkmaar en omgeving (CR);Herkomst: Niet-Nederland;20.2;16.7
178;Alkmaar en omgeving (CR);Herkomst: Westers land;11.9;18.3
179;Alkmaar en omgeving (CR);Herkomst: Niet-westers land;8.3;14.5
180;IJmond (CR);Herkomst (land);129.3;18.2
181;IJmond (CR);Herkomst: Nederland;113.1;18.4
182;IJmond (CR);Herkomst: Niet-Nederland;16.2;16.9
183;IJmond (CR);Herkomst: Westers land;10.7;18.1
184;IJmond (CR);Herkomst: Niet-westers land;5.4;14.4
185;Agglomeratie Haarlem (CR);Herkomst (land);151.1;19.6
186;Agglomeratie Haarlem (CR);Herkomst: Nederland;125.0;19.8
187;Agglomeratie Haarlem (CR);Herkomst: Niet-Nederland;26.2;18.9
188;Agglomeratie Haarlem (CR);Herkomst: Westers land;15.8;21.0
189;Agglomeratie Haarlem (CR);Herkomst: Niet-westers land;10.4;15.7
190;Zaanstreek (CR);Herkomst (land);106.7;17.5
191;Zaanstreek (CR);Herkomst: Nederland;86.7;17.9
192;Zaanstreek (CR);Herkomst: Niet-Nederland;20.0;16.1
193;Zaanstreek (CR);Herkomst: Westers land;9.2;17.5
194;Zaanstreek (CR);Herkomst: Niet-westers land;10.8;14.8
195;Groot-Amsterdam (CR);Herkomst (land);790.8;18.8
196;Groot-Amsterdam (CR);Herkomst: Nederland;551.9;19.4
197;Groot-Amsterdam (CR);Herkomst: Niet-Nederland;238.8;17.5
198;Groot-Amsterdam (CR);Herkomst: Westers land;95.2;20.4
199;Groot-Amsterdam (CR);Herkomst: Niet-westers land;143.7;15.6
200;Het Gooi en Vechtstreek (CR);Herkomst (land);164.9;20.9
201;Het Gooi en Vechtstreek (CR);Herkomst: Nederland;139.2;21.0
202;Het Gooi en Vechtstreek (CR);Herkomst: Niet-Nederland;25.7;20.5
203;Het Gooi en Vechtstreek (CR);Herkomst: Westers land;17.3;22.7
204;Het Gooi en Vechtstreek (CR);Herkomst: Niet-westers land;8.3;16.0
205;Agglomeratie Leiden en Bollenstreek (CR);Herkomst (land);258.1;19.0
206;Agglomeratie Leiden en Bollenstreek (CR);Herkomst: Nederland;224.6;19.0
207;Agglomeratie Leiden en Bollenstreek (CR);Herkomst: Niet-Nederland;33.5;18.9
208;Agglomeratie Leiden en Bollenstreek (CR);Herkomst: Westers land;20.8;21.1
209;Agglomeratie Leiden en Bollenstreek (CR);Herkomst: Niet-westers land;12.7;15.4
210;Agglomeratie 's-Gravenhage (CR);Herkomst (land);505.1;19.0
211;Agglomeratie 's-Gravenhage (CR);Herkomst: Nederland;357.5;19.3
212;Agglomeratie 's-Gravenhage (CR);Herkomst: Niet-Nederland;147.5;18.2
213;Agglomeratie 's-Gravenhage (CR);Herkomst: Westers land;61.8;22.1
214;Agglomeratie 's-Gravenhage (CR);Herkomst: Niet-westers land;85.7;15.4
215;Delft en Westland (CR);Herkomst (land);140.9;17.6
216;Delft en Westland (CR);Herkomst: Nederland;122.7;17.7
217;Delft en Westland (CR);Herkomst: Niet-Nederland;18.2;16.6
218;Delft en Westland (CR);Herkomst: Westers land;9.5;18.4
219;Delft en Westland (CR);Herkomst: Niet-westers land;8.7;14.6
220;Oost-Zuid-Holland (CR);Herkomst (land);211.7;18.7
221;Oost-Zuid-Holland (CR);Herkomst: Nederland;186.4;18.9
222;Oost-Zuid-Holland (CR);Herkomst: Niet-Nederland;25.4;17.2
223;Oost-Zuid-Holland (CR);Herkomst: Westers land;14.4;19.2
224;Oost-Zuid-Holland (CR);Herkomst: Niet-westers land;11.0;14.6
225;Groot-Rijnmond (CR);Herkomst (land);897.5;17.8
226;Groot-Rijnmond (CR);Herkomst: Nederland;686.3;18.3
227;Groot-Rijnmond (CR);Herkomst: Niet-Nederland;211.2;16.0
228;Groot-Rijnmond (CR);Herkomst: Westers land;76.1;18.3
229;Groot-Rijnmond (CR);Herkomst: Niet-westers land;135.1;14.7
230;Zuidoost-Zuid-Holland (CR);Herkomst (land);261.7;17.8
231;Zuidoost-Zuid-Holland (CR);Herkomst: Nederland;225.1;18.1
232;Zuidoost-Zuid-Holland (CR);Herkomst: Niet-Nederland;36.6;15.9
233;Zuidoost-Zuid-Holland (CR);Herkomst: Westers land;19.2;17.5
234;Zuidoost-Zuid-Holland (CR);Herkomst: Niet-westers land;17.3;14.1
235;Zeeuwsch-Vlaanderen (CR);Herkomst (land);72.0;17.2
236;Zeeuwsch-Vlaanderen (CR);Herkomst: Nederland;58.7;17.5
237;Zeeuwsch-Vlaanderen (CR);Herkomst: Niet-Nederland;13.4;15.9
238;Zeeuwsch-Vlaanderen (CR);Herkomst: Westers land;11.6;16.3
239;Zeeuwsch-Vlaanderen (CR);Herkomst: Niet-westers land;1.8;13.1
240;Overig Zeeland (CR);Herkomst (land);179.6;17.4
241;Overig Zeeland (CR);Herkomst: Nederland;161.9;17.5
242;Overig Zeeland (CR);Herkomst: Niet-Nederland;17.7;16.1
243;Overig Zeeland (CR);Herkomst: Westers land;12.5;17.1
244;Overig Zeeland (CR);Herkomst: Niet-westers land;5.2;13.7
245;West-Noord-Brabant (CR);Herkomst (land);407.6;17.7
246;West-Noord-Brabant (CR);Herkomst: Nederland;353.6;17.9
247;West-Noord-Brabant (CR);Herkomst: Niet-Nederland;54.1;16.4
248;West-Noord-Brabant (CR);Herkomst: Westers land;33.2;17.8
249;West-Noord-Brabant (CR);Herkomst: Niet-westers land;20.9;14.2
250;Midden-Noord-Brabant (CR);Herkomst (land);303.2;17.1
251;Midden-Noord-Brabant (CR);Herkomst: Nederland;265.6;17.3
252;Midden-Noord-Brabant (CR);Herkomst: Niet-Nederland;37.7;15.6
253;Midden-Noord-Brabant (CR);Herkomst: Westers land;21.7;16.8
254;Midden-Noord-Brabant (CR);Herkomst: Niet-westers land;16.0;13.9
255;Noordoost-Noord-Brabant (CR);Herkomst (land);422.4;17.5
256;Noordoost-Noord-Brabant (CR);Herkomst: Nederland;377.3;17.7
257;Noordoost-Noord-Brabant (CR);Herkomst: Niet-Nederland;45.2;16.0
258;Noordoost-Noord-Brabant (CR);Herkomst: Westers land;27.8;17.4
259;Noordoost-Noord-Brabant (CR);Herkomst: Niet-westers land;17.4;13.8
260;Zuidoost-Noord-Brabant (CR);Herkomst (land);487.2;17.5
261;Zuidoost-Noord-Brabant (CR);Herkomst: Nederland;421.3;17.7
262;Zuidoost-Noord-Brabant (CR);Herkomst: Niet-Nederland;65.9;16.5
263;Zuidoost-Noord-Brabant (CR);Herkomst: Westers land;42.1;17.8
264;Zuidoost-Noord-Brabant (CR);Herkomst: Niet-westers land;23.8;14.4
265;Noord-Limburg (CR);Herkomst (land);188.9;16.4
266;Noord-Limburg (CR);Herkomst: Nederland;161.4;16.6
267;Noord-Limburg (CR);Herkomst: Niet-Nederland;27.5;15.3
268;Noord-Limburg (CR);Herkomst: Westers land;19.9;15.8
269;Noord-Limburg (CR);Herkomst: Niet-westers land;7.6;14.1
270;Midden-Limburg (CR);Herkomst (land);159.2;16.8
271;Midden-Limburg (CR);Herkomst: Nederland;135.2;17.1
272;Midden-Limburg (CR);Herkomst: Niet-Nederland;24.0;15.6
273;Midden-Limburg (CR);Herkomst: Westers land;18.5;16.2
274;Midden-Limburg (CR);Herkomst: Niet-westers land;5.5;13.4
275;Zuid-Limburg (CR);Herkomst (land);420.6;16.7
276;Zuid-Limburg (CR);Herkomst: Nederland;335.2;16.9
277;Zuid-Limburg (CR);Herkomst: Niet-Nederland;85.4;15.7
278;Zuid-Limburg (CR);Herkomst: Westers land;73.3;16.1
279;Zuid-Limburg (CR);Herkomst: Niet-westers land;12.1;13.5
280;Flevoland (CR);Herkomst (land);224.1;17.2
281;Flevoland (CR);Herkomst: Nederland;179.4;17.4
282;Flevoland (CR);Herkomst: Niet-Nederland;44.7;16.4
283;Flevoland (CR);Herkomst: Westers land;17.9;17.5
284;Flevoland (CR);Herkomst: Niet-westers land;26.9;15.6
285;Groningen (GA);Herkomst (land);134.9;16.6
286;Groningen (GA);Herkomst: Nederland;116.1;16.7
287;Groningen (GA);Herkomst: Niet-Nederland;18.7;15.5
288;Groningen (GA);Herkomst: Westers land;11.4;16.6
289;Groningen (GA);Herkomst: Niet-westers land;7.3;13.6
290;Leeuwarden (GA);Herkomst (land);61.8;16.2
291;Leeuwarden (GA);Herkomst: Nederland;54.1;16.5
292;Leeuwarden (GA);Herkomst: Niet-Nederland;7.7;14.4
293;Leeuwarden (GA);Herkomst: Westers land;4.3;15.7
294;Leeuwarden (GA);Herkomst: Niet-westers land;3.4;12.8
295;Zwolle (GA);Herkomst (land);76.2;17.3
296;Zwolle (GA);Herkomst: Nederland;66.6;17.6
297;Zwolle (GA);Herkomst: Niet-Nederland;9.6;15.4
298;Zwolle (GA);Herkomst: Westers land;5.2;17.0
299;Zwolle (GA);Herkomst: Niet-westers land;4.4;13.5
300;Enschede (GA);Herkomst (land);99.7;15.6
301;Enschede (GA);Herkomst: Nederland;77.0;15.9
302;Enschede (GA);Herkomst: Niet-Nederland;22.7;14.5
303;Enschede (GA);Herkomst: Westers land;13.0;15.5
304;Enschede (GA);Herkomst: Niet-westers land;9.7;13.2
305;Apeldoorn (GA);Herkomst (land);106.8;17.6
306;Apeldoorn (GA);Herkomst: Nederland;93.0;17.8
307;Apeldoorn (GA);Herkomst: Niet-Nederland;13.7;16.3
308;Apeldoorn (GA);Herkomst: Westers land;8.7;17.8
309;Apeldoorn (GA);Herkomst: Niet-westers land;5.0;13.6
310;Arnhem (GA);Herkomst (land);98.1;16.8
311;Arnhem (GA);Herkomst: Nederland;75.0;17.4
312;Arnhem (GA);Herkomst: Niet-Nederland;23.1;15.0
313;Arnhem (GA);Herkomst: Westers land;11.7;16.6
314;Arnhem (GA);Herkomst: Niet-westers land;11.4;13.3
315;Nijmegen (GA);Herkomst (land);107.0;16.7
316;Nijmegen (GA);Herkomst: Nederland;86.3;17.0
317;Nijmegen (GA);Herkomst: Niet-Nederland;20.8;15.4
318;Nijmegen (GA);Herkomst: Westers land;12.4;16.8
319;Nijmegen (GA);Herkomst: Niet-westers land;8.4;13.4
320;Amersfoort (GA);Herkomst (land);107.3;19.1
321;Amersfoort (GA);Herkomst: Nederland;88.8;19.4
322;Amersfoort (GA);Herkomst: Niet-Nederland;18.5;17.6
323;Amersfoort (GA);Herkomst: Westers land;9.7;20.0
324;Amersfoort (GA);Herkomst: Niet-westers land;8.8;14.9
325;Utrecht (GA);Herkomst (land);275.1;18.2
326;Utrecht (GA);Herkomst: Nederland;215.3;18.7
327;Utrecht (GA);Herkomst: Niet-Nederland;59.8;16.3
328;Utrecht (GA);Herkomst: Westers land;26.2;18.5
329;Utrecht (GA);Herkomst: Niet-westers land;33.6;14.6
330;Amsterdam (GA);Herkomst (land);671.1;18.6
331;Amsterdam (GA);Herkomst: Nederland;445.3;19.2
332;Amsterdam (GA);Herkomst: Niet-Nederland;225.8;17.3
333;Amsterdam (GA);Herkomst: Westers land;85.2;20.4
334;Amsterdam (GA);Herkomst: Niet-westers land;140.6;15.4
335;Haarlem (GA);Herkomst (land);132.0;19.6
336;Haarlem (GA);Herkomst: Nederland;108.4;19.8
337;Haarlem (GA);Herkomst: Niet-Nederland;23.6;18.8
338;Haarlem (GA);Herkomst: Westers land;13.8;21.1
339;Haarlem (GA);Herkomst: Niet-westers land;9.8;15.5
340;Leiden (GA);Herkomst (land);167.9;19.1
341;Leiden (GA);Herkomst: Nederland;142.2;19.1
342;Leiden (GA);Herkomst: Niet-Nederland;25.7;19.2
343;Leiden (GA);Herkomst: Westers land;15.1;21.8
344;Leiden (GA);Herkomst: Niet-westers land;10.5;15.6
345;'s-Gravenhage (GA);Herkomst (land);404.7;19.0
346;'s-Gravenhage (GA);Herkomst: Nederland;277.2;19.4
347;'s-Gravenhage (GA);Herkomst: Niet-Nederland;127.5;18.2
348;'s-Gravenhage (GA);Herkomst: Westers land;51.3;22.6
349;'s-Gravenhage (GA);Herkomst: Niet-westers land;76.2;15.2
350;Rotterdam (GA);Herkomst (land);659.9;17.4
351;Rotterdam (GA);Herkomst: Nederland;470.0;18.1
352;Rotterdam (GA);Herkomst: Niet-Nederland;189.8;15.7
353;Rotterdam (GA);Herkomst: Westers land;61.6;17.9
354;Rotterdam (GA);Herkomst: Niet-westers land;128.3;14.7
355;Dordrecht (GA);Herkomst (land);163.2;17.7
356;Dordrecht (GA);Herkomst: Nederland;137.4;18.1
357;Dordrecht (GA);Herkomst: Niet-Nederland;25.7;15.7
358;Dordrecht (GA);Herkomst: Westers land;12.9;17.4
359;Dordrecht (GA);Herkomst: Niet-westers land;12.8;14.1
360;Breda (GA);Herkomst (land);112.8;18.1
361;Breda (GA);Herkomst: Nederland;93.7;18.5
362;Breda (GA);Herkomst: Niet-Nederland;19.1;16.5
363;Breda (GA);Herkomst: Westers land;11.3;18.0
364;Breda (GA);Herkomst: Niet-westers land;7.8;14.3
365;Tilburg (GA);Herkomst (land);150.6;16.6
366;Tilburg (GA);Herkomst: Nederland;126.0;16.9
367;Tilburg (GA);Herkomst: Niet-Nederland;24.7;15.3
368;Tilburg (GA);Herkomst: Westers land;12.3;16.7
369;Tilburg (GA);Herkomst: Niet-westers land;12.3;13.9
370;'s-Hertogenbosch (GA);Herkomst (land);109.3;18.1
371;'s-Hertogenbosch (GA);Herkomst: Nederland;93.1;18.5
372;'s-Hertogenbosch (GA);Herkomst: Niet-Nederland;16.1;16.1
373;'s-Hertogenbosch (GA);Herkomst: Westers land;9.5;17.7
374;'s-Hertogenbosch (GA);Herkomst: Niet-westers land;6.6;13.8
375;Eindhoven (GA);Herkomst (land);217.2;17.8
376;Eindhoven (GA);Herkomst: Nederland;177.9;18.0
377;Eindhoven (GA);Herkomst: Niet-Nederland;39.2;16.6
378;Eindhoven (GA);Herkomst: Westers land;22.6;18.2
379;Eindhoven (GA);Herkomst: Niet-westers land;16.6;14.5
380;Geleen/Sittard (GA);Herkomst (land);95.4;17.2
381;Geleen/Sittard (GA);Herkomst: Nederland;77.5;17.5
382;Geleen/Sittard (GA);Herkomst: Niet-Nederland;17.9;16.0
383;Geleen/Sittard (GA);Herkomst: Westers land;15.0;16.4
384;Geleen/Sittard (GA);Herkomst: Niet-westers land;2.9;13.9
385;Heerlen (GA);Herkomst (land);142.8;15.9
386;Heerlen (GA);Herkomst: Nederland;105.2;16.1
387;Heerlen (GA);Herkomst: Niet-Nederland;37.6;15.2
388;Heerlen (GA);Herkomst: Westers land;33.2;15.5
389;Heerlen (GA);Herkomst: Niet-westers land;4.5;13.1
390;Maastricht (GA);Herkomst (land);82.8;16.5
391;Maastricht (GA);Herkomst: Nederland;67.6;16.7
392;Maastricht (GA);Herkomst: Niet-Nederland;15.1;15.8
393;Maastricht (GA);Herkomst: Westers land;11.6;16.6
394;Maastricht (GA);Herkomst: Niet-westers land;3.5;13.3
395;Groningen (SG);Herkomst (land);229.3;16.9
396;Groningen (SG);Herkomst: Nederland;205.7;17.0
397;Groningen (SG);Herkomst: Niet-Nederland;23.6;16.1
398;Groningen (SG);Herkomst: Westers land;15.4;17.3
399;Groningen (SG);Herkomst: Niet-westers land;8.2;13.9
400;Leeuwarden (SG);Herkomst (land);105.2;16.5
401;Leeuwarden (SG);Herkomst: Nederland;95.8;16.6
402;Leeuwarden (SG);Herkomst: Niet-Nederland;9.4;14.9
403;Leeuwarden (SG);Herkomst: Westers land;5.7;16.1
404;Leeuwarden (SG);Herkomst: Niet-westers land;3.7;12.9
405;Zwolle (SG);Herkomst (land);113.4;17.4
406;Zwolle (SG);Herkomst: Nederland;102.4;17.5
407;Zwolle (SG);Herkomst: Niet-Nederland;11.0;15.9
408;Zwolle (SG);Herkomst: Westers land;6.3;17.5
409;Zwolle (SG);Herkomst: Niet-westers land;4.7;13.7
410;Enschede (SG);Herkomst (land);204.3;16.2
