ID;Persoonskenmerken;Bekendheid_1;Bezit_2;Bekendheid_3;Bezit_4;Bekendheid_5;Bezit_6;Bekendheid_7;Bezit_8;Bekendheid_9;Bezit_10;Bekendheid_11;Bezit_12;Bekendheid_13;Bezit_14;Bekendheid_15;Bezit_16;NietBekendMetDezeBrandveiligeProd_17;Bekendheid_18;Bezit_19;Bekendheid_20;Bezit_21;Bekendheid_22;Bezit_23;Bekendheid_24;Bezit_25;Bekendheid_26;Bezit_27;Bekendheid_28;Bezit_29;Bekendheid_30;Bezit_31;Bekendheid_32;Bezit_33;Bekendheid_34;Bezit_35;Bekendheid_36;Bezit_37;NietBekendMetDezeVeiligheidsprod_38;Bekendheid_39;Bezit_40;Bekendheid_41;Bezit_42;Bekendheid_43;Bezit_44;Bekendheid_45;Bezit_46;Bekendheid_47;Bezit_48;Bekendheid_49;Bezit_50;Bekendheid_51;Bezit_52;Bekendheid_53;Bezit_54;Bekendheid_55;Bezit_56;Bekendheid_57;Bezit_58;Bekendheid_59;Bezit_60;Bekendheid_61;Bezit_62;Bekendheid_63;Bezit_64;Bekendheid_65;Bezit_66;Bekendheid_67;Bezit_68;Bekendheid_69;Bezit_70;Bekendheid_71;Bezit_72;Bekendheid_73;Bezit_74;Bekendheid_75;Bezit_76;Bekendheid_77;Bezit_78;Bekendheid_79;Bezit_80;NietBekendMetDezeKinderveiligeProd_81;Bekendheid_82;Bezit_83;Bekendheid_84;Bezit_85;Bekendheid_86;Bezit_87;Bekendheid_88;Bezit_89;Bekendheid_90;Bezit_91;NietBekendMetDezeKinderveiligeProd_92;Bekendheid_93;Bezit_94;Bekendheid_95;Bezit_96;Bekendheid_97;Bezit_98;Bekendheid_99;Bezit_100;Bekendheid_101;Bezit_102;Bekendheid_103;Bezit_104;Bekendheid_105;Bezit_106;NietBekendMetDezeKlusveiligeProd_107;Afgelopen3MaandenNietGesport_108;Afgelopen3MaandenGesport_109;WarmingUp_110;CoolingDown_111;ValFietshelm_112;Gebitsbeschermer_113;Kniebeschermers_114;Kniebandages_115;Scheenbeschermers_116;Enkelbandages_117;Steunkousen_118;Elleboogbeschermers_119;AndereMaatregelen_120
10;28;82.0;9.0;86.0;7.0;50.0;1.0;58.0;1.0;25.0;0.0;88.0;16.0;73.0;10.0;75.0;57.0;3.0;73.0;19.0;92.0;25.0;72.0;8.0;76.0;23.0;64.0;11.0;86.0;30.0;85.0;40.0;24.0;1.0;78.0;10.0;70.0;16.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;4.0;30.0;10.0;19.0;0.0;34.0;10.0;34.0;1.0;35.0;5.0;36.0;16.0;2.0;74.0;26.0;83.0;36.0;2.0;;2.0;1.0;2.0;;3.0;1.0;23.0
11;29;67.0;9.0;77.0;8.0;34.0;1.0;41.0;1.0;19.0;0.0;77.0;15.0;59.0;6.0;56.0;38.0;9.0;67.0;26.0;90.0;37.0;66.0;16.0;55.0;19.0;42.0;7.0;76.0;28.0;79.0;41.0;15.0;2.0;60.0;7.0;53.0;11.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;1.0;10.0;3.0;6.0;0.0;11.0;2.0;10.0;0.0;11.0;2.0;11.0;2.0;1.0;85.0;15.0;94.0;35.0;;;;4.0;;;;;6.0
12;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;42;80.0;13.0;83.0;3.0;43.0;0.0;52.0;1.0;25.0;0.0;85.0;15.0;65.0;5.0;69.0;52.0;6.0;66.0;16.0;84.0;16.0;66.0;10.0;70.0;19.0;59.0;7.0;80.0;24.0;81.0;33.0;23.0;1.0;68.0;9.0;61.0;13.0;5.0;8.0;3.0;5.0;1.0;4.0;0.0;3.0;0.0;6.0;2.0;5.0;1.0;7.0;5.0;4.0;1.0;4.0;1.0;5.0;1.0;4.0;0.0;2.0;0.0;2.0;0.0;2.0;0.0;8.0;5.0;6.0;3.0;7.0;2.0;6.0;2.0;6.0;4.0;3.0;1.0;6.0;4.0;1.0;33.0;11.0;30.0;7.0;32.0;6.0;31.0;2.0;30.0;1.0;2.0;32.0;9.0;31.0;12.0;22.0;2.0;34.0;10.0;32.0;2.0;33.0;6.0;34.0;15.0;3.0;67.0;33.0;87.0;38.0;3.0;5.0;9.0;4.0;23.0;6.0;0.0;3.0;14.0
14;43;92.0;18.0;90.0;4.0;57.0;1.0;66.0;1.0;32.0;0.0;91.0;22.0;80.0;8.0;83.0;68.0;1.0;75.0;16.0;92.0;10.0;78.0;10.0;85.0;26.0;76.0;11.0;90.0;27.0;89.0;31.0;30.0;1.0;84.0;13.0;77.0;17.0;2.0;13.0;7.0;11.0;3.0;10.0;1.0;5.0;0.0;11.0;4.0;11.0;2.0;13.0;7.0;9.0;2.0;8.0;2.0;10.0;2.0;9.0;0.0;5.0;0.0;5.0;1.0;6.0;2.0;13.0;10.0;12.0;7.0;13.0;4.0;12.0;4.0;12.0;9.0;8.0;2.0;12.0;9.0;0.0;28.0;13.0;25.0;7.0;27.0;8.0;26.0;2.0;26.0;2.0;1.0;52.0;18.0;50.0;21.0;38.0;4.0;53.0;24.0;51.0;5.0;52.0;16.0;52.0;27.0;2.0;62.0;39.0;89.0;50.0;3.0;1.0;7.0;5.0;12.0;9.0;1.0;2.0;12.0
15;44;92.0;17.0;92.0;4.0;53.0;2.0;66.0;1.0;27.0;0.0;93.0;20.0;83.0;10.0;82.0;66.0;2.0;76.0;17.0;92.0;11.0;75.0;8.0;84.0;29.0;76.0;10.0;90.0;25.0;88.0;25.0;23.0;2.0;83.0;11.0;76.0;15.0;2.0;11.0;6.0;10.0;3.0;10.0;1.0;6.0;1.0;10.0;4.0;10.0;2.0;11.0;8.0;7.0;2.0;7.0;2.0;10.0;2.0;8.0;0.0;5.0;0.0;5.0;0.0;7.0;0.0;12.0;10.0;11.0;7.0;11.0;4.0;10.0;4.0;11.0;9.0;7.0;2.0;11.0;7.0;0.0;42.0;14.0;39.0;10.0;41.0;8.0;41.0;3.0;40.0;3.0;0.0;39.0;7.0;37.0;14.0;25.0;1.0;42.0;12.0;41.0;1.0;41.0;8.0;42.0;18.0;1.0;50.0;50.0;91.0;55.0;5.0;5.0;9.0;5.0;15.0;8.0;1.0;3.0;18.0
16;45;96.0;19.0;95.0;4.0;61.0;1.0;75.0;1.0;34.0;0.0;95.0;22.0;86.0;10.0;87.0;72.0;1.0;80.0;20.0;95.0;11.0;80.0;9.0;90.0;31.0;83.0;13.0;94.0;26.0;93.0;24.0;27.0;1.0;88.0;15.0;79.0;17.0;1.0;19.0;11.0;16.0;5.0;15.0;1.0;9.0;0.0;17.0;6.0;16.0;4.0;18.0;13.0;13.0;4.0;11.0;3.0;16.0;2.0;13.0;1.0;9.0;0.0;7.0;0.0;9.0;1.0;19.0;16.0;18.0;11.0;18.0;7.0;18.0;6.0;18.0;14.0;12.0;3.0;18.0;13.0;0.0;27.0;14.0;24.0;8.0;26.0;9.0;26.0;3.0;26.0;2.0;0.0;51.0;16.0;51.0;23.0;36.0;3.0;53.0;23.0;52.0;5.0;52.0;17.0;52.0;29.0;1.0;51.0;49.0;92.0;57.0;4.0;2.0;9.0;5.0;13.0;8.0;0.0;2.0;13.0
17;46;95.0;20.0;95.0;6.0;67.0;2.0;79.0;2.0;29.0;0.0;94.0;20.0;88.0;14.0;88.0;74.0;1.0;79.0;20.0;94.0;11.0;80.0;7.0;90.0;30.0;85.0;13.0;94.0;24.0;92.0;18.0;25.0;1.0;89.0;16.0;82.0;20.0;2.0;18.0;12.0;14.0;4.0;14.0;1.0;7.0;0.0;16.0;5.0;15.0;3.0;17.0;13.0;11.0;3.0;10.0;2.0;15.0;4.0;10.0;0.0;7.0;0.0;7.0;0.0;7.0;1.0;17.0;15.0;17.0;12.0;17.0;7.0;16.0;7.0;17.0;12.0;10.0;3.0;16.0;12.0;0.0;22.0;14.0;20.0;8.0;22.0;9.0;22.0;3.0;21.0;2.0;0.0;52.0;9.0;51.0;23.0;32.0;1.0;55.0;22.0;54.0;2.0;55.0;13.0;55.0;31.0;1.0;39.0;61.0;93.0;57.0;6.0;4.0;8.0;6.0;11.0;8.0;1.0;2.0;15.0
18;51;86.0;11.0;89.0;10.0;51.0;1.0;62.0;1.0;24.0;0.0;89.0;17.0;71.0;4.0;72.0;52.0;3.0;73.0;17.0;90.0;16.0;71.0;7.0;73.0;13.0;66.0;6.0;84.0;16.0;85.0;24.0;23.0;1.0;75.0;7.0;67.0;9.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;7.0;29.0;10.0;21.0;2.0;32.0;9.0;31.0;1.0;32.0;7.0;32.0;14.0;2.0;60.0;40.0;90.0;52.0;4.0;4.0;7.0;6.0;10.0;7.0;1.0;1.0;18.0
19;53;91.0;15.0;92.0;5.0;58.0;1.0;68.0;1.0;31.0;0.0;92.0;20.0;84.0;11.0;84.0;67.0;2.0;78.0;19.0;93.0;15.0;78.0;9.0;86.0;28.0;77.0;13.0;92.0;26.0;90.0;27.0;26.0;1.0;84.0;12.0;77.0;19.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.0;13.0;45.0;19.0;31.0;2.0;49.0;21.0;48.0;3.0;48.0;13.0;49.0;26.0;1.0;57.0;43.0;92.0;54.0;3.0;2.0;7.0;6.0;10.0;7.0;1.0;2.0;13.0
20;54;94.0;22.0;92.0;2.0;59.0;1.0;72.0;1.0;32.0;0.0;93.0;22.0;83.0;10.0;86.0;73.0;2.0;76.0;19.0;91.0;8.0;78.0;9.0;87.0;32.0;80.0;12.0;92.0;28.0;90.0;26.0;27.0;1.0;85.0;16.0;77.0;18.0;2.0;31.0;18.0;25.0;7.0;23.0;2.0;14.0;1.0;27.0;9.0;26.0;6.0;30.0;21.0;20.0;6.0;18.0;4.0;25.0;4.0;19.0;1.0;13.0;0.0;11.0;1.0;14.0;2.0;31.0;25.0;28.0;18.0;29.0;11.0;28.0;10.0;29.0;22.0;18.0;5.0;29.0;20.0;1.0;57.0;25.0;52.0;15.0;55.0;15.0;54.0;5.0;54.0;3.0;1.0;52.0;15.0;52.0;23.0;36.0;3.0;55.0;22.0;53.0;4.0;53.0;15.0;54.0;29.0;1.0;47.0;53.0;89.0;48.0;5.0;4.0;10.0;4.0;20.0;7.0;0.0;3.0;15.0
21;71;91.0;17.0;91.0;1.0;61.0;1.0;68.0;1.0;32.0;0.0;93.0;24.0;84.0;11.0;87.0;73.0;2.0;77.0;18.0;93.0;15.0;79.0;11.0;88.0;35.0;76.0;11.0;91.0;28.0;90.0;31.0;28.0;1.0;86.0;17.0;75.0;17.0;2.0;16.0;10.0;13.0;4.0;13.0;2.0;7.0;0.0;15.0;5.0;14.0;3.0;15.0;12.0;10.0;2.0;10.0;2.0;13.0;2.0;10.0;1.0;7.0;0.0;5.0;0.0;8.0;1.0;16.0;14.0;16.0;9.0;15.0;6.0;15.0;5.0;16.0;12.0;10.0;2.0;16.0;10.0;0.0;32.0;14.0;29.0;8.0;31.0;8.0;31.0;2.0;31.0;1.0;1.0;49.0;18.0;48.0;22.0;33.0;4.0;51.0;25.0;49.0;5.0;50.0;18.0;50.0;28.0;1.0;54.0;46.0;89.0;49.0;5.0;2.0;8.0;4.0;18.0;9.0;;1.0;12.0
22;72;91.0;17.0;92.0;2.0;59.0;1.0;70.0;0.0;30.0;0.0;94.0;22.0;85.0;11.0;85.0;70.0;1.0;79.0;21.0;94.0;11.0;81.0;10.0;87.0;32.0;78.0;12.0;91.0;28.0;91.0;27.0;27.0;1.0;85.0;15.0;78.0;18.0;2.0;15.0;9.0;12.0;3.0;12.0;1.0;7.0;0.0;13.0;4.0;13.0;3.0;14.0;10.0;10.0;3.0;9.0;2.0;13.0;3.0;9.0;0.0;6.0;0.0;6.0;0.0;7.0;1.0;15.0;12.0;14.0;9.0;15.0;6.0;14.0;5.0;14.0;11.0;9.0;2.0;14.0;10.0;0.0;34.0;15.0;31.0;8.0;33.0;9.0;33.0;3.0;33.0;2.0;1.0;50.0;16.0;49.0;22.0;35.0;3.0;52.0;21.0;51.0;4.0;51.0;16.0;52.0;28.0;1.0;51.0;50.0;89.0;48.0;4.0;2.0;10.0;5.0;19.0;7.0;1.0;3.0;15.0
23;73;93.0;18.0;91.0;4.0;56.0;1.0;67.0;1.0;31.0;0.0;91.0;19.0;82.0;10.0;83.0;70.0;2.0;78.0;19.0;92.0;13.0;76.0;8.0;85.0;29.0;78.0;12.0;91.0;25.0;90.0;25.0;26.0;1.0;83.0;12.0;76.0;17.0;2.0;15.0;8.0;12.0;3.0;11.0;1.0;6.0;0.0;13.0;3.0;12.0;2.0;14.0;10.0;10.0;3.0;9.0;2.0;13.0;1.0;10.0;0.0;6.0;0.0;5.0;0.0;7.0;1.0;15.0;12.0;14.0;8.0;14.0;5.0;13.0;5.0;14.0;11.0;9.0;2.0;14.0;9.0;1.0;30.0;14.0;28.0;8.0;29.0;8.0;29.0;2.0;28.0;2.0;1.0;45.0;12.0;44.0;17.0;30.0;2.0;48.0;18.0;47.0;3.0;47.0;12.0;48.0;25.0;1.0;50.0;50.0;88.0;49.0;5.0;4.0;8.0;4.0;13.0;5.0;0.0;3.0;15.0
24;74;93.0;18.0;93.0;6.0;58.0;1.0;72.0;2.0;31.0;0.0;93.0;21.0;82.0;10.0;85.0;68.0;1.0;76.0;18.0;93.0;12.0;78.0;9.0;85.0;26.0;79.0;12.0;92.0;26.0;90.0;25.0;25.0;1.0;84.0;12.0;78.0;18.0;2.0;15.0;9.0;12.0;4.0;12.0;1.0;7.0;0.0;14.0;5.0;13.0;3.0;15.0;10.0;10.0;4.0;8.0;2.0;13.0;2.0;10.0;1.0;6.0;0.0;6.0;0.0;7.0;2.0;15.0;12.0;14.0;9.0;14.0;5.0;14.0;6.0;15.0;12.0;9.0;3.0;14.0;11.0;0.0;29.0;13.0;28.0;9.0;29.0;9.0;29.0;3.0;28.0;2.0;1.0;47.0;11.0;46.0;21.0;32.0;3.0;49.0;18.0;48.0;3.0;48.0;12.0;48.0;25.0;2.0;51.0;50.0;91.0;53.0;4.0;4.0;9.0;5.0;16.0;7.0;0.0;3.0;14.0
25;75;89.0;17.0;89.0;7.0;53.0;2.0;65.0;1.0;26.0;0.0;87.0;15.0;71.0;5.0;72.0;53.0;5.0;68.0;15.0;86.0;8.0;68.0;6.0;75.0;16.0;71.0;8.0;85.0;19.0;84.0;22.0;23.0;1.0;76.0;9.0;66.0;12.0;5.0;12.0;6.0;9.0;3.0;8.0;1.0;5.0;0.0;10.0;4.0;9.0;2.0;12.0;7.0;7.0;3.0;7.0;2.0;9.0;2.0;7.0;0.0;5.0;0.0;5.0;0.0;4.0;1.0;12.0;9.0;10.0;7.0;10.0;3.0;10.0;3.0;9.0;5.0;6.0;2.0;10.0;7.0;1.0;22.0;9.0;19.0;5.0;21.0;5.0;21.0;1.0;20.0;1.0;1.0;37.0;7.0;39.0;14.0;27.0;1.0;42.0;15.0;40.0;2.0;41.0;7.0;42.0;20.0;2.0;55.0;45.0;89.0;48.0;3.0;4.0;8.0;4.0;17.0;7.0;0.0;3.0;15.0
