ID;BedrijfstypeNEG;RegioS;Perioden;TotaalMestproductie_1;DunneMest_2;VasteMest_3;Stikstofuitscheiding_4;TotaalGasvormigeStikstofverliezen_5;AmmoniakN_6;OverigeGasvormigeStikstofverliezenN_7;TotaalGasvormigeStikstofverliezen_8;AmmoniakN_9;OverigeStikstofverliezenN_10;AmmoniakverliesTijdensBeweidingN_11;TotaalStikstofproductie_12;k_0170KgHa_13;k_170250KgHa_14;k_2501000KgHa_15;k_1000KgHa_16;k_0170KgHa_17;k_170250KgHa_18;k_2501000KgHa_19;k_1000KgHa_20;TotaalFosfaatproductie_21;k_060KgHa_22;k_60110KgHa_23;k_110500KgHa_24;k_500KgHa_25;k_060KgHa_26;k_60110KgHa_27;k_110500KgHa_28;k_500KgHa_29;PlaatsingsruimteStikstof_30;PlaatsingsruimteFosfaat_31;AandeelBedrijvenZonderOverproductie_32;ResterendePlaatsingsruimteStikstof_33;ResterendePlaatsingsruimteFosfaat_34;AandeelBedrijvenMetOverproductie_35;Stikstofoverschot_36;Fosfaatoverschot_37;SaldoPlaatsingsruimteStikstof_38;SaldoPlaatsingsruimteStikstofPerHa_39;SaldoPlaatsingsruimteFosfaat_40;SaldoPlaatsingsruimteFosfaatPerHa_41;PlaatsingsruimteStikstof_42;PlaatsingsruimteFosfaat_43;AandeelBedrijvenZonderOverproductie_44;ResterendePlaatsingsruimteStikstof_45;ResterendePlaatsingsruimteFosfaat_46;AandeelBedrijvenMetOverproductie_47;Stikstofoverschot_48;Fosfaatoverschot_49;SaldoPlaatsingsruimteStikstof_50;SaldoPlaatsingsruimteStikstofPerHa_51;SaldoPlaatsingsruimteFosfaat_52;SaldoPlaatsingsruimteFosfaatPerHa_53;AantalLandbouwbedrijven_54;TotaalBemestbareCultuurgrond_55;Grasland_56;Snijmais_57;OverigBouwland_58
18;Landbouwbedrijven totaal;Noord-Nederland;1996;16629;16081;548;134348;;15167;;;11316;;3851;123032;39;10;47;4;5862;9538;98071;9562;34477;47;40;9;4;3057;21985;5436;3999;;68852;92;;39089;8;10682;4715;;;34375;62;118658;42882;46;35937;14174;54;40591;12803;-4654;-8;1371;2;17927;551948;325491;31641;194815
19;Landbouwbedrijven totaal;Noord-Nederland;1997;15966;15434;532;133061;;15270;;;11607;;3662;121454;41;10;45;4;6024;10025;95801;9604;35092;48;39;9;4;3117;21593;6114;4268;;68160;92;;38143;8;11030;5075;;;33068;60;117519;42432;48;35149;13845;52;39465;12980;-4316;-8;864;2;17516;546659;321087;33864;191709
20;Landbouwbedrijven totaal;Noord-Nederland;1998;15992;15424;568;126893;;12983;;;9698;;3285;117195;41;11;44;4;6595;11164;90251;9185;36230;46;40;10;4;2919;22311;6796;4204;;62487;89;;31544;11;11387;5288;;;26257;48;118001;42601;50;35520;13830;50;35170;12379;350;1;1451;3;17110;549155;321718;32567;194870
21;Landbouwbedrijven totaal;Noord-Nederland;1999;16068;15438;630;123537;20823.0;15560;5263.0;17767.0;12504;5263.0;3056;105769;44;15;37;4;7780;17824;72468;7697;38903;45;38;13;4;2749;21676;9664;4814;;62157;88;;29425;12;10658;6171;;;23254;43;117553;42453;56;36388;13598;44;25769;11570;10619;19;2028;4;16810;545741;323602;37351;184788
22;Landbouwbedrijven totaal;Noord-Nederland;2000;16419;15783;636;118085;19891.0;14855;5036.0;17021.0;11985;5036.0;2870;101064;44;17;35;4;8019;21342;64237;7466;37232;46;40;10;4;2873;22393;7225;4741;;58926;87;;27871;13;10469;6177;;;21695;40;116758;42077;58;37056;13908;42;22552;10517;14504;27;3391;6;16240;541249;320076;33498;187674
23;Landbouwbedrijven totaal;Noord-Nederland;2001;16870;16235;634;120981;20146.0;15032;5114.0;17180.0;12066;5114.0;2965;103801;43;15;38;4;7364;16768;72914;6755;37964;44;36;15;4;2560;20528;10988;3887;;56693;80;;24572;20;11482;5843;;;18729;35;115556;41628;55;35947;13237;45;25422;10826;10525;20;2411;5;15648;535210;317165;34425;183620
24;Landbouwbedrijven totaal;Noord-Nederland;2002;16502;15865;638;115761;19962.0;14730;5232.0;17402.0;12170;5232.0;2560;98359;46;20;31;4;8022;25261;57807;7270;36054;47;40;9;4;2912;22617;6546;3979;;55071;84;;24609;16;10872;5593;;;19017;35;116227;41931;61;37752;13975;39;21075;9277;16677;31;4697;9;15149;539417;318879;37573;182965
25;Landbouwbedrijven totaal;Noord-Nederland;2003;16309;15723;586;112786;19217.0;14248;4969.0;16727.0;11758;4969.0;2490;96058;46;19;30;4;8259;24125;56885;6789;36179;47;39;10;4;2826;21580;7860;3914;;50091;71;;20910;29;14512;6998;;;13912;26;114838;41448;61;38036;13835;39;21007;9446;17029;32;4389;8;14561;533883;313831;38842;181209
26;Landbouwbedrijven totaal;Noord-Nederland;2004;16645;16047;597;107328;16504.0;13334;3169.0;14192.0;11023;3169.0;2311;93136;49;20;27;4;8744;26406;51208;6778;34367;49;39;8;4;3106;21829;5708;3724;;51340;81;;22600;19;11332;5626;;;16973;32;115023;41510;65;40036;14603;35;19276;8504;20760;39;6099;11;14368;535759;312152;41902;181704
27;Landbouwbedrijven totaal;Noord-Nederland;2005;16468;15838;629;108625;14001.0;11481;2520.0;11692.0;9172;2520.0;2309;96933;49;19;27;4;8679;25376;54451;8427;35208;48;40;8;4;3177;22053;5737;4241;;49044;77;;20569;23;14511;6733;;;13836;26;115307;41627;64;39553;14509;36;22060;9392;17494;33;5117;10;14106;536210;315137;44545;176528
28;Landbouwbedrijven totaal;Noord-Nederland;2006;16290;15675;614;106097;13801.0;11304;2497.0;11546.0;9049;2497.0;2255;94551;50;20;26;4;8439;26045;52067;8000;34629;49;41;6;4;3091;23002;4187;4349;117140.0;53238;68;39512.0;22052;32;17078;7770;22434.0;42.0;14281;27;117140;41483;67;39394;14349;33;17811;8115;21583;40;6234;12;13784;533388;315996;43728;173664
29;Landbouwbedrijven totaal;Noord-Nederland;2007;16305;15671;634;106736;13629.0;11083;2545.0;11607.0;9062;2545.0;2021;95128;50;21;25;4;8941;27288;50299;8600;34563;48;42;6;4;3269;22602;4344;4348;117306.0;51694;69;39796.0;21438;31;17751;7760;22045.0;41.0;13679;26;117306;41448;68;39690;14353;32;18500;8100;21190;40;6253;12;13378;534697;312218;47272;175207
30;Landbouwbedrijven totaal;Noord-Nederland;2008;16938;16322;615;109345;13827.0;11148;2680.0;11695.0;9015;2680.0;2133;97650;51;19;27;3;9057;25270;54563;8760;36051;50;40;7;3;3178;22775;5695;4403;119201.0;50911;68;40292.0;20660;32;18909;8241;21384.0;39.0;12418;23;119201;41993;66;40155;14407;34;20320;8817;19835;36;5590;10;13343;543904;311954;52158;179793
31;Landbouwbedrijven totaal;Noord-Nederland;2009;17275;16691;584;107606;13879.0;11152;2727.0;12058.0;9331;2727.0;1821;95548;51;22;24;4;9015;29512;47489;9532;35359;50;40;7;4;3228;22500;4881;4751;117882.0;50312;71;40283.0;20882;29;18113;8094;22169.0;41.0;12788;24;117882;41547;69;40122;14456;31;19297;8592;20824;39;5864;11;12995;537068;310749;51766;174553
32;Landbouwbedrijven totaal;Oost-Nederland;1994;29194;28248;946;227928;;28649;;;24306;;4343;203621;31;7;48;14;4506;8190;142975;47950;77080;33;20;34;13;1918;13585;38340;23237;;97274;74;;46508;26;50178;26314;;;20194;36;119433;43540;36;26491;10184;64;111669;48373;-85178;-153;-38189;-69;36902;555915;339515;92848;123552
33;Landbouwbedrijven totaal;Oost-Nederland;1995;29053;28090;963;229749;;28742;;;24271;;4470;205478;31;7;48;14;4460;7813;144684;48520;73747;34;21;33;12;1969;14020;36501;21256;;74627;67;;29122;33;59358;28241;;;880;2;119514;43488;36;26477;10217;64;113226;45845;-86749;-156;-35629;-64;36033;554769;340060;88231;126477
34;Landbouwbedrijven totaal;Oost-Nederland;1996;28472;27492;980;225794;;28426;;;23687;;4739;202107;32;7;48;14;4648;7890;141530;48040;67308;36;24;28;12;2379;17049;28010;19871;;70254;68;;29700;32;57675;26754;;;2946;5;120363;43921;36;28790;11314;64;111238;42632;-82448;-147;-31318;-56;35156;560888;342251;89831;128806
35;Landbouwbedrijven totaal;Oost-Nederland;1997;28124;27126;999;222759;;29809;;;25461;;4348;197298;32;8;46;14;4804;9395;132915;50184;69805;36;23;28;12;2317;16396;29347;21744;;68944;66;;28169;34;61276;29029;;;-860;-2;117682;43011;37;27387;10767;63;107823;43824;-80436;-146;-33058;-60;34230;551699;330299;93229;128171
36;Landbouwbedrijven totaal;Oost-Nederland;1998;27383;26300;1083;201770;;24507;;;21041;;3467;180729;33;10;44;13;5198;14445;117068;44019;67395;36;26;26;12;2400;18163;26010;20822;;63323;64;;24721;36;59002;28794;;;-4072;-7;118386;43301;39;28152;11055;61;91538;39809;-63387;-114;-28755;-52;33217;555632;332100;89760;133772
37;Landbouwbedrijven totaal;Oost-Nederland;1999;26274;25131;1143;192652;39297.0;31572;7724.0;35864.0;28140;7724.0;3433;156788;36;12;40;11;6507;18527;100009;31744;66193;36;26;26;11;2292;18080;26072;19749;;62805;66;;23880;34;47245;27267;;;-3388;-6;116716;42862;44;29710;11068;56;71829;36594;-42120;-76;-25526;-46;31831;551653;325426;92929;133298
38;Landbouwbedrijven totaal;Oost-Nederland;2000;26398;25212;1186;180367;36776.0;29460;7317.0;33645.0;26329;7317.0;3131;146721;37;15;37;11;7111;24043;85369;30198;63443;37;28;23;11;2488;18906;22699;19350;;59992;66;;23238;34;45159;26689;;;-3451;-6;116825;42857;46;32011;11830;54;64537;34271;-32526;-59;-22441;-41;30579;550904;326771;84165;139968
39;Landbouwbedrijven totaal;Oost-Nederland;2001;25795;24586;1209;176084;35275.0;28063;7212.0;32066.0;24854;7212.0;3209;144018;37;13;39;10;6663;19265;91164;26925;60849;38;27;25;10;2291;17799;24130;16630;;57307;63;;20810;37;43838;24353;;;-3543;-7;114153;42027;45;31135;11399;55;64035;32110;-32899;-61;-20711;-38;29179;541221;318444;83029;139748
40;Landbouwbedrijven totaal;Oost-Nederland;2002;24669;23480;1189;163320;33715.0;26481;7234.0;31203.0;23969;7234.0;2512;132117;40;20;31;10;8333;32086;67345;24353;56970;40;31;19;10;2771;20636;17975;15588;;55900;68;;21021;32;37910;22090;;;-1070;-2;115480;42519;51;32459;11757;49;52372;27890;-19913;-36;-16133;-29;28183;547782;321727;87362;138693
41;Landbouwbedrijven totaal;Oost-Nederland;2003;23894;22917;976;155748;30968.0;24490;6477.0;28648.0;22171;6477.0;2320;127100;41;20;30;9;8299;32300;64069;22432;54591;40;31;20;9;2658;20431;18022;13480;;50872;61;;17682;39;39397;21401;;;-3719;-7;114191;42103;51;32813;11674;49;49893;25637;-17080;-31;-13963;-26;26933;542214;319002;88428;134784
42;Landbouwbedrijven totaal;Oost-Nederland;2004;24247;23152;1095;153005;27341.0;22646;4695.0;25192.0;20497;4695.0;2148;127813;43;20;27;10;9060;33512;60265;24977;53611;41;32;17;10;2997;20631;15356;14626;;52308;68;;19645;32;38651;20948;;;-1303;-2;114755;42309;55;34529;12386;45;50072;25376;-15543;-28;-12990;-24;26601;545777;318762;91128;135887
43;Landbouwbedrijven totaal;Oost-Nederland;2005;24139;22973;1166;156040;25703.0;21026;4677.0;23471.0;18795;4677.0;2231;132569;42;20;28;10;8730;31856;63049;28933;56024;41;32;17;10;2956;20453;15853;16763;;48859;64;;16932;36;44672;24097;;;-7165;-13;112121;41369;54;32249;11597;46;55012;28032;-22763;-43;-16435;-31;25988;534764;309430;94438;130896
44;Landbouwbedrijven totaal;Oost-Nederland;2006;23880;22745;1136;153795;25496.0;20828;4668.0;23418.0;18750;4668.0;2078;130377;44;21;25;10;9498;34010;57212;29658;56069;42;32;16;10;3120;20612;14720;17617;117765.0;53308;62;34378.0;19537;38;47340;25541;-12962.0;-24.0;-6004;-11;117765;41549;58;34081;11949;42;49859;26749;-15777;-30;-14800;-28;25320;533829;317306;86779;129745
45;Landbouwbedrijven totaal;Oost-Nederland;2007;23823;22653;1169;157894;24062.0;19630;4432.0;22167.0;17734;4432.0;1895;135727;43;19;27;11;9211;31045;62494;32978;56374;41;32;16;11;3105;20698;15000;17571;117827.0;51617;60;33755.0;18259;40;51951;26068;-18196.0;-34.0;-7808;-15;117827;41461;57;33514;11825;43;54063;27049;-20549;-39;-15224;-29;24519;532809;316400;87044;129365
46;Landbouwbedrijven totaal;Oost-Nederland;2008;24522;23353;1169;162623;24485.0;19927;4559.0;22441.0;17882;4559.0;2045;140182;43;19;28;10;8972;28685;66347;36178;58772;42;31;16;10;3009;20400;16179;19184;118026.0;50063;59;33270.0;17025;41;55779;27911;-22509.0;-42.0;-10886;-20;118026;41392;56;32957;11626;44;58901;29258;-25944;-49;-17632;-33;23974;533940;311865;93888;128187
47;Landbouwbedrijven totaal;Oost-Nederland;2009;24993;23883;1111;158696;24262.0;19666;4596.0;22523.0;17927;4596.0;1739;136173;44;21;25;11;9264;33252;57424;36232;57744;43;31;15;11;3107;20473;14287;19877;117635.0;49825;62;34698.0;17842;38;53680;27654;-18982.0;-36.0;-9812;-18;117635;41231;59;34428;12107;41;56281;28842;-21852;-41;-16735;-32;23334;531084;312184;92454;126445
48;Landbouwbedrijven totaal;West-Nederland;1994;12430;11973;457;100413;;11427;;;8642;;2785;91771;66;5;26;3;4764;5918;73920;7168;29093;68;15;14;2;1981;9888;13933;3291;;77389;95;;52108;5;7392;3812;;;48296;101;98358;35595;70;41881;15830;30;35498;12732;6383;13;3097;7;31531;476521;233451;12596;230475
49;Landbouwbedrijven totaal;West-Nederland;1995;12372;11910;461;99676;;11311;;;8532;;2779;91145;66;5;26;3;4717;6251;72748;7429;28307;69;15;14;2;2024;10067;13144;3073;;61577;92;;37644;8;9603;4374;;;33270;70;98118;35493;70;41863;15907;30;35067;12156;6796;14;3751;8;30626;475091;232921;13167;229004
50;Landbouwbedrijven totaal;West-Nederland;1996;12199;11736;463;97749;;11211;;;8336;;2875;89413;66;5;26;3;4840;6004;71220;7349;25419;71;17;10;2;2289;11764;8469;2897;;58356;92;;37130;8;9384;4193;;;32937;69;98542;35654;70;42747;16459;30;33807;10984;8940;19;5476;11;29981;477413;233639;14007;229767
51;Landbouwbedrijven totaal;West-Nederland;1997;11841;11368;473;97577;;11569;;;8833;;2736;88744;67;5;25;3;4911;6666;69461;7706;26093;71;17;10;2;2293;11565;9111;3124;;58063;92;;36543;8;10096;4573;;;31970;67;98032;35454;71;42433;16275;29;33369;11256;9064;19;5019;11;29163;475306;231177;15400;228729
52;Landbouwbedrijven totaal;West-Nederland;1998;11831;11326;505;93650;;9906;;;7433;;2473;86217;67;6;25;3;5555;7410;66074;7178;27157;70;17;10;2;2308;11975;9671;3203;;53526;89;;31531;11;11428;5162;;;26369;55;98333;35571;71;41921;15917;29;30173;10880;11748;25;5037;11;28490;476543;232628;15155;228760
53;Landbouwbedrijven totaal;West-Nederland;1999;11562;11056;506;87029;14699.0;11552;3147.0;12457.0;9310;3147.0;2242;74572;69;7;21;2;6364;9741;53065;5402;27377;70;16;11;2;2252;11276;10684;3166;;53043;89;;30722;11;9615;5056;;;25666;54;97406;35250;75;43435;16036;25;21197;9199;22238;47;6837;14;27690;472242;230531;17150;224561
54;Landbouwbedrijven totaal;West-Nederland;2000;11580;11075;505;81789;13681.0;10710;2971.0;11580.0;8609;2971.0;2101;70209;69;8;20;2;6439;11439;47377;4954;25687;70;18;10;2;2341;11984;8464;2898;;49851;89;;28896;11;8949;4732;;;24163;52;95766;34645;76;43188;16004;24;18237;8048;24950;54;7956;17;26349;464685;225474;16080;223130
55;Landbouwbedrijven totaal;West-Nederland;2001;11635;11140;495;82126;13621.0;10623;2998.0;11498.0;8500;2998.0;2123;70628;68;8;21;2;5995;10473;49612;4549;25782;69;17;12;2;2174;11140;9926;2542;;48133;86;;27090;14;9747;4738;;;22352;49;94748;34247;74;42411;15616;26;18891;7990;23520;51;7626;17;24832;458971;223634;17169;218168
56;Landbouwbedrijven totaal;West-Nederland;2002;11265;10761;505;77206;13109.0;10145;2965.0;11252.0;8287;2965.0;1857;65954;70;10;18;3;6792;14667;39764;4732;24255;70;19;8;2;2370;13107;6118;2659;;46629;88;;26568;12;8214;4194;;;22374;48;95241;34460;77;43419;16036;23;14791;6580;28628;62;9456;20;23998;462605;223455;18051;221099
57;Landbouwbedrijven totaal;West-Nederland;2003;10995;10526;468;74662;12469.0;9643;2826.0;10671.0;7845;2826.0;1798;63991;69;10;18;2;6255;15571;38066;4098;23876;70;19;8;2;2181;12782;6605;2307;;42963;83;;23991;17;10366;4903;;;19087;42;94235;34056;78;43346;15886;22;13916;6221;29430;64;9665;21;22889;456904;221387;18531;216986
58;Landbouwbedrijven totaal;West-Nederland;2004;11139;10663;477;69860;10466.0;8787;1679.0;8857.0;7177;1679.0;1610;61003;72;11;15;3;6615;16844;33026;4519;22568;71;20;6;2;2320;13016;4814;2419;;43321;88;;24762;12;8208;4010;;;20752;45;94143;34036;80;45298;16480;20;12621;5607;32676;72;10873;24;22270;456788;220966;19050;216772
59;Landbouwbedrijven totaal;West-Nederland;2005;11094;10594;500;70613;9301.0;7537;1764.0;7677.0;5914;1764.0;1623;62936;71;10;16;3;6430;16072;35403;5030;23070;70;21;7;3;2350;13004;5060;2656;;41028;85;;22596;15;9817;4637;;;17958;40;93813;33897;79;44464;16208;21;13972;6108;30492;67;10099;22;21535;453961;221977;19544;212439
60;Landbouwbedrijven totaal;West-Nederland;2006;10983;10484;499;69208;9203.0;7443;1759.0;7614.0;5855;1759.0;1589;61594;71;11;16;2;6763;16251;34038;4542;22801;70;22;6;2;2425;13601;4238;2537;95177.0;44378;81;44922.0;24045;19;11396;5297;33527.0;73.0;18748;41;95177;34092;80;44865;16288;20;11746;5462;33119;73;10826;24;20715;456231;223923;19960;212349
61;Landbouwbedrijven totaal;West-Nederland;2007;10971;10439;532;69830;9003.0;7261;1742.0;7513.0;5772;1742.0;1489;62317;70;10;16;3;6721;15454;35325;4817;22789;69;22;6;3;2406;13453;4438;2492;94632.0;43000;80;44481.0;23190;20;12243;5384;32238.0;71.0;17806;39;94632;33886;79;44421;16125;21;12563;5528;31858;70;10597;23;19942;453535;222470;20673;210392
62;Landbouwbedrijven totaal;West-Nederland;2008;11125;10603;522;70146;9011.0;7187;1824.0;7489.0;5664;1824.0;1522;62658;71;10;16;3;6872;15266;35522;4997;23253;70;21;6;3;2447;13310;4887;2609;95303.0;42143;80;44926.0;22769;20;12372;5521;32554.0;71.0;17248;38;95303;34071;79;44865;16257;21;12915;5746;31950;70;10511;23;19351;456497;222713;22971;210813
63;Landbouwbedrijven totaal;West-Nederland;2009;11290;10820;470;68223;8862.0;7047;1815.0;7539.0;5724;1815.0;1323;60684;70;12;15;3;6782;17140;31729;5032;22524;69;21;6;3;2424;13094;4361;2646;93387.0;41207;80;44149.0;22492;20;11535;5260;32614.0;73.0;17232;39;93387;33359;80;44089;16036;20;12037;5474;32052;72;10562;24;18700;445958;220055;23440;202462
64;Landbouwbedrijven totaal;Zuid-Nederland;1994;24656;23613;1043;216249;;29628;;;26919;;2709;189330;40;5;34;20;3885;5382;93363;86700;81421;42;12;27;19;1423;6082;30083;43832;;61267;66;;26887;34;89721;47040;;;-20153;-53;70890;27361;42;18985;7233;58;139842;65048;-120857;-320;-57815;-153;28941;378028;155978;92620;129430
