ID;SectorBranchesSIC2008;EnterpriseSize;Periods;TurnoverIndices_1;TurnoverChange_2
92;F Construction;All enterprises;2010 2nd quarter;120.0;-8.9
93;F Construction;All enterprises;2010 July;121.0;-5.7
94;F Construction;All enterprises;2010 August;78.0;-7.2
95;F Construction;All enterprises;2010 September;121.0;-9.2
96;F Construction;All enterprises;2010 3rd quarter;107.0;-7.4
97;F Construction;All enterprises;2010 October;126.0;-7.5
98;F Construction;All enterprises;2010 November;131.0;0.3
99;F Construction;All enterprises;2010 December;134.0;-7.7
100;F Construction;All enterprises;2010 4rd quarter;130.0;-5.1
101;F Construction;All enterprises;2010;112.0;-9.5
102;F Construction;All enterprises;2011 January;80.0;10.6
103;F Construction;All enterprises;2011 February;101.0;17.5
104;F Construction;All enterprises;2011 March;122.0;2.9
105;F Construction;All enterprises;2011 1st quarter;101.0;9.4
106;F Construction;All enterprises;2011 April;119.0;1.3
107;F Construction;All enterprises;2011 May;129.0;16.2
108;F Construction;All enterprises;2011 June;123.0;-6.5
109;F Construction;All enterprises;2011 2nd quarter;124.0;3.0
110;F Construction;All enterprises;2011 July;116.0;-4.0
111;F Construction;All enterprises;2011 August;82.0;5.6
112;F Construction;All enterprises;2011 September;131.0;8.1
113;F Construction;All enterprises;2011 3rd quarter;110.0;2.9
114;F Construction;All enterprises;2011 October;123.0;-2.8
115;F Construction;All enterprises;2011 November;131.0;0.3
116;F Construction;All enterprises;2011 December;146.0;8.8
117;F Construction;All enterprises;2011 4rd quarter;133.0;2.2
118;F Construction;All enterprises;2011;117.0;4.1
119;F Construction;All enterprises;2012 January;75.0;-6.0
120;F Construction;All enterprises;2012 February;89.0;-12.4
121;F Construction;All enterprises;2012 March;112.0;-8.2
122;F Construction;All enterprises;2012 1st quarter;92.0;-9.0
123;F Construction;All enterprises;2012 April;109.0;-8.4
124;F Construction;All enterprises;2012 May;113.0;-12.2
125;F Construction;All enterprises;2012 June;122.0;-1.2
126;F Construction;All enterprises;2012 2nd quarter;115.0;-7.3
127;F Construction;All enterprises;2012 July;107.0;-7.9
128;F Construction;All enterprises;2012 August;82.0;-0.1
129;F Construction;All enterprises;2012 September;125.0;-4.2
130;F Construction;All enterprises;2012 3rd quarter;105.0;-4.5
131;F Construction;All enterprises;2012 October;114.0;-6.8
132;F Construction;All enterprises;2012 November;122.0;-6.6
133;F Construction;All enterprises;2012 December;125.0;-14.6
134;F Construction;All enterprises;2012 4th quarter;121.0;-9.6
135;F Construction;All enterprises;2012;108.0;-7.7
136;F Construction;10 or more persons employed;2005 January;;
137;F Construction;10 or more persons employed;2005 February;;
138;F Construction;10 or more persons employed;2005 March;;
139;F Construction;10 or more persons employed;2005 1st quarter;;
140;F Construction;10 or more persons employed;2005 April;;
141;F Construction;10 or more persons employed;2005 May;;
142;F Construction;10 or more persons employed;2005 June;;
143;F Construction;10 or more persons employed;2005 2nd quarter;;
144;F Construction;10 or more persons employed;2005 July;;
145;F Construction;10 or more persons employed;2005 August;;
146;F Construction;10 or more persons employed;2005 September;;
147;F Construction;10 or more persons employed;2005 3rd quarter;;
148;F Construction;10 or more persons employed;2005 October;;
149;F Construction;10 or more persons employed;2005 November;;
150;F Construction;10 or more persons employed;2005 December;;
151;F Construction;10 or more persons employed;2005 4th quarter;;
152;F Construction;10 or more persons employed;2005;;
153;F Construction;10 or more persons employed;2006 January;;
154;F Construction;10 or more persons employed;2006 February;;
155;F Construction;10 or more persons employed;2006 March;;
156;F Construction;10 or more persons employed;2006 1st quarter;;
157;F Construction;10 or more persons employed;2006 April;;
158;F Construction;10 or more persons employed;2006 May;;
159;F Construction;10 or more persons employed;2006 June;;
160;F Construction;10 or more persons employed;2006 2nd quarter;;
161;F Construction;10 or more persons employed;2006 July;;
162;F Construction;10 or more persons employed;2006 August;;
163;F Construction;10 or more persons employed;2006 September;;
164;F Construction;10 or more persons employed;2006 3rd quarter;;
165;F Construction;10 or more persons employed;2006 October;;
166;F Construction;10 or more persons employed;2006 November;;
167;F Construction;10 or more persons employed;2006 December;;
168;F Construction;10 or more persons employed;2006 4th quarter;;
169;F Construction;10 or more persons employed;2006;;
170;F Construction;10 or more persons employed;2007 January;;
171;F Construction;10 or more persons employed;2007 February;;
172;F Construction;10 or more persons employed;2007 March;;
173;F Construction;10 or more persons employed;2007 1st quarter;;
174;F Construction;10 or more persons employed;2007 April;;
175;F Construction;10 or more persons employed;2007 May;;
176;F Construction;10 or more persons employed;2007 June;;
177;F Construction;10 or more persons employed;2007 2nd quarter;;
178;F Construction;10 or more persons employed;2007 July;;
179;F Construction;10 or more persons employed;2007 August;;
180;F Construction;10 or more persons employed;2007 September;;
181;F Construction;10 or more persons employed;2007 3rd quarter;;
182;F Construction;10 or more persons employed;2007 October;;
183;F Construction;10 or more persons employed;2007 November;;
184;F Construction;10 or more persons employed;2007 December;;
185;F Construction;10 or more persons employed;2007 4th quarter;;
186;F Construction;10 or more persons employed;2007;;
187;F Construction;10 or more persons employed;2008 January;;
188;F Construction;10 or more persons employed;2008 February;;
189;F Construction;10 or more persons employed;2008 March;;
190;F Construction;10 or more persons employed;2008 1st quarter;;
191;F Construction;10 or more persons employed;2008 April;;
192;F Construction;10 or more persons employed;2008 May;;
193;F Construction;10 or more persons employed;2008 June;;
194;F Construction;10 or more persons employed;2008 2nd quarter;;
195;F Construction;10 or more persons employed;2008 July;;
196;F Construction;10 or more persons employed;2008 August;;
197;F Construction;10 or more persons employed;2008 September;;
198;F Construction;10 or more persons employed;2008 3rd quarter;;
199;F Construction;10 or more persons employed;2008 October;;
200;F Construction;10 or more persons employed;2008 November;;
201;F Construction;10 or more persons employed;2008 December;;
202;F Construction;10 or more persons employed;2008 4th quarter;;
203;F Construction;10 or more persons employed;2008;;
204;F Construction;10 or more persons employed;2009 January;84.0;
205;F Construction;10 or more persons employed;2009 February;108.0;
206;F Construction;10 or more persons employed;2009 March;134.0;
207;F Construction;10 or more persons employed;2009 1st quarter;109.0;
208;F Construction;10 or more persons employed;2009 April;127.0;
209;F Construction;10 or more persons employed;2009 May;120.0;
210;F Construction;10 or more persons employed;2009 June;133.0;
211;F Construction;10 or more persons employed;2009 2nd quarter;127.0;
212;F Construction;10 or more persons employed;2009 July;122.0;
213;F Construction;10 or more persons employed;2009 August;82.0;
214;F Construction;10 or more persons employed;2009 September;130.0;
215;F Construction;10 or more persons employed;2009 3rd quarter;111.0;
216;F Construction;10 or more persons employed;2009 October;133.0;
217;F Construction;10 or more persons employed;2009 November;126.0;
218;F Construction;10 or more persons employed;2009 December;136.0;
219;F Construction;10 or more persons employed;2009 4th quarter;132.0;
220;F Construction;10 or more persons employed;2009;120.0;
221;F Construction;10 or more persons employed;2010 January;69.0;-18.3
222;F Construction;10 or more persons employed;2010 February;82.0;-23.8
223;F Construction;10 or more persons employed;2010 March;114.0;-15.3
224;F Construction;10 or more persons employed;2010 1st quarter;88.0;-18.9
225;F Construction;10 or more persons employed;2010 April;113.0;-11.5
226;F Construction;10 or more persons employed;2010 May;106.0;-12.0
227;F Construction;10 or more persons employed;2010 June;125.0;-6.0
228;F Construction;10 or more persons employed;2010 2nd quarter;115.0;-9.7
229;F Construction;10 or more persons employed;2010 July;114.0;-6.5
230;F Construction;10 or more persons employed;2010 August;73.0;-11.0
231;F Construction;10 or more persons employed;2010 September;116.0;-10.9
232;F Construction;10 or more persons employed;2010 3rd quarter;101.0;-9.3
233;F Construction;10 or more persons employed;2010 October;120.0;-9.8
234;F Construction;10 or more persons employed;2010 November;126.0;-0.5
235;F Construction;10 or more persons employed;2010 December;125.0;-8.2
236;F Construction;10 or more persons employed;2010 4rd quarter;124.0;-6.3
237;F Construction;10 or more persons employed;2010;107.0;-10.8
238;F Construction;10 or more persons employed;2011 January;75.0;9.4
239;F Construction;10 or more persons employed;2011 February;96.0;16.2
240;F Construction;10 or more persons employed;2011 March;115.0;0.8
241;F Construction;10 or more persons employed;2011 1st quarter;95.0;7.8
242;F Construction;10 or more persons employed;2011 April;111.0;-1.2
243;F Construction;10 or more persons employed;2011 May;121.0;14.5
244;F Construction;10 or more persons employed;2011 June;114.0;-9.2
245;F Construction;10 or more persons employed;2011 2nd quarter;116.0;0.7
246;F Construction;10 or more persons employed;2011 July;107.0;-6.0
247;F Construction;10 or more persons employed;2011 August;77.0;5.8
248;F Construction;10 or more persons employed;2011 September;121.0;5.1
249;F Construction;10 or more persons employed;2011 3rd quarter;102.0;1.1
250;F Construction;10 or more persons employed;2011 October;118.0;-1.8
251;F Construction;10 or more persons employed;2011 November;127.0;1.1
252;F Construction;10 or more persons employed;2011 December;137.0;9.8
253;F Construction;10 or more persons employed;2011 4rd quarter;127.0;3.1
254;F Construction;10 or more persons employed;2011;110.0;2.9
255;F Construction;10 or more persons employed;2012 January;70.0;-6.4
256;F Construction;10 or more persons employed;2012 February;84.0;-12.3
257;F Construction;10 or more persons employed;2012 March;105.0;-8.4
258;F Construction;10 or more persons employed;2012 1st quarter;86.0;-9.2
259;F Construction;10 or more persons employed;2012 April;103.0;-7.6
260;F Construction;10 or more persons employed;2012 May;107.0;-11.5
261;F Construction;10 or more persons employed;2012 June;114.0;0.0
262;F Construction;10 or more persons employed;2012 2nd quarter;108.0;-6.5
263;F Construction;10 or more persons employed;2012 July;99.0;-8.3
264;F Construction;10 or more persons employed;2012 August;77.0;0.0
265;F Construction;10 or more persons employed;2012 September;115.0;-5.7
266;F Construction;10 or more persons employed;2012 3rd quarter;97.0;-5.2
267;F Construction;10 or more persons employed;2012 October;112.0;-5.4
268;F Construction;10 or more persons employed;2012 November;120.0;-5.5
269;F Construction;10 or more persons employed;2012 December;117.0;-14.5
270;F Construction;10 or more persons employed;2012 4th quarter;116.0;-8.7
271;F Construction;10 or more persons employed;2012;102.0;-7.4
272;412-439 Construction (no development);All enterprises;2005 January;62.0;-1.7
273;412-439 Construction (no development);All enterprises;2005 February;79.0;-1.9
274;412-439 Construction (no development);All enterprises;2005 March;94.0;-3.1
275;412-439 Construction (no development);All enterprises;2005 1st quarter;78.0;-2.3
276;412-439 Construction (no development);All enterprises;2005 April;101.0;6.5
277;412-439 Construction (no development);All enterprises;2005 May;97.0;7.9
278;412-439 Construction (no development);All enterprises;2005 June;119.0;12.0
279;412-439 Construction (no development);All enterprises;2005 2nd quarter;106.0;8.9
280;412-439 Construction (no development);All enterprises;2005 July;99.0;4.7
281;412-439 Construction (no development);All enterprises;2005 August;69.0;13.0
282;412-439 Construction (no development);All enterprises;2005 September;114.0;9.6
283;412-439 Construction (no development);All enterprises;2005 3rd quarter;94.0;8.6
284;412-439 Construction (no development);All enterprises;2005 October;110.0;3.9
285;412-439 Construction (no development);All enterprises;2005 November;118.0;5.6
286;412-439 Construction (no development);All enterprises;2005 December;139.0;8.2
287;412-439 Construction (no development);All enterprises;2005 4th quarter;122.0;6.1
288;412-439 Construction (no development);All enterprises;2005;100.0;5.6
289;412-439 Construction (no development);All enterprises;2006 January;65.0;4.8
290;412-439 Construction (no development);All enterprises;2006 February;86.0;9.5
291;412-439 Construction (no development);All enterprises;2006 March;110.0;16.6
292;412-439 Construction (no development);All enterprises;2006 1st quarter;87.0;11.1
293;412-439 Construction (no development);All enterprises;2006 April;101.0;-0.6
294;412-439 Construction (no development);All enterprises;2006 May;114.0;17.8
295;412-439 Construction (no development);All enterprises;2006 June;123.0;4.1
296;412-439 Construction (no development);All enterprises;2006 2nd quarter;113.0;6.7
297;412-439 Construction (no development);All enterprises;2006 July;103.0;3.4
298;412-439 Construction (no development);All enterprises;2006 August;76.0;10.4
299;412-439 Construction (no development);All enterprises;2006 September;122.0;7.5
300;412-439 Construction (no development);All enterprises;2006 3rd quarter;100.0;6.8
301;412-439 Construction (no development);All enterprises;2006 October;122.0;10.8
302;412-439 Construction (no development);All enterprises;2006 November;130.0;10.9
303;412-439 Construction (no development);All enterprises;2006 December;151.0;8.1
304;412-439 Construction (no development);All enterprises;2006 4th quarter;134.0;9.8
305;412-439 Construction (no development);All enterprises;2006;109.0;8.5
306;412-439 Construction (no development);All enterprises;2007 January;73.0;13.3
307;412-439 Construction (no development);All enterprises;2007 February;99.0;14.5
308;412-439 Construction (no development);All enterprises;2007 March;126.0;14.3
309;412-439 Construction (no development);All enterprises;2007 1st quarter;99.0;14.1
310;412-439 Construction (no development);All enterprises;2007 April;112.0;11.6
311;412-439 Construction (no development);All enterprises;2007 May;121.0;6.0
312;412-439 Construction (no development);All enterprises;2007 June;137.0;11.3
313;412-439 Construction (no development);All enterprises;2007 2nd quarter;123.0;9.6
314;412-439 Construction (no development);All enterprises;2007 July;114.0;10.8
315;412-439 Construction (no development);All enterprises;2007 August;87.0;14.1
316;412-439 Construction (no development);All enterprises;2007 September;128.0;4.7
317;412-439 Construction (no development);All enterprises;2007 3rd quarter;109.0;9.1
318;412-439 Construction (no development);All enterprises;2007 October;137.0;12.3
319;412-439 Construction (no development);All enterprises;2007 November;142.0;8.6
320;412-439 Construction (no development);All enterprises;2007 December;155.0;2.7
321;412-439 Construction (no development);All enterprises;2007 4th quarter;145.0;7.5
322;412-439 Construction (no development);All enterprises;2007;119.0;9.7
323;412-439 Construction (no development);All enterprises;2008 January;86.0;17.5
324;412-439 Construction (no development);All enterprises;2008 February;117.0;18.7
325;412-439 Construction (no development);All enterprises;2008 March;131.0;3.9
326;412-439 Construction (no development);All enterprises;2008 1st quarter;111.0;12.2
327;412-439 Construction (no development);All enterprises;2008 April;136.0;20.8
328;412-439 Construction (no development);All enterprises;2008 May;129.0;7.4
329;412-439 Construction (no development);All enterprises;2008 June;149.0;8.4
330;412-439 Construction (no development);All enterprises;2008 2nd quarter;138.0;11.8
331;412-439 Construction (no development);All enterprises;2008 July;125.0;9.6
332;412-439 Construction (no development);All enterprises;2008 August;94.0;9.2
333;412-439 Construction (no development);All enterprises;2008 September;145.0;13.5
334;412-439 Construction (no development);All enterprises;2008 3rd quarter;121.0;11.0
335;412-439 Construction (no development);All enterprises;2008 October;152.0;11.0
336;412-439 Construction (no development);All enterprises;2008 November;142.0;0.6
337;412-439 Construction (no development);All enterprises;2008 December;163.0;5.2
338;412-439 Construction (no development);All enterprises;2008 4th quarter;152.0;5.5
339;412-439 Construction (no development);All enterprises;2008;131.0;9.8
340;412-439 Construction (no development);All enterprises;2009 January;88.0;2.4
341;412-439 Construction (no development);All enterprises;2009 February;112.0;-4.5
342;412-439 Construction (no development);All enterprises;2009 March;139.0;6.3
343;412-439 Construction (no development);All enterprises;2009 1st quarter;113.0;1.5
344;412-439 Construction (no development);All enterprises;2009 April;132.0;-3.0
345;412-439 Construction (no development);All enterprises;2009 May;127.0;-2.2
346;412-439 Construction (no development);All enterprises;2009 June;141.0;-5.4
347;412-439 Construction (no development);All enterprises;2009 2nd quarter;133.0;-3.6
348;412-439 Construction (no development);All enterprises;2009 July;129.0;3.2
349;412-439 Construction (no development);All enterprises;2009 August;85.0;-9.8
350;412-439 Construction (no development);All enterprises;2009 September;134.0;-7.6
351;412-439 Construction (no development);All enterprises;2009 3rd quarter;116.0;-4.5
352;412-439 Construction (no development);All enterprises;2009 October;139.0;-8.7
353;412-439 Construction (no development);All enterprises;2009 November;133.0;-7.0
354;412-439 Construction (no development);All enterprises;2009 December;143.0;-12.3
355;412-439 Construction (no development);All enterprises;2009 4th quarter;138.0;-9.4
356;412-439 Construction (no development);All enterprises;2009;125.0;-4.4
357;412-439 Construction (no development);All enterprises;2010 January;73.0;-17.4
358;412-439 Construction (no development);All enterprises;2010 February;87.0;-21.9
359;412-439 Construction (no development);All enterprises;2010 March;121.0;-13.2
360;412-439 Construction (no development);All enterprises;2010 1st quarter;94.0;-17.2
361;412-439 Construction (no development);All enterprises;2010 April;120.0;-8.9
362;412-439 Construction (no development);All enterprises;2010 May;112.0;-11.4
363;412-439 Construction (no development);All enterprises;2010 June;134.0;-4.8
364;412-439 Construction (no development);All enterprises;2010 2nd quarter;122.0;-8.2
365;412-439 Construction (no development);All enterprises;2010 July;121.0;-5.5
366;412-439 Construction (no development);All enterprises;2010 August;80.0;-6.7
367;412-439 Construction (no development);All enterprises;2010 September;123.0;-8.4
368;412-439 Construction (no development);All enterprises;2010 3rd quarter;108.0;-6.9
369;412-439 Construction (no development);All enterprises;2010 October;128.0;-7.6
370;412-439 Construction (no development);All enterprises;2010 November;132.0;-0.3
371;412-439 Construction (no development);All enterprises;2010 December;136.0;-5.0
372;412-439 Construction (no development);All enterprises;2010 4rd quarter;132.0;-4.3
373;412-439 Construction (no development);All enterprises;2010;114.0;-8.9
374;412-439 Construction (no development);All enterprises;2011 January;80.0;10.6
375;412-439 Construction (no development);All enterprises;2011 February;102.0;16.8
376;412-439 Construction (no development);All enterprises;2011 March;124.0;3.0
377;412-439 Construction (no development);All enterprises;2011 1st quarter;102.0;9.3
378;412-439 Construction (no development);All enterprises;2011 April;121.0;0.8
379;412-439 Construction (no development);All enterprises;2011 May;131.0;16.8
380;412-439 Construction (no development);All enterprises;2011 June;125.0;-6.5
381;412-439 Construction (no development);All enterprises;2011 2nd quarter;126.0;3.0
382;412-439 Construction (no development);All enterprises;2011 July;118.0;-2.8
383;412-439 Construction (no development);All enterprises;2011 August;84.0;6.0
384;412-439 Construction (no development);All enterprises;2011 September;133.0;8.7
385;412-439 Construction (no development);All enterprises;2011 3rd quarter;112.0;3.7
386;412-439 Construction (no development);All enterprises;2011 October;125.0;-2.7
387;412-439 Construction (no development);All enterprises;2011 November;134.0;1.5
388;412-439 Construction (no development);All enterprises;2011 December;147.0;8.3
389;412-439 Construction (no development);All enterprises;2011 4rd quarter;135.0;2.5
390;412-439 Construction (no development);All enterprises;2011;119.0;4.3
391;412-439 Construction (no development);All enterprises;2012 January;76.0;-5.7
392;412-439 Construction (no development);All enterprises;2012 February;90.0;-11.4
393;412-439 Construction (no development);All enterprises;2012 March;115.0;-7.7
394;412-439 Construction (no development);All enterprises;2012 1st quarter;94.0;-8.4
395;412-439 Construction (no development);All enterprises;2012 April;111.0;-8.4
396;412-439 Construction (no development);All enterprises;2012 May;115.0;-12.0
397;412-439 Construction (no development);All enterprises;2012 June;124.0;-0.7
398;412-439 Construction (no development);All enterprises;2012 2nd quarter;117.0;-7.1
399;412-439 Construction (no development);All enterprises;2012 July;109.0;-7.5
400;412-439 Construction (no development);All enterprises;2012 August;84.0;0.1
401;412-439 Construction (no development);All enterprises;2012 September;127.0;-4.5
402;412-439 Construction (no development);All enterprises;2012 3rd quarter;107.0;-4.4
403;412-439 Construction (no development);All enterprises;2012 October;118.0;-5.6
404;412-439 Construction (no development);All enterprises;2012 November;126.0;-6.1
405;412-439 Construction (no development);All enterprises;2012 December;127.0;-13.8
406;412-439 Construction (no development);All enterprises;2012 4th quarter;124.0;-8.7
407;412-439 Construction (no development);All enterprises;2012;110.0;-7.2
408;412-439 Construction (no development);10 or more persons employed;2005 January;63.0;-0.9
409;412-439 Construction (no development);10 or more persons employed;2005 February;80.0;-1.4
410;412-439 Construction (no development);10 or more persons employed;2005 March;93.0;-5.1
411;412-439 Construction (no development);10 or more persons employed;2005 1st quarter;79.0;-2.8
412;412-439 Construction (no development);10 or more persons employed;2005 April;103.0;7.3
413;412-439 Construction (no development);10 or more persons employed;2005 May;97.0;9.4
414;412-439 Construction (no development);10 or more persons employed;2005 June;117.0;10.6
415;412-439 Construction (no development);10 or more persons employed;2005 2nd quarter;106.0;9.1
416;412-439 Construction (no development);10 or more persons employed;2005 July;99.0;5.3
417;412-439 Construction (no development);10 or more persons employed;2005 August;70.0;14.3
418;412-439 Construction (no development);10 or more persons employed;2005 September;112.0;6.9
419;412-439 Construction (no development);10 or more persons employed;2005 3rd quarter;93.0;8.1
420;412-439 Construction (no development);10 or more persons employed;2005 October;111.0;3.8
421;412-439 Construction (no development);10 or more persons employed;2005 November;119.0;6.1
422;412-439 Construction (no development);10 or more persons employed;2005 December;136.0;5.7
423;412-439 Construction (no development);10 or more persons employed;2005 4th quarter;122.0;5.3
424;412-439 Construction (no development);10 or more persons employed;2005;100.0;5.2
425;412-439 Construction (no development);10 or more persons employed;2006 January;64.0;2.3
426;412-439 Construction (no development);10 or more persons employed;2006 February;87.0;8.7
427;412-439 Construction (no development);10 or more persons employed;2006 March;109.0;16.9
428;412-439 Construction (no development);10 or more persons employed;2006 1st quarter;87.0;10.2
429;412-439 Construction (no development);10 or more persons employed;2006 April;101.0;-2.2
430;412-439 Construction (no development);10 or more persons employed;2006 May;114.0;16.9
431;412-439 Construction (no development);10 or more persons employed;2006 June;120.0;2.9
432;412-439 Construction (no development);10 or more persons employed;2006 2nd quarter;112.0;5.5
433;412-439 Construction (no development);10 or more persons employed;2006 July;101.0;2.1
434;412-439 Construction (no development);10 or more persons employed;2006 August;75.0;8.0
435;412-439 Construction (no development);10 or more persons employed;2006 September;119.0;7.0
436;412-439 Construction (no development);10 or more persons employed;2006 3rd quarter;98.0;5.5
437;412-439 Construction (no development);10 or more persons employed;2006 October;122.0;9.9
438;412-439 Construction (no development);10 or more persons employed;2006 November;130.0;9.3
439;412-439 Construction (no development);10 or more persons employed;2006 December;145.0;6.6
440;412-439 Construction (no development);10 or more persons employed;2006 4th quarter;133.0;8.5
441;412-439 Construction (no development);10 or more persons employed;2006;107.0;7.4
442;412-439 Construction (no development);10 or more persons employed;2007 January;73.0;12.9
443;412-439 Construction (no development);10 or more persons employed;2007 February;99.0;13.7
444;412-439 Construction (no development);10 or more persons employed;2007 March;124.0;14.0
445;412-439 Construction (no development);10 or more persons employed;2007 1st quarter;99.0;13.6
446;412-439 Construction (no development);10 or more persons employed;2007 April;112.0;11.2
447;412-439 Construction (no development);10 or more persons employed;2007 May;120.0;5.7
448;412-439 Construction (no development);10 or more persons employed;2007 June;133.0;11.0
449;412-439 Construction (no development);10 or more persons employed;2007 2nd quarter;122.0;9.3
450;412-439 Construction (no development);10 or more persons employed;2007 July;111.0;10.5
451;412-439 Construction (no development);10 or more persons employed;2007 August;86.0;14.5
452;412-439 Construction (no development);10 or more persons employed;2007 September;124.0;3.7
453;412-439 Construction (no development);10 or more persons employed;2007 3rd quarter;107.0;8.8
454;412-439 Construction (no development);10 or more persons employed;2007 October;137.0;11.8
455;412-439 Construction (no development);10 or more persons employed;2007 November;142.0;8.8
456;412-439 Construction (no development);10 or more persons employed;2007 December;150.0;3.5
457;412-439 Construction (no development);10 or more persons employed;2007 4th quarter;143.0;7.8
458;412-439 Construction (no development);10 or more persons employed;2007;118.0;9.6
459;412-439 Construction (no development);10 or more persons employed;2008 January;83.0;14.9
460;412-439 Construction (no development);10 or more persons employed;2008 February;116.0;17.4
461;412-439 Construction (no development);10 or more persons employed;2008 March;126.0;1.2
462;412-439 Construction (no development);10 or more persons employed;2008 1st quarter;108.0;10.0
463;412-439 Construction (no development);10 or more persons employed;2008 April;134.0;19.0
464;412-439 Construction (no development);10 or more persons employed;2008 May;127.0;5.9
465;412-439 Construction (no development);10 or more persons employed;2008 June;143.0;7.4
466;412-439 Construction (no development);10 or more persons employed;2008 2nd quarter;135.0;10.5
467;412-439 Construction (no development);10 or more persons employed;2008 July;119.0;7.3
468;412-439 Construction (no development);10 or more persons employed;2008 August;92.0;6.4
469;412-439 Construction (no development);10 or more persons employed;2008 September;141.0;13.8
470;412-439 Construction (no development);10 or more persons employed;2008 3rd quarter;117.0;9.6
471;412-439 Construction (no development);10 or more persons employed;2008 October;149.0;9.1
472;412-439 Construction (no development);10 or more persons employed;2008 November;139.0;-2.4
473;412-439 Construction (no development);10 or more persons employed;2008 December;156.0;3.9
474;412-439 Construction (no development);10 or more persons employed;2008 4th quarter;148.0;3.5
475;412-439 Construction (no development);10 or more persons employed;2008;127.0;8.0
