ID;Nationaliteit;CaribischNederland;Perioden;InkomendToerismePerVliegtuig_1
157;Braziliaans;Sint-Eustatius;2013;0
158;Braziliaans;Sint-Eustatius;2014;0
159;Braziliaans;Sint-Eustatius;2015;0
160;Braziliaans;Sint-Eustatius;2016;0
161;Braziliaans;Sint-Eustatius;2017;0
162;Braziliaans;Sint-Eustatius;2018;0
163;Braziliaans;Sint-Eustatius;2019;1
164;Braziliaans;Sint-Eustatius;2020;0
165;Braziliaans;Sint-Eustatius;2021;0
166;Braziliaans;Sint-Eustatius;2022;0
167;Braziliaans;Sint-Eustatius;2023;0
168;Braziliaans;Saba;2012;0
169;Braziliaans;Saba;2013;0
170;Braziliaans;Saba;2014;0
171;Braziliaans;Saba;2015;0
172;Braziliaans;Saba;2016;0
173;Braziliaans;Saba;2017;0
174;Braziliaans;Saba;2018;0
175;Braziliaans;Saba;2019;0
176;Braziliaans;Saba;2020;1
177;Braziliaans;Saba;2021;0
178;Braziliaans;Saba;2022;0
179;Braziliaans;Saba;2023;0
180;Brits;Bonaire;2012;1
181;Brits;Bonaire;2013;1
182;Brits;Bonaire;2014;1
183;Brits;Bonaire;2015;1
184;Brits;Bonaire;2016;1
185;Brits;Bonaire;2017;1
186;Brits;Bonaire;2018;1
187;Brits;Bonaire;2019;1
188;Brits;Bonaire;2020;1
189;Brits;Bonaire;2021;1
190;Brits;Bonaire;2022;1
191;Brits;Bonaire;2023;1
192;Brits;Sint-Eustatius;2012;2
193;Brits;Sint-Eustatius;2013;2
194;Brits;Sint-Eustatius;2014;2
195;Brits;Sint-Eustatius;2015;2
196;Brits;Sint-Eustatius;2016;2
197;Brits;Sint-Eustatius;2017;2
198;Brits;Sint-Eustatius;2018;2
199;Brits;Sint-Eustatius;2019;3
200;Brits;Sint-Eustatius;2020;2
201;Brits;Sint-Eustatius;2021;1
202;Brits;Sint-Eustatius;2022;2
203;Brits;Sint-Eustatius;2023;2
204;Brits;Saba;2012;1
205;Brits;Saba;2013;2
206;Brits;Saba;2014;2
207;Brits;Saba;2015;2
208;Brits;Saba;2016;2
209;Brits;Saba;2017;3
210;Brits;Saba;2018;2
211;Brits;Saba;2019;2
212;Brits;Saba;2020;2
213;Brits;Saba;2021;1
214;Brits;Saba;2022;1
215;Brits;Saba;2023;2
216;Canadees;Bonaire;2012;2
217;Canadees;Bonaire;2013;2
218;Canadees;Bonaire;2014;3
219;Canadees;Bonaire;2015;2
220;Canadees;Bonaire;2016;2
221;Canadees;Bonaire;2017;2
222;Canadees;Bonaire;2018;3
223;Canadees;Bonaire;2019;3
224;Canadees;Bonaire;2020;2
225;Canadees;Bonaire;2021;1
226;Canadees;Bonaire;2022;1
227;Canadees;Bonaire;2023;2
228;Canadees;Sint-Eustatius;2012;2
229;Canadees;Sint-Eustatius;2013;2
230;Canadees;Sint-Eustatius;2014;1
231;Canadees;Sint-Eustatius;2015;1
232;Canadees;Sint-Eustatius;2016;1
233;Canadees;Sint-Eustatius;2017;1
234;Canadees;Sint-Eustatius;2018;1
235;Canadees;Sint-Eustatius;2019;1
236;Canadees;Sint-Eustatius;2020;2
237;Canadees;Sint-Eustatius;2021;1
238;Canadees;Sint-Eustatius;2022;2
239;Canadees;Sint-Eustatius;2023;2
240;Canadees;Saba;2012;9
241;Canadees;Saba;2013;10
242;Canadees;Saba;2014;10
243;Canadees;Saba;2015;8
244;Canadees;Saba;2016;8
245;Canadees;Saba;2017;5
246;Canadees;Saba;2018;6
247;Canadees;Saba;2019;5
248;Canadees;Saba;2020;7
249;Canadees;Saba;2021;4
250;Canadees;Saba;2022;6
251;Canadees;Saba;2023;5
252;Colombiaans;Bonaire;2012;1
253;Colombiaans;Bonaire;2013;1
254;Colombiaans;Bonaire;2014;1
255;Colombiaans;Bonaire;2015;1
256;Colombiaans;Bonaire;2016;2
257;Colombiaans;Bonaire;2017;2
258;Colombiaans;Bonaire;2018;2
259;Colombiaans;Bonaire;2019;1
260;Colombiaans;Bonaire;2020;1
261;Colombiaans;Bonaire;2021;1
262;Colombiaans;Bonaire;2022;1
263;Colombiaans;Bonaire;2023;1
264;Colombiaans;Sint-Eustatius;2012;0
265;Colombiaans;Sint-Eustatius;2013;0
266;Colombiaans;Sint-Eustatius;2014;0
267;Colombiaans;Sint-Eustatius;2015;0
268;Colombiaans;Sint-Eustatius;2016;0
269;Colombiaans;Sint-Eustatius;2017;1
270;Colombiaans;Sint-Eustatius;2018;1
271;Colombiaans;Sint-Eustatius;2019;1
272;Colombiaans;Sint-Eustatius;2020;1
273;Colombiaans;Sint-Eustatius;2021;1
274;Colombiaans;Sint-Eustatius;2022;1
275;Colombiaans;Sint-Eustatius;2023;1
276;Colombiaans;Saba;2012;1
277;Colombiaans;Saba;2013;1
278;Colombiaans;Saba;2014;1
279;Colombiaans;Saba;2015;2
280;Colombiaans;Saba;2016;2
281;Colombiaans;Saba;2017;3
282;Colombiaans;Saba;2018;2
283;Colombiaans;Saba;2019;2
284;Colombiaans;Saba;2020;3
285;Colombiaans;Saba;2021;4
286;Colombiaans;Saba;2022;2
287;Colombiaans;Saba;2023;1
288;Dominicaans;Bonaire;2012;1
289;Dominicaans;Bonaire;2013;1
290;Dominicaans;Bonaire;2014;1
291;Dominicaans;Bonaire;2015;1
292;Dominicaans;Bonaire;2016;1
293;Dominicaans;Bonaire;2017;1
294;Dominicaans;Bonaire;2018;1
295;Dominicaans;Bonaire;2019;1
296;Dominicaans;Bonaire;2020;2
297;Dominicaans;Bonaire;2021;1
298;Dominicaans;Bonaire;2022;0
299;Dominicaans;Bonaire;2023;0
300;Dominicaans;Sint-Eustatius;2012;4
301;Dominicaans;Sint-Eustatius;2013;4
302;Dominicaans;Sint-Eustatius;2014;3
303;Dominicaans;Sint-Eustatius;2015;4
304;Dominicaans;Sint-Eustatius;2016;5
305;Dominicaans;Sint-Eustatius;2017;6
306;Dominicaans;Sint-Eustatius;2018;6
307;Dominicaans;Sint-Eustatius;2019;6
308;Dominicaans;Sint-Eustatius;2020;6
309;Dominicaans;Sint-Eustatius;2021;6
310;Dominicaans;Sint-Eustatius;2022;2
311;Dominicaans;Sint-Eustatius;2023;1
312;Dominicaans;Saba;2012;2
313;Dominicaans;Saba;2013;2
314;Dominicaans;Saba;2014;3
315;Dominicaans;Saba;2015;2
316;Dominicaans;Saba;2016;2
317;Dominicaans;Saba;2017;2
318;Dominicaans;Saba;2018;3
319;Dominicaans;Saba;2019;2
320;Dominicaans;Saba;2020;3
321;Dominicaans;Saba;2021;3
322;Dominicaans;Saba;2022;1
323;Dominicaans;Saba;2023;1
324;Duits;Bonaire;2012;2
325;Duits;Bonaire;2013;2
326;Duits;Bonaire;2014;3
327;Duits;Bonaire;2015;3
328;Duits;Bonaire;2016;3
329;Duits;Bonaire;2017;3
330;Duits;Bonaire;2018;3
331;Duits;Bonaire;2019;3
332;Duits;Bonaire;2020;3
333;Duits;Bonaire;2021;2
334;Duits;Bonaire;2022;3
335;Duits;Bonaire;2023;2
336;Duits;Sint-Eustatius;2012;1
337;Duits;Sint-Eustatius;2013;1
338;Duits;Sint-Eustatius;2014;1
339;Duits;Sint-Eustatius;2015;1
340;Duits;Sint-Eustatius;2016;1
341;Duits;Sint-Eustatius;2017;1
342;Duits;Sint-Eustatius;2018;1
343;Duits;Sint-Eustatius;2019;1
344;Duits;Sint-Eustatius;2020;1
345;Duits;Sint-Eustatius;2021;1
346;Duits;Sint-Eustatius;2022;2
347;Duits;Sint-Eustatius;2023;1
348;Duits;Saba;2012;1
349;Duits;Saba;2013;2
350;Duits;Saba;2014;2
351;Duits;Saba;2015;2
352;Duits;Saba;2016;2
353;Duits;Saba;2017;1
354;Duits;Saba;2018;1
355;Duits;Saba;2019;1
356;Duits;Saba;2020;1
357;Duits;Saba;2021;1
358;Duits;Saba;2022;1
359;Duits;Saba;2023;1
360;Filippijns;Bonaire;2012;0
361;Filippijns;Bonaire;2013;0
362;Filippijns;Bonaire;2014;0
363;Filippijns;Bonaire;2015;0
364;Filippijns;Bonaire;2016;0
365;Filippijns;Bonaire;2017;0
366;Filippijns;Bonaire;2018;0
367;Filippijns;Bonaire;2019;0
368;Filippijns;Bonaire;2020;0
369;Filippijns;Bonaire;2021;0
370;Filippijns;Bonaire;2022;0
371;Filippijns;Bonaire;2023;0
372;Filippijns;Sint-Eustatius;2012;2
373;Filippijns;Sint-Eustatius;2013;1
374;Filippijns;Sint-Eustatius;2014;2
375;Filippijns;Sint-Eustatius;2015;1
376;Filippijns;Sint-Eustatius;2016;1
377;Filippijns;Sint-Eustatius;2017;1
378;Filippijns;Sint-Eustatius;2018;1
379;Filippijns;Sint-Eustatius;2019;1
380;Filippijns;Sint-Eustatius;2020;1
381;Filippijns;Sint-Eustatius;2021;0
382;Filippijns;Sint-Eustatius;2022;1
383;Filippijns;Sint-Eustatius;2023;1
384;Filippijns;Saba;2012;0
385;Filippijns;Saba;2013;0
386;Filippijns;Saba;2014;0
387;Filippijns;Saba;2015;0
388;Filippijns;Saba;2016;0
389;Filippijns;Saba;2017;1
390;Filippijns;Saba;2018;0
391;Filippijns;Saba;2019;0
392;Filippijns;Saba;2020;0
393;Filippijns;Saba;2021;0
394;Filippijns;Saba;2022;1
395;Filippijns;Saba;2023;0
396;Frans;Bonaire;2012;0
397;Frans;Bonaire;2013;0
398;Frans;Bonaire;2014;0
399;Frans;Bonaire;2015;1
400;Frans;Bonaire;2016;1
401;Frans;Bonaire;2017;1
402;Frans;Bonaire;2018;1
403;Frans;Bonaire;2019;1
404;Frans;Bonaire;2020;1
405;Frans;Bonaire;2021;1
406;Frans;Bonaire;2022;1
407;Frans;Bonaire;2023;1
408;Frans;Sint-Eustatius;2012;3
409;Frans;Sint-Eustatius;2013;4
410;Frans;Sint-Eustatius;2014;4
411;Frans;Sint-Eustatius;2015;3
412;Frans;Sint-Eustatius;2016;4
413;Frans;Sint-Eustatius;2017;2
414;Frans;Sint-Eustatius;2018;3
415;Frans;Sint-Eustatius;2019;3
416;Frans;Sint-Eustatius;2020;3
417;Frans;Sint-Eustatius;2021;3
418;Frans;Sint-Eustatius;2022;4
419;Frans;Sint-Eustatius;2023;5
420;Frans;Saba;2012;4
421;Frans;Saba;2013;5
422;Frans;Saba;2014;5
423;Frans;Saba;2015;5
424;Frans;Saba;2016;5
425;Frans;Saba;2017;4
426;Frans;Saba;2018;7
427;Frans;Saba;2019;5
428;Frans;Saba;2020;4
429;Frans;Saba;2021;2
430;Frans;Saba;2022;5
431;Frans;Saba;2023;7
432;Venezolaans;Bonaire;2012;3
433;Venezolaans;Bonaire;2013;3
434;Venezolaans;Bonaire;2014;3
435;Venezolaans;Bonaire;2015;3
436;Venezolaans;Bonaire;2016;3
437;Venezolaans;Bonaire;2017;3
438;Venezolaans;Bonaire;2018;2
439;Venezolaans;Bonaire;2019;1
440;Venezolaans;Bonaire;2020;2
441;Venezolaans;Bonaire;2021;1
442;Venezolaans;Bonaire;2022;0
443;Venezolaans;Bonaire;2023;0
444;Venezolaans;Sint-Eustatius;2012;1
445;Venezolaans;Sint-Eustatius;2013;1
446;Venezolaans;Sint-Eustatius;2014;1
447;Venezolaans;Sint-Eustatius;2015;1
448;Venezolaans;Sint-Eustatius;2016;1
449;Venezolaans;Sint-Eustatius;2017;1
450;Venezolaans;Sint-Eustatius;2018;1
451;Venezolaans;Sint-Eustatius;2019;1
452;Venezolaans;Sint-Eustatius;2020;1
453;Venezolaans;Sint-Eustatius;2021;1
454;Venezolaans;Sint-Eustatius;2022;1
455;Venezolaans;Sint-Eustatius;2023;1
456;Venezolaans;Saba;2012;0
457;Venezolaans;Saba;2013;0
458;Venezolaans;Saba;2014;0
459;Venezolaans;Saba;2015;0
460;Venezolaans;Saba;2016;0
461;Venezolaans;Saba;2017;0
462;Venezolaans;Saba;2018;0
463;Venezolaans;Saba;2019;0
464;Venezolaans;Saba;2020;0
465;Venezolaans;Saba;2021;0
466;Venezolaans;Saba;2022;0
467;Venezolaans;Saba;2023;0
468;Overige Europa (exclusief Nederlands);Bonaire;2012;3
469;Overige Europa (exclusief Nederlands);Bonaire;2013;4
470;Overige Europa (exclusief Nederlands);Bonaire;2014;5
471;Overige Europa (exclusief Nederlands);Bonaire;2015;5
472;Overige Europa (exclusief Nederlands);Bonaire;2016;5
473;Overige Europa (exclusief Nederlands);Bonaire;2017;5
474;Overige Europa (exclusief Nederlands);Bonaire;2018;5
475;Overige Europa (exclusief Nederlands);Bonaire;2019;4
476;Overige Europa (exclusief Nederlands);Bonaire;2020;5
477;Overige Europa (exclusief Nederlands);Bonaire;2021;4
478;Overige Europa (exclusief Nederlands);Bonaire;2022;4
479;Overige Europa (exclusief Nederlands);Bonaire;2023;4
480;Overige Europa (exclusief Nederlands);Sint-Eustatius;2012;5
481;Overige Europa (exclusief Nederlands);Sint-Eustatius;2013;4
482;Overige Europa (exclusief Nederlands);Sint-Eustatius;2014;5
483;Overige Europa (exclusief Nederlands);Sint-Eustatius;2015;5
484;Overige Europa (exclusief Nederlands);Sint-Eustatius;2016;5
485;Overige Europa (exclusief Nederlands);Sint-Eustatius;2017;4
486;Overige Europa (exclusief Nederlands);Sint-Eustatius;2018;4
487;Overige Europa (exclusief Nederlands);Sint-Eustatius;2019;4
488;Overige Europa (exclusief Nederlands);Sint-Eustatius;2020;4
489;Overige Europa (exclusief Nederlands);Sint-Eustatius;2021;4
490;Overige Europa (exclusief Nederlands);Sint-Eustatius;2022;4
491;Overige Europa (exclusief Nederlands);Sint-Eustatius;2023;4
492;Overige Europa (exclusief Nederlands);Saba;2012;3
493;Overige Europa (exclusief Nederlands);Saba;2013;3
494;Overige Europa (exclusief Nederlands);Saba;2014;3
495;Overige Europa (exclusief Nederlands);Saba;2015;3
496;Overige Europa (exclusief Nederlands);Saba;2016;3
497;Overige Europa (exclusief Nederlands);Saba;2017;3
498;Overige Europa (exclusief Nederlands);Saba;2018;3
499;Overige Europa (exclusief Nederlands);Saba;2019;4
500;Overige Europa (exclusief Nederlands);Saba;2020;5
501;Overige Europa (exclusief Nederlands);Saba;2021;2
502;Overige Europa (exclusief Nederlands);Saba;2022;3
503;Overige Europa (exclusief Nederlands);Saba;2023;3
504;Overige nationaliteiten;Bonaire;2012;3
505;Overige nationaliteiten;Bonaire;2013;3
506;Overige nationaliteiten;Bonaire;2014;3
507;Overige nationaliteiten;Bonaire;2015;4
508;Overige nationaliteiten;Bonaire;2016;3
509;Overige nationaliteiten;Bonaire;2017;3
510;Overige nationaliteiten;Bonaire;2018;3
511;Overige nationaliteiten;Bonaire;2019;2
512;Overige nationaliteiten;Bonaire;2020;2
513;Overige nationaliteiten;Bonaire;2021;2
514;Overige nationaliteiten;Bonaire;2022;1
515;Overige nationaliteiten;Bonaire;2023;2
516;Overige nationaliteiten;Sint-Eustatius;2012;12
517;Overige nationaliteiten;Sint-Eustatius;2013;13
518;Overige nationaliteiten;Sint-Eustatius;2014;14
519;Overige nationaliteiten;Sint-Eustatius;2015;16
520;Overige nationaliteiten;Sint-Eustatius;2016;16
521;Overige nationaliteiten;Sint-Eustatius;2017;18
522;Overige nationaliteiten;Sint-Eustatius;2018;16
523;Overige nationaliteiten;Sint-Eustatius;2019;15
524;Overige nationaliteiten;Sint-Eustatius;2020;14
525;Overige nationaliteiten;Sint-Eustatius;2021;8
526;Overige nationaliteiten;Sint-Eustatius;2022;9
527;Overige nationaliteiten;Sint-Eustatius;2023;11
528;Overige nationaliteiten;Saba;2012;7
529;Overige nationaliteiten;Saba;2013;6
530;Overige nationaliteiten;Saba;2014;6
531;Overige nationaliteiten;Saba;2015;7
532;Overige nationaliteiten;Saba;2016;6
533;Overige nationaliteiten;Saba;2017;6
534;Overige nationaliteiten;Saba;2018;7
535;Overige nationaliteiten;Saba;2019;7
536;Overige nationaliteiten;Saba;2020;6
537;Overige nationaliteiten;Saba;2021;7
538;Overige nationaliteiten;Saba;2022;6
539;Overige nationaliteiten;Saba;2023;7
