ID;Sex;Age;Nationality;Periods;PopulationOn1January_1
1996;Total male and female;Total;South Sudanese;2019;46.0
1997;Total male and female;Total;South Sudanese;2020;84.0
1998;Total male and female;Total;South Sudanese;2021;107.0
1999;Total male and female;Total;South Sudanese;2022;121.0
2000;Total male and female;Total;South Sudanese;2023;129.0
2001;Total male and female;Total;South Sudanese;2024;161.0
2002;Total male and female;Total;Soviet Russian;2014;21.0
2003;Total male and female;Total;Soviet Russian;2015;15.0
2004;Total male and female;Total;Soviet Russian;2016;9.0
2005;Total male and female;Total;Soviet Russian;2017;9.0
2006;Total male and female;Total;Soviet Russian;2018;6.0
2007;Total male and female;Total;Soviet Russian;2019;7.0
2008;Total male and female;Total;Soviet Russian;2020;5.0
2009;Total male and female;Total;Soviet Russian;2021;1.0
2010;Total male and female;Total;Soviet Russian;2022;1.0
2011;Total male and female;Total;Soviet Russian;2023;0.0
2012;Total male and female;Total;Soviet Russian;2024;0.0
2013;Total male and female;Total;(former) Soviet Union;2014;22639.0
2014;Total male and female;Total;(former) Soviet Union;2015;24478.0
2015;Total male and female;Total;(former) Soviet Union;2016;26784.0
2016;Total male and female;Total;(former) Soviet Union;2017;29383.0
2017;Total male and female;Total;(former) Soviet Union;2018;32755.0
2018;Total male and female;Total;(former) Soviet Union;2019;37061.0
2019;Total male and female;Total;(former) Soviet Union;2020;42302.0
2020;Total male and female;Total;(former) Soviet Union;2021;43964.0
2021;Total male and female;Total;(former) Soviet Union;2022;48422.0
2022;Total male and female;Total;(former) Soviet Union;2023;143549.0
2023;Total male and female;Total;(former) Soviet Union;2024;165632.0
2024;Total male and female;Total;Spanish;2014;23883.0
2025;Total male and female;Total;Spanish;2015;25333.0
2026;Total male and female;Total;Spanish;2016;26773.0
2027;Total male and female;Total;Spanish;2017;28285.0
2028;Total male and female;Total;Spanish;2018;30331.0
2029;Total male and female;Total;Spanish;2019;32726.0
2030;Total male and female;Total;Spanish;2020;35624.0
2031;Total male and female;Total;Spanish;2021;37433.0
2032;Total male and female;Total;Spanish;2022;42054.0
2033;Total male and female;Total;Spanish;2023;46910.0
2034;Total male and female;Total;Spanish;2024;50463.0
2035;Total male and female;Total;Sri Lankan;2014;1378.0
2036;Total male and female;Total;Sri Lankan;2015;1413.0
2037;Total male and female;Total;Sri Lankan;2016;1400.0
2038;Total male and female;Total;Sri Lankan;2017;1399.0
2039;Total male and female;Total;Sri Lankan;2018;1362.0
2040;Total male and female;Total;Sri Lankan;2019;1409.0
2041;Total male and female;Total;Sri Lankan;2020;1440.0
2042;Total male and female;Total;Sri Lankan;2021;1312.0
2043;Total male and female;Total;Sri Lankan;2022;1357.0
2044;Total male and female;Total;Sri Lankan;2023;1610.0
2045;Total male and female;Total;Sri Lankan;2024;1792.0
2046;Total male and female;Total;Sudanese;2014;722.0
2047;Total male and female;Total;Sudanese;2015;707.0
2048;Total male and female;Total;Sudanese;2016;811.0
2049;Total male and female;Total;Sudanese;2017;966.0
2050;Total male and female;Total;Sudanese;2018;1027.0
2051;Total male and female;Total;Sudanese;2019;1293.0
2052;Total male and female;Total;Sudanese;2020;1531.0
2053;Total male and female;Total;Sudanese;2021;1557.0
2054;Total male and female;Total;Sudanese;2022;1466.0
2055;Total male and female;Total;Sudanese;2023;1539.0
2056;Total male and female;Total;Sudanese;2024;1703.0
2057;Total male and female;Total;Surinamese;2014;5898.0
2058;Total male and female;Total;Surinamese;2015;5440.0
2059;Total male and female;Total;Surinamese;2016;5290.0
2060;Total male and female;Total;Surinamese;2017;5178.0
2061;Total male and female;Total;Surinamese;2018;5341.0
2062;Total male and female;Total;Surinamese;2019;5846.0
2063;Total male and female;Total;Surinamese;2020;6478.0
2064;Total male and female;Total;Surinamese;2021;6584.0
2065;Total male and female;Total;Surinamese;2022;6888.0
2066;Total male and female;Total;Surinamese;2023;7592.0
2067;Total male and female;Total;Surinamese;2024;8639.0
2068;Total male and female;Total;Swazi;2014;10.0
2069;Total male and female;Total;Swazi;2015;10.0
2070;Total male and female;Total;Swazi;2016;11.0
2071;Total male and female;Total;Swazi;2017;14.0
2072;Total male and female;Total;Swazi;2018;14.0
2073;Total male and female;Total;Swazi;2019;
2074;Total male and female;Total;Swazi;2020;
2075;Total male and female;Total;Swazi;2021;
2076;Total male and female;Total;Swazi;2022;
2077;Total male and female;Total;Swazi;2023;
2078;Total male and female;Total;Swazi;2024;
2079;Total male and female;Total;Swedish;2014;3822.0
2080;Total male and female;Total;Swedish;2015;3958.0
2081;Total male and female;Total;Swedish;2016;4206.0
2082;Total male and female;Total;Swedish;2017;4406.0
2083;Total male and female;Total;Swedish;2018;4619.0
2084;Total male and female;Total;Swedish;2019;4849.0
2085;Total male and female;Total;Swedish;2020;5195.0
2086;Total male and female;Total;Swedish;2021;5162.0
2087;Total male and female;Total;Swedish;2022;5588.0
2088;Total male and female;Total;Swedish;2023;6019.0
2089;Total male and female;Total;Swedish;2024;6473.0
2090;Total male and female;Total;Swiss;2014;2218.0
2091;Total male and female;Total;Swiss;2015;2269.0
2092;Total male and female;Total;Swiss;2016;2361.0
2093;Total male and female;Total;Swiss;2017;2492.0
2094;Total male and female;Total;Swiss;2018;2649.0
2095;Total male and female;Total;Swiss;2019;2810.0
2096;Total male and female;Total;Swiss;2020;2956.0
2097;Total male and female;Total;Swiss;2021;3033.0
2098;Total male and female;Total;Swiss;2022;3349.0
2099;Total male and female;Total;Swiss;2023;3531.0
2100;Total male and female;Total;Swiss;2024;3595.0
2101;Total male and female;Total;Syrian;2014;1367.0
2102;Total male and female;Total;Syrian;2015;8173.0
2103;Total male and female;Total;Syrian;2016;25443.0
2104;Total male and female;Total;Syrian;2017;51424.0
2105;Total male and female;Total;Syrian;2018;67525.0
2106;Total male and female;Total;Syrian;2019;74084.0
2107;Total male and female;Total;Syrian;2020;79451.0
2108;Total male and female;Total;Syrian;2021;71201.0
2109;Total male and female;Total;Syrian;2022;57043.0
2110;Total male and female;Total;Syrian;2023;60112.0
2111;Total male and female;Total;Syrian;2024;69179.0
2112;Total male and female;Total;Taiwanese;2014;1418.0
2113;Total male and female;Total;Taiwanese;2015;1532.0
2114;Total male and female;Total;Taiwanese;2016;1648.0
2115;Total male and female;Total;Taiwanese;2017;1880.0
2116;Total male and female;Total;Taiwanese;2018;2029.0
2117;Total male and female;Total;Taiwanese;2019;2298.0
2118;Total male and female;Total;Taiwanese;2020;2668.0
2119;Total male and female;Total;Taiwanese;2021;2435.0
2120;Total male and female;Total;Taiwanese;2022;2588.0
2121;Total male and female;Total;Taiwanese;2023;2990.0
2122;Total male and female;Total;Taiwanese;2024;3205.0
2123;Total male and female;Total;Tajik;2014;34.0
2124;Total male and female;Total;Tajik;2015;36.0
2125;Total male and female;Total;Tajik;2016;40.0
2126;Total male and female;Total;Tajik;2017;51.0
2127;Total male and female;Total;Tajik;2018;48.0
2128;Total male and female;Total;Tajik;2019;51.0
2129;Total male and female;Total;Tajik;2020;54.0
2130;Total male and female;Total;Tajik;2021;60.0
2131;Total male and female;Total;Tajik;2022;63.0
2132;Total male and female;Total;Tajik;2023;123.0
2133;Total male and female;Total;Tajik;2024;134.0
2134;Total male and female;Total;Tanzanian;2014;310.0
2135;Total male and female;Total;Tanzanian;2015;300.0
2136;Total male and female;Total;Tanzanian;2016;308.0
2137;Total male and female;Total;Tanzanian;2017;276.0
2138;Total male and female;Total;Tanzanian;2018;290.0
2139;Total male and female;Total;Tanzanian;2019;303.0
2140;Total male and female;Total;Tanzanian;2020;327.0
2141;Total male and female;Total;Tanzanian;2021;325.0
2142;Total male and female;Total;Tanzanian;2022;361.0
2143;Total male and female;Total;Tanzanian;2023;430.0
2144;Total male and female;Total;Tanzanian;2024;467.0
2145;Total male and female;Total;Thai;2014;5512.0
2146;Total male and female;Total;Thai;2015;5223.0
2147;Total male and female;Total;Thai;2016;5026.0
2148;Total male and female;Total;Thai;2017;4947.0
2149;Total male and female;Total;Thai;2018;4971.0
2150;Total male and female;Total;Thai;2019;4999.0
2151;Total male and female;Total;Thai;2020;5163.0
2152;Total male and female;Total;Thai;2021;4805.0
2153;Total male and female;Total;Thai;2022;4868.0
2154;Total male and female;Total;Thai;2023;4921.0
2155;Total male and female;Total;Thai;2024;4804.0
2156;Total male and female;Total;Citizen of Timor Leste;2014;1.0
2157;Total male and female;Total;Citizen of Timor Leste;2015;2.0
2158;Total male and female;Total;Citizen of Timor Leste;2016;2.0
2159;Total male and female;Total;Citizen of Timor Leste;2017;1.0
2160;Total male and female;Total;Citizen of Timor Leste;2018;0.0
2161;Total male and female;Total;Citizen of Timor Leste;2019;0.0
2162;Total male and female;Total;Citizen of Timor Leste;2020;0.0
2163;Total male and female;Total;Citizen of Timor Leste;2021;5.0
2164;Total male and female;Total;Citizen of Timor Leste;2022;7.0
2165;Total male and female;Total;Citizen of Timor Leste;2023;10.0
2166;Total male and female;Total;Citizen of Timor Leste;2024;11.0
2167;Total male and female;Total;Togolese;2014;265.0
2168;Total male and female;Total;Togolese;2015;250.0
2169;Total male and female;Total;Togolese;2016;219.0
2170;Total male and female;Total;Togolese;2017;221.0
2171;Total male and female;Total;Togolese;2018;214.0
2172;Total male and female;Total;Togolese;2019;220.0
2173;Total male and female;Total;Togolese;2020;194.0
2174;Total male and female;Total;Togolese;2021;175.0
2175;Total male and female;Total;Togolese;2022;183.0
2176;Total male and female;Total;Togolese;2023;174.0
2177;Total male and female;Total;Togolese;2024;170.0
2178;Total male and female;Total;Tongan;2014;0.0
2179;Total male and female;Total;Tongan;2015;0.0
2180;Total male and female;Total;Tongan;2016;0.0
2181;Total male and female;Total;Tongan;2017;0.0
2182;Total male and female;Total;Tongan;2018;0.0
2183;Total male and female;Total;Tongan;2019;0.0
2184;Total male and female;Total;Tongan;2020;0.0
2185;Total male and female;Total;Tongan;2021;0.0
2186;Total male and female;Total;Tongan;2022;0.0
2187;Total male and female;Total;Tongan;2023;0.0
2188;Total male and female;Total;Tongan;2024;0.0
2189;Total male and female;Total;Trinidad and Tobagonian;2014;76.0
2190;Total male and female;Total;Trinidad and Tobagonian;2015;93.0
2191;Total male and female;Total;Trinidad and Tobagonian;2016;97.0
2192;Total male and female;Total;Trinidad and Tobagonian;2017;112.0
2193;Total male and female;Total;Trinidad and Tobagonian;2018;146.0
2194;Total male and female;Total;Trinidad and Tobagonian;2019;179.0
2195;Total male and female;Total;Trinidad and Tobagonian;2020;212.0
2196;Total male and female;Total;Trinidad and Tobagonian;2021;209.0
2197;Total male and female;Total;Trinidad and Tobagonian;2022;214.0
2198;Total male and female;Total;Trinidad and Tobagonian;2023;225.0
2199;Total male and female;Total;Trinidad and Tobagonian;2024;247.0
2200;Total male and female;Total;Tunisian;2014;1102.0
2201;Total male and female;Total;Tunisian;2015;1053.0
2202;Total male and female;Total;Tunisian;2016;1038.0
2203;Total male and female;Total;Tunisian;2017;1056.0
2204;Total male and female;Total;Tunisian;2018;1135.0
2205;Total male and female;Total;Tunisian;2019;1238.0
2206;Total male and female;Total;Tunisian;2020;1394.0
2207;Total male and female;Total;Tunisian;2021;1387.0
2208;Total male and female;Total;Tunisian;2022;1468.0
2209;Total male and female;Total;Tunisian;2023;1690.0
2210;Total male and female;Total;Tunisian;2024;1789.0
2211;Total male and female;Total;Turkish;2014;80054.0
2212;Total male and female;Total;Turkish;2015;77540.0
2213;Total male and female;Total;Turkish;2016;75423.0
2214;Total male and female;Total;Turkish;2017;74138.0
2215;Total male and female;Total;Turkish;2018;73837.0
2216;Total male and female;Total;Turkish;2019;74834.0
2217;Total male and female;Total;Turkish;2020;76963.0
2218;Total male and female;Total;Turkish;2021;77264.0
2219;Total male and female;Total;Turkish;2022;80216.0
2220;Total male and female;Total;Turkish;2023;87558.0
2221;Total male and female;Total;Turkish;2024;92331.0
2222;Total male and female;Total;Turkmenian;2014;29.0
2223;Total male and female;Total;Turkmenian;2015;32.0
2224;Total male and female;Total;Turkmenian;2016;30.0
2225;Total male and female;Total;Turkmenian;2017;33.0
2226;Total male and female;Total;Turkmenian;2018;34.0
2227;Total male and female;Total;Turkmenian;2019;36.0
2228;Total male and female;Total;Turkmenian;2020;47.0
2229;Total male and female;Total;Turkmenian;2021;54.0
2230;Total male and female;Total;Turkmenian;2022;71.0
2231;Total male and female;Total;Turkmenian;2023;458.0
2232;Total male and female;Total;Turkmenian;2024;364.0
2233;Total male and female;Total;Citizen of Tuvalu;2014;1.0
2234;Total male and female;Total;Citizen of Tuvalu;2015;0.0
2235;Total male and female;Total;Citizen of Tuvalu;2016;0.0
2236;Total male and female;Total;Citizen of Tuvalu;2017;0.0
2237;Total male and female;Total;Citizen of Tuvalu;2018;0.0
2238;Total male and female;Total;Citizen of Tuvalu;2019;0.0
2239;Total male and female;Total;Citizen of Tuvalu;2020;0.0
2240;Total male and female;Total;Citizen of Tuvalu;2021;0.0
2241;Total male and female;Total;Citizen of Tuvalu;2022;0.0
2242;Total male and female;Total;Citizen of Tuvalu;2023;0.0
2243;Total male and female;Total;Citizen of Tuvalu;2024;0.0
2244;Total male and female;Total;Ugandan;2014;463.0
2245;Total male and female;Total;Ugandan;2015;572.0
2246;Total male and female;Total;Ugandan;2016;685.0
2247;Total male and female;Total;Ugandan;2017;778.0
2248;Total male and female;Total;Ugandan;2018;878.0
2249;Total male and female;Total;Ugandan;2019;1016.0
2250;Total male and female;Total;Ugandan;2020;1266.0
2251;Total male and female;Total;Ugandan;2021;1289.0
2252;Total male and female;Total;Ugandan;2022;1288.0
2253;Total male and female;Total;Ugandan;2023;1308.0
2254;Total male and female;Total;Ugandan;2024;1440.0
2255;Total male and female;Total;Ukrainian;2014;3402.0
2256;Total male and female;Total;Ukrainian;2015;3783.0
2257;Total male and female;Total;Ukrainian;2016;4437.0
2258;Total male and female;Total;Ukrainian;2017;5071.0
2259;Total male and female;Total;Ukrainian;2018;5583.0
2260;Total male and female;Total;Ukrainian;2019;6268.0
2261;Total male and female;Total;Ukrainian;2020;7042.0
2262;Total male and female;Total;Ukrainian;2021;7082.0
2263;Total male and female;Total;Ukrainian;2022;7540.0
2264;Total male and female;Total;Ukrainian;2023;94364.0
2265;Total male and female;Total;Ukrainian;2024;111689.0
2266;Total male and female;Total;Citizen of the United Arab Emirates;2014;12.0
2267;Total male and female;Total;Citizen of the United Arab Emirates;2015;16.0
2268;Total male and female;Total;Citizen of the United Arab Emirates;2016;7.0
2269;Total male and female;Total;Citizen of the United Arab Emirates;2017;6.0
2270;Total male and female;Total;Citizen of the United Arab Emirates;2018;9.0
2271;Total male and female;Total;Citizen of the United Arab Emirates;2019;15.0
2272;Total male and female;Total;Citizen of the United Arab Emirates;2020;17.0
2273;Total male and female;Total;Citizen of the United Arab Emirates;2021;18.0
2274;Total male and female;Total;Citizen of the United Arab Emirates;2022;27.0
2275;Total male and female;Total;Citizen of the United Arab Emirates;2023;24.0
2276;Total male and female;Total;Citizen of the United Arab Emirates;2024;26.0
2277;Total male and female;Total;Uruguayan;2014;81.0
2278;Total male and female;Total;Uruguayan;2015;78.0
2279;Total male and female;Total;Uruguayan;2016;73.0
2280;Total male and female;Total;Uruguayan;2017;91.0
2281;Total male and female;Total;Uruguayan;2018;98.0
2282;Total male and female;Total;Uruguayan;2019;112.0
2283;Total male and female;Total;Uruguayan;2020;151.0
2284;Total male and female;Total;Uruguayan;2021;164.0
2285;Total male and female;Total;Uruguayan;2022;172.0
2286;Total male and female;Total;Uruguayan;2023;210.0
2287;Total male and female;Total;Uruguayan;2024;214.0
2288;Total male and female;Total;Uzbek;2014;191.0
2289;Total male and female;Total;Uzbek;2015;209.0
2290;Total male and female;Total;Uzbek;2016;226.0
2291;Total male and female;Total;Uzbek;2017;231.0
2292;Total male and female;Total;Uzbek;2018;237.0
2293;Total male and female;Total;Uzbek;2019;266.0
2294;Total male and female;Total;Uzbek;2020;305.0
2295;Total male and female;Total;Uzbek;2021;306.0
2296;Total male and female;Total;Uzbek;2022;338.0
2297;Total male and female;Total;Uzbek;2023;494.0
2298;Total male and female;Total;Uzbek;2024;516.0
2299;Total male and female;Total;Vanuatuan;2014;1.0
2300;Total male and female;Total;Vanuatuan;2015;1.0
2301;Total male and female;Total;Vanuatuan;2016;1.0
2302;Total male and female;Total;Vanuatuan;2017;1.0
2303;Total male and female;Total;Vanuatuan;2018;1.0
2304;Total male and female;Total;Vanuatuan;2019;1.0
2305;Total male and female;Total;Vanuatuan;2020;1.0
2306;Total male and female;Total;Vanuatuan;2021;1.0
2307;Total male and female;Total;Vanuatuan;2022;1.0
2308;Total male and female;Total;Vanuatuan;2023;1.0
2309;Total male and female;Total;Vanuatuan;2024;1.0
2310;Total male and female;Total;Vatican;2014;0.0
2311;Total male and female;Total;Vatican;2015;0.0
2312;Total male and female;Total;Vatican;2016;0.0
2313;Total male and female;Total;Vatican;2017;0.0
2314;Total male and female;Total;Vatican;2018;0.0
2315;Total male and female;Total;Vatican;2019;0.0
2316;Total male and female;Total;Vatican;2020;0.0
2317;Total male and female;Total;Vatican;2021;0.0
2318;Total male and female;Total;Vatican;2022;0.0
2319;Total male and female;Total;Vatican;2023;0.0
2320;Total male and female;Total;Vatican;2024;0.0
2321;Total male and female;Total;Venezuelan;2014;747.0
2322;Total male and female;Total;Venezuelan;2015;768.0
2323;Total male and female;Total;Venezuelan;2016;793.0
2324;Total male and female;Total;Venezuelan;2017;790.0
2325;Total male and female;Total;Venezuelan;2018;889.0
2326;Total male and female;Total;Venezuelan;2019;1066.0
2327;Total male and female;Total;Venezuelan;2020;1322.0
2328;Total male and female;Total;Venezuelan;2021;1394.0
2329;Total male and female;Total;Venezuelan;2022;1517.0
2330;Total male and female;Total;Venezuelan;2023;1629.0
2331;Total male and female;Total;Venezuelan;2024;1771.0
2332;Total male and female;Total;Vietnamese;2014;2355.0
2333;Total male and female;Total;Vietnamese;2015;2301.0
2334;Total male and female;Total;Vietnamese;2016;2398.0
2335;Total male and female;Total;Vietnamese;2017;2652.0
2336;Total male and female;Total;Vietnamese;2018;3033.0
2337;Total male and female;Total;Vietnamese;2019;3460.0
2338;Total male and female;Total;Vietnamese;2020;3944.0
2339;Total male and female;Total;Vietnamese;2021;3734.0
2340;Total male and female;Total;Vietnamese;2022;3901.0
2341;Total male and female;Total;Vietnamese;2023;4148.0
2342;Total male and female;Total;Vietnamese;2024;4336.0
2343;Total male and female;Total;Vincent and Grenadian;2014;6.0
2344;Total male and female;Total;Vincent and Grenadian;2015;6.0
2345;Total male and female;Total;Vincent and Grenadian;2016;5.0
2346;Total male and female;Total;Vincent and Grenadian;2017;5.0
2347;Total male and female;Total;Vincent and Grenadian;2018;6.0
2348;Total male and female;Total;Vincent and Grenadian;2019;7.0
2349;Total male and female;Total;Vincent and Grenadian;2020;13.0
2350;Total male and female;Total;Vincent and Grenadian;2021;11.0
2351;Total male and female;Total;Vincent and Grenadian;2022;11.0
2352;Total male and female;Total;Vincent and Grenadian;2023;15.0
2353;Total male and female;Total;Vincent and Grenadian;2024;14.0
2354;Total male and female;Total;Yemeni;2014;125.0
2355;Total male and female;Total;Yemeni;2015;151.0
2356;Total male and female;Total;Yemeni;2016;192.0
2357;Total male and female;Total;Yemeni;2017;244.0
2358;Total male and female;Total;Yemeni;2018;430.0
2359;Total male and female;Total;Yemeni;2019;741.0
2360;Total male and female;Total;Yemeni;2020;1597.0
2361;Total male and female;Total;Yemeni;2021;2509.0
2362;Total male and female;Total;Yemeni;2022;3696.0
2363;Total male and female;Total;Yemeni;2023;5451.0
2364;Total male and female;Total;Yemeni;2024;8253.0
2365;Total male and female;Total;Yugoslav;2014;249.0
2366;Total male and female;Total;Yugoslav;2015;148.0
2367;Total male and female;Total;Yugoslav;2016;121.0
2368;Total male and female;Total;Yugoslav;2017;96.0
2369;Total male and female;Total;Yugoslav;2018;83.0
2370;Total male and female;Total;Yugoslav;2019;52.0
2371;Total male and female;Total;Yugoslav;2020;42.0
2372;Total male and female;Total;Yugoslav;2021;37.0
2373;Total male and female;Total;Yugoslav;2022;34.0
2374;Total male and female;Total;Yugoslav;2023;36.0
2375;Total male and female;Total;Yugoslav;2024;36.0
2376;Total male and female;Total;(former) Yugoslavia;2014;9206.0
2377;Total male and female;Total;(former) Yugoslavia;2015;9425.0
2378;Total male and female;Total;(former) Yugoslavia;2016;9753.0
2379;Total male and female;Total;(former) Yugoslavia;2017;10331.0
2380;Total male and female;Total;(former) Yugoslavia;2018;10799.0
2381;Total male and female;Total;(former) Yugoslavia;2019;11649.0
2382;Total male and female;Total;(former) Yugoslavia;2020;12810.0
2383;Total male and female;Total;(former) Yugoslavia;2021;13540.0
2384;Total male and female;Total;(former) Yugoslavia;2022;14756.0
2385;Total male and female;Total;(former) Yugoslavia;2023;15894.0
2386;Total male and female;Total;(former) Yugoslavia;2024;16612.0
2387;Total male and female;Total;Zambian;2014;170.0
2388;Total male and female;Total;Zambian;2015;167.0
2389;Total male and female;Total;Zambian;2016;160.0
2390;Total male and female;Total;Zambian;2017;152.0
2391;Total male and female;Total;Zambian;2018;141.0
2392;Total male and female;Total;Zambian;2019;159.0
2393;Total male and female;Total;Zambian;2020;193.0
2394;Total male and female;Total;Zambian;2021;196.0
2395;Total male and female;Total;Zambian;2022;215.0
2396;Total male and female;Total;Zambian;2023;245.0
2397;Total male and female;Total;Zambian;2024;236.0
2398;Total male and female;Total;Zimbabwean;2014;311.0
2399;Total male and female;Total;Zimbabwean;2015;265.0
2400;Total male and female;Total;Zimbabwean;2016;257.0
2401;Total male and female;Total;Zimbabwean;2017;257.0
2402;Total male and female;Total;Zimbabwean;2018;304.0
2403;Total male and female;Total;Zimbabwean;2019;366.0
2404;Total male and female;Total;Zimbabwean;2020;445.0
2405;Total male and female;Total;Zimbabwean;2021;506.0
2406;Total male and female;Total;Zimbabwean;2022;560.0
2407;Total male and female;Total;Zimbabwean;2023;770.0
2408;Total male and female;Total;Zimbabwean;2024;856.0
2409;Total male and female;Total;Stateless / unknown;2014;82652.0
2410;Total male and female;Total;Stateless / unknown;2015;77562.0
2411;Total male and female;Total;Stateless / unknown;2016;74052.0
2412;Total male and female;Total;Stateless / unknown;2017;69778.0
2413;Total male and female;Total;Stateless / unknown;2018;63982.0
2414;Total male and female;Total;Stateless / unknown;2019;55621.0
2415;Total male and female;Total;Stateless / unknown;2020;44943.0
2416;Total male and female;Total;Stateless / unknown;2021;36267.0
2417;Total male and female;Total;Stateless / unknown;2022;31517.0
2418;Total male and female;Total;Stateless / unknown;2023;27637.0
2419;Total male and female;Total;Stateless / unknown;2024;24971.0
2420;Total male and female;0 year;Total;2014;170953.0
2421;Total male and female;0 year;Total;2015;174681.0
2422;Total male and female;0 year;Total;2016;170341.0
2423;Total male and female;0 year;Total;2017;172288.0
2424;Total male and female;0 year;Total;2018;169566.0
2425;Total male and female;0 year;Total;2019;168443.0
2426;Total male and female;0 year;Total;2020;169497.0
2427;Total male and female;0 year;Total;2021;168270.0
2428;Total male and female;0 year;Total;2022;179133.0
2429;Total male and female;0 year;Total;2023;167629.0
2430;Total male and female;0 year;Total;2024;164473.0
2431;Total male and female;0 year;Dutch;2014;162200.0
2432;Total male and female;0 year;Dutch;2015;165192.0
2433;Total male and female;0 year;Dutch;2016;160287.0
2434;Total male and female;0 year;Dutch;2017;160653.0
2435;Total male and female;0 year;Dutch;2018;157051.0
2436;Total male and female;0 year;Dutch;2019;154899.0
2437;Total male and female;0 year;Dutch;2020;155407.0
2438;Total male and female;0 year;Dutch;2021;155107.0
2439;Total male and female;0 year;Dutch;2022;166315.0
2440;Total male and female;0 year;Dutch;2023;154634.0
2441;Total male and female;0 year;Dutch;2024;150890.0
2442;Total male and female;0 year;Total non-Dutch nationality;2014;8753.0
2443;Total male and female;0 year;Total non-Dutch nationality;2015;9489.0
2444;Total male and female;0 year;Total non-Dutch nationality;2016;10054.0
2445;Total male and female;0 year;Total non-Dutch nationality;2017;11635.0
2446;Total male and female;0 year;Total non-Dutch nationality;2018;12515.0
2447;Total male and female;0 year;Total non-Dutch nationality;2019;13544.0
2448;Total male and female;0 year;Total non-Dutch nationality;2020;14090.0
2449;Total male and female;0 year;Total non-Dutch nationality;2021;13163.0
2450;Total male and female;0 year;Total non-Dutch nationality;2022;12818.0
2451;Total male and female;0 year;Total non-Dutch nationality;2023;12995.0
2452;Total male and female;0 year;Total non-Dutch nationality;2024;13583.0
2453;Total male and female;0 year;Europe (excluding Dutch nationals);2014;4296.0
2454;Total male and female;0 year;Europe (excluding Dutch nationals);2015;4947.0
2455;Total male and female;0 year;Europe (excluding Dutch nationals);2016;5335.0
2456;Total male and female;0 year;Europe (excluding Dutch nationals);2017;5727.0
2457;Total male and female;0 year;Europe (excluding Dutch nationals);2018;6260.0
2458;Total male and female;0 year;Europe (excluding Dutch nationals);2019;6474.0
2459;Total male and female;0 year;Europe (excluding Dutch nationals);2020;6877.0
2460;Total male and female;0 year;Europe (excluding Dutch nationals);2021;6776.0
2461;Total male and female;0 year;Europe (excluding Dutch nationals);2022;7263.0
2462;Total male and female;0 year;Europe (excluding Dutch nationals);2023;7354.0
2463;Total male and female;0 year;Europe (excluding Dutch nationals);2024;7659.0
2464;Total male and female;0 year;Outside Europe;2014;2468.0
2465;Total male and female;0 year;Outside Europe;2015;2704.0
2466;Total male and female;0 year;Outside Europe;2016;3172.0
2467;Total male and female;0 year;Outside Europe;2017;4431.0
2468;Total male and female;0 year;Outside Europe;2018;4977.0
2469;Total male and female;0 year;Outside Europe;2019;5923.0
2470;Total male and female;0 year;Outside Europe;2020;6202.0
2471;Total male and female;0 year;Outside Europe;2021;5526.0
2472;Total male and female;0 year;Outside Europe;2022;4869.0
2473;Total male and female;0 year;Outside Europe;2023;4999.0
2474;Total male and female;0 year;Outside Europe;2024;5254.0
2475;Total male and female;0 year;Africa (excluding Moroccan);2014;360.0
2476;Total male and female;0 year;Africa (excluding Moroccan);2015;452.0
2477;Total male and female;0 year;Africa (excluding Moroccan);2016;596.0
2478;Total male and female;0 year;Africa (excluding Moroccan);2017;941.0
2479;Total male and female;0 year;Africa (excluding Moroccan);2018;1154.0
2480;Total male and female;0 year;Africa (excluding Moroccan);2019;1682.0
2481;Total male and female;0 year;Africa (excluding Moroccan);2020;1865.0
2482;Total male and female;0 year;Africa (excluding Moroccan);2021;1620.0
2483;Total male and female;0 year;Africa (excluding Moroccan);2022;1320.0
2484;Total male and female;0 year;Africa (excluding Moroccan);2023;1108.0
2485;Total male and female;0 year;Africa (excluding Moroccan);2024;1095.0
2486;Total male and female;0 year;America en Oceania (ex Surina...;2014;177.0
2487;Total male and female;0 year;America en Oceania (ex Surina...;2015;178.0
2488;Total male and female;0 year;America en Oceania (ex Surina...;2016;213.0
2489;Total male and female;0 year;America en Oceania (ex Surina...;2017;205.0
2490;Total male and female;0 year;America en Oceania (ex Surina...;2018;232.0
2491;Total male and female;0 year;America en Oceania (ex Surina...;2019;238.0
2492;Total male and female;0 year;America en Oceania (ex Surina...;2020;267.0
2493;Total male and female;0 year;America en Oceania (ex Surina...;2021;246.0
2494;Total male and female;0 year;America en Oceania (ex Surina...;2022;303.0
2495;Total male and female;0 year;America en Oceania (ex Surina...;2023;331.0
2496;Total male and female;0 year;America en Oceania (ex Surina...;2024;328.0
2497;Total male and female;0 year;Asia (excluding Indonesian and Turkish);2014;1101.0
2498;Total male and female;0 year;Asia (excluding Indonesian and Turkish);2015;1274.0
2499;Total male and female;0 year;Asia (excluding Indonesian and Turkish);2016;1642.0
2500;Total male and female;0 year;Asia (excluding Indonesian and Turkish);2017;2616.0
2501;Total male and female;0 year;Asia (excluding Indonesian and Turkish);2018;2915.0
2502;Total male and female;0 year;Asia (excluding Indonesian and Turkish);2019;3336.0
2503;Total male and female;0 year;Asia (excluding Indonesian and Turkish);2020;3328.0
