ID;Sex;Age;Nationality;Periods;PopulationOn1January_1
48;Total male and female;Total;Outside Europe;2018;420955.0
49;Total male and female;Total;Outside Europe;2019;454341.0
50;Total male and female;Total;Outside Europe;2020;494311.0
51;Total male and female;Total;Outside Europe;2021;481123.0
52;Total male and female;Total;Outside Europe;2022;487073.0
53;Total male and female;Total;Outside Europe;2023;534973.0
54;Total male and female;Total;Outside Europe;2024;575093.0
55;Total male and female;Total;Africa (excluding Moroccan);2014;29459.0
56;Total male and female;Total;Africa (excluding Moroccan);2015;32637.0
57;Total male and female;Total;Africa (excluding Moroccan);2016;39251.0
58;Total male and female;Total;Africa (excluding Moroccan);2017;46658.0
59;Total male and female;Total;Africa (excluding Moroccan);2018;53206.0
60;Total male and female;Total;Africa (excluding Moroccan);2019;61509.0
61;Total male and female;Total;Africa (excluding Moroccan);2020;70572.0
62;Total male and female;Total;Africa (excluding Moroccan);2021;70751.0
63;Total male and female;Total;Africa (excluding Moroccan);2022;69837.0
64;Total male and female;Total;Africa (excluding Moroccan);2023;74715.0
65;Total male and female;Total;Africa (excluding Moroccan);2024;77852.0
66;Total male and female;Total;America en Oceania (ex Surina...;2014;40427.0
67;Total male and female;Total;America en Oceania (ex Surina...;2015;41455.0
68;Total male and female;Total;America en Oceania (ex Surina...;2016;43915.0
69;Total male and female;Total;America en Oceania (ex Surina...;2017;45411.0
70;Total male and female;Total;America en Oceania (ex Surina...;2018;49061.0
71;Total male and female;Total;America en Oceania (ex Surina...;2019;53957.0
72;Total male and female;Total;America en Oceania (ex Surina...;2020;59243.0
73;Total male and female;Total;America en Oceania (ex Surina...;2021;58092.0
74;Total male and female;Total;America en Oceania (ex Surina...;2022;61732.0
75;Total male and female;Total;America en Oceania (ex Surina...;2023;67971.0
76;Total male and female;Total;America en Oceania (ex Surina...;2024;72671.0
77;Total male and female;Total;Asia (excluding Indonesian and Turkish);2014;91615.0
78;Total male and female;Total;Asia (excluding Indonesian and Turkish);2015;100784.0
