ID;VormenVanJeugdzorg;Regio;Perioden;BegroteKosten_1;GerealiseerdeKosten_2;BegroteKostenPer1000Inwoners_3;GerealiseerdeKostenPer1000Inwoners_4
33;JZ Totaal jeugdzorg;Aalburg;2023;;;;
34;JZ Totaal jeugdzorg;Aalsmeer;1e halfjaar 2015;;;;
35;JZ Totaal jeugdzorg;Aalsmeer;2e halfjaar 2015;;;;
36;JZ Totaal jeugdzorg;Aalsmeer;2015;;;;
37;JZ Totaal jeugdzorg;Aalsmeer;1e halfjaar 2016;;;;
38;JZ Totaal jeugdzorg;Aalsmeer;2e halfjaar 2016;;;;
39;JZ Totaal jeugdzorg;Aalsmeer;2016;;;;
40;JZ Totaal jeugdzorg;Aalsmeer;1e halfjaar 2017;;;;
41;JZ Totaal jeugdzorg;Aalsmeer;2e halfjaar 2017;;;;
42;JZ Totaal jeugdzorg;Aalsmeer;2017;4151.0;4663.0;133.0;150.0
43;JZ Totaal jeugdzorg;Aalsmeer;1e halfjaar 2018;;;;
44;JZ Totaal jeugdzorg;Aalsmeer;2e halfjaar 2018;;;;
45;JZ Totaal jeugdzorg;Aalsmeer;2018;5051.0;6195.0;160.0;196.0
46;JZ Totaal jeugdzorg;Aalsmeer;2019;5972.0;6482.0;188.0;204.0
47;JZ Totaal jeugdzorg;Aalsmeer;2020;6937.0;6532.0;217.0;205.0
48;JZ Totaal jeugdzorg;Aalsmeer;2021;7461.0;8139.0;233.0;254.0
49;JZ Totaal jeugdzorg;Aalsmeer;2022;8108.0;6595.0;249.0;203.0
50;JZ Totaal jeugdzorg;Aalsmeer;2023;7361.0;8654.0;222.0;261.0
51;JZ Totaal jeugdzorg;Aalten;1e halfjaar 2015;;;;
52;JZ Totaal jeugdzorg;Aalten;2e halfjaar 2015;;;;
53;JZ Totaal jeugdzorg;Aalten;2015;;;;
54;JZ Totaal jeugdzorg;Aalten;1e halfjaar 2016;;;;
55;JZ Totaal jeugdzorg;Aalten;2e halfjaar 2016;;;;
56;JZ Totaal jeugdzorg;Aalten;2016;;;;
57;JZ Totaal jeugdzorg;Aalten;1e halfjaar 2017;;;;
58;JZ Totaal jeugdzorg;Aalten;2e halfjaar 2017;;;;
59;JZ Totaal jeugdzorg;Aalten;2017;4139.0;5090.0;153.0;188.0
60;JZ Totaal jeugdzorg;Aalten;1e halfjaar 2018;;;;
61;JZ Totaal jeugdzorg;Aalten;2e halfjaar 2018;;;;
62;JZ Totaal jeugdzorg;Aalten;2018;4624.0;5482.0;171.0;203.0
63;JZ Totaal jeugdzorg;Aalten;2019;6041.0;6514.0;223.0;241.0
64;JZ Totaal jeugdzorg;Aalten;2020;6641.0;6944.0;244.0;256.0
65;JZ Totaal jeugdzorg;Aalten;2021;6507.0;7066.0;239.0;260.0
66;JZ Totaal jeugdzorg;Aalten;2022;7833.0;7921.0;289.0;292.0
67;JZ Totaal jeugdzorg;Aalten;2023;8182.0;8566.0;300.0;314.0
68;JZ Totaal jeugdzorg;Achtkarspelen;1e halfjaar 2015;;;;
69;JZ Totaal jeugdzorg;Achtkarspelen;2e halfjaar 2015;;;;
70;JZ Totaal jeugdzorg;Achtkarspelen;2015;;;;
71;JZ Totaal jeugdzorg;Achtkarspelen;1e halfjaar 2016;;;;
72;JZ Totaal jeugdzorg;Achtkarspelen;2e halfjaar 2016;;;;
73;JZ Totaal jeugdzorg;Achtkarspelen;2016;;;;
74;JZ Totaal jeugdzorg;Achtkarspelen;1e halfjaar 2017;;;;
75;JZ Totaal jeugdzorg;Achtkarspelen;2e halfjaar 2017;;;;
76;JZ Totaal jeugdzorg;Achtkarspelen;2017;5300.0;6907.0;196.0;255.0
77;JZ Totaal jeugdzorg;Achtkarspelen;1e halfjaar 2018;;;;
78;JZ Totaal jeugdzorg;Achtkarspelen;2e halfjaar 2018;;;;
79;JZ Totaal jeugdzorg;Achtkarspelen;2018;5903.0;8845.0;211.0;316.0
80;JZ Totaal jeugdzorg;Achtkarspelen;2019;7918.0;8707.0;284.0;312.0
81;JZ Totaal jeugdzorg;Achtkarspelen;2020;8767.0;9767.0;314.0;350.0
82;JZ Totaal jeugdzorg;Achtkarspelen;2021;9937.0;10766.0;356.0;385.0
83;JZ Totaal jeugdzorg;Achtkarspelen;2022;8972.0;9017.0;320.0;322.0
84;JZ Totaal jeugdzorg;Achtkarspelen;2023;9313.0;9959.0;330.0;353.0
85;JZ Totaal jeugdzorg;Alblasserdam;1e halfjaar 2015;;954.0;;48.0
86;JZ Totaal jeugdzorg;Alblasserdam;2e halfjaar 2015;;1228.0;;62.0
87;JZ Totaal jeugdzorg;Alblasserdam;2015;;2182.0;;110.0
88;JZ Totaal jeugdzorg;Alblasserdam;1e halfjaar 2016;;;;
89;JZ Totaal jeugdzorg;Alblasserdam;2e halfjaar 2016;;;;
90;JZ Totaal jeugdzorg;Alblasserdam;2016;;;;
91;JZ Totaal jeugdzorg;Alblasserdam;1e halfjaar 2017;1453.0;753.0;73.0;38.0
92;JZ Totaal jeugdzorg;Alblasserdam;2e halfjaar 2017;;;;
93;JZ Totaal jeugdzorg;Alblasserdam;2017;;;;
94;JZ Totaal jeugdzorg;Alblasserdam;1e halfjaar 2018;1676.0;382.0;84.0;19.0
95;JZ Totaal jeugdzorg;Alblasserdam;2e halfjaar 2018;2166.0;280.0;108.0;14.0
96;JZ Totaal jeugdzorg;Alblasserdam;2018;3843.0;661.0;192.0;33.0
97;JZ Totaal jeugdzorg;Alblasserdam;2019;;5574.0;;277.0
98;JZ Totaal jeugdzorg;Alblasserdam;2020;;6041.0;;299.0
99;JZ Totaal jeugdzorg;Alblasserdam;2021;6185.0;5949.0;307.0;295.0
100;JZ Totaal jeugdzorg;Alblasserdam;2022;5460.0;5814.0;271.0;289.0
101;JZ Totaal jeugdzorg;Alblasserdam;2023;7991.0;7050.0;392.0;346.0
102;JZ Totaal jeugdzorg;Albrandswaard;1e halfjaar 2015;;;;
103;JZ Totaal jeugdzorg;Albrandswaard;2e halfjaar 2015;;;;
104;JZ Totaal jeugdzorg;Albrandswaard;2015;;;;
105;JZ Totaal jeugdzorg;Albrandswaard;1e halfjaar 2016;;;;
106;JZ Totaal jeugdzorg;Albrandswaard;2e halfjaar 2016;;;;
107;JZ Totaal jeugdzorg;Albrandswaard;2016;;;;
108;JZ Totaal jeugdzorg;Albrandswaard;1e halfjaar 2017;;;;
109;JZ Totaal jeugdzorg;Albrandswaard;2e halfjaar 2017;;;;
110;JZ Totaal jeugdzorg;Albrandswaard;2017;;;;
111;JZ Totaal jeugdzorg;Albrandswaard;1e halfjaar 2018;;;;
112;JZ Totaal jeugdzorg;Albrandswaard;2e halfjaar 2018;;;;
113;JZ Totaal jeugdzorg;Albrandswaard;2018;;1242.0;;49.0
114;JZ Totaal jeugdzorg;Albrandswaard;2019;1223.0;1432.0;48.0;56.0
115;JZ Totaal jeugdzorg;Albrandswaard;2020;1420.0;1754.0;55.0;68.0
116;JZ Totaal jeugdzorg;Albrandswaard;2021;1776.0;1798.0;68.0;69.0
117;JZ Totaal jeugdzorg;Albrandswaard;2022;1840.0;1601.0;70.0;61.0
118;JZ Totaal jeugdzorg;Albrandswaard;2023;1928.0;1687.0;73.0;64.0
119;JZ Totaal jeugdzorg;Alkmaar;1e halfjaar 2015;;;;
120;JZ Totaal jeugdzorg;Alkmaar;2e halfjaar 2015;;;;
121;JZ Totaal jeugdzorg;Alkmaar;2015;;;;
122;JZ Totaal jeugdzorg;Alkmaar;1e halfjaar 2016;;;;
123;JZ Totaal jeugdzorg;Alkmaar;2e halfjaar 2016;;;;
124;JZ Totaal jeugdzorg;Alkmaar;2016;;;;
125;JZ Totaal jeugdzorg;Alkmaar;1e halfjaar 2017;;;;
126;JZ Totaal jeugdzorg;Alkmaar;2e halfjaar 2017;;;;
127;JZ Totaal jeugdzorg;Alkmaar;2017;21867.0;22957.0;202.0;212.0
128;JZ Totaal jeugdzorg;Alkmaar;1e halfjaar 2018;;;;
129;JZ Totaal jeugdzorg;Alkmaar;2e halfjaar 2018;;;;
130;JZ Totaal jeugdzorg;Alkmaar;2018;22216.0;25176.0;204.0;232.0
131;JZ Totaal jeugdzorg;Alkmaar;2019;;27165.0;;250.0
132;JZ Totaal jeugdzorg;Alkmaar;2020;;30016.0;;274.0
133;JZ Totaal jeugdzorg;Alkmaar;2021;33010.0;35314.0;300.0;321.0
134;JZ Totaal jeugdzorg;Alkmaar;2022;38089.0;39985.0;343.0;360.0
135;JZ Totaal jeugdzorg;Alkmaar;2023;43811.0;44856.0;391.0;401.0
136;JZ Totaal jeugdzorg;Almelo;1e halfjaar 2015;;;;
137;JZ Totaal jeugdzorg;Almelo;2e halfjaar 2015;;;;
138;JZ Totaal jeugdzorg;Almelo;2015;;;;
139;JZ Totaal jeugdzorg;Almelo;1e halfjaar 2016;;;;
140;JZ Totaal jeugdzorg;Almelo;2e halfjaar 2016;;;;
141;JZ Totaal jeugdzorg;Almelo;2016;;;;
142;JZ Totaal jeugdzorg;Almelo;1e halfjaar 2017;;;;
143;JZ Totaal jeugdzorg;Almelo;2e halfjaar 2017;;;;
144;JZ Totaal jeugdzorg;Almelo;2017;;;;
145;JZ Totaal jeugdzorg;Almelo;1e halfjaar 2018;;;;
146;JZ Totaal jeugdzorg;Almelo;2e halfjaar 2018;;;;
147;JZ Totaal jeugdzorg;Almelo;2018;21686.0;28177.0;298.0;387.0
148;JZ Totaal jeugdzorg;Almelo;2019;24791.0;31955.0;340.0;438.0
149;JZ Totaal jeugdzorg;Almelo;2020;33737.0;34238.0;461.0;468.0
150;JZ Totaal jeugdzorg;Almelo;2021;33212.0;35064.0;454.0;479.0
151;JZ Totaal jeugdzorg;Almelo;2022;39635.0;38987.0;541.0;532.0
152;JZ Totaal jeugdzorg;Almelo;2023;37651.0;39226.0;509.0;530.0
153;JZ Totaal jeugdzorg;Almere;1e halfjaar 2015;;29193.0;;148.0
154;JZ Totaal jeugdzorg;Almere;2e halfjaar 2015;;28334.0;;144.0
155;JZ Totaal jeugdzorg;Almere;2015;;57528.0;;292.0
156;JZ Totaal jeugdzorg;Almere;1e halfjaar 2016;;24208.0;;122.0
157;JZ Totaal jeugdzorg;Almere;2e halfjaar 2016;;;;
158;JZ Totaal jeugdzorg;Almere;2016;;;;
159;JZ Totaal jeugdzorg;Almere;1e halfjaar 2017;;;;
160;JZ Totaal jeugdzorg;Almere;2e halfjaar 2017;;;;
161;JZ Totaal jeugdzorg;Almere;2017;;;;
162;JZ Totaal jeugdzorg;Almere;1e halfjaar 2018;;;;
163;JZ Totaal jeugdzorg;Almere;2e halfjaar 2018;;;;
164;JZ Totaal jeugdzorg;Almere;2018;;;;
165;JZ Totaal jeugdzorg;Almere;2019;;;;
166;JZ Totaal jeugdzorg;Almere;2020;;;;
167;JZ Totaal jeugdzorg;Almere;2021;;;;
168;JZ Totaal jeugdzorg;Almere;2022;;;;
169;JZ Totaal jeugdzorg;Almere;2023;109160.0;109077.0;489.0;489.0
170;JZ Totaal jeugdzorg;Alphen aan den Rijn;1e halfjaar 2015;;10668.0;;99.0
171;JZ Totaal jeugdzorg;Alphen aan den Rijn;2e halfjaar 2015;;10992.0;;102.0
172;JZ Totaal jeugdzorg;Alphen aan den Rijn;2015;;21660.0;;202.0
173;JZ Totaal jeugdzorg;Alphen aan den Rijn;1e halfjaar 2016;;9700.0;;90.0
174;JZ Totaal jeugdzorg;Alphen aan den Rijn;2e halfjaar 2016;;10088.0;;93.0
175;JZ Totaal jeugdzorg;Alphen aan den Rijn;2016;;19788.0;;183.0
176;JZ Totaal jeugdzorg;Alphen aan den Rijn;1e halfjaar 2017;;9700.0;;89.0
177;JZ Totaal jeugdzorg;Alphen aan den Rijn;2e halfjaar 2017;;12089.0;;111.0
178;JZ Totaal jeugdzorg;Alphen aan den Rijn;2017;;21789.0;;200.0
179;JZ Totaal jeugdzorg;Alphen aan den Rijn;1e halfjaar 2018;;;;
180;JZ Totaal jeugdzorg;Alphen aan den Rijn;2e halfjaar 2018;;;;
181;JZ Totaal jeugdzorg;Alphen aan den Rijn;2018;;;;
182;JZ Totaal jeugdzorg;Alphen aan den Rijn;2019;23114.0;28452.0;208.0;256.0
183;JZ Totaal jeugdzorg;Alphen aan den Rijn;2020;;;;
184;JZ Totaal jeugdzorg;Alphen aan den Rijn;2021;31550.0;31128.0;280.0;276.0
185;JZ Totaal jeugdzorg;Alphen aan den Rijn;2022;28897.0;28143.0;255.0;249.0
186;JZ Totaal jeugdzorg;Alphen aan den Rijn;2023;33458.0;33719.0;293.0;295.0
187;JZ Totaal jeugdzorg;Alphen-Chaam;1e halfjaar 2015;;;;
188;JZ Totaal jeugdzorg;Alphen-Chaam;2e halfjaar 2015;;;;
189;JZ Totaal jeugdzorg;Alphen-Chaam;2015;;;;
190;JZ Totaal jeugdzorg;Alphen-Chaam;1e halfjaar 2016;;;;
191;JZ Totaal jeugdzorg;Alphen-Chaam;2e halfjaar 2016;;;;
192;JZ Totaal jeugdzorg;Alphen-Chaam;2016;;;;
193;JZ Totaal jeugdzorg;Alphen-Chaam;1e halfjaar 2017;;;;
194;JZ Totaal jeugdzorg;Alphen-Chaam;2e halfjaar 2017;;;;
195;JZ Totaal jeugdzorg;Alphen-Chaam;2017;1778.0;2266.0;177.0;226.0
196;JZ Totaal jeugdzorg;Alphen-Chaam;1e halfjaar 2018;;;;
197;JZ Totaal jeugdzorg;Alphen-Chaam;2e halfjaar 2018;;;;
198;JZ Totaal jeugdzorg;Alphen-Chaam;2018;2868.0;3172.0;284.0;314.0
199;JZ Totaal jeugdzorg;Alphen-Chaam;2019;2387.0;2637.0;235.0;259.0
200;JZ Totaal jeugdzorg;Alphen-Chaam;2020;1928.0;2162.0;188.0;211.0
201;JZ Totaal jeugdzorg;Alphen-Chaam;2021;2300.0;1861.0;221.0;179.0
202;JZ Totaal jeugdzorg;Alphen-Chaam;2022;1893.0;1916.0;181.0;183.0
203;JZ Totaal jeugdzorg;Alphen-Chaam;2023;1376.0;1387.0;131.0;132.0
204;JZ Totaal jeugdzorg;Altena;1e halfjaar 2015;;;;
205;JZ Totaal jeugdzorg;Altena;2e halfjaar 2015;;;;
206;JZ Totaal jeugdzorg;Altena;2015;;;;
207;JZ Totaal jeugdzorg;Altena;1e halfjaar 2016;;;;
208;JZ Totaal jeugdzorg;Altena;2e halfjaar 2016;;;;
209;JZ Totaal jeugdzorg;Altena;2016;;;;
210;JZ Totaal jeugdzorg;Altena;1e halfjaar 2017;;;;
211;JZ Totaal jeugdzorg;Altena;2e halfjaar 2017;;;;
212;JZ Totaal jeugdzorg;Altena;2017;;;;
213;JZ Totaal jeugdzorg;Altena;1e halfjaar 2018;;;;
214;JZ Totaal jeugdzorg;Altena;2e halfjaar 2018;;;;
215;JZ Totaal jeugdzorg;Altena;2018;;;;
216;JZ Totaal jeugdzorg;Altena;2019;9293.0;9859.0;167.0;178.0
217;JZ Totaal jeugdzorg;Altena;2020;11231.0;11433.0;200.0;204.0
218;JZ Totaal jeugdzorg;Altena;2021;13219.0;13438.0;234.0;238.0
219;JZ Totaal jeugdzorg;Altena;2022;11660.0;11743.0;204.0;205.0
220;JZ Totaal jeugdzorg;Altena;2023;11682.0;11631.0;202.0;201.0
221;JZ Totaal jeugdzorg;Ameland;1e halfjaar 2015;;;;
222;JZ Totaal jeugdzorg;Ameland;2e halfjaar 2015;;;;
223;JZ Totaal jeugdzorg;Ameland;2015;;;;
224;JZ Totaal jeugdzorg;Ameland;1e halfjaar 2016;150.0;199.0;42.0;55.0
225;JZ Totaal jeugdzorg;Ameland;2e halfjaar 2016;150.0;199.0;42.0;55.0
226;JZ Totaal jeugdzorg;Ameland;2016;300.0;397.0;83.0;110.0
227;JZ Totaal jeugdzorg;Ameland;1e halfjaar 2017;;;;
228;JZ Totaal jeugdzorg;Ameland;2e halfjaar 2017;;;;
229;JZ Totaal jeugdzorg;Ameland;2017;430.0;523.0;143.0;174.0
230;JZ Totaal jeugdzorg;Ameland;1e halfjaar 2018;;;;
231;JZ Totaal jeugdzorg;Ameland;2e halfjaar 2018;;;;
232;JZ Totaal jeugdzorg;Ameland;2018;425.0;414.0;116.0;113.0
233;JZ Totaal jeugdzorg;Ameland;2019;524.0;462.0;142.0;125.0
234;JZ Totaal jeugdzorg;Ameland;2020;557.0;682.0;149.0;183.0
235;JZ Totaal jeugdzorg;Ameland;2021;542.0;547.0;144.0;146.0
236;JZ Totaal jeugdzorg;Ameland;2022;605.0;623.0;161.0;165.0
237;JZ Totaal jeugdzorg;Ameland;2023;457.0;469.0;119.0;122.0
238;JZ Totaal jeugdzorg;Amersfoort;1e halfjaar 2015;;;;
239;JZ Totaal jeugdzorg;Amersfoort;2e halfjaar 2015;;;;
240;JZ Totaal jeugdzorg;Amersfoort;2015;;;;
241;JZ Totaal jeugdzorg;Amersfoort;1e halfjaar 2016;16589.0;15616.0;108.0;102.0
242;JZ Totaal jeugdzorg;Amersfoort;2e halfjaar 2016;16589.0;14967.0;108.0;97.0
243;JZ Totaal jeugdzorg;Amersfoort;2016;33179.0;30583.0;216.0;199.0
244;JZ Totaal jeugdzorg;Amersfoort;1e halfjaar 2017;;;;
245;JZ Totaal jeugdzorg;Amersfoort;2e halfjaar 2017;;;;
246;JZ Totaal jeugdzorg;Amersfoort;2017;31045.0;35927.0;201.0;233.0
247;JZ Totaal jeugdzorg;Amersfoort;1e halfjaar 2018;;;;
248;JZ Totaal jeugdzorg;Amersfoort;2e halfjaar 2018;;;;
249;JZ Totaal jeugdzorg;Amersfoort;2018;33893.0;39633.0;218.0;255.0
250;JZ Totaal jeugdzorg;Amersfoort;2019;31482.0;38984.0;201.0;249.0
251;JZ Totaal jeugdzorg;Amersfoort;2020;33208.0;36444.0;211.0;231.0
252;JZ Totaal jeugdzorg;Amersfoort;2021;43128.0;44874.0;273.0;284.0
253;JZ Totaal jeugdzorg;Amersfoort;2022;43497.0;49243.0;274.0;310.0
254;JZ Totaal jeugdzorg;Amersfoort;2023;50428.0;56203.0;313.0;349.0
255;JZ Totaal jeugdzorg;Amstelveen;1e halfjaar 2015;;;;
256;JZ Totaal jeugdzorg;Amstelveen;2e halfjaar 2015;;;;
257;JZ Totaal jeugdzorg;Amstelveen;2015;;;;
258;JZ Totaal jeugdzorg;Amstelveen;1e halfjaar 2016;;;;
259;JZ Totaal jeugdzorg;Amstelveen;2e halfjaar 2016;;;;
260;JZ Totaal jeugdzorg;Amstelveen;2016;;;;
261;JZ Totaal jeugdzorg;Amstelveen;1e halfjaar 2017;;;;
262;JZ Totaal jeugdzorg;Amstelveen;2e halfjaar 2017;;;;
263;JZ Totaal jeugdzorg;Amstelveen;2017;12278.0;12315.0;137.0;138.0
264;JZ Totaal jeugdzorg;Amstelveen;1e halfjaar 2018;;;;
265;JZ Totaal jeugdzorg;Amstelveen;2e halfjaar 2018;;;;
266;JZ Totaal jeugdzorg;Amstelveen;2018;15738.0;15841.0;175.0;176.0
267;JZ Totaal jeugdzorg;Amstelveen;2019;15945.0;17570.0;175.0;193.0
268;JZ Totaal jeugdzorg;Amstelveen;2020;20370.0;21861.0;222.0;238.0
269;JZ Totaal jeugdzorg;Amstelveen;2021;22543.0;22434.0;248.0;246.0
270;JZ Totaal jeugdzorg;Amstelveen;2022;23632.0;19259.0;255.0;208.0
271;JZ Totaal jeugdzorg;Amstelveen;2023;22175.0;23949.0;234.0;253.0
272;JZ Totaal jeugdzorg;Amsterdam;1e halfjaar 2015;;;;
273;JZ Totaal jeugdzorg;Amsterdam;2e halfjaar 2015;;;;
274;JZ Totaal jeugdzorg;Amsterdam;2015;;;;
275;JZ Totaal jeugdzorg;Amsterdam;1e halfjaar 2016;;;;
276;JZ Totaal jeugdzorg;Amsterdam;2e halfjaar 2016;;;;
277;JZ Totaal jeugdzorg;Amsterdam;2016;;;;
278;JZ Totaal jeugdzorg;Amsterdam;1e halfjaar 2017;;;;
279;JZ Totaal jeugdzorg;Amsterdam;2e halfjaar 2017;;;;
280;JZ Totaal jeugdzorg;Amsterdam;2017;;;;
281;JZ Totaal jeugdzorg;Amsterdam;1e halfjaar 2018;;;;
282;JZ Totaal jeugdzorg;Amsterdam;2e halfjaar 2018;;;;
283;JZ Totaal jeugdzorg;Amsterdam;2018;;;;
284;JZ Totaal jeugdzorg;Amsterdam;2019;;;;
285;JZ Totaal jeugdzorg;Amsterdam;2020;;338900.0;;388.0
286;JZ Totaal jeugdzorg;Amsterdam;2021;305487.0;298071.0;349.0;341.0
287;JZ Totaal jeugdzorg;Amsterdam;2022;330753.0;330254.0;374.0;374.0
288;JZ Totaal jeugdzorg;Amsterdam;2023;358476.0;360238.0;390.0;392.0
289;JZ Totaal jeugdzorg;Apeldoorn;1e halfjaar 2015;;19302.0;;122.0
290;JZ Totaal jeugdzorg;Apeldoorn;2e halfjaar 2015;;15792.0;;100.0
291;JZ Totaal jeugdzorg;Apeldoorn;2015;;35094.0;;222.0
292;JZ Totaal jeugdzorg;Apeldoorn;1e halfjaar 2016;;17395.0;;109.0
293;JZ Totaal jeugdzorg;Apeldoorn;2e halfjaar 2016;17420.0;;110.0;
294;JZ Totaal jeugdzorg;Apeldoorn;2016;;;;
295;JZ Totaal jeugdzorg;Apeldoorn;1e halfjaar 2017;17420.0;;109.0;
296;JZ Totaal jeugdzorg;Apeldoorn;2e halfjaar 2017;;19570.0;;122.0
297;JZ Totaal jeugdzorg;Apeldoorn;2017;;;;
298;JZ Totaal jeugdzorg;Apeldoorn;1e halfjaar 2018;16463.0;21931.0;102.0;136.0
299;JZ Totaal jeugdzorg;Apeldoorn;2e halfjaar 2018;17252.0;;107.0;
300;JZ Totaal jeugdzorg;Apeldoorn;2018;33716.0;;209.0;
301;JZ Totaal jeugdzorg;Apeldoorn;2019;;;;
302;JZ Totaal jeugdzorg;Apeldoorn;2020;48783.0;50033.0;297.0;305.0
303;JZ Totaal jeugdzorg;Apeldoorn;2021;;;;
304;JZ Totaal jeugdzorg;Apeldoorn;2022;58932.0;58509.0;355.0;353.0
305;JZ Totaal jeugdzorg;Apeldoorn;2023;63346.0;65673.0;378.0;392.0
306;JZ Totaal jeugdzorg;Appingedam;1e halfjaar 2015;;;;
307;JZ Totaal jeugdzorg;Appingedam;2e halfjaar 2015;;;;
308;JZ Totaal jeugdzorg;Appingedam;2015;;;;
309;JZ Totaal jeugdzorg;Appingedam;1e halfjaar 2016;;;;
310;JZ Totaal jeugdzorg;Appingedam;2e halfjaar 2016;;;;
311;JZ Totaal jeugdzorg;Appingedam;2016;;;;
312;JZ Totaal jeugdzorg;Appingedam;1e halfjaar 2017;;;;
313;JZ Totaal jeugdzorg;Appingedam;2e halfjaar 2017;;;;
314;JZ Totaal jeugdzorg;Appingedam;2017;;;;
315;JZ Totaal jeugdzorg;Appingedam;1e halfjaar 2018;;;;
316;JZ Totaal jeugdzorg;Appingedam;2e halfjaar 2018;;;;
317;JZ Totaal jeugdzorg;Appingedam;2018;3460.0;3853.0;293.0;326.0
318;JZ Totaal jeugdzorg;Appingedam;2019;4332.0;5061.0;369.0;431.0
319;JZ Totaal jeugdzorg;Appingedam;2020;4721.0;4553.0;405.0;391.0
320;JZ Totaal jeugdzorg;Appingedam;2021;;;;
321;JZ Totaal jeugdzorg;Appingedam;2022;;;;
322;JZ Totaal jeugdzorg;Appingedam;2023;;;;
323;JZ Totaal jeugdzorg;Arnhem;1e halfjaar 2015;;;;
324;JZ Totaal jeugdzorg;Arnhem;2e halfjaar 2015;;;;
325;JZ Totaal jeugdzorg;Arnhem;2015;;;;
326;JZ Totaal jeugdzorg;Arnhem;1e halfjaar 2016;;16960.0;;110.0
327;JZ Totaal jeugdzorg;Arnhem;2e halfjaar 2016;;16960.0;;110.0
328;JZ Totaal jeugdzorg;Arnhem;2016;;33919.0;;221.0
329;JZ Totaal jeugdzorg;Arnhem;1e halfjaar 2017;13783.0;16835.0;89.0;108.0
330;JZ Totaal jeugdzorg;Arnhem;2e halfjaar 2017;13783.0;16835.0;89.0;108.0
331;JZ Totaal jeugdzorg;Arnhem;2017;27565.0;33671.0;177.0;216.0
332;JZ Totaal jeugdzorg;Arnhem;1e halfjaar 2018;;;;
333;JZ Totaal jeugdzorg;Arnhem;2e halfjaar 2018;;;;
334;JZ Totaal jeugdzorg;Arnhem;2018;32522.0;41291.0;206.0;262.0
335;JZ Totaal jeugdzorg;Arnhem;2019;31831.0;47231.0;199.0;296.0
336;JZ Totaal jeugdzorg;Arnhem;2020;47328.0;47421.0;293.0;293.0
337;JZ Totaal jeugdzorg;Arnhem;2021;48742.0;49139.0;300.0;302.0
338;JZ Totaal jeugdzorg;Arnhem;2022;52923.0;58046.0;322.0;354.0
339;JZ Totaal jeugdzorg;Arnhem;2023;40213.0;51035.0;242.0;307.0
340;JZ Totaal jeugdzorg;Assen;1e halfjaar 2015;;;;
341;JZ Totaal jeugdzorg;Assen;2e halfjaar 2015;;;;
342;JZ Totaal jeugdzorg;Assen;2015;;;;
343;JZ Totaal jeugdzorg;Assen;1e halfjaar 2016;;;;
344;JZ Totaal jeugdzorg;Assen;2e halfjaar 2016;;;;
