ID;Dimensions;Periods;Total_1;GrossDomesticProduct_2;Total_3;ImportsOfGoods_4;ImportsOfServices_5;Total_6;Total_7;Total_8;ConsumptionByHouseholds_9;ConsumptionByGeneralGovernment_10;Total_11;ByEnterprisesAndHouseholds_12;ByGovernment_13;ChangesInInventories_14;Total_15;ExportsOfGoods_16;ExportsOfServices_17;Total_18;AFAgricultureAndIndustry_19;AAgricultureForestryAndFishing_20;Total_21;BMiningAndQuarrying_22;Total_23;k_1012ManufactureOfFoodAndBeverages_24;k_1315ManOfTextileLeatherproducts_25;k_1618ManOfWoodPaperPrinting_26;k_19ManufactureOfCokeAndPetroleum_27;k_2021ManOfChemicalsPharmaceuticals_28;k_2223ManOfRubberPlasticsMinerals_29;k_2425ManOfBasicMetalsAndProducts_30;k_2627ManOfElectricElectronicProd_31;k_28ManOfOtherMachineryAndEquipment_32;k_2930ManOfTransportEquipment_33;k_3133ManOfOtherProductsAndRepair_34;DElectricityAndGasSupply_35;EWaterSupplyAndWasteManagement_36;FConstruction_37;GNCommercialServices_38;Total_39;GWholesaleAndRetailTrade_40;HTransportationAndStorage_41;IAccommodationAndFoodServing_42;JInformationAndCommunication_43;KFinancialInstitutions_44;LRentingBuyingSellingRealEstate_45;Total_46;MSpecialisedBusinessServices_47;Total_48;k_77RentingAndLeasingOfTangibleGoods_49;k_78EmploymentActivities_50;k_79TravelAgenciesTourOperatorsEtc_51;k_8082SecurityAndOtherServices_52;OUNoncommercialServices_53;Total_54;Total_55;OPublicAdministrationAndServices_56;PEducation_57;QHealthAndSocialWorkActivities_58;RUCultureRecreationOtherServices_59;TaxesLessSubsidiesOnProducts_60;TaxesOnProducts_61;SubsidiesOnProducts_62;DifferenceImputedAndPaidVAT_63;GrossDomesticProduct_64;CompensationOfEmployees_65;OperatingSurplusNet_66;TaxesLessSubsidies_67;TaxesOnProductionAndImports_68;Subsidies_69;NetDomesticProduct_70;ConsumptionOfFixedCapital_71;GrossDomesticProduct_72;GrossDomesticProduct_73;NetPrimaryIncomeAbroad_74;PrimaryIncomeAbroadReceived_75;PrimaryIncomeAbroadPaid_76;GrossNationalIncome_77;NetCurrentTransfersAbroad_78;CurrentTransfersAbroadReceived_79;CurrentTransfersAbroadPaid_80;GrossDisposableNationalIncome_81;FinalConsumptionExpenditure_82;AdjustmentForEquityPensionFunds_83;GrossNationalSaving_84;GrossFixedCapitalFormation_85;SurplusOfTheNationOnIncome_86;NetExportsOfGoods_87;NetExportsOfServices_88;NetPrimaryIncomeAbroad_89;NetCurrentTransfersAbroad_90;AdjustmentForEquityPensionFunds_91;SurplusOfNationOnCurrentTransaction_92;NetCapitalTransfersAbroad_93;CapitalTransfersAbroadReceived_94;CapitalTransfersAbroadPaid_95;NationalNetLendingOrNetBorrowing_96;TotalConsumptionExpenditure_97;Total_98;Total_99;Total_100;Food_101;BeveragesAndTobacco_102;Total_103;ClothingAndFootwear_104;VehiclesAndParts_105;HomeFurnishingAndOtherDurableGoods_106;Total_107;EnergyAndWater_108;MotorFuelAndOtherGoods_109;Total_110;Housing_111;HotelsAndRestaurantsServices_112;RecreationalAndCulturalServices_113;TransportAndCommunicationServices_114;MedicalServicesAndWelfare_115;FinancialAndBusinessServices_116;OtherServices_117;DomesticConsumption_118;ConsumptionByResidentsAbroad_119;ConsumptionForeignerInTheNetherlands_120;Total_121;IndividualConsumptionByGovernment_122;CollectiveConsumptionByGovernment_123;TotalConsumptionExpenditure_124;ActualIndividualConsumption_125;ActualCollectiveFinalConsumption_126;TotalGrossFixedCapitalFormation_127;Total_128;Dwellings_129;Total_130;NonResidentialBuildings_131;CivilEngineeringWorks_132;TransportEquipment_133;Total_134;MachineryAndEquipment_135;Computers_136;CultivatedAssetsTreesAndLivestock_137;Total_138;OtherTangibleFixedAssets_139;IntangibleFixedAssets_140;TransfersCostsOfGround_141;SalesOfExistingFixedAssets_142;TotalGrossFixedCapitalFormation_143;Total_144;AAgricultureForestryAndFishing_145;BFIndustryAndEnergy_146;GNCommercialServices_147;OUNoncommercialServices_148;SalesOfExistingFixedAssets_149;TotalExports_150;ProductsOfAgricultureAndFishing_151;CrudeOilGasAndOtherMinerals_152;FoodBeveragesAndTobaccoProducts_153;TextilesWearingApparelAndLeather_154;PaperPrintedMatterAndRecordedMedia_155;CokePetroleumProductsAndOtherFuel_156;ChemicalProductsAndManMadeFibres_157;RubberEnPlasticProducts_158;BasicMetalsAndMetalProducts_159;MachineryAndEquipmentIE_160;ElectricalMachineryOpticalEquipment_161;TransportEquipment_162;OtherManufacturedProductsIE_163;TransportAndCommunicationServices_164;FinancialAndBusinessServices_165;OtherProducts_166;ConsumptionForeignerInTheNetherlands_167;ExportsOfUsedFixedCapitalGoods_168;CifFobAdjustment_169;Total_170;ExportsOfGoodsFromProduction_171;ReExports_172;ExportsOfUsedFixedCapitalGoods_173;Total_174;ConsumptionForeignerInTheNetherlands_175;OtherExportsOfServices_176;CifFobAdjustment_177;Total_178;ProductsOfAgricultureAndFishing_179;CrudeOilGasAndOtherMinerals_180;FoodBeveragesAndTobaccoProducts_181;TextilesWearingApparelAndLeather_182;PaperPrintedMatterAndRecordedMedia_183;CokePetroleumProductsAndOtherFuel_184;ChemicalProductsAndManMadeFibres_185;RubberEnPlasticProducts_186;BasicMetalsAndMetalProducts_187;MachineryAndEquipmentIE_188;ElectricalMachineryOpticalEquipment_189;TransportEquipment_190;OtherManufacturedProductsIE_191;OtherProducts_192;ConsumptionByResidentsAbroad_193;CifFobAdjustment_194;Total_195;ImportOfGoodsCif_196;CifFobAdjustmentAndReclassification_197;Total_198;ImportsOfServicesCif_199;CifFobReclassification_200;TotalTaxesOnProductionAndImports_201;TaxesOnProducts_202;OtherTaxesOnProduction_203;TotalSubsidies_204;SubsidiesOnProducts_205;OtherSubsidiesOnProduction_206
70;Prices of 2005;2002 1st quarter;190244;121809;68457;51327;17170;190244;113218;89383;61130;28250;24661;20657;4003;-836;76974;60236;16743;107709;30008;1825;21372;4601;14332;2756.0;312.0;1189.0;779.0;2381.0;940.0;1725.0;724.0;1007.0;754.0;1747.0;1471;1038;6836;53193;20251;12731.0;5416.0;2143.0;5331;7487;8104;12072;;;;2326.0;232.0;;24538;21481;12624.0;;;8863.0;3059;13841.0;14835.0;1004.0;;121809;;;14058.0;16162.0;2107.0;104168.0;17647.0;121809;121809;;;;;;;;;89383;;;23817;;;;;;;;;;;;89383;61130;28800.0;8115.0;5033.0;3094.0;11542.0;2859.0;2867.0;5824.0;9139.0;3291.0;5829.0;32269.0;9854.0;3181.0;2022.0;4255.0;2986.0;6203.0;3775.0;61063.0;2105.0;2035.0;28250;16090;12160;89383;77223;12160;24661;25264;7485;7348;4372.0;2979.0;2369;4382;3886.0;617.0;165;3462;1252.0;1891.0;322.0;601;24661;25264;994;3984;15481;4775;601;76974;3766.0;2837.0;7262.0;2064.0;1491.0;5513.0;10624.0;1538.0;3999.0;3138.0;12070.0;3317.0;1453.0;4584.0;8300.0;3567.0;2037.0;191.0;-507.0;60236;37708.0;22804.0;191.0;16743;2037.0;15213.0;-507.0;68457;2713.0;6012.0;3505.0;2717.0;1492.0;2267.0;6649.0;1498.0;3945.0;3161.0;11583.0;4086.0;2425.0;15141.0;2105.0;-507.0;51327;52951.0;1624.0;17170;16050.0;1116.0;16162.0;14835.0;1328.0;2107.0;1004.0;1119.0
71;Prices of 2005;2002 2nd quarter;193727;125038;68680;50335;18362;193727;117638;93150;61676;31468;25744;21426;4316;-1279;76032;58546;17479;110973;28934;1870;20261;2716;15135;2843.0;331.0;1233.0;763.0;2591.0;1010.0;1777.0;743.0;1038.0;783.0;1975.0;1555;942;6859;54726;20886;13275.0;5212.0;2440.0;5548;7641;8167;12526;;;;2390.0;246.0;;27321;24731;15046.0;;;9692.0;2593;14028.0;15060.0;1036.0;;125038;;;14212.0;16386.0;2169.0;107190.0;17855.0;125038;125038;;;;;;;;;93150;;;24484;;;;;;;;;;;;93150;61676;28422.0;8278.0;5037.0;3248.0;11845.0;3237.0;2615.0;5991.0;8294.0;2030.0;6261.0;32610.0;9539.0;3590.0;2112.0;4487.0;2991.0;5945.0;3949.0;61051.0;3130.0;2501.0;31468;17669;13806;93150;79345;13806;25744;26136;7600;7480;4589.0;2891.0;2483;4420;3682.0;822.0;221;3904;1469.0;2109.0;326.0;392;25744;26136;1097;3978;16131;4917;392;76032;3781.0;2186.0;7451.0;1675.0;1470.0;4870.0;10580.0;1558.0;3998.0;3466.0;11517.0;3611.0;1383.0;4711.0;8436.0;3504.0;2500.0;171.0;-508.0;58546;36907.0;21896.0;171.0;17479;2500.0;15485.0;-508.0;68680;2079.0;5683.0;3663.0;2125.0;1606.0;2525.0;6938.0;1581.0;3964.0;3276.0;10564.0;4840.0;2424.0;15269.0;3130.0;-508.0;50335;51956.0;1624.0;18362;17241.0;1117.0;16386.0;15060.0;1328.0;2169.0;1036.0;1145.0
72;Prices of 2005;2002 3rd quarter;187320;118187;69114;49702;19433;187320;111382;89427;61461;27960;21782;17543;4236;178;75886;57874;18007;104902;27239;2331;18897;2365;14245;2870.0;321.0;1116.0;773.0;2551.0;937.0;1652.0;712.0;973.0;697.0;1620.0;1417;1024;6018;53394;20227;12774.0;5208.0;2282.0;5151;7562;8149;12369;;;;2683.0;280.0;;24308;21235;12519.0;;;8726.0;3076;12318.0;13324.0;997.0;;118187;;;12600.0;14659.0;2045.0;100126.0;18064.0;118187;118187;;;;;;;;;89427;;;21951;;;;;;;;;;;;89427;61461;27397.0;8172.0;4894.0;3289.0;11517.0;3254.0;2326.0;5935.0;7712.0;1585.0;6123.0;32181.0;9559.0;3383.0;2191.0;4645.0;2929.0;5720.0;3740.0;59612.0;4659.0;2801.0;27960;15541;12423;89427;77007;12423;21782;22092;6919;6243;3683.0;2560.0;2026;3474;2807.0;713.0;-1;3495;1345.0;1885.0;267.0;311;21782;22092;711;2913;14219;4260;311;75886;3470.0;1812.0;7350.0;2193.0;1397.0;4871.0;10636.0;1487.0;3795.0;3522.0;12030.0;2908.0;1399.0;5231.0;8346.0;3308.0;2804.0;125.0;-486.0;57874;35568.0;22602.0;125.0;18007;2804.0;15687.0;-486.0;69114;1806.0;5572.0;3674.0;2878.0;1561.0;2235.0;6885.0;1458.0;3799.0;3083.0;11218.0;3950.0;2329.0;14915.0;4659.0;-486.0;49702;51257.0;1555.0;19433;18355.0;1070.0;14659.0;13324.0;1333.0;2045.0;997.0;1056.0
73;Prices of 2005;2002 4th quarter;195718;125428;70315;52873;17488;195718;116714;91758;61631;30114;24366;19791;4576;590;78999;61425;17585;111038;30220;2026;21545;4494;14730;2988.0;306.0;1243.0;746.0;2445.0;967.0;1728.0;741.0;1033.0;752.0;1767.0;1504;1005;6713;55365;21157;13701.0;5360.0;2122.0;5547;7495;8391;12836;;;;2588.0;208.0;;25485;22581;13519.0;;;9071.0;2903;15253.0;16336.0;1074.0;;125428;;;15475.0;17705.0;2223.0;107151.0;18278.0;125428;125428;;;;;;;;;91758;;;24968;;;;;;;;;;;;91758;61631;29739.0;8663.0;5309.0;3365.0;12076.0;3451.0;2141.0;6497.0;8984.0;2936.0;6059.0;32168.0;9872.0;3093.0;2028.0;4313.0;2982.0;5946.0;3930.0;61945.0;1967.0;2276.0;30114;16020;14096;91758;77663;14096;24366;24753;7603;7138;4195.0;2946.0;2490;3865;3148.0;785.0;11;3755;1443.0;1973.0;336.0;388;24366;24753;822;3275;15771;4898;388;78999;3312.0;2906.0;7576.0;1651.0;1558.0;5443.0;10599.0;1470.0;3785.0;3703.0;13343.0;3513.0;1571.0;4958.0;8797.0;3613.0;2274.0;173.0;-520.0;61425;38092.0;23818.0;173.0;17585;2274.0;15830.0;-520.0;70315;2272.0;6094.0;3993.0;2076.0;1621.0;2658.0;6958.0;1511.0;3888.0;3340.0;12736.0;4379.0;2568.0;15607.0;1967.0;-520.0;52873;54538.0;1665.0;17488;16339.0;1145.0;17705.0;16336.0;1370.0;2223.0;1074.0;1152.0
74;Prices of 2005;2002;767009;490459;276541;204216;72449;767009;458947;363717;245897;117794;96543;79404;17130;-1347;307867;238058;69813;434620;116403;8048;82079;14180;58442;11456.0;1269.0;4780.0;3061.0;9966.0;3855.0;6883.0;2918.0;4051.0;2986.0;7109.0;5943;4010;26426;216675;82521;52483.0;21197.0;8987.0;21577;30185;32811;49802;;;;9986.0;966.0;;101653;90027;53710.0;;;36352.0;11631;55439.0;59556.0;4112.0;428.0;490459;;;56347.0;64914.0;8542.0;418629.0;71844.0;490459;490459;;;;;;;;;363717;;;95214;;;;;;;;;;;;363717;245897;114360.0;33230.0;20271.0;12994.0;46982.0;12802.0;9949.0;24246.0;34133.0;9845.0;24272.0;129229.0;38823.0;13247.0;8353.0;17700.0;11889.0;23816.0;15393.0;243671.0;11858.0;9614.0;117794;65319;52484;363717;311235;52484;96543;98234;29607;28209;16842.0;11375.0;9369;16136;13528.0;2938.0;385;14614;5511.0;7859.0;1250.0;1695;96543;98234;3627;14155;61599;18850;1695;307867;14334.0;9759.0;29639.0;7584.0;5916.0;20696.0;42440.0;6053.0;15576.0;13830.0;48956.0;13347.0;5806.0;19484.0;33877.0;13990.0;9614.0;662.0;-2021.0;238058;148265.0;91105.0;662.0;69813;9614.0;62211.0;-2021.0;276541;8871.0;23360.0;14834.0;9796.0;6279.0;9686.0;27431.0;6048.0;15596.0;12860.0;46097.0;17255.0;9745.0;60930.0;11858.0;-2021.0;204216;210680.0;6469.0;72449;67979.0;4449.0;64914.0;59556.0;5359.0;8542.0;4112.0;4471.0
75;Prices of 2005;2003 1st quarter;192836;122828;70013;53250;16761;192836;113861;90598;61444;29156;23423;19468;3954;-159;78905;62126;16777;108803;29987;1911;21705;5012;14312;2755.0;284.0;1164.0;754.0;2436.0;889.0;1715.0;695.0;1092.0;763.0;1745.0;1489;1053;6379;53829;20806;13351.0;5443.0;2018.0;5476;7715;8145;11693;;;;2200.0;230.0;;25010;22047;12881.0;;;9171.0;2963;13216.0;14265.0;1048.0;;122828;;;13510.0;15544.0;2036.0;104905.0;17926.0;122828;122828;;;;;;;;;90598;;;23264;;;;;;;;;;;;90598;61444;29292.0;8241.0;5128.0;3124.0;11679.0;2931.0;2775.0;5969.0;9380.0;3502.0;5878.0;32175.0;10000.0;2979.0;2007.0;4267.0;3123.0;6098.0;3700.0;61477.0;1916.0;1949.0;29156;16670;12486;90598;78113;12486;23423;23941;7227;6785;4097.0;2690.0;2600;3781;3014.0;781.0;131;3403;1412.0;1761.0;232.0;517;23423;23941;962;3191;14596;5184;517;78905;3913.0;3335.0;7389.0;2142.0;1556.0;4958.0;11133.0;1555.0;4003.0;3386.0;12608.0;3377.0;1374.0;4687.0;8420.0;3513.0;1950.0;203.0;-527.0;62126;37107.0;25052.0;203.0;16777;1950.0;15354.0;-527.0;70013;2848.0;5645.0;3735.0;2732.0;1626.0;2259.0;6847.0;1512.0;3904.0;3423.0;12506.0;4326.0;2353.0;14841.0;1916.0;-527.0;53250;54936.0;1687.0;16761;15598.0;1159.0;15544.0;14265.0;1280.0;2036.0;1048.0;992.0
76;Prices of 2005;2003 2nd quarter;194059;124749;69291;51354;17924;194059;117644;93802;61675;32127;24961;20666;4293;-1128;76351;58930;17411;110826;28193;2074;19472;2252;14741;2795.0;332.0;1187.0;804.0;2591.0;953.0;1750.0;669.0;1076.0;726.0;1851.0;1518;953;6657;54829;21029;13601.0;5161.0;2278.0;5691;8012;8141;11987;;;;2242.0;248.0;;27809;25305;15260.0;;;10049.0;2505;13274.0;14323.0;1045.0;;124749;;;13581.0;15644.0;2059.0;106611.0;18137.0;124749;124749;;;;;;;;;93802;;;23843;;;;;;;;;;;;93802;61675;28324.0;8288.0;5034.0;3262.0;11764.0;3223.0;2701.0;5847.0;8270.0;2006.0;6259.0;32708.0;9838.0;3388.0;2094.0;4492.0;3112.0;5922.0;3863.0;61045.0;3112.0;2478.0;32127;17597;14534;93802;79273;14534;24961;25473;7328;7421;4531.0;2890.0;2703;4004;3076.0;932.0;272;3751;1463.0;2010.0;277.0;511;24961;25473;1222;3340;15475;5434;511;76351;4066.0;1715.0;7460.0;1652.0;1529.0;5206.0;10620.0;1539.0;4064.0;3611.0;11575.0;3415.0;1413.0;4650.0;8469.0;3502.0;2478.0;204.0;-500.0;58930;35580.0;23385.0;204.0;17411;2478.0;15430.0;-500.0;69291;2174.0;6074.0;3787.0;2133.0;1632.0;2588.0;7043.0;1537.0;4067.0;3336.0;10985.0;4571.0;2413.0;14851.0;3112.0;-500.0;51354;52941.0;1587.0;17924;16832.0;1088.0;15644.0;14323.0;1322.0;2059.0;1045.0;1018.0
77;Prices of 2005;2003 3rd quarter;187685;118189;69472;50397;19070;187685;111314;89790;61115;28677;21484;17203;4279;51;76312;58544;17755;104971;26436;2222;18530;1968;14207;2821.0;299.0;1160.0;837.0;2554.0;885.0;1649.0;635.0;1048.0;686.0;1649.0;1365;1052;5698;53845;20449;13117.0;5205.0;2136.0;5375;7915;8268;11891;;;;2505.0;278.0;;24715;21737;12707.0;;;9038.0;2979;13226.0;14250.0;1020.0;;118189;;;13549.0;15540.0;1988.0;99837.0;18350.0;118189;118189;;;;;;;;;89790;;;21529;;;;;;;;;;;;89790;61115;26906.0;8142.0;4875.0;3277.0;11182.0;3126.0;2360.0;5703.0;7594.0;1598.0;5995.0;32368.0;9886.0;3211.0;2188.0;4634.0;3056.0;5706.0;3672.0;59283.0;4572.0;2732.0;28677;15986;12695;89790;77100;12695;21484;21851;6671;6053;3583.0;2470.0;2181;3717;2916.0;827.0;-82;3315;1287.0;1799.0;230.0;368;21484;21851;630;3058;13509;4650;368;76312;3647.0;1476.0;7381.0;2164.0;1500.0;5233.0;10720.0;1457.0;3863.0;3559.0;12106.0;3019.0;1415.0;5212.0;8226.0;3291.0;2735.0;148.0;-491.0;58544;34681.0;23974.0;148.0;17755;2735.0;15509.0;-491.0;69472;1945.0;6324.0;3774.0;2783.0;1609.0;2143.0;6615.0;1436.0;3753.0;3030.0;11693.0;3913.0;2296.0;14548.0;4572.0;-491.0;50397;51968.0;1570.0;19070;17982.0;1080.0;15540.0;14250.0;1291.0;1988.0;1020.0;968.0
78;Prices of 2005;2003 4th quarter;199194;126344;72839;55654;17170;199194;118128;92470;61217;31252;25181;20502;4679;467;81042;63607;17427;112147;30055;2198;21482;4511;14657;3010.0;327.0;1194.0;771.0;2463.0;928.0;1684.0;691.0;1070.0;741.0;1783.0;1467;1044;6392;56013;21497;14120.0;5327.0;2053.0;5742;7966;8444;12418;;;;2442.0;206.0;;26109;23217;13830.0;;;9394.0;2891;15352.0;16459.0;1096.0;;126344;;;15673.0;17819.0;2144.0;107774.0;18568.0;126344;126344;;;;;;;;;92470;;;25663;;;;;;;;;;;;92470;61217;29137.0;8661.0;5352.0;3316.0;11544.0;3314.0;1936.0;6296.0;8946.0;3005.0;5963.0;32431.0;10022.0;3014.0;2030.0;4361.0;3124.0;6099.0;3779.0;61578.0;1842.0;2200.0;31252;16763;14492;92470;77981;14492;25181;25721;7281;6817;4003.0;2816.0;3094;4836;3912.0;1001.0;6;3652;1369.0;1993.0;289.0;540;25181;25721;836;4111;15640;5125;540;81042;3535.0;2946.0;7468.0;1728.0;1636.0;5659.0;10982.0;1506.0;4070.0;3788.0;14641.0;3099.0;1518.0;4982.0;8632.0;3556.0;2198.0;216.0;-545.0;63607;37294.0;26470.0;216.0;17427;2198.0;15773.0;-545.0;72839;2401.0;5926.0;4001.0;2093.0;1698.0;2409.0;7082.0;1542.0;4108.0;3458.0;14285.0;4924.0;2518.0;15426.0;1842.0;-545.0;55654;57387.0;1733.0;17170;15978.0;1188.0;17819.0;16459.0;1361.0;2144.0;1096.0;1043.0
79;Prices of 2005;2003;773774;492105;281603;210645;70920;773774;460943;366658;245449;121213;95049;77837;17204;-769;312589;243186;69368;436743;114666;8401;81180;13740;57917;11382.0;1241.0;4704.0;3166.0;10043.0;3656.0;6798.0;2689.0;4286.0;2915.0;7026.0;5839;4102;25127;218515;83782;54192.0;21137.0;8485.0;22284;31609;32997;47988;;;;9388.0;961.0;;103644;92306;54680.0;;;37652.0;11339;55068.0;59298.0;4209.0;379.0;492105;;;56314.0;64548.0;8225.0;419118.0;72981.0;492105;492105;;;;;;;;;366658;;;94295;;;;;;;;;;;;366658;245449;113654.0;33334.0;20388.0;12977.0;46169.0;12596.0;9773.0;23814.0;34186.0;10108.0;24094.0;129682.0;39745.0;12592.0;8318.0;17755.0;12416.0;23826.0;15013.0;243380.0;11440.0;9360.0;121213;67016;54206;366658;312463;54206;95049;96986;28508;27077;16217.0;10867.0;10579;16338;12917.0;3541.0;328;14120;5530.0;7563.0;1028.0;1938;95049;96986;3651;13698;59220;20392;1938;312589;15165.0;9461.0;29699.0;7686.0;6221.0;21059.0;43456.0;6057.0;15999.0;14343.0;50929.0;12909.0;5719.0;19531.0;33747.0;13861.0;9360.0;772.0;-2063.0;243186;144648.0;98874.0;772.0;69368;9360.0;62063.0;-2063.0;281603;9368.0;23970.0;15296.0;9741.0;6564.0;9402.0;27588.0;6027.0;15833.0;13247.0;49471.0;17733.0;9580.0;59664.0;11440.0;-2063.0;210645;217222.0;6578.0;70920;66384.0;4515.0;64548.0;59298.0;5254.0;8225.0;4209.0;4020.0
80;Prices of 2005;2004 1st quarter;195273;124776;70495;54878;15623;195273;114402;90815;62047;28768;23457;19694;3764;132;80807;64399;16418;110494;30768;2055;22372;5224;14988;2800.0;260.0;1182.0;830.0;2680.0;943.0;1842.0;731.0;1214.0;757.0;1750.0;1328;1040;6337;54686;21081;13615.0;5456.0;2012.0;5517;8352;8146;11585;6774.0;4813.0;1105.0;2075.0;226.0;1407.0;25064;22098;12805.0;7829.0;4976.0;9295.0;2966;13030.0;14056.0;1026.0;;124776;;;13300.0;15352.0;2051.0;106520.0;18258.0;124776;124776;;;;;;;;;90815;;;23585;;;;;;;;;;;;90815;62047;29260.0;8311.0;5282.0;3031.0;11703.0;2853.0;2888.0;5964.0;9240.0;3418.0;5818.0;32811.0;10184.0;2965.0;2011.0;4371.0;3254.0;6293.0;3734.0;62075.0;1876.0;1905.0;28768;16350;12419;90815;78396;12419;23457;23953;7752;6464;3934.0;2532.0;2585;3627;2812.0;814.0;159;3375;1386.0;1733.0;257.0;496;23457;23953;910;3012;14993;5038;496;80807;4025.0;3560.0;7285.0;2050.0;1527.0;5632.0;11386.0;1552.0;4484.0;3528.0;13578.0;3163.0;1419.0;4926.0;7888.0;3558.0;1905.0;157.0;-539.0;64399;37612.0;26785.0;157.0;16418;1905.0;15051.0;-539.0;70495;2753.0;6503.0;3673.0;2663.0;1601.0;2183.0;7124.0;1506.0;4203.0;3272.0;13311.0;4386.0;2338.0;13775.0;1876.0;-539.0;54878;56584.0;1706.0;15623;14456.0;1167.0;15352.0;14056.0;1296.0;2051.0;1026.0;1034.0
81;Prices of 2005;2004 2nd quarter;200276;127330;72938;55461;17475;200276;117758;94437;62131;32306;24432;20562;3870;-1109;82477;64895;17584;113358;29019;2146;20524;2683;15379;2812.0;286.0;1195.0;878.0;2868.0;996.0;1844.0;682.0;1204.0;731.0;1898.0;1570;955;6361;56247;22124;14300.0;5612.0;2213.0;5697;8194;8183;12043;7014.0;5031.0;1123.0;2194.0;258.0;1457.0;28092;25517;15271.0;9132.0;6139.0;10247.0;2576;13927.0;14998.0;1071.0;;127330;;;14221.0;16369.0;2144.0;108856.0;18473.0;127330;127330;;;;;;;;;94437;;;23321;;;;;;;;;;;;94437;62131;28459.0;8323.0;5157.0;3166.0;11882.0;3336.0;2576.0;5968.0;8245.0;2062.0;6184.0;33363.0;10068.0;3316.0;2085.0;4631.0;3311.0;6185.0;3767.0;61827.0;2753.0;2449.0;32306;18007;14300;94437;80138;14300;24432;24913;7465;6628;4037.0;2591.0;2404;4419;3457.0;978.0;253;3725;1432.0;1964.0;327.0;481;24432;24913;998;3716;15076;5118;481;82477;4244.0;2282.0;7842.0;1652.0;1520.0;5214.0;11658.0;1594.0;4478.0;4068.0;13878.0;3658.0;1492.0;5103.0;8265.0;3611.0;2449.0;163.0;-536.0;64895;37681.0;27171.0;163.0;17584;2449.0;15668.0;-536.0;72938;2456.0;6223.0;4046.0;2147.0;1628.0;2214.0;7557.0;1596.0;4354.0;3667.0;13284.0;4315.0;2525.0;14773.0;2753.0;-536.0;55461;57158.0;1697.0;17475;16312.0;1162.0;16369.0;14998.0;1372.0;2144.0;1071.0;1080.0
82;Prices of 2005;2004 3rd quarter;195687;121234;74447;55982;18464;195687;112003;90498;61884;28614;20966;17128;3839;552;83657;65647;18010;107951;27221;2357;19463;2528;14613;2835.0;265.0;1181.0;857.0;2714.0;907.0;1717.0;651.0;1198.0;650.0;1654.0;1481;1007;5407;55901;21400;13779.0;5541.0;2081.0;5431;8756;8345;11998;6594.0;5406.0;1121.0;2607.0;282.0;1398.0;24840;21966;12625.0;7632.0;4993.0;9343.0;2875;13084.0;14077.0;991.0;;121234;;;13361.0;15378.0;2011.0;102544.0;18689.0;121234;121234;;;;;;;;;90498;;;21512;;;;;;;;;;;;90498;61884;27222.0;8208.0;5036.0;3173.0;11335.0;3275.0;2264.0;5796.0;7691.0;1644.0;6048.0;33149.0;10157.0;3173.0;2172.0;4777.0;3208.0;5979.0;3670.0;60373.0;4126.0;2615.0;28614;16009;12608;90498;77892;12608;20966;21383;6765;5448;3236.0;2213.0;2261;3589;2735.0;864.0;-52;3383;1291.0;1821.0;272.0;417;20966;21383;598;2739;13522;4524;417;83657;4091.0;2119.0;7679.0;2191.0;1521.0;5706.0;11511.0;1529.0;4253.0;3914.0;14977.0;3499.0;1476.0;5346.0;8524.0;3377.0;2615.0;121.0;-552.0;65647;37510.0;28171.0;121.0;18010;2615.0;15945.0;-552.0;74447;2166.0;6299.0;3935.0;2895.0;1621.0;2668.0;7831.0;1513.0;4120.0;3263.0;14172.0;3974.0;2354.0;14328.0;4126.0;-552.0;55982;57751.0;1769.0;18464;17245.0;1217.0;15378.0;14077.0;1301.0;2011.0;991.0;1026.0
83;Prices of 2005;2004 4th quarter;209537;129774;79764;61348;18398;209537;119257;93233;61795;31437;24700;20242;4458;1323;90276;70631;19635;115103;30888;2318;22196;4785;15132;3045.0;279.0;1237.0;731.0;2484.0;1003.0;1829.0;711.0;1225.0;799.0;1769.0;1510;1003;6382;57953;22480;14757.0;5655.0;2069.0;5779;8751;8458;12508;7083.0;5428.0;1157.0;2579.0;207.0;1487.0;26280;23488;13824.0;8191.0;5634.0;9667.0;2791;15715.0;16749.0;1034.0;;129774;;;15929.0;18131.0;2199.0;110862.0;18911.0;129774;129774;;;;;;;;;93233;;;26028;;;;;;;;;;;;93233;61795;29197.0;8812.0;5548.0;3264.0;11453.0;3294.0;1939.0;6223.0;8947.0;2941.0;6021.0;33261.0;10112.0;3059.0;2018.0;4483.0;3306.0;6542.0;3743.0;62457.0;1700.0;2361.0;31437;17110;14327;93233;78906;14327;24700;25228;7683;6408;3740.0;2669.0;3054;4303;3134.0;1174.0;19;3774;1401.0;1982.0;391.0;528;24700;25228;773;3180;16100;5177;528;90276;3824.0;3462.0;8024.0;1819.0;1549.0;5595.0;11351.0;1613.0;4298.0;4064.0;18500.0;3385.0;1618.0;5206.0;10358.0;3713.0;2361.0;192.0;-591.0;70631;39020.0;31577.0;192.0;19635;2361.0;17865.0;-591.0;79764;2541.0;6115.0;4183.0;2201.0;1654.0;2695.0;7868.0;1569.0;4395.0;3597.0;17586.0;5038.0;2492.0;16709.0;1700.0;-591.0;61348;63236.0;1887.0;18398;17098.0;1296.0;18131.0;16749.0;1383.0;2199.0;1034.0;1173.0
