ID;TypeOfMonument;Regions;Periods;ListedMonumentsAndHistoricBuildings_1
167;Listed monuments total ;Utrecht (CR);2015;5509
168;Listed monuments total ;Utrecht (CR);2016;5618
169;Listed monuments total ;Utrecht (CR);2017;5618
170;Listed monuments total ;Kop van Noord-Holland (CR);2013;1543
171;Listed monuments total ;Kop van Noord-Holland (CR);2014;1540
172;Listed monuments total ;Kop van Noord-Holland (CR);2015;1539
173;Listed monuments total ;Kop van Noord-Holland (CR);2016;1540
174;Listed monuments total ;Kop van Noord-Holland (CR);2017;1540
175;Listed monuments total ;Alkmaar en omgeving (CR);2013;774
176;Listed monuments total ;Alkmaar en omgeving (CR);2014;774
177;Listed monuments total ;Alkmaar en omgeving (CR);2015;773
178;Listed monuments total ;Alkmaar en omgeving (CR);2016;772
179;Listed monuments total ;Alkmaar en omgeving (CR);2017;772
180;Listed monuments total ;IJmond (CR);2013;273
181;Listed monuments total ;IJmond (CR);2014;276
182;Listed monuments total ;IJmond (CR);2015;276
183;Listed monuments total ;IJmond (CR);2016;276
184;Listed monuments total ;IJmond (CR);2017;276
185;Listed monuments total ;Agglomeratie Haarlem (CR);2013;1590
186;Listed monuments total ;Agglomeratie Haarlem (CR);2014;1589
187;Listed monuments total ;Agglomeratie Haarlem (CR);2015;1591
188;Listed monuments total ;Agglomeratie Haarlem (CR);2016;1590
189;Listed monuments total ;Agglomeratie Haarlem (CR);2017;1590
190;Listed monuments total ;Zaanstreek (CR);2013;309
191;Listed monuments total ;Zaanstreek (CR);2014;309
192;Listed monuments total ;Zaanstreek (CR);2015;309
193;Listed monuments total ;Zaanstreek (CR);2016;309
194;Listed monuments total ;Zaanstreek (CR);2017;309
195;Listed monuments total ;Groot-Amsterdam (CR);2013;8348
196;Listed monuments total ;Groot-Amsterdam (CR);2014;8346
197;Listed monuments total ;Groot-Amsterdam (CR);2015;8344
198;Listed monuments total ;Groot-Amsterdam (CR);2016;8352
199;Listed monuments total ;Groot-Amsterdam (CR);2017;8350
200;Listed monuments total ;Het Gooi en Vechtstreek (CR);2013;1249
201;Listed monuments total ;Het Gooi en Vechtstreek (CR);2014;1203
202;Listed monuments total ;Het Gooi en Vechtstreek (CR);2015;1202
203;Listed monuments total ;Het Gooi en Vechtstreek (CR);2016;1205
204;Listed monuments total ;Het Gooi en Vechtstreek (CR);2017;1205
205;Listed monuments total ;Agglomeratie Leiden en Bollenstreek (CR);2013;1809
206;Listed monuments total ;Agglomeratie Leiden en Bollenstreek (CR);2014;1808
207;Listed monuments total ;Agglomeratie Leiden en Bollenstreek (CR);2015;1808
208;Listed monuments total ;Agglomeratie Leiden en Bollenstreek (CR);2016;1807
209;Listed monuments total ;Agglomeratie Leiden en Bollenstreek (CR);2017;1807
210;Listed monuments total ;Agglomeratie 's-Gravenhage (CR);2013;1744
211;Listed monuments total ;Agglomeratie 's-Gravenhage (CR);2014;1748
212;Listed monuments total ;Agglomeratie 's-Gravenhage (CR);2015;1747
213;Listed monuments total ;Agglomeratie 's-Gravenhage (CR);2016;1746
214;Listed monuments total ;Agglomeratie 's-Gravenhage (CR);2017;1747
215;Listed monuments total ;Delft en Westland (CR);2013;870
216;Listed monuments total ;Delft en Westland (CR);2014;871
217;Listed monuments total ;Delft en Westland (CR);2015;871
218;Listed monuments total ;Delft en Westland (CR);2016;871
219;Listed monuments total ;Delft en Westland (CR);2017;871
220;Listed monuments total ;Oost-Zuid-Holland (CR);2013;942
221;Listed monuments total ;Oost-Zuid-Holland (CR);2014;942
222;Listed monuments total ;Oost-Zuid-Holland (CR);2015;941
223;Listed monuments total ;Oost-Zuid-Holland (CR);2016;941
224;Listed monuments total ;Oost-Zuid-Holland (CR);2017;941
225;Listed monuments total ;Groot-Rijnmond (CR);2013;2185
226;Listed monuments total ;Groot-Rijnmond (CR);2014;2220
227;Listed monuments total ;Groot-Rijnmond (CR);2015;2221
228;Listed monuments total ;Groot-Rijnmond (CR);2016;2225
229;Listed monuments total ;Groot-Rijnmond (CR);2017;2223
230;Listed monuments total ;Zuidoost-Zuid-Holland (CR);2013;1569
231;Listed monuments total ;Zuidoost-Zuid-Holland (CR);2014;1571
232;Listed monuments total ;Zuidoost-Zuid-Holland (CR);2015;1571
233;Listed monuments total ;Zuidoost-Zuid-Holland (CR);2016;1568
234;Listed monuments total ;Zuidoost-Zuid-Holland (CR);2017;1568
235;Listed monuments total ;Zeeuwsch-Vlaanderen (CR);2013;388
236;Listed monuments total ;Zeeuwsch-Vlaanderen (CR);2014;385
237;Listed monuments total ;Zeeuwsch-Vlaanderen (CR);2015;385
238;Listed monuments total ;Zeeuwsch-Vlaanderen (CR);2016;385
239;Listed monuments total ;Zeeuwsch-Vlaanderen (CR);2017;385
240;Listed monuments total ;Overig Zeeland (CR);2013;3302
241;Listed monuments total ;Overig Zeeland (CR);2014;3294
242;Listed monuments total ;Overig Zeeland (CR);2015;3290
243;Listed monuments total ;Overig Zeeland (CR);2016;3292
244;Listed monuments total ;Overig Zeeland (CR);2017;3292
245;Listed monuments total ;West-Noord-Brabant (CR);2013;1659
246;Listed monuments total ;West-Noord-Brabant (CR);2014;1658
247;Listed monuments total ;West-Noord-Brabant (CR);2015;1658
248;Listed monuments total ;West-Noord-Brabant (CR);2016;1653
249;Listed monuments total ;West-Noord-Brabant (CR);2017;1653
250;Listed monuments total ;Midden-Noord-Brabant (CR);2013;1061
251;Listed monuments total ;Midden-Noord-Brabant (CR);2014;1061
252;Listed monuments total ;Midden-Noord-Brabant (CR);2015;1096
253;Listed monuments total ;Midden-Noord-Brabant (CR);2016;1092
254;Listed monuments total ;Midden-Noord-Brabant (CR);2017;1091
255;Listed monuments total ;Noordoost-Noord-Brabant (CR);2013;2076
256;Listed monuments total ;Noordoost-Noord-Brabant (CR);2014;2075
257;Listed monuments total ;Noordoost-Noord-Brabant (CR);2015;2076
258;Listed monuments total ;Noordoost-Noord-Brabant (CR);2016;2076
259;Listed monuments total ;Noordoost-Noord-Brabant (CR);2017;2075
260;Listed monuments total ;Zuidoost-Noord-Brabant (CR);2013;1014
261;Listed monuments total ;Zuidoost-Noord-Brabant (CR);2014;1012
262;Listed monuments total ;Zuidoost-Noord-Brabant (CR);2015;1011
263;Listed monuments total ;Zuidoost-Noord-Brabant (CR);2016;1011
264;Listed monuments total ;Zuidoost-Noord-Brabant (CR);2017;1011
265;Listed monuments total ;Noord-Limburg (CR);2013;532
266;Listed monuments total ;Noord-Limburg (CR);2014;530
267;Listed monuments total ;Noord-Limburg (CR);2015;529
268;Listed monuments total ;Noord-Limburg (CR);2016;530
269;Listed monuments total ;Noord-Limburg (CR);2017;530
270;Listed monuments total ;Midden-Limburg (CR);2013;822
271;Listed monuments total ;Midden-Limburg (CR);2014;822
272;Listed monuments total ;Midden-Limburg (CR);2015;822
273;Listed monuments total ;Midden-Limburg (CR);2016;822
274;Listed monuments total ;Midden-Limburg (CR);2017;822
275;Listed monuments total ;Zuid-Limburg (CR);2013;3990
276;Listed monuments total ;Zuid-Limburg (CR);2014;3989
277;Listed monuments total ;Zuid-Limburg (CR);2015;3988
278;Listed monuments total ;Zuid-Limburg (CR);2016;3989
279;Listed monuments total ;Zuid-Limburg (CR);2017;3990
280;Listed monuments total ;Flevoland (CR);2013;79
281;Listed monuments total ;Flevoland (CR);2014;81
282;Listed monuments total ;Flevoland (CR);2015;81
283;Listed monuments total ;Flevoland (CR);2016;82
284;Listed monuments total ;Flevoland (CR);2017;82
285;Listed monuments total ;Aa en Hunze;2013;76
286;Listed monuments total ;Aa en Hunze;2014;76
287;Listed monuments total ;Aa en Hunze;2015;76
288;Listed monuments total ;Aa en Hunze;2016;76
289;Listed monuments total ;Aa en Hunze;2017;76
290;Listed monuments total ;Aalburg;2013;47
291;Listed monuments total ;Aalburg;2014;47
292;Listed monuments total ;Aalburg;2015;47
293;Listed monuments total ;Aalburg;2016;47
294;Listed monuments total ;Aalburg;2017;47
295;Listed monuments total ;Aalsmeer;2013;38
296;Listed monuments total ;Aalsmeer;2014;37
297;Listed monuments total ;Aalsmeer;2015;37
298;Listed monuments total ;Aalsmeer;2016;37
299;Listed monuments total ;Aalsmeer;2017;37
300;Listed monuments total ;Aalten;2013;61
301;Listed monuments total ;Aalten;2014;61
302;Listed monuments total ;Aalten;2015;61
303;Listed monuments total ;Aalten;2016;61
304;Listed monuments total ;Aalten;2017;61
305;Listed monuments total ;Achtkarspelen;2013;66
306;Listed monuments total ;Achtkarspelen;2014;66
307;Listed monuments total ;Achtkarspelen;2015;66
308;Listed monuments total ;Achtkarspelen;2016;66
309;Listed monuments total ;Achtkarspelen;2017;66
310;Listed monuments total ;Alblasserdam;2013;20
311;Listed monuments total ;Alblasserdam;2014;20
312;Listed monuments total ;Alblasserdam;2015;20
313;Listed monuments total ;Alblasserdam;2016;20
314;Listed monuments total ;Alblasserdam;2017;20
315;Listed monuments total ;Albrandswaard;2013;27
316;Listed monuments total ;Albrandswaard;2014;27
317;Listed monuments total ;Albrandswaard;2015;27
318;Listed monuments total ;Albrandswaard;2016;27
319;Listed monuments total ;Albrandswaard;2017;27
320;Listed monuments total ;Alkmaar;2013;578
321;Listed monuments total ;Alkmaar;2014;578
322;Listed monuments total ;Alkmaar;2015;577
323;Listed monuments total ;Alkmaar;2016;577
324;Listed monuments total ;Alkmaar;2017;577
325;Listed monuments total ;Almelo;2013;76
326;Listed monuments total ;Almelo;2014;76
327;Listed monuments total ;Almelo;2015;77
328;Listed monuments total ;Almelo;2016;77
329;Listed monuments total ;Almelo;2017;77
330;Listed monuments total ;Almere;2013;0
331;Listed monuments total ;Almere;2014;0
332;Listed monuments total ;Almere;2015;0
333;Listed monuments total ;Almere;2016;0
334;Listed monuments total ;Almere;2017;0
335;Listed monuments total ;Alphen aan den Rijn;2013;167
336;Listed monuments total ;Alphen aan den Rijn;2014;167
337;Listed monuments total ;Alphen aan den Rijn;2015;167
338;Listed monuments total ;Alphen aan den Rijn;2016;167
339;Listed monuments total ;Alphen aan den Rijn;2017;167
340;Listed monuments total ;Alphen-Chaam;2013;61
341;Listed monuments total ;Alphen-Chaam;2014;61
342;Listed monuments total ;Alphen-Chaam;2015;61
343;Listed monuments total ;Alphen-Chaam;2016;61
344;Listed monuments total ;Alphen-Chaam;2017;61
345;Listed monuments total ;Ameland;2013;113
346;Listed monuments total ;Ameland;2014;112
347;Listed monuments total ;Ameland;2015;112
348;Listed monuments total ;Ameland;2016;112
349;Listed monuments total ;Ameland;2017;112
350;Listed monuments total ;Amersfoort;2013;457
351;Listed monuments total ;Amersfoort;2014;457
352;Listed monuments total ;Amersfoort;2015;457
353;Listed monuments total ;Amersfoort;2016;457
354;Listed monuments total ;Amersfoort;2017;457
355;Listed monuments total ;Amstelveen;2013;71
356;Listed monuments total ;Amstelveen;2014;72
357;Listed monuments total ;Amstelveen;2015;72
358;Listed monuments total ;Amstelveen;2016;72
359;Listed monuments total ;Amstelveen;2017;71
360;Listed monuments total ;Amsterdam;2013;7504
361;Listed monuments total ;Amsterdam;2014;7502
362;Listed monuments total ;Amsterdam;2015;7499
363;Listed monuments total ;Amsterdam;2016;7507
364;Listed monuments total ;Amsterdam;2017;7506
365;Listed monuments total ;Apeldoorn;2013;172
366;Listed monuments total ;Apeldoorn;2014;173
367;Listed monuments total ;Apeldoorn;2015;173
368;Listed monuments total ;Apeldoorn;2016;173
369;Listed monuments total ;Apeldoorn;2017;174
370;Listed monuments total ;Appingedam;2013;75
371;Listed monuments total ;Appingedam;2014;76
372;Listed monuments total ;Appingedam;2015;76
373;Listed monuments total ;Appingedam;2016;76
374;Listed monuments total ;Appingedam;2017;76
375;Listed monuments total ;Arnhem;2013;545
376;Listed monuments total ;Arnhem;2014;545
377;Listed monuments total ;Arnhem;2015;555
378;Listed monuments total ;Arnhem;2016;557
379;Listed monuments total ;Arnhem;2017;558
380;Listed monuments total ;Assen;2013;135
381;Listed monuments total ;Assen;2014;135
382;Listed monuments total ;Assen;2015;135
383;Listed monuments total ;Assen;2016;135
384;Listed monuments total ;Assen;2017;135
385;Listed monuments total ;Asten;2013;22
386;Listed monuments total ;Asten;2014;20
387;Listed monuments total ;Asten;2015;20
388;Listed monuments total ;Asten;2016;20
389;Listed monuments total ;Asten;2017;20
390;Listed monuments total ;Baarle-Nassau;2013;15
391;Listed monuments total ;Baarle-Nassau;2014;15
392;Listed monuments total ;Baarle-Nassau;2015;15
393;Listed monuments total ;Baarle-Nassau;2016;15
394;Listed monuments total ;Baarle-Nassau;2017;15
395;Listed monuments total ;Baarn;2013;149
396;Listed monuments total ;Baarn;2014;149
397;Listed monuments total ;Baarn;2015;149
398;Listed monuments total ;Baarn;2016;148
399;Listed monuments total ;Baarn;2017;148
400;Listed monuments total ;Barendrecht;2013;19
401;Listed monuments total ;Barendrecht;2014;19
402;Listed monuments total ;Barendrecht;2015;19
403;Listed monuments total ;Barendrecht;2016;19
404;Listed monuments total ;Barendrecht;2017;19
405;Listed monuments total ;Barneveld;2013;32
406;Listed monuments total ;Barneveld;2014;32
407;Listed monuments total ;Barneveld;2015;32
408;Listed monuments total ;Barneveld;2016;32
409;Listed monuments total ;Barneveld;2017;32
410;Listed monuments total ;Bedum;2013;70
411;Listed monuments total ;Bedum;2014;70
412;Listed monuments total ;Bedum;2015;70
413;Listed monuments total ;Bedum;2016;70
414;Listed monuments total ;Bedum;2017;70
415;Listed monuments total ;Beek (L.);2013;54
416;Listed monuments total ;Beek (L.);2014;54
417;Listed monuments total ;Beek (L.);2015;54
418;Listed monuments total ;Beek (L.);2016;54
419;Listed monuments total ;Beek (L.);2017;54
420;Listed monuments total ;Beemster;2013;89
421;Listed monuments total ;Beemster;2014;89
422;Listed monuments total ;Beemster;2015;89
423;Listed monuments total ;Beemster;2016;89
424;Listed monuments total ;Beemster;2017;89
425;Listed monuments total ;Beesel;2013;20
426;Listed monuments total ;Beesel;2014;20
427;Listed monuments total ;Beesel;2015;20
428;Listed monuments total ;Beesel;2016;20
429;Listed monuments total ;Beesel;2017;20
430;Listed monuments total ;Bellingwedde;2013;79
431;Listed monuments total ;Bellingwedde;2014;79
432;Listed monuments total ;Bellingwedde;2015;79
433;Listed monuments total ;Bellingwedde;2016;79
434;Listed monuments total ;Bellingwedde;2017;79
435;Listed monuments total ;Berg en Dal;2013;98
436;Listed monuments total ;Berg en Dal;2014;98
437;Listed monuments total ;Berg en Dal;2015;98
438;Listed monuments total ;Berg en Dal;2016;98
439;Listed monuments total ;Berg en Dal;2017;98
440;Listed monuments total ;Bergeijk;2013;35
441;Listed monuments total ;Bergeijk;2014;35
442;Listed monuments total ;Bergeijk;2015;35
443;Listed monuments total ;Bergeijk;2016;35
444;Listed monuments total ;Bergeijk;2017;35
445;Listed monuments total ;Bergen (L.);2013;27
446;Listed monuments total ;Bergen (L.);2014;26
447;Listed monuments total ;Bergen (L.);2015;26
448;Listed monuments total ;Bergen (L.);2016;26
449;Listed monuments total ;Bergen (L.);2017;26
450;Listed monuments total ;Bergen (NH.);2013;134
451;Listed monuments total ;Bergen (NH.);2014;134
452;Listed monuments total ;Bergen (NH.);2015;134
453;Listed monuments total ;Bergen (NH.);2016;133
454;Listed monuments total ;Bergen (NH.);2017;133
455;Listed monuments total ;Bergen op Zoom;2013;328
456;Listed monuments total ;Bergen op Zoom;2014;328
457;Listed monuments total ;Bergen op Zoom;2015;328
458;Listed monuments total ;Bergen op Zoom;2016;323
459;Listed monuments total ;Bergen op Zoom;2017;323
460;Listed monuments total ;Berkelland;2013;119
461;Listed monuments total ;Berkelland;2014;119
462;Listed monuments total ;Berkelland;2015;119
463;Listed monuments total ;Berkelland;2016;119
464;Listed monuments total ;Berkelland;2017;119
465;Listed monuments total ;Bernheze;2013;64
466;Listed monuments total ;Bernheze;2014;64
467;Listed monuments total ;Bernheze;2015;64
468;Listed monuments total ;Bernheze;2016;64
469;Listed monuments total ;Bernheze;2017;64
470;Listed monuments total ;Best;2013;24
471;Listed monuments total ;Best;2014;24
472;Listed monuments total ;Best;2015;24
473;Listed monuments total ;Best;2016;24
474;Listed monuments total ;Best;2017;24
475;Listed monuments total ;Beuningen;2013;56
476;Listed monuments total ;Beuningen;2014;56
477;Listed monuments total ;Beuningen;2015;56
478;Listed monuments total ;Beuningen;2016;55
479;Listed monuments total ;Beuningen;2017;55
480;Listed monuments total ;Beverwijk;2013;41
481;Listed monuments total ;Beverwijk;2014;41
482;Listed monuments total ;Beverwijk;2015;41
483;Listed monuments total ;Beverwijk;2016;41
484;Listed monuments total ;Beverwijk;2017;41
485;Listed monuments total ;het Bildt;2013;52
486;Listed monuments total ;het Bildt;2014;51
487;Listed monuments total ;het Bildt;2015;51
488;Listed monuments total ;het Bildt;2016;50
489;Listed monuments total ;het Bildt;2017;50
490;Listed monuments total ;De Bilt;2013;158
491;Listed monuments total ;De Bilt;2014;158
492;Listed monuments total ;De Bilt;2015;158
493;Listed monuments total ;De Bilt;2016;177
494;Listed monuments total ;De Bilt;2017;176
495;Listed monuments total ;Binnenmaas;2013;71
496;Listed monuments total ;Binnenmaas;2014;71
497;Listed monuments total ;Binnenmaas;2015;70
498;Listed monuments total ;Binnenmaas;2016;70
499;Listed monuments total ;Binnenmaas;2017;70
500;Listed monuments total ;Bladel;2013;24
501;Listed monuments total ;Bladel;2014;24
502;Listed monuments total ;Bladel;2015;24
503;Listed monuments total ;Bladel;2016;24
504;Listed monuments total ;Bladel;2017;24
505;Listed monuments total ;Blaricum;2013;68
506;Listed monuments total ;Blaricum;2014;68
507;Listed monuments total ;Blaricum;2015;68
508;Listed monuments total ;Blaricum;2016;68
509;Listed monuments total ;Blaricum;2017;68
510;Listed monuments total ;Bloemendaal;2013;272
511;Listed monuments total ;Bloemendaal;2014;272
512;Listed monuments total ;Bloemendaal;2015;273
513;Listed monuments total ;Bloemendaal;2016;273
514;Listed monuments total ;Bloemendaal;2017;273
515;Listed monuments total ;Bodegraven-Reeuwijk;2013;53
516;Listed monuments total ;Bodegraven-Reeuwijk;2014;53
517;Listed monuments total ;Bodegraven-Reeuwijk;2015;53
518;Listed monuments total ;Bodegraven-Reeuwijk;2016;53
519;Listed monuments total ;Bodegraven-Reeuwijk;2017;53
520;Listed monuments total ;Boekel;2013;13
521;Listed monuments total ;Boekel;2014;13
522;Listed monuments total ;Boekel;2015;13
523;Listed monuments total ;Boekel;2016;13
524;Listed monuments total ;Boekel;2017;13
