ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;OnderdelenEnAccessoires_28;BandenVoorAutoSEnMotorfietsen_29;BandenVoorVliegtuigenLandbouwED_30;OverigeHandelsactiviteiten_31;ReparatiesInclGebruikteOnderdelen_32;OverigeDienstverlening_33;OntvangstenVoorUitleenEnSubsidie_34;TotaalPersoneelskosten_35;BrutoLonenEnSalarissen_36;SocialeLasten_37;Pensioenpremies_38;KostenUitzendkrachten_39;KostenIngeleendPersoneel_40;OverigePersoneelskosten_41;TotaalOverigeBedrijfslasten_42;TotaalHuisvestingskosten_43;BetaaldeHurenPachtenEDVanLeasing_44;OnroerendeZaakbelastingMilieuheffing_45;Energiekosten_46;ReparatieEnOnderhoudskosten_47;Verzekeringen_48;OverigeHuisvestingskosten_49;TotaalInventarisEnMachinekosten_50;BetaaldeHurenEnKostenVanOperLease_51;Onderhoudskosten_52;OverigeInventarisEnMachinekosten_53;TotaalAutokosten_54;BetaaldeHurenEnKostenVanOperLease_55;Brandstof_56;OverigeAutokosten_57;TotaalVerkoopkosten_58;ReclameEnAdvertentiekosten_59;ReisVerblijfsEnRepresentatiekosten_60;OverigeVerkoopkosten_61;TotaalAndereKosten_62;AccountantsEnAdviesdiensten_63;KantoorbenodigdhDrukwerkVakliteratuur_64;OverigeVerzekeringen_65;OverigeKostprijsverhogendeBelastingen_66;Communicatiekosten_67;Beheerskosten_68;OverigeAutomatiseringskosten_69;NogNietEerderGenoemdeBedrijfskosten_70;TotaalAantalWerkzamePersonen_71;WerknemersOpDeLoonlijst_72;WerknemersNietOpLoonlijst_73;OverigPersoneel_74;AantalVte_75;TotaalInvesteringen_76;TotaalMaterieleVasteActiva_77;Bedrijfsruimten_78;Vervoermiddelen_79;Computers_80;OverigeMachinesApparatenED_81;OverigeMaterieleVasteActiva_82;TotaalImmaterieleVasteActiva_83
10;1 000 000 tot 2 000 000 euro;1998;2.1;285;283;2;281;2;270;71.8;13.8;2.7;11.7;32;8;1;3;7;13;15;-3;12;31.4;3.8;4.1;3.7;;;283;81.8;16.0;0.4;1.3;0.3;0.3;0.6;37;77.5;9.4;4.0;0.5;2.9;6.2;32;8;;;;;;;1;;;;3;;;;7;;;;13;;;;;;;;;15;93.4;4.5;2.1;13;10;99.0;21.1;31.8;7.1;25.3;13.6;1.0
11;1 000 000 tot 2 000 000 euro;1999;1.8;273;272;9;263;1;259;72.1;14.5;2.2;11.1;29;8;1;3;6;11;13;-2;11;31.2;3.7;4.1;2.3;;;272;76.9;18.7;0.2;0.7;2.7;0.0;1.2;38;79.0;10.8;5.2;0.8;1.5;3.9;29;8;;;;;;;1;;;;3;;;;6;;;;11;;;;;;;;;16;95.9;4.7;-0.6;13;6;93.0;18.5;17.6;11.1;28.6;17.3;7.0
12;2 000 000 tot 3 000 000 euro;1996;0.9;243;242;7;235;1;233;74.6;14.1;1.9;9.4;22;5;1;3;4;8;9;-3;6;28.2;2.2;2.7;1.4;232.3;29.6;242;64.4;18.5;1.2;13.1;2.6;0.3;0.3;33;80.7;5.9;3.5;0.4;6.2;3.7;22;5;69.6;1.7;12.3;7.9;3.4;5.1;1;4.8;71.7;23.5;3;10.2;35.4;54.4;4;28.7;14.8;56.5;8;19.9;15.5;9.9;0.0;15.8;23.0;2.6;13.3;11;99.6;0.3;0.2;10;4;100.0;2.8;38.9;15.6;26.6;16.1;0.0
13;2 000 000 tot 3 000 000 euro;1997;1.2;306;304;6;297;2;292;73.6;15.5;2.1;8.8;26;6;1;4;6;9;14;-4;10;29.3;3.1;3.2;1.8;223.0;32.9;304;74.7;19.9;0.8;2.5;1.5;0.7;4.6;45;83.1;5.5;6.5;0.5;4.7;4.3;26;6;61.8;2.0;14.2;13.3;3.7;5.0;1;6.5;63.5;29.9;4;21.5;37.5;41.0;6;38.9;14.0;47.1;9;18.7;14.8;9.2;0.0;16.9;23.5;4.7;12.3;15;100.2;0.1;-0.3;14;5;99.2;15.3;52.2;13.0;17.3;1.4;0.8
14;2 000 000 tot 3 000 000 euro;1998;0.9;241;240;14;226;1;225;72.2;16.3;2.0;9.6;22;6;1;2;5;7;16;-1;15;32.3;5.1;6.2;2.4;;;240;68.7;16.8;0.0;8.6;5.1;0.9;1.5;37;81.2;8.9;5.5;0.4;0.5;5.1;22;6;;;;;;;1;;;;2;;;;5;;;;7;;;;;;;;;13;99.8;0.2;0.0;11;6;98.8;26.0;34.0;4.6;20.9;13.3;1.2
15;2 000 000 tot 3 000 000 euro;1999;0.5;121;121;3;118;0;116;72.9;15.8;1.9;9.4;11;4;1;1;2;3;5;-2;3;30.2;2.5;2.2;2.0;;;121;71.9;23.9;0.1;1.8;1.7;0.0;0.8;18;79.5;10.1;6.2;1.0;0.1;3.9;11;4;;;;;;;1;;;;1;;;;2;;;;3;;;;;;;;;7;98.0;2.0;0.0;6;2;95.7;20.4;30.2;18.7;20.7;5.7;4.3
16;3 000 000 euro en meer;1996;1.6;2823;2810;32;2778;13;2708;84.2;7.9;1.0;6.9;186;32;7;19;66;62;115;-15;100;18.8;3.4;3.5;0.9;425.4;32.9;2810;53.6;42.0;0.9;2.4;0.8;0.3;1.0;215;80.2;6.2;5.1;3.2;1.5;4.9;186;32;62.2;2.0;15.0;10.5;2.4;7.8;7;25.6;41.7;32.7;19;36.0;24.9;39.0;66;25.0;11.9;63.1;62;10.3;8.3;5.0;0.3;14.2;33.3;9.5;19.1;72;95.6;0.6;3.8;66;26;99.1;7.5;30.8;7.4;23.5;29.7;0.9
17;3 000 000 euro en meer;1997;1.6;3119;3105;40;3065;14;3006;85.3;7.5;0.9;6.2;187;34;8;19;59;67;113;-13;100;17.4;3.3;3.2;1.0;439.6;32.5;3105;52.6;42.5;0.9;2.7;1.0;0.3;1.1;227;79.7;6.5;5.3;3.5;1.1;4.9;187;34;65.1;1.8;15.6;8.4;1.9;7.2;8;28.9;38.4;32.7;19;37.2;28.1;34.7;59;31.5;13.0;55.5;67;12.1;8.2;5.2;0.2;13.4;36.6;7.8;16.4;75;95.5;0.4;4.1;71;31;95.2;11.3;22.5;11.1;22.0;28.4;4.8
18;3 000 000 euro en meer;1998;1.8;3663;3652;40;3610;11;3538;86.1;7.1;0.9;5.9;209;37;9;21;64;79;126;-24;102;16.5;2.8;2.8;1.1;;;3652;54.2;42.2;0.9;1.6;0.9;0.2;1.1;250;76.5;9.5;4.8;3.9;1.2;5.2;209;37;;;;;;;9;;;;21;;;;64;;;;79;;;;;;;;;82;95.4;0.3;4.2;75;41;96.3;21.6;19.5;8.8;18.7;27.7;3.7
19;3 000 000 euro en meer;1999;2.0;4399;4384;48;4336;15;4249;87.3;6.5;0.7;5.4;230;41;10;23;88;68;150;-25;125;15.4;2.8;2.9;1.0;;;4384;49.6;47.0;0.9;1.4;0.9;0.0;1.0;276;75.2;10.0;5.3;4.5;0.9;5.1;230;41;;;;;;;10;;;;23;;;;88;;;;68;;;;;;;;;88;95.4;0.3;4.3;79;45;92.7;29.5;17.5;9.4;22.9;13.5;7.3
