ID;VorderingenEnSchulden;BalansstandenEnTransacties;Perioden;Totaal_1;ChartaalGeldEnDepositoS_2;TotaalEffectenBehalveAandelen_3;KortlopendeEffecten_4;LanglopendeEffecten_5;FinancieleDerivaten_6;TotaalLeningen_7;KortlopendeLeningen_8;LanglopendeLeningen_9;TotaalAandelenEnOverigeDeelnemingen_10;BeursgenoteerdeAandelen_11;OverigeAandelenEnDeelnemingen_12;HandelskredietenTransitorischePosten_13
44;Vorderingen;Beginbalans;2007;76303;371;315;0;0;315.0;20345;4567;15778;36341.0;0.0;36341.0;18931
45;Vorderingen;Beginbalans;2008 1e kwartaal*;90756;4105;-932;0;0;-932.0;24875;6606;18269;43293.0;0.0;43293.0;19415
46;Vorderingen;Beginbalans;2008 2e kwartaal*;88560;1469;-690;0;0;-690.0;23214;6679;16535;46003.0;0.0;46003.0;18564
47;Vorderingen;Beginbalans;2008 3e kwartaal*;99896;6839;-981;0;0;-981.0;23594;6090;17504;51383.0;0.0;51383.0;19061
48;Vorderingen;Beginbalans;2008 4e kwartaal*;110456;15914;116;0;0;116.0;24245;6100;18145;51225.0;0.0;51225.0;18956
49;Vorderingen;Beginbalans;2008*;90756;4105;-932;0;0;-932.0;24875;6606;18269;43293.0;0.0;43293.0;19415
50;Vorderingen;Beginbalans;2009 1e kwartaal*;186240;4112;1935;0;0;1935.0;75436;45835;29601;82165.0;0.0;82165.0;22592
51;Vorderingen;Beginbalans;2009 2e kwartaal*;185042;953;584;0;16;568.0;73918;44755;29163;89120.0;0.0;89120.0;20467
52;Vorderingen;Beginbalans;2009 3e kwartaal*;200294;19272;18667;0;19568;-901.0;51547;22017;29530;89037.0;0.0;89037.0;21771
53;Vorderingen;Beginbalans;2009 4e kwartaal*;179496;4539;18160;0;18287;-127.0;46864;17366;29498;88017.0;0.0;88017.0;21916
54;Vorderingen;Beginbalans;2009*;186240;4112;1935;0;0;1935.0;75436;45835;29601;82165.0;0.0;82165.0;22592
55;Vorderingen;Beginbalans;2010 1e kwartaal*;169745;389;16118;0;16338;-220.0;48084;19055;29029;79542.0;0.0;79542.0;25612
56;Vorderingen;Beginbalans;2010 2e kwartaal*;168669;846;16625;0;16610;15.0;51233;22964;28269;78161.0;0.0;78161.0;21804
57;Vorderingen;Beginbalans;2010 3e kwartaal*;182992;2246;19337;0;17201;2136.0;56718;27781;28937;77774.0;0.0;77774.0;26917
58;Vorderingen;Beginbalans;2010 4e kwartaal*;170952;1387;20864;0;14641;6223.0;47381;20355;27026;76272.0;0.0;76272.0;25048
59;Vorderingen;Beginbalans;2010*;169745;389;16118;0;16338;-220.0;48084;19055;29029;79542.0;0.0;79542.0;25612
60;Vorderingen;Beginbalans;2011 1e kwartaal*;169239;170;15556;0;13505;2051.0;44971;15983;28988;79179.0;0.0;79179.0;29363
61;Vorderingen;Beginbalans;2011 2e kwartaal*;168350;466;13042;0;11930;1112.0;48302;18605;29697;75507.0;0.0;75507.0;31033
62;Vorderingen;Financiële transacties;1999 1e kwartaal;-3256;-2863;0;0;0;0.0;-447;-421;-26;10.0;0.0;10.0;44
63;Vorderingen;Financiële transacties;1999 2e kwartaal;44;740;0;0;0;0.0;-137;-111;-26;-897.0;0.0;-897.0;338
64;Vorderingen;Financiële transacties;1999 3e kwartaal;-786;731;0;0;0;0.0;-333;-307;-26;-206.0;-117.0;-89.0;-978
65;Vorderingen;Financiële transacties;1999 4e kwartaal;1959;1298;0;0;0;0.0;-224;-198;-26;-247.0;-10.0;-237.0;1132
66;Vorderingen;Financiële transacties;1999;-2039;-94;0;0;0;0.0;-1141;-1037;-104;-1340.0;-127.0;-1213.0;536
67;Vorderingen;Financiële transacties;2000 1e kwartaal;1974;3609;0;0;0;0.0;-256;-362;106;10.0;0.0;10.0;-1389
68;Vorderingen;Financiële transacties;2000 2e kwartaal;-6717;-6838;0;0;0;0.0;-255;-361;106;-329.0;-307.0;-22.0;705
69;Vorderingen;Financiële transacties;2000 3e kwartaal;3681;3965;0;0;0;0.0;-256;-362;106;51.0;0.0;51.0;-79
70;Vorderingen;Financiële transacties;2000 4e kwartaal;-2968;-3991;0;0;0;0.0;-254;-361;107;44.0;0.0;44.0;1233
71;Vorderingen;Financiële transacties;2000;-4030;-3255;0;0;0;0.0;-1021;-1446;425;-224.0;-307.0;83.0;470
72;Vorderingen;Financiële transacties;2001 1e kwartaal;-1480;-210;0;0;0;0.0;437;53;384;-894.0;-906.0;12.0;-813
73;Vorderingen;Financiële transacties;2001 2e kwartaal;4349;2986;0;0;0;0.0;332;-52;384;76.0;0.0;76.0;955
74;Vorderingen;Financiële transacties;2001 3e kwartaal;392;1060;-44;0;0;-44.0;385;1;384;15.0;0.0;15.0;-1024
75;Vorderingen;Financiële transacties;2001 4e kwartaal;1138;-3716;-18;0;0;-18.0;82;-2;84;2644.0;1730.0;914.0;2146
76;Vorderingen;Financiële transacties;2001;4399;120;-62;0;0;-62.0;1236;0;1236;1841.0;824.0;1017.0;1264
77;Vorderingen;Financiële transacties;2002 1e kwartaal;-677;238;-23;0;0;-23.0;135;16;119;-30.0;-14.0;-16.0;-997
78;Vorderingen;Financiële transacties;2002 2e kwartaal;2917;2128;-21;0;0;-21.0;856;574;282;-16.0;0.0;-16.0;-30
79;Vorderingen;Financiële transacties;2002 3e kwartaal;-1781;-1825;-22;0;0;-22.0;1304;981;323;-16.0;0.0;-16.0;-1222
80;Vorderingen;Financiële transacties;2002 4e kwartaal;2806;-714;-29;0;0;-29.0;1951;882;1069;-16.0;0.0;-16.0;1614
81;Vorderingen;Financiële transacties;2002;3265;-173;-95;0;0;-95.0;4246;2453;1793;-78.0;-14.0;-64.0;-635
82;Vorderingen;Financiële transacties;2003 1e kwartaal;-581;2112;-26;0;0;-26.0;-1263;-730;-533;22.0;0.0;22.0;-1426
83;Vorderingen;Financiële transacties;2003 2e kwartaal;-383;-2087;-35;0;0;-35.0;466;202;264;70.0;0.0;70.0;1203
84;Vorderingen;Financiële transacties;2003 3e kwartaal;560;1439;-44;0;0;-44.0;1237;715;522;-1956.0;-2003.0;47.0;-116
85;Vorderingen;Financiële transacties;2003 4e kwartaal;2666;-1027;-38;0;0;-38.0;1742;1986;-244;70.0;0.0;70.0;1919
86;Vorderingen;Financiële transacties;2003;2262;437;-143;0;0;-143.0;2182;2173;9;-1794.0;-2003.0;209.0;1580
87;Vorderingen;Financiële transacties;2004 1e kwartaal;1431;1338;-46;0;0;-46.0;1927;1841;86;0.0;0.0;0.0;-1788
88;Vorderingen;Financiële transacties;2004 2e kwartaal;2900;-488;-38;0;0;-38.0;3520;3120;400;0.0;0.0;0.0;-94
89;Vorderingen;Financiële transacties;2004 3e kwartaal;-1693;1991;22;0;0;22.0;-2881;-3167;286;49.0;0.0;49.0;-874
90;Vorderingen;Financiële transacties;2004 4e kwartaal;-2378;-2551;-33;0;0;-33.0;-2386;-2715;329;-1324.0;-1285.0;-39.0;3916
91;Vorderingen;Financiële transacties;2004;260;290;-95;0;0;-95.0;180;-921;1101;-1275.0;-1285.0;10.0;1160
92;Vorderingen;Financiële transacties;2005 1e kwartaal;-1642;692;-15;0;0;-15.0;1361;1517;-156;-1220.0;-1380.0;160.0;-2460
93;Vorderingen;Financiële transacties;2005 2e kwartaal;13021;9801;-20;0;0;-20.0;2151;1595;556;17.0;0.0;17.0;1072
94;Vorderingen;Financiële transacties;2005 3e kwartaal;-6203;-6383;-28;0;0;-28.0;-1062;-1616;554;1917.0;-905.0;2822.0;-647
95;Vorderingen;Financiële transacties;2005 4e kwartaal;1881;833;-27;0;0;-27.0;28;-1745;1773;-1543.0;-1349.0;-194.0;2590
