ID;Bedrijfsomvang;BedrijfstakkenBranchesSBI2008;Perioden;TotaalAantalBedrijven_1;AantalBedrijvenDatAlleenInvoert_2;AantalBedrijvenDatInEnUitvoert_3;TotaleInvoerwaarde_4;WaardeVBedrijvenDieAlleenInvoeren_5;WaardeVBedrijvenDieInEnUitvoeren_6;TotaalAantalBedrijven_7;AantalBedrijvenDatAlleenUitvoert_8;AantalBedrijvenDatInEnUitvoert_9;TotaleUitvoerwaarde_10;WaardeVBedrijvenDieAlleenUitvoeren_11;WaardeVBedrijvenDieInEnUitvoeren_12
101;10 tot 50 werkzame personen;24 Basismetaalindustrie;2009;75.0;;;52.0;;;75.0;;;73.0;;
102;10 tot 50 werkzame personen;25 Metaalproductenindustrie;2009;1210.0;;;705.0;;;1060.0;;;798.0;;
103;10 tot 50 werkzame personen;26 Elektrotechnische industrie;2009;210.0;;;569.0;;;195.0;;;430.0;;
104;10 tot 50 werkzame personen;27 Elektrische apparatenindustrie;2009;170.0;;;112.0;;;160.0;;;162.0;;
105;10 tot 50 werkzame personen;28 Machine-industrie;2009;730.0;;;491.0;;;735.0;;;1269.0;;
106;10 tot 50 werkzame personen;29 Auto- en aanhangwagenindustrie;2009;140.0;;;;;;130.0;;;152.0;;
107;10 tot 50 werkzame personen;30 Overige transportmiddelenindustrie;2009;105.0;;;;;;100.0;;;206.0;;
108;10 tot 50 werkzame personen;31 Meubelindustrie;2009;300.0;;;114.0;;;240.0;;;;;
109;10 tot 50 werkzame personen;32 Overige industrie;2009;215.0;;;124.0;;;145.0;;;143.0;;
110;10 tot 50 werkzame personen;33 Reparatie en installatie van machines;2009;345.0;;;197.0;;;320.0;;;185.0;;
111;10 tot 50 werkzame personen;D Energievoorziening;2009;20.0;;;7.0;;;15.0;;;;;
112;10 tot 50 werkzame personen;E Waterbedrijven en afvalbeheer;2009;130.0;;;231.0;;;110.0;;;354.0;;
113;10 tot 50 werkzame personen;F Bouwnijverheid;2009;1855.0;;;314.0;;;830.0;;;142.0;;
114;10 tot 50 werkzame personen;45 Autohandel en -reparatie;2009;905.0;;;1506.0;;;875.0;;;1056.0;;
115;10 tot 50 werkzame personen;46 Groothandel en handelsbemiddeling;2009;6350.0;;;23357.0;;;5825.0;;;23146.0;;
116;10 tot 50 werkzame personen;47 Detailhandel (niet in auto´s);2009;2310.0;;;943.0;;;610.0;;;165.0;;
117;10 tot 50 werkzame personen;H Vervoer en opslag;2009;800.0;;;4360.0;;;635.0;;;1916.0;;
118;10 tot 50 werkzame personen;I Horeca;2009;500.0;;;32.0;;;40.0;;;;;
119;10 tot 50 werkzame personen;J Informatie en communicatie;2009;805.0;;;354.0;;;660.0;;;278.0;;
120;10 tot 50 werkzame personen;K Financiële dienstverlening;2009;450.0;;;331.0;;;295.0;;;373.0;;
121;10 tot 50 werkzame personen;L Verhuur en handel van onroerend goed;2009;90.0;;;50.0;;;45.0;;;45.0;;
122;10 tot 50 werkzame personen;M Specialistische zakelijke diensten;2009;1660.0;;;1406.0;;;1340.0;;;2531.0;;
123;10 tot 50 werkzame personen;N Verhuur en overige zakelijke diensten;2009;645.0;;;217.0;;;450.0;;;210.0;;
124;10 tot 50 werkzame personen;O-U Niet-commerciële dienstverlening;2009;675.0;;;167.0;;;310.0;;;183.0;;
125;10 tot 50 werkzame personen;SBI-code onbekend;2009;0.0;;;0.0;;;0.0;;;0.0;;
126;50 tot 250 werkzame personen;A-U Alle economische activiteiten;2009;6310.0;1510.0;4800.0;64978.0;2208.0;62770.0;5130.0;335.0;4800.0;78265.0;248.0;78017.0
127;50 tot 250 werkzame personen;A Landbouw, bosbouw en visserij;2009;90.0;;;300.0;;;90.0;;;795.0;;
128;50 tot 250 werkzame personen;B Delfstoffenwinning;2009;25.0;;;126.0;;;20.0;;;286.0;;
129;50 tot 250 werkzame personen;10 Voedingsmiddelenindustrie;2009;290.0;;;3465.0;;;275.0;;;6373.0;;
130;50 tot 250 werkzame personen;11 Drankenindustrie;2009;15.0;;;162.0;;;15.0;;;315.0;;
131;50 tot 250 werkzame personen;12 Tabaksindustrie;2009;5.0;;;;;;5.0;;;;;
132;50 tot 250 werkzame personen;13 Textielindustrie;2009;45.0;;;270.0;;;45.0;;;;;
133;50 tot 250 werkzame personen;14 Kledingindustrie;2009;5.0;;;40.0;;;5.0;;;42.0;;
134;50 tot 250 werkzame personen;15 Leer- en schoenenindustrie;2009;5.0;;;42.0;;;5.0;;;;;
135;50 tot 250 werkzame personen;16 Houtindustrie;2009;70.0;;;163.0;;;55.0;;;;;
136;50 tot 250 werkzame personen;17 Papierindustrie;2009;85.0;;;636.0;;;85.0;;;1233.0;;
137;50 tot 250 werkzame personen;18 Grafische industrie;2009;90.0;;;;;;95.0;;;231.0;;
138;50 tot 250 werkzame personen;19 Aardolie-industrie;2009;5.0;;;;;;5.0;;;;;
139;50 tot 250 werkzame personen;20 Chemische industrie;2009;135.0;;;1995.0;;;140.0;;;4750.0;;
140;50 tot 250 werkzame personen;21 Farmaceutische industrie;2009;25.0;;;253.0;;;25.0;;;301.0;;
141;50 tot 250 werkzame personen;22 Rubber- en kunststofproductindustrie;2009;140.0;;;874.0;;;135.0;;;1878.0;;
142;50 tot 250 werkzame personen;23 Bouwmaterialenindustrie;2009;75.0;;;332.0;;;70.0;;;;;
143;50 tot 250 werkzame personen;24 Basismetaalindustrie;2009;35.0;;;312.0;;;35.0;;;769.0;;
144;50 tot 250 werkzame personen;25 Metaalproductenindustrie;2009;340.0;;;1315.0;;;320.0;;;2567.0;;
145;50 tot 250 werkzame personen;26 Elektrotechnische industrie;2009;80.0;;;482.0;;;80.0;;;940.0;;
146;50 tot 250 werkzame personen;27 Elektrische apparatenindustrie;2009;65.0;;;303.0;;;65.0;;;466.0;;
147;50 tot 250 werkzame personen;28 Machine-industrie;2009;305.0;;;1599.0;;;305.0;;;4240.0;;
148;50 tot 250 werkzame personen;29 Auto- en aanhangwagenindustrie;2009;55.0;;;226.0;;;55.0;;;365.0;;
149;50 tot 250 werkzame personen;30 Overige transportmiddelenindustrie;2009;45.0;;;468.0;;;45.0;;;;;
150;50 tot 250 werkzame personen;31 Meubelindustrie;2009;65.0;;;147.0;;;65.0;;;192.0;;
151;50 tot 250 werkzame personen;32 Overige industrie;2009;45.0;;;176.0;;;35.0;;;377.0;;
152;50 tot 250 werkzame personen;33 Reparatie en installatie van machines;2009;85.0;;;954.0;;;80.0;;;673.0;;
153;50 tot 250 werkzame personen;D Energievoorziening;2009;15.0;;;;;;10.0;;;;;
154;50 tot 250 werkzame personen;E Waterbedrijven en afvalbeheer;2009;60.0;;;61.0;;;45.0;;;;;
155;50 tot 250 werkzame personen;F Bouwnijverheid;2009;490.0;;;188.0;;;275.0;;;59.0;;
156;50 tot 250 werkzame personen;45 Autohandel en -reparatie;2009;160.0;;;4174.0;;;180.0;;;1780.0;;
157;50 tot 250 werkzame personen;46 Groothandel en handelsbemiddeling;2009;1250.0;;;31330.0;;;1185.0;;;34833.0;;
158;50 tot 250 werkzame personen;47 Detailhandel (niet in auto´s);2009;330.0;;;1000.0;;;150.0;;;390.0;;
159;50 tot 250 werkzame personen;H Vervoer en opslag;2009;335.0;;;9819.0;;;285.0;;;8720.0;;
160;50 tot 250 werkzame personen;I Horeca;2009;110.0;;;17.0;;;20.0;;;;;
161;50 tot 250 werkzame personen;J Informatie en communicatie;2009;250.0;;;149.0;;;175.0;;;181.0;;
162;50 tot 250 werkzame personen;K Financiële dienstverlening;2009;95.0;;;;;;35.0;;;;;
163;50 tot 250 werkzame personen;L Verhuur en handel van onroerend goed;2009;20.0;;;;;;10.0;;;;;
164;50 tot 250 werkzame personen;M Specialistische zakelijke diensten;2009;435.0;;;2439.0;;;325.0;;;3032.0;;
165;50 tot 250 werkzame personen;N Verhuur en overige zakelijke diensten;2009;240.0;;;291.0;;;165.0;;;241.0;;
166;50 tot 250 werkzame personen;O-U Niet-commerciële dienstverlening;2009;300.0;;;;;;125.0;;;;;
167;50 tot 250 werkzame personen;SBI-code onbekend;2009;0.0;;;0.0;;;0.0;;;0.0;;
168;250 of meer werkzame personen;A-U Alle economische activiteiten;2009;1785.0;540.0;1245.0;89724.0;722.0;89002.0;1295.0;50.0;1245.0;90663.0;20.0;90644.0
169;250 of meer werkzame personen;A Landbouw, bosbouw en visserij;2009;5.0;;;;;;5.0;;;264.0;;
170;250 of meer werkzame personen;B Delfstoffenwinning;2009;5.0;;;76.0;;;5.0;;;81.0;;
171;250 of meer werkzame personen;10 Voedingsmiddelenindustrie;2009;75.0;;;7353.0;;;70.0;;;12684.0;;
172;250 of meer werkzame personen;11 Drankenindustrie;2009;5.0;;;;;;5.0;;;;;
173;250 of meer werkzame personen;12 Tabaksindustrie;2009;5.0;;;;;;5.0;;;;;
174;250 of meer werkzame personen;13 Textielindustrie;2009;5.0;;;202.0;;;5.0;;;;;
175;250 of meer werkzame personen;14 Kledingindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
176;250 of meer werkzame personen;15 Leer- en schoenenindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
177;250 of meer werkzame personen;16 Houtindustrie;2009;0.0;;;;;;0.0;;;;;
178;250 of meer werkzame personen;17 Papierindustrie;2009;20.0;;;659.0;;;20.0;;;1265.0;;
179;250 of meer werkzame personen;18 Grafische industrie;2009;10.0;;;;;;10.0;;;195.0;;
180;250 of meer werkzame personen;19 Aardolie-industrie;2009;5.0;;;16749.0;;;5.0;;;7191.0;;
181;250 of meer werkzame personen;20 Chemische industrie;2009;45.0;;;4368.0;;;45.0;;;9537.0;;
182;250 of meer werkzame personen;21 Farmaceutische industrie;2009;10.0;;;1104.0;;;10.0;;;3908.0;;
183;250 of meer werkzame personen;22 Rubber- en kunststofproductindustrie;2009;15.0;;;373.0;;;15.0;;;861.0;;
184;250 of meer werkzame personen;23 Bouwmaterialenindustrie;2009;25.0;;;398.0;;;25.0;;;;;
185;250 of meer werkzame personen;24 Basismetaalindustrie;2009;15.0;;;;;;15.0;;;2965.0;;
186;250 of meer werkzame personen;25 Metaalproductenindustrie;2009;20.0;;;856.0;;;20.0;;;1152.0;;
187;250 of meer werkzame personen;26 Elektrotechnische industrie;2009;10.0;;;1287.0;;;10.0;;;2895.0;;
188;250 of meer werkzame personen;27 Elektrische apparatenindustrie;2009;15.0;;;1114.0;;;15.0;;;1634.0;;
189;250 of meer werkzame personen;28 Machine-industrie;2009;40.0;;;2327.0;;;40.0;;;4436.0;;
190;250 of meer werkzame personen;29 Auto- en aanhangwagenindustrie;2009;15.0;;;1552.0;;;15.0;;;2106.0;;
191;250 of meer werkzame personen;30 Overige transportmiddelenindustrie;2009;15.0;;;549.0;;;15.0;;;;;
192;250 of meer werkzame personen;31 Meubelindustrie;2009;5.0;;;47.0;;;5.0;;;32.0;;
193;250 of meer werkzame personen;32 Overige industrie;2009;70.0;;;68.0;;;60.0;;;;;
194;250 of meer werkzame personen;33 Reparatie en installatie van machines;2009;15.0;;;643.0;;;15.0;;;713.0;;
195;250 of meer werkzame personen;D Energievoorziening;2009;15.0;;;;;;10.0;;;;;
196;250 of meer werkzame personen;E Waterbedrijven en afvalbeheer;2009;20.0;;;64.0;;;15.0;;;;;
197;250 of meer werkzame personen;F Bouwnijverheid;2009;110.0;;;392.0;;;90.0;;;173.0;;
198;250 of meer werkzame personen;45 Autohandel en -reparatie;2009;30.0;;;2676.0;;;30.0;;;1032.0;;
199;250 of meer werkzame personen;46 Groothandel en handelsbemiddeling;2009;145.0;;;12138.0;;;140.0;;;12392.0;;
200;250 of meer werkzame personen;47 Detailhandel (niet in auto´s);2009;135.0;;;4816.0;;;105.0;;;1200.0;;
201;250 of meer werkzame personen;H Vervoer en opslag;2009;100.0;;;17918.0;;;85.0;;;5482.0;;
202;250 of meer werkzame personen;I Horeca;2009;30.0;;;52.0;;;10.0;;;;;
203;250 of meer werkzame personen;J Informatie en communicatie;2009;100.0;;;875.0;;;70.0;;;431.0;;
204;250 of meer werkzame personen;K Financiële dienstverlening;2009;55.0;;;;;;20.0;;;;;
205;250 of meer werkzame personen;L Verhuur en handel van onroerend goed;2009;5.0;;;;;;0.0;;;;;
206;250 of meer werkzame personen;M Specialistische zakelijke diensten;2009;140.0;;;2244.0;;;110.0;;;3020.0;;
207;250 of meer werkzame personen;N Verhuur en overige zakelijke diensten;2009;80.0;;;;;;55.0;;;;;
208;250 of meer werkzame personen;O-U Niet-commerciële dienstverlening;2009;350.0;;;305.0;;;110.0;;;;;
209;250 of meer werkzame personen;SBI-code onbekend;2009;0.0;;;0.0;;;0.0;;;0.0;;
210;Onbekend aantal werkzame personen;A-U Alle economische activiteiten;2009;;0.0;0.0;49899.0;0.0;0.0;;0.0;0.0;69862.0;0.0;0.0
211;Onbekend aantal werkzame personen;A Landbouw, bosbouw en visserij;2009;0.0;;;0.0;;;0.0;;;0.0;;
212;Onbekend aantal werkzame personen;B Delfstoffenwinning;2009;0.0;;;0.0;;;0.0;;;0.0;;
213;Onbekend aantal werkzame personen;10 Voedingsmiddelenindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
214;Onbekend aantal werkzame personen;11 Drankenindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
215;Onbekend aantal werkzame personen;12 Tabaksindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
216;Onbekend aantal werkzame personen;13 Textielindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
217;Onbekend aantal werkzame personen;14 Kledingindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
218;Onbekend aantal werkzame personen;15 Leer- en schoenenindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
219;Onbekend aantal werkzame personen;16 Houtindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
220;Onbekend aantal werkzame personen;17 Papierindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
221;Onbekend aantal werkzame personen;18 Grafische industrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
