ID;Geslacht;Regeling;VorigeNationaliteit;Perioden;Nationaliteitswijzigingen_1
52;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Bahamaans;2022;1.0
53;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Bahamaans;2023;1.0
54;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Bahreins;2022;5.0
55;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Bahreins;2023;16.0
56;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Barbadaans;2022;0.0
57;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Barbadaans;2023;1.0
58;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Belarussisch;2022;166.0
59;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Belarussisch;2023;268.0
60;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Belgisch;2022;118.0
61;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Belgisch;2023;145.0
62;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Belizaans;2022;2.0
63;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Belizaans;2023;0.0
64;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Bengalees;2022;86.0
65;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Bengalees;2023;100.0
66;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Benins;2022;14.0
67;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Benins;2023;13.0
68;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Bhutaans;2022;2.0
69;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Bhutaans;2023;3.0
70;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Boliviaans;2022;9.0
71;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Boliviaans;2023;24.0
72;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burger van Bosnië-Herzegovina;2022;168.0
73;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burger van Bosnië-Herzegovina;2023;167.0
74;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Botswaans;2022;1.0
75;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Botswaans;2023;1.0
76;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Braziliaans;2022;415.0
77;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Braziliaans;2023;538.0
78;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Brits;2022;554.0
79;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Brits;2023;737.0
80;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Bruneis;2022;0.0
81;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Bruneis;2023;2.0
82;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Bulgaars;2022;173.0
83;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Bulgaars;2023;215.0
84;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burkinees;2022;9.0
85;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burkinees;2023;16.0
86;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burundees;2022;41.0
87;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burundees;2023;41.0
88;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Cambodjaans;2022;11.0
89;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Cambodjaans;2023;15.0
90;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Canadees;2022;77.0
91;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Canadees;2023;120.0
92;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Centraal-Afrikaans;2022;6.0
93;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Centraal-Afrikaans;2023;7.0
94;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Chileens;2022;33.0
95;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Chileens;2023;52.0
96;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Chinees;2022;478.0
97;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Chinees;2023;724.0
98;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Colombiaans;2022;181.0
99;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Colombiaans;2023;237.0
100;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Comorees;2022;1.0
101;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Comorees;2023;0.0
102;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burger van Congo;2022;66.0
103;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burger van Congo;2023;47.0
104;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burger van Democratische Republiek Congo;2022;118.0
105;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burger van Democratische Republiek Congo;2023;129.0
106;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Costa Ricaans;2022;25.0
107;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Costa Ricaans;2023;33.0
108;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Cubaans;2022;45.0
109;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Cubaans;2023;47.0
110;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Cyprisch;2022;2.0
111;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Cyprisch;2023;4.0
112;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Deens;2022;17.0
113;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Deens;2023;21.0
114;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Djiboutiaans;2022;0.0
115;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Djiboutiaans;2023;3.0
116;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burger van Dominica;2022;0.0
117;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burger van Dominica;2023;0.0
118;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Dominicaans;2022;76.0
119;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Dominicaans;2023;95.0
120;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burger van Bondsrepubliek Duitsland;2022;399.0
121;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burger van Bondsrepubliek Duitsland;2023;451.0
122;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Ecuadoraans;2022;36.0
123;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Ecuadoraans;2023;61.0
124;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Egyptisch;2022;404.0
125;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Egyptisch;2023;648.0
126;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Equatoriaal-Guinees;2022;2.0
127;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Equatoriaal-Guinees;2023;1.0
128;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Eritrees;2022;5637.0
129;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Eritrees;2023;5166.0
130;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Estisch;2022;12.0
131;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Estisch;2023;16.0
132;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Eswatinische;2022;2.0
133;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Eswatinische;2023;0.0
134;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Ethiopisch;2022;237.0
135;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Ethiopisch;2023;219.0
136;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Fijisch;2022;0.0
137;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Fijisch;2023;2.0
138;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Filippijns;2022;527.0
139;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Filippijns;2023;660.0
140;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Fins;2022;14.0
141;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Fins;2023;17.0
142;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Frans;2022;86.0
143;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Frans;2023;129.0
144;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Gabonees;2022;1.0
145;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Gabonees;2023;1.0
146;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Gambiaans;2022;62.0
147;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Gambiaans;2023;111.0
148;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Georgisch;2022;74.0
149;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Georgisch;2023;56.0
150;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Ghanees;2022;295.0
151;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Ghanees;2023;501.0
152;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Grenadaans;2022;1.0
153;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Grenadaans;2023;1.0
154;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Grieks;2022;110.0
155;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Grieks;2023;104.0
156;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Guatemalaans;2022;11.0
157;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Guatemalaans;2023;17.0
158;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Guinee-Bissaus;2022;1.0
159;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Guinee-Bissaus;2023;4.0
160;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Guinees;2022;117.0
161;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Guinees;2023;80.0
162;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Guyaans;2022;4.0
163;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Guyaans;2023;12.0
164;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Haïtiaans;2022;4.0
165;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Haïtiaans;2023;5.0
166;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Hondurees;2022;8.0
167;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Hondurees;2023;22.0
168;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Hongaars;2022;203.0
169;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Hongaars;2023;233.0
170;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Iers;2022;25.0
171;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Iers;2023;37.0
172;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;IJslands;2022;0.0
173;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;IJslands;2023;4.0
174;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Indiaas;2022;3005.0
175;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Indiaas;2023;3949.0
176;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Indonesisch;2022;203.0
177;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Indonesisch;2023;236.0
178;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Iraaks;2022;1185.0
179;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Iraaks;2023;1250.0
180;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Iraans;2022;1146.0
181;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Iraans;2023;1414.0
182;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Israëlisch;2022;68.0
183;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Israëlisch;2023;111.0
184;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Italiaans;2022;197.0
185;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Italiaans;2023;218.0
186;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Ivoriaans;2022;33.0
187;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Ivoriaans;2023;26.0
188;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Jamaicaans;2022;39.0
189;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Jamaicaans;2023;41.0
190;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Japans;2022;8.0
191;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Japans;2023;11.0
192;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Jemenitisch;2022;88.0
193;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Jemenitisch;2023;363.0
194;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Joegoslavisch;2022;0.0
195;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Joegoslavisch;2023;0.0
196;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;(voormalig) Joegoslavië;2022;711.0
197;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;(voormalig) Joegoslavië;2023;753.0
198;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Jordaans;2022;92.0
199;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Jordaans;2023;70.0
200;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Kaapverdisch;2022;59.0
201;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Kaapverdisch;2023;77.0
202;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Kameroens;2022;65.0
203;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Kameroens;2023;67.0
204;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Kazachs;2022;49.0
205;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Kazachs;2023;87.0
206;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Keniaans;2022;64.0
207;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Keniaans;2023;104.0
208;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Kirgizisch;2022;10.0
209;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Kirgizisch;2023;16.0
210;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Kiribatisch;2022;0.0
211;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Kiribatisch;2023;0.0
212;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Koeweits;2022;1.0
213;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Koeweits;2023;0.0
214;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Kosovaars;2022;75.0
215;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Kosovaars;2023;71.0
216;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Kroatisch;2022;31.0
217;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Kroatisch;2023;45.0
218;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Laotiaans;2022;0.0
219;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Laotiaans;2023;1.0
220;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Lesothaans;2022;0.0
221;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Lesothaans;2023;0.0
222;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Lets;2022;71.0
223;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Lets;2023;84.0
224;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Libanees;2022;112.0
225;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Libanees;2023;146.0
226;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Liberiaans;2022;29.0
227;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Liberiaans;2023;37.0
228;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Libisch;2022;42.0
229;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Libisch;2023;25.0
230;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Liechtensteins;2022;0.0
231;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Liechtensteins;2023;0.0
232;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Litouws;2022;45.0
233;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Litouws;2023;74.0
234;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Luxemburgs;2022;6.0
235;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Luxemburgs;2023;1.0
236;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Macedonisch;2022;
237;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Macedonisch;2023;
238;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burger van Republiek Noord-Macedonië;2022;114.0
239;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burger van Republiek Noord-Macedonië;2023;127.0
240;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Madagaskisch;2022;4.0
241;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Madagaskisch;2023;8.0
242;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Malawisch;2022;4.0
243;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Malawisch;2023;2.0
244;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Maledivisch;2022;2.0
245;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Maledivisch;2023;3.0
246;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Maleisisch;2022;19.0
247;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Maleisisch;2023;28.0
248;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Malinees;2022;3.0
249;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Malinees;2023;1.0
250;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Maltees;2022;0.0
251;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Maltees;2023;3.0
252;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Marshalleilands;2022;0.0
253;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Marshalleilands;2023;0.0
254;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Marokkaans;2022;2269.0
255;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Marokkaans;2023;2775.0
256;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Mauritaans;2022;7.0
257;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Mauritaans;2023;8.0
258;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Mauritiaans;2022;7.0
259;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Mauritiaans;2023;9.0
260;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Mexicaans;2022;177.0
261;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Mexicaans;2023;249.0
262;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Micronesische;2022;0.0
263;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Micronesische;2023;0.0
264;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Moldavisch;2022;23.0
265;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Moldavisch;2023;38.0
266;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Monegaskisch;2022;0.0
267;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Monegaskisch;2023;1.0
268;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Mongools;2022;12.0
269;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Mongools;2023;21.0
270;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Montenegrijns;2022;35.0
271;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Montenegrijns;2023;29.0
272;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Mozambikaans;2022;5.0
273;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Mozambikaans;2023;2.0
274;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Myanmarees;2022;70.0
275;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Myanmarees;2023;52.0
276;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Namibisch;2022;2.0
277;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Namibisch;2023;11.0
278;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Nauruaans;2022;0.0
279;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Nauruaans;2023;0.0
280;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Nepalees;2022;82.0
281;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Nepalees;2023;89.0
282;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Nicaraguaans;2022;7.0
283;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Nicaraguaans;2023;19.0
