ID;Mineralen;Mestsoorten;Perioden;TotaalAfzetBuitenDeLandbouw_1;MestexportNetto_2;HobbybedrijvenEnParticulieren_3;Natuurterreinen_4;Mestverwerking_5
51;Stikstof (N);Totaal rundveemest;2007;6.9;0.3;3.2;1.9;1.4
52;Stikstof (N);Totaal rundveemest;2008;9.9;1.3;5.3;2.0;1.3
53;Stikstof (N);Totaal rundveemest;2009;10.6;1.1;6.1;2.0;1.4
54;Stikstof (N);Totaal rundveemest;2010;7.4;0.5;2.6;2.7;1.5
55;Stikstof (N);Totaal rundveemest;2011;7.8;0.9;2.7;2.7;1.5
56;Stikstof (N);Totaal rundveemest;2012;8.0;0.8;2.9;2.7;1.6
57;Stikstof (N);Totaal rundveemest;2013;8.8;0.9;3.5;2.9;1.6
58;Stikstof (N);Totaal rundveemest;2014;9.0;1.5;2.9;2.9;1.7
59;Stikstof (N);Totaal rundveemest;2015;10.1;2.4;3.1;2.7;1.9
60;Stikstof (N);Totaal rundveemest;2016;11.7;2.7;3.9;3.1;2.0
61;Stikstof (N);Totaal rundveemest;2017;11.7;2.5;4.0;3.3;2.0
62;Stikstof (N);Totaal rundveemest;2018;11.0;1.8;3.9;3.4;1.9
63;Stikstof (N);Totaal rundveemest;2019;10.4;1.6;3.6;3.4;1.8
64;Stikstof (N);Totaal rundveemest;2020;10.3;1.4;3.6;3.6;1.8
65;Stikstof (N);Totaal rundveemest;2021;9.0;0.9;3.2;3.2;1.7
66;Stikstof (N);Totaal rundveemest;2022;8.9;1.0;3.2;3.2;1.5
67;Stikstof (N);Totaal rundveemest;2023;8.6;1.1;2.8;3.2;1.6
68;Stikstof (N);Totaal varkensmest;1990;3.8;0.3;3.5;;0.0
69;Stikstof (N);Totaal varkensmest;1991;6.4;0.0;6.4;;0.0
70;Stikstof (N);Totaal varkensmest;1992;6.9;0.0;6.9;;0.0
71;Stikstof (N);Totaal varkensmest;1993;7.0;0.0;7.0;;0.0
72;Stikstof (N);Totaal varkensmest;1994;8.8;0.6;7.5;;0.7
73;Stikstof (N);Totaal varkensmest;1995;8.8;1.1;7.7;;0.0
74;Stikstof (N);Totaal varkensmest;1996;8.1;0.4;7.8;;0.0
75;Stikstof (N);Totaal varkensmest;1997;9.9;0.4;9.4;;0.2
76;Stikstof (N);Totaal varkensmest;1998;9.6;0.2;9.3;;0.2
77;Stikstof (N);Totaal varkensmest;1999;7.0;0.6;6.4;;0.0
78;Stikstof (N);Totaal varkensmest;2000;3.7;0.0;3.5;;0.2
79;Stikstof (N);Totaal varkensmest;2001;14.3;2.4;11.9;;0.0
80;Stikstof (N);Totaal varkensmest;2002;9.5;1.7;7.8;;0.0
81;Stikstof (N);Totaal varkensmest;2003;8.7;1.3;7.4;;0.0
82;Stikstof (N);Totaal varkensmest;2004;10.1;1.1;8.9;;0.0
83;Stikstof (N);Totaal varkensmest;2005;11.0;3.5;7.5;;0.0
84;Stikstof (N);Totaal varkensmest;2006;8.5;1.3;7.2;0.0;0.0
85;Stikstof (N);Totaal varkensmest;2007;9.4;2.4;7.0;0.0;0.0
86;Stikstof (N);Totaal varkensmest;2008;12.7;7.5;5.2;0.0;0.0
87;Stikstof (N);Totaal varkensmest;2009;12.0;7.0;5.0;0.0;0.0
88;Stikstof (N);Totaal varkensmest;2010;9.6;4.5;5.1;0.0;0.0
89;Stikstof (N);Totaal varkensmest;2011;10.9;4.8;6.0;0.0;0.0
90;Stikstof (N);Totaal varkensmest;2012;13.8;7.5;6.2;0.0;0.0
91;Stikstof (N);Totaal varkensmest;2013;14.2;7.5;6.7;0.0;0.0
92;Stikstof (N);Totaal varkensmest;2014;14.3;10.1;4.2;0.0;0.0
93;Stikstof (N);Totaal varkensmest;2015;15.4;12.6;2.8;0.0;0.0
94;Stikstof (N);Totaal varkensmest;2016;16.8;14.3;2.5;0.0;0.0
95;Stikstof (N);Totaal varkensmest;2017;17.8;15.1;2.7;0.0;0.0
96;Stikstof (N);Totaal varkensmest;2018;16.3;14.0;2.3;0.0;0.0
97;Stikstof (N);Totaal varkensmest;2019;17.8;15.5;2.3;0.0;0.0
98;Stikstof (N);Totaal varkensmest;2020;18.1;16.1;2.0;0.0;0.0
99;Stikstof (N);Totaal varkensmest;2021;15.7;13.9;1.8;0.0;0.0
100;Stikstof (N);Totaal varkensmest;2022;14.0;12.4;1.6;0.0;0.0
101;Stikstof (N);Totaal varkensmest;2023;12.9;12.1;0.9;0.0;0.0
102;Stikstof (N);Totaal pluimveemest;1990;15.8;6.7;4.1;;4.9
103;Stikstof (N);Totaal pluimveemest;1991;8.6;8.3;0.3;;0.0
104;Stikstof (N);Totaal pluimveemest;1992;13.4;13.1;0.3;;0.0
105;Stikstof (N);Totaal pluimveemest;1993;17.7;17.4;0.3;;0.0
106;Stikstof (N);Totaal pluimveemest;1994;23.6;21.9;0.3;;1.5
107;Stikstof (N);Totaal pluimveemest;1995;25.5;24.1;0.3;;1.1
108;Stikstof (N);Totaal pluimveemest;1996;14.8;13.8;0.3;;0.7
109;Stikstof (N);Totaal pluimveemest;1997;11.6;10.6;0.3;;0.6
110;Stikstof (N);Totaal pluimveemest;1998;13.9;11.7;0.3;;2.0
111;Stikstof (N);Totaal pluimveemest;1999;19.4;16.6;0.3;;2.5
112;Stikstof (N);Totaal pluimveemest;2000;22.2;20.1;0.2;;1.9
113;Stikstof (N);Totaal pluimveemest;2001;26.5;24.1;0.0;;2.4
114;Stikstof (N);Totaal pluimveemest;2002;30.0;26.6;0.0;;3.4
115;Stikstof (N);Totaal pluimveemest;2003;14.9;11.9;0.4;;2.6
116;Stikstof (N);Totaal pluimveemest;2004;19.2;15.2;0.4;;3.6
117;Stikstof (N);Totaal pluimveemest;2005;28.8;25.0;0.3;;3.4
118;Stikstof (N);Totaal pluimveemest;2006;22.3;21.7;0.3;0.0;0.4
119;Stikstof (N);Totaal pluimveemest;2007;31.6;31.4;0.2;0.0;0.0
120;Stikstof (N);Totaal pluimveemest;2008;38.4;30.9;0.2;0.0;7.3
121;Stikstof (N);Totaal pluimveemest;2009;42.7;28.9;0.1;0.0;13.7
122;Stikstof (N);Totaal pluimveemest;2010;49.5;30.6;1.1;0.0;17.8
123;Stikstof (N);Totaal pluimveemest;2011;46.8;29.7;1.4;0.0;15.7
124;Stikstof (N);Totaal pluimveemest;2012;43.7;23.4;1.6;0.0;18.6
125;Stikstof (N);Totaal pluimveemest;2013;46.7;27.4;1.5;0.0;17.7
126;Stikstof (N);Totaal pluimveemest;2014;45.6;28.1;0.8;0.0;16.6
127;Stikstof (N);Totaal pluimveemest;2015;48.0;30.4;0.9;0.0;16.7
128;Stikstof (N);Totaal pluimveemest;2016;48.1;31.3;1.0;0.0;15.8
129;Stikstof (N);Totaal pluimveemest;2017;45.5;28.9;1.0;0.0;15.5
130;Stikstof (N);Totaal pluimveemest;2018;42.2;29.3;0.9;0.0;12.1
131;Stikstof (N);Totaal pluimveemest;2019;43.8;27.4;0.8;0.0;15.7
132;Stikstof (N);Totaal pluimveemest;2020;42.6;26.6;0.8;0.0;15.2
133;Stikstof (N);Totaal pluimveemest;2021;41.3;26.1;1.0;0.0;14.2
134;Stikstof (N);Totaal pluimveemest;2022;40.2;23.4;0.9;0.0;15.9
135;Stikstof (N);Totaal pluimveemest;2023;42.2;27.7;1.0;0.0;13.5
136;Stikstof (N);Totaal overige mestsoorten;1990;0.1;0.0;0.1;;0.0
137;Stikstof (N);Totaal overige mestsoorten;1991;0.0;0.0;0.0;;0.0
138;Stikstof (N);Totaal overige mestsoorten;1992;0.0;0.0;0.0;;0.0
139;Stikstof (N);Totaal overige mestsoorten;1993;0.0;0.0;0.0;;0.0
140;Stikstof (N);Totaal overige mestsoorten;1994;0.5;0.5;0.0;;0.0
141;Stikstof (N);Totaal overige mestsoorten;1995;0.5;0.5;0.0;;0.0
142;Stikstof (N);Totaal overige mestsoorten;1996;0.4;0.4;0.0;;0.0
143;Stikstof (N);Totaal overige mestsoorten;1997;0.0;0.0;0.0;;0.0
144;Stikstof (N);Totaal overige mestsoorten;1998;0.2;0.2;0.0;;0.0
145;Stikstof (N);Totaal overige mestsoorten;1999;0.3;0.3;0.0;;0.0
146;Stikstof (N);Totaal overige mestsoorten;2000;0.5;0.5;0.0;;0.0
147;Stikstof (N);Totaal overige mestsoorten;2001;1.2;1.2;0.0;;0.0
148;Stikstof (N);Totaal overige mestsoorten;2002;1.7;1.7;0.0;;0.0
149;Stikstof (N);Totaal overige mestsoorten;2003;1.9;1.9;0.0;;0.0
150;Stikstof (N);Totaal overige mestsoorten;2004;1.9;1.9;0.0;;0.0
151;Stikstof (N);Totaal overige mestsoorten;2005;1.0;0.0;0.6;;0.4
152;Stikstof (N);Totaal overige mestsoorten;2006;1.7;1.1;0.3;0.3;0.0
153;Stikstof (N);Totaal overige mestsoorten;2007;1.7;1.2;0.2;0.3;0.0
154;Stikstof (N);Totaal overige mestsoorten;2008;2.1;1.6;0.2;0.3;0.0
155;Stikstof (N);Totaal overige mestsoorten;2009;2.1;1.5;0.2;0.3;0.0
156;Stikstof (N);Totaal overige mestsoorten;2010;2.7;2.1;0.3;0.4;0.0
157;Stikstof (N);Totaal overige mestsoorten;2011;2.8;2.0;0.4;0.4;0.0
158;Stikstof (N);Totaal overige mestsoorten;2012;2.3;1.5;0.3;0.4;0.0
159;Stikstof (N);Totaal overige mestsoorten;2013;2.0;1.2;0.4;0.4;0.0
160;Stikstof (N);Totaal overige mestsoorten;2014;1.8;1.2;0.2;0.4;0.0
161;Stikstof (N);Totaal overige mestsoorten;2015;2.2;1.6;0.2;0.4;0.0
162;Stikstof (N);Totaal overige mestsoorten;2016;2.1;1.5;0.2;0.4;0.0
163;Stikstof (N);Totaal overige mestsoorten;2017;2.2;1.6;0.2;0.4;0.0
164;Stikstof (N);Totaal overige mestsoorten;2018;2.6;1.9;0.3;0.5;0.0
165;Stikstof (N);Totaal overige mestsoorten;2019;2.9;2.0;0.3;0.6;0.0
166;Stikstof (N);Totaal overige mestsoorten;2020;2.3;1.5;0.2;0.6;0.0
167;Stikstof (N);Totaal overige mestsoorten;2021;1.8;1.1;0.2;0.5;0.0
168;Stikstof (N);Totaal overige mestsoorten;2022;1.9;1.2;0.2;0.5;0.0
169;Stikstof (N);Totaal overige mestsoorten;2023;2.3;1.6;0.1;0.5;0.0
170;Stikstof (N);Vaste rundveemest;1990;0.0;0.0;0.0;;0.0
171;Stikstof (N);Vaste rundveemest;1991;0.7;0.0;0.7;;0.0
172;Stikstof (N);Vaste rundveemest;1992;0.7;0.0;0.7;;0.0
173;Stikstof (N);Vaste rundveemest;1993;0.7;0.0;0.7;;0.0
174;Stikstof (N);Vaste rundveemest;1994;0.7;0.0;0.7;;0.0
175;Stikstof (N);Vaste rundveemest;1995;0.7;0.0;0.7;;0.0
176;Stikstof (N);Vaste rundveemest;1996;0.7;0.0;0.7;;0.0
177;Stikstof (N);Vaste rundveemest;1997;0.8;0.0;0.8;;0.0
178;Stikstof (N);Vaste rundveemest;1998;0.9;0.0;0.9;;0.0
179;Stikstof (N);Vaste rundveemest;1999;0.6;0.0;0.6;;0.0
180;Stikstof (N);Vaste rundveemest;2000;0.6;0.0;0.6;;0.0
181;Stikstof (N);Vaste rundveemest;2001;0.5;0.0;0.5;;0.0
182;Stikstof (N);Vaste rundveemest;2002;0.7;0.0;0.7;;0.0
183;Stikstof (N);Vaste rundveemest;2003;0.6;0.0;0.6;;0.0
184;Stikstof (N);Vaste rundveemest;2004;0.3;0.0;0.3;;0.0
185;Stikstof (N);Vaste rundveemest;2005;0.1;0.0;0.1;;0.0
186;Stikstof (N);Vaste rundveemest;2006;0.3;0.1;0.2;0.0;0.0
187;Stikstof (N);Vaste rundveemest;2007;0.1;0.1;0.0;0.0;0.0
188;Stikstof (N);Vaste rundveemest;2008;0.3;0.0;0.3;0.0;0.0
189;Stikstof (N);Vaste rundveemest;2009;0.5;0.0;0.5;0.0;0.0
190;Stikstof (N);Vaste rundveemest;2010;1.3;0.1;0.7;0.5;0.0
191;Stikstof (N);Vaste rundveemest;2011;1.4;0.1;0.8;0.6;0.0
192;Stikstof (N);Vaste rundveemest;2012;1.5;0.1;0.8;0.6;0.0
193;Stikstof (N);Vaste rundveemest;2013;1.6;0.0;0.9;0.7;0.0
194;Stikstof (N);Vaste rundveemest;2014;1.6;-0.1;0.8;0.8;0.0
195;Stikstof (N);Vaste rundveemest;2015;1.4;-0.2;0.8;0.8;0.0
196;Stikstof (N);Vaste rundveemest;2016;1.8;-0.2;1.1;1.0;0.0
197;Stikstof (N);Vaste rundveemest;2017;1.9;-0.1;1.0;1.0;0.0
198;Stikstof (N);Vaste rundveemest;2018;2.4;0.2;1.1;1.1;0.0
199;Stikstof (N);Vaste rundveemest;2019;1.9;0.0;0.9;1.1;0.0
200;Stikstof (N);Vaste rundveemest;2020;1.8;-0.2;0.9;1.1;0.0
201;Stikstof (N);Vaste rundveemest;2021;1.3;-0.4;0.7;1.0;0.0
202;Stikstof (N);Vaste rundveemest;2022;1.4;-0.4;0.7;1.1;0.0
203;Stikstof (N);Vaste rundveemest;2023;1.1;-0.4;0.5;1.0;0.0
204;Stikstof (N);Gescheiden rundveemest;1990;0.0;0.0;0.0;;0.0
205;Stikstof (N);Gescheiden rundveemest;1991;0.0;0.0;0.0;;0.0
206;Stikstof (N);Gescheiden rundveemest;1992;0.0;0.0;0.0;;0.0
207;Stikstof (N);Gescheiden rundveemest;1993;0.0;0.0;0.0;;0.0
208;Stikstof (N);Gescheiden rundveemest;1994;0.0;0.0;0.0;;0.0
209;Stikstof (N);Gescheiden rundveemest;1995;0.0;0.0;0.0;;0.0
210;Stikstof (N);Gescheiden rundveemest;1996;0.0;0.0;0.0;;0.0
211;Stikstof (N);Gescheiden rundveemest;1997;0.0;0.0;0.0;;0.0
212;Stikstof (N);Gescheiden rundveemest;1998;0.0;0.0;0.0;;0.0
213;Stikstof (N);Gescheiden rundveemest;1999;0.0;0.0;0.0;;0.0
214;Stikstof (N);Gescheiden rundveemest;2000;0.0;0.0;0.0;;0.0
215;Stikstof (N);Gescheiden rundveemest;2001;0.0;0.0;0.0;;0.0
216;Stikstof (N);Gescheiden rundveemest;2002;0.0;0.0;0.0;;0.0
217;Stikstof (N);Gescheiden rundveemest;2003;0.0;0.0;0.0;;0.0
218;Stikstof (N);Gescheiden rundveemest;2004;0.0;0.0;0.0;;0.0
219;Stikstof (N);Gescheiden rundveemest;2005;0.0;0.0;0.0;;0.0
220;Stikstof (N);Gescheiden rundveemest;2006;0.0;0.0;0.0;0.0;0.0
221;Stikstof (N);Gescheiden rundveemest;2007;0.0;0.0;0.0;0.0;0.0
222;Stikstof (N);Gescheiden rundveemest;2008;0.0;0.0;0.0;0.0;0.0
223;Stikstof (N);Gescheiden rundveemest;2009;0.0;0.0;0.0;0.0;0.0
224;Stikstof (N);Gescheiden rundveemest;2010;0.0;0.0;0.0;0.0;0.0
225;Stikstof (N);Gescheiden rundveemest;2011;0.2;0.2;0.0;0.0;0.0
226;Stikstof (N);Gescheiden rundveemest;2012;0.2;0.2;0.0;0.0;0.0
227;Stikstof (N);Gescheiden rundveemest;2013;0.2;0.2;0.0;0.0;0.0
228;Stikstof (N);Gescheiden rundveemest;2014;0.6;0.6;0.0;0.0;0.0
229;Stikstof (N);Gescheiden rundveemest;2015;1.5;1.5;0.0;0.0;0.0
230;Stikstof (N);Gescheiden rundveemest;2016;1.8;1.8;0.0;0.0;0.0
231;Stikstof (N);Gescheiden rundveemest;2017;1.5;1.5;0.0;0.0;0.0
232;Stikstof (N);Gescheiden rundveemest;2018;1.0;1.0;0.0;0.0;0.0
233;Stikstof (N);Gescheiden rundveemest;2019;0.8;0.8;0.0;0.0;0.0
234;Stikstof (N);Gescheiden rundveemest;2020;0.8;0.8;0.0;0.0;0.0
235;Stikstof (N);Gescheiden rundveemest;2021;0.8;0.8;0.0;0.0;0.0
236;Stikstof (N);Gescheiden rundveemest;2022;0.7;0.7;0.0;0.0;0.0
237;Stikstof (N);Gescheiden rundveemest;2023;0.8;0.8;0.0;0.0;0.0
238;Stikstof (N);Dunne rundveemest;1990;1.4;0.0;1.4;;0.0
239;Stikstof (N);Dunne rundveemest;1991;3.7;0.0;3.7;;0.0
240;Stikstof (N);Dunne rundveemest;1992;3.8;0.0;3.8;;0.0
241;Stikstof (N);Dunne rundveemest;1993;3.6;0.0;3.6;;0.0
242;Stikstof (N);Dunne rundveemest;1994;4.2;0.3;3.7;;0.3
243;Stikstof (N);Dunne rundveemest;1995;4.2;0.3;3.6;;0.3
244;Stikstof (N);Dunne rundveemest;1996;4.1;0.0;3.8;;0.3
245;Stikstof (N);Dunne rundveemest;1997;5.3;0.0;5.0;;0.3
246;Stikstof (N);Dunne rundveemest;1998;6.0;0.0;5.1;;0.9
247;Stikstof (N);Dunne rundveemest;1999;4.5;0.0;3.7;;0.8
248;Stikstof (N);Dunne rundveemest;2000;2.7;0.0;2.4;;0.3
249;Stikstof (N);Dunne rundveemest;2001;2.5;0.3;1.9;;0.3
250;Stikstof (N);Dunne rundveemest;2002;4.3;0.0;4.1;;0.3
251;Stikstof (N);Dunne rundveemest;2003;3.4;0.0;3.4;;0.0
252;Stikstof (N);Dunne rundveemest;2004;2.3;0.0;2.3;;0.0
253;Stikstof (N);Dunne rundveemest;2005;5.6;0.1;5.4;;0.1
254;Stikstof (N);Dunne rundveemest;2006;4.9;0.0;2.9;1.9;0.0
255;Stikstof (N);Dunne rundveemest;2007;4.1;0.1;2.1;1.9;0.0
256;Stikstof (N);Dunne rundveemest;2008;7.3;1.2;4.1;2.0;0.0
257;Stikstof (N);Dunne rundveemest;2009;8.1;1.0;5.1;2.0;0.0
258;Stikstof (N);Dunne rundveemest;2010;3.8;0.2;1.3;2.2;0.0
259;Stikstof (N);Dunne rundveemest;2011;3.8;0.3;1.3;2.2;0.0
260;Stikstof (N);Dunne rundveemest;2012;3.8;0.2;1.4;2.1;0.0
261;Stikstof (N);Dunne rundveemest;2013;4.3;0.4;1.8;2.2;0.0
262;Stikstof (N);Dunne rundveemest;2014;4.2;0.5;1.6;2.1;0.0
263;Stikstof (N);Dunne rundveemest;2015;4.2;0.6;1.7;1.9;0.0
264;Stikstof (N);Dunne rundveemest;2016;5.3;0.8;2.3;2.2;0.0
265;Stikstof (N);Dunne rundveemest;2017;5.6;0.8;2.5;2.3;0.0
266;Stikstof (N);Dunne rundveemest;2018;4.9;0.3;2.3;2.3;0.0
267;Stikstof (N);Dunne rundveemest;2019;4.7;0.4;2.0;2.4;0.0
268;Stikstof (N);Dunne rundveemest;2020;5.0;0.4;2.0;2.5;0.0
269;Stikstof (N);Dunne rundveemest;2021;4.3;0.3;1.8;2.2;0.0
270;Stikstof (N);Dunne rundveemest;2022;4.2;0.2;1.9;2.2;0.0
271;Stikstof (N);Dunne rundveemest;2023;4.3;0.2;1.9;2.2;0.0
272;Stikstof (N);Mest van vleeskalveren;1990;1.1;0.0;0.5;;0.6
273;Stikstof (N);Mest van vleeskalveren;1991;0.7;0.0;0.1;;0.6
274;Stikstof (N);Mest van vleeskalveren;1992;0.8;0.0;0.2;;0.6
275;Stikstof (N);Mest van vleeskalveren;1993;0.8;0.0;0.2;;0.6
276;Stikstof (N);Mest van vleeskalveren;1994;0.8;0.0;0.2;;0.6
277;Stikstof (N);Mest van vleeskalveren;1995;1.5;0.0;0.2;;1.3
278;Stikstof (N);Mest van vleeskalveren;1996;1.6;0.0;0.2;;1.4
279;Stikstof (N);Mest van vleeskalveren;1997;1.6;0.0;0.2;;1.4
280;Stikstof (N);Mest van vleeskalveren;1998;1.6;0.0;0.1;;1.5
281;Stikstof (N);Mest van vleeskalveren;1999;1.7;0.2;0.1;;1.4
282;Stikstof (N);Mest van vleeskalveren;2000;2.2;0.6;0.1;;1.5
283;Stikstof (N);Mest van vleeskalveren;2001;2.0;0.4;0.2;;1.4
284;Stikstof (N);Mest van vleeskalveren;2002;1.9;0.4;0.2;;1.3
285;Stikstof (N);Mest van vleeskalveren;2003;1.5;0.0;0.2;;1.3
286;Stikstof (N);Mest van vleeskalveren;2004;1.3;0.0;0.0;;1.3
287;Stikstof (N);Mest van vleeskalveren;2005;1.9;0.3;0.4;;1.2
288;Stikstof (N);Mest van vleeskalveren;2006;2.2;0.0;0.7;0.0;1.4
289;Stikstof (N);Mest van vleeskalveren;2007;2.6;0.1;1.1;0.0;1.4
290;Stikstof (N);Mest van vleeskalveren;2008;2.3;0.1;0.9;0.0;1.3
291;Stikstof (N);Mest van vleeskalveren;2009;2.0;0.1;0.6;0.0;1.4
292;Stikstof (N);Mest van vleeskalveren;2010;2.3;0.1;0.6;0.0;1.5
293;Stikstof (N);Mest van vleeskalveren;2011;2.4;0.3;0.6;0.0;1.5
294;Stikstof (N);Mest van vleeskalveren;2012;2.5;0.3;0.7;0.0;1.6
295;Stikstof (N);Mest van vleeskalveren;2013;2.7;0.3;0.8;0.0;1.6
296;Stikstof (N);Mest van vleeskalveren;2014;2.7;0.5;0.5;0.0;1.7
297;Stikstof (N);Mest van vleeskalveren;2015;3.0;0.5;0.5;0.0;1.9
298;Stikstof (N);Mest van vleeskalveren;2016;2.8;0.3;0.5;0.0;2.0
299;Stikstof (N);Mest van vleeskalveren;2017;2.8;0.2;0.6;0.0;2.0
300;Stikstof (N);Mest van vleeskalveren;2018;2.8;0.3;0.6;0.0;1.9
301;Stikstof (N);Mest van vleeskalveren;2019;3.0;0.5;0.7;0.0;1.8
302;Stikstof (N);Mest van vleeskalveren;2020;2.8;0.4;0.7;0.0;1.8
303;Stikstof (N);Mest van vleeskalveren;2021;2.7;0.3;0.6;0.0;1.7
304;Stikstof (N);Mest van vleeskalveren;2022;2.6;0.4;0.6;0.0;1.5
305;Stikstof (N);Mest van vleeskalveren;2023;2.5;0.5;0.5;0.0;1.6
306;Stikstof (N);Vaste varkensmest;1990;0.0;0.0;0.0;;0.0
307;Stikstof (N);Vaste varkensmest;1991;0.0;0.0;0.0;;0.0
308;Stikstof (N);Vaste varkensmest;1992;0.0;0.0;0.0;;0.0
309;Stikstof (N);Vaste varkensmest;1993;0.0;0.0;0.0;;0.0
310;Stikstof (N);Vaste varkensmest;1994;0.0;0.0;0.0;;0.0
311;Stikstof (N);Vaste varkensmest;1995;0.0;0.0;0.0;;0.0
312;Stikstof (N);Vaste varkensmest;1996;0.0;0.0;0.0;;0.0
313;Stikstof (N);Vaste varkensmest;1997;0.0;0.0;0.0;;0.0
314;Stikstof (N);Vaste varkensmest;1998;0.0;0.0;0.0;;0.0
315;Stikstof (N);Vaste varkensmest;1999;0.0;0.0;0.0;;0.0
316;Stikstof (N);Vaste varkensmest;2000;0.0;0.0;0.0;;0.0
317;Stikstof (N);Vaste varkensmest;2001;0.0;0.0;0.0;;0.0
318;Stikstof (N);Vaste varkensmest;2002;0.0;0.0;0.0;;0.0
319;Stikstof (N);Vaste varkensmest;2003;0.0;0.0;0.0;;0.0
320;Stikstof (N);Vaste varkensmest;2004;0.0;0.0;0.0;;0.0
321;Stikstof (N);Vaste varkensmest;2005;0.0;0.0;0.0;;0.0
322;Stikstof (N);Vaste varkensmest;2006;0.0;0.0;0.0;0.0;0.0
323;Stikstof (N);Vaste varkensmest;2007;0.0;0.0;0.0;0.0;0.0
324;Stikstof (N);Vaste varkensmest;2008;0.0;0.0;0.0;0.0;0.0
