ID;Voertuigcategorie;BouwjaarVoertuig;Wegtype;CO_1;VOS_2;NOx_3;PM10_4
27;Totaal;2009;Bebouwde kom;2.54;0.66;0.93;0.021
28;Totaal;2009;Buitenwegen;1.87;0.16;0.54;0.011
29;Totaal;2009;Autosnelwegen;0.76;0.01;0.53;0.022
30;Personenauto-benzine;Bouwjaargroep 2000 en ouder;Bebouwde kom;8.51;0.92;0.59;0.014
31;Personenauto-benzine;Bouwjaargroep 2000 en ouder;Buitenwegen;4.38;0.37;0.43;0.007
32;Personenauto-benzine;Bouwjaargroep 2000 en ouder;Autosnelwegen;3.56;0.21;0.69;0.007
33;Personenauto-benzine;2001;Bebouwde kom;3.33;0.43;0.12;0.006
34;Personenauto-benzine;2001;Buitenwegen;3.17;0.21;0.06;0.002
35;Personenauto-benzine;2001;Autosnelwegen;1.57;0.01;0.03;0.002
36;Personenauto-benzine;2002;Bebouwde kom;3.33;0.43;0.12;0.006
37;Personenauto-benzine;2002;Buitenwegen;3.17;0.21;0.06;0.002
38;Personenauto-benzine;2002;Autosnelwegen;1.57;0.01;0.03;0.002
39;Personenauto-benzine;2003;Bebouwde kom;2.89;0.41;0.1;0.006
40;Personenauto-benzine;2003;Buitenwegen;2.92;0.2;0.04;0.002
41;Personenauto-benzine;2003;Autosnelwegen;1.44;0.01;0.02;0.002
42;Personenauto-benzine;2004;Bebouwde kom;2.67;0.41;0.09;0.007
43;Personenauto-benzine;2004;Buitenwegen;2.79;0.2;0.03;0.002
44;Personenauto-benzine;2004;Autosnelwegen;1.38;0.01;0.02;0.002
45;Personenauto-benzine;2005;Bebouwde kom;2.45;0.4;0.07;0.007
46;Personenauto-benzine;2005;Buitenwegen;2.67;0.19;0.02;0.002
47;Personenauto-benzine;2005;Autosnelwegen;1.31;0.01;0.01;0.002
48;Personenauto-benzine;2006;Bebouwde kom;2.45;0.4;0.07;0.007
49;Personenauto-benzine;2006;Buitenwegen;2.67;0.19;0.02;0.002
50;Personenauto-benzine;2006;Autosnelwegen;1.31;0.01;0.01;0.002
51;Personenauto-benzine;2007;Bebouwde kom;2.45;0.4;0.07;0.007
52;Personenauto-benzine;2007;Buitenwegen;2.67;0.19;0.02;0.002
53;Personenauto-benzine;2007;Autosnelwegen;1.31;0.01;0.01;0.002
54;Personenauto-benzine;2008;Bebouwde kom;2.45;0.4;0.07;0.007
55;Personenauto-benzine;2008;Buitenwegen;2.67;0.19;0.02;0.002
56;Personenauto-benzine;2008;Autosnelwegen;1.31;0.01;0.01;0.002
57;Personenauto-benzine;2009;Bebouwde kom;2.45;0.4;0.07;0.007
58;Personenauto-benzine;2009;Buitenwegen;2.67;0.19;0.02;0.002
59;Personenauto-benzine;2009;Autosnelwegen;1.31;0.01;0.01;0.002
60;Personenauto-diesel;Bouwjaargroep 2000 en ouder;Bebouwde kom;1.18;0.23;0.9;0.22
61;Personenauto-diesel;Bouwjaargroep 2000 en ouder;Buitenwegen;0.37;0.08;0.55;0.104
62;Personenauto-diesel;Bouwjaargroep 2000 en ouder;Autosnelwegen;0.29;0.06;0.63;0.13
63;Personenauto-diesel;2001;Bebouwde kom;0.6;0.05;0.89;0.058
64;Personenauto-diesel;2001;Buitenwegen;0.17;0.01;0.55;0.025
65;Personenauto-diesel;2001;Autosnelwegen;0.01;0.0;0.54;0.056
66;Personenauto-diesel;2002;Bebouwde kom;0.6;0.05;0.89;0.058
67;Personenauto-diesel;2002;Buitenwegen;0.17;0.01;0.55;0.025
68;Personenauto-diesel;2002;Autosnelwegen;0.01;0.0;0.54;0.056
69;Personenauto-diesel;2003;Bebouwde kom;0.6;0.05;0.89;0.058
70;Personenauto-diesel;2003;Buitenwegen;0.17;0.01;0.55;0.025
71;Personenauto-diesel;2003;Autosnelwegen;0.01;0.0;0.54;0.056
72;Personenauto-diesel;2004;Bebouwde kom;0.6;0.05;0.89;0.058
73;Personenauto-diesel;2004;Buitenwegen;0.17;0.01;0.55;0.025
74;Personenauto-diesel;2004;Autosnelwegen;0.01;0.0;0.54;0.056
75;Personenauto-diesel;2005;Bebouwde kom;0.25;0.02;0.51;0.018
76;Personenauto-diesel;2005;Buitenwegen;0.14;0.01;0.38;0.01
77;Personenauto-diesel;2005;Autosnelwegen;0.03;0.0;0.39;0.025
78;Personenauto-diesel;2006;Bebouwde kom;0.25;0.02;0.51;0.018
79;Personenauto-diesel;2006;Buitenwegen;0.14;0.01;0.38;0.01
80;Personenauto-diesel;2006;Autosnelwegen;0.03;0.0;0.39;0.025
81;Personenauto-diesel;2007;Bebouwde kom;0.25;0.02;0.51;0.018
82;Personenauto-diesel;2007;Buitenwegen;0.14;0.01;0.38;0.01
83;Personenauto-diesel;2007;Autosnelwegen;0.03;0.0;0.39;0.025
84;Personenauto-diesel;2008;Bebouwde kom;0.25;0.02;0.51;0.018
85;Personenauto-diesel;2008;Buitenwegen;0.14;0.01;0.38;0.01
86;Personenauto-diesel;2008;Autosnelwegen;0.03;0.0;0.39;0.025
87;Personenauto-diesel;2009;Bebouwde kom;0.25;0.02;0.51;0.018
88;Personenauto-diesel;2009;Buitenwegen;0.14;0.01;0.38;0.01
89;Personenauto-diesel;2009;Autosnelwegen;0.03;0.0;0.39;0.025
90;Personenauto-LPG;Bouwjaargroep 2000 en ouder;Bebouwde kom;7.04;0.86;0.81;0.012
91;Personenauto-LPG;Bouwjaargroep 2000 en ouder;Buitenwegen;3.66;0.38;0.56;0.007
92;Personenauto-LPG;Bouwjaargroep 2000 en ouder;Autosnelwegen;1.32;0.22;0.7;0.007
93;Personenauto-LPG;2001;Bebouwde kom;2.58;0.4;0.39;0.005
94;Personenauto-LPG;2001;Buitenwegen;2.57;0.17;0.2;0.002
95;Personenauto-LPG;2001;Autosnelwegen;1.0;0.01;0.15;0.002
96;Personenauto-LPG;2002;Bebouwde kom;2.58;0.4;0.39;0.005
97;Personenauto-LPG;2002;Buitenwegen;2.57;0.17;0.2;0.002
98;Personenauto-LPG;2002;Autosnelwegen;1.0;0.01;0.15;0.002
99;Personenauto-LPG;2003;Bebouwde kom;2.25;0.4;0.27;0.005
