ID;MunicipalTasks;Regions;Periods;Revenues_1;Expenditures_2;Balance_3;Revenues_4;Expenditures_5;Balance_6
99;Total municipal tasks;Utrecht (PV);2017;3655;3655;0;2845;2845;0
100;Total municipal tasks;Utrecht (PV);2018;3798;3798;0;2931;2931;0
101;Total municipal tasks;Utrecht (PV);2019;4091;4091;0;3048;3048;0
102;Total municipal tasks;Utrecht (PV);2020;4199;4199;0;3099;3099;0
103;Total municipal tasks;Utrecht (PV);2021;4393;4393;0;3228;3228;0
104;Total municipal tasks;Utrecht (PV);2022;4505;4505;0;3289;3289;0
105;Total municipal tasks;Utrecht (PV);2023;4913;4913;0;3540;3540;0
106;Total municipal tasks;Utrecht (PV);2024;5513;5513;0;3937;3937;0
107;Total municipal tasks;Utrecht (PV);2025;5858;5858;0;4158;4158;0
108;Total municipal tasks;Noord-Holland (PV);2017;10573;10573;0;3758;3758;0
109;Total municipal tasks;Noord-Holland (PV);2018;10907;10907;0;3850;3850;0
110;Total municipal tasks;Noord-Holland (PV);2019;11252;11252;0;3943;3943;0
111;Total municipal tasks;Noord-Holland (PV);2020;12285;12285;0;4266;4266;0
112;Total municipal tasks;Noord-Holland (PV);2021;13001;13001;0;4502;4502;0
113;Total municipal tasks;Noord-Holland (PV);2022;12988;12988;0;4461;4462;0
114;Total municipal tasks;Noord-Holland (PV);2023;13475;13475;0;4558;4558;0
115;Total municipal tasks;Noord-Holland (PV);2024;14550;14550;0;4882;4882;0
116;Total municipal tasks;Noord-Holland (PV);2025;16138;16138;0;5392;5392;0
117;Total municipal tasks;Zuid-Holland (PV);2017;13216;13216;0;3618;3618;0
118;Total municipal tasks;Zuid-Holland (PV);2018;13389;13389;0;3638;3638;0
119;Total municipal tasks;Zuid-Holland (PV);2019;13720;13720;0;3734;3734;0
120;Total municipal tasks;Zuid-Holland (PV);2020;14401;14401;0;3883;3883;0
121;Total municipal tasks;Zuid-Holland (PV);2021;14859;14859;0;3988;3988;0
122;Total municipal tasks;Zuid-Holland (PV);2022;15506;15506;0;4131;4131;0
123;Total municipal tasks;Zuid-Holland (PV);2023;16651;16651;0;4376;4376;0
124;Total municipal tasks;Zuid-Holland (PV);2024;17943;17943;0;4672;4672;0
125;Total municipal tasks;Zuid-Holland (PV);2025;19198;19198;0;4970;4970;0
126;Total municipal tasks;Zeeland (PV);2017;1149;1149;0;3010;3010;0
127;Total municipal tasks;Zeeland (PV);2018;1176;1176;0;3077;3076;0
128;Total municipal tasks;Zeeland (PV);2019;1231;1231;0;3214;3214;0
129;Total municipal tasks;Zeeland (PV);2020;1295;1295;0;3376;3376;0
130;Total municipal tasks;Zeeland (PV);2021;1320;1320;0;3426;3426;0
131;Total municipal tasks;Zeeland (PV);2022;1377;1377;0;3561;3561;0
132;Total municipal tasks;Zeeland (PV);2023;1496;1496;0;3825;3824;0
133;Total municipal tasks;Zeeland (PV);2024;1677;1677;0;4283;4283;0
134;Total municipal tasks;Zeeland (PV);2025;1840;1841;0;4683;4683;0
135;Total municipal tasks;Noord-Brabant (PV);2017;7500;7500;0;2984;2984;0
136;Total municipal tasks;Noord-Brabant (PV);2018;7779;7779;0;3076;3076;0
137;Total municipal tasks;Noord-Brabant (PV);2019;8136;8136;0;3197;3197;0
138;Total municipal tasks;Noord-Brabant (PV);2020;8321;8321;0;3246;3246;0
139;Total municipal tasks;Noord-Brabant (PV);2021;8509;8509;0;3306;3306;0
140;Total municipal tasks;Noord-Brabant (PV);2022;8825;8825;0;3404;3403;0
141;Total municipal tasks;Noord-Brabant (PV);2023;9602;9602;0;3656;3656;0
142;Total municipal tasks;Noord-Brabant (PV);2024;10309;10309;0;3898;3898;0
143;Total municipal tasks;Noord-Brabant (PV);2025;11108;11108;0;4169;4169;0
144;Total municipal tasks;Limburg (PV);2017;3485;3485;0;3118;3118;0
145;Total municipal tasks;Limburg (PV);2018;3563;3563;0;3189;3189;0
146;Total municipal tasks;Limburg (PV);2019;3739;3739;0;3350;3350;0
147;Total municipal tasks;Limburg (PV);2020;3849;3849;0;3445;3445;0
148;Total municipal tasks;Limburg (PV);2021;3799;3799;0;3404;3404;0
149;Total municipal tasks;Limburg (PV);2022;4024;4024;0;3598;3598;0
150;Total municipal tasks;Limburg (PV);2023;4275;4275;0;3789;3789;0
151;Total municipal tasks;Limburg (PV);2024;4737;4737;0;4181;4181;0
152;Total municipal tasks;Limburg (PV);2025;5005;5005;0;4407;4407;0
153;Total municipal tasks;Oost-Groningen (CR);2017;511;511;0;3464;3463;0
154;Total municipal tasks;Oost-Groningen (CR);2018;470;470;0;3484;3484;0
155;Total municipal tasks;Oost-Groningen (CR);2019;486;486;0;3601;3601;0
156;Total municipal tasks;Oost-Groningen (CR);2020;503;503;0;3719;3719;0
157;Total municipal tasks;Oost-Groningen (CR);2021;512;512;0;3773;3773;0
158;Total municipal tasks;Oost-Groningen (CR);2022;555;555;0;4065;4066;0
159;Total municipal tasks;Oost-Groningen (CR);2023;583;583;0;4229;4230;0
160;Total municipal tasks;Oost-Groningen (CR);2024;637;637;0;4617;4617;0
161;Total municipal tasks;Oost-Groningen (CR);2025;692;692;0;4969;4968;1
162;Total municipal tasks;Delfzijl en omgeving (CR);2017;159;159;0;3387;3387;0
163;Total municipal tasks;Delfzijl en omgeving (CR);2018;171;171;0;3680;3680;0
164;Total municipal tasks;Delfzijl en omgeving (CR);2019;174;174;0;3787;3787;0
165;Total municipal tasks;Delfzijl en omgeving (CR);2020;185;185;0;4026;4027;-1
166;Total municipal tasks;Delfzijl en omgeving (CR);2021;244;244;0;5360;5360;0
167;Total municipal tasks;Delfzijl en omgeving (CR);2022;326;326;0;7185;7185;0
168;Total municipal tasks;Delfzijl en omgeving (CR);2023;354;354;0;7799;7799;0
169;Total municipal tasks;Delfzijl en omgeving (CR);2024;323;323;0;7166;7166;0
170;Total municipal tasks;Delfzijl en omgeving (CR);2025;312;312;0;6955;6955;0
171;Total municipal tasks;Overig Groningen (CR);2017;1506;1506;0;3869;3869;0
172;Total municipal tasks;Overig Groningen (CR);2018;1575;1575;0;3920;3920;0
173;Total municipal tasks;Overig Groningen (CR);2019;1594;1594;0;3953;3953;0
174;Total municipal tasks;Overig Groningen (CR);2020;1596;1596;0;3942;3942;0
175;Total municipal tasks;Overig Groningen (CR);2021;1619;1619;0;3994;3994;0
176;Total municipal tasks;Overig Groningen (CR);2022;1700;1700;0;4166;4166;0
177;Total municipal tasks;Overig Groningen (CR);2023;1814;1814;0;4392;4392;0
178;Total municipal tasks;Overig Groningen (CR);2024;2034;2034;0;4861;4861;0
179;Total municipal tasks;Overig Groningen (CR);2025;2193;2193;0;5232;5232;0
180;Total municipal tasks;Noord-Friesland (CR);2017;1116;1116;0;3440;3440;0
181;Total municipal tasks;Noord-Friesland (CR);2018;1125;1125;0;3527;3527;0
182;Total municipal tasks;Noord-Friesland (CR);2019;1154;1154;0;3615;3615;0
183;Total municipal tasks;Noord-Friesland (CR);2020;1190;1190;0;3710;3711;0
184;Total municipal tasks;Noord-Friesland (CR);2021;1225;1225;0;3810;3810;0
185;Total municipal tasks;Noord-Friesland (CR);2022;1277;1278;0;3950;3950;0
186;Total municipal tasks;Noord-Friesland (CR);2023;1373;1373;0;4203;4203;0
187;Total municipal tasks;Noord-Friesland (CR);2024;1448;1448;0;4404;4404;0
188;Total municipal tasks;Noord-Friesland (CR);2025;1566;1566;0;4745;4745;0
189;Total municipal tasks;Zuidwest-Friesland (CR);2017;365;365;0;2687;2687;0
190;Total municipal tasks;Zuidwest-Friesland (CR);2018;369;369;0;2611;2611;0
191;Total municipal tasks;Zuidwest-Friesland (CR);2019;383;383;0;2710;2710;0
192;Total municipal tasks;Zuidwest-Friesland (CR);2020;419;419;0;2958;2958;0
193;Total municipal tasks;Zuidwest-Friesland (CR);2021;410;410;0;2892;2892;0
194;Total municipal tasks;Zuidwest-Friesland (CR);2022;434;434;0;3057;3057;0
195;Total municipal tasks;Zuidwest-Friesland (CR);2023;471;471;0;3298;3297;0
196;Total municipal tasks;Zuidwest-Friesland (CR);2024;501;501;0;3518;3518;0
197;Total municipal tasks;Zuidwest-Friesland (CR);2025;552;552;0;3863;3863;0
198;Total municipal tasks;Zuidoost-Friesland (CR);2017;581;581;0;3112;3112;0
199;Total municipal tasks;Zuidoost-Friesland (CR);2018;578;578;0;3090;3090;0
200;Total municipal tasks;Zuidoost-Friesland (CR);2019;573;573;0;3061;3061;0
201;Total municipal tasks;Zuidoost-Friesland (CR);2020;587;588;0;3129;3129;0
202;Total municipal tasks;Zuidoost-Friesland (CR);2021;596;596;0;3169;3169;0
203;Total municipal tasks;Zuidoost-Friesland (CR);2022;630;630;0;3339;3339;0
204;Total municipal tasks;Zuidoost-Friesland (CR);2023;671;671;0;3532;3532;0
205;Total municipal tasks;Zuidoost-Friesland (CR);2024;766;766;0;4013;4013;0
206;Total municipal tasks;Zuidoost-Friesland (CR);2025;795;795;0;4152;4152;0
207;Total municipal tasks;Noord-Drenthe (CR);2017;613;613;0;3182;3182;0
208;Total municipal tasks;Noord-Drenthe (CR);2018;645;645;0;3357;3357;0
209;Total municipal tasks;Noord-Drenthe (CR);2019;623;623;0;3253;3253;0
210;Total municipal tasks;Noord-Drenthe (CR);2020;649;649;0;3372;3372;0
211;Total municipal tasks;Noord-Drenthe (CR);2021;635;635;0;3295;3295;0
212;Total municipal tasks;Noord-Drenthe (CR);2022;675;675;0;3485;3485;0
213;Total municipal tasks;Noord-Drenthe (CR);2023;717;717;0;3668;3668;0
214;Total municipal tasks;Noord-Drenthe (CR);2024;748;748;0;3816;3816;0
215;Total municipal tasks;Noord-Drenthe (CR);2025;829;829;0;4203;4203;0
216;Total municipal tasks;Zuidoost-Drenthe (CR);2017;563;563;0;3349;3349;0
217;Total municipal tasks;Zuidoost-Drenthe (CR);2018;584;584;0;3477;3477;0
218;Total municipal tasks;Zuidoost-Drenthe (CR);2019;590;590;0;3513;3513;0
219;Total municipal tasks;Zuidoost-Drenthe (CR);2020;609;609;0;3626;3626;0
220;Total municipal tasks;Zuidoost-Drenthe (CR);2021;606;606;0;3608;3608;0
221;Total municipal tasks;Zuidoost-Drenthe (CR);2022;613;613;0;3624;3624;0
222;Total municipal tasks;Zuidoost-Drenthe (CR);2023;636;636;0;3735;3735;0
223;Total municipal tasks;Zuidoost-Drenthe (CR);2024;708;708;0;4140;4140;0
224;Total municipal tasks;Zuidoost-Drenthe (CR);2025;767;767;0;4471;4471;0
225;Total municipal tasks;Zuidwest-Drenthe (CR);2017;375;375;0;2855;2855;0
226;Total municipal tasks;Zuidwest-Drenthe (CR);2018;374;374;0;2831;2831;0
227;Total municipal tasks;Zuidwest-Drenthe (CR);2019;405;405;0;3052;3052;0
228;Total municipal tasks;Zuidwest-Drenthe (CR);2020;395;395;0;2958;2958;0
229;Total municipal tasks;Zuidwest-Drenthe (CR);2021;411;411;0;3063;3063;0
230;Total municipal tasks;Zuidwest-Drenthe (CR);2022;425;425;0;3148;3148;0
231;Total municipal tasks;Zuidwest-Drenthe (CR);2023;474;474;0;3476;3476;0
232;Total municipal tasks;Zuidwest-Drenthe (CR);2024;517;517;0;3775;3775;0
233;Total municipal tasks;Zuidwest-Drenthe (CR);2025;544;544;0;3946;3946;0
234;Total municipal tasks;Noord-Overijssel (CR);2017;1092;1092;0;2980;2980;0
235;Total municipal tasks;Noord-Overijssel (CR);2018;1140;1140;0;3092;3092;0
236;Total municipal tasks;Noord-Overijssel (CR);2019;1213;1213;0;3265;3265;0
237;Total municipal tasks;Noord-Overijssel (CR);2020;1254;1254;0;3346;3346;0
238;Total municipal tasks;Noord-Overijssel (CR);2021;1239;1239;0;3285;3285;0
239;Total municipal tasks;Noord-Overijssel (CR);2022;1365;1365;0;3594;3594;0
240;Total municipal tasks;Noord-Overijssel (CR);2023;1485;1485;0;3851;3851;0
241;Total municipal tasks;Noord-Overijssel (CR);2024;1669;1669;0;4305;4305;0
242;Total municipal tasks;Noord-Overijssel (CR);2025;1808;1808;0;4634;4633;0
243;Total municipal tasks;Zuidwest-Overijssel (CR);2017;449;449;0;2910;2910;0
244;Total municipal tasks;Zuidwest-Overijssel (CR);2018;459;459;0;2966;2966;0
245;Total municipal tasks;Zuidwest-Overijssel (CR);2019;478;478;0;3074;3074;0
246;Total municipal tasks;Zuidwest-Overijssel (CR);2020;509;509;0;3250;3250;0
247;Total municipal tasks;Zuidwest-Overijssel (CR);2021;511;511;0;3246;3245;0
248;Total municipal tasks;Zuidwest-Overijssel (CR);2022;568;568;0;3594;3594;0
249;Total municipal tasks;Zuidwest-Overijssel (CR);2023;636;636;0;3973;3972;0
250;Total municipal tasks;Zuidwest-Overijssel (CR);2024;674;674;0;4198;4199;0
251;Total municipal tasks;Zuidwest-Overijssel (CR);2025;707;707;0;4367;4367;0
252;Total municipal tasks;Twente (CR);2017;1989;1989;0;3172;3172;0
253;Total municipal tasks;Twente (CR);2018;2058;2058;0;3277;3277;0
254;Total municipal tasks;Twente (CR);2019;2109;2109;0;3352;3352;0
255;Total municipal tasks;Twente (CR);2020;2165;2165;0;3430;3430;0
256;Total municipal tasks;Twente (CR);2021;2208;2208;0;3496;3496;0
257;Total municipal tasks;Twente (CR);2022;2296;2296;0;3622;3622;0
258;Total municipal tasks;Twente (CR);2023;2429;2429;0;3801;3801;0
259;Total municipal tasks;Twente (CR);2024;2673;2673;0;4171;4171;0
260;Total municipal tasks;Twente (CR);2025;2906;2906;0;4516;4516;0
261;Total municipal tasks;Veluwe (CR);2017;1858;1858;0;2742;2742;0
262;Total municipal tasks;Veluwe (CR);2018;1968;1968;0;2880;2880;0
263;Total municipal tasks;Veluwe (CR);2019;2124;2124;0;3084;3084;0
264;Total municipal tasks;Veluwe (CR);2020;2114;2114;0;3039;3039;0
265;Total municipal tasks;Veluwe (CR);2021;2138;2138;0;3050;3050;0
266;Total municipal tasks;Veluwe (CR);2022;2237;2237;0;3165;3165;0
267;Total municipal tasks;Veluwe (CR);2023;2431;2431;0;3396;3396;0
268;Total municipal tasks;Veluwe (CR);2024;2638;2638;0;3651;3651;0
269;Total municipal tasks;Veluwe (CR);2025;2859;2859;0;3932;3932;0
270;Total municipal tasks;Achterhoek (CR);2017;1058;1058;0;2647;2647;0
271;Total municipal tasks;Achterhoek (CR);2018;1087;1087;0;2715;2715;0
272;Total municipal tasks;Achterhoek (CR);2019;1139;1139;0;2842;2842;0
273;Total municipal tasks;Achterhoek (CR);2020;1154;1154;0;2877;2877;0
274;Total municipal tasks;Achterhoek (CR);2021;1193;1193;0;2967;2967;0
275;Total municipal tasks;Achterhoek (CR);2022;1233;1233;0;3057;3057;0
276;Total municipal tasks;Achterhoek (CR);2023;1334;1334;0;3283;3283;0
277;Total municipal tasks;Achterhoek (CR);2024;1437;1437;0;3533;3533;0
278;Total municipal tasks;Achterhoek (CR);2025;1594;1594;0;3906;3906;0
279;Total municipal tasks;Arnhem/Nijmegen (CR);2017;2415;2415;0;3305;3305;0
280;Total municipal tasks;Arnhem/Nijmegen (CR);2018;2515;2515;0;3421;3421;0
281;Total municipal tasks;Arnhem/Nijmegen (CR);2019;2549;2549;0;3452;3452;0
282;Total municipal tasks;Arnhem/Nijmegen (CR);2020;2660;2660;0;3582;3582;0
283;Total municipal tasks;Arnhem/Nijmegen (CR);2021;2712;2712;0;3642;3642;0
284;Total municipal tasks;Arnhem/Nijmegen (CR);2022;2790;2790;0;3724;3724;0
285;Total municipal tasks;Arnhem/Nijmegen (CR);2023;3105;3105;0;4103;4103;0
286;Total municipal tasks;Arnhem/Nijmegen (CR);2024;3280;3280;0;4292;4292;0
287;Total municipal tasks;Arnhem/Nijmegen (CR);2025;3594;3594;0;4673;4673;0
288;Total municipal tasks;Zuidwest-Gelderland (CR);2017;561;561;0;2337;2337;0
289;Total municipal tasks;Zuidwest-Gelderland (CR);2018;589;589;0;2439;2440;0
290;Total municipal tasks;Zuidwest-Gelderland (CR);2019;619;619;0;2537;2537;0
291;Total municipal tasks;Zuidwest-Gelderland (CR);2020;656;656;0;2658;2658;0
292;Total municipal tasks;Zuidwest-Gelderland (CR);2021;679;679;0;2732;2732;0
293;Total municipal tasks;Zuidwest-Gelderland (CR);2022;671;671;0;2674;2675;0
294;Total municipal tasks;Zuidwest-Gelderland (CR);2023;741;741;0;2911;2910;0
295;Total municipal tasks;Zuidwest-Gelderland (CR);2024;789;789;0;3087;3087;0
296;Total municipal tasks;Zuidwest-Gelderland (CR);2025;871;871;0;3386;3386;0
297;Total municipal tasks;Utrecht (CR);2017;3655;3655;0;2845;2845;0
298;Total municipal tasks;Utrecht (CR);2018;3798;3798;0;2931;2931;0
299;Total municipal tasks;Utrecht (CR);2019;4091;4091;0;3048;3048;0
300;Total municipal tasks;Utrecht (CR);2020;4199;4199;0;3099;3099;0
301;Total municipal tasks;Utrecht (CR);2021;4393;4393;0;3228;3228;0
302;Total municipal tasks;Utrecht (CR);2022;4505;4505;0;3289;3289;0
303;Total municipal tasks;Utrecht (CR);2023;4913;4913;0;3540;3540;0
304;Total municipal tasks;Utrecht (CR);2024;5513;5513;0;3937;3937;0
305;Total municipal tasks;Utrecht (CR);2025;5858;5858;0;4158;4158;0
306;Total municipal tasks;Kop van Noord-Holland (CR);2017;980;980;0;2625;2625;0
307;Total municipal tasks;Kop van Noord-Holland (CR);2018;1014;1014;0;2708;2708;0
308;Total municipal tasks;Kop van Noord-Holland (CR);2019;1048;1048;0;2789;2789;0
309;Total municipal tasks;Kop van Noord-Holland (CR);2020;1109;1109;0;2936;2936;0
310;Total municipal tasks;Kop van Noord-Holland (CR);2021;1153;1153;0;3039;3039;0
311;Total municipal tasks;Kop van Noord-Holland (CR);2022;1206;1206;0;3164;3164;0
312;Total municipal tasks;Kop van Noord-Holland (CR);2023;1293;1293;0;3352;3352;0
313;Total municipal tasks;Kop van Noord-Holland (CR);2024;1448;1448;0;3746;3746;0
314;Total municipal tasks;Kop van Noord-Holland (CR);2025;1519;1519;0;3906;3906;0
315;Total municipal tasks;Alkmaar en omgeving (CR);2017;670;670;0;2750;2750;0
316;Total municipal tasks;Alkmaar en omgeving (CR);2018;710;710;0;2895;2895;0
317;Total municipal tasks;Alkmaar en omgeving (CR);2019;766;766;0;3104;3104;0
318;Total municipal tasks;Alkmaar en omgeving (CR);2020;769;769;0;3086;3086;0
319;Total municipal tasks;Alkmaar en omgeving (CR);2021;817;817;0;3260;3260;0
320;Total municipal tasks;Alkmaar en omgeving (CR);2022;814;814;0;3224;3224;0
321;Total municipal tasks;Alkmaar en omgeving (CR);2023;894;894;0;3502;3502;0
322;Total municipal tasks;Alkmaar en omgeving (CR);2024;929;929;0;3621;3621;0
323;Total municipal tasks;Alkmaar en omgeving (CR);2025;974;974;0;3778;3778;0
324;Total municipal tasks;IJmond (CR);2017;451;450;0;2298;2296;2
325;Total municipal tasks;IJmond (CR);2018;470;470;0;2385;2385;0
326;Total municipal tasks;IJmond (CR);2019;496;496;0;2505;2505;0
327;Total municipal tasks;IJmond (CR);2020;502;502;0;2524;2524;0
328;Total municipal tasks;IJmond (CR);2021;535;535;0;2685;2685;0
329;Total municipal tasks;IJmond (CR);2022;553;553;0;2773;2773;0
330;Total municipal tasks;IJmond (CR);2023;585;585;0;2914;2914;0
331;Total municipal tasks;IJmond (CR);2024;655;655;0;3251;3251;0
332;Total municipal tasks;IJmond (CR);2025;696;696;0;3440;3440;0
333;Total municipal tasks;Agglomeratie Haarlem (CR);2017;653;653;0;2821;2821;0
334;Total municipal tasks;Agglomeratie Haarlem (CR);2018;679;679;0;2917;2917;0
335;Total municipal tasks;Agglomeratie Haarlem (CR);2019;700;700;0;3058;3058;0
336;Total municipal tasks;Agglomeratie Haarlem (CR);2020;753;753;0;3261;3261;0
337;Total municipal tasks;Agglomeratie Haarlem (CR);2021;764;764;0;3313;3313;0
