ID;Perioden;Totaal_1;Totaal_2;Aanplantingen_3;Dieren_4;Totaal_5;Totaal_6;MachinesEnWerktuigen_7;Vervoermiddelen_8;Totaal_9;Bedrijfsgebouwen_10;AndereWerkenMUVGrondverbetering_11;Totaal_12;ImmaterieleActivaBVComputerSof_13;BelangrijkeGrondverbetering_14;KostenInVerbandMetDeEigendomsove_15;VerbruikVanVasteActiva_16;NettoInvesteringenInVasteActiva_17;VeranderingenInVoorraden_18;Kapitaaloverdrachten_19;Totaal_20;Totaal_21;Aanplantingen_22;Dieren_23;Totaal_24;Totaal_25;MachinesEnWerktuigen_26;Vervoermiddelen_27;Totaal_28;Bedrijfsgebouwen_29;AndereWerkenMUVGrondverbetering_30;Totaal_31;ImmaterieleActivaBVComputerSof_32;BelangrijkeGrondverbetering_33;KostenInVerbandMetDeEigendomsove_34;VerbruikVanVasteActiva_35;NettoInvesteringenInVasteActiva_36;VeranderingenInVoorraden_37;Kapitaaloverdrachten_38;Totaal_39;Totaal_40;Aanplantingen_41;Dieren_42;Totaal_43;Totaal_44;MachinesEnWerktuigen_45;Vervoermiddelen_46;Totaal_47;Bedrijfsgebouwen_48;AndereWerkenMUVGrondverbetering_49;Totaal_50;ImmaterieleActivaBVComputerSof_51;BelangrijkeGrondverbetering_52;KostenInVerbandMetDeEigendomsove_53;VerbruikVanVasteActiva_54;NettoInvesteringenInVasteActiva_55;VeranderingenInVoorraden_56;Kapitaaloverdrachten_57;Totaal_58;Totaal_59;Aanplantingen_60;Dieren_61;Totaal_62;Totaal_63;MachinesEnWerktuigen_64;Vervoermiddelen_65;Totaal_66;Bedrijfsgebouwen_67;AndereWerkenMUVGrondverbetering_68;Totaal_69;ImmaterieleActivaBVComputerSof_70;BelangrijkeGrondverbetering_71;KostenInVerbandMetDeEigendomsove_72;VerbruikVanVasteActiva_73;NettoInvesteringenInVasteActiva_74;VeranderingenInVoorraden_75;Kapitaaloverdrachten_76
10;2005;3108;261;114;147;2847;1037;971;66;1530;1530;;281;181;14;86;2716;392;6;0;4113;231;129;;3902;1492;1429;75;2068;2068;;319;234;15;85;3458;527;;;2.7;-11.7;0.9;;4.3;-4.8;-5.8;14.4;8.8;8.8;;19.0;42.3;-6.5;-8.9;-0.2;;;;75.6;113.2;88.2;;73.0;69.5;67.9;88.4;74.0;74.0;;88.0;77.5;90.2;100.6;78.5;;;
11;2006;3253;236;116;121;3016;1233;1175;58;1528;1528;;255;169;24;62;2770;483;-5;0;4200;201;128;;4037;1746;1699;67;2006;2006;;283;212;27;59;3448;625;;;2.1;-12.6;-0.7;;3.5;17.0;18.9;-10.2;-3.0;-3.0;;-11.2;-9.1;77.9;-30.2;-0.3;;;;77.4;117.4;90.1;;74.7;70.6;69.2;86.1;76.2;76.2;;89.8;79.5;87.4;104.0;80.3;;;
12;2007;3950;348;125;223;3602;1653;1576;76;1648;1648;;301;182;26;93;2869;1081;37;0;4969;288;132;;4698;2283;2224;85;2105;2105;;326;223;30;86;3488;1355;;;18.3;43.1;3.0;;16.4;30.8;31.0;27.6;5.0;5.0;;15.0;4.9;8.4;45.3;1.2;;;;79.5;120.9;94.8;;76.7;72.4;70.9;89.4;78.3;78.3;;92.3;81.7;87.4;107.4;82.2;;;
13;2008;4264;295;122;173;3968;1821;1744;77;1866;1866;;281;172;31;78;3013;1250;65;0;5229;248;125;;5031;2471;2416;85;2293;2293;;296;206;33;70;3554;1546;;;5.2;-13.9;-5.3;;7.1;8.2;8.6;0.0;8.9;8.9;;-9.3;-7.7;12.3;-18.5;1.9;;;;81.5;119.0;97.4;;78.9;73.7;72.2;90.5;81.4;81.4;;95.0;83.6;93.3;110.3;84.8;;;
14;2009;3960;311;116;195;3648;1549;1446;103;1829;1829;;270;159;38;73;3148;811;4;0;4707;261;115;;4472;2034;1934;114;2157;2157;;287;188;44;68;3616;954;;;-10.0;5.1;-8.5;;-11.1;-17.7;-20.0;33.0;-5.9;-5.9;;-2.8;-8.7;31.7;-3.4;1.8;;;;84.1;119.4;101.5;;81.6;76.2;74.8;90.6;84.8;84.8;;94.1;84.7;87.4;107.3;87.1;;;
15;2010;4211;304;136;168;3908;1699;1500;199;1919;1919;;289;206;22;60;3253;959;15;0;4863;250;131;;4648;2162;1935;220;2192;2192;;305;240;26;57;3666;1058;;;3.3;-4.0;14.5;;3.9;6.3;0.1;93.9;1.6;1.6;;6.0;27.8;-41.6;-16.4;1.4;;;;86.6;121.4;103.4;;84.1;78.6;77.5;90.4;87.5;87.5;;94.7;85.9;87.4;105.6;88.7;;;
16;2011;5451;233;104;129;5218;2279;2040;239;2621;2621;;318;207;33;79;3320;2131;-56;0;6280;196;98;;6186;2894;2630;261;2977;2977;;337;241;36;76;3750;2329;;;29.1;-21.7;-25.6;;33.1;33.9;35.9;18.4;35.8;35.8;;10.4;0.4;41.8;33.3;2.3;;;;86.8;118.7;106.4;;84.4;78.8;77.6;91.4;88.0;88.0;;94.6;85.8;90.1;104.2;88.5;;;
17;2012;5056;286;107;179;4769;1937;1720;217;2464;2464;;368;207;29;132;3442;1614;21;0;5803;262;120;;5603;2352;2111;235;2788;2788;;444;240;31;178;3884;1748;;;-7.6;33.4;23.4;;-9.4;-18.7;-19.7;-9.9;-6.3;-6.3;;31.8;-0.4;-15.2;135.4;3.6;;;;87.1;109.5;89.1;;85.1;82.3;81.5;92.3;88.4;88.4;;82.9;86.2;93.3;74.0;88.6;;;
18;2013;4636;356;118;238;4280;2032;1855;176;1917;1917;;331;213;36;83;3594;1042;0;0;5257;338;129;;4945;2421;2233;189;2130;2130;;401;247;39;112;4010;1111;;;-9.4;29.4;7.5;;-11.8;2.9;5.8;-19.6;-23.6;-23.6;;-9.6;2.8;27.8;-37.1;3.2;;;;88.2;105.2;91.4;;86.6;83.9;83.1;93.2;90.0;90.0;;82.6;86.2;90.7;74.0;89.6;;;
19;2014;4996;394;173;221;4602;2121;1955;166;2103;2103;;379;226;41;112;3687;1309;-27;0;5588;371;188;;5242;2472;2296;178;2319;2319;;456;262;47;146;4087;1349;;;6.3;9.7;44.9;;6.0;2.1;2.8;-5.9;8.9;8.9;;13.7;6.4;19.0;30.1;1.9;;;;89.4;106.1;92.3;;87.8;85.8;85.1;93.2;90.7;90.7;;83.0;86.2;86.5;76.7;90.2;;;
20;2015;4601;414;160;254;4186;2190;2022;167;1665;1665;;331;170;39;122;3774;827;-36;0;5041;375;172;;4681;2438;2261;180;1869;1869;;387;196;45;149;4151;785;;;-9.8;1.1;-8.2;;-10.7;-1.4;-1.6;1.0;-19.4;-19.4;;-15.0;-25.4;-3.7;1.8;1.6;;;;91.3;110.4;93.2;;89.4;89.8;89.5;93.2;89.1;89.1;;85.6;87.1;86.5;82.1;90.9;;;
21;2016;4232;414;194;220;3818;1979;1779;200;1440;1440;;400;167;118;114;3855;377;-51;0;4618;395;208;;4225;2159;1948;211;1623;1623;;460;192;138;130;4221;359;;;-8.4;5.3;20.7;;-9.7;-11.4;-13.8;17.6;-13.2;-13.2;;18.7;-1.9;205.4;-12.3;1.7;;;;91.6;104.6;93.2;;90.4;91.6;91.3;94.5;88.7;88.7;;86.9;87.2;85.8;87.5;91.3;;;
22;2017;4370;152;163;-10;4217;2406;2185;221;1404;1404;;407;179;108;120;3905;464;-25;0;4783;188;171;;4631;2608;2374;235;1577;1577;;457;202;122;133;4253;475;;;3.6;-52.5;-17.6;;9.6;20.8;21.9;11.0;-2.9;-2.9;;-0.7;5.4;-11.7;1.8;0.8;;;;91.4;81.0;95.1;;91.1;92.3;92.0;94.3;89.1;89.1;;89.1;88.6;88.2;90.5;91.8;;;
23;2018;4712;112;160;-48;4600;2635;2432;203;1454;1454;;510;206;158;146;4041;672;-61;0;5054;100;170;;4982;2829;2615;215;1607;1607;;556;227;173;157;4335;651;;;5.7;-46.7;-0.4;;7.6;8.5;10.2;-8.4;1.9;1.9;;21.8;12.0;41.8;18.3;1.9;;;;93.2;112.3;94.1;;92.3;93.2;93.0;94.7;90.5;90.5;;91.8;90.9;91.5;93.0;93.2;;;
24;2019;5009;211;171;39;4798;2844;2589;255;1474;1474;;480;231;135;114;4249;760;-4;0;5224;213;179;;5016;2926;2662;264;1585;1585;;514;250;143;123;4439;710;;;3.4;112.6;4.8;;0.7;3.4;1.8;23.0;-1.4;-1.4;;-7.4;10.2;-17.1;-21.9;2.4;;;;95.9;98.9;96.0;;95.7;97.2;97.3;96.4;93.0;93.0;;93.4;92.5;94.3;93.0;95.7;;;
25;2020;5040;356;176;180;4684;2942;2738;204;1210;1210;;532;277;150;105;4442;598;0;0;5178;362;182;;4816;2998;2792;207;1259;1259;;557;293;157;109;4550;570;;;-0.9;70.0;1.6;;-4.0;2.5;4.9;-21.9;-20.5;-20.5;;8.3;17.3;9.8;-11.4;2.5;;;;97.3;98.3;96.9;;97.3;98.1;98.1;98.6;96.1;96.1;;95.5;94.6;95.6;96.7;97.6;;;
26;2021;4444;302;170;132;4142;2571;2365;205;1024;1024;;548;250;114;183;4624;-180;-18;0;4444;302;170;;4142;2571;2365;205;1024;1024;;548;250;114;183;4624;-180;;;-14.2;-16.5;-6.4;;-14.0;-14.3;-15.3;-0.7;-18.7;-18.7;;-1.8;-14.5;-27.4;68.6;1.6;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;
27;2022;5132;349;181;168;4784;3181;3020;161;1137;1137;;466;241;111;113;5026;106;-9;0;4745;346;178;;4399;2887;2735;153;1107;1107;;405;227;100;78;4666;80;;;6.8;14.5;4.7;;6.2;12.3;15.6;-25.6;8.1;8.1;;-26.0;-9.5;-12.0;-57.4;0.9;;;;108.2;100.8;101.7;;108.7;110.2;110.4;105.4;102.7;102.7;;115.0;106.5;111.0;144.9;107.7;;;
28;2023;5589;339;166;173;5250;3588;3385;203;1202;1202;;459;251;126;82;5315;274;-33;0;4959;336;158;;4621;3101;2919;183;1109;1109;;409;228;109;73;4729;202;;;4.5;-2.8;-11.0;;5.0;7.4;6.7;19.5;0.2;0.2;;1.0;0.7;9.0;-6.2;1.4;;;;112.7;100.8;104.8;;113.6;115.7;116.0;111.4;108.4;108.4;;112.3;110.0;115.5;112.1;112.4;;;
