ID;Perioden;TotaalUitgaven_1;Provinciefonds_2;Gemeentefonds_3;BTWCompensatiefonds_4;MinisterieVanDefensie_5;BuitenlandseZaken_6;Justitie_7;JustitieEnVeiligheid_8;OnderwijsCultuurEnWetenschap_9;SocialeZakenEnWerkgelegenheid_10;Overig_11;TotaalOntvangsten_12;Belastingopbrengsten_13;Overig_14;Saldo_15;TotaalSchuldOp31December_16;LanglopendeSchuldNominaal_17;NettoKortlopendeSchuld_18
23;1923;570;;;;;;;;;;570;521;241;280;-49;1238;1238;
24;1924;548;;;;;;;;;;548;524;230;295;-24;1262;1262;
25;1925;550;;;;;;;;;;550;570;245;325;20;1333;1323;10.0
26;1926;581;;;;;;;;;;581;616;258;358;35;1305;1305;
27;1927;585;;;;;;;;;;585;639;263;376;54;1268;1268;
28;1928;717;;;;;;;;;;717;688;259;429;-29;1243;1243;
29;1929;736;;;;43.0;2.0;13.0;;69.0;;610;743;275;468;7;1173;1173;
30;1930;707;;;;45.0;2.0;13.0;;72.0;;575;738;265;473;30;1122;1117;5.0
31;1931;953;;44.0;;45.0;2.0;13.0;;74.0;;775;918;228;691;-35;1084;1084;
32;1932;922;;44.0;;42.0;2.0;13.0;;74.0;;747;992;209;784;70;1061;1061;
33;1933;833;;45.0;;39.0;2.0;12.0;;71.0;25.0;638;887;206;681;54;1123;1123;
34;1934;1070;;41.0;;39.0;1.0;11.0;;67.0;47.0;864;659;216;443;-412;1236;1236;
35;1935;788;;52.0;;39.0;1.0;12.0;;66.0;50.0;567;747;226;521;-40;1405;1225;180.0
36;1936;772;;48.0;;39.0;1.0;11.0;;67.0;44.0;561;774;230;544;2;1367;1228;139.0
37;1937;771;;46.0;;39.0;2.0;12.0;;64.0;43.0;565;838;264;574;67;1504;1302;202.0
38;1938;1636;;46.0;;50.0;2.0;12.0;;64.0;44.0;1418;854;272;582;-782;1652;1476;176.0
39;1939;916;;44.0;;66.0;2.0;13.0;;66.0;48.0;677;849;293;556;-67;1832;1458;374.0
40;1940;1359;;44.0;;78.0;1.0;15.0;;66.0;46.0;1109;997;310;687;-361;2050;1425;625.0
41;1941;2174;;72.0;;39.0;0.0;20.0;;67.0;62.0;1914;1352;518;834;-821;2526;1628;898.0
42;1942;2253;;51.0;;35.0;0.0;32.0;;72.0;83.0;1979;1353;672;681;-899;3221;2025;1196.0
43;1943;2221;;78.0;;37.0;0.0;13.0;;74.0;76.0;1943;1473;663;811;-747;3926;2420;1506.0
44;1944;2405;;69.0;;27.0;0.0;13.0;;76.0;88.0;2132;1359;615;743;-1046;5471;2778;2693.0
45;1945;2602;;80.0;;129.0;0.0;14.0;;90.0;168.0;2121;1031;293;737;-1571;6393;2670;3723.0
46;1946;2427;;112.0;;174.0;8.0;37.0;;123.0;92.0;1882;2341;1099;1242;-86;6331;2878;3453.0
47;1947;2816;;135.0;;187.0;10.0;44.0;;136.0;110.0;2193;2582;1510;1072;-233;9280;3685;5595.0
48;1948;4189;9.0;160.0;;239.0;14.0;47.0;;144.0;100.0;3477;3692;2439;1253;-498;9292;4121;5171.0
49;1949;3149;10.0;156.0;;256.0;17.0;48.0;;157.0;124.0;2382;3486;1946;1541;338;10145;4835;5310.0
50;1950;3294;14.0;160.0;;338.0;18.0;50.0;;158.0;122.0;2435;3493;1872;1620;199;9679;5222;4457.0
51;1951;3849;16.0;224.0;;484.0;19.0;98.0;;192.0;186.0;2630;4045;2580;1465;197;9528;5348;4180.0
52;1952;4058;15.0;446.0;;601.0;20.0;62.0;;219.0;265.0;2430;4400;2838;1562;343;8707;5137;3570.0
53;1953;4196;17.0;386.0;;615.0;36.0;144.0;;244.0;271.0;2482;4231;2762;1469;36;8361;5253;3108.0
54;1954;4614;20.0;384.0;;741.0;48.0;70.0;;283.0;322.0;2745;4648;2856;1791;34;7983;5705;2278.0
55;1955;5110;20.0;439.0;;776.0;77.0;78.0;;329.0;305.0;3087;4898;2966;1932;-213;8006;5899;2107.0
56;1956;5321;22.0;442.0;;829.0;80.0;80.0;;409.0;328.0;3130;5008;3467;1541;-313;7778;5919;1859.0
57;1957;5655;26.0;476.0;;817.0;93.0;89.0;;492.0;200.0;3461;5551;3657;1895;-103;7786;5740;2046.0
58;1958;6054;28.0;511.0;;741.0;121.0;92.0;;530.0;229.0;3802;5510;3490;2020;-543;7802;5792;2010.0
59;1959;6369;28.0;528.0;;693.0;112.0;95.0;;599.0;239.0;4075;6024;3758;2266;-345;7980;5883;2097.0
60;1960;6960;30.0;613.0;;782.0;122.0;104.0;;729.0;236.0;4343;7039;4247;2793;79;7854;6283;1571.0
61;1961;7887;36.0;677.0;;912.0;129.0;114.0;;872.0;232.0;4915;7433;4678;2756;-454;8135;6227;1908.0
62;1962;8401;39.0;748.0;;1026.0;153.0;131.0;;986.0;250.0;5068;7795;4938;2858;-606;8434;6227;2207.0
63;1963;8994;40.0;809.0;;1052.0;121.0;149.0;;1130.0;278.0;5415;8593;5225;3368;-402;8537;6604;1933.0
64;1964;10567;49.0;1002.0;;1195.0;138.0;178.0;;1443.0;327.0;6235;9945;6236;3709;-622;8968;6728;2240.0
65;1965;12529;57.0;1256.0;;1230.0;149.0;204.0;;1577.0;446.0;7611;11837;7053;4784;-692;9621;6980;2641.0
66;1966;14259;66.0;1370.0;;1291.0;178.0;231.0;;1856.0;486.0;8780;13111;7972;5139;-1148;10351;7464;2887.0
67;1967;15152;74.0;1542.0;;1462.0;154.0;262.0;;2108.0;592.0;8957;13988;9029;4959;-1164;11125;8337;2788.0
68;1968;17361;82.0;1607.0;;1515.0;173.0;288.0;;2364.0;884.0;10448;15718;9981;5737;-1642;12406;9027;3379.0
69;1969;18305;89.0;1768.0;;1652.0;217.0;325.0;;2833.0;1009.0;10412;17310;11270;6040;-995;13278;9694;3584.0
70;1970;21481;103.0;2126.0;;1822.0;235.0;369.0;;3328.0;1034.0;12465;20073;12929;7144;-1408;14099;10691;3408.0
71;1971;23543;122.0;2315.0;;2080.0;333.0;437.0;;3964.0;1272.0;13021;22632;15217;7416;-911;14989;11196;3793.0
72;1972;27198;143.0;2739.0;;2343.0;428.0;506.0;;4598.0;1507.0;14933;26742;17698;9044;-456;15364;12120;3244.0
73;1973;30163;169.0;2651.0;;2601.0;530.0;575.0;;5233.0;1743.0;16662;29063;20163;8900;-1100;14966;12492;2474.0
74;1974;35486;193.0;3239.0;;2860.0;628.0;641.0;;5866.0;1981.0;20079;34567;22531;12037;-919;15458;13569;1889.0
75;1975;44704;224.0;3912.0;;3377.0;927.0;761.0;;6985.0;2641.0;25877;40364;25564;14800;-4340;18009;15781;2228.0
76;1976;49082;270.0;4516.0;;3575.0;899.0;874.0;;7897.0;4131.0;26921;47321;29033;18288;-1760;21722;18597;3125.0
77;1977;55604;295.0;5099.0;;4153.0;1090.0;976.0;;8521.0;3695.0;31776;54217;32304;21912;-1387;24713;21341;3372.0
78;1978;60559;327.0;4831.0;;4443.0;1427.0;1092.0;;9214.0;4751.0;34475;60610;35155;25455;51;30083;25040;5043.0
79;1979;65954;350.0;6058.0;;4873.0;1178.0;1178.0;;9862.0;5807.0;36650;67006;36807;30199;1051;36306;29081;7225.0
80;1980;79676;412.0;6603.0;;4995.0;1216.0;1250.0;;10205.0;6069.0;48926;74010;40132;33877;-5666;42019;35436;6583.0
81;1981;81034;470.0;7223.0;;5412.0;1376.0;1304.0;;10571.0;6290.0;48388;79375;39993;39382;-1659;50108;43940;6168.0
82;1982;87879;518.0;7610.0;;5689.0;1509.0;1396.0;;11051.0;7631.0;52474;84403;40505;43898;-3476;62197;55714;6483.0
83;1983;89777;467.0;6066.0;;5928.0;1413.0;1430.0;;12071.0;10647.0;51755;90687;40391;50296;910;76128;69547;6581.0
84;1984;97823;444.0;5528.0;;6124.0;1771.0;1440.0;;11985.0;10565.0;59965;92399;41141;51259;-5424;89165;83183;5982.0
85;1985;95823;442.0;5558.0;;6180.0;1651.0;1441.0;;12138.0;9712.0;58703;98086;42802;55284;2263;99331;94606;4725.0
86;1986;99544;449.0;5450.0;;6271.0;1785.0;1481.0;;12679.0;8817.0;62613;101957;45761;56196;2413;101650;99589;2061.0
87;1987;104550;449.0;5653.0;;6306.0;1822.0;1476.0;;13841.0;7954.0;67049;101967;48963;53004;-2582;105704;106400;-696.0
88;1988;100214;452.0;5624.0;;6369.0;2258.0;1534.0;;13662.0;8138.0;62178;99075;51169;47906;-1139;115206;119775;-4569.0
89;1989;92345;493.0;6063.0;;6431.0;2178.0;1604.0;;13624.0;10230.0;51722;86369;51984;34386;-5975;126631;130305;-3674.0
90;1990;97974;531.0;6517.0;;6430.0;2262.0;1732.0;;14008.0;15143.0;51351;93886;59080;34806;-4088;137611;141629;-4019.0
91;1991;105677;535.0;6778.0;;6431.0;2690.0;1846.0;;14496.0;17699.0;55201;103428;65941;37487;-2249;145938;152009;-6071.0
92;1992;107437;578.0;7124.0;;6613.0;2900.0;2004.0;;15326.0;16913.0;55980;103280;66461;36819;-4157;155510;161607;-6097.0
93;1993;111982;541.0;7655.0;;6291.0;3201.0;2140.0;;15211.0;19644.0;57299;108256;70250;38006;-3726;159256;165891;-6634.0
94;1994;114059;1005.0;7773.0;;6334.0;3441.0;2062.0;;15650.0;11615.0;66179;107821;66091;41731;-6238;160447;163475;-3028.0
95;1995;119152;1039.0;8122.0;;6089.0;3408.0;2612.0;;17390.0;9988.0;70504;118865;66200;52665;-287;171905;174199;-2294.0
96;1996;106811;791.0;8313.0;;6221.0;3880.0;2723.0;;17525.0;10824.0;56534;104836;61363;43473;-1975;182132;177361;4771.0
97;1997;107425;735.0;9831.0;;6275.0;4025.0;2970.0;;17095.0;12566.0;53928;103597;73528;30069;-3828;188266;178542;9724.0
98;1998;120608;779.0;10154.0;;6348.0;4539.0;3336.0;;18244.0;13837.0;63371;121790;81472;40318;1182;191867;181749;10118.0
99;1999;162438;825.0;10876.0;;6805.0;4865.0;4035.0;;19403.0;14549.0;101080;162624;87763;74861;186;197338;184683;12655.0
100;2000;144360;940.0;11543.0;;6730.0;5535.0;4320.0;;21347.0;15179.0;78766;132313;94582;37731;-12047;194025;174546;19479.0
101;2001;147573;1013.0;12159.0;;7193.0;5713.0;4928.0;;23023.0;16664.0;76880;142656;102480;40176;-4917;199219;175957;23262.0
102;2002;163456;1084.0;13032.0;;7386.0;9000.0;5155.0;;24191.0;20246.0;83362;174781;104924;69857;11325;205488;172986;32502.0
103;2003;168733;1145.0;13831.0;106.0;7404.0;9541.0;5670.0;;25453.0;21879.0;83704;169384;103644;65740;651;216357;183401;32956.0
104;2004;166401;983.0;11818.0;1687.0;7551.0;9515.0;5543.0;;26435.0;23441.0;79429;167473;106249;61224;1072;226992;198036;28956.0
105;2005;189775;1004.0;11996.0;1871.0;7693.0;10746.0;5578.0;;27535.0;24121.0;99231;190250;120740;69510;476;228768;203200;25568.0
106;2006;186450;1090.0;13436.0;1939.0;8145.0;11731.0;5710.0;;29341.0;26206.0;88852;188458;126844;61614;2009;225358;198512;26846.0
107;2007;194789;1128.0;15094.0;2069.0;8388.0;11864.0;5925.0;;31920.0;26981.0;91420;195485;134938;60547;696;224522;193113;31409.0
108;2008;238864;1205.0;16247.0;2348.0;8488.0;12788.0;5825.0;;34733.0;21889.0;135341;236041;138068;97973;-2823;272533;210791;61742.0
109;2009;246698;1329.0;17683.0;2577.0;8733.0;11136.0;6240.0;;36285.0;26901.0;135814;245824;124876;120948;-874;301640;239516;62124.0
110;2010;237570;1483.0;18381.0;2789.0;8472.0;10984.0;6099.0;;37173.0;29137.0;123052;234957;134481;100476;-2613;323943;263422;60521.0
111;2011;236681;1268.0;18576.0;2788.0;8157.0;11015.0;;11438.0;33964.0;30767.0;118708;227835;131541;96294;-8847;336546;286462;50084.0
112;2012;236390;1686.0;18501.0;;8067.0;10774.0;;11467.0;34169.0;31898.0;119828;231511;127861;103650;-4879;362624;319857;42767.0
113;2013;225423;1553.0;17989.0;;7702.0;8598.0;;12383.0;35161.0;29290.0;112747;228661;129797;98864;3238;369264;340393;28871.0
114;2014;242630;1296.0;18741.0;;7788.0;10513.0;;12625.0;35995.0;32626.0;123046;231114;139155;91959;-11516;373129;347506;25623.0
115;2015;246283;1115.0;27267.0;;7816.0;10232.0;;12718.0;36350.0;31330.0;119455;244542;146741;97801;-1741;372722;347853;24869.0
116;2016;231086;2494.0;28125.0;;8242.0;10106.0;;13192.0;38696.0;31664.0;98567;233145;154708;78437;2059;374784;341496;33288.0
117;2017;235520;2570.0;27906.0;;8539.0;8364.0;;13053.0;38053.0;31817.0;105218;241506;169835;71671;5986;361741;333406;28335.0
118;2018;242126;2454.0;29083.0;;9417.0;9174.0;;12814.0;42327.0;34412.0;102445;245161;178099;67062;3035;351986;317804;34182.0
