ID;BedrijfstakkenBranchesSBI2008;Perioden;Waarde_1;Volume_2;Waarde_3;Volume_4;Waarde_5;Volume_6;Waarde_7;Volume_8
33;9602 Kappers en schoonheidsverzorging;2011 4e kwartaal;99.4;108.1;-1.1;-3.3;95.7;103.6;-1.2;-1.3
34;9602 Kappers en schoonheidsverzorging;2011;96.8;105.4;-0.6;-2.4;96.7;105.4;-0.7;-2.5
35;9602 Kappers en schoonheidsverzorging;2012 1e kwartaal;90.9;97.4;-1.9;-4.0;95.6;102.9;-0.2;-0.7
36;9602 Kappers en schoonheidsverzorging;2012 2e kwartaal;97.1;103.7;-2.3;-3.9;95.0;102.0;-0.6;-0.9
37;9602 Kappers en schoonheidsverzorging;2012 3e kwartaal;93.2;99.8;-2.5;-4.4;94.7;100.9;-0.3;-1.0
38;9602 Kappers en schoonheidsverzorging;2012 4e kwartaal;99.7;106.2;0.2;-1.7;95.6;101.5;0.9;0.6
39;9602 Kappers en schoonheidsverzorging;2012;95.2;101.8;-1.6;-3.5;95.2;101.8;-1.6;-3.4
40;9602 Kappers en schoonheidsverzorging;2013 1e kwartaal;89.4;94.5;-1.6;-2.9;94.0;99.8;-1.7;-1.7
41;9602 Kappers en schoonheidsverzorging;2013 2e kwartaal;95.9;100.5;-1.2;-3.1;93.9;98.9;-0.1;-0.9
42;9602 Kappers en schoonheidsverzorging;2013 3e kwartaal;92.3;97.2;-1.0;-2.6;93.8;98.5;-0.1;-0.4
43;9602 Kappers en schoonheidsverzorging;2013 4e kwartaal;99.7;104.4;0.0;-1.7;95.4;99.5;1.7;1.0
44;9602 Kappers en schoonheidsverzorging;2013;94.3;99.1;-0.9;-2.6;94.3;99.2;-1.0;-2.6
45;9602 Kappers en schoonheidsverzorging;2014 1e kwartaal;90.8;93.9;1.5;-0.6;95.5;99.2;0.1;-0.3
46;9602 Kappers en schoonheidsverzorging;2014 2e kwartaal;96.9;99.4;1.0;-1.1;94.9;97.7;-0.6;-1.5
47;9602 Kappers en schoonheidsverzorging;2014 3e kwartaal;94.6;97.1;2.6;-0.1;96.3;98.6;1.4;0.9
48;9602 Kappers en schoonheidsverzorging;2014 4e kwartaal;101.5;102.9;1.8;-1.4;97.0;97.9;0.7;-0.7
49;9602 Kappers en schoonheidsverzorging;2014;96.0;98.3;1.7;-0.8;95.9;98.4;1.7;-0.8
50;9602 Kappers en schoonheidsverzorging;2015 1e kwartaal;92.9;93.3;2.4;-0.7;97.8;98.6;0.9;0.7
51;9602 Kappers en schoonheidsverzorging;2015 2e kwartaal;101.1;101.3;4.4;2.0;99.1;99.6;1.3;1.0
52;9602 Kappers en schoonheidsverzorging;2015 3e kwartaal;98.4;98.6;4.0;1.5;100.1;100.1;1.0;0.5
53;9602 Kappers en schoonheidsverzorging;2015 4e kwartaal;107.5;106.8;5.9;3.8;102.7;101.6;2.6;1.5
54;9602 Kappers en schoonheidsverzorging;2015;100.0;100.0;4.2;1.7;99.9;100.0;4.2;1.7
55;9602 Kappers en schoonheidsverzorging;2016 1e kwartaal;98.0;95.9;5.4;2.9;103.2;101.5;0.4;-0.1
56;9602 Kappers en schoonheidsverzorging;2016 2e kwartaal;107.0;104.2;5.8;2.8;104.9;102.4;1.7;0.9
57;9602 Kappers en schoonheidsverzorging;2016 3e kwartaal;104.3;101.8;6.0;3.2;106.0;103.3;1.0;0.9
58;9602 Kappers en schoonheidsverzorging;2016 4e kwartaal;113.0;110.0;5.1;3.0;108.0;104.8;1.9;1.4
59;9602 Kappers en schoonheidsverzorging;2016;105.6;103.0;5.6;3.0;105.5;103.0;5.6;3.0
60;9602 Kappers en schoonheidsverzorging;2017 1e kwartaal;103.2;99.5;5.4;3.7;108.7;105.3;0.6;0.5
61;9602 Kappers en schoonheidsverzorging;2017 2e kwartaal;112.2;107.8;4.9;3.5;110.1;106.0;1.3;0.7
62;9602 Kappers en schoonheidsverzorging;2017 3e kwartaal;111.1;105.8;6.5;3.9;112.7;107.2;2.3;1.2
63;9602 Kappers en schoonheidsverzorging;2017 4e kwartaal;118.2;112.0;4.7;1.8;113.3;106.8;0.5;-0.4
64;9602 Kappers en schoonheidsverzorging;2017;111.2;106.3;5.3;3.2;111.2;106.3;5.4;3.2
65;9602 Kappers en schoonheidsverzorging;2018 1e kwartaal;110.0;104.1;6.5;4.7;115.8;109.7;2.2;2.7
66;9602 Kappers en schoonheidsverzorging;2018 2e kwartaal;118.6;111.9;5.7;3.7;116.5;110.0;0.7;0.2
67;9602 Kappers en schoonheidsverzorging;2018 3e kwartaal;115.5;108.8;4.0;2.8;117.9;111.1;1.1;1.0
68;9602 Kappers en schoonheidsverzorging;2018 4e kwartaal;127.0;119.2;7.4;6.4;120.6;113.1;2.3;1.8
69;9602 Kappers en schoonheidsverzorging;2018;117.8;111.0;5.9;4.4;117.7;111.0;5.9;4.3
70;9602 Kappers en schoonheidsverzorging;2019 1e kwartaal;114.8;108.0;4.3;3.7;121.2;114.1;0.5;0.9
71;9602 Kappers en schoonheidsverzorging;2019 2e kwartaal;126.2;117.9;6.4;5.4;123.8;115.8;2.1;1.4
72;9602 Kappers en schoonheidsverzorging;2019 3e kwartaal;122.6;114.3;6.1;5.1;125.1;116.6;1.1;0.7
73;9602 Kappers en schoonheidsverzorging;2019 4e kwartaal;133.4;123.9;5.0;3.9;126.5;117.4;1.1;0.7
74;9602 Kappers en schoonheidsverzorging;2019;124.2;116.0;5.5;4.5;124.2;116.0;5.5;4.5
75;9602 Kappers en schoonheidsverzorging;2020 1e kwartaal;106.3;97.7;-7.4;-9.6;112.4;103.3;-11.2;-12.1
76;9602 Kappers en schoonheidsverzorging;2020 2e kwartaal;89.2;81.0;-29.3;-31.3;87.5;79.5;-22.2;-23.0
77;9602 Kappers en schoonheidsverzorging;2020 3e kwartaal;123.0;111.1;0.4;-2.8;125.5;113.4;43.5;42.7
78;9602 Kappers en schoonheidsverzorging;2020 4e kwartaal;112.1;101.0;-15.9;-18.5;106.4;95.7;-15.2;-15.6
79;9602 Kappers en schoonheidsverzorging;2020;107.7;97.7;-13.3;-15.8;107.9;98.0;-13.1;-15.5
80;9602 Kappers en schoonheidsverzorging;2021 1e kwartaal;71.5;;-32.7;;75.6;;-28.9;
81;9602 Kappers en schoonheidsverzorging;2021 2e kwartaal;131.2;115.8;47.1;43.0;128.7;113.6;70.1;
82;9602 Kappers en schoonheidsverzorging;2021 3e kwartaal;134.1;117.3;9.0;5.6;136.8;120.1;6.3;5.7
83;9602 Kappers en schoonheidsverzorging;2021 4e kwartaal;130.5;113.7;16.3;12.6;123.7;107.6;-9.6;-10.4
84;9602 Kappers en schoonheidsverzorging;2021;116.8;;8.5;;116.2;;7.7;
85;9602 Kappers en schoonheidsverzorging;2022 1e kwartaal;124.2;106.1;73.6;;131.1;112.0;6.0;4.2
86;9602 Kappers en schoonheidsverzorging;2022 2e kwartaal;146.4;123.7;11.6;6.8;144.1;121.6;9.9;8.5
87;9602 Kappers en schoonheidsverzorging;2022 3e kwartaal;144.5;120.5;7.8;2.7;147.2;122.8;2.2;1.0
88;9602 Kappers en schoonheidsverzorging;2022 4e kwartaal;157.7;129.6;20.9;13.9;149.8;123.2;1.7;0.3
89;9602 Kappers en schoonheidsverzorging;2022;143.2;120.0;22.6;;143.1;119.9;23.1;17.3
90;9602 Kappers en schoonheidsverzorging;2023 1e kwartaal;144.1;116.0;16.1;9.3;153.0;123.0;2.1;-0.1
91;9602 Kappers en schoonheidsverzorging;2023 2e kwartaal;159.8;127.6;9.2;3.2;156.6;124.9;2.3;1.5
92;9602 Kappers en schoonheidsverzorging;2023 3e kwartaal;157.1;122.8;8.7;1.9;159.4;124.6;1.8;-0.2
93;9602 Kappers en schoonheidsverzorging;2023 4e kwartaal;168.0;129.8;6.5;0.2;159.8;123.7;0.3;-0.7
94;9602 Kappers en schoonheidsverzorging;2023;157.3;124.1;9.8;3.4;157.2;124.1;9.9;3.5
95;96021 Kappers;2005 1e kwartaal;83.7;104.4;;;89.0;111.7;;
96;96021 Kappers;2005 2e kwartaal;91.6;114.3;;;89.4;111.9;0.4;0.2
97;96021 Kappers;2005 3e kwartaal;89.1;110.9;;;89.3;110.9;-0.1;-0.9
98;96021 Kappers;2005 4e kwartaal;93.3;115.8;;;90.1;111.3;0.9;0.4
99;96021 Kappers;2005;89.4;111.4;;;89.4;111.4;;
100;96021 Kappers;2006 1e kwartaal;84.6;102.4;1.1;-1.9;89.9;109.5;-0.2;-1.6
101;96021 Kappers;2006 2e kwartaal;94.2;113.4;2.8;-0.8;91.9;111.1;2.3;1.5
102;96021 Kappers;2006 3e kwartaal;93.1;112.2;4.6;1.1;93.3;112.1;1.5;1.0
103;96021 Kappers;2006 4e kwartaal;97.6;117.0;4.7;1.0;94.4;112.5;1.2;0.3
104;96021 Kappers;2006;92.4;111.2;3.3;-0.1;92.4;111.3;3.3;-0.1
105;96021 Kappers;2007 1e kwartaal;90.2;105.7;6.7;3.2;95.8;112.8;1.5;0.3
106;96021 Kappers;2007 2e kwartaal;98.7;115.0;4.9;1.4;96.6;112.7;0.8;-0.1
107;96021 Kappers;2007 3e kwartaal;97.5;112.8;4.7;0.6;97.6;112.8;1.0;0.1
108;96021 Kappers;2007 4e kwartaal;102.1;117.7;4.5;0.5;98.6;113.1;1.0;0.3
109;96021 Kappers;2007;97.1;112.8;5.1;1.4;97.1;112.9;5.1;1.4
110;96021 Kappers;2008 1e kwartaal;92.9;105.0;2.9;-0.7;98.5;111.9;-0.1;-1.1
111;96021 Kappers;2008 2e kwartaal;101.2;115.0;2.5;0.0;99.0;112.8;0.6;0.8
112;96021 Kappers;2008 3e kwartaal;100.0;113.6;2.6;0.7;100.0;113.6;1.0;0.8
113;96021 Kappers;2008 4e kwartaal;103.0;116.9;0.9;-0.7;99.4;112.5;-0.6;-1.0
114;96021 Kappers;2008;99.3;112.6;2.2;-0.2;99.2;112.7;2.2;-0.2
115;96021 Kappers;2009 1e kwartaal;93.8;105.1;1.0;0.1;99.2;111.8;-0.2;-0.6
116;96021 Kappers;2009 2e kwartaal;100.5;112.7;-0.6;-2.0;98.6;110.6;-0.7;-1.0
117;96021 Kappers;2009 3e kwartaal;97.5;108.5;-2.5;-4.5;97.6;108.7;-1.0;-1.8
118;96021 Kappers;2009 4e kwartaal;100.9;111.7;-2.0;-4.4;97.4;107.5;-0.2;-1.1
119;96021 Kappers;2009;98.2;109.5;-1.1;-2.8;98.2;109.6;-1.1;-2.7
120;96021 Kappers;2010 1e kwartaal;92.7;101.6;-1.2;-3.3;97.9;107.8;0.5;0.3
121;96021 Kappers;2010 2e kwartaal;100.5;110.6;0.0;-1.9;98.7;108.7;0.8;0.8
122;96021 Kappers;2010 3e kwartaal;99.5;109.5;2.0;0.9;99.8;109.7;1.2;1.0
123;96021 Kappers;2010 4e kwartaal;102.7;113.3;1.8;1.5;99.0;108.9;-0.8;-0.7
124;96021 Kappers;2010;98.9;108.7;0.7;-0.7;98.9;108.8;0.7;-0.8
125;96021 Kappers;2011 1e kwartaal;93.7;101.8;1.0;0.2;98.8;107.8;-0.3;-1.0
126;96021 Kappers;2011 2e kwartaal;100.1;108.0;-0.4;-2.4;98.3;106.3;-0.5;-1.4
127;96021 Kappers;2011 3e kwartaal;97.6;105.2;-1.9;-3.9;98.3;105.7;0.0;-0.6
128;96021 Kappers;2011 4e kwartaal;101.5;109.2;-1.2;-3.7;97.5;104.6;-0.8;-1.0
129;96021 Kappers;2011;98.2;106.0;-0.7;-2.5;98.2;106.1;-0.7;-2.5
130;96021 Kappers;2012 1e kwartaal;92.3;98.2;-1.4;-3.6;97.4;103.8;-0.1;-0.8
131;96021 Kappers;2012 2e kwartaal;98.7;104.7;-1.3;-3.0;97.1;103.3;-0.3;-0.5
132;96021 Kappers;2012 3e kwartaal;95.8;101.4;-1.9;-3.5;96.8;102.3;-0.3;-1.0
133;96021 Kappers;2012 4e kwartaal;101.8;107.7;0.3;-1.3;97.4;103.0;0.6;0.7
134;96021 Kappers;2012;97.2;103.0;-1.1;-2.8;97.1;103.1;-1.1;-2.9
135;96021 Kappers;2013 1e kwartaal;91.6;96.1;-0.9;-2.2;96.5;101.5;-0.9;-1.4
136;96021 Kappers;2013 2e kwartaal;97.5;101.6;-1.3;-3.0;96.0;100.3;-0.5;-1.2
137;96021 Kappers;2013 3e kwartaal;94.7;98.8;-1.1;-2.6;95.7;99.9;-0.3;-0.4
138;96021 Kappers;2013 4e kwartaal;101.4;105.6;-0.4;-2.0;96.9;100.7;1.3;0.8
139;96021 Kappers;2013;96.3;100.5;-0.9;-2.4;96.3;100.6;-0.9;-2.4
140;96021 Kappers;2014 1e kwartaal;92.0;94.9;0.5;-1.2;97.0;100.3;0.2;-0.4
141;96021 Kappers;2014 2e kwartaal;97.7;99.9;0.2;-1.7;96.2;98.6;-0.9;-1.7
142;96021 Kappers;2014 3e kwartaal;96.5;98.4;1.9;-0.4;97.5;99.5;1.4;1.0
143;96021 Kappers;2014 4e kwartaal;102.1;103.2;0.7;-2.3;97.4;98.3;-0.1;-1.3
144;96021 Kappers;2014;97.1;99.1;0.8;-1.4;97.1;99.2;0.8;-1.4
145;96021 Kappers;2015 1e kwartaal;93.1;93.3;1.2;-1.6;98.3;98.8;0.9;0.6
146;96021 Kappers;2015 2e kwartaal;100.8;101.2;3.2;1.3;99.3;99.8;1.0;0.9
147;96021 Kappers;2015 3e kwartaal;99.1;99.1;2.7;0.7;100.1;100.2;0.8;0.5
148;96021 Kappers;2015 4e kwartaal;106.9;106.4;4.8;3.1;102.1;101.2;1.9;1.0
149;96021 Kappers;2015;100.0;100.0;3.0;0.9;99.9;100.0;3.0;0.8
150;96021 Kappers;2016 1e kwartaal;96.7;95.2;3.8;2.1;102.2;101.0;0.1;-0.2
151;96021 Kappers;2016 2e kwartaal;105.2;103.2;4.4;2.0;103.7;101.7;1.5;0.7
152;96021 Kappers;2016 3e kwartaal;103.5;101.4;4.5;2.4;104.4;102.5;0.7;0.8
153;96021 Kappers;2016 4e kwartaal;111.1;109.1;3.9;2.5;106.1;103.7;1.6;1.2
154;96021 Kappers;2016;104.1;102.2;4.1;2.2;104.1;102.2;4.1;2.2
155;96021 Kappers;2017 1e kwartaal;100.4;97.9;3.9;2.8;106.1;103.9;0.0;0.2
156;96021 Kappers;2017 2e kwartaal;108.6;105.8;3.2;2.6;107.0;104.3;0.8;0.4
157;96021 Kappers;2017 3e kwartaal;108.5;104.3;4.8;2.8;109.2;105.3;2.1;0.9
158;96021 Kappers;2017 4e kwartaal;113.9;109.6;2.5;0.5;109.0;104.4;-0.2;-0.8
159;96021 Kappers;2017;107.8;104.4;3.6;2.1;107.8;104.5;3.6;2.2
160;96021 Kappers;2018 1e kwartaal;105.4;99.7;4.9;1.8;111.3;105.3;2.1;0.9
161;96021 Kappers;2018 2e kwartaal;112.7;106.2;3.8;0.4;111.3;104.9;0.0;-0.4
162;96021 Kappers;2018 3e kwartaal;110.3;103.7;1.6;-0.6;111.8;105.2;0.4;0.3
163;96021 Kappers;2018 4e kwartaal;120.4;112.7;5.7;2.9;114.3;106.9;2.3;1.7
164;96021 Kappers;2018;112.2;105.6;4.0;1.1;112.2;105.6;4.0;1.1
165;96021 Kappers;2019 1e kwartaal;108.0;101.9;2.4;2.2;114.3;107.7;0.0;0.8
166;96021 Kappers;2019 2e kwartaal;117.5;110.0;4.2;3.6;115.8;108.5;1.4;0.7
167;96021 Kappers;2019 3e kwartaal;114.9;107.1;4.2;3.3;116.7;108.6;0.8;0.1
168;96021 Kappers;2019 4e kwartaal;124.5;114.8;3.4;1.8;117.9;108.9;1.0;0.2
169;96021 Kappers;2019;116.2;108.5;3.6;2.7;116.2;108.5;3.6;2.7
170;96021 Kappers;2020 1e kwartaal;98.1;89.9;-9.1;-11.8;103.8;94.9;-12.0;-12.8
171;96021 Kappers;2020 2e kwartaal;82.6;74.8;-29.7;-32.0;81.5;73.8;-21.5;-22.3
172;96021 Kappers;2020 3e kwartaal;112.9;101.0;-1.8;-5.7;114.6;102.4;40.7;38.8
173;96021 Kappers;2020 4e kwartaal;99.7;88.5;-19.9;-22.9;94.5;84.1;-17.5;-17.9
174;96021 Kappers;2020;98.3;88.6;-15.4;-18.3;98.6;88.8;-15.1;-18.1
175;96021 Kappers;2021 1e kwartaal;62.1;;-36.7;;65.7;;-30.5;
176;96021 Kappers;2021 2e kwartaal;114.8;99.9;39.0;33.5;113.3;98.6;72.6;
177;96021 Kappers;2021 3e kwartaal;120.1;104.4;6.4;3.3;122.0;106.0;7.7;7.5
178;96021 Kappers;2021 4e kwartaal;114.1;99.0;14.5;11.8;108.1;93.9;-11.4;-11.5
179;96021 Kappers;2021;102.8;;4.5;;102.3;;3.7;
180;96021 Kappers;2022 1e kwartaal;110.7;94.9;78.2;;116.9;100.1;8.1;6.6
181;96021 Kappers;2022 2e kwartaal;129.3;109.7;12.6;9.8;127.9;108.2;9.5;8.1
182;96021 Kappers;2022 3e kwartaal;128.4;107.0;6.9;2.5;130.5;108.8;2.0;0.6
183;96021 Kappers;2022 4e kwartaal;140.2;115.2;22.8;16.4;132.5;109.1;1.6;0.3
184;96021 Kappers;2022;127.1;106.7;23.7;;127.0;106.6;24.1;19.7
185;96021 Kappers;2023 1e kwartaal;127.1;101.9;14.7;7.4;134.8;107.8;1.7;-1.2
186;96021 Kappers;2023 2e kwartaal;139.6;110.9;8.0;1.1;137.8;109.3;2.2;1.4
187;96021 Kappers;2023 3e kwartaal;138.6;107.1;8.0;0.1;140.4;108.7;1.9;-0.6
188;96021 Kappers;2023 4e kwartaal;149.0;113.8;6.3;-1.2;141.0;108.0;0.4;-0.6
189;96021 Kappers;2023;138.6;108.4;9.0;1.6;138.5;108.4;9.1;1.7
