ID;Landen;Perioden;Totaal_1;PlantaardigeProducten_2;Totaal_3;Dieren_4;DierlijkeProducten_5;Landbouwdiensten_6;NietTotDeLandbouwBehorendeNevena_7;IntermediairVerbruik_8;BrutoToegevoegdeWaardeBasisprijzen_9;BrutoToegevoegdeWaardeBasisprijzen_10;VerbruikVanVasteActiva_11;NietProductgebondenBelastingen_12;NietProductgebondenSubsidies_13;Landbouwinkomen_14;Arbeidsvolume_15;Inkomensindex2021100_16;MutatieTOVVoorafgaandJaar_17
154;Duitsland;2004;44212.0;22752.0;19816.0;10943.0;8873.0;1514.0;130.0;25560.0;18651.0;18651.0;7269.0;379.0;1540.0;12543.0;592.0;69.1;48.4
155;Duitsland;2005;38838.0;18121.0;18980.0;10320.0;8660.0;1548.0;190.0;26026.0;12812.0;12812.0;7397.0;472.0;6084.0;11027.0;583.0;61.4;-11.1
156;Duitsland;2006;40313.0;18858.0;19726.0;11111.0;8615.0;1566.0;163.0;27143.0;13170.0;13170.0;7610.0;400.0;6388.0;11548.0;568.0;65.6;6.9
157;Duitsland;2007;46319.0;23557.0;20924.0;10775.0;10149.0;1666.0;172.0;30288.0;16031.0;16031.0;7957.0;383.0;6436.0;14127.0;554.0;80.8;23.1
158;Duitsland;2008;50049.0;25172.0;22967.0;12756.0;10211.0;1776.0;134.0;33075.0;16975.0;16975.0;8293.0;598.0;6927.0;15010.0;543.0;86.8;7.4
159;Duitsland;2009;43724.0;21590.0;20182.0;12149.0;8033.0;1812.0;140.0;31068.0;12656.0;12656.0;8616.0;811.0;6946.0;10175.0;532.0;58.9;-32.2
160;Duitsland;2010;50052.0;23093.0;23622.0;13301.0;10321.0;1841.0;1496.0;33395.0;16657.0;16657.0;8910.0;236.0;7613.0;15124.0;522.0;88.7;50.7
161;Duitsland;2011;57256.0;27617.0;26227.0;14411.0;11816.0;1927.0;1486.0;36831.0;20426.0;20426.0;8993.0;240.0;8051.0;19243.0;518.0;112.3;26.7
162;Duitsland;2012;60023.0;28317.0;28031.0;16397.0;11634.0;2041.0;1633.0;39903.0;20120.0;20120.0;9296.0;122.0;7466.0;18168.0;514.0;105.3;-6.2
163;Duitsland;2013;61821.0;28194.0;29620.0;16289.0;13331.0;2131.0;1877.0;39256.0;22565.0;22565.0;9531.0;239.0;7442.0;20236.0;503.0;117.5;11.5
164;Duitsland;2014;61008.0;28106.0;28714.0;15101.0;13614.0;2230.0;1958.0;39010.0;21999.0;21999.0;9783.0;243.0;7835.0;19808.0;504.0;112.6;-4.1
165;Duitsland;2015;54534.0;24710.0;25592.0;14525.0;11067.0;2296.0;1936.0;38527.0;16007.0;16007.0;9973.0;184.0;7056.0;12906.0;496.0;73.3;-34.9
