ID;Sex;Age;CountryOfBirth;CaribbeanNetherlands;Periods;Immigration_1;EmigrationIncludingAdministrative_2;NetMigrationIncludingAdministrativ_3
92;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2012;457;411;46
93;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2013;288;418;-130
94;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2014;342;381;-39
95;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2015;313;201;112
96;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2016;328;260;68
97;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2017;281;144;137
98;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2018;225;463;-238
99;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2019;223;235;-12
100;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2020;127;144;-17
101;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2021;186;171;15
102;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2022;243;125;118
103;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2023;241;179;62
104;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2011;1726;786;940
105;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2012;1701;909;792
106;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2013;1551;936;615
107;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2014;1209;1135;74
108;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2015;1256;1505;-249
109;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2016;1314;1624;-310
110;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2017;1447;943;504
111;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2018;1238;1227;11
112;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2019;1420;802;618
113;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2020;1098;676;422
114;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2021;1415;761;654
115;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2022;2060;650;1410
116;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2023;1812;854;958
117;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2011;1129;451;678
118;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2012;1041;439;602
119;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2013;1012;351;661
120;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2014;766;522;244
121;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2015;836;526;310
122;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2016;896;1319;-423
123;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2017;1022;714;308
124;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2018;917;519;398
125;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2019;1043;427;616
126;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2020;903;438;465
127;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2021;1130;535;595
128;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2022;1711;478;1233
129;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2023;1477;533;944
130;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2011;222;119;103
131;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2012;209;75;134
132;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2013;267;177;90
133;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2014;122;247;-125
134;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2015;115;785;-670
135;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2016;107;59;48
136;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2017;163;99;64
137;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2018;116;269;-153
138;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2019;161;157;4
139;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2020;77;104;-27
140;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2021;117;70;47
141;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2022;122;62;60
142;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2023;114;158;-44
143;Total male and female;Total;Born outside Dutch Caribbean;Saba;2011;375;216;159
144;Total male and female;Total;Born outside Dutch Caribbean;Saba;2012;451;395;56
145;Total male and female;Total;Born outside Dutch Caribbean;Saba;2013;272;408;-136
146;Total male and female;Total;Born outside Dutch Caribbean;Saba;2014;321;366;-45
147;Total male and female;Total;Born outside Dutch Caribbean;Saba;2015;305;194;111
148;Total male and female;Total;Born outside Dutch Caribbean;Saba;2016;311;246;65
149;Total male and female;Total;Born outside Dutch Caribbean;Saba;2017;262;130;132
150;Total male and female;Total;Born outside Dutch Caribbean;Saba;2018;205;439;-234
151;Total male and female;Total;Born outside Dutch Caribbean;Saba;2019;216;218;-2
152;Total male and female;Total;Born outside Dutch Caribbean;Saba;2020;118;134;-16
153;Total male and female;Total;Born outside Dutch Caribbean;Saba;2021;168;156;12
154;Total male and female;Total;Born outside Dutch Caribbean;Saba;2022;227;110;117
155;Total male and female;Total;Born outside Dutch Caribbean;Saba;2023;221;163;58
156;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2011;1129;543;586
157;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2012;1217;653;564
158;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2013;972;638;334
159;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2014;743;782;-39
160;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2015;775;1104;-329
161;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2016;803;1236;-433
162;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2017;910;554;356
163;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2018;736;802;-66
164;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2019;883;451;432
165;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2020;513;291;222
166;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2021;842;388;454
167;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2022;1174;211;963
168;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2023;1234;377;857
169;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2011;602;253;349
170;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2012;619;219;400
171;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2013;529;90;439
172;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2014;367;214;153
173;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2015;407;182;225
174;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2016;436;981;-545
175;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2017;535;365;170
176;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2018;468;146;322
177;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2019;548;135;413
178;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2020;377;94;283
179;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2021;611;233;378
180;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2022;872;88;784
181;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2023;938;112;826
182;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2011;171;81;90
183;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2012;167;50;117
184;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2013;195;156;39
185;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2014;87;214;-127
186;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2015;92;744;-652
187;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2016;80;27;53
188;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2017;131;73;58
189;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2018;80;232;-152
190;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2019;128;125;3
191;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2020;44;83;-39
192;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2021;89;22;67
193;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2022;93;42;51
194;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2023;95;119;-24
195;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2011;356;209;147
196;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2012;431;384;47
197;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2013;248;392;-144
198;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2014;289;354;-65
199;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2015;276;178;98
200;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2016;287;228;59
201;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2017;244;116;128
202;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2018;188;424;-236
203;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2019;207;191;16
204;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2020;92;114;-22
205;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2021;142;133;9
206;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2022;209;81;128
207;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2023;201;146;55
208;Total male and female;Total;Africa;Caribbean Netherlands;2011;37;19;18
209;Total male and female;Total;Africa;Caribbean Netherlands;2012;54;18;36
210;Total male and female;Total;Africa;Caribbean Netherlands;2013;22;24;-2
211;Total male and female;Total;Africa;Caribbean Netherlands;2014;17;28;-11
212;Total male and female;Total;Africa;Caribbean Netherlands;2015;28;40;-12
213;Total male and female;Total;Africa;Caribbean Netherlands;2016;23;63;-40
214;Total male and female;Total;Africa;Caribbean Netherlands;2017;28;28;0
215;Total male and female;Total;Africa;Caribbean Netherlands;2018;15;27;-12
216;Total male and female;Total;Africa;Caribbean Netherlands;2019;16;14;2
217;Total male and female;Total;Africa;Caribbean Netherlands;2020;10;7;3
218;Total male and female;Total;Africa;Caribbean Netherlands;2021;7;17;-10
219;Total male and female;Total;Africa;Caribbean Netherlands;2022;25;6;19
220;Total male and female;Total;Africa;Caribbean Netherlands;2023;25;15;10
221;Total male and female;Total;Africa;Bonaire;2011;22;10;12
222;Total male and female;Total;Africa;Bonaire;2012;26;3;23
223;Total male and female;Total;Africa;Bonaire;2013;14;1;13
224;Total male and female;Total;Africa;Bonaire;2014;6;8;-2
225;Total male and female;Total;Africa;Bonaire;2015;7;8;-1
226;Total male and female;Total;Africa;Bonaire;2016;7;45;-38
227;Total male and female;Total;Africa;Bonaire;2017;6;17;-11
228;Total male and female;Total;Africa;Bonaire;2018;9;5;4
229;Total male and female;Total;Africa;Bonaire;2019;6;5;1
230;Total male and female;Total;Africa;Bonaire;2020;4;1;3
231;Total male and female;Total;Africa;Bonaire;2021;3;5;-2
232;Total male and female;Total;Africa;Bonaire;2022;6;2;4
233;Total male and female;Total;Africa;Bonaire;2023;15;5;10
234;Total male and female;Total;Africa;St Eustatius;2011;5;6;-1
235;Total male and female;Total;Africa;St Eustatius;2012;6;2;4
236;Total male and female;Total;Africa;St Eustatius;2013;1;4;-3
237;Total male and female;Total;Africa;St Eustatius;2014;1;7;-6
238;Total male and female;Total;Africa;St Eustatius;2015;1;27;-26
239;Total male and female;Total;Africa;St Eustatius;2016;0;0;0
240;Total male and female;Total;Africa;St Eustatius;2017;1;0;1
241;Total male and female;Total;Africa;St Eustatius;2018;0;1;-1
242;Total male and female;Total;Africa;St Eustatius;2019;0;1;-1
243;Total male and female;Total;Africa;St Eustatius;2020;4;0;4
244;Total male and female;Total;Africa;St Eustatius;2021;0;2;-2
245;Total male and female;Total;Africa;St Eustatius;2022;4;0;4
246;Total male and female;Total;Africa;St Eustatius;2023;3;2;1
247;Total male and female;Total;Africa;Saba;2011;10;3;7
248;Total male and female;Total;Africa;Saba;2012;22;13;9
249;Total male and female;Total;Africa;Saba;2013;7;19;-12
250;Total male and female;Total;Africa;Saba;2014;10;13;-3
251;Total male and female;Total;Africa;Saba;2015;20;5;15
252;Total male and female;Total;Africa;Saba;2016;16;18;-2
253;Total male and female;Total;Africa;Saba;2017;21;11;10
254;Total male and female;Total;Africa;Saba;2018;6;21;-15
255;Total male and female;Total;Africa;Saba;2019;10;8;2
256;Total male and female;Total;Africa;Saba;2020;2;6;-4
257;Total male and female;Total;Africa;Saba;2021;4;10;-6
258;Total male and female;Total;Africa;Saba;2022;15;4;11
259;Total male and female;Total;Africa;Saba;2023;7;8;-1
260;Total male and female;Total;America;Caribbean Netherlands;2011;1246;841;405
261;Total male and female;Total;America;Caribbean Netherlands;2012;1368;888;480
262;Total male and female;Total;America;Caribbean Netherlands;2013;1311;836;475
263;Total male and female;Total;America;Caribbean Netherlands;2014;1063;890;173
264;Total male and female;Total;America;Caribbean Netherlands;2015;1026;1236;-210
265;Total male and female;Total;America;Caribbean Netherlands;2016;1070;1263;-193
266;Total male and female;Total;America;Caribbean Netherlands;2017;1148;883;265
267;Total male and female;Total;America;Caribbean Netherlands;2018;1013;1059;-46
268;Total male and female;Total;America;Caribbean Netherlands;2019;1197;726;471
269;Total male and female;Total;America;Caribbean Netherlands;2020;975;536;439
270;Total male and female;Total;America;Caribbean Netherlands;2021;1250;674;576
271;Total male and female;Total;America;Caribbean Netherlands;2022;1581;583;998
272;Total male and female;Total;America;Caribbean Netherlands;2023;1513;802;711
273;Total male and female;Total;America;Bonaire;2011;812;561;251
274;Total male and female;Total;America;Bonaire;2012;912;517;395
275;Total male and female;Total;America;Bonaire;2013;894;377;517
276;Total male and female;Total;America;Bonaire;2014;736;458;278
277;Total male and female;Total;America;Bonaire;2015;713;411;302
278;Total male and female;Total;America;Bonaire;2016;723;1034;-311
279;Total male and female;Total;America;Bonaire;2017;780;689;91
280;Total male and female;Total;America;Bonaire;2018;757;459;298
281;Total male and female;Total;America;Bonaire;2019;896;421;475
282;Total male and female;Total;America;Bonaire;2020;825;326;499
283;Total male and female;Total;America;Bonaire;2021;1000;503;497
284;Total male and female;Total;America;Bonaire;2022;1313;430;883
285;Total male and female;Total;America;Bonaire;2023;1210;476;734
286;Total male and female;Total;America;St Eustatius;2011;176;111;65
287;Total male and female;Total;America;St Eustatius;2012;169;98;71
288;Total male and female;Total;America;St Eustatius;2013;244;202;42
289;Total male and female;Total;America;St Eustatius;2014;117;197;-80
290;Total male and female;Total;America;St Eustatius;2015;125;711;-586
291;Total male and female;Total;America;St Eustatius;2016;129;75;54
292;Total male and female;Total;America;St Eustatius;2017;190;92;98
293;Total male and female;Total;America;St Eustatius;2018;109;295;-186
294;Total male and female;Total;America;St Eustatius;2019;145;153;-8
295;Total male and female;Total;America;St Eustatius;2020;71;119;-48
296;Total male and female;Total;America;St Eustatius;2021;124;63;61
297;Total male and female;Total;America;St Eustatius;2022;115;86;29
298;Total male and female;Total;America;St Eustatius;2023;133;211;-78
299;Total male and female;Total;America;Saba;2011;258;169;89
300;Total male and female;Total;America;Saba;2012;287;273;14
301;Total male and female;Total;America;Saba;2013;173;257;-84
302;Total male and female;Total;America;Saba;2014;210;235;-25
303;Total male and female;Total;America;Saba;2015;188;114;74
304;Total male and female;Total;America;Saba;2016;218;154;64
305;Total male and female;Total;America;Saba;2017;178;102;76
306;Total male and female;Total;America;Saba;2018;147;305;-158
307;Total male and female;Total;America;Saba;2019;156;152;4
308;Total male and female;Total;America;Saba;2020;79;91;-12
309;Total male and female;Total;America;Saba;2021;126;108;18
310;Total male and female;Total;America;Saba;2022;153;67;86
311;Total male and female;Total;America;Saba;2023;170;115;55
312;Total male and female;Total;Asia;Caribbean Netherlands;2011;216;130;86
313;Total male and female;Total;Asia;Caribbean Netherlands;2012;250;169;81
314;Total male and female;Total;Asia;Caribbean Netherlands;2013;168;153;15
315;Total male and female;Total;Asia;Caribbean Netherlands;2014;114;157;-43
316;Total male and female;Total;Asia;Caribbean Netherlands;2015;132;143;-11
317;Total male and female;Total;Asia;Caribbean Netherlands;2016;122;216;-94
318;Total male and female;Total;Asia;Caribbean Netherlands;2017;115;61;54
319;Total male and female;Total;Asia;Caribbean Netherlands;2018;77;122;-45
320;Total male and female;Total;Asia;Caribbean Netherlands;2019;70;68;2
321;Total male and female;Total;Asia;Caribbean Netherlands;2020;35;40;-5
322;Total male and female;Total;Asia;Caribbean Netherlands;2021;67;50;17
323;Total male and female;Total;Asia;Caribbean Netherlands;2022;88;26;62
324;Total male and female;Total;Asia;Caribbean Netherlands;2023;100;47;53
325;Total male and female;Total;Asia;Bonaire;2011;112;57;55
326;Total male and female;Total;Asia;Bonaire;2012;107;55;52
327;Total male and female;Total;Asia;Bonaire;2013;70;9;61
328;Total male and female;Total;Asia;Bonaire;2014;31;26;5
329;Total male and female;Total;Asia;Bonaire;2015;60;46;14
330;Total male and female;Total;Asia;Bonaire;2016;52;149;-97
331;Total male and female;Total;Asia;Bonaire;2017;55;31;24
332;Total male and female;Total;Asia;Bonaire;2018;29;14;15
333;Total male and female;Total;Asia;Bonaire;2019;20;16;4
334;Total male and female;Total;Asia;Bonaire;2020;18;11;7
335;Total male and female;Total;Asia;Bonaire;2021;29;23;6
336;Total male and female;Total;Asia;Bonaire;2022;29;5;24
337;Total male and female;Total;Asia;Bonaire;2023;52;4;48
338;Total male and female;Total;Asia;St Eustatius;2011;24;21;3
339;Total male and female;Total;Asia;St Eustatius;2012;32;9;23
340;Total male and female;Total;Asia;St Eustatius;2013;25;38;-13
341;Total male and female;Total;Asia;St Eustatius;2014;9;24;-15
342;Total male and female;Total;Asia;St Eustatius;2015;10;44;-34
343;Total male and female;Total;Asia;St Eustatius;2016;6;2;4
344;Total male and female;Total;Asia;St Eustatius;2017;3;12;-9
345;Total male and female;Total;Asia;St Eustatius;2018;4;16;-12
346;Total male and female;Total;Asia;St Eustatius;2019;6;14;-8
347;Total male and female;Total;Asia;St Eustatius;2020;0;2;-2
348;Total male and female;Total;Asia;St Eustatius;2021;23;0;23
349;Total male and female;Total;Asia;St Eustatius;2022;9;3;6
350;Total male and female;Total;Asia;St Eustatius;2023;3;9;-6
351;Total male and female;Total;Asia;Saba;2011;80;52;28
352;Total male and female;Total;Asia;Saba;2012;111;105;6
353;Total male and female;Total;Asia;Saba;2013;73;106;-33
354;Total male and female;Total;Asia;Saba;2014;74;107;-33
355;Total male and female;Total;Asia;Saba;2015;62;53;9
356;Total male and female;Total;Asia;Saba;2016;64;65;-1
357;Total male and female;Total;Asia;Saba;2017;57;18;39
358;Total male and female;Total;Asia;Saba;2018;44;92;-48
359;Total male and female;Total;Asia;Saba;2019;44;38;6
360;Total male and female;Total;Asia;Saba;2020;17;27;-10
361;Total male and female;Total;Asia;Saba;2021;15;27;-12
362;Total male and female;Total;Asia;Saba;2022;50;18;32
363;Total male and female;Total;Asia;Saba;2023;45;34;11
364;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2011;733;291;442
365;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2012;587;307;280
366;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2013;679;345;334
367;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2014;541;447;94
368;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2015;552;455;97
369;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2016;583;489;94
370;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2017;608;431;177
371;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2018;576;527;49
372;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2019;617;404;213
373;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2020;643;415;228
374;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2021;635;408;227
375;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2022;977;481;496
376;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2023;649;522;127
377;Total male and female;Total;Europe (including the Netherlands);Bonaire;2011;591;220;371
378;Total male and female;Total;Europe (including the Netherlands);Bonaire;2012;478;245;233
