ID;Watergebruikers;Perioden;TotaalLeidingwater_1;Drinkwater_2;TotaalIndustriewater_3;IndustriewaterVoorKoeling_4;OverigIndustriewater_5;TotaalGrondwater_6;GrondwaterVoorKoeling_7;OverigGrondwater_8;TotaalOppervlaktewater_9;TotaalZoetOppervlaktewater_10;ZoetOppervlaktewaterVoorKoeling_11;OverigZoetOppervlaktewater_12;TotaalZoutOppervlaktewater_13;ZoutOppervlaktewaterVoorKoeling_14;OverigZoutOppervlaktewater_15
73;A Landbouw, bosbouw en visserij;2013;41.0;41.0;0.0;;;83.0;0.0;83.0;23.9;23.9;;;0.0;;
74;A Landbouw, bosbouw en visserij;2014;41.9;41.9;0.0;;;60.8;0.0;60.8;21.9;21.9;;;0.0;;
75;A Landbouw, bosbouw en visserij;2015;42.7;42.7;0.0;;;77.0;0.0;77.0;28.9;28.9;;;0.0;;
76;A Landbouw, bosbouw en visserij;2016;43.6;43.6;0.0;;;56.4;0.0;56.4;20.1;20.1;;;0.0;;
77;A Landbouw, bosbouw en visserij;2017;48.4;48.4;0.0;;;97.0;0.0;97.0;22.7;22.7;;;0.0;;
78;A Landbouw, bosbouw en visserij;2018;48.9;48.9;0.0;;;225.3;0.0;225.3;76.8;76.8;;;0.0;;
79;A Landbouw, bosbouw en visserij;2019;43.8;43.8;0.0;;;198.8;0.0;198.8;54.6;54.6;;;0.0;;
80;A Landbouw, bosbouw en visserij;2020;41.9;41.9;0.0;;;214.2;0.0;214.2;93.0;93.0;;;0.0;;
81;A Landbouw, bosbouw en visserij;2021;40.6;40.6;0.0;;;62.6;0.0;62.6;21.2;21.2;;;0.0;;
82;A Landbouw, bosbouw en visserij;2022;;40.9;;;;200.5;0.0;200.5;64.6;64.6;0.0;64.6;0.0;0.0;0.0
83;A Landbouw, bosbouw en visserij;2023;;45.9;;;;114.5;0.0;114.5;52.9;52.9;0.0;52.9;0.0;0.0;0.0
84;B Delfstoffenwinning;2003;4.7;4.7;0.0;;;0.1;0.0;0.0;7.8;1.1;;;6.6;;
85;B Delfstoffenwinning;2004;4.0;4.0;0.0;;;0.1;0.0;0.0;5.6;1.0;;;4.6;;
86;B Delfstoffenwinning;2005;3.8;3.8;0.0;;;0.1;0.0;0.0;4.6;0.9;;;3.7;;
87;B Delfstoffenwinning;2006;3.7;3.7;0.0;;;0.1;0.0;0.0;4.5;0.9;;;3.6;;
88;B Delfstoffenwinning;2007;3.6;3.6;0.0;;;0.1;0.0;0.0;35.7;0.8;;;34.9;;
89;B Delfstoffenwinning;2008;3.8;3.8;0.0;;;0.1;0.0;0.0;35.5;0.8;;;34.7;;
90;B Delfstoffenwinning;2009;3.6;3.6;0.0;;;0.1;0.0;0.0;36.4;0.8;;;35.7;;
91;B Delfstoffenwinning;2010;3.6;3.6;0.0;;;0.1;0.0;0.0;28.0;0.7;;;27.3;;
92;B Delfstoffenwinning;2011;3.7;3.7;0.0;;;0.1;0.0;0.0;36.6;0.8;;;35.9;;
93;B Delfstoffenwinning;2012;3.2;3.2;0.0;;;0.1;0.0;0.0;30.4;0.7;;;29.7;;
94;B Delfstoffenwinning;2013;3.0;3.0;0.0;;;0.1;0.0;0.0;25.1;0.7;;;24.4;;
95;B Delfstoffenwinning;2014;2.7;2.7;0.0;;;0.1;0.0;0.0;31.9;0.7;;;31.2;;
96;B Delfstoffenwinning;2015;2.5;2.5;0.0;;;0.1;0.0;0.0;34.0;0.7;;;33.3;;
97;B Delfstoffenwinning;2016;2.5;2.5;0.0;;;0.1;0.0;0.0;33.2;0.7;;;32.5;;
98;B Delfstoffenwinning;2017;2.6;2.6;0.0;;;0.0;0.0;0.0;35.3;0.7;;;34.6;;
99;B Delfstoffenwinning;2018;2.9;2.9;0.0;;;0.1;0.0;0.0;36.2;0.8;;;35.4;;
100;B Delfstoffenwinning;2019;2.2;2.2;0.0;;;0.1;0.0;0.1;27.7;0.0;;;27.7;;
101;B Delfstoffenwinning;2020;2.3;2.3;0.0;;;0.3;0.0;0.3;29.1;2.4;;;26.7;;
102;B Delfstoffenwinning;2021;2.4;2.4;0.0;;;0.1;0.0;0.1;32.3;2.7;;;29.6;;
103;B Delfstoffenwinning;2022;;;;;;0.1;0.0;0.1;33.5;2.8;0.0;2.8;30.7;29.4;1.3
104;B Delfstoffenwinning;2023;;;;;;0.1;0.0;0.1;36.3;2.1;0.0;2.1;34.2;32.9;1.3
105;C Industrie;2003;219.4;149.7;69.7;;;215.0;103.5;111.5;3716.0;2911.4;;;804.5;;
106;C Industrie;2004;216.8;147.3;69.5;;;216.2;115.3;100.9;3653.7;2857.2;;;796.4;;
107;C Industrie;2005;213.5;142.8;70.7;;;181.0;98.4;82.6;3188.9;2479.6;;;709.4;;
108;C Industrie;2006;213.8;143.2;70.6;;;179.3;99.4;79.9;3229.1;2528.9;;;700.2;;
109;C Industrie;2007;213.8;142.9;70.9;;;173.3;90.9;82.4;3212.5;2527.8;;;684.7;;
110;C Industrie;2008;213.5;144.2;69.3;;;172.1;92.7;79.4;3347.9;2745.5;;;602.5;;
111;C Industrie;2009;208.0;140.2;67.8;;;176.3;88.4;87.9;3669.5;3073.1;;;596.5;;
112;C Industrie;2010;209.4;138.0;71.4;;;135.7;64.7;71.0;3368.6;2738.9;;;629.7;;
113;C Industrie;2011;206.1;133.6;72.5;;;138.4;64.3;74.1;3407.8;2787.1;;;620.7;;
114;C Industrie;2012;200.8;131.2;69.6;;;134.1;64.5;69.6;3452.5;2837.1;;;615.4;;
115;C Industrie;2013;207.5;135.4;72.1;;;140.2;74.3;65.9;3312.8;2696.5;;;616.3;;
116;C Industrie;2014;201.8;129.6;72.2;;;141.0;71.2;69.8;3012.7;2381.2;;;631.5;;
117;C Industrie;2015;196.3;128.3;68.0;;;143.3;71.8;71.5;2697.6;2082.4;;;615.2;;
118;C Industrie;2016;200.5;128.1;72.4;;;143.8;74.2;69.6;3007.3;2396.9;;;610.4;;
119;C Industrie;2017;205.9;136.2;69.7;;;130.2;60.1;70.1;2999.1;2390.7;;;608.4;;
120;C Industrie;2018;202.4;132.0;70.4;;;132.3;62.7;69.5;2980.0;2326.1;;;653.9;;
121;C Industrie;2019;213.0;144.6;68.4;;;127.6;61.3;66.4;2906.3;2285.2;;;621.1;;
122;C Industrie;2020;208.9;140.1;68.9;;;113.2;50.0;63.2;2976.5;2307.6;;;669.0;;
123;C Industrie;2021;218.6;150.2;68.4;;;108.5;46.2;62.4;3266.8;2506.7;;;760.1;;
124;C Industrie;2022;;;;;;127.9;58.3;69.6;2922.8;2223.6;;;699.2;698.6;0.6
125;C Industrie;2023;;;;;;98.5;38.5;60.0;2722.4;2006.8;;;715.6;715.0;0.6
126;10 Voedingsmiddelenindustrie;2003;46.8;46.8;0.0;;;68.6;26.8;41.8;157.2;157.2;;;0.0;;
127;10 Voedingsmiddelenindustrie;2004;43.8;43.8;0.0;;;51.9;23.6;28.3;171.5;171.5;;;0.0;;
128;10 Voedingsmiddelenindustrie;2005;43.9;43.9;0.0;;;47.1;21.7;25.4;150.1;150.1;;;0.0;;
129;10 Voedingsmiddelenindustrie;2006;45.5;44.0;1.5;;;45.3;20.3;25.0;153.5;153.5;;;0.0;;
130;10 Voedingsmiddelenindustrie;2007;44.6;43.1;1.5;;;44.0;21.2;22.7;156.3;156.3;;;0.0;;
131;10 Voedingsmiddelenindustrie;2008;48.8;47.2;1.6;;;47.9;21.7;26.2;173.3;173.3;;;0.0;;
132;10 Voedingsmiddelenindustrie;2009;56.5;54.9;1.6;;;48.3;21.8;26.5;170.6;164.0;;;6.6;;
133;10 Voedingsmiddelenindustrie;2010;52.2;50.7;1.5;;;40.2;17.4;22.7;178.3;169.1;;;9.1;;
134;10 Voedingsmiddelenindustrie;2011;55.9;54.3;1.6;;;42.5;18.4;24.1;182.3;169.6;;;12.7;;
135;10 Voedingsmiddelenindustrie;2012;55.7;54.0;1.7;;;46.3;22.4;23.9;210.1;200.4;;;9.8;;
136;10 Voedingsmiddelenindustrie;2013;54.0;52.3;1.7;;;39.5;19.6;19.9;211.1;202.0;;;9.1;;
137;10 Voedingsmiddelenindustrie;2014;51.8;50.1;1.7;;;43.2;22.1;21.2;173.3;163.6;;;9.7;;
138;10 Voedingsmiddelenindustrie;2015;48.4;46.6;1.8;;;42.8;21.4;21.4;158.6;149.0;;;9.6;;
139;10 Voedingsmiddelenindustrie;2016;47.9;46.1;1.8;;;40.9;20.9;20.0;153.6;144.4;;;9.1;;
140;10 Voedingsmiddelenindustrie;2017;50.1;48.4;1.7;;;30.3;9.3;21.1;157.6;147.9;;;9.7;;
141;10 Voedingsmiddelenindustrie;2018;51.1;49.7;1.4;;;27.1;7.6;19.5;179.9;169.9;;;10.0;;
142;10 Voedingsmiddelenindustrie;2019;54.7;52.6;2.1;;;34.7;16.0;18.7;170.8;161.1;;;9.7;;
143;10 Voedingsmiddelenindustrie;2020;56.0;54.4;1.7;;;25.5;6.4;19.0;159.0;148.5;;;10.5;;
144;10 Voedingsmiddelenindustrie;2021;60.4;58.5;1.9;;;25.0;6.8;18.1;179.6;168.4;;;11.2;;
145;10 Voedingsmiddelenindustrie;2022;;;;;;23.7;5.1;18.6;164.9;155.7;83.7;72.1;9.2;9.2;0.0
146;10 Voedingsmiddelenindustrie;2023;;;;;;18.6;4.1;14.5;124.7;117.4;71.8;45.6;7.3;7.3;0.0
147;11 Drankenindustrie;2003;18.1;18.1;0.0;;;10.0;1.0;9.1;0.0;0.0;;;0.0;;
148;11 Drankenindustrie;2004;16.0;16.0;0.0;;;11.9;1.0;10.9;0.0;0.0;;;0.0;;
149;11 Drankenindustrie;2005;15.8;15.8;0.0;;;11.4;0.4;11.0;0.0;0.0;;;0.0;;
150;11 Drankenindustrie;2006;18.3;18.3;0.0;;;13.3;2.0;11.3;0.0;0.0;;;0.0;;
151;11 Drankenindustrie;2007;17.8;17.8;0.0;;;10.1;0.5;9.7;0.0;0.0;;;0.0;;
152;11 Drankenindustrie;2008;15.4;15.4;0.0;;;8.2;1.0;7.2;0.0;0.0;;;0.0;;
153;11 Drankenindustrie;2009;9.4;9.4;0.0;;;15.6;1.2;14.5;0.0;0.0;;;0.0;;
154;11 Drankenindustrie;2010;9.0;9.0;0.0;;;19.8;5.9;13.9;0.0;0.0;;;0.0;;
155;11 Drankenindustrie;2011;8.3;8.3;0.0;;;19.0;5.2;13.8;0.0;0.0;;;0.0;;
156;11 Drankenindustrie;2012;8.4;8.4;0.0;;;10.2;0.8;9.4;0.0;0.0;;;0.0;;
157;11 Drankenindustrie;2013;9.8;9.8;0.0;;;13.9;4.2;9.7;0.0;0.0;;;0.0;;
158;11 Drankenindustrie;2014;8.2;8.2;0.0;;;16.2;3.1;13.1;0.0;0.0;;;0.0;;
159;11 Drankenindustrie;2015;6.8;6.8;0.0;;;16.9;3.3;13.7;0.0;0.0;;;0.0;;
160;11 Drankenindustrie;2016;7.2;7.2;0.0;;;15.5;2.6;12.9;0.0;0.0;;;0.0;;
161;11 Drankenindustrie;2017;5.8;5.8;0.0;;;14.6;1.2;13.4;0.0;0.0;;;0.0;;
162;11 Drankenindustrie;2018;6.7;6.7;0.0;;;16.4;1.4;15.0;0.0;0.0;;;0.0;;
163;11 Drankenindustrie;2019;6.1;6.1;0.0;;;13.8;0.9;12.9;0.0;0.0;;;0.0;;
164;11 Drankenindustrie;2020;6.0;6.0;0.0;;;13.8;1.2;12.6;0.0;0.0;;;0.0;;
165;11 Drankenindustrie;2021;6.4;6.4;0.0;;;14.6;1.1;13.5;0.0;0.0;;;0.0;;
166;11 Drankenindustrie;2022;;;;;;16.4;1.1;15.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0
167;11 Drankenindustrie;2023;;;;;;17.0;1.2;15.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0
168;12 Tabaksindustrie;2003;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
169;12 Tabaksindustrie;2004;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
170;12 Tabaksindustrie;2005;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
171;12 Tabaksindustrie;2006;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
172;12 Tabaksindustrie;2007;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
173;12 Tabaksindustrie;2008;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
174;12 Tabaksindustrie;2009;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
175;12 Tabaksindustrie;2010;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
176;12 Tabaksindustrie;2011;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
177;12 Tabaksindustrie;2012;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
178;12 Tabaksindustrie;2013;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
179;12 Tabaksindustrie;2014;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
180;12 Tabaksindustrie;2015;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
181;12 Tabaksindustrie;2016;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
182;12 Tabaksindustrie;2017;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
183;12 Tabaksindustrie;2018;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
184;12 Tabaksindustrie;2019;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
185;12 Tabaksindustrie;2020;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
186;12 Tabaksindustrie;2021;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
187;12 Tabaksindustrie;2022;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
188;12 Tabaksindustrie;2023;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
189;13 Textielindustrie;2003;3.4;3.4;0.0;;;6.0;0.5;5.4;4.3;4.3;;;0.0;;
190;13 Textielindustrie;2004;2.7;2.7;0.0;;;5.4;0.5;4.9;5.1;5.1;;;0.0;;
191;13 Textielindustrie;2005;2.5;2.5;0.0;;;5.4;0.5;4.9;5.9;5.9;;;0.0;;
192;13 Textielindustrie;2006;2.6;2.6;0.0;;;4.1;0.5;3.6;4.3;4.3;;;0.0;;
193;13 Textielindustrie;2007;2.9;2.9;0.0;;;4.4;0.6;3.8;5.5;5.5;;;0.0;;
194;13 Textielindustrie;2008;3.3;3.3;0.0;;;4.5;0.6;4.0;8.0;8.0;;;0.0;;
195;13 Textielindustrie;2009;2.1;2.1;0.0;;;2.1;0.3;1.8;0.0;0.0;;;0.0;;
196;13 Textielindustrie;2010;2.5;2.5;0.0;;;2.3;0.4;1.9;0.0;0.0;;;0.0;;
197;13 Textielindustrie;2011;2.5;2.5;0.0;;;2.5;0.5;2.0;4.5;4.5;;;0.0;;
198;13 Textielindustrie;2012;1.6;1.6;0.0;;;2.1;0.3;1.8;4.9;4.9;;;0.0;;
199;13 Textielindustrie;2013;1.8;1.8;0.0;;;2.1;0.3;1.8;4.8;4.8;;;0.0;;
200;13 Textielindustrie;2014;1.7;1.7;0.0;;;2.1;0.3;1.8;4.9;4.9;;;0.0;;
201;13 Textielindustrie;2015;1.4;1.4;0.0;;;2.2;0.4;1.8;4.5;4.5;;;0.0;;
202;13 Textielindustrie;2016;1.3;1.3;0.0;;;2.4;0.4;2.0;4.6;4.6;;;0.0;;
203;13 Textielindustrie;2017;1.4;1.4;0.0;;;1.8;0.4;1.4;6.1;6.1;;;0.0;;
204;13 Textielindustrie;2018;0.8;0.8;0.0;;;3.2;0.6;2.5;3.3;3.3;;;0.0;;
205;13 Textielindustrie;2019;0.7;0.7;0.0;;;2.1;0.3;1.8;0.9;0.9;;;0.0;;
206;13 Textielindustrie;2020;1.3;1.3;0.0;;;0.9;0.1;0.8;5.1;5.1;;;0.0;;
207;13 Textielindustrie;2021;1.6;1.6;0.0;;;1.4;0.1;1.3;4.5;4.5;;;0.0;;
208;13 Textielindustrie;2022;;;;;;1.3;0.1;1.2;4.4;4.4;0.0;4.4;0.0;0.0;0.0
209;13 Textielindustrie;2023;;;;;;1.2;0.1;1.1;4.1;4.1;0.0;4.1;0.0;0.0;0.0
210;14 Kledingindustrie;2003;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
211;14 Kledingindustrie;2004;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
212;14 Kledingindustrie;2005;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
213;14 Kledingindustrie;2006;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
214;14 Kledingindustrie;2007;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
215;14 Kledingindustrie;2008;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
216;14 Kledingindustrie;2009;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
217;14 Kledingindustrie;2010;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
218;14 Kledingindustrie;2011;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
219;14 Kledingindustrie;2012;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
220;14 Kledingindustrie;2013;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
221;14 Kledingindustrie;2014;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
222;14 Kledingindustrie;2015;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
223;14 Kledingindustrie;2016;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
224;14 Kledingindustrie;2017;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
225;14 Kledingindustrie;2018;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
226;14 Kledingindustrie;2019;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
227;14 Kledingindustrie;2020;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
228;14 Kledingindustrie;2021;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
229;14 Kledingindustrie;2022;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
