ID;BedrijfstakkenBranchesSBI2008;Bedrijfsgrootte;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5
105;J Informatie en communicatie;Totaal werkzame personen;20.9;80.4;45.62;38.58;1762.0
106;J Informatie en communicatie;1 tot 10 werkzame personen;2.5;70.7;40.14;33.8;1760.0
107;J Informatie en communicatie;10 tot 50 werkzame personen;4.3;72.2;40.9;34.51;1766.0
108;J Informatie en communicatie;50 tot 250 werkzame personen;5.3;82.5;46.83;39.56;1762.0
109;J Informatie en communicatie;250 tot 500 werkzame personen;2.5;96.8;55.23;46.69;1753.0
110;J Informatie en communicatie;500 tot 1 000 werkzame personen;1.3;81.9;46.65;39.48;1755.0
111;J Informatie en communicatie;1 000 of meer werkzame personen;4.9;84.4;47.92;40.81;1762.0
112;K Financiële dienstverlening;Totaal werkzame personen;23.8;100.4;57.47;48.86;1746.0
113;K Financiële dienstverlening;1 tot 10 werkzame personen;6.9;92.4;53.55;45.34;1725.0
114;K Financiële dienstverlening;10 tot 50 werkzame personen;1.8;98.8;58.32;49.49;1695.0
115;K Financiële dienstverlening;50 tot 250 werkzame personen;2.4;107.0;61.69;52.19;1734.0
116;K Financiële dienstverlening;250 tot 500 werkzame personen;1.2;107.2;60.81;51.45;1763.0
117;K Financiële dienstverlening;500 tot 1 000 werkzame personen;2.6;110.6;62.58;53.1;1767.0
118;K Financiële dienstverlening;1 000 of meer werkzame personen;9.0;102.3;57.76;49.4;1770.0
119;L Verhuur en handel van onroerend goed;Totaal werkzame personen;4.1;73.0;43.67;36.65;1673.0
120;L Verhuur en handel van onroerend goed;1 tot 10 werkzame personen;1.1;68.2;39.36;33.05;1732.0
121;L Verhuur en handel van onroerend goed;10 tot 50 werkzame personen;0.8;71.5;42.09;35.28;1698.0
122;L Verhuur en handel van onroerend goed;50 tot 250 werkzame personen;1.2;73.7;45.15;37.95;1631.0
123;L Verhuur en handel van onroerend goed;250 tot 500 werkzame personen;0.5;81.9;50.08;42.05;1635.0
124;L Verhuur en handel van onroerend goed;500 tot 1 000 werkzame personen;0.4;77.8;48.04;40.2;1619.0
125;L Verhuur en handel van onroerend goed;1 000 of meer werkzame personen;;;;;
126;M-N Zakelijke dienstverlening;Totaal werkzame personen;66.3;58.4;33.26;28.02;1757.0
127;M-N Zakelijke dienstverlening;1 tot 10 werkzame personen;10.2;69.3;40.16;33.43;1725.0
128;M-N Zakelijke dienstverlening;10 tot 50 werkzame personen;10.9;61.8;35.44;29.67;1744.0
129;M-N Zakelijke dienstverlening;50 tot 250 werkzame personen;12.8;60.9;34.3;28.91;1774.0
130;M-N Zakelijke dienstverlening;250 tot 500 werkzame personen;5.6;59.9;33.3;28.31;1799.0
131;M-N Zakelijke dienstverlening;500 tot 1 000 werkzame personen;6.2;60.5;33.79;28.66;1791.0
132;M-N Zakelijke dienstverlening;1 000 of meer werkzame personen;20.7;50.9;29.15;24.63;1746.0
133;M Specialistische zakelijke diensten;Totaal werkzame personen;36.1;80.3;46.01;38.75;1746.0
134;M Specialistische zakelijke diensten;1 tot 10 werkzame personen;8.5;75.4;43.38;36.41;1737.0
135;M Specialistische zakelijke diensten;10 tot 50 werkzame personen;7.5;70.2;40.3;33.96;1741.0
136;M Specialistische zakelijke diensten;50 tot 250 werkzame personen;7.0;80.2;45.68;38.55;1756.0
137;M Specialistische zakelijke diensten;250 tot 500 werkzame personen;3.0;87.8;49.53;41.94;1773.0
138;M Specialistische zakelijke diensten;500 tot 1 000 werkzame personen;3.3;98.4;56.04;47.23;1756.0
139;M Specialistische zakelijke diensten;1 000 of meer werkzame personen;6.8;91.1;52.46;44.12;1737.0
140;N Verhuur en overige zakelijke diensten;Totaal werkzame personen;30.3;44.1;25.0;21.07;1764.0
141;N Verhuur en overige zakelijke diensten;1 tot 10 werkzame personen;1.6;48.7;28.94;23.4;1684.0
142;N Verhuur en overige zakelijke diensten;10 tot 50 werkzame personen;3.4;49.0;28.07;23.25;1747.0
143;N Verhuur en overige zakelijke diensten;50 tot 250 werkzame personen;5.8;47.1;26.37;22.21;1787.0
144;N Verhuur en overige zakelijke diensten;250 tot 500 werkzame personen;2.6;44.0;24.27;20.69;1815.0
145;N Verhuur en overige zakelijke diensten;500 tot 1 000 werkzame personen;2.9;42.2;23.34;19.86;1808.0
146;N Verhuur en overige zakelijke diensten;1 000 of meer werkzame personen;13.9;41.9;23.94;20.25;1748.0
147;O-Q Overheid en zorg;Totaal werkzame personen;126.4;68.4;43.91;35.39;1558.0
148;O-Q Overheid en zorg;1 tot 10 werkzame personen;;;;;
149;O-Q Overheid en zorg;10 tot 50 werkzame personen;5.0;56.6;36.31;28.97;1559.0
150;O-Q Overheid en zorg;50 tot 250 werkzame personen;10.5;65.2;42.28;33.85;1542.0
151;O-Q Overheid en zorg;250 tot 500 werkzame personen;12.2;68.7;44.45;35.76;1546.0
152;O-Q Overheid en zorg;500 tot 1 000 werkzame personen;13.5;67.9;44.2;35.48;1537.0
153;O-Q Overheid en zorg;1 000 of meer werkzame personen;;;;;
154;O-U Niet-commerciële dienstverlening;Totaal werkzame personen;135.9;67.2;43.15;34.67;1558.0
