ID;Perioden;TotaleBevolking_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarEnOuder_4;k_0Tot20Jaar_5;k_20Tot65Jaar_6;k_65JaarEnOuder_7;DemografischeDruk_8;Levendgeborenen_9;TotaalVruchtbaarheidscijfer_10;Overledenen_11;BijGeboorteMannen_12;BijGeboorteVrouwen_13;BijGeboorteTotaal_14;Op65steVerjaardagMannen_15;Op65steVerjaardagVrouwen_16;Op65steVerjaardagTotaal_17;Immigratie_18;EmigratieInclusiefCorrecties_19;MigratiesaldoInclusiefCorrecties_20
28;2039;17833948.0;3827393.0;9363295.0;4643259.0;21.5;52.5;26.0;90.5;184041;1.75;204824;82.77;85.69;84.24;20.45;22.94;21.71;149080;126735;22345
29;2040;17835509.0;3826821.0;9367182.0;4641507.0;21.5;52.5;26.0;90.4;183391;1.75;206553;82.88;85.78;84.34;20.52;23.01;21.78;149224;126772;22452
30;2041;17834800.0;3824400.0;9380352.0;4630048.0;21.4;52.6;26.0;90.1;182889;1.75;208008;82.98;85.86;84.43;20.6;23.07;21.85;149325;126843;22482
31;2042;17832162.0;3820517.0;9395915.0;4615730.0;21.4;52.7;25.9;89.8;182552;1.75;209212;83.08;85.95;84.53;20.67;23.13;21.91;149423;126933;22490
32;2043;17827993.0;3815300.0;9414581.0;4598112.0;21.4;52.8;25.8;89.4;182385;1.75;210186;83.18;86.04;84.62;20.74;23.2;21.98;149492;127037;22455
33;2044;17822647.0;3809121.0;9431959.0;4581567.0;21.4;52.9;25.7;89.0;182388;1.75;210973;83.28;86.13;84.72;20.82;23.26;22.05;149530;127157;22373
34;2045;17816435.0;3802300.0;9450661.0;4563474.0;21.3;53.0;25.6;88.5;182553;1.75;211629;83.38;86.21;84.81;20.89;23.32;22.12;149553;127280;22273
35;2046;17809632.0;3795138.0;9464610.0;4549884.0;21.3;53.1;25.5;88.2;182863;1.75;212122;83.48;86.3;84.91;20.96;23.39;22.19;149579;127393;22186
36;2047;17802559.0;3787912.0;9481315.0;4533332.0;21.3;53.3;25.5;87.8;183296;1.75;212545;83.58;86.39;85.0;21.03;23.45;22.25;149613;127527;22086
37;2048;17795396.0;3780855.0;9502784.0;4511757.0;21.2;53.4;25.4;87.3;183824;1.75;212945;83.67;86.47;85.09;21.1;23.51;22.32;149655;127637;22018
38;2049;17788293.0;3774157.0;9525185.0;4488951.0;21.2;53.5;25.2;86.8;184417;1.75;213330;83.76;86.55;85.17;21.16;23.57;22.38;149686;127768;21918
39;2050;17781298.0;3767977.0;9543338.0;4469984.0;21.2;53.7;25.1;86.3;185044;1.75;213678;83.85;86.63;85.26;21.22;23.63;22.44;149734;127891;21843
40;2051;17774507.0;3762526.0;9558126.0;4453856.0;21.2;53.8;25.1;86.0;185683;1.75;213941;83.93;86.71;85.34;21.28;23.69;22.5;149776;128021;21755
41;2052;17768004.0;3757983.0;9567879.0;4442142.0;21.2;53.8;25.0;85.7;186310;1.75;214046;84.02;86.79;85.42;21.34;23.75;22.56;149810;128146;21664
42;2053;17761933.0;3754526.0;9575524.0;4431883.0;21.1;53.9;25.0;85.5;186903;1.75;213964;84.1;86.87;85.5;21.4;23.81;22.62;149819;128247;21572
43;2054;17756444.0;3752304.0;9582653.0;4421487.0;21.1;54.0;24.9;85.3;187443;1.75;213663;84.18;86.95;85.58;21.46;23.87;22.68;149861;128375;21486
44;2055;17751709.0;3751403.0;9586762.0;4413545.0;21.1;54.0;24.9;85.2;187913;1.75;213127;84.27;87.03;85.67;21.52;23.92;22.74;149868;128470;21398
45;2056;17747893.0;3751867.0;9583305.0;4412721.0;21.1;54.0;24.9;85.2;188302;1.75;212358;84.35;87.11;85.75;21.58;23.98;22.79;149909;128556;21353
46;2057;17745189.0;3753672.0;9578521.0;4412996.0;21.2;54.0;24.9;85.3;188600;1.75;211383;84.43;87.18;85.83;21.64;24.04;22.85;149924;128655;21269
47;2058;17743675.0;3756666.0;9574693.0;4412317.0;21.2;54.0;24.9;85.3;188804;1.75;210219;84.51;87.26;85.9;21.7;24.1;22.91;149933;128712;21221
48;2059;17743482.0;3760720.0;9570866.0;4411896.0;21.2;53.9;24.9;85.4;188911;1.75;208875;84.59;87.34;85.98;21.76;24.15;22.97;149939;128777;21162
49;2060;17744680.0;3765615.0;9565752.0;4413313.0;21.2;53.9;24.9;85.5;188920;1.75;207363;84.68;87.41;86.06;21.82;24.21;23.02;149939;128769;21170
