ID;SalesAndConsumptionOfForeignProduct;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
59;Total sales;B Mining and quarrying;2004 August;73.6;-0.6;0.3
60;Total sales;B Mining and quarrying;2004 September;74.8;1.6;3.7
61;Total sales;B Mining and quarrying;2004 October;80.6;7.8;11.5
62;Total sales;B Mining and quarrying;2004 November;82.1;1.8;12.5
63;Total sales;B Mining and quarrying;2004 December;82.4;0.4;9.0
64;Total sales;B Mining and quarrying;2004;75.6;;-2.0
65;Total sales;B Mining and quarrying;2005 January;88.3;7.2;19.3
66;Total sales;B Mining and quarrying;2005 February;88.7;0.4;19.1
67;Total sales;B Mining and quarrying;2005 March;89.4;0.8;20.7
68;Total sales;B Mining and quarrying;2005 April;93.5;4.6;28.3
69;Total sales;B Mining and quarrying;2005 May;93.0;-0.5;28.9
70;Total sales;B Mining and quarrying;2005 June;95.4;2.6;31.2
71;Total sales;B Mining and quarrying;2005 July;99.7;4.5;34.6
72;Total sales;B Mining and quarrying;2005 August;102.8;3.1;39.5
73;Total sales;B Mining and quarrying;2005 September;104.7;1.9;40.0
74;Total sales;B Mining and quarrying;2005 October;112.5;7.4;39.5
75;Total sales;B Mining and quarrying;2005 November;112.8;0.2;37.4
76;Total sales;B Mining and quarrying;2005 December;119.4;5.9;44.9
77;Total sales;B Mining and quarrying;2005;100.0;;32.2
78;Total sales;B Mining and quarrying;2006 January;124.5;4.2;41.0
79;Total sales;B Mining and quarrying;2006 February;124.4;0.0;40.4
80;Total sales;B Mining and quarrying;2006 March;125.9;1.2;40.9
81;Total sales;B Mining and quarrying;2006 April;129.8;3.1;38.9
82;Total sales;B Mining and quarrying;2006 May;135.1;4.1;45.2
83;Total sales;B Mining and quarrying;2006 June;134.8;-0.2;41.3
84;Total sales;B Mining and quarrying;2006 July;134.0;-0.6;34.4
85;Total sales;B Mining and quarrying;2006 August;134.0;0.0;30.4
86;Total sales;B Mining and quarrying;2006 September;134.9;0.7;28.9
87;Total sales;B Mining and quarrying;2006 October;134.1;-0.6;19.2
88;Total sales;B Mining and quarrying;2006 November;132.8;-1.0;17.8
89;Total sales;B Mining and quarrying;2006 December;133.3;0.4;11.6
90;Total sales;B Mining and quarrying;2006;131.5;;31.5
91;Total sales;B Mining and quarrying;2007 January;134.5;0.9;8.0
92;Total sales;B Mining and quarrying;2007 February;132.4;-1.5;6.4
93;Total sales;B Mining and quarrying;2007 March;133.2;0.6;5.8
94;Total sales;B Mining and quarrying;2007 April;132.4;-0.6;2.0
95;Total sales;B Mining and quarrying;2007 May;130.4;-1.5;-3.4
96;Total sales;B Mining and quarrying;2007 June;128.3;-1.7;-4.8
97;Total sales;B Mining and quarrying;2007 July;134.5;4.9;0.4
98;Total sales;B Mining and quarrying;2007 August;133.1;-1.0;-0.6
99;Total sales;B Mining and quarrying;2007 September;130.9;-1.6;-3.0
100;Total sales;B Mining and quarrying;2007 October;133.3;1.8;-0.6
101;Total sales;B Mining and quarrying;2007 November;133.8;0.4;0.7
102;Total sales;B Mining and quarrying;2007 December;134.9;0.8;1.2
103;Total sales;B Mining and quarrying;2007;132.6;;0.9
104;Total sales;B Mining and quarrying;2008 January;141.1;4.6;4.9
105;Total sales;B Mining and quarrying;2008 February;145.1;2.8;9.6
106;Total sales;B Mining and quarrying;2008 March;148.3;2.2;11.3
107;Total sales;B Mining and quarrying;2008 April;154.9;4.4;17.0
108;Total sales;B Mining and quarrying;2008 May;165.2;6.6;26.6
109;Total sales;B Mining and quarrying;2008 June;174.1;5.4;35.7
110;Total sales;B Mining and quarrying;2008 July;189.3;8.8;40.7
111;Total sales;B Mining and quarrying;2008 August;192.2;1.5;44.4
112;Total sales;B Mining and quarrying;2008 September;186.3;-3.1;42.3
113;Total sales;B Mining and quarrying;2008 October;190.3;2.1;42.8
114;Total sales;B Mining and quarrying;2008 November;182.8;-3.9;36.7
115;Total sales;B Mining and quarrying;2008 December;182.3;-0.3;35.1
116;Total sales;B Mining and quarrying;2008;171.0;;28.9
117;Total sales;B Mining and quarrying;2009 January;164.7;-9.7;16.7
118;Total sales;B Mining and quarrying;2009 February;160.0;-2.8;10.3
119;Total sales;B Mining and quarrying;2009 March;153.3;-4.2;3.4
120;Total sales;B Mining and quarrying;2009 April;130.3;-15.0;-15.9
121;Total sales;B Mining and quarrying;2009 May;123.7;-5.0;-25.1
122;Total sales;B Mining and quarrying;2009 June;120.5;-2.6;-30.8
123;Total sales;B Mining and quarrying;2009 July;111.4;-7.6;-41.2
124;Total sales;B Mining and quarrying;2009 August;108.9;-2.2;-43.3
125;Total sales;B Mining and quarrying;2009 September;108.6;-0.2;-41.7
126;Total sales;B Mining and quarrying;2009 October;114.3;5.2;-39.9
127;Total sales;B Mining and quarrying;2009 November;117.9;3.2;-35.5
128;Total sales;B Mining and quarrying;2009 December;117.4;-0.5;-35.6
129;Total sales;B Mining and quarrying;2009;127.6;;-25.4
130;Total sales;B Mining and quarrying;2010 January;114.8;-2.2;-30.3
131;Total sales;B Mining and quarrying;2010 February;117.4;2.3;-26.6
132;Total sales;B Mining and quarrying;2010 March;119.6;1.8;-22.0
133;Total sales;B Mining and quarrying;2010 April;122.2;2.2;-6.2
134;Total sales;B Mining and quarrying;2010 May;122.8;0.5;-0.7
135;Total sales;B Mining and quarrying;2010 June;129.7;5.5;7.6
136;Total sales;B Mining and quarrying;2010 July;140.2;8.1;25.9
137;Total sales;B Mining and quarrying;2010 August;140.6;0.3;29.1
138;Total sales;B Mining and quarrying;2010 September;137.3;-2.3;26.4
139;Total sales;B Mining and quarrying;2010 October;136.4;-0.6;19.3
140;Total sales;B Mining and quarrying;2010 November;139.5;2.3;18.3
141;Total sales;B Mining and quarrying;2010 December;135.7;-2.7;15.7
142;Total sales;B Mining and quarrying;2010;129.7;;1.6
143;Total sales;B Mining and quarrying;2011 January;143.8;5.9;25.2
144;Total sales;B Mining and quarrying;2011 February;144.3;0.4;22.9
145;Total sales;B Mining and quarrying;2011 March;145.4;0.8;21.6
146;Total sales;B Mining and quarrying;2011 April;154.6;6.3;26.5
147;Total sales;B Mining and quarrying;2011 May;153.4;-0.8;24.9
148;Total sales;B Mining and quarrying;2011 June;155.2;1.2;19.7
149;Total sales;B Mining and quarrying;2011 July;156.8;1.0;11.9
150;Total sales;B Mining and quarrying;2011 August;154.8;-1.3;10.1
151;Total sales;B Mining and quarrying;2011 September;160.8;3.9;17.1
152;Total sales;B Mining and quarrying;2011 October;171.1;6.4;25.4
153;Total sales;B Mining and quarrying;2011 November;172.1;0.6;23.4
154;Total sales;B Mining and quarrying;2011 December;171.7;-0.3;26.5
155;Total sales;B Mining and quarrying;2011;157.0;;21.1
156;Total sales;B Mining and quarrying;2012 January;165.9;-3.4;15.4
157;Total sales;B Mining and quarrying;2012 February;166.5;0.4;15.4
158;Total sales;B Mining and quarrying;2012 March;167.7;0.7;15.3
159;Total sales;B Mining and quarrying;2012 April;172.7;3.0;11.7
160;Total sales;B Mining and quarrying;2012 May;175.2;1.4;14.2
161;Total sales;B Mining and quarrying;2012 June;170.2;-2.8;9.7
162;Total sales;B Mining and quarrying;2012 July;169.3;-0.5;8.0
163;Total sales;B Mining and quarrying;2012 August;172.5;1.9;11.4
164;Total sales;B Mining and quarrying;2012 September;172.1;-0.2;7.0
165;Total sales;B Mining and quarrying;2012 October;176.2;2.4;3.0
166;Total sales;B Mining and quarrying;2012 November;182.9;3.8;6.3
167;Total sales;B Mining and quarrying;2012 December;176.2;-3.7;2.6
168;Total sales;B Mining and quarrying;2012;172.3;;9.7
169;Total sales;05 Coal and lignite;2000 January;;;
170;Total sales;05 Coal and lignite;2000 February;;;
171;Total sales;05 Coal and lignite;2000 March;;;
172;Total sales;05 Coal and lignite;2000 April;;;
173;Total sales;05 Coal and lignite;2000 May;;;
174;Total sales;05 Coal and lignite;2000 June;;;
175;Total sales;05 Coal and lignite;2000 July;;;
176;Total sales;05 Coal and lignite;2000 August;;;
177;Total sales;05 Coal and lignite;2000 September;;;
178;Total sales;05 Coal and lignite;2000 October;;;
179;Total sales;05 Coal and lignite;2000 November;;;
180;Total sales;05 Coal and lignite;2000 December;;;
181;Total sales;05 Coal and lignite;2000;;;
182;Total sales;05 Coal and lignite;2001 January;;;
183;Total sales;05 Coal and lignite;2001 February;;;
184;Total sales;05 Coal and lignite;2001 March;;;
185;Total sales;05 Coal and lignite;2001 April;;;
186;Total sales;05 Coal and lignite;2001 May;;;
187;Total sales;05 Coal and lignite;2001 June;;;
188;Total sales;05 Coal and lignite;2001 July;;;
189;Total sales;05 Coal and lignite;2001 August;;;
190;Total sales;05 Coal and lignite;2001 September;;;
191;Total sales;05 Coal and lignite;2001 October;;;
192;Total sales;05 Coal and lignite;2001 November;;;
193;Total sales;05 Coal and lignite;2001 December;;;
194;Total sales;05 Coal and lignite;2001;;;
195;Total sales;05 Coal and lignite;2002 January;;;
196;Total sales;05 Coal and lignite;2002 February;;;
197;Total sales;05 Coal and lignite;2002 March;;;
198;Total sales;05 Coal and lignite;2002 April;;;
199;Total sales;05 Coal and lignite;2002 May;;;
200;Total sales;05 Coal and lignite;2002 June;;;
201;Total sales;05 Coal and lignite;2002 July;;;
202;Total sales;05 Coal and lignite;2002 August;;;
203;Total sales;05 Coal and lignite;2002 September;;;
204;Total sales;05 Coal and lignite;2002 October;;;
205;Total sales;05 Coal and lignite;2002 November;;;
206;Total sales;05 Coal and lignite;2002 December;;;
207;Total sales;05 Coal and lignite;2002;;;
208;Total sales;05 Coal and lignite;2003 January;;;
209;Total sales;05 Coal and lignite;2003 February;;;
210;Total sales;05 Coal and lignite;2003 March;;;
211;Total sales;05 Coal and lignite;2003 April;;;
212;Total sales;05 Coal and lignite;2003 May;;;
213;Total sales;05 Coal and lignite;2003 June;;;
214;Total sales;05 Coal and lignite;2003 July;;;
215;Total sales;05 Coal and lignite;2003 August;;;
216;Total sales;05 Coal and lignite;2003 September;;;
217;Total sales;05 Coal and lignite;2003 October;;;
218;Total sales;05 Coal and lignite;2003 November;;;
219;Total sales;05 Coal and lignite;2003 December;;;
220;Total sales;05 Coal and lignite;2003;;;
221;Total sales;05 Coal and lignite;2004 January;;;
222;Total sales;05 Coal and lignite;2004 February;;;
223;Total sales;05 Coal and lignite;2004 March;;;
224;Total sales;05 Coal and lignite;2004 April;;;
225;Total sales;05 Coal and lignite;2004 May;;;
226;Total sales;05 Coal and lignite;2004 June;;;
227;Total sales;05 Coal and lignite;2004 July;;;
228;Total sales;05 Coal and lignite;2004 August;;;
229;Total sales;05 Coal and lignite;2004 September;;;
230;Total sales;05 Coal and lignite;2004 October;;;
231;Total sales;05 Coal and lignite;2004 November;;;
232;Total sales;05 Coal and lignite;2004 December;;;
233;Total sales;05 Coal and lignite;2004;;;
234;Total sales;05 Coal and lignite;2005 January;;;
235;Total sales;05 Coal and lignite;2005 February;;;
236;Total sales;05 Coal and lignite;2005 March;;;
237;Total sales;05 Coal and lignite;2005 April;;;
238;Total sales;05 Coal and lignite;2005 May;;;
239;Total sales;05 Coal and lignite;2005 June;;;
240;Total sales;05 Coal and lignite;2005 July;;;
241;Total sales;05 Coal and lignite;2005 August;;;
242;Total sales;05 Coal and lignite;2005 September;;;
243;Total sales;05 Coal and lignite;2005 October;;;
244;Total sales;05 Coal and lignite;2005 November;;;
245;Total sales;05 Coal and lignite;2005 December;;;
246;Total sales;05 Coal and lignite;2005;;;
247;Total sales;05 Coal and lignite;2006 January;;;
248;Total sales;05 Coal and lignite;2006 February;;;
249;Total sales;05 Coal and lignite;2006 March;;;
250;Total sales;05 Coal and lignite;2006 April;;;
251;Total sales;05 Coal and lignite;2006 May;;;
252;Total sales;05 Coal and lignite;2006 June;;;
253;Total sales;05 Coal and lignite;2006 July;;;
254;Total sales;05 Coal and lignite;2006 August;;;
255;Total sales;05 Coal and lignite;2006 September;;;
256;Total sales;05 Coal and lignite;2006 October;;;
257;Total sales;05 Coal and lignite;2006 November;;;
258;Total sales;05 Coal and lignite;2006 December;;;
259;Total sales;05 Coal and lignite;2006;;;
260;Total sales;05 Coal and lignite;2007 January;;;
261;Total sales;05 Coal and lignite;2007 February;;;
262;Total sales;05 Coal and lignite;2007 March;;;
263;Total sales;05 Coal and lignite;2007 April;;;
264;Total sales;05 Coal and lignite;2007 May;;;
265;Total sales;05 Coal and lignite;2007 June;;;
266;Total sales;05 Coal and lignite;2007 July;;;
267;Total sales;05 Coal and lignite;2007 August;;;
268;Total sales;05 Coal and lignite;2007 September;;;
269;Total sales;05 Coal and lignite;2007 October;;;
270;Total sales;05 Coal and lignite;2007 November;;;
271;Total sales;05 Coal and lignite;2007 December;;;
272;Total sales;05 Coal and lignite;2007;;;
273;Total sales;05 Coal and lignite;2008 January;;;
274;Total sales;05 Coal and lignite;2008 February;;;
275;Total sales;05 Coal and lignite;2008 March;;;
276;Total sales;05 Coal and lignite;2008 April;;;
277;Total sales;05 Coal and lignite;2008 May;;;
278;Total sales;05 Coal and lignite;2008 June;;;
279;Total sales;05 Coal and lignite;2008 July;;;
280;Total sales;05 Coal and lignite;2008 August;;;
281;Total sales;05 Coal and lignite;2008 September;;;
282;Total sales;05 Coal and lignite;2008 October;;;
283;Total sales;05 Coal and lignite;2008 November;;;
284;Total sales;05 Coal and lignite;2008 December;;;
285;Total sales;05 Coal and lignite;2008;;;
286;Total sales;05 Coal and lignite;2009 January;;;
287;Total sales;05 Coal and lignite;2009 February;;;
288;Total sales;05 Coal and lignite;2009 March;;;
289;Total sales;05 Coal and lignite;2009 April;;;
290;Total sales;05 Coal and lignite;2009 May;;;
291;Total sales;05 Coal and lignite;2009 June;;;
292;Total sales;05 Coal and lignite;2009 July;;;
293;Total sales;05 Coal and lignite;2009 August;;;
294;Total sales;05 Coal and lignite;2009 September;;;
295;Total sales;05 Coal and lignite;2009 October;;;
296;Total sales;05 Coal and lignite;2009 November;;;
297;Total sales;05 Coal and lignite;2009 December;;;
298;Total sales;05 Coal and lignite;2009;;;
299;Total sales;05 Coal and lignite;2010 January;;;
300;Total sales;05 Coal and lignite;2010 February;;;
301;Total sales;05 Coal and lignite;2010 March;;;
302;Total sales;05 Coal and lignite;2010 April;;;
303;Total sales;05 Coal and lignite;2010 May;;;
304;Total sales;05 Coal and lignite;2010 June;;;
305;Total sales;05 Coal and lignite;2010 July;;;
306;Total sales;05 Coal and lignite;2010 August;;;
307;Total sales;05 Coal and lignite;2010 September;;;
308;Total sales;05 Coal and lignite;2010 October;;;
309;Total sales;05 Coal and lignite;2010 November;;;
310;Total sales;05 Coal and lignite;2010 December;;;
311;Total sales;05 Coal and lignite;2010;;;
312;Total sales;05 Coal and lignite;2011 January;;;
313;Total sales;05 Coal and lignite;2011 February;;;
314;Total sales;05 Coal and lignite;2011 March;;;
315;Total sales;05 Coal and lignite;2011 April;;;
316;Total sales;05 Coal and lignite;2011 May;;;
317;Total sales;05 Coal and lignite;2011 June;;;
318;Total sales;05 Coal and lignite;2011 July;;;
319;Total sales;05 Coal and lignite;2011 August;;;
320;Total sales;05 Coal and lignite;2011 September;;;
321;Total sales;05 Coal and lignite;2011 October;;;
322;Total sales;05 Coal and lignite;2011 November;;;
323;Total sales;05 Coal and lignite;2011 December;;;
324;Total sales;05 Coal and lignite;2011;;;
325;Total sales;05 Coal and lignite;2012 January;;;
326;Total sales;05 Coal and lignite;2012 February;;;
327;Total sales;05 Coal and lignite;2012 March;;;
328;Total sales;05 Coal and lignite;2012 April;;;
329;Total sales;05 Coal and lignite;2012 May;;;
330;Total sales;05 Coal and lignite;2012 June;;;
331;Total sales;05 Coal and lignite;2012 July;;;
332;Total sales;05 Coal and lignite;2012 August;;;
333;Total sales;05 Coal and lignite;2012 September;;;
334;Total sales;05 Coal and lignite;2012 October;;;
335;Total sales;05 Coal and lignite;2012 November;;;
336;Total sales;05 Coal and lignite;2012 December;;;
337;Total sales;05 Coal and lignite;2012;;;
338;Total sales;051 Hard coal;2000 January;;;
339;Total sales;051 Hard coal;2000 February;;;
340;Total sales;051 Hard coal;2000 March;;;
341;Total sales;051 Hard coal;2000 April;;;
342;Total sales;051 Hard coal;2000 May;;;
343;Total sales;051 Hard coal;2000 June;;;
344;Total sales;051 Hard coal;2000 July;;;
345;Total sales;051 Hard coal;2000 August;;;
346;Total sales;051 Hard coal;2000 September;;;
347;Total sales;051 Hard coal;2000 October;;;
348;Total sales;051 Hard coal;2000 November;;;
349;Total sales;051 Hard coal;2000 December;;;
350;Total sales;051 Hard coal;2000;;;
351;Total sales;051 Hard coal;2001 January;;;
352;Total sales;051 Hard coal;2001 February;;;
353;Total sales;051 Hard coal;2001 March;;;
354;Total sales;051 Hard coal;2001 April;;;
355;Total sales;051 Hard coal;2001 May;;;
356;Total sales;051 Hard coal;2001 June;;;
357;Total sales;051 Hard coal;2001 July;;;
358;Total sales;051 Hard coal;2001 August;;;
359;Total sales;051 Hard coal;2001 September;;;
360;Total sales;051 Hard coal;2001 October;;;
361;Total sales;051 Hard coal;2001 November;;;
362;Total sales;051 Hard coal;2001 December;;;
363;Total sales;051 Hard coal;2001;;;
364;Total sales;051 Hard coal;2002 January;;;
365;Total sales;051 Hard coal;2002 February;;;
366;Total sales;051 Hard coal;2002 March;;;
367;Total sales;051 Hard coal;2002 April;;;
368;Total sales;051 Hard coal;2002 May;;;
369;Total sales;051 Hard coal;2002 June;;;
370;Total sales;051 Hard coal;2002 July;;;
371;Total sales;051 Hard coal;2002 August;;;
372;Total sales;051 Hard coal;2002 September;;;
373;Total sales;051 Hard coal;2002 October;;;
374;Total sales;051 Hard coal;2002 November;;;
375;Total sales;051 Hard coal;2002 December;;;
376;Total sales;051 Hard coal;2002;;;
377;Total sales;051 Hard coal;2003 January;;;
378;Total sales;051 Hard coal;2003 February;;;
379;Total sales;051 Hard coal;2003 March;;;
380;Total sales;051 Hard coal;2003 April;;;
381;Total sales;051 Hard coal;2003 May;;;
382;Total sales;051 Hard coal;2003 June;;;
383;Total sales;051 Hard coal;2003 July;;;
384;Total sales;051 Hard coal;2003 August;;;
385;Total sales;051 Hard coal;2003 September;;;
386;Total sales;051 Hard coal;2003 October;;;
387;Total sales;051 Hard coal;2003 November;;;
388;Total sales;051 Hard coal;2003 December;;;
389;Total sales;051 Hard coal;2003;;;
390;Total sales;051 Hard coal;2004 January;;;
391;Total sales;051 Hard coal;2004 February;;;
392;Total sales;051 Hard coal;2004 March;;;
393;Total sales;051 Hard coal;2004 April;;;
394;Total sales;051 Hard coal;2004 May;;;
395;Total sales;051 Hard coal;2004 June;;;
396;Total sales;051 Hard coal;2004 July;;;
397;Total sales;051 Hard coal;2004 August;;;
398;Total sales;051 Hard coal;2004 September;;;
399;Total sales;051 Hard coal;2004 October;;;
400;Total sales;051 Hard coal;2004 November;;;
401;Total sales;051 Hard coal;2004 December;;;
402;Total sales;051 Hard coal;2004;;;
403;Total sales;051 Hard coal;2005 January;;;
404;Total sales;051 Hard coal;2005 February;;;
405;Total sales;051 Hard coal;2005 March;;;
406;Total sales;051 Hard coal;2005 April;;;
407;Total sales;051 Hard coal;2005 May;;;
408;Total sales;051 Hard coal;2005 June;;;
409;Total sales;051 Hard coal;2005 July;;;
410;Total sales;051 Hard coal;2005 August;;;
411;Total sales;051 Hard coal;2005 September;;;
412;Total sales;051 Hard coal;2005 October;;;
413;Total sales;051 Hard coal;2005 November;;;
414;Total sales;051 Hard coal;2005 December;;;
415;Total sales;051 Hard coal;2005;;;
416;Total sales;051 Hard coal;2006 January;;;
417;Total sales;051 Hard coal;2006 February;;;
418;Total sales;051 Hard coal;2006 March;;;
419;Total sales;051 Hard coal;2006 April;;;
420;Total sales;051 Hard coal;2006 May;;;
421;Total sales;051 Hard coal;2006 June;;;
422;Total sales;051 Hard coal;2006 July;;;
423;Total sales;051 Hard coal;2006 August;;;
424;Total sales;051 Hard coal;2006 September;;;
425;Total sales;051 Hard coal;2006 October;;;
426;Total sales;051 Hard coal;2006 November;;;
427;Total sales;051 Hard coal;2006 December;;;
428;Total sales;051 Hard coal;2006;;;
429;Total sales;051 Hard coal;2007 January;;;
430;Total sales;051 Hard coal;2007 February;;;
431;Total sales;051 Hard coal;2007 March;;;
432;Total sales;051 Hard coal;2007 April;;;
433;Total sales;051 Hard coal;2007 May;;;
434;Total sales;051 Hard coal;2007 June;;;
435;Total sales;051 Hard coal;2007 July;;;
436;Total sales;051 Hard coal;2007 August;;;
437;Total sales;051 Hard coal;2007 September;;;
438;Total sales;051 Hard coal;2007 October;;;
439;Total sales;051 Hard coal;2007 November;;;
440;Total sales;051 Hard coal;2007 December;;;
441;Total sales;051 Hard coal;2007;;;
442;Total sales;051 Hard coal;2008 January;;;
443;Total sales;051 Hard coal;2008 February;;;
444;Total sales;051 Hard coal;2008 March;;;
445;Total sales;051 Hard coal;2008 April;;;
446;Total sales;051 Hard coal;2008 May;;;
447;Total sales;051 Hard coal;2008 June;;;
448;Total sales;051 Hard coal;2008 July;;;
449;Total sales;051 Hard coal;2008 August;;;
450;Total sales;051 Hard coal;2008 September;;;
451;Total sales;051 Hard coal;2008 October;;;
452;Total sales;051 Hard coal;2008 November;;;
453;Total sales;051 Hard coal;2008 December;;;
454;Total sales;051 Hard coal;2008;;;
455;Total sales;051 Hard coal;2009 January;;;
456;Total sales;051 Hard coal;2009 February;;;
457;Total sales;051 Hard coal;2009 March;;;
458;Total sales;051 Hard coal;2009 April;;;
459;Total sales;051 Hard coal;2009 May;;;
460;Total sales;051 Hard coal;2009 June;;;
461;Total sales;051 Hard coal;2009 July;;;
462;Total sales;051 Hard coal;2009 August;;;
463;Total sales;051 Hard coal;2009 September;;;
464;Total sales;051 Hard coal;2009 October;;;
465;Total sales;051 Hard coal;2009 November;;;
466;Total sales;051 Hard coal;2009 December;;;
467;Total sales;051 Hard coal;2009;;;
468;Total sales;051 Hard coal;2010 January;;;
469;Total sales;051 Hard coal;2010 February;;;
470;Total sales;051 Hard coal;2010 March;;;
471;Total sales;051 Hard coal;2010 April;;;
472;Total sales;051 Hard coal;2010 May;;;
473;Total sales;051 Hard coal;2010 June;;;
474;Total sales;051 Hard coal;2010 July;;;
475;Total sales;051 Hard coal;2010 August;;;
476;Total sales;051 Hard coal;2010 September;;;
477;Total sales;051 Hard coal;2010 October;;;
478;Total sales;051 Hard coal;2010 November;;;
479;Total sales;051 Hard coal;2010 December;;;
480;Total sales;051 Hard coal;2010;;;
481;Total sales;051 Hard coal;2011 January;;;
482;Total sales;051 Hard coal;2011 February;;;
483;Total sales;051 Hard coal;2011 March;;;
484;Total sales;051 Hard coal;2011 April;;;
485;Total sales;051 Hard coal;2011 May;;;
486;Total sales;051 Hard coal;2011 June;;;
487;Total sales;051 Hard coal;2011 July;;;
488;Total sales;051 Hard coal;2011 August;;;
489;Total sales;051 Hard coal;2011 September;;;
490;Total sales;051 Hard coal;2011 October;;;
491;Total sales;051 Hard coal;2011 November;;;
492;Total sales;051 Hard coal;2011 December;;;
493;Total sales;051 Hard coal;2011;;;
494;Total sales;051 Hard coal;2012 January;;;
495;Total sales;051 Hard coal;2012 February;;;
496;Total sales;051 Hard coal;2012 March;;;
497;Total sales;051 Hard coal;2012 April;;;
498;Total sales;051 Hard coal;2012 May;;;
499;Total sales;051 Hard coal;2012 June;;;
500;Total sales;051 Hard coal;2012 July;;;
501;Total sales;051 Hard coal;2012 August;;;
502;Total sales;051 Hard coal;2012 September;;;
503;Total sales;051 Hard coal;2012 October;;;
504;Total sales;051 Hard coal;2012 November;;;
505;Total sales;051 Hard coal;2012 December;;;
506;Total sales;051 Hard coal;2012;;;
