ID;SBI93;RegioS;Perioden;BanenVanWerknemersNiveau_1;BanenVanWerknemersMutatie_2
31;4;Zuid-Nederland (LD);2007 december nader voorlopig;1713.4;
32;4;Zuid-Nederland (LD);2008 december voorlopig;1729.0;15.6
33;4;Zuid-Nederland (LD);2008 december nader voorlopig;1714.7;
34;4;Zuid-Nederland (LD);2009 december voorlopig;1681.8;-32.9
35;4;Niet in te delen (LD);2006 december voorlopig;51.9;
36;4;Niet in te delen (LD);2006 december nader voorlopig;27.5;
37;4;Niet in te delen (LD);2007 december voorlopig;36.6;9.1
38;4;Niet in te delen (LD);2007 december nader voorlopig;5.4;
39;4;Niet in te delen (LD);2008 december voorlopig;33.1;27.7
40;4;Niet in te delen (LD);2008 december nader voorlopig;5.3;
41;4;Niet in te delen (LD);2009 december voorlopig;17.3;12.1
42;4;Groningen (PV);2006 december voorlopig;246.3;
43;4;Groningen (PV);2006 december nader voorlopig;244.9;
44;4;Groningen (PV);2007 december voorlopig;247.4;2.6
45;4;Groningen (PV);2007 december nader voorlopig;250.2;
46;4;Groningen (PV);2008 december voorlopig;251.7;1.5
47;4;Groningen (PV);2008 december nader voorlopig;249.9;
48;4;Groningen (PV);2009 december voorlopig;248.3;-1.6
49;4;Friesland (PV);2006 december voorlopig;248.3;
50;4;Friesland (PV);2006 december nader voorlopig;247.9;
51;4;Friesland (PV);2007 december voorlopig;252.5;4.5
52;4;Friesland (PV);2007 december nader voorlopig;257.5;
53;4;Friesland (PV);2008 december voorlopig;257.8;0.3
54;4;Friesland (PV);2008 december nader voorlopig;254.6;
55;4;Friesland (PV);2009 december voorlopig;250.3;-4.2
56;4;Drenthe (PV);2006 december voorlopig;182.3;
57;4;Drenthe (PV);2006 december nader voorlopig;186.8;
58;4;Drenthe (PV);2007 december voorlopig;192.0;5.2
59;4;Drenthe (PV);2007 december nader voorlopig;196.5;
60;4;Drenthe (PV);2008 december voorlopig;195.9;-0.6
61;4;Drenthe (PV);2008 december nader voorlopig;195.8;
62;4;Drenthe (PV);2009 december voorlopig;191.2;-4.6
63;4;Overijssel (PV);2006 december voorlopig;502.0;
64;4;Overijssel (PV);2006 december nader voorlopig;501.4;
65;4;Overijssel (PV);2007 december voorlopig;514.3;12.9
66;4;Overijssel (PV);2007 december nader voorlopig;520.7;
67;4;Overijssel (PV);2008 december voorlopig;527.0;6.3
68;4;Overijssel (PV);2008 december nader voorlopig;523.0;
69;4;Overijssel (PV);2009 december voorlopig;516.0;-7.0
70;4;Flevoland (PV);2006 december voorlopig;134.2;
71;4;Flevoland (PV);2006 december nader voorlopig;130.9;
72;4;Flevoland (PV);2007 december voorlopig;140.3;9.4
73;4;Flevoland (PV);2007 december nader voorlopig;143.5;
74;4;Flevoland (PV);2008 december voorlopig;147.8;4.3
75;4;Flevoland (PV);2008 december nader voorlopig;149.2;
76;4;Flevoland (PV);2009 december voorlopig;149.3;0.2
77;4;Gelderland (PV);2006 december voorlopig;860.3;
78;4;Gelderland (PV);2006 december nader voorlopig;869.4;
79;4;Gelderland (PV);2007 december voorlopig;899.0;29.6
80;4;Gelderland (PV);2007 december nader voorlopig;906.8;
81;4;Gelderland (PV);2008 december voorlopig;916.5;9.7
82;4;Gelderland (PV);2008 december nader voorlopig;912.1;
83;4;Gelderland (PV);2009 december voorlopig;899.2;-12.9
84;4;Utrecht (PV);2006 december voorlopig;643.0;
85;4;Utrecht (PV);2006 december nader voorlopig;644.8;
86;4;Utrecht (PV);2007 december voorlopig;659.6;14.8
87;4;Utrecht (PV);2007 december nader voorlopig;666.1;
88;4;Utrecht (PV);2008 december voorlopig;680.1;14.0
89;4;Utrecht (PV);2008 december nader voorlopig;668.4;
90;4;Utrecht (PV);2009 december voorlopig;656.7;-11.7
91;4;Noord-Holland (PV);2006 december voorlopig;1384.0;
92;4;Noord-Holland (PV);2006 december nader voorlopig;1377.5;
93;4;Noord-Holland (PV);2007 december voorlopig;1402.2;24.7
94;4;Noord-Holland (PV);2007 december nader voorlopig;1410.8;
95;4;Noord-Holland (PV);2008 december voorlopig;1418.1;7.3
96;4;Noord-Holland (PV);2008 december nader voorlopig;1399.5;
97;4;Noord-Holland (PV);2009 december voorlopig;1380.8;-18.7
98;4;Zuid-Holland (PV);2006 december voorlopig;1633.6;
99;4;Zuid-Holland (PV);2006 december nader voorlopig;1623.8;
100;4;Zuid-Holland (PV);2007 december voorlopig;1662.9;39.2
101;4;Zuid-Holland (PV);2007 december nader voorlopig;1664.0;
102;4;Zuid-Holland (PV);2008 december voorlopig;1683.0;19.1
103;4;Zuid-Holland (PV);2008 december nader voorlopig;1667.0;
104;4;Zuid-Holland (PV);2009 december voorlopig;1647.2;-19.8
105;4;Zeeland (PV);2006 december voorlopig;146.2;
106;4;Zeeland (PV);2006 december nader voorlopig;145.5;
107;4;Zeeland (PV);2007 december voorlopig;149.6;4.2
108;4;Zeeland (PV);2007 december nader voorlopig;150.8;
109;4;Zeeland (PV);2008 december voorlopig;153.6;2.8
110;4;Zeeland (PV);2008 december nader voorlopig;152.8;
111;4;Zeeland (PV);2009 december voorlopig;150.3;-2.5
112;4;Noord-Brabant (PV);2006 december voorlopig;1172.6;
113;4;Noord-Brabant (PV);2006 december nader voorlopig;1171.8;
114;4;Noord-Brabant (PV);2007 december voorlopig;1208.3;36.5
115;4;Noord-Brabant (PV);2007 december nader voorlopig;1208.8;
116;4;Noord-Brabant (PV);2008 december voorlopig;1220.7;11.8
117;4;Noord-Brabant (PV);2008 december nader voorlopig;1213.8;
118;4;Noord-Brabant (PV);2009 december voorlopig;1194.0;-19.8
119;4;Limburg (PV);2006 december voorlopig;487.8;
120;4;Limburg (PV);2006 december nader voorlopig;488.8;
121;4;Limburg (PV);2007 december voorlopig;500.5;11.7
122;4;Limburg (PV);2007 december nader voorlopig;504.6;
123;4;Limburg (PV);2008 december voorlopig;508.3;3.8
124;4;Limburg (PV);2008 december nader voorlopig;500.9;
125;4;Limburg (PV);2009 december voorlopig;487.7;-13.1
126;4;Niet in te delen (PV);2006 december voorlopig;51.9;
127;4;Niet in te delen (PV);2006 december nader voorlopig;27.5;
128;4;Niet in te delen (PV);2007 december voorlopig;36.6;9.1
129;4;Niet in te delen (PV);2007 december nader voorlopig;5.4;
130;4;Niet in te delen (PV);2008 december voorlopig;33.1;27.7
131;4;Niet in te delen (PV);2008 december nader voorlopig;5.3;
132;4;Niet in te delen (PV);2009 december voorlopig;17.3;12.1
133;4;Oost-Groningen (CR);2006 december voorlopig;48.7;
134;4;Oost-Groningen (CR);2006 december nader voorlopig;49.1;
135;4;Oost-Groningen (CR);2007 december voorlopig;48.7;-0.4
136;4;Oost-Groningen (CR);2007 december nader voorlopig;49.6;
137;4;Oost-Groningen (CR);2008 december voorlopig;48.7;-1.0
138;4;Oost-Groningen (CR);2008 december nader voorlopig;47.7;
139;4;Oost-Groningen (CR);2009 december voorlopig;46.5;-1.2
140;4;Delfzijl en omgeving (CR);2006 december voorlopig;15.8;
141;4;Delfzijl en omgeving (CR);2006 december nader voorlopig;15.6;
142;4;Delfzijl en omgeving (CR);2007 december voorlopig;15.9;0.2
143;4;Delfzijl en omgeving (CR);2007 december nader voorlopig;16.4;
144;4;Delfzijl en omgeving (CR);2008 december voorlopig;16.6;0.2
145;4;Delfzijl en omgeving (CR);2008 december nader voorlopig;16.6;
146;4;Delfzijl en omgeving (CR);2009 december voorlopig;16.3;-0.3
147;4;Overig Groningen (CR);2006 december voorlopig;181.8;
148;4;Overig Groningen (CR);2006 december nader voorlopig;180.2;
149;4;Overig Groningen (CR);2007 december voorlopig;182.8;2.7
150;4;Overig Groningen (CR);2007 december nader voorlopig;184.1;
151;4;Overig Groningen (CR);2008 december voorlopig;186.5;2.3
152;4;Overig Groningen (CR);2008 december nader voorlopig;185.7;
153;4;Overig Groningen (CR);2009 december voorlopig;185.6;-0.1
154;4;Noord-Friesland (CR);2006 december voorlopig;127.9;
155;4;Noord-Friesland (CR);2006 december nader voorlopig;129.2;
156;4;Noord-Friesland (CR);2007 december voorlopig;130.8;1.7
157;4;Noord-Friesland (CR);2007 december nader voorlopig;134.1;
158;4;Noord-Friesland (CR);2008 december voorlopig;133.5;-0.6
159;4;Noord-Friesland (CR);2008 december nader voorlopig;131.5;
160;4;Noord-Friesland (CR);2009 december voorlopig;130.1;-1.4
161;4;Zuidwest-Friesland (CR);2006 december voorlopig;37.4;
162;4;Zuidwest-Friesland (CR);2006 december nader voorlopig;37.2;
163;4;Zuidwest-Friesland (CR);2007 december voorlopig;38.5;1.3
164;4;Zuidwest-Friesland (CR);2007 december nader voorlopig;38.7;
165;4;Zuidwest-Friesland (CR);2008 december voorlopig;39.1;0.4
166;4;Zuidwest-Friesland (CR);2008 december nader voorlopig;38.0;
167;4;Zuidwest-Friesland (CR);2009 december voorlopig;36.9;-1.1
168;4;Zuidoost-Friesland (CR);2006 december voorlopig;83.0;
169;4;Zuidoost-Friesland (CR);2006 december nader voorlopig;81.5;
170;4;Zuidoost-Friesland (CR);2007 december voorlopig;83.2;1.6
171;4;Zuidoost-Friesland (CR);2007 december nader voorlopig;84.8;
172;4;Zuidoost-Friesland (CR);2008 december voorlopig;85.2;0.4
173;4;Zuidoost-Friesland (CR);2008 december nader voorlopig;85.1;
174;4;Zuidoost-Friesland (CR);2009 december voorlopig;83.4;-1.7
175;4;Noord-Drenthe (CR);2006 december voorlopig;67.1;
176;4;Noord-Drenthe (CR);2006 december nader voorlopig;69.0;
177;4;Noord-Drenthe (CR);2007 december voorlopig;70.4;1.4
178;4;Noord-Drenthe (CR);2007 december nader voorlopig;72.1;
179;4;Noord-Drenthe (CR);2008 december voorlopig;72.6;0.5
180;4;Noord-Drenthe (CR);2008 december nader voorlopig;73.0;
181;4;Noord-Drenthe (CR);2009 december voorlopig;72.2;-0.9
182;4;Zuidoost-Drenthe (CR);2006 december voorlopig;61.3;
183;4;Zuidoost-Drenthe (CR);2006 december nader voorlopig;62.1;
184;4;Zuidoost-Drenthe (CR);2007 december voorlopig;64.6;2.5
185;4;Zuidoost-Drenthe (CR);2007 december nader voorlopig;66.4;
186;4;Zuidoost-Drenthe (CR);2008 december voorlopig;65.0;-1.5
187;4;Zuidoost-Drenthe (CR);2008 december nader voorlopig;63.8;
188;4;Zuidoost-Drenthe (CR);2009 december voorlopig;60.8;-3.0
189;4;Zuidwest-Drenthe (CR);2006 december voorlopig;53.9;
190;4;Zuidwest-Drenthe (CR);2006 december nader voorlopig;55.7;
191;4;Zuidwest-Drenthe (CR);2007 december voorlopig;57.0;1.3
192;4;Zuidwest-Drenthe (CR);2007 december nader voorlopig;58.0;
193;4;Zuidwest-Drenthe (CR);2008 december voorlopig;58.3;0.4
194;4;Zuidwest-Drenthe (CR);2008 december nader voorlopig;59.0;
195;4;Zuidwest-Drenthe (CR);2009 december voorlopig;58.3;-0.7
196;4;Noord-Overijssel (CR);2006 december voorlopig;170.1;
197;4;Noord-Overijssel (CR);2006 december nader voorlopig;168.1;
198;4;Noord-Overijssel (CR);2007 december voorlopig;170.6;2.5
199;4;Noord-Overijssel (CR);2007 december nader voorlopig;173.0;
200;4;Noord-Overijssel (CR);2008 december voorlopig;174.5;1.5
201;4;Noord-Overijssel (CR);2008 december nader voorlopig;174.7;
202;4;Noord-Overijssel (CR);2009 december voorlopig;172.2;-2.5
203;4;Zuidwest-Overijssel (CR);2006 december voorlopig;64.6;
204;4;Zuidwest-Overijssel (CR);2006 december nader voorlopig;64.4;
205;4;Zuidwest-Overijssel (CR);2007 december voorlopig;64.6;0.2
206;4;Zuidwest-Overijssel (CR);2007 december nader voorlopig;65.5;
207;4;Zuidwest-Overijssel (CR);2008 december voorlopig;68.4;2.9
208;4;Zuidwest-Overijssel (CR);2008 december nader voorlopig;67.9;
209;4;Zuidwest-Overijssel (CR);2009 december voorlopig;66.6;-1.3
210;4;Twente (CR);2006 december voorlopig;267.3;
211;4;Twente (CR);2006 december nader voorlopig;269.0;
212;4;Twente (CR);2007 december voorlopig;279.1;10.1
213;4;Twente (CR);2007 december nader voorlopig;282.2;
214;4;Twente (CR);2008 december voorlopig;284.1;1.9
215;4;Twente (CR);2008 december nader voorlopig;280.4;
216;4;Twente (CR);2009 december voorlopig;277.2;-3.2
217;4;Veluwe (CR);2006 december voorlopig;290.3;
218;4;Veluwe (CR);2006 december nader voorlopig;298.8;
219;4;Veluwe (CR);2007 december voorlopig;308.4;9.6
220;4;Veluwe (CR);2007 december nader voorlopig;311.5;
221;4;Veluwe (CR);2008 december voorlopig;313.7;2.2
222;4;Veluwe (CR);2008 december nader voorlopig;312.4;
223;4;Veluwe (CR);2009 december voorlopig;310.3;-2.1
224;4;Achterhoek (CR);2006 december voorlopig;163.1;
225;4;Achterhoek (CR);2006 december nader voorlopig;158.5;
226;4;Achterhoek (CR);2007 december voorlopig;164.1;5.6
227;4;Achterhoek (CR);2007 december nader voorlopig;166.0;
228;4;Achterhoek (CR);2008 december voorlopig;166.5;0.4
229;4;Achterhoek (CR);2008 december nader voorlopig;164.3;
230;4;Achterhoek (CR);2009 december voorlopig;161.2;-3.1
231;4;Arnhem/Nijmegen (CR);2006 december voorlopig;315.1;
232;4;Arnhem/Nijmegen (CR);2006 december nader voorlopig;320.1;
233;4;Arnhem/Nijmegen (CR);2007 december voorlopig;329.2;9.2
234;4;Arnhem/Nijmegen (CR);2007 december nader voorlopig;330.9;
235;4;Arnhem/Nijmegen (CR);2008 december voorlopig;335.4;4.6
236;4;Arnhem/Nijmegen (CR);2008 december nader voorlopig;335.0;
237;4;Arnhem/Nijmegen (CR);2009 december voorlopig;327.9;-7.1
238;4;Zuidwest-Gelderland (CR);2006 december voorlopig;91.8;
239;4;Zuidwest-Gelderland (CR);2006 december nader voorlopig;92.1;
240;4;Zuidwest-Gelderland (CR);2007 december voorlopig;97.3;5.2
241;4;Zuidwest-Gelderland (CR);2007 december nader voorlopig;98.3;
242;4;Zuidwest-Gelderland (CR);2008 december voorlopig;100.9;2.6
243;4;Zuidwest-Gelderland (CR);2008 december nader voorlopig;100.4;
244;4;Zuidwest-Gelderland (CR);2009 december voorlopig;99.8;-0.6
245;4;Utrecht (CR);2006 december voorlopig;643.0;
246;4;Utrecht (CR);2006 december nader voorlopig;644.8;
247;4;Utrecht (CR);2007 december voorlopig;659.6;14.8
248;4;Utrecht (CR);2007 december nader voorlopig;666.1;
249;4;Utrecht (CR);2008 december voorlopig;680.1;14.0
250;4;Utrecht (CR);2008 december nader voorlopig;668.4;
251;4;Utrecht (CR);2009 december voorlopig;656.7;-11.7
252;4;Kop van Noord-Holland (CR);2006 december voorlopig;132.6;
253;4;Kop van Noord-Holland (CR);2006 december nader voorlopig;138.4;
254;4;Kop van Noord-Holland (CR);2007 december voorlopig;141.4;3.0
255;4;Kop van Noord-Holland (CR);2007 december nader voorlopig;144.0;
256;4;Kop van Noord-Holland (CR);2008 december voorlopig;143.0;-1.0
257;4;Kop van Noord-Holland (CR);2008 december nader voorlopig;142.6;
258;4;Kop van Noord-Holland (CR);2009 december voorlopig;143.6;1.0
259;4;Alkmaar en omgeving (CR);2006 december voorlopig;97.7;
260;4;Alkmaar en omgeving (CR);2006 december nader voorlopig;96.9;
261;4;Alkmaar en omgeving (CR);2007 december voorlopig;98.7;1.8
262;4;Alkmaar en omgeving (CR);2007 december nader voorlopig;99.8;
263;4;Alkmaar en omgeving (CR);2008 december voorlopig;99.9;0.1
264;4;Alkmaar en omgeving (CR);2008 december nader voorlopig;97.4;
265;4;Alkmaar en omgeving (CR);2009 december voorlopig;96.5;-0.9
266;4;IJmond (CR);2006 december voorlopig;69.8;
267;4;IJmond (CR);2006 december nader voorlopig;69.8;
268;4;IJmond (CR);2007 december voorlopig;70.5;0.7
269;4;IJmond (CR);2007 december nader voorlopig;72.9;
270;4;IJmond (CR);2008 december voorlopig;74.4;1.5
271;4;IJmond (CR);2008 december nader voorlopig;74.2;
272;4;IJmond (CR);2009 december voorlopig;72.8;-1.4
273;4;Agglomeratie Haarlem (CR);2006 december voorlopig;89.0;
274;4;Agglomeratie Haarlem (CR);2006 december nader voorlopig;88.7;
275;4;Agglomeratie Haarlem (CR);2007 december voorlopig;89.2;0.6
276;4;Agglomeratie Haarlem (CR);2007 december nader voorlopig;89.7;
277;4;Agglomeratie Haarlem (CR);2008 december voorlopig;90.8;1.2
278;4;Agglomeratie Haarlem (CR);2008 december nader voorlopig;87.4;
279;4;Agglomeratie Haarlem (CR);2009 december voorlopig;85.9;-1.5
280;4;Zaanstreek (CR);2006 december voorlopig;59.5;
281;4;Zaanstreek (CR);2006 december nader voorlopig;59.7;
282;4;Zaanstreek (CR);2007 december voorlopig;60.3;0.6
283;4;Zaanstreek (CR);2007 december nader voorlopig;60.7;
284;4;Zaanstreek (CR);2008 december voorlopig;57.9;-2.9
285;4;Zaanstreek (CR);2008 december nader voorlopig;55.5;
286;4;Zaanstreek (CR);2009 december voorlopig;53.8;-1.7
287;4;Groot-Amsterdam (CR);2006 december voorlopig;823.7;
288;4;Groot-Amsterdam (CR);2006 december nader voorlopig;810.3;
289;4;Groot-Amsterdam (CR);2007 december voorlopig;827.9;17.6
290;4;Groot-Amsterdam (CR);2007 december nader voorlopig;829.0;
291;4;Groot-Amsterdam (CR);2008 december voorlopig;839.2;10.2
292;4;Groot-Amsterdam (CR);2008 december nader voorlopig;831.0;
293;4;Groot-Amsterdam (CR);2009 december voorlopig;822.2;-8.8
294;4;Het Gooi en Vechtstreek (CR);2006 december voorlopig;111.8;
295;4;Het Gooi en Vechtstreek (CR);2006 december nader voorlopig;113.7;
296;4;Het Gooi en Vechtstreek (CR);2007 december voorlopig;114.2;0.5
297;4;Het Gooi en Vechtstreek (CR);2007 december nader voorlopig;114.7;
298;4;Het Gooi en Vechtstreek (CR);2008 december voorlopig;112.9;-1.8
299;4;Het Gooi en Vechtstreek (CR);2008 december nader voorlopig;111.3;
300;4;Het Gooi en Vechtstreek (CR);2009 december voorlopig;105.8;-5.4
301;4;Agglomeratie Leiden en Bollenstreek (CR);2006 december voorlopig;169.6;
302;4;Agglomeratie Leiden en Bollenstreek (CR);2006 december nader voorlopig;169.6;
303;4;Agglomeratie Leiden en Bollenstreek (CR);2007 december voorlopig;173.1;3.5
304;4;Agglomeratie Leiden en Bollenstreek (CR);2007 december nader voorlopig;173.5;
305;4;Agglomeratie Leiden en Bollenstreek (CR);2008 december voorlopig;175.3;1.8
306;4;Agglomeratie Leiden en Bollenstreek (CR);2008 december nader voorlopig;173.7;
307;4;Agglomeratie Leiden en Bollenstreek (CR);2009 december voorlopig;173.3;-2.5
308;4;Agglomeratie 's-Gravenhage (CR);2006 december voorlopig;398.1;
309;4;Agglomeratie 's-Gravenhage (CR);2006 december nader voorlopig;391.6;
310;4;Agglomeratie 's-Gravenhage (CR);2007 december voorlopig;398.6;7.0
311;4;Agglomeratie 's-Gravenhage (CR);2007 december nader voorlopig;401.2;
312;4;Agglomeratie 's-Gravenhage (CR);2008 december voorlopig;403.7;2.5
313;4;Agglomeratie 's-Gravenhage (CR);2008 december nader voorlopig;399.2;
314;4;Agglomeratie 's-Gravenhage (CR);2009 december voorlopig;397.9;-1.3
315;4;Delft en Westland (CR);2006 december voorlopig;113.9;
316;4;Delft en Westland (CR);2006 december nader voorlopig;113.3;
317;4;Delft en Westland (CR);2007 december voorlopig;116.4;3.1
318;4;Delft en Westland (CR);2007 december nader voorlopig;115.2;
319;4;Delft en Westland (CR);2008 december voorlopig;117.6;2.5
320;4;Delft en Westland (CR);2008 december nader voorlopig;117.8;
321;4;Delft en Westland (CR);2009 december voorlopig;115.3;-2.6
322;4;Oost-Zuid-Holland (CR);2006 december voorlopig;134.7;
323;4;Oost-Zuid-Holland (CR);2006 december nader voorlopig;133.4;
324;4;Oost-Zuid-Holland (CR);2007 december voorlopig;136.5;3.1
325;4;Oost-Zuid-Holland (CR);2007 december nader voorlopig;135.5;
326;4;Oost-Zuid-Holland (CR);2008 december voorlopig;136.2;0.6
327;4;Oost-Zuid-Holland (CR);2008 december nader voorlopig;135.9;
328;4;Oost-Zuid-Holland (CR);2009 december voorlopig;131.1;-2.7
329;4;Groot-Rijnmond (CR);2006 december voorlopig;640.9;
330;4;Groot-Rijnmond (CR);2006 december nader voorlopig;639.3;
331;4;Groot-Rijnmond (CR);2007 december voorlopig;661.1;19.4
332;4;Groot-Rijnmond (CR);2007 december nader voorlopig;661.0;
333;4;Groot-Rijnmond (CR);2008 december voorlopig;670.1;9.0
334;4;Groot-Rijnmond (CR);2008 december nader voorlopig;661.9;
335;4;Groot-Rijnmond (CR);2009 december voorlopig;654.9;-7.1
336;4;Zuidoost-Zuid-Holland (CR);2006 december voorlopig;176.4;
337;4;Zuidoost-Zuid-Holland (CR);2006 december nader voorlopig;176.6;
338;4;Zuidoost-Zuid-Holland (CR);2007 december voorlopig;177.3;3.2
339;4;Zuidoost-Zuid-Holland (CR);2007 december nader voorlopig;177.5;
340;4;Zuidoost-Zuid-Holland (CR);2008 december voorlopig;180.1;2.6
341;4;Zuidoost-Zuid-Holland (CR);2008 december nader voorlopig;178.3;
342;4;Zuidoost-Zuid-Holland (CR);2009 december voorlopig;174.7;-3.6
343;4;Zeeuwsch-Vlaanderen (CR);2006 december voorlopig;42.0;
344;4;Zeeuwsch-Vlaanderen (CR);2006 december nader voorlopig;41.6;
345;4;Zeeuwsch-Vlaanderen (CR);2007 december voorlopig;42.0;0.5
346;4;Zeeuwsch-Vlaanderen (CR);2007 december nader voorlopig;42.0;
347;4;Zeeuwsch-Vlaanderen (CR);2008 december voorlopig;42.7;0.7
348;4;Zeeuwsch-Vlaanderen (CR);2008 december nader voorlopig;42.7;
349;4;Zeeuwsch-Vlaanderen (CR);2009 december voorlopig;41.7;-1.0
350;4;Overig Zeeland (CR);2006 december voorlopig;104.2;
351;4;Overig Zeeland (CR);2006 december nader voorlopig;103.9;
352;4;Overig Zeeland (CR);2007 december voorlopig;107.6;3.7
353;4;Overig Zeeland (CR);2007 december nader voorlopig;108.8;
354;4;Overig Zeeland (CR);2008 december voorlopig;110.9;2.1
355;4;Overig Zeeland (CR);2008 december nader voorlopig;110.0;
356;4;Overig Zeeland (CR);2009 december voorlopig;108.6;-1.4
357;4;West-Noord-Brabant (CR);2006 december voorlopig;283.4;
358;4;West-Noord-Brabant (CR);2006 december nader voorlopig;286.7;
359;4;West-Noord-Brabant (CR);2007 december voorlopig;293.6;6.9
360;4;West-Noord-Brabant (CR);2007 december nader voorlopig;295.7;
361;4;West-Noord-Brabant (CR);2008 december voorlopig;297.9;2.1
362;4;West-Noord-Brabant (CR);2008 december nader voorlopig;297.2;
363;4;West-Noord-Brabant (CR);2009 december voorlopig;291.0;-6.2
364;4;Midden-Noord-Brabant (CR);2006 december voorlopig;213.8;
365;4;Midden-Noord-Brabant (CR);2006 december nader voorlopig;211.7;
366;4;Midden-Noord-Brabant (CR);2007 december voorlopig;220.8;9.1
367;4;Midden-Noord-Brabant (CR);2007 december nader voorlopig;218.1;
368;4;Midden-Noord-Brabant (CR);2008 december voorlopig;221.5;3.3
369;4;Midden-Noord-Brabant (CR);2008 december nader voorlopig;218.9;
370;4;Midden-Noord-Brabant (CR);2009 december voorlopig;218.5;-0.4
371;4;Noordoost-Noord-Brabant (CR);2006 december voorlopig;308.4;
372;4;Noordoost-Noord-Brabant (CR);2006 december nader voorlopig;306.0;
373;4;Noordoost-Noord-Brabant (CR);2007 december voorlopig;314.7;8.8
374;4;Noordoost-Noord-Brabant (CR);2007 december nader voorlopig;317.6;
375;4;Noordoost-Noord-Brabant (CR);2008 december voorlopig;318.0;0.5
376;4;Noordoost-Noord-Brabant (CR);2008 december nader voorlopig;316.2;
377;4;Noordoost-Noord-Brabant (CR);2009 december voorlopig;313.5;-2.8
378;4;Zuidoost-Noord-Brabant (CR);2006 december voorlopig;367.0;
379;4;Zuidoost-Noord-Brabant (CR);2006 december nader voorlopig;367.4;
380;4;Zuidoost-Noord-Brabant (CR);2007 december voorlopig;379.1;11.8
381;4;Zuidoost-Noord-Brabant (CR);2007 december nader voorlopig;377.4;
382;4;Zuidoost-Noord-Brabant (CR);2008 december voorlopig;383.3;5.9
383;4;Zuidoost-Noord-Brabant (CR);2008 december nader voorlopig;381.5;
384;4;Zuidoost-Noord-Brabant (CR);2009 december voorlopig;371.0;-10.4
385;4;Noord-Limburg (CR);2006 december voorlopig;130.2;
386;4;Noord-Limburg (CR);2006 december nader voorlopig;130.6;
387;4;Noord-Limburg (CR);2007 december voorlopig;136.3;5.7
388;4;Noord-Limburg (CR);2007 december nader voorlopig;138.8;
389;4;Noord-Limburg (CR);2008 december voorlopig;140.2;1.4
390;4;Noord-Limburg (CR);2008 december nader voorlopig;136.8;
391;4;Noord-Limburg (CR);2009 december voorlopig;131.6;-5.2
392;4;Midden-Limburg (CR);2006 december voorlopig;97.6;
393;4;Midden-Limburg (CR);2006 december nader voorlopig;99.1;
394;4;Midden-Limburg (CR);2007 december voorlopig;101.2;2.1
395;4;Midden-Limburg (CR);2007 december nader voorlopig;99.9;
396;4;Midden-Limburg (CR);2008 december voorlopig;101.0;1.1
397;4;Midden-Limburg (CR);2008 december nader voorlopig;101.0;
398;4;Midden-Limburg (CR);2009 december voorlopig;99.6;-1.3
399;4;Zuid-Limburg (CR);2006 december voorlopig;260.0;
400;4;Zuid-Limburg (CR);2006 december nader voorlopig;259.1;
401;4;Zuid-Limburg (CR);2007 december voorlopig;263.0;3.9
402;4;Zuid-Limburg (CR);2007 december nader voorlopig;265.9;
403;4;Zuid-Limburg (CR);2008 december voorlopig;267.1;1.3
404;4;Zuid-Limburg (CR);2008 december nader voorlopig;263.1;
