ID;Perioden;TotaalNominaleWaardeObligaties_1;Overheid_2;FinancieleInstellingen_3;NietFinancieleInstellingen_4
108;2009 december;762.6;263.0;474.9;24.7
109;2010 januari;756.1;263.1;468.2;24.7
110;2010 februari;771.2;271.0;474.0;26.2
111;2010 maart;772.1;267.6;478.3;26.2
112;2010 april;771.4;268.7;476.6;26.1
113;2010 mei;775.4;277.2;472.2;26.1
114;2010 juni;775.9;277.3;472.3;26.3
115;2010 juli;773.2;275.2;472.0;25.9
116;2010 augustus;777.8;276.6;475.3;25.9
117;2010 september;789.7;279.9;482.9;26.9
118;2010 oktober;792.4;278.4;487.1;26.9
119;2010 november;820.8;284.4;509.6;26.9
120;2010 december;803.9;286.7;490.5;26.7
121;2011 januari;800.4;282.6;491.1;26.7
122;2011 februari;821.8;290.0;504.1;27.7
123;2011 maart;809.8;291.4;490.7;27.7
124;2011 april;823.4;293.8;501.5;28.2
125;2011 mei;835.4;298.8;509.1;27.4
126;2011 juni;837.0;304.9;505.5;26.6
127;2011 juli;839.3;297.6;515.1;26.6
128;2011 augustus;840.1;301.7;511.8;26.6
129;2011 september;832.0;304.4;500.5;27.1
130;2011 oktober;852.8;297.5;528.6;27.6
131;2011 november;850.2;304.6;517.9;27.6
132;2011 december;845.4;299.3;518.5;27.6
133;2012 januari;828.9;283.1;517.8;27.9
134;2012 februari;839.9;294.1;517.9;27.9
135;2012 maart;847.7;297.7;521.4;28.6
136;2012 april;845.5;302.6;514.3;28.6
137;2012 mei;850.4;310.4;513.4;26.6
138;2012 juni;865.8;308.0;531.2;26.6
139;2012 juli;867.1;306.8;533.2;27.1
140;2012 augustus;869.3;307.9;533.5;27.9
141;2012 september;875.2;310.7;536.6;27.9
142;2012 oktober;880.4;314.5;537.6;28.2
143;2012 november;880.1;317.1;536.2;26.7
144;2012 december;876.3;313.6;536.0;26.7
145;2013 januari;857.3;309.0;521.6;26.7
146;2013 februari;857.8;313.8;517.3;26.7
147;2013 maart;858.6;323.6;508.0;27.0
148;2013 april;856.6;326.4;503.2;27.0
149;2013 mei;863.2;329.4;507.9;25.9
150;2013 juni;870.4;336.6;507.9;25.9
151;2013 juli;859.6;327.2;506.8;25.6
152;2013 augustus;862.1;329.5;506.3;26.3
153;2013 september;862.3;333.3;503.5;25.5
154;2013 oktober;851.9;336.1;491.7;24.1
155;2013 november;854.8;340.9;488.9;24.9
156;2013 december;846.1;341.3;479.9;25.0
157;2014 januari;830.4;331.5;475.4;23.5
158;2014 februari;833.1;333.7;476.7;22.7
159;2014 maart;838.4;340.7;475.0;22.7
160;2014 april;849.9;343.7;483.5;22.7
161;2014 mei;849.5;346.3;481.2;22.1
162;2014 juni;852.7;346.9;483.9;21.9
163;2014 juli;839.1;337.3;480.0;21.9
164;2014 augustus;838.8;336.9;480.0;21.9
165;2014 september;839.9;343.9;474.1;21.9
166;2014 oktober;841.3;345.5;473.8;21.9
167;2014 november;841.0;348.5;472.0;20.5
168;2014 december;835.9;348.4;467.1;20.5
169;2015 januari;826.3;336.2;469.6;20.5
170;2015 februari;822.7;339.4;462.5;20.7
171;2015 maart;828.7;348.0;459.9;20.7
172;2015 april;817.9;338.4;458.4;21.2
173;2015 mei;818.5;340.1;457.2;21.2
174;2015 juni;819.6;343.6;454.0;22.1
175;2015 juli;810.1;333.9;454.1;22.1
176;2015 augustus;804.3;333.7;448.5;22.1
177;2015 september;805.5;340.0;443.6;21.9
178;2015 oktober;800.9;342.0;436.5;22.5
179;2015 november;803.4;344.8;436.6;22.0
180;2015 december;797.6;341.8;433.9;21.9
181;2016 januari;791.7;339.8;430.6;21.3
182;2016 februari;783.7;337.5;425.0;21.3
183;2016 maart;784.8;341.8;421.7;21.3
184;2016 april;768.0;330.5;415.7;21.8
185;2016 mei;768.3;335.3;410.6;22.4
186;2016 juni;785.0;340.0;423.3;21.7
187;2016 juli;773.9;328.8;423.2;21.9
188;2016 augustus;769.8;329.0;418.8;21.9
