ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalZuiveringsinstallaties_1;MechanischeZuiveringsinstallaties_2;FysischChemischeZuiveringsinstallaties_3;TotaalBiologischeInstallaties_4;BiologischAerobeInstallaties_5;BiologischAnaerobeInstallaties_6;CombinatieAnaeroobAerobeInst_7;Capaciteit_8;CorresponderendAantalInstallaties_9;TotaalHoeveelheidSlibAfgevoerd_10;LandbouwBodem_11;DiervoedersDestructiebedrijven_12;Composteren_13;Storten_14;Verbranden_15;Vergisten_16;InzetAlsBrandstof_17;OverigeBestemmingen_18;TotaalDrogeStofAfgevoerd_19;LandbouwBodem_20;DiervoedersDestructiebedrijven_21;Composteren_22;Storten_23;Verbranden_24;Vergisten_25;InzetAlsBrandstof_26;OverigeBestemmingen_27
91;332910;2010;10;0;10.0;0;0;0;0;11;1;683;0;0;0;440;243;;;0;399;0;0;0;302;97;;;0
92;332910;2011;10;0;10.0;0;0;0;0;11;1;407;0;0;0;363;30;;;14;273;0;0;0;255;12;;;6
93;332910;2012;8;0;8.0;0;0;0;0;11;1;435;0;0;0;421;0;;;14;286;0;0;0;281;0;;;6
94;332910;2013;8;0;8.0;0;0;0;0;11;1;440;0;0;0;405;3;0.0;0.0;32;304;0;0;0;289;3;0.0;0.0;13
95;332910;2014;7;0;7.0;0;0;0;0;11;2;464;0;0;0;437;5;0.0;0.0;22;315;0;0;0;302;5;0.0;0.0;9
96;332910;2015;6;0;6.0;0;0;0;0;11;2;471;0;0;0;442;5;0.0;0.0;24;320;0;0;0;305;5;0.0;0.0;10
97;332910;2016;6;0;6.0;0;0;0;0;11;2;761;0;0;0;735;4;0.0;0.0;22;418;0;0;0;405;4;0.0;0.0;9
98;332905;2010;18;1;17.0;0;0;0;0;11;1;1686;0;0;0;1338;243;;;105;879;0;0;0;747;97;;;35
99;332905;2011;18;1;17.0;0;0;0;0;11;1;1281;0;0;0;1104;30;;;146;682;0;0;0;620;12;;;50
100;332905;2012;16;1;15.0;0;0;0;0;11;1;1509;0;0;0;1343;0;;;166;793;0;0;0;736;0;;;57
101;332905;2013;16;1;15.0;0;0;0;0;11;1;1505;0;0;0;1344;3;0.0;0.0;158;806;0;0;0;752;3;0.0;0.0;52
102;332905;2014;15;1;14.0;0;0;0;0;11;2;1473;0;0;0;1431;5;0.0;0.0;37;815;0;0;0;794;5;0.0;0.0;16
103;332905;2015;14;1;13.0;0;0;0;0;11;2;1325;0;0;0;1287;5;0.0;0.0;33;749;0;0;0;726;5;0.0;0.0;18
104;332905;2016;12;1;10.0;1;1;0;0;11;2;1784;0;0;0;1745;4;0.0;0.0;35;902;0;0;0;877;4;0.0;0.0;22
105;339205;2010;12;1;10.0;1;1;0;0;11;1;3446;0;0;0;75;3160;;;211;1905;0;0;0;32;1771;;;102
106;339205;2011;12;1;10.0;1;1;0;0;11;1;3882;0;0;0;195;3547;;;140;2169;0;0;0;75;2028;;;66
107;339205;2012;12;1;10.0;1;1;0;0;11;1;3812;0;0;0;178;3432;;;202;2200;0;0;0;69;2057;;;74
108;339205;2013;12;1;10.0;1;1;0;0;11;1;3592;0;0;0;3008;425;0.0;0.0;158;1968;0;0;0;1791;129;0.0;0.0;48
109;339205;2014;10;1;8.0;1;1;0;0;11;1;3315;0;0;0;2619;519;0.0;0.0;176;1837;0;0;0;1551;209;0.0;0.0;77
