ID;BedrijfstakkenBranchesSBI2008;Perioden;Geschillen_1;VerlorenArbeidsdagen_2;BetrokkenWerknemers_3
32;A Landbouw, bosbouw en visserij;2006;0.0;0.0;0.0
33;A Landbouw, bosbouw en visserij;2007;0.0;0.0;0.0
34;A Landbouw, bosbouw en visserij;2008;0.0;0.0;0.0
35;A Landbouw, bosbouw en visserij;2009;;;
36;A Landbouw, bosbouw en visserij;2010;0.0;0.0;0.0
37;A Landbouw, bosbouw en visserij;2011;0.0;0.0;0.0
38;A Landbouw, bosbouw en visserij;2012;0.0;0.0;0.0
39;A Landbouw, bosbouw en visserij;2013;0.0;0.0;0.0
40;A Landbouw, bosbouw en visserij;2014;0.0;0.0;0.0
41;A Landbouw, bosbouw en visserij;2015;0.0;0.0;0.0
42;A Landbouw, bosbouw en visserij;2016;0.0;0.0;0.0
43;A Landbouw, bosbouw en visserij;2017;0.0;0.0;0.0
44;A Landbouw, bosbouw en visserij;2018;0.0;0.0;0.0
45;A Landbouw, bosbouw en visserij;2019;0.0;0.0;0.0
46;A Landbouw, bosbouw en visserij;2020;0.0;0.0;0.0
47;A Landbouw, bosbouw en visserij;2021;0.0;0.0;0.0
48;A Landbouw, bosbouw en visserij;2022;0.0;0.0;0.0
49;A Landbouw, bosbouw en visserij;2023;0.0;0.0;0.0
50;B Delfstoffenwinning;1999;0.0;0.0;0.0
51;B Delfstoffenwinning;2000;0.0;0.0;0.0
52;B Delfstoffenwinning;2001;0.0;0.0;0.0
53;B Delfstoffenwinning;2002;0.0;0.0;0.0
54;B Delfstoffenwinning;2003;0.0;0.0;0.0
55;B Delfstoffenwinning;2004;0.0;0.0;0.0
56;B Delfstoffenwinning;2005;0.0;0.0;0.0
57;B Delfstoffenwinning;2006;0.0;0.0;0.0
58;B Delfstoffenwinning;2007;0.0;0.0;0.0
59;B Delfstoffenwinning;2008;0.0;0.0;0.0
60;B Delfstoffenwinning;2009;0.0;0.0;0.0
61;B Delfstoffenwinning;2010;0.0;0.0;0.0
62;B Delfstoffenwinning;2011;0.0;0.0;0.0
63;B Delfstoffenwinning;2012;0.0;0.0;0.0
64;B Delfstoffenwinning;2013;0.0;0.0;0.0
65;B Delfstoffenwinning;2014;0.0;0.0;0.0
66;B Delfstoffenwinning;2015;0.0;0.0;0.0
67;B Delfstoffenwinning;2016;0.0;0.0;0.0
68;B Delfstoffenwinning;2017;0.0;0.0;0.0
69;B Delfstoffenwinning;2018;0.0;0.0;0.0
70;B Delfstoffenwinning;2019;0.0;0.0;0.0
71;B Delfstoffenwinning;2020;0.0;0.0;0.0
72;B Delfstoffenwinning;2021;0.0;0.0;0.0
73;B Delfstoffenwinning;2022;0.0;0.0;0.0
74;B Delfstoffenwinning;2023;0.0;0.0;0.0
75;B-E Nijverheid (geen bouw) en energie;1999;7.0;4.2;1.9
76;B-E Nijverheid (geen bouw) en energie;2000;7.0;3.4;1.1
77;B-E Nijverheid (geen bouw) en energie;2001;;;
78;B-E Nijverheid (geen bouw) en energie;2002;4.0;3.0;2.5
79;B-E Nijverheid (geen bouw) en energie;2003;4.0;1.7;0.6
80;B-E Nijverheid (geen bouw) en energie;2004;6.0;11.1;8.2
81;B-E Nijverheid (geen bouw) en energie;2005;10.0;18.2;9.3
82;B-E Nijverheid (geen bouw) en energie;2006;12.0;6.3;2.1
83;B-E Nijverheid (geen bouw) en energie;2007;4.0;4.1;2.8
84;B-E Nijverheid (geen bouw) en energie;2008;;;
85;B-E Nijverheid (geen bouw) en energie;2009;;;
86;B-E Nijverheid (geen bouw) en energie;2010;7.0;1.0;0.5
87;B-E Nijverheid (geen bouw) en energie;2011;6.0;6.1;21.1
88;B-E Nijverheid (geen bouw) en energie;2012;7.0;18.9;11.8
89;B-E Nijverheid (geen bouw) en energie;2013;9.0;11.3;2.1
90;B-E Nijverheid (geen bouw) en energie;2014;;;
91;B-E Nijverheid (geen bouw) en energie;2015;9.0;40.2;20.9
92;B-E Nijverheid (geen bouw) en energie;2016;9.0;9.3;5.0
93;B-E Nijverheid (geen bouw) en energie;2017;13.0;9.8;1.5
94;B-E Nijverheid (geen bouw) en energie;2018;;;
95;B-E Nijverheid (geen bouw) en energie;2019;12.0;24.8;4.2
96;B-E Nijverheid (geen bouw) en energie;2020;;;
97;B-E Nijverheid (geen bouw) en energie;2021;9.0;48.1;8.7
98;B-E Nijverheid (geen bouw) en energie;2022;12.0;8.6;1.5
99;B-E Nijverheid (geen bouw) en energie;2023;28.0;38.4;4.6
100;B-F Nijverheid en energie;1999;9.0;21.9;4.6
101;B-F Nijverheid en energie;2000;7.0;3.4;1.1
102;B-F Nijverheid en energie;2001;5.0;8.6;9.1
103;B-F Nijverheid en energie;2002;5.0;227.2;22.7
104;B-F Nijverheid en energie;2003;4.0;1.7;0.6
105;B-F Nijverheid en energie;2004;6.0;11.1;8.2
106;B-F Nijverheid en energie;2005;11.0;18.3;9.4
107;B-F Nijverheid en energie;2006;12.0;6.3;2.1
108;B-F Nijverheid en energie;2007;4.0;4.1;2.8
109;B-F Nijverheid en energie;2008;9.0;9.6;6.2
110;B-F Nijverheid en energie;2009;;;
111;B-F Nijverheid en energie;2010;;;
112;B-F Nijverheid en energie;2011;6.0;6.1;21.1
113;B-F Nijverheid en energie;2012;7.0;18.9;11.8
114;B-F Nijverheid en energie;2013;12.0;11.5;2.2
115;B-F Nijverheid en energie;2014;;;
116;B-F Nijverheid en energie;2015;;;
117;B-F Nijverheid en energie;2016;;;
118;B-F Nijverheid en energie;2017;;;
119;B-F Nijverheid en energie;2018;;;
120;B-F Nijverheid en energie;2019;12.0;24.8;4.2
121;B-F Nijverheid en energie;2020;;;
122;B-F Nijverheid en energie;2021;9.0;48.1;8.7
123;B-F Nijverheid en energie;2022;12.0;8.6;1.5
124;B-F Nijverheid en energie;2023;;;
125;C Industrie;1999;7.0;4.2;1.9
126;C Industrie;2000;7.0;3.4;1.1
127;C Industrie;2001;4.0;8.5;9.0
128;C Industrie;2002;4.0;3.0;2.5
129;C Industrie;2003;4.0;1.7;0.6
130;C Industrie;2004;6.0;11.1;8.2
131;C Industrie;2005;10.0;18.2;9.3
132;C Industrie;2006;12.0;6.3;2.1
133;C Industrie;2007;4.0;4.1;2.8
134;C Industrie;2008;8.0;9.5;6.2
135;C Industrie;2009;12.0;3.4;2.5
136;C Industrie;2010;7.0;1.0;0.5
137;C Industrie;2011;6.0;6.1;21.1
138;C Industrie;2012;7.0;18.9;11.8
139;C Industrie;2013;9.0;11.3;2.1
140;C Industrie;2014;8.0;6.5;2.2
141;C Industrie;2015;9.0;40.2;20.9
142;C Industrie;2016;8.0;9.1;4.7
143;C Industrie;2017;13.0;9.8;1.5
144;C Industrie;2018;7.0;53.8;0.6
145;C Industrie;2019;12.0;24.8;4.2
146;C Industrie;2020;;;
147;C Industrie;2021;9.0;48.1;8.7
148;C Industrie;2022;12.0;8.6;1.5
149;C Industrie;2023;28.0;38.4;4.6
150;D Energievoorziening;1999;0.0;0.0;0.0
151;D Energievoorziening;2000;0.0;0.0;0.0
152;D Energievoorziening;2001;;;
153;D Energievoorziening;2002;0.0;0.0;0.0
154;D Energievoorziening;2003;0.0;0.0;0.0
155;D Energievoorziening;2004;0.0;0.0;0.0
156;D Energievoorziening;2005;0.0;0.0;0.0
157;D Energievoorziening;2006;0.0;0.0;0.0
158;D Energievoorziening;2007;0.0;0.0;0.0
159;D Energievoorziening;2008;;;
160;D Energievoorziening;2009;0.0;0.0;0.0
161;D Energievoorziening;2010;0.0;0.0;0.0
162;D Energievoorziening;2011;0.0;0.0;0.0
163;D Energievoorziening;2012;0.0;0.0;0.0
164;D Energievoorziening;2013;0.0;0.0;0.0
165;D Energievoorziening;2014;0.0;0.0;0.0
166;D Energievoorziening;2015;0.0;0.0;0.0
167;D Energievoorziening;2016;0.0;0.0;0.0
168;D Energievoorziening;2017;0.0;0.0;0.0
169;D Energievoorziening;2018;0.0;0.0;0.0
170;D Energievoorziening;2019;0.0;0.0;0.0
171;D Energievoorziening;2020;0.0;0.0;0.0
172;D Energievoorziening;2021;0.0;0.0;0.0
173;D Energievoorziening;2022;0.0;0.0;0.0
174;D Energievoorziening;2023;0.0;0.0;0.0
175;E Waterbedrijven en afvalbeheer;1999;0.0;0.0;0.0
176;E Waterbedrijven en afvalbeheer;2000;0.0;0.0;0.0
177;E Waterbedrijven en afvalbeheer;2001;0.0;0.0;0.0
178;E Waterbedrijven en afvalbeheer;2002;0.0;0.0;0.0
179;E Waterbedrijven en afvalbeheer;2003;0.0;0.0;0.0
180;E Waterbedrijven en afvalbeheer;2004;0.0;0.0;0.0
181;E Waterbedrijven en afvalbeheer;2005;0.0;0.0;0.0
182;E Waterbedrijven en afvalbeheer;2006;;;
183;E Waterbedrijven en afvalbeheer;2007;0.0;0.0;0.0
184;E Waterbedrijven en afvalbeheer;2008;0.0;0.0;0.0
185;E Waterbedrijven en afvalbeheer;2009;0.0;0.0;0.0
186;E Waterbedrijven en afvalbeheer;2010;0.0;0.0;0.0
187;E Waterbedrijven en afvalbeheer;2011;0.0;0.0;0.0
188;E Waterbedrijven en afvalbeheer;2012;0.0;0.0;0.0
189;E Waterbedrijven en afvalbeheer;2013;0.0;0.0;0.0
190;E Waterbedrijven en afvalbeheer;2014;;;
191;E Waterbedrijven en afvalbeheer;2015;0.0;0.0;0.0
192;E Waterbedrijven en afvalbeheer;2016;;;
193;E Waterbedrijven en afvalbeheer;2017;0.0;0.0;0.0
194;E Waterbedrijven en afvalbeheer;2018;;;
195;E Waterbedrijven en afvalbeheer;2019;0.0;0.0;0.0
196;E Waterbedrijven en afvalbeheer;2020;0.0;0.0;0.0
197;E Waterbedrijven en afvalbeheer;2021;0.0;0.0;0.0
198;E Waterbedrijven en afvalbeheer;2022;0.0;0.0;0.0
199;E Waterbedrijven en afvalbeheer;2023;0.0;0.0;0.0
200;F Bouwnijverheid;1999;2.0;17.7;2.7
201;F Bouwnijverheid;2000;0.0;0.0;0.0
202;F Bouwnijverheid;2001;0.0;0.0;0.0
203;F Bouwnijverheid;2002;1.0;224.2;20.2
204;F Bouwnijverheid;2003;0.0;0.0;0.0
205;F Bouwnijverheid;2004;0.0;0.0;0.0
206;F Bouwnijverheid;2005;;;
207;F Bouwnijverheid;2006;0.0;0.0;0.0
208;F Bouwnijverheid;2007;0.0;0.0;0.0
209;F Bouwnijverheid;2008;0.0;0.0;0.0
210;F Bouwnijverheid;2009;0.0;0.0;0.0
211;F Bouwnijverheid;2010;;;
212;F Bouwnijverheid;2011;0.0;0.0;0.0
213;F Bouwnijverheid;2012;0.0;0.0;0.0
214;F Bouwnijverheid;2013;3.0;0.3;0.1
215;F Bouwnijverheid;2014;0.0;0.0;0.0
216;F Bouwnijverheid;2015;;;
217;F Bouwnijverheid;2016;;;
218;F Bouwnijverheid;2017;;;
219;F Bouwnijverheid;2018;0.0;0.0;0.0
220;F Bouwnijverheid;2019;0.0;0.0;0.0
221;F Bouwnijverheid;2020;0.0;0.0;0.0
222;F Bouwnijverheid;2021;0.0;0.0;0.0
223;F Bouwnijverheid;2022;0.0;0.0;0.0
224;F Bouwnijverheid;2023;;;
225;G-I Handel, vervoer en horeca;1999;;;
226;G-I Handel, vervoer en horeca;2000;;;
227;G-I Handel, vervoer en horeca;2001;;;
228;G-I Handel, vervoer en horeca;2002;8.0;17.2;4.9
229;G-I Handel, vervoer en horeca;2003;;;
230;G-I Handel, vervoer en horeca;2004;3.0;0.7;0.6
231;G-I Handel, vervoer en horeca;2005;;;
232;G-I Handel, vervoer en horeca;2006;;;
233;G-I Handel, vervoer en horeca;2007;7.0;7.2;2.6
234;G-I Handel, vervoer en horeca;2008;9.0;82.9;26.3
235;G-I Handel, vervoer en horeca;2009;;;
236;G-I Handel, vervoer en horeca;2010;;;
237;G-I Handel, vervoer en horeca;2011;;;
238;G-I Handel, vervoer en horeca;2012;4.0;1.3;0.5
239;G-I Handel, vervoer en horeca;2013;;;
240;G-I Handel, vervoer en horeca;2014;8.0;3.4;0.9
241;G-I Handel, vervoer en horeca;2015;;;
242;G-I Handel, vervoer en horeca;2016;8.0;3.6;2.2
243;G-I Handel, vervoer en horeca;2017;;;
244;G-I Handel, vervoer en horeca;2018;13.0;35.5;1.7
245;G-I Handel, vervoer en horeca;2019;9.0;21.2;19.4
246;G-I Handel, vervoer en horeca;2020;6.0;2.1;0.3
247;G-I Handel, vervoer en horeca;2021;;;
248;G-I Handel, vervoer en horeca;2022;16.0;24.4;7.3
249;G-I Handel, vervoer en horeca;2023;;;
250;G-N Commerciële dienstverlening;1999;11.0;0.9;1.5
251;G-N Commerciële dienstverlening;2000;12.0;3.4;4.3
252;G-N Commerciële dienstverlening;2001;10.0;13.0;7.9
253;G-N Commerciële dienstverlening;2002;9.0;17.2;4.9
254;G-N Commerciële dienstverlening;2003;8.0;12.5;7.6
255;G-N Commerciële dienstverlening;2004;3.0;0.7;0.6
256;G-N Commerciële dienstverlening;2005;13.0;4.2;3.9
257;G-N Commerciële dienstverlening;2006;16.0;8.3;6.0
258;G-N Commerciële dienstverlening;2007;11.0;8.2;3.8
259;G-N Commerciële dienstverlening;2008;9.0;82.9;26.3
260;G-N Commerciële dienstverlening;2009;12.0;0.9;1.0
261;G-N Commerciële dienstverlening;2010;;;
262;G-N Commerciële dienstverlening;2011;7.0;9.5;2.5
263;G-N Commerciële dienstverlening;2012;5.0;144.8;3.0
264;G-N Commerciële dienstverlening;2013;9.0;7.0;1.6
265;G-N Commerciële dienstverlening;2014;13.0;29.6;4.3
266;G-N Commerciële dienstverlening;2015;;;
267;G-N Commerciële dienstverlening;2016;;;
268;G-N Commerciële dienstverlening;2017;;;
269;G-N Commerciële dienstverlening;2018;;;
270;G-N Commerciële dienstverlening;2019;9.0;21.2;19.4
271;G-N Commerciële dienstverlening;2020;6.0;2.1;0.3
272;G-N Commerciële dienstverlening;2021;8.0;2.7;1.4
273;G-N Commerciële dienstverlening;2022;19.0;25.1;7.5
274;G-N Commerciële dienstverlening;2023;20.0;90.1;9.0
275;G Handel;1999;0.0;0.0;0.0
276;G Handel;2000;;;
277;G Handel;2001;;;
278;G Handel;2002;0.0;0.0;0.0
279;G Handel;2003;;;
280;G Handel;2004;0.0;0.0;0.0
281;G Handel;2005;;;
282;G Handel;2006;;;
283;G Handel;2007;0.0;0.0;0.0
284;G Handel;2008;0.0;0.0;0.0
285;G Handel;2009;;;
286;G Handel;2010;;;
287;G Handel;2011;;;
288;G Handel;2012;0.0;0.0;0.0
289;G Handel;2013;;;
290;G Handel;2014;2.0;0.2;0.0
291;G Handel;2015;;;
292;G Handel;2016;0.0;0.0;0.0
293;G Handel;2017;;;
294;G Handel;2018;3.0;0.4;0.2
295;G Handel;2019;;;
296;G Handel;2020;3.0;1.9;0.2
297;G Handel;2021;;;
298;G Handel;2022;3.0;1.3;0.8
299;G Handel;2023;10.0;21.9;3.8
300;H Vervoer en opslag;1999;;;
301;H Vervoer en opslag;2000;8.0;3.3;4.1
302;H Vervoer en opslag;2001;8.0;12.5;7.4
303;H Vervoer en opslag;2002;8.0;17.2;4.9
304;H Vervoer en opslag;2003;6.0;8.0;6.5
305;H Vervoer en opslag;2004;3.0;0.7;0.6
306;H Vervoer en opslag;2005;6.0;1.8;1.7
307;H Vervoer en opslag;2006;13.0;8.1;5.9
308;H Vervoer en opslag;2007;7.0;7.2;2.6
309;H Vervoer en opslag;2008;9.0;82.9;26.3
310;H Vervoer en opslag;2009;8.0;0.3;0.6
311;H Vervoer en opslag;2010;8.0;36.4;8.2
312;H Vervoer en opslag;2011;4.0;8.4;2.1
313;H Vervoer en opslag;2012;4.0;1.3;0.5
314;H Vervoer en opslag;2013;4.0;1.2;0.7
315;H Vervoer en opslag;2014;6.0;3.3;0.9
316;H Vervoer en opslag;2015;9.0;0.5;1.6
317;H Vervoer en opslag;2016;8.0;3.6;2.2
318;H Vervoer en opslag;2017;12.0;2.4;0.6
319;H Vervoer en opslag;2018;10.0;35.1;1.4
320;H Vervoer en opslag;2019;7.0;19.6;19.1
321;H Vervoer en opslag;2020;3.0;0.2;0.1
322;H Vervoer en opslag;2021;5.0;1.4;1.3
323;H Vervoer en opslag;2022;13.0;23.2;6.5
324;H Vervoer en opslag;2023;6.0;62.3;3.2
325;I Horeca;1999;0.0;0.0;0.0
326;I Horeca;2000;;;
327;I Horeca;2001;0.0;0.0;0.0
328;I Horeca;2002;0.0;0.0;0.0
329;I Horeca;2003;0.0;0.0;0.0
330;I Horeca;2004;0.0;0.0;0.0
331;I Horeca;2005;0.0;0.0;0.0
332;I Horeca;2006;0.0;0.0;0.0
333;I Horeca;2007;0.0;0.0;0.0
334;I Horeca;2008;0.0;0.0;0.0
335;I Horeca;2009;0.0;0.0;0.0
336;I Horeca;2010;0.0;0.0;0.0
337;I Horeca;2011;0.0;0.0;0.0
338;I Horeca;2012;0.0;0.0;0.0
339;I Horeca;2013;0.0;0.0;0.0
340;I Horeca;2014;0.0;0.0;0.0
341;I Horeca;2015;0.0;0.0;0.0
342;I Horeca;2016;0.0;0.0;0.0
343;I Horeca;2017;0.0;0.0;0.0
344;I Horeca;2018;0.0;0.0;0.0
345;I Horeca;2019;;;
346;I Horeca;2020;0.0;0.0;0.0
347;I Horeca;2021;;;
348;I Horeca;2022;0.0;0.0;0.0
349;I Horeca;2023;;;
350;J Informatie en communicatie;1999;0.0;0.0;0.0
351;J Informatie en communicatie;2000;0.0;0.0;0.0
352;J Informatie en communicatie;2001;0.0;0.0;0.0
353;J Informatie en communicatie;2002;0.0;0.0;0.0
354;J Informatie en communicatie;2003;0.0;0.0;0.0
355;J Informatie en communicatie;2004;0.0;0.0;0.0
356;J Informatie en communicatie;2005;;;
357;J Informatie en communicatie;2006;0.0;0.0;0.0
358;J Informatie en communicatie;2007;0.0;0.0;0.0
359;J Informatie en communicatie;2008;0.0;0.0;0.0
360;J Informatie en communicatie;2009;0.0;0.0;0.0
361;J Informatie en communicatie;2010;0.0;0.0;0.0
362;J Informatie en communicatie;2011;0.0;0.0;0.0
363;J Informatie en communicatie;2012;0.0;0.0;0.0
364;J Informatie en communicatie;2013;;;
365;J Informatie en communicatie;2014;0.0;0.0;0.0
366;J Informatie en communicatie;2015;0.0;0.0;0.0
367;J Informatie en communicatie;2016;0.0;0.0;0.0
368;J Informatie en communicatie;2017;0.0;0.0;0.0
369;J Informatie en communicatie;2018;0.0;0.0;0.0
370;J Informatie en communicatie;2019;0.0;0.0;0.0
371;J Informatie en communicatie;2020;0.0;0.0;0.0
372;J Informatie en communicatie;2021;;;
373;J Informatie en communicatie;2022;;;
374;J Informatie en communicatie;2023;0.0;0.0;0.0
375;K Financiële dienstverlening;1999;0.0;0.0;0.0
376;K Financiële dienstverlening;2000;0.0;0.0;0.0
377;K Financiële dienstverlening;2001;0.0;0.0;0.0
378;K Financiële dienstverlening;2002;0.0;0.0;0.0
379;K Financiële dienstverlening;2003;0.0;0.0;0.0
380;K Financiële dienstverlening;2004;0.0;0.0;0.0
381;K Financiële dienstverlening;2005;0.0;0.0;0.0
382;K Financiële dienstverlening;2006;0.0;0.0;0.0
383;K Financiële dienstverlening;2007;0.0;0.0;0.0
384;K Financiële dienstverlening;2008;0.0;0.0;0.0
385;K Financiële dienstverlening;2009;0.0;0.0;0.0
386;K Financiële dienstverlening;2010;0.0;0.0;0.0
387;K Financiële dienstverlening;2011;0.0;0.0;0.0
388;K Financiële dienstverlening;2012;0.0;0.0;0.0
389;K Financiële dienstverlening;2013;0.0;0.0;0.0
390;K Financiële dienstverlening;2014;0.0;0.0;0.0
391;K Financiële dienstverlening;2015;0.0;0.0;0.0
392;K Financiële dienstverlening;2016;0.0;0.0;0.0
393;K Financiële dienstverlening;2017;0.0;0.0;0.0
394;K Financiële dienstverlening;2018;0.0;0.0;0.0
395;K Financiële dienstverlening;2019;0.0;0.0;0.0
396;K Financiële dienstverlening;2020;0.0;0.0;0.0
397;K Financiële dienstverlening;2021;0.0;0.0;0.0
398;K Financiële dienstverlening;2022;;;
399;K Financiële dienstverlening;2023;;;
400;L Verhuur en handel van onroerend goed;1999;0.0;0.0;0.0
401;L Verhuur en handel van onroerend goed;2000;0.0;0.0;0.0
402;L Verhuur en handel van onroerend goed;2001;0.0;0.0;0.0
403;L Verhuur en handel van onroerend goed;2002;0.0;0.0;0.0
404;L Verhuur en handel van onroerend goed;2003;0.0;0.0;0.0
405;L Verhuur en handel van onroerend goed;2004;0.0;0.0;0.0
406;L Verhuur en handel van onroerend goed;2005;;;
407;L Verhuur en handel van onroerend goed;2006;0.0;0.0;0.0
408;L Verhuur en handel van onroerend goed;2007;0.0;0.0;0.0
409;L Verhuur en handel van onroerend goed;2008;0.0;0.0;0.0
410;L Verhuur en handel van onroerend goed;2009;0.0;0.0;0.0
411;L Verhuur en handel van onroerend goed;2010;0.0;0.0;0.0
412;L Verhuur en handel van onroerend goed;2011;0.0;0.0;0.0
413;L Verhuur en handel van onroerend goed;2012;0.0;0.0;0.0
414;L Verhuur en handel van onroerend goed;2013;0.0;0.0;0.0
415;L Verhuur en handel van onroerend goed;2014;0.0;0.0;0.0
416;L Verhuur en handel van onroerend goed;2015;0.0;0.0;0.0
417;L Verhuur en handel van onroerend goed;2016;0.0;0.0;0.0
418;L Verhuur en handel van onroerend goed;2017;0.0;0.0;0.0
419;L Verhuur en handel van onroerend goed;2018;;;
420;L Verhuur en handel van onroerend goed;2019;0.0;0.0;0.0
421;L Verhuur en handel van onroerend goed;2020;0.0;0.0;0.0
422;L Verhuur en handel van onroerend goed;2021;0.0;0.0;0.0
423;L Verhuur en handel van onroerend goed;2022;0.0;0.0;0.0
424;L Verhuur en handel van onroerend goed;2023;0.0;0.0;0.0
425;M-N Zakelijke dienstverlening;1999;;;
426;M-N Zakelijke dienstverlening;2000;;;
427;M-N Zakelijke dienstverlening;2001;0.0;0.0;0.0
428;M-N Zakelijke dienstverlening;2002;;;
429;M-N Zakelijke dienstverlening;2003;;;
430;M-N Zakelijke dienstverlening;2004;0.0;0.0;0.0
431;M-N Zakelijke dienstverlening;2005;6.0;2.0;2.1
432;M-N Zakelijke dienstverlening;2006;;;
433;M-N Zakelijke dienstverlening;2007;4.0;1.0;1.2
434;M-N Zakelijke dienstverlening;2008;0.0;0.0;0.0
435;M-N Zakelijke dienstverlening;2009;;;
436;M-N Zakelijke dienstverlening;2010;2.0;12.3;1.1
437;M-N Zakelijke dienstverlening;2011;;;
438;M-N Zakelijke dienstverlening;2012;;;
439;M-N Zakelijke dienstverlening;2013;;;
440;M-N Zakelijke dienstverlening;2014;5.0;26.2;3.4
441;M-N Zakelijke dienstverlening;2015;0.0;0.0;0.0
442;M-N Zakelijke dienstverlening;2016;;;
443;M-N Zakelijke dienstverlening;2017;0.0;0.0;0.0
444;M-N Zakelijke dienstverlening;2018;;;
445;M-N Zakelijke dienstverlening;2019;0.0;0.0;0.0
446;M-N Zakelijke dienstverlening;2020;0.0;0.0;0.0
447;M-N Zakelijke dienstverlening;2021;0.0;0.0;0.0
448;M-N Zakelijke dienstverlening;2022;;;
449;M-N Zakelijke dienstverlening;2023;;;
450;M Specialistische zakelijke diensten;1999;0.0;0.0;0.0
451;M Specialistische zakelijke diensten;2000;0.0;0.0;0.0
452;M Specialistische zakelijke diensten;2001;0.0;0.0;0.0
453;M Specialistische zakelijke diensten;2002;0.0;0.0;0.0
454;M Specialistische zakelijke diensten;2003;0.0;0.0;0.0
455;M Specialistische zakelijke diensten;2004;0.0;0.0;0.0
456;M Specialistische zakelijke diensten;2005;;;
457;M Specialistische zakelijke diensten;2006;0.0;0.0;0.0
458;M Specialistische zakelijke diensten;2007;0.0;0.0;0.0
459;M Specialistische zakelijke diensten;2008;0.0;0.0;0.0
460;M Specialistische zakelijke diensten;2009;;;
461;M Specialistische zakelijke diensten;2010;0.0;0.0;0.0
462;M Specialistische zakelijke diensten;2011;0.0;0.0;0.0
463;M Specialistische zakelijke diensten;2012;0.0;0.0;0.0
464;M Specialistische zakelijke diensten;2013;;;
465;M Specialistische zakelijke diensten;2014;0.0;0.0;0.0
466;M Specialistische zakelijke diensten;2015;0.0;0.0;0.0
467;M Specialistische zakelijke diensten;2016;;;
468;M Specialistische zakelijke diensten;2017;0.0;0.0;0.0
469;M Specialistische zakelijke diensten;2018;0.0;0.0;0.0
470;M Specialistische zakelijke diensten;2019;0.0;0.0;0.0
471;M Specialistische zakelijke diensten;2020;0.0;0.0;0.0
472;M Specialistische zakelijke diensten;2021;0.0;0.0;0.0
473;M Specialistische zakelijke diensten;2022;0.0;0.0;0.0
474;M Specialistische zakelijke diensten;2023;;;
475;N Verhuur en overige zakelijke diensten;1999;;;
476;N Verhuur en overige zakelijke diensten;2000;;;
477;N Verhuur en overige zakelijke diensten;2001;0.0;0.0;0.0
478;N Verhuur en overige zakelijke diensten;2002;;;
479;N Verhuur en overige zakelijke diensten;2003;;;
480;N Verhuur en overige zakelijke diensten;2004;;;
481;N Verhuur en overige zakelijke diensten;2005;5.0;1.8;0.9
482;N Verhuur en overige zakelijke diensten;2006;;;
483;N Verhuur en overige zakelijke diensten;2007;4.0;1.0;1.2
484;N Verhuur en overige zakelijke diensten;2008;0.0;0.0;0.0
485;N Verhuur en overige zakelijke diensten;2009;;;
486;N Verhuur en overige zakelijke diensten;2010;2.0;12.3;1.1
487;N Verhuur en overige zakelijke diensten;2011;;;
488;N Verhuur en overige zakelijke diensten;2012;;;
489;N Verhuur en overige zakelijke diensten;2013;0.0;0.0;0.0
490;N Verhuur en overige zakelijke diensten;2014;5.0;26.2;3.4
491;N Verhuur en overige zakelijke diensten;2015;0.0;0.0;0.0
