ID;SBIIndelingEnOESOSectoren;Perioden;TotaalRDPersoneel_1;TotaleRDUitgaven_2;BrutoLoonkosten_3;OverigeExploitatieKosten_4;TotaalExploitatieUitgaven_5;Gebouwen_6;MachinesApparatuur_7;TotaalInvesteringen_8
77;Chemische industrie;1972;9700.0;244.0;147.0;72.0;219.0;5.0;20.0;25.0
78;Chemische industrie;1973;8966.0;251.0;157.0;69.0;226.0;6.0;19.0;25.0
79;Chemische industrie;1974;9010.0;303.0;183.0;86.0;269.0;13.0;21.0;34.0
80;Chemische industrie;1975;9410.0;349.0;203.0;97.0;300.0;23.0;26.0;49.0
81;Chemische industrie;1976;9470.0;405.0;231.0;118.0;350.0;30.0;25.0;55.0
82;Chemische industrie;1977;9287.0;413.0;252.0;128.0;379.0;9.0;25.0;34.0
83;Chemische industrie;1978;9200.0;441.0;268.0;133.0;402.0;11.0;28.0;39.0
84;Chemische industrie;1979;8920.0;457.0;273.0;140.0;413.0;12.0;32.0;44.0
85;Chemische industrie;1980;8780.0;486.0;287.0;150.0;437.0;20.0;28.0;49.0
86;Chemische industrie;1981;8954.0;548.0;313.0;171.0;484.0;27.0;37.0;64.0
87;Chemische industrie;1982;9070.0;584.0;329.0;187.0;516.0;23.0;44.0;67.0
88;Chemische industrie;1983;8760.0;609.0;343.0;196.0;539.0;18.0;52.0;70.0
89;Chemische industrie;1984;8870.0;635.0;342.0;217.0;559.0;14.0;62.0;76.0
90;Chemische industrie;1985;8930.0;689.0;368.0;221.0;589.0;34.0;66.0;99.0
91;Chemische industrie;1986;9390.0;721.0;371.0;234.0;604.0;37.0;80.0;117.0
92;Chemische industrie;1987;9460.0;755.0;358.0;245.0;604.0;61.0;90.0;151.0
93;Chemische industrie;1988;9670.0;852.0;394.0;279.0;673.0;66.0;113.0;179.0
94;Chemische industrie;1989;10010.0;928.0;443.0;340.0;783.0;62.0;83.0;145.0
95;Chemische industrie;1990;9960.0;920.0;458.0;342.0;800.0;48.0;72.0;120.0
96;Chemische industrie;1991;10050.0;916.0;459.0;342.0;801.0;45.0;70.0;115.0
97;Chemische industrie;1992;10200.0;932.0;479.0;344.0;823.0;29.0;80.0;109.0
98;Chemische industrie;1993;8320.0;821.0;400.0;307.0;707.0;64.0;49.0;113.0
99;Chemische industrie;1994;8789.0;812.0;435.0;275.0;710.0;53.0;49.0;102.0
100;Farmaceutische industrie;1970;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
101;Farmaceutische industrie;1971;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
102;Farmaceutische industrie;1972;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
103;Farmaceutische industrie;1973;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
104;Farmaceutische industrie;1974;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
105;Farmaceutische industrie;1975;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
106;Farmaceutische industrie;1976;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
107;Farmaceutische industrie;1977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
108;Farmaceutische industrie;1978;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
109;Farmaceutische industrie;1979;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110;Farmaceutische industrie;1980;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
111;Farmaceutische industrie;1981;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
112;Farmaceutische industrie;1982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
113;Farmaceutische industrie;1983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
114;Farmaceutische industrie;1984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
115;Farmaceutische industrie;1985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
116;Farmaceutische industrie;1986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
117;Farmaceutische industrie;1987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
118;Farmaceutische industrie;1988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
119;Farmaceutische industrie;1989;2350.0;194.0;96.0;71.0;167.0;12.0;15.0;28.0
120;Farmaceutische industrie;1990;2350.0;202.0;105.0;76.0;182.0;12.0;9.0;21.0
121;Farmaceutische industrie;1991;2220.0;192.0;99.0;71.0;170.0;11.0;12.0;23.0
122;Farmaceutische industrie;1992;2300.0;197.0;101.0;73.0;174.0;8.0;16.0;24.0
123;Farmaceutische industrie;1993;2140.0;213.0;100.0;82.0;182.0;26.0;5.0;31.0
124;Farmaceutische industrie;1994;2080.0;198.0;100.0;81.0;180.0;16.0;2.0;18.0
125;Voedings- en genotmiddelenindustrie;1970;2200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
126;Voedings- en genotmiddelenindustrie;1971;2300.0;61.0;39.0;16.0;54.0;0.0;7.0;7.0
127;Voedings- en genotmiddelenindustrie;1972;2000.0;45.0;29.0;11.0;40.0;0.0;5.0;5.0
128;Voedings- en genotmiddelenindustrie;1973;2029.0;51.0;34.0;12.0;46.0;1.0;4.0;5.0
129;Voedings- en genotmiddelenindustrie;1974;2040.0;58.0;40.0;13.0;54.0;0.0;4.0;4.0
130;Voedings- en genotmiddelenindustrie;1975;1900.0;62.0;44.0;14.0;57.0;1.0;4.0;5.0
131;Voedings- en genotmiddelenindustrie;1976;1810.0;66.0;47.0;15.0;62.0;0.0;3.0;4.0
132;Voedings- en genotmiddelenindustrie;1977;1899.0;74.0;52.0;17.0;69.0;1.0;5.0;6.0
133;Voedings- en genotmiddelenindustrie;1978;1840.0;80.0;56.0;17.0;73.0;2.0;5.0;7.0
134;Voedings- en genotmiddelenindustrie;1979;1970.0;88.0;63.0;20.0;83.0;1.0;4.0;5.0
135;Voedings- en genotmiddelenindustrie;1980;1850.0;92.0;61.0;23.0;84.0;2.0;5.0;8.0
136;Voedings- en genotmiddelenindustrie;1981;1635.0;88.0;59.0;22.0;80.0;3.0;5.0;8.0
137;Voedings- en genotmiddelenindustrie;1982;1490.0;85.0;56.0;21.0;77.0;3.0;5.0;8.0
138;Voedings- en genotmiddelenindustrie;1983;1470.0;92.0;60.0;21.0;81.0;3.0;7.0;10.0
139;Voedings- en genotmiddelenindustrie;1984;1490.0;92.0;59.0;24.0;83.0;1.0;7.0;8.0
140;Voedings- en genotmiddelenindustrie;1985;1670.0;107.0;68.0;25.0;93.0;1.0;13.0;14.0
141;Voedings- en genotmiddelenindustrie;1986;1660.0;110.0;69.0;27.0;95.0;2.0;13.0;15.0
142;Voedings- en genotmiddelenindustrie;1987;1720.0;123.0;70.0;28.0;98.0;3.0;22.0;25.0
143;Voedings- en genotmiddelenindustrie;1988;1660.0;115.0;72.0;29.0;102.0;2.0;11.0;13.0
144;Voedings- en genotmiddelenindustrie;1989;1800.0;130.0;80.0;35.0;115.0;2.0;12.0;15.0
145;Voedings- en genotmiddelenindustrie;1990;1680.0;126.0;77.0;36.0;113.0;1.0;12.0;13.0
146;Voedings- en genotmiddelenindustrie;1991;1680.0;128.0;78.0;34.0;113.0;4.0;11.0;15.0
147;Voedings- en genotmiddelenindustrie;1992;1560.0;126.0;73.0;38.0;111.0;2.0;12.0;15.0
148;Voedings- en genotmiddelenindustrie;1993;2690.0;207.0;142.0;44.0;186.0;4.0;18.0;21.0
149;Voedings- en genotmiddelenindustrie;1994;2454.0;176.0;116.0;38.0;153.0;5.0;17.0;22.0
150;Rubber- en kunstofindustrie;1970;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
151;Rubber- en kunstofindustrie;1971;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
152;Rubber- en kunstofindustrie;1972;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
153;Rubber- en kunstofindustrie;1973;192.0;6.0;4.0;1.0;5.0;0.0;0.0;1.0
154;Rubber- en kunstofindustrie;1974;150.0;5.0;3.0;1.0;4.0;0.0;0.0;0.0
155;Rubber- en kunstofindustrie;1975;170.0;6.0;3.0;3.0;6.0;0.0;0.0;0.0
156;Rubber- en kunstofindustrie;1976;170.0;6.0;4.0;2.0;6.0;0.0;0.0;0.0
157;Rubber- en kunstofindustrie;1977;182.0;7.0;5.0;2.0;6.0;0.0;0.0;0.0
158;Rubber- en kunstofindustrie;1978;180.0;7.0;5.0;2.0;7.0;0.0;0.0;0.0
159;Rubber- en kunstofindustrie;1979;180.0;11.0;5.0;2.0;8.0;2.0;2.0;4.0
160;Rubber- en kunstofindustrie;1980;160.0;8.0;5.0;2.0;7.0;0.0;0.0;1.0
161;Rubber- en kunstofindustrie;1981;232.0;11.0;8.0;3.0;10.0;0.0;1.0;1.0
162;Rubber- en kunstofindustrie;1982;230.0;12.0;8.0;3.0;11.0;0.0;1.0;1.0
163;Rubber- en kunstofindustrie;1983;220.0;13.0;8.0;3.0;11.0;0.0;1.0;1.0
164;Rubber- en kunstofindustrie;1984;220.0;13.0;8.0;4.0;12.0;0.0;1.0;1.0
165;Rubber- en kunstofindustrie;1985;240.0;14.0;9.0;4.0;12.0;0.0;1.0;1.0
166;Rubber- en kunstofindustrie;1986;230.0;12.0;8.0;3.0;11.0;0.0;1.0;1.0
167;Rubber- en kunstofindustrie;1987;250.0;13.0;9.0;3.0;12.0;0.0;1.0;1.0
168;Rubber- en kunstofindustrie;1988;280.0;33.0;10.0;3.0;13.0;4.0;16.0;20.0
169;Rubber- en kunstofindustrie;1989;250.0;21.0;11.0;4.0;15.0;0.0;5.0;5.0
170;Rubber- en kunstofindustrie;1990;250.0;21.0;11.0;5.0;16.0;0.0;5.0;5.0
171;Rubber- en kunstofindustrie;1991;270.0;27.0;13.0;6.0;19.0;2.0;6.0;8.0
172;Rubber- en kunstofindustrie;1992;260.0;21.0;12.0;5.0;17.0;1.0;3.0;5.0
173;Rubber- en kunstofindustrie;1993;350.0;33.0;14.0;5.0;20.0;;;14.0
174;Rubber- en kunstofindustrie;1994;474.0;33.0;19.0;9.0;28.0;0.0;5.0;5.0
175;Hout- en meubelindustrie;1970;900.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
176;Hout- en meubelindustrie;1971;800.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
177;Hout- en meubelindustrie;1972;800.0;17.0;10.0;5.0;15.0;0.0;1.0;1.0
178;Hout- en meubelindustrie;1973;209.0;6.0;4.0;2.0;5.0;0.0;0.0;0.0
179;Hout- en meubelindustrie;1974;170.0;5.0;4.0;2.0;5.0;0.0;0.0;0.0
180;Hout- en meubelindustrie;1975;120.0;5.0;4.0;1.0;5.0;0.0;0.0;0.0
181;Hout- en meubelindustrie;1976;100.0;4.0;3.0;1.0;4.0;0.0;0.0;0.0
182;Hout- en meubelindustrie;1977;167.0;6.0;4.0;2.0;6.0;0.0;0.0;0.0
183;Hout- en meubelindustrie;1978;130.0;5.0;3.0;1.0;5.0;0.0;0.0;0.0
184;Hout- en meubelindustrie;1979;120.0;5.0;3.0;1.0;5.0;0.0;0.0;0.0
185;Hout- en meubelindustrie;1980;110.0;5.0;4.0;1.0;5.0;0.0;0.0;0.0
186;Hout- en meubelindustrie;1981;113.0;6.0;4.0;2.0;5.0;0.0;0.0;0.0
187;Hout- en meubelindustrie;1982;110.0;5.0;4.0;1.0;5.0;0.0;0.0;0.0
188;Hout- en meubelindustrie;1983;100.0;5.0;4.0;2.0;5.0;0.0;0.0;0.0
189;Hout- en meubelindustrie;1984;100.0;6.0;4.0;2.0;6.0;0.0;0.0;0.0
190;Hout- en meubelindustrie;1985;110.0;7.0;4.0;2.0;6.0;0.0;1.0;1.0
191;Hout- en meubelindustrie;1986;110.0;7.0;4.0;2.0;6.0;0.0;1.0;1.0
192;Hout- en meubelindustrie;1987;120.0;8.0;4.0;2.0;6.0;0.0;1.0;1.0
193;Hout- en meubelindustrie;1988;110.0;8.0;4.0;2.0;6.0;0.0;1.0;1.0
194;Hout- en meubelindustrie;1989;20.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0
195;Hout- en meubelindustrie;1990;20.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0
196;Hout- en meubelindustrie;1991;20.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0
197;Hout- en meubelindustrie;1992;20.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
198;Hout- en meubelindustrie;1993;30.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0
199;Hout- en meubelindustrie;1994;215.0;10.0;7.0;2.0;9.0;0.0;1.0;1.0
200;Papier- en grafische industrie;1970;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
201;Papier- en grafische industrie;1971;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
202;Papier- en grafische industrie;1972;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
203;Papier- en grafische industrie;1973;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
204;Papier- en grafische industrie;1974;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
205;Papier- en grafische industrie;1975;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
206;Papier- en grafische industrie;1976;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
207;Papier- en grafische industrie;1977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
208;Papier- en grafische industrie;1978;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
209;Papier- en grafische industrie;1979;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
210;Papier- en grafische industrie;1980;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211;Papier- en grafische industrie;1981;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
212;Papier- en grafische industrie;1982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
213;Papier- en grafische industrie;1983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
214;Papier- en grafische industrie;1984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
215;Papier- en grafische industrie;1985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
216;Papier- en grafische industrie;1986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
217;Papier- en grafische industrie;1987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
218;Papier- en grafische industrie;1988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
219;Papier- en grafische industrie;1989;130.0;8.0;5.0;3.0;8.0;0.0;0.0;0.0
220;Papier- en grafische industrie;1990;150.0;12.0;6.0;5.0;11.0;0.0;1.0;1.0
221;Papier- en grafische industrie;1991;170.0;12.0;6.0;5.0;11.0;0.0;1.0;1.0
222;Papier- en grafische industrie;1992;100.0;6.0;4.0;2.0;6.0;0.0;0.0;0.0
223;Papier- en grafische industrie;1993;130.0;7.0;5.0;1.0;5.0;;;1.0
224;Papier- en grafische industrie;1994;248.0;13.0;10.0;2.0;12.0;0.0;1.0;1.0
225;Textiel-, kleding- en leerindustrie;1970;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
226;Textiel-, kleding- en leerindustrie;1971;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
227;Textiel-, kleding- en leerindustrie;1972;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
228;Textiel-, kleding- en leerindustrie;1973;117.0;5.0;2.0;1.0;4.0;0.0;0.0;0.0
229;Textiel-, kleding- en leerindustrie;1974;140.0;5.0;3.0;2.0;5.0;0.0;1.0;1.0
230;Textiel-, kleding- en leerindustrie;1975;130.0;5.0;3.0;1.0;5.0;0.0;0.0;0.0
231;Textiel-, kleding- en leerindustrie;1976;130.0;5.0;4.0;1.0;5.0;0.0;0.0;0.0
232;Textiel-, kleding- en leerindustrie;1977;152.0;6.0;4.0;1.0;5.0;0.0;0.0;0.0
233;Textiel-, kleding- en leerindustrie;1978;150.0;6.0;4.0;1.0;5.0;0.0;1.0;1.0
234;Textiel-, kleding- en leerindustrie;1979;120.0;5.0;3.0;1.0;5.0;0.0;0.0;0.0
235;Textiel-, kleding- en leerindustrie;1980;100.0;4.0;3.0;1.0;4.0;0.0;0.0;0.0
236;Textiel-, kleding- en leerindustrie;1981;96.0;4.0;3.0;1.0;4.0;0.0;0.0;0.0
237;Textiel-, kleding- en leerindustrie;1982;120.0;6.0;4.0;1.0;5.0;0.0;0.0;0.0
238;Textiel-, kleding- en leerindustrie;1983;110.0;7.0;4.0;2.0;6.0;0.0;1.0;1.0
239;Textiel-, kleding- en leerindustrie;1984;130.0;8.0;5.0;1.0;6.0;0.0;1.0;1.0
240;Textiel-, kleding- en leerindustrie;1985;130.0;6.0;4.0;2.0;6.0;0.0;0.0;0.0
241;Textiel-, kleding- en leerindustrie;1986;140.0;8.0;5.0;2.0;7.0;0.0;0.0;0.0
242;Textiel-, kleding- en leerindustrie;1987;140.0;8.0;5.0;2.0;7.0;0.0;0.0;0.0
243;Textiel-, kleding- en leerindustrie;1988;130.0;8.0;5.0;2.0;8.0;0.0;0.0;0.0
244;Textiel-, kleding- en leerindustrie;1989;150.0;11.0;7.0;4.0;10.0;0.0;0.0;1.0
245;Textiel-, kleding- en leerindustrie;1990;160.0;11.0;7.0;3.0;10.0;0.0;1.0;1.0
246;Textiel-, kleding- en leerindustrie;1991;140.0;10.0;6.0;3.0;9.0;0.0;0.0;0.0
247;Textiel-, kleding- en leerindustrie;1992;140.0;10.0;6.0;3.0;10.0;0.0;0.0;0.0
248;Textiel-, kleding- en leerindustrie;1993;90.0;6.0;5.0;1.0;5.0;0.0;0.0;0.0
249;Textiel-, kleding- en leerindustrie;1994;178.0;11.0;7.0;3.0;10.0;0.0;1.0;1.0
250;Bouwmaterialen;1970;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
251;Bouwmaterialen;1971;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
252;Bouwmaterialen;1972;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
253;Bouwmaterialen;1973;104.0;3.0;2.0;0.0;3.0;0.0;0.0;0.0
254;Bouwmaterialen;1974;110.0;3.0;2.0;0.0;2.0;0.0;0.0;1.0
255;Bouwmaterialen;1975;100.0;3.0;2.0;0.0;3.0;0.0;0.0;0.0
256;Bouwmaterialen;1976;100.0;3.0;2.0;0.0;3.0;0.0;0.0;0.0
257;Bouwmaterialen;1977;117.0;5.0;3.0;1.0;4.0;0.0;1.0;1.0
258;Bouwmaterialen;1978;100.0;4.0;3.0;1.0;4.0;0.0;0.0;0.0
259;Bouwmaterialen;1979;100.0;4.0;3.0;1.0;4.0;0.0;0.0;0.0
260;Bouwmaterialen;1980;100.0;4.0;3.0;1.0;4.0;0.0;0.0;0.0
261;Bouwmaterialen;1981;115.0;5.0;4.0;1.0;5.0;0.0;0.0;0.0
262;Bouwmaterialen;1982;120.0;6.0;5.0;1.0;6.0;0.0;0.0;0.0
263;Bouwmaterialen;1983;110.0;6.0;4.0;1.0;5.0;0.0;0.0;0.0
264;Bouwmaterialen;1984;110.0;6.0;5.0;1.0;6.0;0.0;0.0;0.0
265;Bouwmaterialen;1985;110.0;5.0;4.0;1.0;5.0;0.0;0.0;0.0
266;Bouwmaterialen;1986;100.0;6.0;4.0;1.0;5.0;1.0;0.0;1.0
267;Bouwmaterialen;1987;110.0;6.0;4.0;1.0;5.0;0.0;1.0;1.0
268;Bouwmaterialen;1988;120.0;6.0;4.0;1.0;5.0;0.0;1.0;1.0
269;Bouwmaterialen;1989;160.0;8.0;5.0;1.0;7.0;0.0;1.0;1.0
270;Bouwmaterialen;1990;130.0;7.0;5.0;1.0;6.0;0.0;1.0;1.0
271;Bouwmaterialen;1991;130.0;8.0;5.0;2.0;7.0;0.0;0.0;0.0
272;Bouwmaterialen;1992;130.0;9.0;6.0;2.0;8.0;0.0;0.0;0.0
273;Bouwmaterialen;1993;120.0;10.0;6.0;3.0;9.0;0.0;0.0;1.0
274;Bouwmaterialen;1994;178.0;11.0;8.0;2.0;10.0;0.0;1.0;1.0
