ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2;Indexcijfers_3;OntwikkelingTOVEenPeriodeEerder_4
143;58-60 Uitgeverijen, film,radio en t.v.;2014 4e kwartaal;110.0;0.4;98.4;-3.0
144;58-60 Uitgeverijen, film,radio en t.v.;2014;99.3;-0.9;99.3;-0.9
145;58-60 Uitgeverijen, film,radio en t.v.;2015 1e kwartaal;91.0;0.4;99.2;0.8
146;58-60 Uitgeverijen, film,radio en t.v.;2015 2e kwartaal;101.5;1.9;100.8;1.7
147;58-60 Uitgeverijen, film,radio en t.v.;2015 3e kwartaal;96.6;-0.3;100.9;0.1
148;58-60 Uitgeverijen, film,radio en t.v.;2015 4e kwartaal;110.8;0.7;99.1;-1.7
149;58-60 Uitgeverijen, film,radio en t.v.;2015;100.0;0.7;100.0;0.7
150;58-60 Uitgeverijen, film,radio en t.v.;2016 1e kwartaal;91.6;0.6;99.7;0.6
151;58-60 Uitgeverijen, film,radio en t.v.;2016 2e kwartaal;101.1;-0.4;100.5;0.8
152;58-60 Uitgeverijen, film,radio en t.v.;2016 3e kwartaal;100.9;4.4;105.1;4.6
153;58-60 Uitgeverijen, film,radio en t.v.;2016 4e kwartaal;112.7;1.7;100.9;-4.0
154;58-60 Uitgeverijen, film,radio en t.v.;2016;101.6;1.6;101.6;1.6
155;58-60 Uitgeverijen, film,radio en t.v.;2017 1e kwartaal;91.4;-0.2;99.5;-1.5
156;58-60 Uitgeverijen, film,radio en t.v.;2017 2e kwartaal;102.0;0.9;102.3;2.8
157;58-60 Uitgeverijen, film,radio en t.v.;2017 3e kwartaal;96.4;-4.5;100.1;-2.1
158;58-60 Uitgeverijen, film,radio en t.v.;2017 4e kwartaal;114.9;1.9;102.3;2.2
159;58-60 Uitgeverijen, film,radio en t.v.;2017;101.2;-0.4;101.0;-0.6
160;58-60 Uitgeverijen, film,radio en t.v.;2018 1e kwartaal;98.4;7.7;107.0;4.6
161;58-60 Uitgeverijen, film,radio en t.v.;2018 2e kwartaal;102.3;0.3;102.8;-3.9
162;58-60 Uitgeverijen, film,radio en t.v.;2018 3e kwartaal;100.5;4.2;104.7;1.9
163;58-60 Uitgeverijen, film,radio en t.v.;2018 4e kwartaal;122.0;6.2;108.1;3.2
164;58-60 Uitgeverijen, film,radio en t.v.;2018;105.8;4.6;105.7;4.6
165;58-60 Uitgeverijen, film,radio en t.v.;2019 1e kwartaal;97.5;-0.9;105.9;-2.0
166;58-60 Uitgeverijen, film,radio en t.v.;2019 2e kwartaal;106.4;4.0;107.1;1.1
167;58-60 Uitgeverijen, film,radio en t.v.;2019 3e kwartaal;103.8;3.4;108.3;1.1
168;58-60 Uitgeverijen, film,radio en t.v.;2019 4e kwartaal;121.3;-0.5;107.6;-0.6
169;58-60 Uitgeverijen, film,radio en t.v.;2019;107.3;1.4;107.3;1.5
170;58-60 Uitgeverijen, film,radio en t.v.;2020 1e kwartaal;94.9;-2.7;102.9;-4.4
171;58-60 Uitgeverijen, film,radio en t.v.;2020 2e kwartaal;86.7;-18.5;86.5;-15.9
172;58-60 Uitgeverijen, film,radio en t.v.;2020 3e kwartaal;91.1;-12.2;94.5;9.2
173;58-60 Uitgeverijen, film,radio en t.v.;2020 4e kwartaal;100.9;-16.8;91.0;-3.7
174;58-60 Uitgeverijen, film,radio en t.v.;2020;93.4;-12.9;93.7;-12.6
175;58-60 Uitgeverijen, film,radio en t.v.;2021 1e kwartaal;83.8;-11.7;91.8;0.9
176;58-60 Uitgeverijen, film,radio en t.v.;2021 2e kwartaal;95.3;9.9;95.2;3.7
177;58-60 Uitgeverijen, film,radio en t.v.;2021 3e kwartaal;100.7;10.4;103.7;8.9
178;58-60 Uitgeverijen, film,radio en t.v.;2021 4e kwartaal;108.5;7.5;97.7;-5.8
179;58-60 Uitgeverijen, film,radio en t.v.;2021;97.0;3.9;97.1;3.6
180;58-60 Uitgeverijen, film,radio en t.v.;2022 1e kwartaal;89.2;6.5;98.5;0.9
181;58-60 Uitgeverijen, film,radio en t.v.;2022 2e kwartaal;99.8;4.7;99.9;1.4
