ID;BedrijfstakkenBranchesSBI2008;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;RegelmatigVeelKrachtZetten_4;RegelmatigHardPraten_5;RegelmatigTeMakenMetTrillingen_6;GevaarlijkWerk_7;WaterigeOplossingen_8;StoffenOpUwHuid_9;AdemtStoffenIn_10;BesmettePersonen_11;InOngemakkelijkeWerkhoudingWerken_12;TijdensWerkRepeterendeBewegingMaken_13;UurPerDagAanBeeldschermVoorWerk_14;ZelfBeslissen_15;VolgordeWerkzaamhedenBepalen_16;WerktempoBepalen_17;OplossingenBedenken_18;VerlofNemen_19;EmotioneelMoeilijkeWerksituaties_20;EmotioneelVeeleisendWerk_21;EmotioneelBetrokkenBijWerk_22;VanKlanten_23;VanLeidinggevendenOfCollegaS_24;DoorKlanten_25;DoorLeidinggevendenOfCollegaS_26;DoorKlanten_27;DoorLeidinggevendenOfCollegaS_28;DoorKlanten_29;DoorLeidinggevendenOfCollegaS_30;AantalOngevallenPer100000Werknemers_31;TotaalAandeelWerknemersMetOngeval_32;OngevalZonderVerzuim_33;OngevalMetTenMinste0DagenVerzuim_34;OngevalMetTenMinste1DagVerzuim_35;OngevalMetTenMinste4DagenVerzuim_36;UitsluitendLichamelijkLetsel_37;UitsluitendGeestelijkLetsel_38;LichamelijkEnGeestelijkLetsel_39;BurnOutKlachten_40;EmotioneelUitgeput_41;LeegVoelen_42;SOchtendsMoeVoelen_43;VergtVeelOmMetMensenTeWerken_44;UitgeputDoorWerk_45;TevredenMetArbeidsomstandigheden_46;TevredenMetWerk_47;LeeftijdWillenDoorwerken_48;LeeftijdInStaatDoorwerken_49
10;B-F Nijverheid en energie;2012;28.5;37.9;23.7;27.6;17.2;20.9;7.3;17.0;11.0;17.1;2.9;14.7;40.3;3.3;66.3;65.3;63.2;70.5;60.4;3.4;5.1;10.1;1.0;1.3;7.4;12.9;0.7;0.8;2.8;9.6;13600;8.6;3.5;5.1;4.9;4.1;6.6;1.2;0.8;13.3;12.4;30.7;17.0;7.8;13.8;75.0;78.0;62.9;62.5
11;B-F Nijverheid en energie;2013;28.7;39.1;24.2;24.1;19.6;20.5;6.2;16.3;10.8;15.6;9.9;14.4;36.5;3.4;65.0;65.5;63.9;69.4;57.1;4.5;6.5;11.0;1.4;1.7;7.6;12.1;1.0;0.7;2.5;8.9;12400;8.1;4.1;4.0;3.7;3.1;6.3;1.3;0.5;13.1;11.4;28.5;16.6;7.6;13.9;73.9;78.6;63.2;62.7
12;B-E Nijverheid (geen bouw) en energie;2011;29.9;38.6;22.9;21.9;18.7;17.5;5.2;15.6;9.8;15.1;5.6;12.6;36.6;3.7;64.7;65.8;65.5;69.4;59.7;6.1;8.0;13.0;1.3;1.4;7.5;14.2;1.1;1.2;2.6;11.6;10200;7.0;3.2;3.9;3.7;3.3;5.5;1.1;0.2;14.4;13.7;27.9;17.0;9.0;13.5;74.4;76.7;62.7;62.9
13;B-E Nijverheid (geen bouw) en energie;2012;27.0;37.4;22.7;24.6;18.5;17.3;6.8;17.0;10.1;16.1;3.0;12.1;40.4;3.5;63.6;63.5;63.1;67.2;60.8;3.5;5.2;10.2;1.1;1.6;6.6;14.5;0.9;0.8;2.7;10.5;12300;8.3;3.8;4.5;4.3;3.5;6.3;1.2;0.7;14.0;12.5;30.3;17.7;8.2;14.0;74.3;76.8;62.9;62.9
14;B-E Nijverheid (geen bouw) en energie;2013;27.5;37.8;22.9;21.2;20.3;17.4;5.3;15.4;10.4;14.4;8.9;11.2;36.3;3.6;63.4;64.2;64.0;66.6;58.2;5.0;7.1;11.4;1.5;2.1;6.7;12.1;1.0;0.8;2.4;9.6;11500;8.1;4.3;3.8;3.5;3.0;5.9;1.5;0.6;14.2;12.6;29.1;17.6;8.7;14.5;74.6;78.0;63.3;63.0
15;F Bouwnijverheid;2011;35.0;42.8;26.5;33.5;15.6;29.7;8.7;16.9;16.1;20.7;6.9;23.7;39.8;2.9;70.0;71.8;65.4;75.9;55.7;3.5;4.5;11.2;0.9;0.8;7.6;7.8;0.7;0.4;1.9;6.8;14700;8.6;3.4;5.2;5.2;3.2;7.1;0.5;0.9;11.6;10.9;28.4;13.0;5.6;12.4;74.1;78.6;62.2;60.8
16;F Bouwnijverheid;2012;32.1;38.9;26.1;34.5;14.3;29.0;8.7;17.1;13.2;19.5;2.8;20.7;40.1;2.8;72.4;69.5;63.3;77.9;59.6;3.1;4.6;9.6;0.8;0.7;9.4;9.4;0.3;0.7;2.8;7.6;16700;9.4;2.9;6.4;6.3;5.4;7.3;1.2;0.9;11.8;12.0;31.9;15.4;7.0;13.5;76.7;80.7;62.7;61.7
17;F Bouwnijverheid;2013;31.7;42.3;27.5;31.1;17.8;28.1;8.5;18.5;11.9;18.5;12.3;22.1;37.0;2.8;69.0;68.8;63.8;76.2;54.5;3.2;5.3;9.8;1.4;0.7;9.8;12.3;1.0;0.5;2.6;7.1;14700;8.2;3.7;4.5;4.3;3.3;7.1;0.7;0.4;10.4;8.5;27.1;14.3;4.8;12.5;72.3;80.3;62.9;61.9
18;G-N Commerciële dienstverlening;2011;34.7;40.6;26.4;18.3;5.5;9.0;2.6;13.7;8.4;7.4;5.1;8.8;38.3;4.1;59.2;62.8;59.8;64.5;51.3;5.2;7.2;11.1;3.8;2.1;18.5;10.5;2.3;0.8;6.3;8.4;10900;6.3;3.2;3.1;2.9;2.4;4.5;1.3;0.4;12.6;12.0;26.3;16.6;8.5;12.8;72.4;75.3;62.2;61.4
19;G-N Commerciële dienstverlening;2012;34.2;38.9;26.9;18.9;5.7;8.1;3.1;13.3;8.4;7.1;3.6;8.0;39.2;4.0;58.4;61.3;58.3;64.1;52.0;4.3;6.2;9.9;4.1;2.1;17.4;10.4;2.6;0.7;6.0;7.6;11800;6.0;3.1;2.9;2.7;2.0;4.4;1.1;0.4;12.9;12.8;28.5;17.5;8.6;12.7;74.6;75.7;62.2;62.1
20;G-N Commerciële dienstverlening;2013;35.7;41.3;28.1;18.8;6.0;8.9;2.9;13.7;9.0;7.6;6.6;8.7;39.7;4.0;57.9;60.4;57.4;63.9;51.5;4.9;7.0;10.6;4.0;2.1;18.2;10.3;2.2;0.7;5.5;7.9;11500;6.0;3.0;3.0;2.7;2.1;4.4;1.0;0.5;11.9;11.6;25.5;15.9;8.1;12.2;71.6;74.6;62.4;61.8
21;G-I Handel, vervoer en horeca;2011;33.9;37.4;24.7;25.9;6.5;11.8;2.6;16.3;9.4;8.8;6.3;10.6;43.6;2.9;52.3;55.0;54.5;56.6;44.3;4.9;6.6;11.3;4.7;2.1;21.7;10.7;2.9;0.9;8.0;9.1;14100;8.0;4.2;3.8;3.6;2.8;5.8;1.4;0.7;12.0;11.1;24.7;15.6;8.5;12.6;70.9;75.1;61.5;60.2
22;G-I Handel, vervoer en horeca;2012;34.4;36.4;25.4;26.1;6.3;10.0;3.7;14.9;9.1;7.5;4.1;9.8;43.3;2.9;52.4;53.9;53.1;57.7;46.7;4.0;4.8;9.2;5.7;2.4;20.1;11.2;3.1;0.8;7.2;8.4;13700;7.5;4.0;3.5;3.1;2.4;5.5;1.3;0.6;12.0;11.5;27.0;16.2;8.3;12.7;73.6;75.3;61.4;60.9
23;G-I Handel, vervoer en horeca;2013;34.6;37.4;26.2;26.4;6.4;11.1;2.8;15.2;10.3;8.6;7.9;10.2;45.0;2.8;50.9;52.1;50.9;56.8;44.5;4.0;5.8;9.9;5.4;2.1;21.5;11.0;2.7;1.1;6.9;8.5;13600;7.2;3.8;3.4;3.1;2.4;5.5;1.1;0.6;11.2;10.3;24.3;15.3;7.6;12.4;70.4;74.2;61.6;60.4
24;G Handel;2011;32.1;37.8;24.3;26.0;5.4;9.9;2.0;10.4;7.7;7.9;5.6;10.5;41.6;3.2;53.3;58.0;57.4;58.2;46.2;4.7;5.8;10.9;4.2;2.0;21.9;9.5;1.9;0.7;6.8;8.3;11800;6.7;3.5;3.3;3.1;2.5;4.8;1.3;0.5;11.8;10.7;24.7;15.4;8.5;12.4;71.6;74.7;61.1;60.4
25;G Handel;2012;32.2;36.8;25.0;25.5;4.8;8.9;2.6;9.9;7.5;7.0;3.7;10.0;42.2;3.1;55.2;58.1;56.8;60.1;49.1;3.9;4.3;9.0;4.9;1.9;20.5;10.6;2.5;0.7;6.3;8.1;12100;6.3;3.4;2.9;2.7;1.9;4.5;1.3;0.4;12.0;11.4;26.6;16.1;8.2;12.0;74.4;76.0;61.1;61.5
26;G Handel;2013;32.1;37.1;25.0;26.3;4.6;9.7;2.0;9.7;8.2;8.1;7.7;9.9;45.0;3.1;53.6;55.2;54.5;58.5;46.5;3.5;5.0;9.6;5.4;2.0;20.7;10.6;1.8;0.9;5.7;8.5;11100;5.8;2.9;2.9;2.6;1.9;4.5;0.9;0.4;11.2;10.1;23.4;15.1;7.1;12.3;72.0;75.3;61.2;60.9
27;H Vervoer en opslag;2011;29.3;32.0;20.2;24.3;10.0;22.1;5.2;6.3;3.0;12.6;6.2;10.5;46.7;2.9;53.9;48.0;53.3;54.3;43.2;6.0;7.2;10.3;3.2;1.7;21.0;13.8;4.5;0.5;10.7;11.0;12900;8.1;3.4;4.7;4.6;3.8;4.8;2.0;1.3;12.2;11.7;26.2;16.7;7.2;12.6;68.4;76.0;62.7;62.1
28;H Vervoer en opslag;2012;26.9;30.2;19.7;25.4;9.2;19.0;6.9;4.7;2.2;11.2;4.4;10.5;44.1;3.1;49.4;45.0;49.9;54.5;42.8;5.0;6.5;8.4;4.3;2.8;19.5;13.6;4.5;1.1;10.5;9.8;12500;8.3;3.3;5.0;4.6;3.9;5.8;1.6;0.8;11.7;11.4;28.8;16.5;7.5;13.7;72.2;76.1;63.1;62.7
29;H Vervoer en opslag;2013;31.6;35.0;23.2;24.8;10.7;20.5;6.7;6.0;4.2;10.8;7.8;10.0;45.1;3.0;49.3;44.2;48.7;56.9;41.5;6.2;9.4;10.5;2.9;1.8;21.8;13.2;4.5;0.3;9.9;9.3;15100;7.7;3.5;4.2;4.0;3.5;5.2;1.8;0.7;10.9;10.3;26.8;15.4;8.8;12.2;69.1;73.7;63.5;62.8
30;I Horeca;2011;47.5;42.0;31.9;27.4;7.4;7.5;2.0;54.0;24.6;7.9;9.5;11.1;48.7;1.6;45.6;50.8;43.1;52.6;37.3;4.5;9.5;14.0;9.0;2.9;22.0;11.9;4.9;2.6;9.8;10.4;25600;13.2;8.3;4.8;4.4;3.3;11.0;1.2;0.6;12.7;12.0;22.5;15.0;9.7;13.4;70.8;75.6;61.7;56.7
31;I Horeca;2012;52.3;41.6;33.8;29.4;9.5;4.1;4.7;47.9;24.3;5.5;5.8;8.2;47.0;1.7;44.0;46.5;41.0;51.3;41.2;3.7;5.1;10.7;11.0;3.9;18.9;11.0;3.6;0.7;6.9;7.9;21700;11.3;7.1;4.2;3.3;2.5;9.5;1.0;0.8;12.4;12.3;26.5;16.3;9.5;14.2;71.8;71.6;60.1;56.1
32;I Horeca;2013;48.1;41.1;34.7;28.1;8.7;6.3;1.9;48.0;26.0;8.5;8.4;12.0;45.0;1.2;41.6;48.3;38.6;50.0;39.7;3.8;5.1;10.3;8.0;3.0;24.4;10.0;4.2;2.8;8.8;7.7;22200;12.4;7.7;4.7;4.2;3.2;9.8;1.0;1.5;11.7;10.9;25.1;15.7;8.1;12.8;65.8;70.2;60.9;55.1
33;J Informatie en communicatie;2011;38.2;49.1;33.1;2.9;2.8;1.0;0.4;1.4;0.8;1.2;0.9;2.4;27.5;6.9;78.7;77.8;71.0;85.9;66.8;5.5;7.6;14.5;2.0;2.0;9.6;11.3;0.6;0.4;4.0;8.2;3400;2.7;0.7;2.0;1.8;1.4;1.4;1.2;0.0;14.5;14.6;32.5;20.6;11.1;13.4;77.0;78.1;63.3;63.4
34;J Informatie en communicatie;2012;36.7;42.2;29.0;2.9;1.2;0.5;0.2;2.5;1.5;1.8;0.7;1.7;31.6;6.9;75.7;77.2;70.2;84.5;61.6;4.2;7.5;14.6;2.0;1.8;10.3;10.2;0.4;0.3;1.7;6.1;10800;2.4;0.7;1.7;1.2;1.1;1.7;0.3;0.3;13.6;12.8;32.3;20.1;7.1;10.3;77.2;78.4;63.4;64.1
35;J Informatie en communicatie;2013;42.1;45.5;33.3;1.6;1.3;1.1;0.2;2.8;2.0;1.7;1.2;2.6;29.9;7.0;78.9;81.8;73.6;87.9;67.8;5.3;7.2;12.5;1.2;1.6;8.9;9.2;0.4;0.0;3.8;5.0;1800;1.4;0.7;0.8;0.8;0.8;0.6;0.6;0.2;12.5;13.2;28.7;16.9;9.4;11.1;77.8;79.4;63.3;64.6
36;"K-L Financiële diensten; onroerend goed";2011;35.3;46.8;30.0;1.4;0.8;0.8;0.2;3.2;1.9;1.7;2.0;1.6;27.6;6.4;72.9;80.7;71.1;77.9;63.3;5.0;7.8;9.7;2.2;2.4;18.9;8.9;1.1;0.1;2.9;6.2;900;1.0;0.3;0.7;0.7;0.7;0.3;0.6;0.2;12.6;14.1;28.1;17.6;7.4;10.8;81.8;79.8;63.0;64.0
37;"K-L Financiële diensten; onroerend goed";2012;36.1;47.4;32.0;2.3;1.2;1.9;0.4;3.4;2.5;2.5;1.7;1.9;27.4;6.2;73.7;81.1;71.6;78.0;67.3;4.8;9.2;10.5;1.0;1.5;18.5;8.5;1.2;0.2;3.7;4.7;2200;1.7;0.8;0.9;0.9;0.6;1.2;0.4;0.0;12.1;14.0;31.2;16.0;8.1;11.2;83.4;81.9;62.9;64.7
38;"K-L Financiële diensten; onroerend goed";2013;41.0;49.9;34.5;1.9;1.7;1.5;0.5;2.2;2.2;2.2;1.8;1.2;26.0;6.3;71.1;78.8;70.4;77.5;62.2;5.0;9.1;12.9;2.2;1.9;18.8;10.9;1.1;0.2;2.8;6.6;3900;2.2;0.9;1.2;1.2;1.1;1.3;0.7;0.1;12.6;13.7;26.0;16.0;8.8;11.1;79.2;79.2;62.9;63.5
39;M-N Zakelijke dienstverlening;2011;35.1;42.4;26.8;14.3;5.9;8.6;3.9;15.1;10.2;8.2;5.0;9.2;35.1;4.9;62.6;66.9;62.8;69.1;55.9;5.5;8.0;10.7;3.2;2.0;14.9;10.7;2.1;0.9;4.9;8.0;10200;6.0;3.0;3.1;2.7;2.3;4.3;1.4;0.2;13.4;12.3;27.1;17.3;8.5;13.6;71.1;73.8;62.8;61.9
40;M-N Zakelijke dienstverlening;2012;32.9;39.7;27.4;15.3;7.0;8.6;3.6;15.9;10.5;8.8;4.0;8.1;37.9;4.6;60.1;64.1;60.2;66.4;53.9;4.7;7.2;9.9;2.6;2.0;14.1;9.6;2.8;0.9;5.4;7.4;12000;5.7;2.9;2.8;2.7;1.9;4.2;1.1;0.3;14.5;14.5;29.5;19.7;9.7;13.6;73.0;73.8;62.9;62.5
41;M-N Zakelijke dienstverlening;2013;34.6;44.3;28.2;14.7;7.7;9.1;4.4;16.9;10.4;8.9;7.1;9.8;37.0;4.6;61.4;64.4;61.0;66.8;56.7;6.3;8.4;10.5;2.8;2.1;14.3;9.2;1.9;0.3;4.3;7.8;12400;6.0;2.8;3.2;3.0;2.1;4.3;1.0;0.6;12.6;12.9;26.7;16.6;8.3;12.4;69.8;72.8;63.4;62.6
42;O-U Niet-commerciële dienstverlening;2011;30.0;43.6;27.0;18.0;3.4;3.9;3.3;21.3;10.3;5.3;10.7;11.0;27.9;3.8;62.2;63.5;55.7;72.1;41.9;13.2;21.6;17.4;8.6;1.4;26.8;11.5;13.4;0.3;8.0;6.2;13400;6.4;3.7;2.7;2.4;2.1;3.6;2.0;0.7;12.8;14.0;27.4;14.4;11.4;10.8;75.7;81.8;63.0;62.2
43;O-U Niet-commerciële dienstverlening;2012;28.3;41.6;26.4;19.0;3.5;4.0;4.5;21.4;11.0;4.6;10.2;10.2;27.7;3.7;60.2;61.8;52.9;70.0;41.1;11.1;19.6;15.9;9.4;1.6;27.2;10.9;14.4;0.5;7.8;6.3;13700;6.9;4.0;2.9;2.7;2.0;3.9;2.3;0.7;13.5;14.8;29.8;15.5;11.4;11.2;77.3;81.9;63.3;62.0
44;O-U Niet-commerciële dienstverlening;2013;29.2;43.4;28.2;16.9;3.5;4.0;3.8;22.1;10.8;7.2;10.2;10.3;26.8;3.7;59.9;61.7;52.9;71.1;40.7;13.3;21.5;16.6;8.9;1.6;27.0;10.5;14.1;0.3;7.7;5.3;11600;6.3;4.1;2.2;2.1;1.8;3.7;1.8;0.7;12.8;14.4;28.3;14.4;10.8;11.1;74.7;81.3;63.6;62.3
45;O-Q Overheid en zorg;2011;30.2;44.3;27.4;18.3;3.1;3.4;3.5;20.9;10.1;4.8;11.0;10.8;26.9;3.8;61.4;63.0;54.7;72.2;40.8;13.6;22.6;17.4;8.9;1.3;28.0;11.5;14.6;0.2;8.3;6.1;13500;6.5;3.8;2.7;2.5;2.2;3.5;2.1;0.8;13.0;14.2;28.0;14.4;11.6;10.8;75.8;82.0;63.0;62.1
46;O-Q Overheid en zorg;2012;28.5;42.2;26.7;19.3;3.2;3.6;4.7;21.0;10.7;4.2;10.7;10.2;26.8;3.7;60.0;61.9;52.6;70.7;40.2;11.7;20.6;16.0;9.8;1.6;28.2;10.9;15.7;0.5;7.9;6.2;14500;7.0;4.2;2.8;2.7;2.0;3.8;2.5;0.7;13.6;15.0;30.2;15.5;11.4;11.0;77.2;82.4;63.3;62.2
47;O-Q Overheid en zorg;2013;29.9;44.7;29.0;17.3;2.9;3.8;3.9;21.6;10.7;6.9;10.5;10.2;26.0;3.8;59.2;61.7;52.1;71.6;39.5;13.9;22.7;16.9;9.3;1.5;27.9;10.8;15.4;0.3;8.1;5.4;12100;6.4;4.3;2.1;2.1;1.8;3.8;1.9;0.7;13.3;14.9;29.0;14.7;11.4;11.1;74.8;81.3;63.6;62.4
48;O Openbaar bestuur en overheidsdiensten;2011;26.9;38.9;20.0;7.0;2.5;5.0;8.4;4.6;2.1;3.1;4.5;5.4;26.9;5.4;71.0;75.1;68.0;79.2;66.4;9.6;14.0;10.5;2.5;1.5;25.9;12.9;9.4;0.5;8.3;7.7;10800;6.1;2.9;3.2;2.9;2.3;3.1;2.1;1.0;11.6;12.5;27.2;14.6;9.1;9.9;78.4;81.8;62.8;62.9
49;O Openbaar bestuur en overheidsdiensten;2012;26.1;37.6;22.7;7.8;4.3;5.9;10.8;5.0;2.6;5.0;3.8;6.6;27.3;5.3;68.7;73.1;64.8;77.9;64.4;8.5;13.8;10.1;3.7;2.6;25.8;11.6;11.5;1.1;8.1;6.1;12800;6.9;3.3;3.6;3.4;2.8;3.7;2.5;0.6;12.4;12.9;29.6;16.9;9.6;10.0;77.8;80.9;62.9;62.8
50;O Openbaar bestuur en overheidsdiensten;2013;27.4;41.7;23.8;8.3;3.3;6.9;10.4;6.7;2.9;5.2;4.8;6.0;25.7;5.4;68.8;73.0;66.9;78.6;64.8;11.2;14.7;11.0;3.0;2.3;24.8;12.8;10.1;0.5;8.2;7.7;10400;6.4;3.9;2.5;2.5;2.2;4.1;1.7;0.6;12.3;13.4;27.7;15.3;9.5;10.5;78.4;80.1;63.3;63.1
51;P Onderwijs;2011;28.9;52.2;35.0;3.2;4.9;1.3;0.4;5.0;3.6;3.5;5.6;3.0;13.3;3.9;66.3;63.1;54.2;78.8;22.5;11.7;22.3;26.3;3.0;1.5;22.6;12.0;6.1;0.1;9.9;5.4;6800;3.3;1.7;1.6;1.5;1.3;1.5;1.4;0.4;18.1;18.5;35.4;18.4;16.8;14.2;75.7;82.8;63.6;63.4
52;P Onderwijs;2012;29.8;52.4;35.8;3.8;4.2;1.0;0.7;5.3;3.6;2.1;5.3;3.8;12.7;3.9;66.8;63.1;50.9;79.2;21.1;9.7;21.4;25.0;2.3;1.6;22.7;10.8;7.0;0.3;9.6;5.9;9500;5.0;2.5;2.4;2.4;1.7;2.2;2.4;0.3;19.4;20.1;39.0;19.8;17.1;15.0;76.7;82.9;63.9;63.4
53;P Onderwijs;2013;31.6;56.3;38.8;3.5;4.4;1.6;0.5;5.4;4.1;3.7;5.3;4.1;12.7;4.1;66.8;63.9;51.8;80.1;20.4;10.9;22.6;24.2;3.0;1.6;21.8;11.2;6.4;0.2;8.6;4.8;5700;3.5;2.1;1.4;1.3;1.2;1.6;1.7;0.3;18.5;20.6;37.5;18.5;17.3;13.8;72.0;80.9;64.0;63.3
54;Q Gezondheids- en welzijnszorg;2011;32.1;43.3;27.4;29.1;2.7;3.6;2.7;34.1;16.1;6.1;15.9;16.2;32.4;3.0;55.4;57.9;49.4;66.5;37.5;16.1;26.3;16.7;13.9;1.2;31.0;10.7;20.2;0.2;7.6;5.8;17400;8.0;5.1;2.9;2.8;2.6;4.6;2.5;0.8;11.5;13.3;25.3;12.7;10.6;9.9;74.8;81.8;62.9;61.1
55;Q Gezondheids- en welzijnszorg;2012;29.0;40.0;24.7;29.8;2.3;3.8;3.9;33.7;16.8;4.6;15.6;14.2;32.2;3.0;53.8;57.0;48.5;64.6;38.1;13.7;23.0;14.8;15.2;1.2;31.3;10.6;20.7;0.3;7.2;6.3;17100;7.9;5.2;2.7;2.5;1.7;4.4;2.5;0.9;11.8;13.8;27.0;13.2;9.9;9.8;77.2;82.7;63.1;61.3
56;Q Gezondheids- en welzijnszorg;2013;30.3;41.5;27.3;26.0;2.3;3.4;2.8;33.6;16.2;8.8;14.7;14.2;31.1;3.0;52.7;56.5;46.5;65.6;37.1;16.1;25.8;16.3;14.1;1.2;31.5;9.8;20.9;0.2;7.9;4.7;15200;7.5;5.2;2.3;2.2;1.8;4.5;2.0;1.0;11.6;13.4;26.3;13.0;9.9;10.4;74.5;82.0;63.6;61.6
