ID;RegioS;Kiesgerechtigden_1;Opkomstpercentage_2;TotaalStemmen_3;GeldigeStemmen_4;OngeldigeStemmen_5;CDA_6;CD_7;EP_8;D66_9;EVPN_10;GL_11;LijstSala_12;PvdA_13;SP_14;SGPGPVRPF_15;VVD_16;CDA_17;CD_18;EP_19;D66_20;EVPN_21;GL_22;LijstSala_23;PvdA_24;SP_25;SGPGPVRPF_26;VVD_27;Gemeente_28;Landsdeel_29;Provincie_30;COROPGebied_31;Kamerkieskring_32
13;Almere;94600;23.9;22587;22476;111;2487;129;248;1819;127;3537;144;5832;1135;803;6215;11.1;0.6;1.1;8.1;0.6;15.7;0.6;25.9;5.0;3.6;27.7;0034;2;24;40;05
14;Alphen aan den Rijn;51342;28.7;14756;14709;47;3320;90;107;963;81;1641;56;2531;861;1537;3522;22.6;0.6;0.7;6.5;0.6;11.2;0.4;17.2;5.9;10.4;23.9;0484;3;28;28;15
15;Alphen-Chaam;7122;32.9;2340;2333;7;1126;16;9;82;2;184;2;301;71;10;530;48.3;0.7;0.4;3.5;0.1;7.9;0.1;12.9;3.0;0.4;22.7;1723;4;30;34;17
16;Ambt Delden;4012;41.2;1653;1642;11;1140;5;6;33;12;50;0;106;26;6;258;69.4;0.3;0.4;2.0;0.7;3.0;0.0;6.5;1.6;0.4;15.7;0142;2;23;12;04
17;Ambt Montfort;8656;30.9;2675;2645;30;1577;16;16;68;18;196;1;353;93;9;298;59.6;0.6;0.6;2.6;0.7;7.4;0.0;13.3;3.5;0.3;11.3;1679;4;31;38;19
18;Ameland;2657;47.0;1249;1247;2;471;2;6;40;2;88;5;330;34;24;245;37.8;0.2;0.5;3.2;0.2;7.1;0.4;26.5;2.7;1.9;19.6;0060;1;21;04;02
19;Amerongen;5488;35.9;1969;1964;5;507;3;17;119;3;145;4;221;58;436;451;25.8;0.2;0.9;6.1;0.2;7.4;0.2;11.3;3.0;22.2;23.0;0306;3;26;17;08
20;Amersfoort;91160;32.6;29691;29586;105;5789;77;146;2038;73;4868;75;5484;1326;3801;5909;19.6;0.3;0.5;6.9;0.2;16.5;0.3;18.5;4.5;12.8;20.0;0307;3;26;17;08
21;Amstelveen;58837;35.2;20732;20732;0;3534;107;176;1778;121;3046;106;4185;630;570;6479;17.0;0.5;0.8;8.6;0.6;14.7;0.5;20.2;3.0;2.7;31.3;0362;3;27;23;10
22;Amsterdam;527116;25.3;133272;131874;1398;11957;946;952;11938;684;32469;2669;35921;9431;2021;22886;9.1;0.7;0.7;9.1;0.5;24.6;2.0;27.2;7.2;1.5;17.4;0363;3;27;23;09
23;Andijk;4694;30.1;1412;1410;2;439;8;9;36;3;114;2;243;60;236;260;31.1;0.6;0.6;2.6;0.2;8.1;0.1;17.2;4.3;16.7;18.4;0364;3;27;18;11
24;Angerlo;3709;30.5;1131;1128;3;442;2;12;54;6;100;0;243;54;9;206;39.2;0.2;1.1;4.8;0.5;8.9;0.0;21.5;4.8;0.8;18.3;0199;2;25;15;07
25;Anna Paulowna;10181;26.5;2703;2689;14;737;12;27;142;22;216;8;516;72;83;854;27.4;0.4;1.0;5.3;0.8;8.0;0.3;19.2;2.7;3.1;31.8;0366;3;27;18;11
26;Apeldoorn;117410;31.7;37232;37148;84;8988;155;212;2024;108;4188;82;7937;1281;4100;8073;24.2;0.4;0.6;5.4;0.3;11.3;0.2;21.4;3.4;11.0;21.7;0200;2;25;13;07
27;Appingedam;9692;26.8;2597;2592;5;720;8;30;103;8;163;8;873;146;169;364;27.8;0.3;1.2;4.0;0.3;6.3;0.3;33.7;5.6;6.5;14.0;0003;1;20;02;01
28;Arcen en Velden;6739;34.2;2307;2291;16;1353;8;15;76;5;154;0;290;52;18;320;59.1;0.3;0.7;3.3;0.2;6.7;0.0;12.7;2.3;0.8;14.0;0885;4;31;37;19
29;Arnhem;105427;28.0;29567;29360;207;5560;156;187;2041;84;5547;66;7080;2202;1062;5375;18.9;0.5;0.6;7.0;0.3;18.9;0.2;24.1;7.5;3.6;18.3;0202;2;25;15;07
30;Assen;43067;34.9;15010;14970;40;2901;55;123;812;21;1724;25;4142;699;2119;2349;19.4;0.4;0.8;5.4;0.1;11.5;0.2;27.7;4.7;14.2;15.7;0106;1;22;07;03
31;Asten;11749;36.6;4298;4280;18;1641;15;19;162;3;369;5;495;162;15;1394;38.3;0.4;0.4;3.8;0.1;8.6;0.1;11.6;3.8;0.4;32.6;0743;4;30;36;18
32;Avereest;11463;35.7;4098;4086;12;1656;12;13;110;11;214;5;789;109;472;695;40.5;0.3;0.3;2.7;0.3;5.2;0.1;19.3;2.7;11.6;17.0;0143;2;23;10;04
33;Axel;8995;28.8;2589;2571;18;665;18;12;349;16;151;3;434;61;518;344;25.9;0.7;0.5;13.6;0.6;5.9;0.1;16.9;2.4;20.1;13.4;0650;3;29;31;16
34;Baarle-Nassau;4627;32.9;1524;1518;6;854;11;6;76;1;102;4;177;38;11;238;56.3;0.7;0.4;5.0;0.1;6.7;0.3;11.7;2.5;0.7;15.7;0744;4;30;34;17
35;Baarn;18501;37.2;6886;6870;16;1427;29;46;473;23;877;24;1056;269;622;2024;20.8;0.4;0.7;6.9;0.3;12.8;0.3;15.4;3.9;9.1;29.5;0308;3;26;17;08
36;Barendrecht;20007;32.6;6530;6516;14;1624;31;26;340;26;610;10;946;208;1333;1362;24.9;0.5;0.4;5.2;0.4;9.4;0.2;14.5;3.2;20.5;20.9;0489;3;28;29;14
37;Barneveld;33164;39.3;13022;13012;10;3658;44;49;261;16;530;15;890;178;5567;1804;28.1;0.3;0.4;2.0;0.1;4.1;0.1;6.8;1.4;42.8;13.9;0203;2;25;13;07
38;Bathmen;4031;39.8;1603;1598;5;372;6;6;86;3;169;4;371;34;25;522;23.3;0.4;0.4;5.4;0.2;10.6;0.3;23.2;2.1;1.6;32.7;0144;2;23;11;04
39;Bedum;7934;45.6;3616;3599;17;1273;6;21;138;7;266;2;668;84;792;342;35.4;0.2;0.6;3.8;0.2;7.4;0.1;18.6;2.3;22.0;9.5;0005;1;20;03;01
40;Beek;13201;30.2;3991;3969;22;1882;18;19;174;24;455;9;548;160;17;663;47.4;0.5;0.5;4.4;0.6;11.5;0.2;13.8;4.0;0.4;16.7;0888;4;31;39;19
41;Beemster;6379;32.6;2078;2069;9;371;5;26;112;4;217;11;507;83;32;701;17.9;0.2;1.3;5.4;0.2;10.5;0.5;24.5;4.0;1.5;33.9;0370;3;27;23;11
42;Beesel;9881;26.8;2653;2641;12;1427;45;8;76;6;226;6;400;79;16;352;54.0;1.7;0.3;2.9;0.2;8.6;0.2;15.1;3.0;0.6;13.3;0889;4;31;37;19
43;Belfeld;4085;25.3;1035;1031;4;561;11;4;28;0;76;0;158;28;1;164;54.4;1.1;0.4;2.7;0.0;7.4;0.0;15.3;2.7;0.1;15.9;0890;4;31;37;19
44;Bellingwedde;7505;33.1;2481;2458;23;421;22;15;85;2;237;4;987;144;76;465;17.1;0.9;0.6;3.5;0.1;9.6;0.2;40.2;5.9;3.1;18.9;0007;1;20;01;01
45;Bemmel;13429;25.6;3437;3422;15;1332;14;9;225;5;319;5;744;115;30;624;38.9;0.4;0.3;6.6;0.1;9.3;0.1;21.7;3.4;0.9;18.2;0206;2;25;15;07
46;Bennebroek;4029;42.4;1709;1699;10;506;2;5;106;10;179;4;217;30;47;593;29.8;0.1;0.3;6.2;0.6;10.5;0.2;12.8;1.8;2.8;34.9;0372;3;27;21;10
47;Bergambacht;6865;41.7;2864;2860;4;458;8;15;110;2;154;6;616;49;867;575;16.0;0.3;0.5;3.8;0.1;5.4;0.2;21.5;1.7;30.3;20.1;0491;3;28;28;15
48;Bergeijk;13481;28.9;3897;3887;10;1874;23;18;215;11;299;12;566;128;35;706;48.2;0.6;0.5;5.5;0.3;7.7;0.3;14.6;3.3;0.9;18.2;1724;4;30;36;18
49;Bergen;10066;26.2;2642;2625;17;1502;9;12;72;12;177;3;410;78;6;344;57.2;0.3;0.5;2.7;0.5;6.7;0.1;15.6;3.0;0.2;13.1;0893;4;31;37;19
50;Bergen;10730;38.9;4171;4138;33;743;18;35;345;13;604;14;815;112;48;1391;18.0;0.4;0.8;8.3;0.3;14.6;0.3;19.7;2.7;1.2;33.6;0373;3;27;19;11
51;Bergen op Zoom;47960;24.6;11800;11767;33;3248;116;102;1120;36;1385;26;2141;650;167;2776;27.6;1.0;0.9;9.5;0.3;11.8;0.2;18.2;5.5;1.4;23.6;0748;4;30;33;17
52;Bergh;14161;26.3;3719;3713;6;1768;26;12;148;13;258;5;671;91;43;678;47.6;0.7;0.3;4.0;0.4;6.9;0.1;18.1;2.5;1.2;18.3;0207;2;25;14;07
53;Bergschenhoek;8566;31.8;2720;2709;11;758;20;27;126;13;220;2;375;88;328;752;28.0;0.7;1.0;4.7;0.5;8.1;0.1;13.8;3.2;12.1;27.8;0492;3;28;29;15
54;Berkel en Rodenrijs;12253;34.9;4282;4263;19;1399;25;21;210;16;404;5;450;92;729;912;32.8;0.6;0.5;4.9;0.4;9.5;0.1;10.6;2.2;17.1;21.4;0493;3;28;29;15
55;Bernheze;21267;28.7;6100;6083;17;3033;27;28;223;23;404;6;821;646;31;841;49.9;0.4;0.5;3.7;0.4;6.6;0.1;13.5;10.6;0.5;13.8;1721;4;30;35;18
56;Bernisse;9814;26.2;2576;2568;8;672;14;25;148;13;186;10;558;80;193;669;26.2;0.5;1.0;5.8;0.5;7.2;0.4;21.7;3.1;7.5;26.1;0568;3;28;29;14
57;Best;18915;28.4;5378;5351;27;1831;35;44;318;15;557;13;910;276;155;1197;34.2;0.7;0.8;5.9;0.3;10.4;0.2;17.0;5.2;2.9;22.4;0753;4;30;36;18
58;Beuningen;18441;26.0;4801;4779;22;1478;20;23;288;14;638;14;1028;270;56;950;30.9;0.4;0.5;6.0;0.3;13.4;0.3;21.5;5.6;1.2;19.9;0209;2;25;15;06
59;Beverwijk;27476;24.5;6740;6714;26;1585;69;70;329;77;928;41;1904;341;134;1236;23.6;1.0;1.0;4.9;1.1;13.8;0.6;28.4;5.1;2.0;18.4;0375;3;27;20;10
60;het Bildt;7675;36.0;2760;2749;11;1212;7;21;53;0;234;2;635;118;98;369;44.1;0.3;0.8;1.9;0.0;8.5;0.1;23.1;4.3;3.6;13.4;0063;1;21;04;02
61;De Bilt;25510;41.2;10502;10480;22;1791;18;34;973;35;1489;29;1661;435;659;3356;17.1;0.2;0.3;9.3;0.3;14.2;0.3;15.8;4.2;6.3;32.0;0310;3;26;17;08
62;Binnenmaas;14844;33.4;4954;4941;13;1006;39;33;243;21;447;3;959;166;740;1284;20.4;0.8;0.7;4.9;0.4;9.0;0.1;19.4;3.4;15.0;26.0;0585;3;28;29;14
63;Bladel;14413;29.5;4256;4230;26;2035;7;19;235;5;348;4;610;213;21;733;48.1;0.2;0.4;5.6;0.1;8.2;0.1;14.4;5.0;0.5;17.3;1728;4;30;36;18
64;Blaricum;7476;37.7;2819;2809;10;430;9;15;232;21;343;10;440;84;67;1158;15.3;0.3;0.5;8.3;0.7;12.2;0.4;15.7;3.0;2.4;41.2;0376;3;27;24;10
65;Bleiswijk;7100;35.0;2485;2472;13;741;9;23;136;9;199;2;296;46;316;695;30.0;0.4;0.9;5.5;0.4;8.1;0.1;12.0;1.9;12.8;28.1;0495;3;28;29;15
66;Bloemendaal;12876;45.4;5845;5833;12;1065;15;28;484;29;580;17;719;105;133;2658;18.3;0.3;0.5;8.3;0.5;9.9;0.3;12.3;1.8;2.3;45.6;0377;3;27;21;10
67;Boarnsterhim;13837;36.4;5038;5025;13;978;10;34;204;10;549;5;1793;229;88;1125;19.5;0.2;0.7;4.1;0.2;10.9;0.1;35.7;4.6;1.8;22.4;0055;1;21;04;02
68;Bodegraven;14052;32.8;4606;4590;16;1413;14;34;215;21;330;10;589;84;1050;830;30.8;0.3;0.7;4.7;0.5;7.2;0.2;12.8;1.8;22.9;18.1;0497;3;28;28;15
69;Boekel;6897;32.1;2211;2201;10;1296;6;9;75;8;142;3;284;113;10;255;58.9;0.3;0.4;3.4;0.4;6.5;0.1;12.9;5.1;0.5;11.6;0755;4;30;35;18
70;Ten Boer;5238;44.9;2351;2348;3;626;10;16;97;2;155;1;535;69;597;240;26.7;0.4;0.7;4.1;0.1;6.6;0.0;22.8;2.9;25.4;10.2;0009;1;20;03;01
71;Bolsward;7177;31.1;2231;2225;6;980;4;20;48;8;238;8;438;127;91;263;44.0;0.2;0.9;2.2;0.4;10.7;0.4;19.7;5.7;4.1;11.8;0064;1;21;05;02
72;Borculo;7896;39.0;3077;3072;5;842;7;8;111;7;210;9;858;106;49;865;27.4;0.2;0.3;3.6;0.2;6.8;0.3;27.9;3.5;1.6;28.2;0211;2;25;14;07
73;Borger-Odoorn;20267;31.9;6462;6443;19;1521;22;37;264;8;476;11;2180;207;313;1404;23.6;0.3;0.6;4.1;0.1;7.4;0.2;33.8;3.2;4.9;21.8;1681;1;22;08;03
74;Born;11139;31.2;3477;3468;9;1914;23;12;119;39;301;9;543;111;15;382;55.2;0.7;0.3;3.4;1.1;8.7;0.3;15.7;3.2;0.4;11.0;0897;4;31;39;19
75;Borne;16845;31.3;5272;5255;17;2234;15;20;217;10;499;7;1028;245;99;881;42.5;0.3;0.4;4.1;0.2;9.5;0.1;19.6;4.7;1.9;16.8;0147;2;23;12;04
76;Borsele;16075;31.8;5105;5094;11;1351;30;16;268;33;355;9;652;167;1518;695;26.5;0.6;0.3;5.3;0.6;7.0;0.2;12.8;3.3;29.8;13.6;0654;3;29;32;16
77;Boskoop;11085;34.8;3859;3843;16;1134;27;36;171;24;399;11;414;124;549;954;29.5;0.7;0.9;4.4;0.6;10.4;0.3;10.8;3.2;14.3;24.8;0499;3;28;28;15
78;Boxmeer;21424;33.7;7227;7187;40;3238;23;32;260;12;548;9;1083;874;48;1060;45.1;0.3;0.4;3.6;0.2;7.6;0.1;15.1;12.2;0.7;14.7;0756;4;30;35;18
79;Boxtel;22056;27.6;6087;6053;34;2162;30;28;346;15;876;11;1054;555;72;904;35.7;0.5;0.5;5.7;0.2;14.5;0.2;17.4;9.2;1.2;14.9;0757;4;30;35;18
80;Breda;122506;25.5;31252;31132;120;8397;159;192;2207;91;4294;69;6053;2032;458;7180;27.0;0.5;0.6;7.1;0.3;13.8;0.2;19.4;6.5;1.5;23.1;0758;4;30;33;17
81;Brederwiede;9464;65.7;6218;6108;110;2196;19;30;223;12;305;15;1365;117;826;1000;36.0;0.3;0.5;3.7;0.2;5.0;0.2;22.3;1.9;13.5;16.4;0194;2;23;10;04
82;Breukelen;10704;38.3;4101;4080;21;1051;7;19;260;14;445;19;497;102;752;914;25.8;0.2;0.5;6.4;0.3;10.9;0.5;12.2;2.5;18.4;22.4;0311;3;26;17;08
83;Brielle;12239;27.2;3326;3317;9;649;12;29;213;19;363;11;749;152;112;1008;19.6;0.4;0.9;6.4;0.6;10.9;0.3;22.6;4.6;3.4;30.4;0501;3;28;29;14
84;Broekhuizen;1442;33.2;479;475;4;294;3;0;11;1;30;0;54;16;2;64;61.9;0.6;0.0;2.3;0.2;6.3;0.0;11.4;3.4;0.4;13.5;0898;4;31;37;19
85;Brummen;16347;32.2;5268;5243;25;1091;17;57;276;15;522;6;1613;200;145;1301;20.8;0.3;1.1;5.3;0.3;10.0;0.1;30.8;3.8;2.8;24.8;0213;2;25;14;07
86;Brunssum;23872;23.9;5706;5676;30;2212;95;15;161;17;424;11;1047;1039;107;548;39.0;1.7;0.3;2.8;0.3;7.5;0.2;18.4;18.3;1.9;9.7;0899;4;31;39;19
87;Bunnik;10549;42.8;4517;4504;13;1245;18;19;299;13;805;11;655;167;212;1060;27.6;0.4;0.4;6.6;0.3;17.9;0.2;14.5;3.7;4.7;23.5;0312;3;26;17;08
88;Bunschoten;13479;35.7;4814;4809;5;1101;17;4;51;10;128;7;213;41;2904;333;22.9;0.4;0.1;1.1;0.2;2.7;0.1;4.4;0.9;60.4;6.9;0313;3;26;17;08
89;Buren;18861;31.4;5918;5892;26;1117;34;26;279;9;457;7;1429;177;607;1750;19.0;0.6;0.4;4.7;0.2;7.8;0.1;24.3;3.0;10.3;29.7;0214;2;25;16;06
90;Bussum;23917;35.3;8448;8417;31;1567;35;52;721;45;1121;22;1512;257;353;2732;18.6;0.4;0.6;8.6;0.5;13.3;0.3;18.0;3.1;4.2;32.5;0381;3;27;24;10
91;Capelle aan den IJssel;48211;27.1;13062;13008;54;1842;67;102;897;66;1204;24;2772;544;2538;2952;14.2;0.5;0.8;6.9;0.5;9.3;0.2;21.3;4.2;19.5;22.7;0502;3;28;29;15
92;Castricum;17757;36.8;6537;6517;20;1270;23;56;512;37;1225;22;1426;234;100;1612;19.5;0.4;0.9;7.9;0.6;18.8;0.3;21.9;3.6;1.5;24.7;0383;3;27;20;11
93;Coevorden;26715;34.4;9188;9179;9;2693;28;42;343;21;679;22;2672;303;319;2057;29.3;0.3;0.5;3.7;0.2;7.4;0.2;29.1;3.3;3.5;22.4;0109;1;22;08;03
94;Cranendonck;15367;24.8;3809;3794;15;1672;27;25;144;10;309;8;608;182;36;773;44.1;0.7;0.7;3.8;0.3;8.1;0.2;16.0;4.8;0.9;20.4;1706;4;30;36;18
95;Cromstrijen;9901;28.0;2776;2771;5;562;28;20;155;16;253;7;630;110;437;553;20.3;1.0;0.7;5.6;0.6;9.1;0.3;22.7;4.0;15.8;20.0;0611;3;28;29;14
96;Cuijk;17737;27.3;4849;4832;17;1881;15;34;233;12;569;13;956;285;18;816;38.9;0.3;0.7;4.8;0.2;11.8;0.3;19.8;5.9;0.4;16.9;1684;4;30;35;18
97;Culemborg;17690;30.2;5335;5335;0;1052;41;26;353;16;800;7;1131;541;241;1127;19.7;0.8;0.5;6.6;0.3;15.0;0.1;21.2;10.1;4.5;21.1;0216;2;25;16;06
98;Dalfsen;12946;42.9;5553;5549;4;2555;11;28;154;4;274;1;641;115;1009;757;46.0;0.2;0.5;2.8;0.1;4.9;0.0;11.6;2.1;18.2;13.6;0148;2;23;10;04
99;Dantumadeel;14752;32.8;4835;4826;9;1939;16;18;84;6;297;3;860;141;1074;388;40.2;0.3;0.4;1.7;0.1;6.2;0.1;17.8;2.9;22.3;8.0;0065;1;21;04;02
100;Delft;72212;31.3;22595;22287;308;3882;84;151;1980;59;4283;73;5069;1160;1225;4321;17.4;0.4;0.7;8.9;0.3;19.2;0.3;22.7;5.2;5.5;19.4;0503;3;28;27;14
101;Delfzijl;22534;26.3;5923;5907;16;1596;28;65;226;10;344;5;1890;363;478;902;27.0;0.5;1.1;3.8;0.2;5.8;0.1;32.0;6.1;8.1;15.3;0010;1;20;02;01
102;Denekamp;9387;36.3;3411;3397;14;2273;9;15;71;0;142;2;424;75;22;364;66.9;0.3;0.4;2.1;0.0;4.2;0.1;12.5;2.2;0.6;10.7;0149;2;23;12;04
103;Deurne;23825;26.1;6209;6191;18;2738;40;24;256;14;581;14;837;312;55;1320;44.2;0.6;0.4;4.1;0.2;9.4;0.2;13.5;5.0;0.9;21.3;0762;4;30;36;18
104;Deventer;62578;30.0;18803;18755;48;3958;77;109;1152;33;3004;45;5085;874;672;3746;21.1;0.4;0.6;6.1;0.2;16.0;0.2;27.1;4.7;3.6;20.0;0150;2;23;11;04
105;Didam;12725;26.4;3357;3346;11;1646;15;13;131;7;283;5;612;151;27;456;49.2;0.4;0.4;3.9;0.2;8.5;0.1;18.3;4.5;0.8;13.6;0218;2;25;15;07
106;Diemen;17796;28.8;5119;5080;39;704;28;45;427;28;852;91;1220;251;103;1331;13.9;0.6;0.9;8.4;0.6;16.8;1.8;24.0;4.9;2.0;26.2;0384;3;27;23;10
107;Diepenheim;2184;39.3;859;852;7;191;1;5;36;10;94;2;253;36;11;213;22.4;0.1;0.6;4.2;1.2;11.0;0.2;29.7;4.2;1.3;25.0;0151;2;23;12;04
108;Dinxperlo;6285;31.2;1963;1956;7;1022;5;8;38;6;110;1;345;36;76;309;52.2;0.3;0.4;1.9;0.3;5.6;0.1;17.6;1.8;3.9;15.8;0219;2;25;14;07
109;Dirksland;6072;37.2;2257;2250;7;461;7;6;56;3;69;5;332;61;992;258;20.5;0.3;0.3;2.5;0.1;3.1;0.2;14.8;2.7;44.1;11.5;0504;3;28;29;14
110;Dodewaard;3265;29.1;950;946;4;220;2;2;27;0;81;2;219;34;198;161;23.3;0.2;0.2;2.9;0.0;8.6;0.2;23.2;3.6;20.9;17.0;0220;2;25;16;07
111;Doesburg;8564;32.3;2765;2749;16;594;10;12;183;3;301;3;699;389;102;453;21.6;0.4;0.4;6.7;0.1;10.9;0.1;25.4;14.2;3.7;16.5;0221;2;25;15;07
112;Doetinchem;35174;32.1;11293;11260;33;3240;46;55;564;25;1489;26;2650;594;608;1963;28.8;0.4;0.5;5.0;0.2;13.2;0.2;23.5;5.3;5.4;17.4;0222;2;25;14;07
113;Dongen;18795;28.0;5270;5262;8;1786;18;30;309;7;472;7;929;695;107;902;33.9;0.3;0.6;5.9;0.1;9.0;0.1;17.7;13.2;2.0;17.1;0766;4;30;34;17
114;Dongeradeel;18110;36.8;6669;6655;14;3566;19;40;152;5;445;6;920;256;632;614;53.6;0.3;0.6;2.3;0.1;6.7;0.1;13.8;3.8;9.5;9.2;0058;1;21;04;02
115;Doorn;8037;37.8;3039;3036;3;618;7;23;247;17;354;2;382;78;279;1029;20.4;0.2;0.8;8.1;0.6;11.7;0.1;12.6;2.6;9.2;33.9;0315;3;26;17;08
116;Dordrecht;88279;25.6;22623;22565;58;4630;252;122;1327;55;2851;43;5357;1123;2722;4083;20.5;1.1;0.5;5.9;0.2;12.6;0.2;23.7;5.0;12.1;18.1;0505;3;28;30;14
117;Drechterland;7224;26.1;1888;1874;14;578;10;19;88;4;224;3;411;63;31;443;30.8;0.5;1.0;4.7;0.2;12.0;0.2;21.9;3.4;1.7;23.6;0498;3;27;18;11
118;Driebergen-Rijsenburg;13948;40.8;5689;5677;12;1187;19;21;429;27;953;11;803;164;627;1436;20.9;0.3;0.4;7.6;0.5;16.8;0.2;14.1;2.9;11.0;25.3;0316;3;26;17;08
119;Drimmelen;20375;25.3;5148;5143;5;1839;21;87;328;16;398;14;1050;225;63;1102;35.8;0.4;1.7;6.4;0.3;7.7;0.3;20.4;4.4;1.2;21.4;1719;4;30;33;17
120;Dronten;24655;34.9;8610;8597;13;2498;33;42;355;28;683;27;1186;185;1016;2544;29.1;0.4;0.5;4.1;0.3;7.9;0.3;13.8;2.2;11.8;29.6;0303;2;24;40;05
121;Druten;12192;26.3;3210;3202;8;1150;18;15;161;4;308;2;791;157;23;573;35.9;0.6;0.5;5.0;0.1;9.6;0.1;24.7;4.9;0.7;17.9;0225;2;25;15;06
122;Duiven;17832;28.2;5021;5002;19;1537;12;26;292;15;623;7;1133;177;126;1054;30.7;0.2;0.5;5.8;0.3;12.5;0.1;22.7;3.5;2.5;21.1;0226;2;25;15;07
123;Echt;14729;30.5;4495;4483;12;2873;25;12;97;19;371;7;480;173;29;397;64.1;0.6;0.3;2.2;0.4;8.3;0.2;10.7;3.9;0.6;8.9;0902;4;31;38;19
124;Echteld;5086;34.2;1740;1740;0;263;7;3;37;7;54;5;438;36;514;376;15.1;0.4;0.2;2.1;0.4;3.1;0.3;25.2;2.1;29.5;21.6;0227;2;25;16;06
125;Edam-Volendam;20687;19.1;3944;3939;5;1400;23;50;166;26;457;25;709;105;68;910;35.5;0.6;1.3;4.2;0.7;11.6;0.6;18.0;2.7;1.7;23.1;0385;3;27;23;11
126;Ede;73827;39.6;29249;29143;106;6853;131;157;1156;82;2687;45;3580;669;8316;5467;23.5;0.4;0.5;4.0;0.3;9.2;0.2;12.3;2.3;28.5;18.8;0228;2;25;13;07
127;Eemnes;6181;33.9;2093;2082;11;475;7;3;135;9;282;15;353;59;144;600;22.8;0.3;0.1;6.5;0.4;13.5;0.7;17.0;2.8;6.9;28.8;0317;3;26;17;08
128;Eemsmond;12482;42.4;5288;5268;20;1562;24;39;117;8;442;11;1343;163;879;680;29.7;0.5;0.7;2.2;0.2;8.4;0.2;25.5;3.1;16.7;12.9;1651;1;20;03;01
129;Eersel;13402;33.0;4428;4416;12;2083;13;10;408;9;376;2;532;181;28;774;47.2;0.3;0.2;9.2;0.2;8.5;0.0;12.0;4.1;0.6;17.5;0770;4;30;36;18
130;Egmond;8823;27.7;2440;2428;12;622;14;17;154;16;296;11;537;86;35;640;25.6;0.6;0.7;6.3;0.7;12.2;0.5;22.1;3.5;1.4;26.4;0357;3;27;19;11
