ID;Migratieachtergrond;Persoonskenmerken;Perioden;MeerLandVanMigratie_1;ZowelLandVanMigAlsNederland_2;MeerNederland_3;Nee_4;SomsWelEnSomsNiet_5;Ja_6;Vaak_7;Soms_8;Nooit_9;MeerMetEigenGroep_10;HalfEigenGroepHalfNederlanders_11;MeerMetNederlanders_12;Nooit_13;Soms_14;Vaak_15;Nee_16;SomsWelEnSomsNiet_17;Ja_18;MetMigratieachtergrondNederlanders_19;HalfNederlandersHalfMigratieachtergr_20;MeerMetMigratieachtergrond_21;Nooit_22;Soms_23;Vaak_24;MoeiteMetHetVoerenVanEenGesprek_25;MoeiteMetLezen_26;MoeiteMetSchrijven_27;VrouwVerantwoordelijkVoorHuishouden_28;VrouwStoptMetWerkenNaKrijgenKind_29;DeManIsVerantwoordelijkVoorHetGeld_30;GeldVerdienenBelangrijkerVoorJongens_31;OuderFamilielidHeeftMeerInvloed_32;KindMoetVaakOpBezoekBijOuders_33;KindBlijftThuisWonenTotTrouwen_34;MeerVertrouwenInFamilieDanVrienden_35;KinderenMoetenVoorOudersZorgen_36;HomoSMoetenLevenKunnenLeiden_37;HetIsGoedDatHomoSMogenTrouwen_38;KindMetPartnerZelfdeGeslachtIsProb_39;VrouwMagAbortusLatenUitvoeren_40;IemandBeslistZelfOverLevenseinde_41;GeenDoodstrafMeerIsGoed_42;BezoektActiviteitenVanVerenigingen_43;IsLidVanVereniging_44;DoetVrijwilligerswerk_45;RekentZichTotEenGodsdienstReligie_46;MinstensEenKeerPerWeek_47;ElkeMaand_48;VrijwelNooit_49;LeestVaakNederlandseDagBladen_50;LeestVaakDagBladenUitLandHerkomst_51;KijktVaakNaarNederlandseZenders_52;KijktVaakNaarZendersLandHerkomst_53;HeeftComputerMetInternetaansluiting_54;JaOfMisschien_55;Nee_56;NietStemgerechtigd_57;NietGeinteresseerd_58;EenBeetjeGeinteresseerd_59;ZeerGeinteresseerd_60
14;Turkije;Migratieachtergrond: 2e generatie ;2006;36.0;42.0;22.0;1.0;17.0;82.0;12.0;34.0;54.0;52.0;31.0;17.0;29.0;53.0;18.0;;;;;;;;;;2.0;1.0;1.0;62.0;23.0;26.0;26.0;48.0;72.0;52.0;71.0;;;;;;;;60.0;51.0;11.0;93.0;33.0;12.0;55.0;42.0;7.0;74.0;55.0;83.0;63.0;16.0;20.0;50.0;39.0;11.0
15;Turkije;Migratieachtergrond: 2e generatie ;2011;60.0;30.0;10.0;5.0;28.0;67.0;18.0;45.0;37.0;51.0;38.0;11.0;31.0;48.0;21.0;;;;;;;;;;1.0;1.0;0.0;;17.0;23.0;28.0;45.0;76.0;54.0;74.0;84.0;62.0;33.0;73.0;44.0;48.0;77.0;45.0;;;92.0;36.0;13.0;52.0;46.0;7.0;70.0;62.0;98.0;64.0;18.0;18.0;50.0;34.0;16.0
16;Turkije;Onderwijsniveau: basisonderwijs;2006;72.0;22.0;6.0;10.0;32.0;58.0;51.0;33.0;16.0;78.0;16.0;6.0;51.0;41.0;9.0;;;;;;;;;;43.0;44.0;60.0;68.0;42.0;42.0;31.0;59.0;85.0;74.0;72.0;;;;;;;;42.0;22.0;6.0;98.0;33.0;16.0;51.0;13.0;11.0;48.0;81.0;50.0;68.0;21.0;11.0;65.0;29.0;6.0
17;Turkije;Onderwijsniveau: basisonderwijs;2011;82.0;16.0;2.0;11.0;29.0;61.0;60.0;34.0;6.0;84.0;13.0;3.0;61.0;31.0;7.0;;;;;;;;;;49.0;46.0;56.0;;34.0;33.0;40.0;61.0;84.0;76.0;77.0;82.0;43.0;22.0;79.0;32.0;36.0;77.0;27.0;;;97.0;47.0;8.0;44.0;15.0;17.0;31.0;88.0;68.0;65.0;15.0;20.0;65.0;23.0;12.0
18;Turkije;Onderwijsniveau: vmbo, mbo1, avo;2006;56.0;32.0;12.0;8.0;26.0;67.0;29.0;39.0;32.0;64.0;26.0;10.0;41.0;48.0;11.0;;;;;;;;;;16.0;17.0;22.0;63.0;32.0;31.0;25.0;51.0;77.0;70.0;68.0;;;;;;;;50.0;42.0;9.0;94.0;38.0;8.0;54.0;23.0;10.0;61.0;72.0;69.0;62.0;19.0;19.0;62.0;27.0;11.0
19;Turkije;Onderwijsniveau: vmbo, mbo1, avo;2011;79.0;18.0;3.0;6.0;30.0;64.0;40.0;45.0;15.0;72.0;24.0;4.0;49.0;42.0;9.0;;;;;;;;;;20.0;19.0;24.0;;24.0;25.0;29.0;51.0;81.0;73.0;82.0;88.0;51.0;22.0;82.0;27.0;36.0;82.0;36.0;;;98.0;45.0;16.0;38.0;20.0;8.0;50.0;81.0;92.0;62.0;15.0;23.0;54.0;35.0;11.0
20;Turkije;Onderwijsniveau: havo, vwo, mbo;2006;47.0;35.0;17.0;5.0;24.0;71.0;22.0;40.0;38.0;53.0;33.0;14.0;31.0;52.0;16.0;;;;;;;;;;8.0;8.0;9.0;62.0;25.0;24.0;23.0;38.0;71.0;57.0;72.0;;;;;;;;57.0;48.0;9.0;93.0;36.0;13.0;52.0;43.0;11.0;72.0;64.0;82.0;72.0;13.0;15.0;45.0;41.0;13.0
21;Turkije;Onderwijsniveau: havo, vwo, mbo;2011;68.0;22.0;10.0;7.0;30.0;62.0;29.0;46.0;25.0;58.0;33.0;9.0;35.0;51.0;14.0;;;;;;;;;;6.0;5.0;7.0;;16.0;18.0;27.0;44.0;78.0;55.0;72.0;88.0;61.0;32.0;70.0;40.0;46.0;77.0;42.0;;;94.0;36.0;13.0;51.0;38.0;8.0;65.0;68.0;98.0;67.0;14.0;18.0;46.0;42.0;12.0
22;Turkije;Onderwijsniveau: hbo, wo;2006;34.0;44.0;22.0;7.0;20.0;73.0;18.0;38.0;44.0;51.0;21.0;28.0;18.0;56.0;26.0;;;;;;;;;;4.0;5.0;6.0;45.0;20.0;17.0;10.0;23.0;64.0;36.0;61.0;;;;;;;;77.0;65.0;23.0;91.0;25.0;10.0;65.0;60.0;21.0;79.0;50.0;95.0;83.0;12.0;5.0;18.0;52.0;30.0
23;Turkije;Onderwijsniveau: hbo, wo;2011;62.0;30.0;8.0;4.0;33.0;62.0;19.0;50.0;30.0;46.0;41.0;13.0;25.0;51.0;24.0;;;;;;;;;;6.0;6.0;5.0;;11.0;13.0;19.0;27.0;64.0;45.0;62.0;;68.0;;;;42.0;;;;;91.0;37.0;10.0;53.0;;;65.0;49.0;100.0;76.0;10.0;14.0;37.0;37.0;26.0
24;Turkije;20;2006;59.0;25.0;16.0;7.0;30.0;63.0;40.0;31.0;29.0;57.0;27.0;16.0;27.0;58.0;15.0;;;;;;;;;;20.0;21.0;33.0;62.0;23.0;29.0;23.0;52.0;80.0;61.0;69.0;;;;;;;;56.0;37.0;13.0;95.0;38.0;14.0;48.0;27.0;10.0;61.0;71.0;72.0;74.0;12.0;14.0;50.0;41.0;8.0
25;Turkije;20;2011;70.0;26.0;4.0;7.0;28.0;65.0;45.0;37.0;18.0;62.0;30.0;8.0;35.0;51.0;13.0;;;;;;;;;;24.0;24.0;31.0;;24.0;23.0;30.0;49.0;86.0;67.0;81.0;90.0;55.0;28.0;77.0;35.0;43.0;81.0;36.0;;;95.0;41.0;14.0;45.0;35.0;11.0;57.0;75.0;90.0;58.0;19.0;23.0;55.0;31.0;13.0
26;Turkije;30;2006;53.0;35.0;12.0;7.0;23.0;70.0;31.0;39.0;30.0;61.0;25.0;14.0;34.0;49.0;17.0;;;;;;;;;;20.0;24.0;31.0;64.0;32.0;29.0;24.0;44.0;79.0;63.0;72.0;;;;;;;;56.0;45.0;9.0;95.0;35.0;12.0;53.0;29.0;11.0;69.0;73.0;73.0;65.0;17.0;18.0;54.0;34.0;12.0
27;Turkije;30;2011;72.0;22.0;5.0;9.0;29.0;62.0;39.0;41.0;20.0;64.0;28.0;8.0;39.0;50.0;12.0;;;;;;;;;;21.0;21.0;24.0;;21.0;19.0;25.0;47.0;80.0;57.0;74.0;82.0;56.0;33.0;73.0;35.0;41.0;78.0;42.0;;;96.0;40.0;11.0;49.0;30.0;14.0;55.0;75.0;87.0;69.0;14.0;17.0;50.0;37.0;13.0
28;Turkije;40;2006;65.0;26.0;9.0;9.0;31.0;60.0;36.0;38.0;26.0;77.0;20.0;4.0;56.0;37.0;7.0;;;;;;;;;;29.0;26.0;35.0;63.0;41.0;40.0;29.0;51.0;74.0;70.0;69.0;;;;;;;;42.0;29.0;8.0;94.0;32.0;12.0;56.0;26.0;14.0;49.0;71.0;56.0;70.0;22.0;9.0;60.0;29.0;12.0
29;Turkije;40;2011;78.0;16.0;6.0;7.0;32.0;61.0;37.0;48.0;15.0;74.0;21.0;5.0;58.0;30.0;12.0;;;;;;;;;;25.0;21.0;26.0;;24.0;30.0;37.0;50.0;73.0;72.0;73.0;85.0;51.0;20.0;75.0;35.0;37.0;73.0;34.0;;;95.0;45.0;12.0;43.0;28.0;11.0;43.0;74.0;85.0;69.0;12.0;19.0;54.0;31.0;15.0
30;Turkije;50;2006;64.0;28.0;7.0;9.0;32.0;59.0;37.0;42.0;22.0;71.0;23.0;6.0;44.0;47.0;9.0;;;;;;;;;;22.0;22.0;30.0;60.0;30.0;28.0;24.0;46.0;74.0;61.0;68.0;;;;;;;;44.0;32.0;8.0;91.0;;;100.0;28.0;10.0;62.0;66.0;68.0;67.0;20.0;13.0;55.0;34.0;11.0
31;Turkije;50;2011;67.0;25.0;8.0;8.0;30.0;62.0;36.0;39.0;25.0;59.0;32.0;9.0;39.0;45.0;16.0;;;;;;;;;;21.0;19.0;23.0;;19.0;20.0;21.0;39.0;77.0;54.0;69.0;79.0;58.0;34.0;67.0;45.0;45.0;80.0;30.0;;;90.0;;;100.0;35.0;10.0;55.0;69.0;86.0;62.0;16.0;22.0;55.0;31.0;15.0
32;Turkije;60;2006;53.0;31.0;16.0;7.0;23.0;69.0;33.0;33.0;34.0;62.0;24.0;15.0;38.0;46.0;16.0;;;;;;;;;;25.0;27.0;36.0;68.0;38.0;39.0;27.0;52.0;81.0;70.0;73.0;;;;;;;;59.0;44.0;12.0;100.0;73.0;27.0;;27.0;14.0;58.0;79.0;65.0;70.0;15.0;15.0;56.0;33.0;11.0
33;Turkije;60;2011;81.0;16.0;3.0;7.0;30.0;62.0;42.0;47.0;11.0;75.0;20.0;4.0;51.0;41.0;8.0;;;;;;;;;;25.0;24.0;29.0;;26.0;27.0;39.0;57.0;81.0;74.0;80.0;89.0;50.0;22.0;81.0;26.0;35.0;74.0;45.0;;;100.0;78.0;22.0;;27.0;14.0;47.0;80.0;88.0;71.0;13.0;16.0;51.0;36.0;13.0
34;Marokko;1100;2006;46.0;40.0;14.0;4.0;24.0;73.0;24.0;42.0;34.0;54.0;30.0;16.0;38.0;45.0;17.0;;;;;;;;;;15.0;19.0;24.0;53.0;30.0;25.0;21.0;46.0;78.0;53.0;69.0;;;;;;;;46.0;41.0;8.0;96.0;34.0;9.0;57.0;39.0;4.0;77.0;49.0;62.0;69.0;14.0;17.0;41.0;40.0;20.0
35;Marokko;1100;2011;62.0;31.0;7.0;4.0;35.0;61.0;26.0;50.0;24.0;57.0;32.0;11.0;35.0;55.0;10.0;;;;;;;;;;16.0;15.0;17.0;;24.0;26.0;27.0;47.0;79.0;53.0;68.0;89.0;62.0;28.0;76.0;24.0;22.0;78.0;38.0;;;97.0;44.0;12.0;44.0;34.0;4.0;72.0;42.0;85.0;74.0;11.0;15.0;39.0;41.0;21.0
36;Marokko;Geslacht: mannen;2006;46.0;40.0;15.0;5.0;24.0;71.0;22.0;44.0;35.0;53.0;33.0;14.0;41.0;45.0;14.0;;;;;;;;;;10.0;15.0;21.0;57.0;34.0;30.0;22.0;50.0;81.0;54.0;75.0;;;;;;;;47.0;43.0;7.0;96.0;51.0;11.0;38.0;46.0;4.0;76.0;47.0;61.0;71.0;14.0;16.0;37.0;39.0;24.0
37;Marokko;Geslacht: mannen;2011;64.0;29.0;7.0;5.0;34.0;60.0;24.0;49.0;26.0;56.0;34.0;10.0;38.0;53.0;9.0;;;;;;;;;;12.0;12.0;14.0;;28.0;32.0;35.0;49.0;80.0;51.0;70.0;91.0;58.0;24.0;75.0;22.0;24.0;77.0;45.0;;;96.0;59.0;13.0;28.0;38.0;5.0;73.0;39.0;84.0;74.0;11.0;15.0;34.0;40.0;26.0
38;Marokko;Geslacht: vrouwen;2006;47.0;40.0;13.0;2.0;24.0;74.0;27.0;41.0;32.0;55.0;27.0;18.0;34.0;45.0;20.0;;;;;;;;;;21.0;23.0;27.0;50.0;25.0;20.0;19.0;43.0;74.0;52.0;62.0;;;;;;;;44.0;39.0;10.0;97.0;16.0;7.0;78.0;31.0;3.0;79.0;50.0;63.0;67.0;15.0;19.0;45.0;41.0;14.0
39;Marokko;Geslacht: vrouwen;2011;61.0;33.0;7.0;3.0;36.0;61.0;28.0;50.0;22.0;57.0;30.0;12.0;32.0;57.0;11.0;;;;;;;;;;21.0;19.0;21.0;;19.0;19.0;19.0;45.0;79.0;55.0;66.0;87.0;66.0;31.0;76.0;26.0;20.0;78.0;30.0;;;99.0;28.0;10.0;62.0;30.0;2.0;71.0;44.0;87.0;74.0;10.0;15.0;44.0;41.0;15.0
40;Marokko;Leeftijd: 15 tot 25 jaar;2006;34.0;47.0;18.0;4.0;18.0;79.0;15.0;38.0;47.0;41.0;38.0;21.0;28.0;47.0;25.0;;;;;;;;;;3.0;1.0;1.0;47.0;20.0;19.0;20.0;45.0;83.0;36.0;66.0;;;;;;;;63.0;58.0;8.0;97.0;28.0;12.0;59.0;54.0;3.0;89.0;23.0;79.0;60.0;10.0;29.0;28.0;52.0;20.0
41;Marokko;Leeftijd: 15 tot 25 jaar;2011;55.0;36.0;9.0;4.0;34.0;61.0;16.0;49.0;35.0;54.0;33.0;13.0;31.0;58.0;11.0;;;;;;;;;;1.0;0.0;1.0;;21.0;30.0;33.0;52.0;81.0;49.0;70.0;91.0;65.0;32.0;72.0;26.0;32.0;80.0;52.0;;;97.0;36.0;16.0;48.0;40.0;2.0;78.0;16.0;96.0;58.0;13.0;28.0;39.0;41.0;19.0
42;Marokko;Leeftijd: 25 tot 45 jaar;2006;44.0;42.0;14.0;4.0;24.0;73.0;25.0;43.0;32.0;52.0;31.0;17.0;34.0;49.0;17.0;;;;;;;;;;12.0;13.0;19.0;46.0;29.0;22.0;18.0;41.0;73.0;53.0;66.0;;;;;;;;45.0;42.0;10.0;95.0;26.0;9.0;65.0;41.0;3.0;78.0;47.0;62.0;75.0;15.0;10.0;41.0;37.0;22.0
43;Marokko;Leeftijd: 25 tot 45 jaar;2011;61.0;32.0;7.0;4.0;37.0;60.0;24.0;53.0;24.0;50.0;38.0;12.0;29.0;60.0;11.0;;;;;;;;;;11.0;9.0;10.0;;20.0;21.0;23.0;43.0;78.0;50.0;68.0;88.0;67.0;28.0;76.0;25.0;21.0;78.0;37.0;;;97.0;36.0;12.0;51.0;41.0;4.0;78.0;38.0;93.0;79.0;11.0;10.0;31.0;43.0;26.0
44;Marokko;10;2006;63.0;28.0;9.0;5.0;30.0;65.0;32.0;47.0;21.0;71.0;21.0;9.0;57.0;35.0;8.0;;;;;;;;;;36.0;49.0;59.0;74.0;44.0;37.0;27.0;60.0;81.0;70.0;78.0;;;;;;;;29.0;22.0;3.0;99.0;57.0;4.0;38.0;16.0;6.0;63.0;80.0;43.0;64.0;18.0;18.0;56.0;30.0;14.0
45;Marokko;10;2011;71.0;25.0;4.0;6.0;33.0;61.0;40.0;45.0;15.0;70.0;21.0;9.0;49.0;45.0;6.0;;;;;;;;;;39.0;38.0;44.0;;32.0;31.0;31.0;49.0;80.0;61.0;65.0;88.0;51.0;22.0;77.0;19.0;16.0;75.0;26.0;;;99.0;63.0;7.0;30.0;16.0;3.0;56.0;70.0;64.0;79.0;8.0;12.0;52.0;35.0;13.0
46;Marokko;Migratieachtergrond: 1e generatie;2006;50.0;38.0;12.0;4.0;26.0;70.0;28.0;43.0;29.0;57.0;29.0;14.0;41.0;46.0;13.0;;;;;;;;;;20.0;24.0;31.0;57.0;34.0;28.0;22.0;49.0;77.0;58.0;71.0;;;;;;;;40.0;36.0;7.0;97.0;36.0;8.0;57.0;34.0;4.0;75.0;57.0;56.0;70.0;15.0;15.0;45.0;35.0;20.0
47;Marokko;Migratieachtergrond: 1e generatie;2011;66.0;29.0;5.0;5.0;35.0;60.0;33.0;48.0;19.0;61.0;29.0;10.0;40.0;51.0;9.0;;;;;;;;;;24.0;23.0;26.0;;26.0;26.0;25.0;46.0;80.0;58.0;68.0;87.0;60.0;25.0;76.0;23.0;20.0;77.0;33.0;;;98.0;49.0;10.0;41.0;25.0;4.0;68.0;57.0;80.0;75.0;11.0;14.0;42.0;39.0;19.0
48;Marokko;Migratieachtergrond: 2e generatie ;2006;33.0;47.0;20.0;3.0;17.0;80.0;11.0;40.0;48.0;43.0;34.0;23.0;29.0;42.0;29.0;;;;;;;;;;1.0;1.0;2.0;40.0;19.0;15.0;16.0;38.0;78.0;35.0;63.0;;;;;;;;65.0;58.0;14.0;95.0;29.0;14.0;57.0;55.0;3.0;86.0;20.0;81.0;66.0;11.0;23.0;26.0;55.0;20.0
49;Marokko;Migratieachtergrond: 2e generatie ;2011;55.0;34.0;11.0;3.0;36.0;61.0;15.0;52.0;33.0;48.0;38.0;14.0;26.0;62.0;12.0;;;;;;;;;;1.0;0.0;0.0;;19.0;26.0;31.0;49.0;78.0;44.0;67.0;92.0;67.0;32.0;76.0;26.0;26.0;80.0;48.0;;;96.0;34.0;16.0;50.0;50.0;2.0;79.0;13.0;95.0;71.0;11.0;18.0;32.0;44.0;24.0
50;Marokko;Onderwijsniveau: basisonderwijs;2006;60.0;31.0;9.0;5.0;27.0;69.0;33.0;44.0;23.0;69.0;23.0;8.0;55.0;37.0;8.0;;;;;;;;;;29.0;41.0;50.0;65.0;42.0;34.0;27.0;58.0;79.0;67.0;77.0;;;;;;;;29.0;25.0;4.0;98.0;44.0;7.0;49.0;18.0;4.0;66.0;70.0;46.0;65.0;18.0;18.0;55.0;34.0;11.0
51;Marokko;Onderwijsniveau: basisonderwijs;2011;75.0;22.0;3.0;5.0;34.0;61.0;41.0;44.0;16.0;73.0;21.0;6.0;52.0;43.0;6.0;;;;;;;;;;40.0;38.0;43.0;;32.0;32.0;32.0;53.0;82.0;63.0;73.0;89.0;53.0;18.0;77.0;17.0;19.0;76.0;24.0;;;98.0;56.0;7.0;37.0;16.0;2.0;61.0;66.0;69.0;70.0;13.0;18.0;56.0;33.0;10.0
52;Marokko;Onderwijsniveau: vmbo, mbo1, avo;2006;36.0;44.0;20.0;2.0;23.0;75.0;20.0;40.0;41.0;47.0;32.0;21.0;29.0;53.0;18.0;;;;;;;;;;6.0;4.0;9.0;47.0;27.0;21.0;16.0;41.0;76.0;47.0;64.0;;;;;;;;49.0;44.0;10.0;97.0;27.0;10.0;63.0;41.0;2.0;86.0;37.0;59.0;65.0;11.0;24.0;41.0;40.0;19.0
53;Marokko;Onderwijsniveau: vmbo, mbo1, avo;2011;53.0;40.0;6.0;4.0;40.0;57.0;19.0;54.0;26.0;48.0;41.0;10.0;32.0;59.0;9.0;;;;;;;;;;6.0;6.0;7.0;;24.0;29.0;24.0;52.0;79.0;54.0;62.0;88.0;58.0;31.0;68.0;28.0;25.0;77.0;30.0;;;99.0;39.0;15.0;46.0;28.0;5.0;75.0;38.0;89.0;67.0;12.0;21.0;32.0;50.0;17.0
