ID;ClassOfVehicleAge;Periods;TotalRoadVehicles_1;PassengerCar_2;TotalCommercialVehicles_3;TotalCommercialMotorVehicles_4;DeliveryVan_5;Lorry_6;RoadTractor_7;SpecialPurposeVehicle_8;Bus_9;TotalTrailersAndSemiTrailers_10;Trailer_11;SemiTrailer_12;Motorcycle_13
40;Younger than 1 year;2017;500091;366968;121464;83868;68783;3996;8896;1363;830;37596.0;25487.0;12109.0;11659
41;Younger than 1 year;2018;543805;402520;129596;86822;72280;3986;8401;1275;880;42774.0;28531.0;14243.0;11689
42;Younger than 1 year;2019;580122;431392;136757;92614;77161;4406;8974;1504;569;44143.0;29816.0;14327.0;11973
43;Younger than 1 year;2020;579241;433208;133201;89692;73780;4759;8590;1662;901;43509.0;31105.0;12404.0;12832
44;Younger than 1 year;2021;469259;344431;111167;70154;59259;3471;5505;1294;625;41013.0;31565.0;9448.0;13661
45;Younger than 1 year;2022;462026;320873;126640;77374;65901;3159;6721;1327;266;49266.0;36131.0;13135.0;14513
46;1 or 2 years;2000;1214055;978456;207506;207506;173014;13719;16014;3701;1058;;;;28093
47;1 or 2 years;2001;1365564;1105672;228710;228710;191216;14554;17315;4313;1312;;;;31182
48;1 or 2 years;2002;1426696;1161534;229307;229307;191473;14538;16759;4907;1630;;;;35855
49;1 or 2 years;2003;1329969;1082117;212724;212724;175024;13874;17413;4764;1649;;;;35128
50;1 or 2 years;2004;1325999;1001137;292044;193931;160027;12214;15804;4452;1434;98113.0;83525.0;14588.0;32818
51;1 or 2 years;2005;1282468;964314;286110;182456;153140;10205;13694;3834;1583;103654.0;89348.0;14306.0;32044
52;1 or 2 years;2006;1272374;942992;296927;189358;160343;9099;14675;3411;1830;107569.0;90810.0;16759.0;32455
53;1 or 2 years;2007;1240089;925384;283370;180604;150621;9047;15649;3200;2087;102766.0;83865.0;18901.0;31335
54;1 or 2 years;2008;1225088;930434;265251;164763;129461;10862;19356;3167;1917;100488.0;80344.0;20144.0;29403
55;1 or 2 years;2009;1287825;971193;285917;179753;142983;11285;20252;3309;1924;106164.0;81222.0;24942.0;30715
56;1 or 2 years;2010;1329723;989347;306868;199146;162487;11334;19313;3663;2349;107722.0;79420.0;28302.0;33508
57;1 or 2 years;2011;1164904;880309;253375;166356;133012;11271;16273;3423;2377;87019.0;67606.0;19413.0;31220
58;1 or 2 years;2012;1089827;873133;190669;122899;99107;8757;10634;2518;1883;67770.0;56441.0;11329.0;26025
59;1 or 2 years;2013;1259185;1040549;196355;128848;106035;7442;11770;2287;1314;67507.0;54441.0;13066.0;22281
60;1 or 2 years;2014;1287372;1065954;201351;136479;111900;7157;13833;2231;1358;64872.0;50273.0;14599.0;20067
61;1 or 2 years;2015;1143545;938037;186994;128891;104086;6673;14667;2098;1367;58103.0;43013.0;15090.0;18514
62;1 or 2 years;2016;1032087;829840;183306;123368;100775;5756;13677;1923;1237;59938.0;41640.0;18298.0;18941
63;1 or 2 years;2017;1097166;877601;198427;131215;108332;5733;14252;1911;987;67212.0;45205.0;22007.0;21138
64;1 or 2 years;2018;1133474;880492;229492;156304;128207;7227;17207;2479;1184;73188.0;49026.0;24162.0;23490
65;1 or 2 years;2019;1129756;849835;255040;174760;144933;7985;17503;2617;1722;80280.0;54040.0;26240.0;24881
66;1 or 2 years;2020;1216311;920950;269810;183224;153074;8397;17536;2790;1427;86586.0;58288.0;28298.0;25551
67;1 or 2 years;2021;1267418;964695;275485;188077;156410;9168;17801;3250;1448;87408.0;60911.0;26497.0;27238
68;1 or 2 years;2022;1184932;903784;251972;167487;140368;8282;14255;3028;1554;84485.0;62756.0;21729.0;29176
69;3 or 4 years;2000;1019026;847473;140426;140426;110469;12647;12940;3156;1214;;;;31127
70;3 or 4 years;2001;1092169;887131;172852;172852;141914;13025;12902;3909;1102;;;;32186
71;3 or 4 years;2002;1194215;960364;201465;201465;168173;13248;14589;4397;1058;;;;32386
72;3 or 4 years;2003;1340890;1084082;220855;220855;184836;13985;15873;4865;1296;;;;35953
73;3 or 4 years;2004;1494618;1134801;319352;222221;185631;14074;15488;5442;1586;97131.0;80696.0;16435.0;40465
74;3 or 4 years;2005;1397567;1054083;305107;203291;166675;13444;15983;5550;1639;101816.0;86300.0;15516.0;38377
75;3 or 4 years;2006;1293145;975800;282064;181961;148839;11790;14570;5360;1402;100103.0;85711.0;14392.0;35281
76;3 or 4 years;2007;1258284;948168;275544;172260;143197;9867;12827;4827;1542;103284.0;89413.0;13871.0;34572
77;3 or 4 years;2008;1246291;926526;284435;177760;149283;8734;13651;4304;1788;106675.0;90445.0;16230.0;35330
78;3 or 4 years;2009;1211957;908057;269565;168133;139037;8662;14431;3946;2057;101432.0;83449.0;17983.0;34335
79;3 or 4 years;2010;1222499;933379;255916;156125;122306;10445;18033;3439;1902;99791.0;80008.0;19783.0;33204
80;3 or 4 years;2011;1267755;954147;278247;172491;136481;11040;19632;3450;1888;105756.0;80916.0;24840.0;35361
81;3 or 4 years;2012;1258960;924182;297515;190646;154606;11195;18895;3650;2300;106869.0;78964.0;27905.0;37263
82;3 or 4 years;2013;1093019;817058;242027;156266;124331;11068;15277;3310;2280;85761.0;67108.0;18653.0;33934
83;3 or 4 years;2014;1041059;830319;182806;116009;93101;8580;10029;2495;1804;66797.0;55955.0;10842.0;27934
84;3 or 4 years;2015;1228318;1012851;191647;124798;102514;7349;11376;2286;1273;66849.0;53993.0;12856.0;23820
85;3 or 4 years;2016;1260642;1039545;199417;134628;110585;7168;13333;2226;1316;64789.0;50126.0;14663.0;21680
86;3 or 4 years;2017;1136460;930304;185861;127318;103241;6686;13970;2112;1309;58543.0;42955.0;15588.0;20295
87;3 or 4 years;2018;1052270;847219;183981;123877;101639;5788;13361;1882;1207;60104.0;41870.0;18234.0;21070
88;3 or 4 years;2019;1126923;901709;201311;134073;110772;5833;14630;1881;957;67238.0;45286.0;21952.0;23903
89;3 or 4 years;2020;1153647;895582;231061;158015;129855;7224;17389;2417;1130;73046.0;49077.0;23969.0;27004
90;3 or 4 years;2021;1172902;887074;256499;176430;146444;8003;17732;2641;1610;80069.0;54128.0;25941.0;29329
91;3 or 4 years;2022;1291783;985539;275602;189000;157865;8529;18470;2817;1319;86602.0;58430.0;28172.0;30642
92;5 or 6 years;2000;895937;756486;100190;100190;81546;8823;5811;2849;1161;;;;39261
93;5 or 6 years;2001;947033;808955;103564;103564;80204;10116;8779;3336;1129;;;;34514
94;5 or 6 years;2002;1025964;859930;131151;131151;104936;10847;10214;3996;1158;;;;34883
95;5 or 6 years;2003;1098202;899573;160926;160926;133903;11212;10012;4742;1057;;;;37703
96;5 or 6 years;2004;1271515;958829;274278;188339;158837;11562;11749;5180;1011;85939.0;69132.0;16807.0;38408
97;5 or 6 years;2005;1414655;1078693;294573;203471;171675;12415;12534;5641;1206;91102.0;73476.0;17626.0;41389
98;5 or 6 years;2006;1473206;1134864;294051;195144;162370;12479;12331;6431;1533;98907.0;82921.0;15986.0;44291
99;5 or 6 years;2007;1379836;1060714;277381;175411;142509;12073;12724;6524;1581;101970.0;87119.0;14851.0;41741
100;5 or 6 years;2008;1280241;982628;258595;159210;129514;10589;11553;6219;1335;99385.0;86056.0;13329.0;39018
101;5 or 6 years;2009;1242152;951908;251541;149706;123966;8730;9918;5632;1460;101835.0;89169.0;12666.0;38703
102;5 or 6 years;2010;1254381;949814;264596;159626;134815;7697;10664;4820;1630;104970.0;90067.0;14903.0;39971
103;5 or 6 years;2011;1224501;931647;254078;154044;128160;7850;12152;4025;1857;100034.0;83119.0;16915.0;38776
104;5 or 6 years;2012;1203217;930749;235062;137139;106926;9558;15490;3368;1797;97923.0;79331.0;18592.0;37406
105;5 or 6 years;2013;1207442;915974;252437;149320;117661;10120;16457;3310;1772;103117.0;80159.0;22958.0;39031
106;5 or 6 years;2014;1185213;874899;269809;166538;134009;10534;16339;3526;2130;103271.0;78150.0;25121.0;40505
107;5 or 6 years;2015;1056498;795373;224437;140907;111922;10509;13202;3202;2072;83530.0;66477.0;17053.0;36688
108;5 or 6 years;2016;1039206;833683;175298;109138;87935;8261;8803;2491;1648;66160.0;55609.0;10551.0;30225
109;5 or 6 years;2017;1229732;1018038;185584;119327;98615;7135;10050;2304;1223;66257.0;53819.0;12438.0;26110
110;5 or 6 years;2018;1265760;1049386;192233;128328;106172;6935;11662;2317;1242;63905.0;49946.0;13959.0;24141
111;5 or 6 years;2019;1138058;935678;179248;121935;99792;6495;12197;2202;1249;57313.0;42912.0;14401.0;23132
112;5 or 6 years;2020;1050527;848224;177902;119413;98670;5662;11971;1952;1158;58489.0;41729.0;16760.0;24401
113;5 or 6 years;2021;1102816;878116;196447;130146;108128;5667;13562;1907;882;66301.0;45212.0;21089.0;28253
114;5 or 6 years;2022;1165854;905644;228190;155879;128420;7274;16608;2495;1082;72311.0;49189.0;23122.0;32020
115;7 or 8 years;2000;1030848;873574;114867;114867;91307;10780;6236;4969;1575;;;;42407
116;7 or 8 years;2001;951742;794775;111660;111660;93032;8424;4588;4404;1212;;;;45307
117;7 or 8 years;2002;882038;749824;89686;89686;73883;7210;3901;3639;1053;;;;42528
118;7 or 8 years;2003;935475;804045;91981;91981;72992;8057;5664;4211;1057;;;;39449
119;7 or 8 years;2004;1065650;836074;189606;117052;96063;8547;6605;4765;1072;72554.0;60320.0;12234.0;39970
120;7 or 8 years;2005;1129399;864171;223431;141960;120360;8876;6525;5255;944;81471.0;68109.0;13362.0;41797
121;7 or 8 years;2006;1215559;929587;243741;157424;133502;9269;7659;6107;887;86317.0;71132.0;15185.0;42231
122;7 or 8 years;2007;1353115;1053123;255111;165601;139530;9995;8382;6575;1119;89510.0;73700.0;15810.0;44881
123;7 or 8 years;2008;1416777;1107500;261376;164200;136847;10347;8435;7118;1453;97176.0;82993.0;14183.0;47901
124;7 or 8 years;2009;1324655;1029233;250094;149875;122982;10024;8272;7167;1430;100219.0;87009.0;13210.0;45328
125;7 or 8 years;2010;1247704;968011;237066;139031;115383;8592;7218;6653;1185;98035.0;85930.0;12105.0;42627
126;7 or 8 years;2011;1219981;942479;235159;134837;114002;7160;6815;5697;1163;100322.0;88745.0;11577.0;42343
127;7 or 8 years;2012;1209184;922885;242981;140395;120400;6292;7707;4669;1327;102586.0;89168.0;13418.0;43318
128;7 or 8 years;2013;1180278;912430;226113;129281;109813;6302;8021;3855;1290;96832.0;81959.0;14873.0;41735
129;7 or 8 years;2014;1168306;920572;207730;113012;90296;7717;10584;3162;1253;94718.0;78191.0;16527.0;40004
130;7 or 8 years;2015;1176268;905593;228763;128944;103836;8622;11997;3116;1373;99819.0;79044.0;20775.0;41912
131;7 or 8 years;2016;1170069;874606;252050;151744;124570;9500;12448;3366;1860;100306.0;77026.0;23280.0;43413
132;7 or 8 years;2017;1065375;813637;212325;130541;106214;9455;9805;3141;1926;81784.0;65620.0;16164.0;39413
133;7 or 8 years;2018;1063497;862739;168045;102785;84526;7561;6651;2489;1558;65260.0;55078.0;10182.0;32713
134;7 or 8 years;2019;1246299;1040317;177421;112248;94686;6550;7536;2288;1188;65173.0;53290.0;11883.0;28561
135;7 or 8 years;2020;1270715;1063587;180301;117947;100166;6203;8133;2270;1175;62354.0;49488.0;12866.0;26827
136;7 or 8 years;2021;1146633;952014;168460;112778;94949;5714;8726;2209;1180;55682.0;42511.0;13171.0;26159
137;7 or 8 years;2022;1074829;876639;170211;112532;94924;5158;9403;1962;1085;57679.0;41523.0;16156.0;27979
138;9 to 11 years;2000;1256572;1113785;92903;92903;66722;12869;4936;6104;2272;;;;49884
139;9 to 11 years;2001;1295340;1136368;104751;104751;78117;12246;4762;7174;2452;;;;54221
140;9 to 11 years;2002;1360429;1172186;126105;126105;98895;11912;4712;8266;2320;;;;62138
141;9 to 11 years;2003;1312392;1113799;128285;128285;104835;9751;3558;8288;1853;;;;70308
142;9 to 11 years;2004;1367808;1075401;222654;118655;97653;8873;3318;7293;1518;103999.0;91960.0;12039.0;69753
143;9 to 11 years;2005;1324313;1043087;214344;108521;88439;8128;3812;6771;1371;105823.0;93303.0;12520.0;66882
144;9 to 11 years;2006;1393615;1108065;222312;113926;91411;8895;4629;7683;1308;108386.0;94355.0;14031.0;63238
145;9 to 11 years;2007;1468768;1152504;251140;137097;112648;9192;5219;8878;1160;114043.0;98732.0;15311.0;65124
146;9 to 11 years;2008;1589430;1239100;283830;165315;138597;9845;6282;9478;1113;118515.0;101949.0;16566.0;66500
147;9 to 11 years;2009;1746865;1367552;308762;181903;153968;10163;6187;10363;1222;126859.0;109410.0;17449.0;70551
148;9 to 11 years;2010;1877246;1481487;322848;189149;160650;10562;5831;10690;1416;133699.0;116038.0;17661.0;72911
149;9 to 11 years;2011;1871683;1473733;324628;182117;153621;10526;6114;10434;1422;142511.0;124815.0;17696.0;73322
150;9 to 11 years;2012;1774228;1388919;315326;171611;144713;9779;6014;9799;1306;143715.0;127513.0;16202.0;69983
151;9 to 11 years;2013;1683193;1309088;306548;161276;137354;8380;5814;8534;1194;145272.0;129660.0;15612.0;67557
152;9 to 11 years;2014;1680678;1302540;310794;165708;144306;7163;5801;7354;1084;145086.0;128741.0;16345.0;67344
153;9 to 11 years;2015;1656533;1289715;300657;157367;137400;6688;6193;5892;1194;143290.0;124965.0;18325.0;66161
154;9 to 11 years;2016;1664983;1307849;292186;153251;130897;7948;8375;4863;1168;138935.0;118090.0;20845.0;64948
155;9 to 11 years;2017;1659395;1297870;296289;156098;131654;8942;9577;4321;1604;140191.0;115210.0;24981.0;65236
156;9 to 11 years;2018;1691961;1304104;320453;178921;150217;11039;11369;4422;1874;141532.0;113401.0;28131.0;67404
157;9 to 11 years;2019;1603817;1239435;299171;171936;144987;11084;9294;4388;2183;127235.0;102811.0;24424.0;65211
158;9 to 11 years;2020;1616604;1296685;261316;152636;129493;9990;7267;3830;2056;108680.0;90087.0;18593.0;58603
159;9 to 11 years;2021;1706028;1420484;235009;140104;120400;8550;6324;3320;1510;94905.0;79889.0;15016.0;50535
160;9 to 11 years;2022;1812785;1529956;236819;146122;127230;7632;6727;3082;1451;90697.0;74870.0;15827.0;46010
161;12 to 14 years;2000;915804;785691;64548;64548;49725;7968;1604;3889;1362;;;;65565
162;12 to 14 years;2001;906108;782488;62486;62486;46268;8378;1796;4648;1396;;;;61134
163;12 to 14 years;2002;878300;768217;57962;57962;41153;8121;1807;5408;1473;;;;52121
164;12 to 14 years;2003;871798;761297;58499;58499;40491;7958;1932;6302;1816;;;;52002
165;12 to 14 years;2004;1008527;784235;168022;67275;48502;7536;1823;7449;1965;100747.0;90376.0;10371.0;56270
166;12 to 14 years;2005;1067474;816550;186626;80166;60555;7550;1903;8436;1722;106460.0;95439.0;11021.0;64298
167;12 to 14 years;2006;1041490;792609;177948;73253;55825;6398;1569;8329;1132;104695.0;94436.0;10259.0;70933
168;12 to 14 years;2007;1038612;800547;167722;64320;48246;6001;1588;7571;914;103402.0;93985.0;9417.0;70343
169;12 to 14 years;2008;1046042;818007;160721;59311;43732;5507;1882;7366;824;101410.0;91877.0;9533.0;67314
170;12 to 14 years;2009;1120543;885986;170372;67886;51084;5853;2263;8043;643;102486.0;91722.0;10764.0;64185
171;12 to 14 years;2010;1185270;925541;193560;85949;68232;5773;2238;9050;656;107611.0;95686.0;11925.0;66169
172;12 to 14 years;2011;1302832;1017693;217467;106026;87521;6117;2488;9272;628;111441.0;98768.0;12673.0;67672
173;12 to 14 years;2012;1439451;1129386;238254;119302;99898;6488;2633;9686;597;118952.0;105891.0;13061.0;71811
174;12 to 14 years;2013;1536902;1212488;250324;124926;104846;6800;2819;9751;710;125398.0;111815.0;13583.0;74090
175;12 to 14 years;2014;1546645;1215222;257160;122871;102922;6916;3049;9393;591;134289.0;120101.0;14188.0;74263
176;12 to 14 years;2015;1506890;1179479;256938;120482;101433;6542;3065;8904;538;136456.0;122918.0;13538.0;70473
177;12 to 14 years;2016;1464777;1139787;257025;119139;101890;5722;3091;7818;618;137886.0;124797.0;13089.0;67965
178;12 to 14 years;2017;1485088;1151896;264820;126970;111674;4899;3053;6671;673;137850.0;123890.0;13960.0;68372
179;12 to 14 years;2018;1470304;1145629;256702;121257;107307;4549;3427;5294;680;135445.0;120195.0;15250.0;67973
180;12 to 14 years;2019;1478001;1164179;246649;116428;101470;5434;4620;4290;614;130221.0;113290.0;16931.0;67173
181;12 to 14 years;2020;1480977;1165137;248041;117174;101439;6193;5056;3658;828;130867.0;110911.0;19956.0;67799
182;12 to 14 years;2021;1527869;1191862;265340;134742;117089;7458;5616;3627;952;130598.0;108316.0;22282.0;70667
183;12 to 14 years;2022;1481508;1162357;250468;131467;114166;7681;4803;3577;1240;119001.0;98895.0;20106.0;68683
184;15 to 19 years;2000;306313;214016;24474;24474;14226;4700;580;3567;1401;;;;67823
185;15 to 19 years;2001;360523;254528;28292;28292;17883;4906;655;3525;1323;;;;77703
186;15 to 19 years;2002;450372;324378;34902;34902;23515;5480;776;3961;1170;;;;91092
187;15 to 19 years;2003;534252;393964;43078;43078;29902;6291;917;4804;1164;;;;97210
188;15 to 19 years;2004;673791;421366;153311;44721;29989;6841;1107;5716;1068;108590.0;99910.0;8680.0;99114
189;15 to 19 years;2005;721987;451992;172469;46040;29737;7222;1226;6853;1002;126429.0;116644.0;9785.0;97526
190;15 to 19 years;2006;763935;485771;185278;45122;27257;7491;1331;8104;939;140156.0;129159.0;10997.0;92886
191;15 to 19 years;2007;806891;520847;197577;47255;27773;7543;1365;9759;815;150322.0;138991.0;11331.0;88467
192;15 to 19 years;2008;870187;568853;208849;52800;31811;7534;1473;11297;685;156049.0;144102.0;11947.0;92485
193;15 to 19 years;2009;899610;588111;211727;54761;34174;6743;1312;11944;588;156966.0;145232.0;11734.0;99772
194;15 to 19 years;2010;930795;616023;210277;51969;31862;6174;1240;12140;553;158308.0;146875.0;11433.0;104495
195;15 to 19 years;2011;964389;649808;207601;51353;31116;5730;1390;12580;537;156248.0;144704.0;11544.0;106980
196;15 to 19 years;2012;1015688;697934;210206;55614;35690;5517;1597;12330;480;154592.0;142401.0;12191.0;107548
197;15 to 19 years;2013;1074358;745830;221304;62714;43159;5227;1670;12208;450;158590.0;146035.0;12555.0;107224
198;15 to 19 years;2014;1191150;849002;237184;75496;54757;5566;1922;12814;437;161688.0;148452.0;13236.0;104964
199;15 to 19 years;2015;1376447;1006591;260924;92262;69929;5963;2094;13844;432;168662.0;154061.0;14601.0;108932
200;15 to 19 years;2016;1553934;1154823;286249;105064;81984;6307;2195;14059;519;181185.0;165406.0;15779.0;112862
201;15 to 19 years;2017;1660244;1242282;303429;111665;87956;6639;2445;14082;543;191764.0;175281.0;16483.0;114533
202;15 to 19 years;2018;1739797;1313885;312225;115885;92430;6641;2677;13586;551;196340.0;179763.0;16577.0;113687
203;15 to 19 years;2019;1782060;1344719;322875;117131;95192;6127;2753;12552;507;205744.0;189006.0;16738.0;114466
204;15 to 19 years;2020;1794757;1350180;331443;122115;102177;5455;2832;11179;472;209328.0;191919.0;17409.0;113134
205;15 to 19 years;2021;1789330;1357053;321489;118301;100477;5031;3034;9372;387;203188.0;185602.0;17586.0;110788
206;15 to 19 years;2022;1827627;1397942;318819;116680;99713;5389;3622;7592;364;202139.0;183253.0;18886.0;110866
207;20 to 24 years;2000;103638;52114;11526;11526;5750;2104;186;3165;321;;;;39998
208;20 to 24 years;2001;107556;49857;12537;12537;6533;2182;213;3240;369;;;;45162
209;20 to 24 years;2002;109985;49334;12357;12357;6553;2056;211;3126;411;;;;48294
210;20 to 24 years;2003;120583;53662;12099;12099;6475;1962;217;3008;437;;;;54822
211;20 to 24 years;2004;190773;57305;76141;11489;6311;1852;229;2713;384;64652.0;61058.0;3594.0;57327
212;20 to 24 years;2005;202380;60607;79338;11735;6728;1902;250;2521;334;67603.0;63822.0;3781.0;62435
213;20 to 24 years;2006;226820;72043;83350;12692;7335;2149;275;2646;287;70658.0;66786.0;3872.0;71427
214;20 to 24 years;2007;266173;91073;92671;14731;8434;2557;358;3123;259;77940.0;73919.0;4021.0;82429
215;20 to 24 years;2008;296781;108317;103820;17490;9887;3080;422;3886;215;86330.0;81945.0;4385.0;84644
216;20 to 24 years;2009;318218;118034;114488;19084;9940;3580;525;4820;219;95404.0;90393.0;5011.0;85696
217;20 to 24 years;2010;337741;127294;126664;20314;9913;3754;535;5883;229;106350.0;100606.0;5744.0;83783
218;20 to 24 years;2011;355851;137614;138157;21080;9764;3736;539;6798;243;117077.0;110696.0;6381.0;80080
219;20 to 24 years;2012;365568;139884;148565;22612;9966;3620;538;8249;239;125953.0;119185.0;6768.0;77119
220;20 to 24 years;2013;387165;149542;156993;24932;11044;3483;580;9616;209;132061.0;124912.0;7149.0;80630
221;20 to 24 years;2014;401900;156337;159409;25666;11744;3106;573;10073;170;133743.0;126834.0;6909.0;86154
222;20 to 24 years;2015;423780;174716;160116;25064;11105;2995;632;10152;180;135052.0;128334.0;6718.0;88948
223;20 to 24 years;2016;445118;195603;159237;25512;11083;2820;743;10665;201;133725.0;126832.0;6893.0;90278
224;20 to 24 years;2017;474049;223709;160122;27147;12827;2747;870;10485;218;132975.0;125485.0;7490.0;90218
225;20 to 24 years;2018;515568;257761;167372;30107;15904;2720;924;10318;241;137265.0;129402.0;7863.0;90435
226;20 to 24 years;2019;571370;306748;174180;34953;19856;2944;1105;10822;226;139227.0;130844.0;8383.0;90442
227;20 to 24 years;2020;660188;378048;186408;40705;24610;3095;1200;11579;221;145703.0;136466.0;9237.0;95732
228;20 to 24 years;2021;757285;454721;200510;45747;29173;3302;1192;11873;207;154763.0;144905.0;9858.0;102054
229;20 to 24 years;2022;808867;491831;213370;48707;31895;3426;1296;11887;203;164663.0;154209.0;10454.0;103666
230;25 years or older;2000;164508;121118;10480;10480;4904;2370;216;2723;267;;;;32910
231;25 years or older;2001;185972;135933;11766;11766;5560;2553;255;3110;288;;;;38273
232;25 years or older;2002;207716;148471;13630;13630;6654;2794;293;3568;321;;;;45615
233;25 years or older;2003;233863;162119;15951;15951;8051;3053;362;4101;384;;;;55793
234;25 years or older;2004;300914;173807;60577;18106;9305;3255;396;4714;436;42471.0;37614.0;4857.0;66530
235;25 years or older;2005;339713;186290;77303;20180;10520;3450;470;5256;484;57123.0;51888.0;5235.0;76120
236;25 years or older;2006;373798;195542;92258;22133;11684;3632;544;5736;537;70125.0;64539.0;5586.0;85998
237;25 years or older;2007;401299;204067;102116;23539;12657;3655;585;6051;591;78577.0;73388.0;5189.0;95116
238;25 years or older;2008;434015;215634;111180;25052;13638;3686;617;6484;627;86128.0;81094.0;5034.0;107201
239;25 years or older;2009;475390;232974;122086;27119;14962;3841;658;7087;571;94967.0;89947.0;5020.0;120330
240;25 years or older;2010;517977;249876;134806;29425;16642;3999;731;7506;547;105381.0;100177.0;5204.0;133295
241;25 years or older;2011;569569;270726;149753;32280;18739;4239;819;8007;476;117473.0;112221.0;5252.0;149090
242;25 years or older;2012;638083;304109;167497;35970;21299;4600;918;8684;469;131527.0;126042.0;5485.0;166477
