ID;Melkvee;GrootveeEenheid;RegioS;Perioden;AlleDieren_1;WeidendeDieren_2;AlleDieren_3;WeidendeDieren_4;BedrijvenZonderWeidegang_5;DierenZonderWeidegang_6;BedrijvenMetWeidegang_7;DierenMetWeidegang_8;UrenBijDagEnNachtWeiden_9;UrenBijBeperktWeiden_10;DagEnNachtWeiden_11;OverdagWeiden_12
1236;Melk- en kalfkoeien (>= 2 jaar);Totaal;Zeeland (PV);2014;966.0;1583.0;96.0;158.0;29.0;39.0;71.0;61.0;20.0;7.0;22.0;78.0
1237;Melk- en kalfkoeien (>= 2 jaar);Totaal;Zeeland (PV);2015;;;87.0;158.0;28.0;45.0;72.0;55.0;;;20.0;80.0
1238;Melk- en kalfkoeien (>= 2 jaar);Totaal;Zeeland (PV);2016;765.0;1475.0;85.0;164.0;27.0;48.0;73.0;52.0;19.0;7.0;18.0;82.0
1239;Melk- en kalfkoeien (>= 2 jaar);Totaal;Zeeland (PV);2017;747.0;1345.0;87.0;156.0;26.0;44.0;74.0;56.0;17.0;7.0;19.0;81.0
1240;Melk- en kalfkoeien (>= 2 jaar);Totaal;Zeeland (PV);2018;743.0;1219.0;91.0;150.0;26.0;39.0;74.0;61.0;17.0;6.0;17.0;83.0
1241;Melk- en kalfkoeien (>= 2 jaar);Totaal;Zeeland (PV);2019;725.0;1170.0;92.0;148.0;24.0;38.0;76.0;62.0;16.0;6.0;17.0;83.0
1242;Melk- en kalfkoeien (>= 2 jaar);Totaal;Zeeland (PV);2020;704.0;1134.0;91.0;146.0;25.0;38.0;75.0;62.0;15.0;6.0;17.0;83.0
1243;Melk- en kalfkoeien (>= 2 jaar);Totaal;Zeeland (PV);2021;716.0;1111.0;97.0;151.0;24.0;36.0;76.0;64.0;15.0;6.0;13.0;87.0
1244;Melk- en kalfkoeien (>= 2 jaar);Totaal;Zeeland (PV);2022;744.0;1130.0;100.0;152.0;23.0;34.0;77.0;66.0;16.0;6.0;14.0;86.0
1245;Melk- en kalfkoeien (>= 2 jaar);Totaal;Zeeland (PV);2023;715.0;1121.0;95.0;149.0;24.0;36.0;76.0;64.0;17.0;6.0;13.0;87.0
1246;Melk- en kalfkoeien (>= 2 jaar);Totaal;Noord-Brabant (PV);2010;;;96.0;163.0;29.0;41.0;71.0;59.0;;;15.0;85.0
1247;Melk- en kalfkoeien (>= 2 jaar);Totaal;Noord-Brabant (PV);2011;;;88.0;162.0;34.0;46.0;66.0;54.0;;;13.0;87.0
1248;Melk- en kalfkoeien (>= 2 jaar);Totaal;Noord-Brabant (PV);2012;;;82.0;156.0;36.0;47.0;64.0;53.0;;;13.0;87.0
1249;Melk- en kalfkoeien (>= 2 jaar);Totaal;Noord-Brabant (PV);2013;697.0;1274.0;82.0;150.0;39.0;45.0;61.0;55.0;19.0;7.0;14.0;86.0
1250;Melk- en kalfkoeien (>= 2 jaar);Totaal;Noord-Brabant (PV);2014;656.0;1241.0;78.0;147.0;41.0;47.0;59.0;53.0;20.0;7.0;14.0;86.0
1251;Melk- en kalfkoeien (>= 2 jaar);Totaal;Noord-Brabant (PV);2015;;;68.0;148.0;42.0;54.0;58.0;46.0;;;11.0;89.0
1252;Melk- en kalfkoeien (>= 2 jaar);Totaal;Noord-Brabant (PV);2016;502.0;1091.0;67.0;146.0;41.0;54.0;59.0;46.0;18.0;6.0;9.0;91.0
1253;Melk- en kalfkoeien (>= 2 jaar);Totaal;Noord-Brabant (PV);2017;499.0;1022.0;69.0;141.0;39.0;51.0;61.0;49.0;18.0;6.0;9.0;91.0
1254;Melk- en kalfkoeien (>= 2 jaar);Totaal;Noord-Brabant (PV);2018;515.0;980.0;74.0;141.0;37.0;48.0;63.0;52.0;17.0;6.0;8.0;92.0
1255;Melk- en kalfkoeien (>= 2 jaar);Totaal;Noord-Brabant (PV);2019;524.0;939.0;78.0;140.0;34.0;44.0;66.0;56.0;15.0;6.0;8.0;92.0
1256;Melk- en kalfkoeien (>= 2 jaar);Totaal;Noord-Brabant (PV);2020;510.0;881.0;78.0;134.0;32.0;42.0;68.0;58.0;14.0;6.0;8.0;92.0
1257;Melk- en kalfkoeien (>= 2 jaar);Totaal;Noord-Brabant (PV);2021;529.0;892.0;81.0;137.0;31.0;41.0;69.0;59.0;14.0;6.0;8.0;92.0
1258;Melk- en kalfkoeien (>= 2 jaar);Totaal;Noord-Brabant (PV);2022;540.0;929.0;81.0;140.0;31.0;42.0;69.0;58.0;14.0;6.0;8.0;92.0
1259;Melk- en kalfkoeien (>= 2 jaar);Totaal;Noord-Brabant (PV);2023;503.0;909.0;76.0;138.0;34.0;45.0;66.0;55.0;14.0;6.0;8.0;92.0
1260;Melk- en kalfkoeien (>= 2 jaar);Totaal;Limburg (PV);2010;;;119.0;177.0;19.0;33.0;81.0;67.0;;;24.0;76.0
1261;Melk- en kalfkoeien (>= 2 jaar);Totaal;Limburg (PV);2011;;;113.0;176.0;21.0;36.0;79.0;64.0;;;24.0;76.0
1262;Melk- en kalfkoeien (>= 2 jaar);Totaal;Limburg (PV);2012;;;108.0;174.0;23.0;38.0;77.0;62.0;;;22.0;78.0
1263;Melk- en kalfkoeien (>= 2 jaar);Totaal;Limburg (PV);2013;1045.0;1704.0;105.0;172.0;27.0;39.0;73.0;61.0;18.0;8.0;23.0;77.0
1264;Melk- en kalfkoeien (>= 2 jaar);Totaal;Limburg (PV);2014;904.0;1513.0;97.0;162.0;29.0;40.0;71.0;60.0;17.0;7.0;21.0;79.0
1265;Melk- en kalfkoeien (>= 2 jaar);Totaal;Limburg (PV);2015;;;91.0;167.0;28.0;46.0;72.0;54.0;;;22.0;78.0
1266;Melk- en kalfkoeien (>= 2 jaar);Totaal;Limburg (PV);2016;741.0;1389.0;86.0;161.0;28.0;47.0;72.0;53.0;17.0;7.0;17.0;83.0
1267;Melk- en kalfkoeien (>= 2 jaar);Totaal;Limburg (PV);2017;736.0;1378.0;87.0;162.0;27.0;47.0;73.0;53.0;16.0;7.0;19.0;81.0
1268;Melk- en kalfkoeien (>= 2 jaar);Totaal;Limburg (PV);2018;705.0;1275.0;88.0;158.0;26.0;45.0;74.0;55.0;16.0;7.0;15.0;85.0
1269;Melk- en kalfkoeien (>= 2 jaar);Totaal;Limburg (PV);2019;729.0;1260.0;90.0;155.0;24.0;42.0;76.0;58.0;16.0;7.0;16.0;84.0
1270;Melk- en kalfkoeien (>= 2 jaar);Totaal;Limburg (PV);2020;687.0;1175.0;88.0;150.0;23.0;41.0;77.0;59.0;14.0;6.0;18.0;82.0
1271;Melk- en kalfkoeien (>= 2 jaar);Totaal;Limburg (PV);2021;629.0;1083.0;85.0;147.0;23.0;42.0;77.0;58.0;15.0;6.0;11.0;89.0
1272;Melk- en kalfkoeien (>= 2 jaar);Totaal;Limburg (PV);2022;646.0;1114.0;87.0;150.0;25.0;42.0;75.0;58.0;15.0;6.0;12.0;88.0
1273;Melk- en kalfkoeien (>= 2 jaar);Totaal;Limburg (PV);2023;702.0;1159.0;93.0;154.0;24.0;39.0;76.0;61.0;15.0;6.0;12.0;88.0
1274;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Nederland;2010;;;170.0;181.0;5.0;6.0;95.0;94.0;;;47.0;53.0
1275;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Nederland;2011;;;172.0;184.0;6.0;6.0;94.0;94.0;;;49.0;51.0
1276;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Nederland;2012;;;171.0;181.0;5.0;6.0;95.0;94.0;;;49.0;51.0
1277;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Nederland;2013;2328.0;2498.0;169.0;182.0;7.0;7.0;93.0;93.0;21.0;8.0;44.0;56.0
1278;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Nederland;2014;2330.0;2512.0;173.0;186.0;7.0;7.0;93.0;93.0;21.0;8.0;42.0;58.0
1279;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Nederland;2015;;;167.0;181.0;8.0;8.0;92.0;92.0;;;42.0;58.0
1280;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Nederland;2016;2403.0;2600.0;171.0;185.0;8.0;8.0;92.0;92.0;21.0;8.0;47.0;53.0
1281;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Nederland;2017;2176.0;2426.0;160.0;179.0;12.0;10.0;88.0;90.0;21.0;8.0;44.0;56.0
1282;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Nederland;2018;2206.0;2399.0;168.0;183.0;8.0;8.0;92.0;92.0;21.0;8.0;42.0;58.0
1283;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Nederland;2019;2205.0;2364.0;171.0;183.0;8.0;7.0;92.0;93.0;20.0;8.0;42.0;58.0
1284;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Nederland;2020;2157.0;2326.0;169.0;182.0;8.0;7.0;92.0;93.0;20.0;8.0;42.0;58.0
1285;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Nederland;2021;2129.0;2269.0;169.0;181.0;9.0;6.0;91.0;94.0;20.0;8.0;40.0;60.0
1286;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Nederland;2022;2217.0;2366.0;175.0;187.0;9.0;6.0;91.0;94.0;20.0;8.0;41.0;59.0
1287;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Nederland;2023;2151.0;2310.0;169.0;182.0;9.0;7.0;91.0;93.0;19.0;8.0;43.0;57.0
1288;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Groningen (PV);2010;;;173.0;178.0;2.0;2.0;98.0;98.0;;;63.0;37.0
1289;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Groningen (PV);2011;;;177.0;179.0;2.0;1.0;98.0;99.0;;;64.0;36.0
1290;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Groningen (PV);2012;;;174.0;177.0;4.0;2.0;96.0;98.0;;;63.0;37.0
1291;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Groningen (PV);2013;2750.0;2920.0;169.0;179.0;6.0;6.0;94.0;94.0;22.0;9.0;58.0;42.0
1292;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Groningen (PV);2014;2774.0;2907.0;180.0;189.0;4.0;5.0;96.0;95.0;21.0;9.0;54.0;46.0
1293;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Groningen (PV);2015;;;175.0;183.0;4.0;4.0;96.0;96.0;;;53.0;47.0
1294;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Groningen (PV);2016;2803.0;3020.0;179.0;193.0;5.0;7.0;95.0;93.0;21.0;9.0;59.0;41.0
1295;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Groningen (PV);2017;2821.0;2950.0;177.0;185.0;8.0;4.0;92.0;96.0;21.0;8.0;60.0;40.0
1296;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Groningen (PV);2018;2788.0;2856.0;189.0;193.0;4.0;2.0;96.0;98.0;20.0;9.0;54.0;46.0
1297;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Groningen (PV);2019;2633.0;2713.0;184.0;189.0;2.0;3.0;98.0;97.0;20.0;8.0;53.0;47.0
1298;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Groningen (PV);2020;2297.0;2459.0;168.0;180.0;7.0;7.0;93.0;93.0;19.0;9.0;47.0;53.0
1299;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Groningen (PV);2021;2350.0;2503.0;173.0;184.0;11.0;6.0;89.0;94.0;20.0;8.0;45.0;55.0
1300;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Groningen (PV);2022;2659.0;2745.0;189.0;195.0;5.0;3.0;95.0;97.0;20.0;9.0;50.0;50.0
1301;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Groningen (PV);2023;2602.0;2750.0;181.0;191.0;3.0;5.0;97.0;95.0;20.0;9.0;51.0;49.0
1302;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Fryslân (PV);2010;;;174.0;181.0;4.0;4.0;96.0;96.0;;;54.0;46.0
1303;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Fryslân (PV);2011;;;172.0;185.0;6.0;7.0;94.0;93.0;;;59.0;41.0
1304;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Fryslân (PV);2012;;;172.0;180.0;3.0;4.0;97.0;96.0;;;59.0;41.0
1305;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Fryslân (PV);2013;2634.0;2743.0;178.0;185.0;4.0;4.0;96.0;96.0;21.0;9.0;50.0;50.0
1306;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Fryslân (PV);2014;2750.0;2882.0;189.0;198.0;5.0;5.0;95.0;95.0;21.0;9.0;47.0;53.0
1307;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Fryslân (PV);2015;;;172.0;185.0;7.0;7.0;93.0;93.0;;;47.0;53.0
1308;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Fryslân (PV);2016;2786.0;3064.0;178.0;196.0;10.0;9.0;90.0;91.0;21.0;9.0;56.0;44.0
1309;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Fryslân (PV);2017;2637.0;3008.0;166.0;189.0;12.0;12.0;88.0;88.0;21.0;9.0;59.0;41.0
1310;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Fryslân (PV);2018;2752.0;3033.0;177.0;195.0;7.0;9.0;93.0;91.0;21.0;9.0;57.0;43.0
1311;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Fryslân (PV);2019;2604.0;2881.0;177.0;196.0;13.0;10.0;88.0;90.0;20.0;9.0;52.0;48.0
1312;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Fryslân (PV);2020;2665.0;2886.0;183.0;198.0;10.0;8.0;90.0;92.0;21.0;8.0;49.0;51.0
1313;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Fryslân (PV);2021;2471.0;2624.0;181.0;192.0;13.0;6.0;88.0;94.0;21.0;8.0;43.0;57.0
1314;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Fryslân (PV);2022;2748.0;2882.0;191.0;200.0;9.0;5.0;91.0;95.0;21.0;9.0;47.0;53.0
1315;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Fryslân (PV);2023;2477.0;2610.0;177.0;187.0;8.0;5.0;92.0;95.0;21.0;8.0;46.0;54.0
1316;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Drenthe (PV);2010;;;174.0;181.0;3.0;4.0;97.0;96.0;;;50.0;50.0
1317;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Drenthe (PV);2011;;;180.0;187.0;5.0;4.0;95.0;96.0;;;55.0;45.0
1318;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Drenthe (PV);2012;;;171.0;177.0;5.0;4.0;95.0;96.0;;;58.0;42.0
1319;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Drenthe (PV);2013;2531.0;2759.0;166.0;181.0;9.0;8.0;91.0;92.0;22.0;9.0;51.0;49.0
1320;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Drenthe (PV);2014;2512.0;2821.0;164.0;185.0;12.0;11.0;88.0;89.0;22.0;9.0;52.0;48.0
1321;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Drenthe (PV);2015;;;162.0;178.0;11.0;9.0;89.0;91.0;;;48.0;52.0
1322;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Drenthe (PV);2016;2870.0;3168.0;173.0;191.0;11.0;9.0;89.0;91.0;22.0;8.0;60.0;40.0
1323;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Drenthe (PV);2017;2519.0;2867.0;162.0;184.0;13.0;12.0;87.0;88.0;22.0;8.0;54.0;46.0
1324;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Drenthe (PV);2018;2482.0;2808.0;172.0;195.0;10.0;12.0;90.0;88.0;21.0;8.0;47.0;53.0
1325;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Drenthe (PV);2019;2690.0;2859.0;185.0;197.0;10.0;6.0;90.0;94.0;22.0;8.0;47.0;53.0
1326;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Drenthe (PV);2020;2614.0;2819.0;179.0;193.0;13.0;7.0;87.0;93.0;21.0;8.0;51.0;49.0
1327;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Drenthe (PV);2021;2501.0;2711.0;172.0;186.0;13.0;8.0;87.0;92.0;21.0;8.0;51.0;49.0
1328;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Drenthe (PV);2022;2312.0;2480.0;166.0;178.0;11.0;7.0;89.0;93.0;20.0;9.0;47.0;53.0
1329;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Drenthe (PV);2023;2566.0;2925.0;172.0;196.0;12.0;12.0;88.0;88.0;20.0;8.0;58.0;42.0
1330;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Overijssel (PV);2010;;;166.0;177.0;5.0;6.0;95.0;94.0;;;31.0;69.0
1331;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Overijssel (PV);2011;;;166.0;178.0;6.0;7.0;94.0;93.0;;;33.0;67.0
1332;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Overijssel (PV);2012;;;164.0;177.0;7.0;8.0;93.0;92.0;;;34.0;66.0
1333;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Overijssel (PV);2013;1930.0;2072.0;164.0;176.0;7.0;7.0;93.0;93.0;21.0;8.0;28.0;72.0
1334;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Overijssel (PV);2014;1904.0;2062.0;164.0;177.0;8.0;8.0;92.0;92.0;22.0;8.0;26.0;74.0
1335;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Overijssel (PV);2015;;;158.0;172.0;8.0;8.0;92.0;92.0;;;27.0;73.0
1336;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Overijssel (PV);2016;1949.0;2096.0;164.0;176.0;8.0;7.0;92.0;93.0;22.0;8.0;29.0;71.0
1337;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Overijssel (PV);2017;1717.0;1942.0;151.0;171.0;13.0;12.0;87.0;88.0;22.0;8.0;26.0;74.0
1338;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Overijssel (PV);2018;1746.0;1902.0;156.0;170.0;7.0;8.0;93.0;92.0;21.0;8.0;27.0;73.0
1339;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Overijssel (PV);2019;1725.0;1842.0;160.0;171.0;7.0;6.0;93.0;94.0;20.0;7.0;26.0;74.0
1340;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Overijssel (PV);2020;1594.0;1726.0;150.0;163.0;8.0;8.0;92.0;92.0;20.0;7.0;26.0;74.0
1341;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Overijssel (PV);2021;1633.0;1724.0;155.0;164.0;8.0;5.0;92.0;95.0;20.0;7.0;25.0;75.0
1342;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Overijssel (PV);2022;1717.0;1842.0;162.0;174.0;8.0;7.0;92.0;93.0;20.0;7.0;26.0;74.0
1343;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Overijssel (PV);2023;1619.0;1767.0;154.0;169.0;12.0;8.0;88.0;92.0;19.0;7.0;25.0;75.0
1344;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Flevoland (PV);2010;;;115.0;168.0;29.0;31.0;71.0;69.0;;;50.0;50.0
1345;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Flevoland (PV);2011;;;135.0;176.0;29.0;23.0;71.0;77.0;;;55.0;45.0
1346;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Flevoland (PV);2012;;;136.0;176.0;23.0;23.0;77.0;77.0;;;39.0;61.0
1347;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Flevoland (PV);2013;2028.0;2598.0;143.0;184.0;21.0;22.0;79.0;78.0;20.0;8.0;52.0;48.0
1348;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Flevoland (PV);2014;2110.0;2643.0;156.0;196.0;27.0;20.0;73.0;80.0;20.0;9.0;41.0;59.0
1349;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Flevoland (PV);2015;;;129.0;171.0;24.0;25.0;76.0;75.0;;;54.0;46.0
1350;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Flevoland (PV);2016;1854.0;2293.0;134.0;166.0;27.0;19.0;73.0;81.0;23.0;8.0;42.0;58.0
1351;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Flevoland (PV);2017;1020.0;1875.0;92.0;170.0;50.0;46.0;50.0;54.0;22.0;7.0;25.0;75.0
1352;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Flevoland (PV);2018;1064.0;2261.0;93.0;198.0;57.0;53.0;43.0;47.0;21.0;9.0;21.0;79.0
1353;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Flevoland (PV);2019;1053.0;2385.0;90.0;203.0;57.0;56.0;43.0;44.0;21.0;8.0;26.0;74.0
1354;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Flevoland (PV);2020;1252.0;2668.0;97.0;207.0;57.0;53.0;43.0;47.0;21.0;10.0;28.0;72.0
1355;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Flevoland (PV);2021;854.0;1480.0;105.0;182.0;38.0;42.0;63.0;58.0;7.0;9.0;23.0;77.0
1356;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Flevoland (PV);2022;1805.0;2701.0;134.0;200.0;43.0;33.0;57.0;67.0;20.0;8.0;46.0;54.0
1357;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Flevoland (PV);2023;1514.0;2875.0;110.0;209.0;50.0;47.0;50.0;53.0;16.0;9.0;65.0;35.0
1358;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Gelderland (PV);2010;;;167.0;180.0;6.0;7.0;94.0;93.0;;;33.0;67.0
1359;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Gelderland (PV);2011;;;173.0;185.0;6.0;7.0;94.0;93.0;;;33.0;67.0
1360;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Gelderland (PV);2012;;;172.0;183.0;5.0;6.0;95.0;94.0;;;34.0;66.0
1361;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Gelderland (PV);2013;2016.0;2177.0;168.0;181.0;7.0;7.0;93.0;93.0;20.0;8.0;32.0;68.0
1362;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Gelderland (PV);2014;1990.0;2153.0;171.0;185.0;7.0;8.0;93.0;92.0;20.0;8.0;30.0;70.0
1363;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Gelderland (PV);2015;;;165.0;180.0;7.0;8.0;93.0;92.0;;;30.0;70.0
1364;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Gelderland (PV);2016;1988.0;2163.0;167.0;182.0;8.0;8.0;92.0;92.0;21.0;8.0;31.0;69.0
1365;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Gelderland (PV);2017;1836.0;2009.0;161.0;176.0;10.0;9.0;90.0;91.0;20.0;8.0;30.0;70.0
1366;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Gelderland (PV);2018;1868.0;2018.0;167.0;180.0;7.0;7.0;93.0;93.0;21.0;8.0;27.0;73.0
1367;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Gelderland (PV);2019;1922.0;2026.0;172.0;182.0;6.0;5.0;94.0;95.0;20.0;8.0;29.0;71.0
1368;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Gelderland (PV);2020;1952.0;2049.0;175.0;183.0;5.0;5.0;95.0;95.0;20.0;7.0;30.0;70.0
1369;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Gelderland (PV);2021;1939.0;2047.0;174.0;183.0;7.0;5.0;93.0;95.0;19.0;8.0;29.0;71.0
1370;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Gelderland (PV);2022;1959.0;2071.0;175.0;185.0;6.0;5.0;94.0;95.0;19.0;8.0;30.0;70.0
1371;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Gelderland (PV);2023;1957.0;2064.0;172.0;182.0;7.0;5.0;93.0;95.0;19.0;8.0;32.0;68.0
1372;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Utrecht (PV);2010;;;178.0;183.0;2.0;3.0;98.0;97.0;;;54.0;46.0
1373;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Utrecht (PV);2011;;;178.0;185.0;4.0;3.0;96.0;97.0;;;53.0;47.0
1374;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Utrecht (PV);2012;;;177.0;180.0;2.0;2.0;98.0;98.0;;;51.0;49.0
1375;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Utrecht (PV);2013;2488.0;2563.0;177.0;183.0;3.0;3.0;97.0;97.0;21.0;8.0;46.0;54.0
1376;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Utrecht (PV);2014;2532.0;2638.0;183.0;190.0;3.0;4.0;97.0;96.0;21.0;8.0;46.0;54.0
1377;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Utrecht (PV);2015;;;179.0;187.0;5.0;4.0;95.0;96.0;;;43.0;57.0
1378;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Utrecht (PV);2016;2539.0;2670.0;179.0;189.0;6.0;5.0;94.0;95.0;20.0;8.0;49.0;51.0
1379;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Utrecht (PV);2017;2388.0;2544.0;175.0;186.0;8.0;6.0;92.0;94.0;21.0;8.0;45.0;55.0
1380;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Utrecht (PV);2018;2510.0;2623.0;184.0;193.0;5.0;4.0;95.0;96.0;21.0;8.0;44.0;56.0
1381;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Utrecht (PV);2019;2473.0;2597.0;181.0;190.0;6.0;5.0;94.0;95.0;20.0;8.0;46.0;54.0
1382;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Utrecht (PV);2020;2487.0;2614.0;187.0;196.0;5.0;5.0;95.0;95.0;20.0;8.0;44.0;56.0
1383;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Utrecht (PV);2021;2268.0;2372.0;181.0;190.0;6.0;4.0;94.0;96.0;19.0;8.0;40.0;60.0
1384;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Utrecht (PV);2022;2352.0;2472.0;189.0;199.0;7.0;5.0;93.0;95.0;19.0;8.0;38.0;62.0
