ID;Melkvee;GrootveeEenheid;RegioS;Perioden;AlleDieren_1;WeidendeDieren_2;AlleDieren_3;WeidendeDieren_4;BedrijvenZonderWeidegang_5;DierenZonderWeidegang_6;BedrijvenMetWeidegang_7;DierenMetWeidegang_8;UrenBijDagEnNachtWeiden_9;UrenBijBeperktWeiden_10;DagEnNachtWeiden_11;OverdagWeiden_12
1416;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Zeeland (PV);2012;;;184.0;188.0;4.0;2.0;96.0;98.0;;;68.0;32.0
1417;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Zeeland (PV);2013;2643.0;2934.0;169.0;188.0;7.0;10.0;93.0;90.0;21.0;9.0;56.0;44.0
1418;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Zeeland (PV);2014;2935.0;3075.0;185.0;194.0;4.0;5.0;96.0;95.0;21.0;9.0;58.0;42.0
1419;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Zeeland (PV);2015;;;198.0;203.0;4.0;2.0;96.0;98.0;;;62.0;38.0
1420;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Zeeland (PV);2016;3235.0;3513.0;185.0;201.0;6.0;8.0;94.0;92.0;21.0;8.0;71.0;29.0
1421;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Zeeland (PV);2017;3262.0;3523.0;182.0;196.0;6.0;7.0;94.0;93.0;21.0;8.0;78.0;22.0
1422;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Zeeland (PV);2018;3217.0;3463.0;183.0;197.0;7.0;7.0;93.0;93.0;21.0;9.0;73.0;27.0
1423;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Zeeland (PV);2019;3176.0;3289.0;180.0;187.0;4.0;3.0;96.0;97.0;21.0;9.0;73.0;27.0
1424;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Zeeland (PV);2020;2786.0;3325.0;161.0;192.0;15.0;16.0;85.0;84.0;21.0;9.0;72.0;28.0
1425;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Zeeland (PV);2021;2355.0;2651.0;155.0;175.0;9.0;11.0;91.0;89.0;20.0;8.0;56.0;44.0
1426;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Zeeland (PV);2022;2692.0;2927.0;173.0;188.0;6.0;8.0;94.0;92.0;20.0;8.0;65.0;35.0
1427;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Zeeland (PV);2023;2747.0;3081.0;162.0;181.0;8.0;11.0;92.0;89.0;20.0;8.0;75.0;25.0
1428;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Noord-Brabant (PV);2010;;;155.0;183.0;13.0;15.0;87.0;85.0;;;28.0;72.0
1429;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Noord-Brabant (PV);2011;;;154.0;188.0;14.0;18.0;86.0;82.0;;;38.0;62.0
