ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;TotalBusinessTurnoverNet_6;DomesticNetTurnover_7;ForeignNetTurnover_8;OtherBusinessReturns_9;TotalBusinessCosts_10;PurchaseValueOfTurnover_11;TotalPersonnelCosts_12;GrossWagesAndSalaries_13;EmployerPaidSocialInsurancePremiums_14;PensionAndEarlyRetirementPremiums_15;OtherSocialInsuranceCosts_16;OtherPersonnelCosts_17;TotalOtherBusinessCosts_18;EnergyCosts_19;HousingCosts_20;EquipmentAndInventoryCosts_21;TransportCosts_22;SalesCosts_23;CommunicationCosts_24;ServicesProvidedByThirdParties_25;BusinessCostsNotElsewhereClassified_26;DepreciationFixedAssets_27;ProfitLoss_28;NetFinancialIncome_29;NetProvisions_30;NetExtraordinaryIncome_31;ProfitLossBeforeTax_32
41;5146 Wholesale of pharmaceutical goods;2008;29.4;25.8;26.3;23.2;30207.0;29848.0;13829.0;16020.0;358.0;28738.0;24894.0;1650.0;1173.0;132.0;108.0;19.0;219.0;2044.0;21.0;141.0;34.0;152.0;638.0;55.0;379.0;623.0;152.0;1468.0;-293.0;-11.0;21.0;1185.0
42;515 Wholesale, non-agricultural ..;2006;90.6;80.7;81.2;73.3;89782.0;89416.0;49930.0;39486.0;366.0;87365.0;78524.0;3928.0;2869.0;350.0;282.0;36.0;391.0;4196.0;188.0;600.0;200.0;435.0;506.0;121.0;927.0;1219.0;717.0;2417.0;422.0;-24.0;-14.0;2801.0
43;515 Wholesale, non-agricultural ..;2007;98.3;87.6;88.5;80.0;99334.0;98863.0;58931.0;39932.0;471.0;96182.0;86605.0;4308.0;3154.0;379.0;287.0;42.0;446.0;4524.0;;665.0;208.0;444.0;600.0;127.0;1041.0;1322.0;745.0;3152.0;290.0;12.0;1483.0;4937.0
44;515 Wholesale, non-agricultural ..;2008;98.6;88.2;87.6;78.8;110505.0;110075.0;62694.0;47381.0;431.0;107903.0;97963.0;4440.0;3224.0;407.0;310.0;36.0;463.0;4767.0;123.0;695.0;210.0;463.0;651.0;129.0;1085.0;1412.0;733.0;2603.0;111.0;-43.0;1.0;2672.0
45;5151 Wholesale of fuels;2006;5.8;5.1;5.3;4.7;40611.0;40508.0;17549.0;22959.0;103.0;40388.0;39249.0;361.0;251.0;26.0;41.0;3.0;41.0;652.0;10.0;98.0;39.0;54.0;66.0;12.0;112.0;261.0;125.0;224.0;111.0;1.0;-23.0;313.0
46;5151 Wholesale of fuels;2007;6.1;5.5;5.5;5.0;43847.0;43757.0;21342.0;22415.0;90.0;43732.0;42450.0;382.0;272.0;27.0;35.0;3.0;45.0;738.0;7.0;112.0;27.0;59.0;80.0;10.0;128.0;315.0;162.0;114.0;247.0;10.0;437.0;808.0
47;5151 Wholesale of fuels;2008;6.3;5.5;5.5;4.8;53222.0;53147.0;24863.0;28284.0;75.0;53003.0;51660.0;390.0;252.0;27.0;60.0;2.0;50.0;706.0;9.0;122.0;26.0;68.0;64.0;10.0;141.0;266.0;246.0;220.0;-94.0;-10.0;-35.0;81.0
48;5152a Wholesale in rest of intermediate;2006;25.3;22.9;22.7;20.8;12785.0;12706.0;9356.0;3350.0;79.0;12017.0;9908.0;1097.0;815.0;103.0;76.0;9.0;93.0;912.0;28.0;143.0;42.0;92.0;135.0;34.0;243.0;196.0;100.0;768.0;-36.0;-15.0;7.0;724.0
49;5152a Wholesale in rest of intermediate;2007;29.3;26.3;26.7;24.3;15537.0;15465.0;11520.0;3945.0;72.0;14500.0;12067.0;1279.0;938.0;119.0;84.0;11.0;127.0;1042.0;32.0;176.0;42.0;89.0;154.0;36.0;264.0;249.0;112.0;1037.0;-38.0;-2.0;69.0;1067.0
50;5152a Wholesale in rest of intermediate;2008;27.6;25.0;24.5;22.3;16232.0;16143.0;12032.0;4111.0;89.0;15314.0;12827.0;1264.0;927.0;122.0;80.0;10.0;124.0;1105.0;31.0;168.0;43.0;92.0;216.0;36.0;275.0;244.0;119.0;918.0;-43.0;-5.0;5.0;875.0
51;5153 Wholesale,wood and construction ..;2006;42.1;37.2;38.5;34.7;15781.0;15712.0;14411.0;1300.0;70.0;14941.0;11867.0;1661.0;1218.0;154.0;107.0;17.0;165.0;1215.0;46.0;249.0;56.0;168.0;172.0;49.0;234.0;240.0;197.0;840.0;-59.0;-6.0;10.0;785.0
52;5153 Wholesale,wood and construction ..;2007;44.0;39.0;40.2;36.2;18087.0;18013.0;16851.0;1162.0;74.0;17024.0;13714.0;1761.0;1292.0;162.0;111.0;18.0;178.0;1358.0;47.0;265.0;68.0;185.0;200.0;54.0;296.0;244.0;191.0;1063.0;-76.0;11.0;26.0;1025.0
